OrthoGroups	Sce_pIDs	Kma_pIDs	Yli_pIDs
OG0000838	P40340	W0T4Y0	Q6C0M6
OG0000841	P51601	W0T3X8	Q6CHC2
OG0000842	P53326	W0T4X6	Q6C6C7
OG0000843	Q03532	W0T5K6	Q6C7D2
OG0000844	P00958	W0T3X2	Q6BZY8
OG0000845	P53323	W0T7M5	Q6C2A3
OG0000848	P49955	W0T5K1	Q6CDW3
OG0000850	P38873	W0T4W4	Q6C6R4
OG0000860	P22336	W0T4T9	Q6C5S2
OG0000863	P34111	W0T390	Q6CB35
OG0000868	P38635	W0T4S5	Q6C6Z5
OG0000869	P38708	W0T382	Q6C6Z6
OG0000870	P38707	W0T5F9	Q6C6Z7
OG0000871	P04076	W0T3S7	Q6C7P9
OG0000876	Q04697	W0T5E8	Q6CAH4
OG0000880	Q02046	W0T5E4	Q6CEX7
OG0000882	P36161	W0T7G5	Q6CHX1
OG0000885	P06785	W0T5E0	Q6CCB3
OG0000894	Q12285	W0T349	B5FVB4
OG0000903	P08525	W0T342	Q6C387
OG0000904	P08524	W0T5C0	Q6C6W3
OG0000905	P36049	W0T3N2	Q6C6W1
OG0000910	P32591	W0T5B2	Q6C1I6
OG0000911	P34237	W0T3M2	Q6CBH0
OG0000912	P46989	W0T330	Q6CBS9
OG0000915	P46985	W0T4M0	Q6C1C8
OG0000916	P32445	W0T3L4	Q6C492
OG0000917	P36147	W0T321	Q6CFW6
OG0000921	P47008	W0T7A6	Q6C9R9
OG0000925	P20433	W0T4K3	Q6CC37
OG0000927	P33753	W0T305	Q6C110
OG0000929	P53312	W0T4J0	Q6CA97
OG0000930	P53313	W0T579	Q6C796
OG0000931	P29056	W0T3I3	Q6C4S8
OG0000937	P25303	W0T4H9	Q6C6E0
OG0000938	Q03656	W0T565	Q6CGK3
OG0000939	P38625	W0T771	Q6CEF3
OG0000945	Q12017	W0T763	Q6C987
OG0000950	P34087	W0T2W5	B5FVE7
OG0000953	Q04177	W0T3E4	Q6C5P8
OG0000956	P33298	W0T4F3	Q6C9E8
OG0000958	Q99216	W0T742	Q6C7G0
OG0000961	P20084	W0T4E6	Q6CCK1
OG0000964	P22579	W0T734	F2Z640
OG0000967	P04786	W0T520	Q6C7R2
OG0000971	P40959	W0T3B9	Q6CHY6
OG0000979	P53170	W0T3A6	Q6C089
OG0000980	P06104	W0T711	Q6C093
OG0000981	P21147	W0T4Z7	Q6CCW6
OG0000982	P15807	W0T3A2	Q6C695
OG0000989	P33330	W0T2P5	Q6C2N1
OG0000994	Q05874	W0T2P1	Q6CHE9
OG0000999	Q06224	W0T2N7	Q6C2Z7
OG0001000	Q06218	W0T4W5	Q6BZR4
OG0001008	Q99190	W0T472	Q6CHU1
OG0001010	P32375	W0T6W8	Q6C0N2
OG0001011	P38217	W0T467	Q6C386
OG0001012	P27637	W0T2M1	Q6C385
OG0001013	P27616	W0T4U6	Q6C3Q2
OG0001016	P80235	W0T462	Q6C0W4
OG0001019	Q08225	W0T459	Q6CE11
OG0001020	Q12296	W0T343	Q6C3X8
OG0001022	P32381	W0T339	Q6C1K7
OG0001026	P40339	W0T6T0	Q6C2J6
OG0001029	P27680	W0T302	Q6CEG2
OG0001033	P25359	W0T2Z6	Q6CEK7
OG0001034	P25332	W0T6Q9	Q6CEK6
OG0001035	P39538	W0T407	Q6CEM1
OG0001043	P53852	W0T6N9	Q6C909
OG0001044	P47139	W0T3Y5	Q6C6M4
OG0001048	P53617	W0T3Y1	Q6C4P1
OG0001049	P36528	W0T2F8	Q6C4P3
OG0001051	P53849	W0T6N0	Q6C9D6
OG0001053	P53318	W0T2F2	F2Z6J4
OG0001062	P53044	W0T6L1	Q6C4J6
OG0001063	P33339	W0T3W1	Q6CG65
OG0001064	P53843	W0T2D8	Q6CFT5
OG0001065	P53230	W0T4I1	Q6CC57
OG0001066	P39104	W0T2U3	Q6CFY9
OG0001076	Q06321	W0T3U2	Q6C8M8
OG0001079	Q06287	W0T2B3	Q6C7E4
OG0001080	P09959	W0T3T0	Q6CC42
OG0001083	Q12306	W0T6G9	B5RSL1
OG0001085	P11709	W0T3R4	Q6CDT3
OG0001086	P00815	W0T294	Q6CGV2
OG0001092	P25369	W0T4D1	Q6CCY7
OG0001094	P25569	W0T6E7	Q6CD60
OG0001095	Q04410	W0T280	Q6C782
OG0001096	P17967	W0T4B9	Q6C781
OG0001098	P25574	W0T6E2	Q6C5W6
OG0001099	P32472	W0T3P3	Q6CGG3
OG0001101	Q04430	W0T3N4	Q6C7T7
OG0001102	P00128	W0T4A3	Q6C3K7
OG0001104	P25580	W0T6C5	Q6C5K1
OG0001107	Q96VH5	W0T492	Q6C8L2
OG0001111	P10127	W0T5Y2	Q6C5R5
OG0001112	P35127	W0T5Z1	Q6C1J7
OG0001114	P47140	W0T6Q0	Q6CEC6
OG0001119	Q12447	W0T8R7	Q6CEP7
OG0001120	P54858	W0T4F9	Q6C2W6
OG0001122	P40087	W0T8S1	Q6CFI3
OG0001125	P36775	W0T609	Q6C0B5
OG0001130	P32316	W0T518	Q6C3Z9
OG0001132	P00931	W0T8T6	Q6C0G7
OG0001133	P53008	W0T6S2	Q6C1M7
OG0001138	P14120	W0T6S5	Q6C4U7
OG0001142	Q04199	W0T542	Q6CEK2
OG0001146	P38912	W0T649	Q6C0W6
OG0001148	P38262	W0T552	Q6C237
OG0001149	P38261	W0T6U4	Q6C238
OG0001150	P38260	W0T4K2	Q6C239
OG0001151	P32855	W0T8W8	Q6C3L8
OG0001152	P38764	W0T4K6	Q6CFX0
OG0001154	P17423	W0T8X3	Q6C1T8
OG0001155	P11914	W0T561	Q6C1U0
OG0001158	P36057	W0T6V7	Q6C8Q0
OG0001160	P47054	W0T4L5	Q6CFX6
OG0001162	P00950	W0T6W1	Q6CFX7
OG0001163	P25343	W0T668	Q6CCM8
OG0001165	P25342	W0T4N2	Q6CB88
OG0001166	P54861	W0T677	Q6C1G8
OG0001167	Q07794	W0T900	Q6C1H1
OG0001168	P41543	W0T4N6	Q6C1N3
OG0001172	Q04924	W0T6Y4	Q6C4G9
OG0001174	Q05946	W0T914	Q6C3U5
OG0001176	P47818	W0T4P7	Q6C8E5
OG0001180	P39677	W0T921	Q6CBI0
OG0001181	P14741	W0T5A3	Q6CBJ8
OG0001185	P42949	W0T706	Q6C331
OG0001188	P46680	W0T712	Q6C7C8
OG0001189	P32832	W0T4R4	Q6CC56
OG0001190	P14742	W0T6B9	Q6CDT1
OG0001193	P38988	W0T943	Q6CBY2
OG0001197	P16387	W0T5D1	Q6C0Y7
OG0001198	Q03862	W0T740	Q6CCY2
OG0001203	Q04311	W0T6E6	Q6C4K1
OG0001204	P32347	W0T965	Q6CDC5
OG0001205	P38244	W0T5D9	Q6CDE6
OG0001208	Q12500	W0T6F6	Q6C028
OG0001210	P41909	W0T760	Q6CHP7
OG0001214	Q08645	W0T5F5	Q6C4Q7
OG0001219	Q08650	W0T776	Q6C3R2
OG0001220	P22216	W0T4W7	Q6C079
OG0001225	P40452	W0T5G8	Q6C280
OG0001226	P27796	W0T6J0	Q05493
OG0001227	P53095	W0T791	Q6C8Z7
OG0001232	P53040	W0T6K1	Q6CCZ2
OG0001233	P38328	W0T5I4	Q6CE98
OG0001234	P53136	W0T7A0	Q6CEC9
OG0001238	P21372	W0T5I9	Q6CCZ1
OG0001240	P53141	W0T6L2	Q6C765
OG0001241	P46672	W0T5J7	Q6C763
OG0001244	P32377	W0T9D3	Q6C2S1
OG0001245	P16649	W0T5K3	F2Z6H7
OG0001249	P53091	W0T513	Q6CED4
OG0001250	P06738	W0T9E2	Q6C2Y0
OG0001252	P08456	W0T5M1	Q6C9T5
OG0001253	P22137	W0T523	Q6CGR2
OG0001254	P32558	W0T6P0	Q6C931
OG0001255	P32505	W0T5M6	Q6C5Z5
OG0001256	P25443	W0T7D4	Q6C5W9
OG0001258	P38138	W0T5N2	Q6CFI8
OG0001261	P53128	W0T9G2	Q6CG63
OG0001263	P32473	W0T7E5	Q6C4G4
OG0001265	P19882	W0T5P3	Q6C342
OG0001266	P25299	W0T6Q8	Q6C6I9
OG0001267	P07273	W0T9H5	Q6C6I8
OG0001269	P32582	W0T7F7	Q6C6J2
OG0001271	P05373	W0T6R3	Q6C0Y3
OG0001273	P39958	W0T553	Q6C3M2
OG0001276	P32799	W0T557	Q6C325
OG0001278	P43565	W0T9I9	Q6C1N7
OG0001281	P43567	W0T562	Q6C5N1
OG0001285	P43569	W0T567	Q6C8C3
OG0001293	Q12499	W0T6U3	Q6CG46
OG0001296	Q04013	W0T581	Q6CF30
OG0001299	P12945	W0T6W3	Q6C1Z0
OG0001300	P08431	W0T9M7	Q6C0K3
OG0001301	Q06090	W0T6Y3	Q6C6A8
OG0001302	P12754	W0T9P6	Q6C7J9
OG0001303	P12686	W0T5X6	Q6C7I9
OG0001304	P30656	W0T6Y8	Q6CEJ2
OG0001306	Q06096	W0T5Y6	Q6CAF9
OG0001307	P53252	W0T7P1	Q6CC94
OG0001316	Q08202	W0T5Z6	Q6C3R8
OG0001317	Q08199	W0T7Q1	Q99158
OG0001318	P31373	W0T5D8	Q6C2Q9
OG0001319	Q01855	W0T9R4	Q6C2R3
OG0001323	P31383	W0T5E5	Q6C3C5
OG0001325	Q08220	W0T717	Q6CBL1
OG0001329	P40217	W0T9S8	Q6CI08
OG0001330	Q07505	W0T620	Q6CBA7
OG0001332	Q02795	W0T624	Q6BZV0
OG0001337	P22007	W0T5G6	Q6C928
OG0001338	Q12229	W0T732	Q6C927
OG0001341	P53731	W0T5H0	Q6CHZ7
OG0001342	P53732	W0T737	Q6CHZ8
OG0001343	P25646	W0T9U3	Q6CDN3
OG0001348	P02406	W0T7U8	Q6CDU7
OG0001350	P53011	W0T9V2	Q6CED1
OG0001352	P53145	W0T5I1	Q6CB48
OG0001355	P33734	W0T7V7	Q6CCR8
OG0001356	P32449	W0T5I6	Q6CCS4
OG0001358	Q03691	W0T7W2	Q6CFU5
OG0001359	P40343	W0T5J0	Q6CFT4
OG0001362	P32915	W0T5J3	P78979
OG0001363	P47141	W0T764	Q6CEC5
OG0001364	Q01477	W0T5J9	Q6C6K5
OG0001365	P10356	W0T9X1	Q6C6L9
OG0001366	P39952	W0T7X7	Q6BZP4
OG0001367	P39960	W0T5K5	Q6BZP3
OG0001368	Q07834	W0T774	Q6C179
OG0001371	P33400	W0T781	P78978
OG0001373	P38737	W0T7Y3	Q6CD47
OG0001377	Q06338	W0T7Y7	Q6C7K5
OG0001381	P07285	W0T5M3	Q6C7L2
OG0001382	Q12164	W0T687	Q6C815
OG0001383	Q12251	W0T799	Q6C3A2
OG0001386	P53212	W0T7Z9	Q6C5Q1
OG0001387	Q12114	W0T7A3	Q6C5Q3
OG0001389	P36060	W0T804	Q6C9G8
OG0001390	P36059	W0T5P0	Q6C9G9
OG0001393	P43599	W0T6A1	Q6C472
OG0001399	P33322	W0T813	Q6C609
OG0001400	P25294	W0T5P8	Q6C608
OG0001401	P41318	W0T7B5	Q6C607
OG0001402	P04173	W0T818	P18120
OG0001403	P25374	W0T5Q3	Q6CBG6
OG0001406	P25558	W0T6B5	Q6CBR3
OG0001408	P04037	W0TA28	Q6C5A3
OG0001409	P15624	W0T827	Q6C4X4
OG0001413	Q06624	W0T5R8	Q6C4B8
OG0001414	Q06623	W0T7D1	Q6C4B7
OG0001419	P53275	W0T6D3	Q6CAL3
OG0001420	P53276	W0T840	Q6C0P8
OG0001421	P40033	W0TA49	Q6C424
OG0001423	P40531	W0T844	Q6CDU5
OG0001424	P40032	W0T5T6	Q6CDU6
OG0001425	Q6Q560	W0T7E6	Q6C9C7
OG0001429	P13517	W0TA62	Q6CBA2
OG0001431	P07278	W0T855	Q6C2X0
OG0001432	P43609	W0T7F9	Q6C2X4
OG0001434	P39108	W0T6F7	Q6C182
OG0001437	Q12374	W0T865	Q6CC68
OG0001439	P10614	W0TA79	Q6CFP4
OG0001441	P00447	W0T871	Q6CFA1
OG0001442	P38758	W0T7I4	Q6CFL9
OG0001445	Q03327	W0TA83	Q6CFL5
OG0001447	P38759	W0T7J0	Q6C594
OG0001448	P07347	W0TA89	Q6CFM0
OG0001453	P53598	W0T883	Q6C4S9
OG0001454	Q12386	W0TA99	Q6CA98
OG0001455	P20134	W0T6J4	Q6CA95
OG0001457	P28241	W0T7K3	Q6CA33
OG0001458	P52488	W0T6J9	Q6CA35
OG0001459	P17121	W0T891	Q6C964
OG0001460	P39743	W0T5Z2	Q6C963
OG0001462	P32913	W0T5Z5	Q6C8A4
OG0001463	Q12486	W0T7L3	Q6C8A6
OG0001468	P21264	W0T8A8	Q6CDK7
OG0001475	P41735	W0T8B8	Q6C5T9
OG0001476	Q06389	W0T621	Q6C5U1
OG0001477	Q01476	W0T7N5	Q6CAE5
OG0001479	Q06350	W0T6N2	Q6C2W7
OG0001480	P38439	W0T8C2	W0TYN8
OG0001481	P07274	W0T626	W0TYP0
OG0001487	P33760	W0T6P3	P36966
OG0001488	P32561	W0T8D7	Q6C4X6
OG0001489	P50861	W0T644	Q6CH62
OG0001491	P89105	W0TAF9	Q6CGV9
OG0001493	Q12462	W0T648	Q6CD37
OG0001496	P43123	W0T8F2	Q6C776
OG0001499	P15436	W0TAH2	Q6CHI6
OG0001500	Q12154	W0T7S8	Q6C3M9
OG0001501	Q03799	W0T6R4	Q6C3Y2
OG0001504	Q12377	W0TAI2	Q6C9R4
OG0001505	Q03104	W0T670	Q6BZY5
OG0001507	P23639	W0TAI7	Q6C2N9
OG0001512	P54787	W0TAJ2	Q6C3S0
OG0001513	Q03103	W0T6S4	Q6C9P0
OG0001520	P32567	W0T686	Q6C7L9
OG0001521	Q07895	W0T7V6	Q6CFD5
OG0001534	P47079	W0T6A6	Q6C9H3
OG0001535	Q06217	W0T6V4	Q6C2M3
OG0001536	P29496	W0T8L8	Q6CI63
OG0001540	P16140	W0T8M4	Q6C4E9
OG0001543	P20424	W0T6C1	Q99150
OG0001544	P09064	W0T6W7	Q6C3W3
OG0001547	P29704	W0T6X1	Q9Y753
OG0001548	P16603	W0T800	F2Z6C9
OG0001551	Q02821	W0T6D4	Q6C019
OG0001552	Q12328	W0TAR1	Q6BZY4
OG0001554	Q12468	W0T8Q0	Q6C703
OG0001555	P33327	W0T6D8	Q6C6H1
OG0001557	P53875	W0TAR6	Q6C874
OG0001561	P05750	W0T6Z2	Q6C4U1
OG0001563	P53881	W0T821	Q6C4T8
OG0001565	P53883	W0T6Z9	Q6CHX5
OG0001567	P39006	W0TAT2	Q6C893
OG0001569	P53889	W0T8R8	Q6CAZ6
OG0001572	P53893	W0T838	Q6C8W8
OG0001575	P53894	W0T6H0	Q6CFS5
OG0001581	P35191	W0T847	Q6C1X9
OG0001582	P22943	W0TAV4	Q6C8D6
OG0001584	P32908	W0T733	Q6C5S3
OG0001586	P38523	W0T858	Q6CBI2
OG0001588	Q12106	W0T6J8	Q6C260
OG0001591	Q12283	W0TAX9	Q6C5F2
OG0001592	P19541	W0T755	Q6C6E9
OG0001594	P26321	W0T873	Q6C4Z8
OG0001595	P38630	W0T761	Q6CEB7
OG0001597	P35189	W0T877	Q6CE71
OG0001601	P32266	W0T8X7	Q6C258
OG0001604	P39683	W0TAZ2	Q6CG74
OG0001606	P40360	W0T778	Q6CEE1
OG0001608	P37302	W0TB02	Q6CDU2
OG0001609	Q08873	W0T6N4	Q6C3T6
OG0001610	P32864	W0T912	Q6C2P8
OG0001613	P39676	W0TB73	Q6CB74
OG0001614	P36037	W0T6U2	Q6C9H6
OG0001615	P32368	W0T8G6	Q6CA45
OG0001616	P00937	W0TB78	Q6C9H7
OG0001617	P47124	W0T962	F2Z6C7
OG0001618	P47123	W0T6U6	Q6CG95
OG0001619	P22515	W0T8H0	Q6C6V1
OG0001622	P36039	W0T8H4	Q6C523
OG0001623	P47122	W0TB83	Q6C525
OG0001624	P36040	W0T7G7	Q6C524
OG0001626	P47119	W0T6V3	Q6CDL9
OG0001627	P33418	W0T8H8	Q6C715
OG0001628	P40348	W0TB87	Q6C6B9
OG0001630	P47117	W0T8I3	Q6C3K0
OG0001631	P40413	W0TB91	Q6C522
OG0001633	P40354	W0T982	Q6C879
OG0001638	P33202	W0TB98	Q6C6X9
OG0001639	P33201	W0T7I5	Q6BZS2
OG0001640	P32902	W0T6W9	Q6C1V9
OG0001641	P38753	W0TBA2	Q6C2N2
OG0001642	P28495	W0T7I8	Q6C6Y4
OG0001645	P28778	W0T8K1	Q6C7J8
OG0001647	Q02196	W0T7J3	Q6C7J1
OG0001650	Q05911	W0T7J6	Q6CE97
OG0001662	P32342	W0T7L1	Q6CGI9
OG0001664	Q04437	W0T7L6	Q6C7B9
OG0001666	P07342	W0T7M0	Q6CDI5
OG0001671	P36000	W0T722	Q6C0U1
OG0001676	P07560	W0T730	P41924
OG0001678	Q12102	W0T7P2	Q6CAZ0
OG0001680	P29469	W0T8R6	Q6C2W1
OG0001681	P38205	W0TBH1	Q6C6S1
OG0001682	P32803	W0T9G6	Q6C3H2
OG0001685	P33892	W0T7Q3	Q6C8Q9
OG0001687	P12687	W0T753	Q6C9C4
OG0001688	P25605	W0T8S2	Q6CCG2
OG0001691	P32477	W0TBI3	Q6C433
OG0001695	P40858	W0TBI8	Q6C2D1
OG0001699	P05150	W0T8T9	Q6C924
OG0001710	P40327	W0TBK9	Q6C352
OG0001713	Q12158	W0T8V6	Q6CFB9
OG0001720	P53295	W0T7A1	Q6CEU1
OG0001722	P09938	W0TBL9	Q6CFU6
OG0001723	P53297	W0T9L5	Q6CDK5
OG0001732	P36421	W0T9M1	Q6CBV3
OG0001733	P41895	W0T7B4	Q6C1W7
OG0001734	P48362	W0TBN2	Q6C2J7
OG0001736	Q07807	W0T7B8	Q6C669
OG0001738	Q07953	W0TBN7	Q6C0F0
OG0001739	P33750	W0T7C0	Q6C949
OG0001740	Q12445	W0TBP2	Q6C8K9
OG0001741	Q07938	W0T7Y2	Q6CES3
OG0001743	P08678	W0T7C4	Q6CE40
OG0001745	P32892	W0TBP6	Q6CEB8
OG0001746	Q07799	W0T7Y8	Q6CEB9
OG0001749	P31384	W0T7Z1	Q6CEJ6
OG0001751	P20449	W0T902	Q6C3X7
OG0001753	P12611	W0T9P4	Q6CHQ6
OG0001754	Q08412	W0T7D5	Q6CAS3
OG0001758	P36150	W0T805	Q6CI67
OG0001759	P36151	W0T9Q4	Q6CI71
OG0001761	P36152	W0T915	Q6CCV4
OG0001762	Q08444	W0T810	Q6C1J1
OG0001763	Q08446	W0T7F1	Q6C1J0
OG0001768	P14126	W0TBT2	Q6CB65
OG0001769	P07143	W0T7G1	Q6CGP7
OG0001771	Q92331	W0T824	Q6CGR9
OG0001772	P36159	W0T9S2	Q6CH35
OG0001777	P32621	W0T9T1	Q6CBK6
OG0001779	P32639	W0TBV2	Q6C0Y6
OG0001781	P26364	W0T7I7	Q6C0A1
OG0001785	P52490	W0T958	Q6CDH2
OG0001786	P04147	W0TBW0	Q6CDH3
OG0001788	Q03195	W0T9V1	Q6CGN0
OG0001790	P30665	W0T964	Q6C2V4
OG0001791	Q12233	W0T9V6	B5FVB8
OG0001793	P36523	W0T970	Q6C2L9
OG0001794	P23201	W0TBW8	Q6C1F8
OG0001795	P37297	W0TBX3	Q6C4B9
OG0001796	P52491	W0T9W7	Q6C9W0
OG0001799	P53101	W0T870	Q6CAR4
OG0001800	P53191	W0T9Y0	Q6CI43
OG0001801	Q08920	W0TBY5	Q6C468
OG0001803	Q12060	W0T993	Q6CBZ6
OG0001804	Q12184	W0T878	Q6CFZ5
OG0001805	Q04338	W0T9Z0	Q6CFZ4
OG0001806	Q04336	W0T7M9	Q6CFZ0
OG0001811	P33313	W0T890	Q6C275
OG0001814	Q02799	W0TC10	Q6CEV7
OG0001816	P38286	W0T7P9	Q6CHP1
OG0001817	P00546	W0T9C0	Q6CF29
OG0001819	P38288	W0T898	Q6CGN1
OG0001821	Q06494	W0T8A2	Q6C376
OG0001822	Q02784	W0TA21	Q6C0W3
OG0001823	P43597	W0T9D2	Q6CDS2
OG0001828	P40093	W0TA31	Q6C7V8
OG0001830	P39007	W0T9E3	Q6CED9
OG0001831	P27476	W0T7S6	Q6C1T7
OG0001833	P39076	W0TC41	Q6C224
OG0001834	P39013	W0T8C4	Q6C370
OG0001838	P53937	W0TA46	Q6CFI9
OG0001841	P12385	W0TC52	Q6C356
OG0001845	Q05636	W0T8E2	Q6CFB7
OG0001848	P47057	W0TA61	Q6C5Z2
OG0001855	P32916	W0T7W4	F2Z6C2
OG0001859	P38771	W0T7X0	Q6CHA2
OG0001860	P24276	W0T9I6	Q6C1S7
OG0001861	P07275	W0TC82	Q6CF74
OG0001862	Q05567	W0TA77	Q6C4B5
OG0001863	Q06630	W0TC89	Q6C5K2
OG0001864	P38992	W0T8H6	Q6C5K3
OG0001865	P09457	W0TA81	Q6C9B1
OG0001868	Q06632	W0TA86	Q6C740
OG0001877	Q08685	W0T9L4	Q6BZT5
OG0001878	Q08686	W0TCB1	Q6C0L9
OG0001881	Q08689	W0T8K3	Q6CHB3
OG0001882	P14906	W0TAB0	Q6CGM8
OG0001883	Q99257	W0T808	Q6CGM7
OG0001887	P06704	W0T9M8	Q6CGC2
OG0001888	P36534	W0TCC4	Q6CGC1
OG0001890	P53549	W0TAB9	Q6C516
OG0001891	P09032	W0T820	Q6C517
OG0001893	Q08723	W0TCC8	Q6C8G3
OG0001896	P32565	W0T9P5	Q6C288
OG0001898	P40509	W0TCE3	Q6C5Q9
OG0001901	P53723	W0T9Q5	Q6C256
OG0001902	P16120	W0TAG0	Q6C0N3
OG0001911	P25641	W0T8T8	Q6C2N7
OG0001914	Q06839	W0T9V4	Q6CG41
OG0001916	P20447	W0TAJ7	Q6C9P3
OG0001918	P35056	W0T9V9	Q99144
OG0001921	P32495	W0TAK1	Q6C0Y4
OG0001922	P41810	W0TCJ9	Q6C157
OG0001923	P36519	W0T8V7	Q6CG08
OG0001927	P28789	W0TAL0	Q6C097
OG0001928	P49367	W0T899	Q6C791
OG0001929	P09950	W0T8W7	Q6CCW0
OG0001933	Q04934	W0TCL4	Q6CD71
OG0001936	Q03705	W0TAM0	Q6C7C9
OG0001941	P38788	W0TAM9	Q6CEW0
OG0001942	P32776	W0T8B0	Q6CEW1
OG0001943	P38712	W0T9Z3	Q6CH58
OG0001946	P18759	W0TAN3	Q6C470
OG0001947	P38249	W0T8B2	Q6C161
OG0001948	Q04792	W0TAN7	Q6C2F2
OG0001953	P28707	W0TAP2	Q6CAS1
OG0001954	Q03161	W0T8C0	Q6C9Z7
OG0001967	Q03362	W0TAR0	Q6C8W2
OG0001968	P06782	W0T8D3	Q6CAK0
OG0001969	Q08826	W0TCQ8	Q6C2S9
OG0001971	Q01329	W0TAR5	Q6C2Z4
OG0001972	Q08831	W0T8D9	Q6CHK0
OG0001973	P06776	W0TA32	Q6CHK1
OG0001974	P39726	W0TCR3	Q6C7J7
OG0001976	P39724	W0TAS0	Q6C1I0
OG0001977	P06103	W0T8E4	Q6C1H8
OG0001980	P39721	W0TCS3	Q6BZV7
OG0001983	P36521	W0T926	Q6CCB8
OG0001986	P13586	W0T930	O43108
OG0001990	P32863	W0T935	Q6CFF5
OG0001992	Q02206	W0T941	Q6C3T3
