OrthoGroups	Sce_genes	Kma_genes	Yli_genes
OG0000692	YBR202W	KLMA_10748	YALI1_B24335g
OG0000693	YPL065W	KLMA_10745	YALI1_A19595g
OG0000694	YPL063W	KLMA_10744	YALI1_B27254g
OG0000695	YBR203W	KLMA_10743	YALI1_B01962g
OG0000696	YBR204C	KLMA_10741	YALI1_B20919g
OG0000697	YGR263C	KLMA_10740	YALI1_E34015g
OG0000698	YHR128W	KLMA_10735	YALI1_F38986g
OG0000699	YNL147W	KLMA_10734	YALI1_F37998g
OG0000700	YNL148C	KLMA_10733	YALI1_F35476g
OG0000701	YEL020W-A	KLMA_10732	YALI1_E05994g
OG0000702	YEL021W	KLMA_10731	YALI1_E31685g
OG0000703	YJR032W	KLMA_10728	YALI1_A17450g
OG0000704	YJR033C	KLMA_10727	YALI1_C23873g
OG0000705	YJR034W	KLMA_10726	YALI1_C23881g
OG0000706	YJR035W	KLMA_10725	YALI1_C23755g
OG0000707	YEL023C	KLMA_10724	YALI1_A03300g
OG0000708	YEL024W	KLMA_10723	YALI1_A03322g
OG0000709	YJR036C	KLMA_10722	YALI1_D18943g
OG0000710	YEL026W	KLMA_10721	YALI1_F31866g
OG0000711	YJR040W	KLMA_10720	YALI1_A03356g
OG0000712	YJR041C	KLMA_10719	YALI1_F39106g
OG0000713	YJR042W	KLMA_10718	YALI1_F31934g
OG0000714	YEL027W	KLMA_10717	YALI1_F31854g
OG0000715	YEL029C	KLMA_10714	YALI1_A08512g
OG0000716	YJR044C	KLMA_10713	YALI1_F03494g
OG0000717	YEL031W	KLMA_10710	YALI1_F29078g
OG0000718	YEL032W	KLMA_10709	YALI1_F29038g
OG0000719	YEL037C	KLMA_10706	YALI1_D20304g
OG0000720	YEL038W	KLMA_10705	YALI1_D20706g
OG0000721	YMR140W	KLMA_10703	YALI1_B16944g
OG0000722	YDL084W	KLMA_10698	YALI1_A11270g
OG0000723	YOR039W	KLMA_10694	YALI1_E24894g
OG0000724	YDR268W	KLMA_10692	YALI1_C25598g
OG0000725	YOR037W	KLMA_10691	YALI1_C25581g
OG0000726	YDR267C	KLMA_10690	YALI1_C25576g
OG0000727	YOR036W	KLMA_10689	YALI1_C30653g
OG0000728	YHR102W	KLMA_10686	YALI1_E40327g
OG0000730	YHR104W	KLMA_10683	YALI1_D09870g
OG0000731	YLR314C	KLMA_10680	YALI1_D30506g
OG0000732	YLR303W	KLMA_10677	YALI1_D33380g
OG0000733	YLL018C-A	KLMA_10675	YALI1_E41014g
OG0000734	YLL036C	KLMA_10672	YALI1_C05252g
OG0000735	YHL029C	KLMA_10671	YALI1_C00615g
OG0000736	YLL018C	KLMA_10670	YALI1_D28087g
OG0000737	YGR076C	KLMA_10669	YALI1_D29852g
OG0000738	YGR074W	KLMA_10667	YALI1_A05091g
OG0000739	YKL067W	KLMA_10663	YALI1_F12874g
OG0000740	YOL072W	KLMA_10662	YALI1_A10022g
OG0000741	YBR037C	KLMA_10660	YALI1_E27196g
OG0000742	YBR023C	KLMA_10656	YALI1_C33406g
OG0000743	YPL199C	KLMA_10651	YALI1_E02265g
OG0000744	YGL075C	KLMA_10650	YALI1_E05158g
OG0000745	YGL073W	KLMA_10648	YALI1_E16974g
OG0000747	YGL070C	KLMA_10645	YALI1_F23364g
OG0000748	YGL068W	KLMA_10643	YALI1_F23368g
OG0000749	YPL204W	KLMA_10641	YALI1_F11658g
OG0000750	YLR419W	KLMA_10639	YALI1_C03335g
OG0000751	YLR418C	KLMA_10638	YALI1_A04561g
OG0000752	YKL190W	KLMA_10636	YALI1_A21043g
OG0000753	YKL191W	KLMA_10634	YALI1_A21040g
OG0000754	YLR420W	KLMA_10633	YALI1_F29987g
OG0000756	YLR422W	KLMA_10630	YALI1_B29310g
OG0000757	YKL193C	KLMA_10628	YALI1_B18902g
OG0000758	YNL040W	KLMA_10627	YALI1_E05119g
OG0000759	YKL194C	KLMA_10626	YALI1_A09121g
OG0000760	YLR423C	KLMA_10625	YALI1_F31053g
OG0000761	YLR424W	KLMA_10624	YALI1_E25485g
OG0000762	YKL195W	KLMA_10623	YALI1_E25453g
OG0000763	YKL196C	KLMA_10622	YALI1_E25424g
OG0000764	YLR425W	KLMA_10620	YALI1_E15015g
OG0000765	YML055W	KLMA_10618	YALI1_A20441g
OG0000766	YLR427W	KLMA_10617	YALI1_A20453g
OG0000767	YLR429W	KLMA_10616	YALI1_A20408g
OG0000768	YOR150W	KLMA_10615	YALI1_D12750g
OG0000769	YOR288C	KLMA_10614	YALI1_F37011g
OG0000770	YOR289W	KLMA_10613	YALI1_E23967g
OG0000771	YJL080C	KLMA_10610	YALI1_B28292g
OG0000772	YKR016W	KLMA_10607	YALI1_F34933g
OG0000773	YKR017C	KLMA_10605	YALI1_F34895g
OG0000774	YKR020W	KLMA_10602	YALI1_B00539g
OG0000775	YDR090C	KLMA_10601	YALI1_C06368g
OG0000776	YDR061W	KLMA_10600	YALI1_E39934g
OG0000777	YDR062W	KLMA_10599	YALI1_F20637g
OG0000778	YPR018W	KLMA_10597	YALI1_F28550g
OG0000779	YPR016C	KLMA_10595	YALI1_E33024g
OG0000780	YGR009C	KLMA_10594	YALI1_E22070g
OG0000781	YMR269W	KLMA_10591	YALI1_F03120g
OG0000782	YML104C	KLMA_10590	YALI1_F03153g
OG0000783	YML105C	KLMA_10588	YALI1_F28467g
OG0000784	YMR276W	KLMA_10585	YALI1_E02648g
OG0000785	YML110C	KLMA_10581	YALI1_C25352g
OG0000786	YMR274C	KLMA_10580	YALI1_F10713g
OG0000787	YMR272C	KLMA_10577	YALI1_F17082g
OG0000788	YML114C	KLMA_10576	YALI1_E03918g
OG0000789	YMR277W	KLMA_10575	YALI1_E03941g
OG0000790	YNL136W	KLMA_10574	YALI1_B14147g
OG0000791	YNL137C	KLMA_10573	YALI1_B14150g
OG0000792	YNL138W	KLMA_10572	YALI1_B14187g
OG0000793	YNL138W-A	KLMA_10570	YALI1_A16501g
OG0000794	YNL139C	KLMA_10569	YALI1_A16509g
OG0000795	YNL152W	KLMA_10568	YALI1_D10067g
OG0000796	YNL151C	KLMA_10566	YALI1_D10033g
OG0000797	YNL149C	KLMA_10565	YALI1_D10022g
OG0000798	YCR024C	KLMA_10564	YALI1_E05833g
OG0000799	YEL019C	KLMA_10563	YALI1_A11500g
OG0000800	YCR027C	KLMA_10557	YALI1_E36404g
OG0000801	YEL015W	KLMA_10556	YALI1_D17564g
OG0000802	YEL013W	KLMA_10553	YALI1_E17037g
OG0000803	YCR019W	KLMA_10552	YALI1_E14889g
OG0000804	YEL012W	KLMA_10550	YALI1_E14910g
OG0000805	YEL011W	KLMA_10549	YALI1_C09072g
OG0000806	YCR017C	KLMA_10548	YALI1_E39656g
OG0000807	YCR016W	KLMA_10543	YALI1_D24626g
OG0000808	YCR015C	KLMA_10542	YALI1_D21464g
OG0000809	YCR014C	KLMA_10541	YALI1_D15367g
OG0000810	YCR012W	KLMA_10540	YALI1_D15424g
OG0000811	YOL023W	KLMA_10536	YALI1_B28572g
OG0000812	YOL022C	KLMA_10535	YALI1_B12243g
OG0000813	YFR009W	KLMA_10534	YALI1_E04420g
OG0000814	YOL021C	KLMA_10533	YALI1_E04359g
OG0000815	YFR010W	KLMA_10531	YALI1_D03663g
OG0000816	YFR011C	KLMA_10530	YALI1_D03701g
OG0000817	YOL018C	KLMA_10527	YALI1_E39306g
OG0000818	YDR023W	KLMA_10524	YALI1_F03908g
OG0000819	YBR046C	KLMA_10522	YALI1_B16309g
OG0000820	YKL070W	KLMA_10520	YALI1_F32441g
OG0000822	YER183C	KLMA_10513	YALI1_D01489g
OG0000823	YER182W	KLMA_10512	YALI1_F33403g
OG0000824	YHR207C	KLMA_10511	YALI1_D14628g
OG0000825	YHR206W	KLMA_10510	YALI1_D17710g
OG0000826	YMR312W	KLMA_10509	YALI1_D27126g
OG0000827	YMR313C	KLMA_10508	YALI1_D21511g
OG0000828	YMR314W	KLMA_10507	YALI1_C24660g
OG0000829	YMR301C	KLMA_10506	YALI1_E09750g
OG0000830	YMR300C	KLMA_10505	YALI1_B20153g
OG0000831	YGR276C	KLMA_10503	YALI1_B20243g
OG0000832	YGR274C	KLMA_10501	YALI1_F39885g
OG0000833	YMR296C	KLMA_10498	YALI1_C04265g
OG0000834	YGR271C-A	KLMA_10496	YALI1_B09258g
OG0000835	YGR271W	KLMA_10495	YALI1_B18451g
OG0000836	YMR294W	KLMA_10494	YALI1_F06941g
OG0000837	YMR293C	KLMA_10493	YALI1_F30703g
OG0000838	YGR270W	KLMA_10491	YALI1_F30647g
OG0000840	YGR268C	KLMA_10489	YALI1_D22413g
OG0000841	YGR267C	KLMA_10488	YALI1_A10254g
OG0000842	YGR266W	KLMA_10486	YALI1_E13428g
OG0000843	YMR290C	KLMA_10484	YALI1_E02317g
OG0000844	YGR264C	KLMA_10483	YALI1_F37354g
OG0000845	YGR262C	KLMA_10482	YALI1_F13046g
OG0000846	YMR289W	KLMA_10481	YALI1_D20061g
OG0000847	YGR261C	KLMA_10480	YALI1_B27015g
OG0000848	YMR288W	KLMA_10479	YALI1_B27102g
OG0000849	YHR187W	KLMA_10477	YALI1_B12427g
OG0000850	YHR186C	KLMA_10476	YALI1_E08271g
OG0000851	YGR258C	KLMA_10473	YALI1_D25616g
OG0000852	YGR257C	KLMA_10471	YALI1_E08253g
OG0000854	YHR175W	KLMA_10463	YALI1_E18990g
OG0000855	YHR172W	KLMA_10461	YALI1_E03449g
OG0000856	YGL014W	KLMA_10459	YALI1_E13132g
OG0000858	YGL006W	KLMA_10454	YALI1_D06195g
OG0000859	YGL005C	KLMA_10453	YALI1_D31387g
OG0000860	YAR007C	KLMA_10451	YALI1_E18854g
OG0000861	YGL003C	KLMA_10450	YALI1_C25629g
OG0000862	YAR003W	KLMA_10449	YALI1_C31576g
OG0000863	YAL001C	KLMA_10445	YALI1_C30614g
OG0000864	YGR001C	KLMA_10444	YALI1_C30683g
OG0000865	YCL001W	KLMA_10441	YALI1_B09568g
OG0000866	YCL002C	KLMA_10440	YALI1_E28150g
OG0000867	YCL004W	KLMA_10439	YALI1_E17162g
OG0000868	YFR025C	KLMA_10436	YALI1_E05963g
OG0000869	YHR020W	KLMA_10435	YALI1_E05929g
OG0000870	YHR019C	KLMA_10434	YALI1_E05907g
OG0000871	YHR018C	KLMA_10433	YALI1_D34865g
OG0000874	YML050W	KLMA_10426	YALI1_D03245g
OG0000875	YML049C	KLMA_10425	YALI1_D03380g
OG0000876	YML048W	KLMA_10424	YALI1_D03412g
OG0000877	YJR053W	KLMA_10422	YALI1_D18833g
OG0000878	YJR052W	KLMA_10420	YALI1_D26808g
OG0000880	YKR080W	KLMA_10419	YALI1_B15928g
OG0000881	YKR081C	KLMA_10418	YALI1_A04119g
OG0000882	YKR082W	KLMA_10417	YALI1_A04109g
OG0000883	YKR083C	KLMA_10416	YALI1_A17123g
OG0000884	YOR073W	KLMA_10415	YALI1_C09552g
OG0000885	YOR074C	KLMA_10414	YALI1_C15297g
OG0000886	YOR075W	KLMA_10413	YALI1_C15217g
OG0000887	YKR085C	KLMA_10410	YALI1_B12204g
OG0000888	YKR087C	KLMA_10408	YALI1_F13526g
OG0000889	YOR077W	KLMA_10407	YALI1_F10616g
OG0000890	YKR088C	KLMA_10406	YALI1_D24026g
OG0000891	YOR079C	KLMA_10404	YALI1_D24095g
OG0000892	YOR080W	KLMA_10403	YALI1_B25997g
OG0000893	YOL110W	KLMA_10401	YALI1_E03476g
OG0000894	YOL111C	KLMA_10400	YALI1_B22266g
OG0000901	YHR090C	KLMA_10396	YALI1_E17760g
OG0000902	YKL170W	KLMA_10392	YALI1_F23351g
OG0000903	YJL166W	KLMA_10390	YALI1_F02758g
OG0000904	YJL167W	KLMA_10389	YALI1_E06759g
OG0000905	YKL172W	KLMA_10388	YALI1_E06882g
OG0000906	YKL173W	KLMA_10387	YALI1_A21797g
OG0000907	YKL175W	KLMA_10385	YALI1_A01267g
OG0000908	YJL168C	KLMA_10383	YALI1_E21962g
OG0000909	YKL178C	KLMA_10382	YALI1_F15769g
OG0000910	YJL176C	KLMA_10379	YALI1_F21426g
OG0000911	YKL179C	KLMA_10378	YALI1_C26051g
OG0000912	YJL178C	KLMA_10375	YALI1_C22835g
OG0000913	YJL179W	KLMA_10374	YALI1_C22816g
OG0000914	YJL180C	KLMA_10373	YALI1_C26837g YALI1_C27442g
OG0000915	YJL183W	KLMA_10371	YALI1_F23157g
OG0000916	YCR028C-A	KLMA_10368	YALI1_E34028g
OG0000917	YKR065C	KLMA_10365	YALI1_B04470g
OG0000918	YKR063C	KLMA_10362	YALI1_D23575g
OG0000919	YJL148W	KLMA_10361	YALI1_D02085g
OG0000920	YKR062W	KLMA_10360	YALI1_F19180g
OG0000921	YJL145W	KLMA_10357	YALI1_D11354g
OG0000922	YGR286C	KLMA_10356	YALI1_D18845g
OG0000923	YJL143W	KLMA_10353	YALI1_E18184g
OG0000924	YJL141C	KLMA_10352	YALI1_C23818g
OG0000925	YJL140W	KLMA_10351	YALI1_C17949g
OG0000926	YKR060W	KLMA_10349	YALI1_F27132g
OG0000927	YKR056W	KLMA_10345	YALI1_F26860g
OG0000928	YKR054C	KLMA_10343	YALI1_E39057g
OG0000929	YGR244C	KLMA_10336	YALI1_D05873g
OG0000930	YGR245C	KLMA_10334	YALI1_E03220g
OG0000931	YGR246C	KLMA_10333	YALI1_E28599g
OG0000932	YGR247W	KLMA_10332	YALI1_A21311g
OG0000933	YHR164C	KLMA_10328	YALI1_E39500t
OG0000934	YHR165C	KLMA_10326	YALI1_C15021g
OG0000935	YHR166C	KLMA_10325	YALI1_C15077g
OG0000936	YHR168W	KLMA_10323	YALI1_D05817g
OG0000937	YMR214W	KLMA_10321	YALI1_E12952g
OG0000938	YMR216C	KLMA_10319	YALI1_A19459g
OG0000939	YMR217W	KLMA_10317	YALI1_B21070g
OG0000940	YOR278W	KLMA_10316	YALI1_F13039g
OG0000941	YMR218C	KLMA_10315	YALI1_B29662g
OG0000942	YMR220W	KLMA_10313	YALI1_E07506g
OG0000943	YMR221C	KLMA_10311	YALI1_C02904g
OG0000944	YMR223W	KLMA_10308	YALI1_C13093g
OG0000945	YOR281C	KLMA_10307	YALI1_D16236g
OG0000946	YMR224C	KLMA_10306	YALI1_B19120g
OG0000947	YOR283W	KLMA_10305	YALI1_D20359g
OG0000948	YOR287C	KLMA_10302	YALI1_B05242g
OG0000950	YDR404C	KLMA_10300	YALI1_D14462g
OG0000951	YDR400W	KLMA_10297	YALI1_F05220g
OG0000953	YDR398W	KLMA_10293	YALI1_E19483g
OG0000955	YOR149C	KLMA_10289	YALI1_C02086g
OG0000956	YDR394W	KLMA_10286	YALI1_D14609g
OG0000957	YDR393W	KLMA_10285	YALI1_E01694g
OG0000958	YOR145C	KLMA_10282	YALI1_E01649g
OG0000959	YML121W	KLMA_10280	YALI1_A09949g
OG0000960	YMR287C	KLMA_10278	YALI1_C21234g
OG0000961	YMR286W	KLMA_10276	YALI1_C11930g
OG0000962	YMR284W	KLMA_10274	YALI1_C11925g
OG0000963	YOL003C	KLMA_10273	YALI1_D34860g
OG0000964	YOL004W	KLMA_10272	YALI1_D34785g
OG0000965	YOL005C	KLMA_10271	YALI1_D34758g
OG0000966	YMR001C	KLMA_10270	YALI1_D34395g
OG0000967	YOL006C	KLMA_10269	YALI1_D34487g
OG0000968	YMR002W	KLMA_10268	YALI1_F22978g
OG0000969	YOL008W	KLMA_10266	YALI1_A03081g
OG0000970	YOL009C	KLMA_10265	YALI1_A03091g
OG0000971	YMR004W	KLMA_10263	YALI1_A03721g
OG0000972	YOL010W	KLMA_10262	YALI1_A05571g
OG0000973	YMR005W	KLMA_10261	YALI1_F09456g
OG0000974	YOL012C	KLMA_10259	YALI1_F04070g
OG0000975	YML043C	KLMA_10256	YALI1_F19841g
OG0000976	YGL127C	KLMA_10255	YALI1_C33217g
OG0000977	YBR217W	KLMA_10251	YALI1_F37255g
OG0000979	YGL059W	KLMA_10248	YALI1_F34202g
OG0000980	YGL058W	KLMA_10247	YALI1_F34105g
OG0000981	YGL055W	KLMA_10244	YALI1_C07638g
OG0000982	YBR213W	KLMA_10243	YALI1_E14153g
OG0000983	YGL054C	KLMA_10240	YALI1_F15859g
OG0000984	YFL010C	KLMA_10235	YALI1_E18281g
OG0000985	YOR188W	KLMA_10232	YALI1_F36805g
OG0000986	YLR299W	KLMA_10231	YALI1_C15945g
OG0000987	YLR298C	KLMA_10228	YALI1_F07376g
OG0000988	YLR289W	KLMA_10222	YALI1_F14374g
OG0000989	YOR184W	KLMA_10220	YALI1_F09598g
OG0000991	YLR287C	KLMA_10218	YALI1_F37770g
OG0000992	YOR181W	KLMA_10217	YALI1_B28744g
OG0000993	YLR286C	KLMA_10216	YALI1_A02198g
OG0000994	YLR285W	KLMA_10215	YALI1_A09408g
OG0000996	YLR283W	KLMA_10213	YALI1_C01993g
OG0000998	YLR278C	KLMA_10211	YALI1_C01847g
OG0000999	YLR277C	KLMA_10210	YALI1_F05624g
OG0001000	YLR276C	KLMA_10209	YALI1_F39128g
OG0001001	YOL073C	KLMA_10207	YALI1_D00909g
OG0001002	YGR078C	KLMA_10206	YALI1_B11916g
OG0001003	YOL075C	KLMA_10204	YALI1_D34149g
OG0001006	YDL013W	KLMA_10201	YALI1_C33332g
OG0001008	YDL015C	KLMA_10196	YALI1_A05116g
OG0001009	YDL017W	KLMA_10195	YALI1_F30520g
OG0001010	YIR027C	KLMA_10192	YALI1_F30479g
OG0001011	YBR017C	KLMA_10191	YALI1_F02794g
OG0001012	YAR014C	KLMA_10190	YALI1_F02855g
OG0001013	YAR015W	KLMA_10189	YALI1_E39221g
OG0001014	YAR018C	KLMA_10188	YALI1_E40422g
OG0001015	YAR019C	KLMA_10187	YALI1_F11553g
OG0001016	YAR035W	KLMA_10186	YALI1_F28064g
OG0001017	YDL020C	KLMA_10183	YALI1_F33301g
OG0001019	YOL057W	KLMA_10181	YALI1_B25603g
OG0001020	YOL060C	KLMA_10178	YALI1_E36984g
OG0001021	YOL062C	KLMA_10175	YALI1_C17680g
OG0001022	YDL029W	KLMA_10173	YALI1_F20712g
OG0001023	YDL028C	KLMA_10172	YALI1_F10900g
OG0001024	YOL063C	KLMA_10171	YALI1_D01036g
OG0001025	YOL093W	KLMA_10168	YALI1_F17103g
OG0001026	YOL094C	KLMA_10167	YALI1_F10688g
OG0001027	YDR484W	KLMA_10166	YALI1_F10731g
OG0001028	YDR485C	KLMA_10164	YALI1_B20834g
OG0001029	YOL096C	KLMA_10163	YALI1_B20835g
OG0001030	YDR486C	KLMA_10162	YALI1_B12057g
OG0001031	YJL194W	KLMA_10161	YALI1_C00913g
OG0001032	YCR033W	KLMA_10160	YALI1_B26517g
OG0001033	YCR035C	KLMA_10158	YALI1_B19567g
OG0001034	YCR036W	KLMA_10157	YALI1_B19576g
OG0001035	YJL197W	KLMA_10156	YALI1_B19205g
OG0001037	YJL201W	KLMA_10151	YALI1_B24997g
OG0001038	YJL203W	KLMA_10150	YALI1_B27454g
OG0001039	YJL204C	KLMA_10149	YALI1_B25017g
OG0001041	YNL244C	KLMA_10140	YALI1_C09950g
OG0001042	YNL245C	KLMA_10139	YALI1_F17496g
OG0001043	YNL247W	KLMA_10137	YALI1_D18577g
OG0001044	YJR098C	KLMA_10136	YALI1_E10013g
OG0001045	YJR097W	KLMA_10135	YALI1_E07874g
OG0001046	YNL248C	KLMA_10134	YALI1_E06068g
OG0001047	YNL250W	KLMA_10132	YALI1_D18555g
OG0001048	YNL251C	KLMA_10131	YALI1_E29665g
OG0001049	YNL252C	KLMA_10130	YALI1_E29617g
OG0001050	YNL253W	KLMA_10129	YALI1_E29642g
OG0001051	YNL255C	KLMA_10127	YALI1_D14915g
OG0001052	YNL256W	KLMA_10126	YALI1_A03069g
OG0001053	YGR255C	KLMA_10125	YALI1_A08781g
OG0001054	YDR058C	KLMA_10124	YALI1_E37118g
OG0001055	YNL259C	KLMA_10121	YALI1_B23771g
OG0001056	YNL260C	KLMA_10120	YALI1_E31034g
OG0001057	YHR156C	KLMA_10119	YALI1_E31031g
OG0001058	YNL261W	KLMA_10118	YALI1_B02465g
OG0001059	YNL262W	KLMA_10117	YALI1_E31248g
OG0001060	YNL263C	KLMA_10116	YALI1_E31194g
OG0001061	YGL140C	KLMA_10113	YALI1_E31131g
OG0001062	YGR048W	KLMA_10112	YALI1_E31075g
OG0001063	YGR047C	KLMA_10111	YALI1_B00525g
OG0001064	YNL265C	KLMA_10110	YALI1_B05438g
OG0001065	YGR046W	KLMA_10109	YALI1_C17238g
OG0001066	YNL267W	KLMA_10108	YALI1_B03719g
OG0001067	YNL272C	KLMA_10103	YALI1_F34749g
OG0001068	YEL064C	KLMA_10102	YALI1_E33485g
OG0001069	YNL273W	KLMA_10101	YALI1_B08540g
OG0001070	YOR154W	KLMA_10099	YALI1_C17609g
OG0001071	YCR042C	KLMA_10098	YALI1_C19529g
OG0001072	YNL275W	KLMA_10095	YALI1_E35067g
OG0001073	YCR044C	KLMA_10094	YALI1_D33735g
OG0001074	YER018C	KLMA_10093	YALI1_A15846g
OG0001075	YER019W	KLMA_10092	YALI1_D23128g
OG0001076	YLR189C	KLMA_10091	YALI1_D23067g
OG0001077	YNL277W	KLMA_10090	YALI1_E01235g
OG0001078	YNL279W	KLMA_10086	YALI1_E10443g
OG0001079	YLR186W	KLMA_10085	YALI1_E02056g
OG0001080	YLR182W	KLMA_10081	YALI1_C17820g
OG0001081	YLR181C	KLMA_10080	YALI1_C17800g
OG0001083	YDR510W	KLMA_10072	YALI1_F10115g
OG0001084	YCL027W	KLMA_10068	YALI1_E35221g
OG0001085	YCL029C	KLMA_10066	YALI1_B27837g
OG0001086	YCL030C	KLMA_10065	YALI1_A15879g
OG0001087	YDR511W	KLMA_10064	YALI1_C13241g
OG0001088	YCL031C	KLMA_10063	YALI1_C18892g
OG0001089	YCL032W	KLMA_10062	YALI1_E22988g
OG0001091	YCL033C	KLMA_10060	YALI1_C07077g
OG0001092	YCL034W	KLMA_10059	YALI1_C06973g
OG0001093	YCL038C	KLMA_10053	YALI1_C04798g
OG0001094	YCL039W	KLMA_10052	YALI1_C04672g
OG0001095	YDR517W	KLMA_10050	YALI1_E03553g
OG0001096	YCL043C	KLMA_10049	YALI1_E03584g
OG0001097	YCL044C	KLMA_10048	YALI1_E05403g
OG0001098	YCL045C	KLMA_10047	YALI1_E17527g
OG0001099	YDR519W	KLMA_10046	YALI1_A20602g
OG0001100	YDR527W	KLMA_10038	YALI1_E31724g
OG0001101	YDR531W	KLMA_10036	YALI1_D33780g
OG0001102	YDR529C	KLMA_10034	YALI1_E40361g
OG0001104	YCL052C	KLMA_10032	YALI1_E20666g
OG0001105	YCL054W	KLMA_10031	YALI1_D11722g
OG0001106	YCL055W	KLMA_10029	YALI1_C24400g
OG0001107	YCL057C-A	KLMA_10024	YALI1_D23653g
OG0001108	YCL059C	KLMA_10022	YALI1_F37963g
OG0001109	YCL061C	KLMA_10021	YALI1_E30520g
OG0001111	YGL256W	KLMA_20005	YALI1_E19014g
OG0001112	YJR099W	KLMA_20015	YALI1_F21174g
OG0001113	YPR045C	KLMA_20016	YALI1_F34870g
OG0001114	YJR100C	KLMA_20018	YALI1_B21787g
OG0001115	YDR075W	KLMA_20019	YALI1_F14175g
OG0001116	YER148W	KLMA_20021	YALI1_B29977g
OG0001117	YDR074W	KLMA_20023	YALI1_D17620g
OG0001118	YER146W	KLMA_20025	YALI1_B18613g
OG0001119	YDR071C	KLMA_20026	YALI1_B18607g
OG0001120	YDR068W	KLMA_20029	YALI1_F06956g
OG0001121	YDR067C	KLMA_20030	YALI1_B18460g
OG0001122	YER143W	KLMA_20031	YALI1_B08801g
OG0001123	YER142C	KLMA_20032	YALI1_B18631g
OG0001124	YER141W	KLMA_20033	YALI1_F32002g
OG0001125	YBL022C	KLMA_20035	YALI1_F33618g
OG0001126	YBL021C	KLMA_20036	YALI1_F22867g
OG0001127	YBL020W	KLMA_20037	YALI1_E08071g
OG0001128	YBL019W	KLMA_20038	YALI1_C09851g
OG0001129	YBL018C	KLMA_20039	YALI1_F17520g
OG0001130	YBL015W	KLMA_20042	YALI1_E36437g
OG0001131	YBL013W	KLMA_20043	YALI1_F10110g
OG0001132	YGL026C	KLMA_20046	YALI1_F32232g
OG0001133	YGL027C	KLMA_20048	YALI1_F19899g
OG0001134	YGL028C	KLMA_20049	YALI1_E25163g
OG0001135	YGL029W	KLMA_20051	YALI1_F17547g
OG0001137	YGR149W	KLMA_20052	YALI1_F36552g
OG0001138	YGL030W	KLMA_20053	YALI1_E27871g
OG0001139	YGR147C	KLMA_20056	YALI1_F20589g
OG0001140	YMR268C	KLMA_20060	YALI1_F03118g
OG0001141	YML103C	KLMA_20061	YALI1_F18081g
OG0001142	YML102W	KLMA_20067	YALI1_B19747g
OG0001143	YMR264W	KLMA_20068	YALI1_F26127g
OG0001144	YMR263W	KLMA_20069	YALI1_F26142g
OG0001145	YMR262W	KLMA_20070	YALI1_E36472g
OG0001146	YMR260C	KLMA_20075	YALI1_F28025g
OG0001148	YBR103W	KLMA_20077	YALI1_F14805g
