Orthogroup	gene	Stratum	type
OG0001587	P36005	1	Dupl
OG0000068	P25389	1	Dupl
OG0000259	Q12425	4	Dupl
OG0000349	P05986	2	Dupl
OG0000095	Q02733	1	Dupl
OG0001137	P36115	1	Dupl
OG0000108	P38144	2	Dupl
OG0000763	P27466	1	Dupl
OG0000441	Q03419	2	Dupl
OG0000522	P52489	1	Dupl
OG0000771	P13186	1	Dupl
OG0000644	P25341	1	Dupl
OG0000035	P32895	4	Dupl
OG0000900	Q04472	2	Dupl
OG0000636	P53966	1	Dupl
OG0000143	P38692	4	Dupl
OG0000944	Q01919	1	Dupl
OG0003491	P36004	1	Dupl
OG0000119	P43638	2	Dupl
OG0000816	P38703	1	Dupl
OG0000338	P39002	1	Dupl
OG0003524	P32435	1	Dupl
OG0000785	P38800	1	Dupl
OG0000668	Q12246	1	Dupl
OG0000598	P50112	2	Dupl
OG0000035	P38063	1	Dupl
OG0000040	P38130	2	Dupl
OG0000510	P14681	2	Dupl
OG0003528	Q08001	1	Dupl
OG0000391	Q04322	1	Dupl
OG0000689	Q03281	1	Dupl
OG0000462	Q12320	1	Dupl
OG0002686	P48813	1	Dupl
OG0003250	P39717	1	Dupl
OG0000742	Q08929	1	Dupl
OG0000055	P32769	4	Dupl
OG0000493	P02294	1	Dupl
OG0000574	P35843	1	Dupl
OG0000632	P32836	1	Dupl
OG0000367	Q04806	1	Dupl
OG0000159	P30606	1	Dupl
OG0001007	P25373	1	Dupl
OG0001073	P38068	1	Dupl
OG0000655	P27472	1	Dupl
OG0000516	Q03020	1	Dupl
OG0000225	P26364	4	Dupl
OG0002267	P18963	1	Dupl
OG0000189	P08539	4	Dupl
OG0000142	P36148	2	Dupl
OG0000969	P32642	1	Dupl
OG0000768	P0CE11	1	Dupl
OG0000173	P37291	4	Dupl
OG0000523	P41911	1	Dupl
OG0000119	Q03016	1	Dupl
OG0000850	P47102	1	Dupl
OG0001138	Q06336	2	Dupl
OG0000069	P42944	4	Dupl
OG0000489	P38143	2	Dupl
OG0000181	P40106	1	Dupl
OG0000567	P41809	1	Dupl
OG0001914	P0CY09	1	Dupl
OG0001817	P39979	1	Dupl
OG0000165	P38274	4	Dupl
OG0000531	Q12039	1	Dupl
OG0000721	Q02888	2	Dupl
OG0000371	P38710	2	Dupl
OG0000616	P47031	1	Dupl
OG0000183	P38697	1	Dupl
OG0000252	P50942	1	Dupl
OG0000390	P19211	1	Dupl
OG0000417	P28239	4	Dupl
OG0000216	P49775	5	Dupl
OG0000407	P02829	0	Dupl
OG0000328	P12684	1	Dupl
OG0000224	Q12122	2	Dupl
OG0000592	P04912	1	Dupl
OG0000009	P39924	0	Dupl
OG0000199	P31539	4	Dupl
OG0000204	P40037	1	Dupl
OG0000008	P10591	1	Dupl
OG0000009	P39003	0	Dupl
OG0003578	P39734	1	Dupl
OG0001069	P53897	1	Dupl
OG0000009	P23585	1	Dupl
OG0000573	P04806	1	Dupl
OG0000765	P32590	1	Dupl
OG0000076	Q12329	4	Dupl
OG0000009	P54862	0	Dupl
OG0000009	P32465	0	Dupl
OG0000008	P39987	1	Dupl
OG0000336	P53982	1	Dupl
OG0000008	P09435	0	Dupl
OG0000009	P40886	1	Dupl
OG0000009	P47185	0	Dupl
OG0000862	P39936	1	Dupl
OG0001070	P43598	1	Dupl
OG0000459	Q12132	4	Dupl
OG0001247	Q04006	1	Dupl
OG0000716	P38709	4	Dupl
OG0000331	P52492	4	Dupl
OG0002522	P0CF16	1	Dupl
OG0000970	P47049	1	Dupl
OG0000840	P39944	2	Dupl
OG0000878	Q08747	1	Dupl
OG0001394	P15732	0	Dupl
OG0000258	P43637	1	Dupl
OG0000741	Q06266	1	Dupl
OG0000718	Q04120	1	Dupl
OG0000265	Q06412	2	Dupl
OG0000586	P32893	4	Dupl
OG0000065	Q08438	2	Dupl
OG0000584	P38627	1	Dupl
OG0000989	Q03785	1	Dupl
OG0000038	O13527	0	Dupl
OG0000501	P38427	1	Dupl
OG0000320	Q04183	2	Dupl
OG0003542	Q02208	1	Dupl
OG0000750	P35172	1	Dupl
OG0000147	P12685	2	Dupl
OG0000775	Q04562	1	Dupl
OG0000749	P38825	1	Dupl
OG0002915	Q08919	1	Dupl
OG0000330	Q08231	2	Dupl
OG0000929	P50078	1	Dupl
OG0000979	P48561	1	Dupl
OG0001011	P53147	1	Dupl
OG0000343	Q04600	2	Dupl
OG0000597	P35169	1	Dupl
OG0000003	Q06451	1	Dupl
OG0000050	P22217	1	Dupl
OG0000711	Q03796	2	Dupl
OG0000671	P38187	1	Dupl
OG0000643	P48412	2	Dupl
OG0000184	P32842	4	Dupl
OG0000344	P23643	2	Dupl
OG0000967	P53142	1	Dupl
OG0000329	P22147	4	Dupl
OG0000002	P25594	1	Dupl
OG0000559	P40438	0	Dupl
OG0003054	P33301	1	Dupl
OG0000683	P53227	4	Dupl
OG0002860	Q12215	1	Dupl
OG0000272	Q04311	4	Dupl
OG0000288	P39102	4	Dupl
OG0001327	Q12363	1	Dupl
OG0000388	P47165	2	Dupl
OG0000835	Q02725	1	Dupl
OG0001357	Q04602	1	Dupl
OG0000619	Q03944	1	Dupl
OG0000760	Q07655	1	Dupl
OG0003719	Q12416	1	Dupl
OG0000002	P38358	4	Dupl
OG0000938	P40478	1	Dupl
OG0000939	P40041	2	Dupl
OG0000109	P38735	2	Dupl
OG0000148	Q03897	5	Dupl
OG0000452	P38816	1	Dupl
OG0002873	P10863	1	Dupl
OG0000039	P53378	4	Dupl
OG0000601	P48231	1	Dupl
OG0000801	Q12043	1	Dupl
OG0000416	P33315	1	Dupl
OG0000073	P27796	5	Dupl
OG0000178	P39548	0	Dupl
OG0000212	P38109	3	Dupl
OG0006114	P25607	0	Dupl
OG0000786	P39953	1	Dupl
OG0000178	P39549	1	Dupl
OG0000606	P38150	0	Dupl
OG0000085	Q12217	0	Dupl
OG0000038	Q12193	0	Dupl
OG0003535	P25593	1	Dupl
OG0000545	P41901	2	Dupl
OG0003493	P53032	1	Dupl
OG0000287	Q06135	4	Dupl
OG0000300	Q03655	3	Dupl
OG0001452	P25555	1	Dupl
OG0003895	Q01722	2	Dupl
OG0000022	P36173	0	Dupl
OG0000976	P25370	1	Dupl
OG0000825	P32874	1	Dupl
OG0002662	P36143	1	Dupl
OG0000230	P00925	1	Dupl
OG0000753	Q05785	1	Dupl
OG0000747	P38312	1	Dupl
OG0001040	P39875	2	Dupl
OG0000774	P39704	1	Dupl
OG0000381	P53198	1	Dupl
OG0000299	P39540	2	Dupl
OG0000638	Q04409	1	Dupl
OG0000363	P53938	4	Dupl
OG0000200	P16151	4	Dupl
OG0000244	P23776	1	Dupl
OG0000339	P36168	1	Dupl
OG0000269	P39727	4	Dupl
OG0000992	P53080	2	Dupl
OG0000987	P43555	1	Dupl
OG0000491	Q07872	2	Dupl
OG0000560	P22140	1	Dupl
OG0000677	P32330	1	Dupl
OG0000708	Q12743	2	Dupl
OG0000471	P39708	1	Dupl
OG0000019	P36009	4	Dupl
OG0000309	P37298	1	Dupl
OG0003745	O13577	1	Dupl
OG0003707	P54005	1	Dupl
OG0000187	P40989	1	Dupl
OG0000221	P38894	0	Dupl
OG0000170	P38310	4	Dupl
OG0000914	P25659	1	Dupl
OG0000868	P28003	1	Dupl
OG0000779	P53279	1	Dupl
OG0000003	P38124	4	Dupl
OG0000144	P20081	4	Dupl
OG0000373	Q07653	1	Dupl
OG0000013	P36033	1	Dupl
OG0000428	Q05015	2	Dupl
OG0001087	P37261	0	Dupl
OG0000089	Q12119	1	Dupl
OG0000777	Q03898	2	Dupl
OG0000054	Q12099	4	Dupl
OG0000180	P26793	5	Dupl
OG0000432	Q12035	4	Dupl
OG0000415	P53917	4	Dupl
OG0000437	Q12753	1	Dupl
OG0000214	P43561	2	Dupl
OG0000470	Q06179	2	Dupl
OG0000782	Q08991	0	Dupl
OG0003974	Q04433	1	Dupl
OG0000838	P41813	1	Dupl
OG0000025	Q07786	0	Dupl
OG0000018	P53388	4	Dupl
OG0000986	P53924	1	Dupl
OG0000208	P27344	1	Dupl
OG0001223	Q06011	3	Dupl
OG0001353	Q05958	1	Dupl
OG0000122	Q05031	2	Dupl
OG0002634	Q08729	1	Dupl
OG0000602	P23501	1	Dupl
OG0000820	P36041	1	Dupl
OG0000194	Q12168	2	Dupl
OG0000276	P25615	4	Dupl
OG0000352	P36008	2	Dupl
OG0000809	Q03764	1	Dupl
OG0000724	P38732	2	Dupl
OG0000357	P40202	4	Dupl
OG0000385	P13587	0	Dupl
OG0000061	P32907	1	Dupl
OG0000254	Q03153	4	Dupl
OG0000679	P38911	1	Dupl
OG0000164	P53121	1	Dupl
OG0000481	Q12166	1	Dupl
OG0003228	P38760	1	Dupl
OG0000802	P38851	1	Dupl
OG0000713	Q04533	1	Dupl
OG0000335	P39943	1	Dupl
OG0003649	Q9ZZW7	0	Dupl
OG0000007	Q08777	2	Dupl
OG0000808	P53885	1	Dupl
OG0000239	P33311	2	Dupl
OG0001127	P40457	1	Dupl
OG0001226	P32490	1	Dupl
OG0000824	P36006	1	Dupl
OG0001234	P40314	2	Dupl
OG0000160	P46955	1	Dupl
OG0000726	Q12144	2	Dupl
OG0000752	P21826	1	Dupl
OG0000135	P32569	2	Dupl
OG0000430	Q03218	1	Dupl
OG0000579	P34072	4	Dupl
OG0001479	P24720	1	Dupl
OG0000581	P53583	3	Dupl
OG0000389	P39016	4	Dupl
OG0000134	P40260	1	Dupl
OG0000399	P53745	1	Dupl
OG0000267	P36032	2	Dupl
OG0000917	P11746	2	Dupl
OG0000610	Q08179	2	Dupl
OG0000439	Q12230	2	Dupl
OG0000569	Q02891	1	Dupl
OG0000121	P22133	2	Dupl
OG0000023	P53341	0	Dupl
OG0002119	Q12372	1	Dupl
OG0000525	P47074	2	Dupl
OG0001031	P53281	1	Dupl
OG0003251	P53214	1	Dupl
OG0000799	P07266	1	Dupl
OG0003222	P36084	1	Dupl
OG0000818	P08593	2	Dupl
OG0000178	P53176	0	Dupl
OG0000399	P40549	2	Dupl
OG0000451	P36044	1	Dupl
OG0000150	P38734	4	Dupl
OG0000761	P54785	4	Dupl
OG0000869	Q07349	2	Dupl
OG0000091	P38590	1	Dupl
OG0000029	P0CD99	0	Dupl
OG0000568	P40050	3	Dupl
OG0000174	P46151	4	Dupl
OG0000772	P50873	1	Dupl
OG0001478	P22148	2	Dupl
OG0001120	P53311	1	Dupl
OG0000356	Q12117	1	Dupl
OG0000701	Q01926	3	Dupl
OG0001237	P10566	1	Dupl
OG0000044	P25336	4	Dupl
OG0000623	P40364	1	Dupl
OG0000377	P47083	4	Dupl
OG0000934	Q12317	2	Dupl
OG0000312	P46982	2	Dupl
OG0000098	P52920	4	Dupl
OG0000201	Q12100	2	Dupl
OG0000758	P53236	1	Dupl
OG0000500	P46654	1	Dupl
OG0000292	P46974	1	Dupl
OG0000848	Q02206	2	Dupl
OG0000860	P25632	1	Dupl
OG0001163	Q12378	2	Dupl
OG0000550	Q12443	1	Dupl
OG0000600	P0CX45	1	Dupl
OG0000296	P36531	2	Dupl
OG0000961	P17076	0	Dupl
OG0000455	P05740	1	Dupl
OG0000982	P40525	0	Dupl
OG0000354	Q12213	0	Dupl
OG0003807	Q3E754	0	Dupl
OG0000707	P39939	1	Dupl
OG0000662	Q03430	1	Dupl
OG0000379	P32591	4	Dupl
OG0000561	P05755	0	Dupl
OG0003375	Q08932	2	Dupl
OG0000333	Q3E7Y3	1	Dupl
OG0001601	P41057	1	Dupl
OG0000762	P48164	1	Dupl
OG0001071	P36105	0	Dupl
OG0001113	P56628	1	Dupl
OG0000950	P04449	1	Dupl
OG0000861	P05748	0	Dupl
OG0000845	Q3E757	1	Dupl
OG0001008	P40212	0	Dupl
OG0001037	P48581	2	Dupl
OG0000136	P14737	2	Dupl
OG0003357	P32841	0	Dupl
OG0000250	P53879	4	Dupl
OG0000169	Q01329	2	Dupl
OG0003556	P47116	1	Dupl
OG0000651	Q12221	1	Dupl
OG0000152	Q12355	2	Dupl
OG0000011	P33299	4	Dupl
OG0000852	P31374	1	Dupl
OG0000665	P50896	1	Dupl
OG0000209	P32561	4	Dupl
OG0000060	P10964	4	Dupl
OG0000059	P22138	4	Dupl
OG0000589	P40042	1	Dupl
OG0000698	P53046	2	Dupl
OG0000383	P43602	1	Dupl
OG0003274	P32385	1	Dupl
OG0001511	P53196	2	Dupl
OG0000486	Q08219	2	Dupl
OG0000511	P02407	1	Dupl
OG0000487	P49626	0	Dupl
OG0000908	P35997	0	Dupl
OG0000704	Q08745	1	Dupl
OG0000477	P06367	1	Dupl
OG0000641	P0C0T4	1	Dupl
OG0000494	P23248	1	Dupl
OG0003303	P42223	1	Dupl
OG0000585	Q06817	3	Dupl
OG0000807	P40856	1	Dupl
OG0005011	P47023	0	Dupl
OG0001905	Q12244	2	Dupl
OG0005502	P0CF00	0	Dupl
OG0000526	Q04898	1	Dupl
OG0001072	P53907	1	Dupl
OG0000005	Q12458	1	Dupl
OG0000226	Q06137	4	Dupl
OG0000667	Q06523	2	Dupl
OG0000378	Q12172	1	Dupl
OG0001425	Q07746	2	Dupl
OG0005178	P38780	0	Dupl
OG0000694	P38745	1	Dupl
OG0000070	P38899	0	Dupl
OG0000070	P40889	0	Dupl
OG0000386	P34248	4	Dupl
OG0000447	P38087	2	Dupl
OG0000963	P53740	1	Dupl
OG0001017	Q06252	1	Dupl
OG0004680	P40168	0	Dupl
OG0000070	P39972	0	Dupl
OG0003261	Q99248	1	Dupl
OG0000038	Q12501	0	Dupl
OG0003709	Q08910	1	Dupl
OG0000517	P38279	1	Dupl
OG0003237	Q04925	1	Dupl
OG0005153	P40538	1	Dupl
OG0001859	P40442	1	Dupl
OG0000038	Q12088	0	Dupl
OG0000058	P54007	0	Dupl
OG0002767	Q12351	2	Dupl
OG0003946	Q12282	1	Dupl
OG0000190	Q12145	1	Dupl
OG0000016	Q12303	1	Dupl
OG0000070	Q08993	0	Dupl
OG0000564	P32793	1	Dupl
OG0000041	Q03049	1	Dupl
OG0000099	P43551	1	Dupl
OG0000394	P10356	4	Dupl
OG0005011	P47024	0	Dupl
OG0000446	Q07895	2	Dupl
OG0000115	P38146	2	Dupl
OG0000038	Q07793	0	Dupl
OG0000070	P38900	0	Dupl
OG0000341	P38806	4	Dupl
OG0000038	Q12293	0	Dupl
OG0000727	Q12194	2	Dupl
OG0000104	Q05497	4	Dupl
OG0003496	Q06689	1	Dupl
OG0004487	P53976	0	Dupl
OG0000120	P53932	1	Dupl
OG0000085	Q12470	0	Dupl
OG0002724	Q08187	1	Dupl
OG0001999	Q08964	1	Dupl
OG0000797	P18961	1	Dupl
OG0000021	P25036	1	Dupl
OG0000085	Q03964	0	Dupl
OG0003571	Q07986	1	Dupl
OG0003248	Q03231	1	Dupl
OG0003210	P36025	1	Dupl
OG0000495	P38298	1	Dupl
OG0000242	Q12424	4	Dupl
OG0000070	P0CX16	0	Dupl
OG0000813	P39529	2	Dupl
OG0001136	P33324	1	Dupl
OG0000042	Q12253	1	Dupl
OG0000342	P0CF18	2	Dupl
OG0005185	P53964	0	Dupl
OG0003716	Q3E843	1	Dupl
OG0000038	Q99337	0	Dupl
OG0000151	P0CF19	4	Dupl
OG0000016	P53057	0	Dupl
OG0000070	P43539	0	Dupl
OG0001260	P53329	2	Dupl
OG0000800	P53156	1	Dupl
OG0000283	Q7LHG5	0	Dupl
OG0000621	P38841	4	Dupl
OG0003520	P40446	1	Dupl
OG0001046	Q08980	1	Dupl
OG0000186	P46951	2	Dupl
OG0000555	P38555	2	Dupl
OG0000164	Q08844	1	Dupl
OG0000506	Q03080	1	Dupl
OG0001773	Q08989	0	Dupl
OG0000859	Q08930	2	Dupl
OG0000960	P50111	1	Dupl
OG0000346	P40517	4	Dupl
OG0000040	P26725	1	Dupl
OG0000275	P32804	4	Dupl
OG0000038	Q12490	0	Dupl
OG0000620	Q12103	1	Dupl
OG0002803	Q12489	1	Dupl
OG0000080	P32622	1	Dupl
OG0000365	P32618	4	Dupl
OG0001745	P53336	1	Dupl
OG0001595	Q12185	1	Dupl
OG0001056	Q06676	2	Dupl
OG0000678	P38690	1	Dupl
OG0000286	P38867	1	Dupl
OG0000766	P38331	1	Dupl
OG0002644	P38317	0	Dupl
OG0000015	Q12235	4	Dupl
OG0000498	Q03787	1	Dupl
OG0000130	P38893	1	Dupl
OG0000897	Q07804	1	Dupl
OG0000617	P87012	1	Dupl
OG0000615	P53242	1	Dupl
OG0000041	P53183	1	Dupl
OG0002731	P46945	1	Dupl
OG0000687	Q05131	5	Dupl
OG0003258	P47087	1	Dupl
OG0000702	P35736	1	Dupl
OG0002152	P34251	1	Dupl
OG0003560	P53719	1	Dupl
OG0000656	P40361	2	Dupl
OG0000472	Q04116	1	Dupl
OG0004802	P40488	1	Dupl
OG0000562	P47152	1	Dupl
OG0001036	Q12259	1	Dupl
OG0002704	P53169	1	Dupl
OG0001875	Q8TGU2	2	Dupl
OG0000666	P25353	2	Dupl
OG0000680	Q12457	1	Dupl
OG0000985	P53204	1	Dupl
OG0000648	Q08485	1	Dupl
OG0000313	P52593	2	Dupl
OG0001243	P53248	1	Dupl
OG0000424	P16861	2	Dupl
OG0000484	P31378	1	Dupl
OG0000117	Q02630	1	Dupl
OG0000440	P32831	2	Dupl
OG0000179	Q12460	4	Dupl
OG0000791	P38082	1	Dupl
OG0000661	P40025	1	Dupl
OG0003206	P32800	2	Dupl
OG0001376	Q03210	1	Dupl
OG0000924	P11633	1	Dupl
OG0000966	P53203	1	Dupl
OG0000109	P0CE68	1	Dupl
OG0000237	P40098	4	Dupl
OG0000285	P04386	4	Dupl
OG0000251	Q07928	1	Dupl
OG0000340	P23900	4	Dupl
OG0000408	P13045	1	Dupl
OG0000670	P36001	1	Dupl
OG0000400	P46949	1	Dupl
OG0000425	Q12123	1	Dupl
OG0000167	P00358	1	Dupl
OG0000311	P49090	1	Dupl
OG0003288	P53296	2	Dupl
OG0000819	P53983	1	Dupl
OG0000393	P15790	2	Dupl
OG0000193	P38149	4	Dupl
OG0000066	P38723	0	Dupl
OG0000514	Q05790	3	Dupl
OG0000580	P38892	2	Dupl
OG0003940	P38774	0	Dupl
OG0000066	P43542	0	Dupl
OG0000066	Q07788	0	Dupl
OG0000091	P00425	0	Dupl
OG0000426	P32798	1	Dupl
OG0003699	Q08966	1	Dupl
OG0000277	P25360	1	Dupl
OG0003218	P33200	1	Dupl
OG0000012	Q04182	1	Dupl
OG0000074	Q03674	1	Dupl
OG0000476	P23595	1	Dupl
OG0000603	P36139	1	Dupl
OG0000380	P35994	0	Dupl
OG0000337	Q12477	1	Dupl
OG0000556	P53844	2	Dupl
OG0000435	P40038	1	Dupl
OG0000063	P17157	4	Dupl
OG0000660	Q03407	1	Dupl
OG0000839	P32492	1	Dupl
OG0000751	P38837	1	Dupl
OG0000781	P40064	1	Dupl
OG0000778	P33401	1	Dupl
OG0000345	Q12252	4	Dupl
OG0000552	P07271	3	Dupl
OG0003698	P40550	1	Dupl
OG0000094	P38155	0	Dupl
OG0000157	P16467	1	Dupl
OG0000084	P41816	1	Dupl
OG0000120	Q12524	2	Dupl
OG0000685	Q05518	1	Dupl
OG0002727	P37304	1	Dupl
OG0000380	Q07987	0	Dupl
OG0003891	Q06810	0	Dupl
OG0000941	Q02201	1	Dupl
OG0000843	Q06144	1	Dupl
OG0000094	Q03050	0	Dupl
OG0000094	P38725	0	Dupl
OG0000633	P35845	1	Dupl
OG0000596	P21375	1	Dupl
OG0000639	Q12202	2	Dupl
OG0001147	P52960	1	Dupl
OG0000674	P39966	1	Dupl
OG0000227	Q99216	4	Dupl
OG0000911	P52867	1	Dupl
OG0000082	P38693	0	Dupl
OG0000107	P46999	1	Dupl
OG0000474	Q12326	1	Dupl
OG0000186	P47190	2	Dupl
OG0000107	Q03180	1	Dupl
OG0003213	P32634	1	Dupl
OG0000222	P40961	4	Dupl
OG0000880	P53191	2	Dupl
OG0003723	P40975	0	Dupl
OG0000291	P19657	1	Dupl
OG0000093	P07991	5	Dupl
OG0001084	Q03028	1	Dupl
