genes	orthology
YALI1_C28263g	Multi-Core
YALI1_E01352g	Multi-Core
YALI1_B08461g	Multi-Core
YALI1_B28349g	Multi-Core
YALI1_A12099g	Multi-Core
YALI1_D07348g	Multi-Core
YALI1_C17453g	Multi-Core
YALI1_B00049g	Multi-Core
YALI1_C25703g	Multi-Core
YALI1_D03061g	Multi-Core
YALI1_E21097g	Multi-Core
YALI1_C06259g	Multi-Core
YALI1_C08523g	Multi-Core
YALI1_A19759g	Multi-Core
YALI1_E01589g	Multi-Core
YALI1_A06099g	Multi-Core
YALI1_F23191g	Multi-Core
YALI1_D20018g	Multi-Core
YALI1_A03512g	Multi-Core
YALI1_A06169g	Multi-Core
YALI1_E27731g	Multi-Core
YALI1_D10535g	Multi-Core
YALI1_B21594g	Multi-Core
YALI1_B23300g	Multi-Core
YALI1_A18062g	Multi-Core
YALI1_C33458g	Multi-Core
YALI1_F11583g	Multi-Core
YALI1_B16544g	Multi-Core
YALI1_D14725g	Multi-Core
YALI1_D33961g	Multi-Core
YALI1_C02248g	Multi-Core
YALI1_E00824g	Multi-Core
YALI1_D28273g	Multi-Core
YALI1_C14787g	Multi-Core
YALI1_E27161g	Multi-Core
YALI1_D31914g	Multi-Core
YALI1_E41436g	Multi-Core
YALI1_B02415g	Multi-Core
YALI1_A06818g	Multi-Core
YALI1_F04211g	Multi-Core
YALI1_D06489g	Multi-Core
YALI1_A06958g	Multi-Core
YALI1_D00326g	Multi-Core
YALI1_E41276g	Multi-Core
YALI1_B12489g	Multi-Core
YALI1_E27383g	Multi-Core
YALI1_F37234g	Multi-Core
YALI1_B22351g	Multi-Core
YALI1_C14450g	Multi-Core
YALI1_B06340g	Multi-Core
YALI1_D19623g	Multi-Core
YALI1_A10708g	Multi-Core
YALI1_E37930g	Multi-Core
YALI1_B13662g	Multi-Core
YALI1_C24567g	Multi-Core
YALI1_D01094g	Multi-Core
YALI1_D13388g	Multi-Core
YALI1_D32594g	Multi-Core
YALI1_E32241g	Multi-Core
YALI1_E33400g	Multi-Core
YALI1_E29840g	Multi-Core
YALI1_B24292g	Multi-Core
YALI1_D10458g	Multi-Core
YALI1_D33504g	Multi-Core
YALI1_F10990g	Multi-Core
YALI1_F00155g	Multi-Core
YALI1_F37627g	Multi-Core
YALI1_E23136g	Multi-Core
YALI1_E08575g	Multi-Core
YALI1_C33055g	Multi-Core
YALI1_F08683g	Multi-Core
YALI1_B17155g	Multi-Core
YALI1_E16597g	Multi-Core
YALI1_C28310g	Multi-Core
YALI1_B17050g	Multi-Core
YALI1_E11215g	Multi-Core
YALI1_A03624g	Multi-Core
YALI1_A15079g	Multi-Core
YALI1_F33764g	Multi-Core
YALI1_C05880g	Multi-Core
YALI1_E15625g	Multi-Core
YALI1_E05701g	Multi-Core
YALI1_D07486g	Multi-Core
YALI1_C24165g	Multi-Core
YALI1_A21203g	Multi-Core
YALI1_C05554g	Multi-Core
YALI1_C13453g	Multi-Core
YALI1_E04672g	Multi-Core
YALI1_E37830g	Multi-Core
YALI1_B17261g	Multi-Core
YALI1_E41699g	Multi-Core
YALI1_D05956g	Multi-Core
YALI1_F10296g	Multi-Core
YALI1_B10032g	Multi-Core
YALI1_E16608g	Multi-Core
YALI1_A07649g	Multi-Core
YALI1_A05795g	Multi-Core
YALI1_E03243g	Multi-Core
YALI1_B18069g	Multi-Core
YALI1_F27871g	Multi-Core
YALI1_D28569g	Multi-Core
YALI1_E19557g	Multi-Core
YALI1_E13611g	Multi-Core
YALI1_F34057g	Multi-Core
YALI1_B15420g	Multi-Core
YALI1_B12714g	Multi-Core
YALI1_D16756g	Multi-Core
YALI1_B09090g	Multi-Core
YALI1_E24113g	Multi-Core
YALI1_E40970g	Multi-Core
YALI1_A00406g	Multi-Core
YALI1_D10600g	Multi-Core
YALI1_E00337g	Multi-Core
YALI1_E37792g	Multi-Core
YALI1_E33675g	Multi-Core
YALI1_B21538g	Multi-Core
YALI1_F24963g	Multi-Core
YALI1_D03167g	Multi-Core
YALI1_B06110g	Multi-Core
YALI1_B16318g	Multi-Core
YALI1_C16572g	Multi-Core
YALI1_F01078g	Multi-Core
YALI1_A09741g	Multi-Core
YALI1_A15073g	Multi-Core
YALI1_A05605g	Multi-Core
YALI1_C13890g	Multi-Core
YALI1_F37775g	Multi-Core
YALI1_E00588g	Multi-Core
YALI1_E31754g	Multi-Core
YALI1_D12723g	Multi-Core
YALI1_E36140g	Multi-Core
YALI1_F34928g	Multi-Core
YALI1_E06664g	Multi-Core
YALI1_C11131g	Multi-Core
YALI1_B23708g	Multi-Core
YALI1_C26628g	Multi-Core
YALI1_E40671g	Multi-Core
YALI1_F16614g	Multi-Core
YALI1_D15458g	Multi-Core
YALI1_C25032g	Multi-Core
YALI1_F19556g	Multi-Core
YALI1_F14495g	Multi-Core
YALI1_F32638g	Multi-Core
YALI1_B05295g	Multi-Core
YALI1_D09277g	Multi-Core
YALI1_E40744g	Multi-Core
YALI1_F32597g	Multi-Core
YALI1_D28890g	Multi-Core
YALI1_D09308g	Multi-Core
YALI1_D07576g	Multi-Core
YALI1_C25621g	Multi-Core
YALI1_B06028g	Multi-Core
YALI1_E04060g	Multi-Core
YALI1_A18036g	Multi-Core
YALI1_F38432g	Multi-Core
YALI1_C03969g	Multi-Core
YALI1_B14645g	Multi-Core
YALI1_B29753g	Multi-Core
YALI1_F25309g	Multi-Core
YALI1_B26962g	Multi-Core
YALI1_B28394g	Multi-Core
YALI1_F32659g	Multi-Core
YALI1_C27933g	Multi-Core
YALI1_F31463g	Multi-Core
YALI1_E06178g	Multi-Core
YALI1_A22275g	Multi-Core
YALI1_C04570g	Multi-Core
YALI1_D20768g	Multi-Core
YALI1_F06544g	Multi-Core
YALI1_E07790g	Multi-Core
YALI1_E00613g	Multi-Core
YALI1_E22787g	Multi-Core
YALI1_D21631g	Multi-Core
YALI1_D09623g	Multi-Core
YALI1_C11382g	Multi-Core
YALI1_B18645g	Multi-Core
YALI1_E16731g	Multi-Core
YALI1_E27441g	Multi-Core
YALI1_E15197g	Multi-Core
YALI1_C04067g	Multi-Core
YALI1_D10367g	Multi-Core
YALI1_A15978g	Multi-Core
YALI1_F35417g	Multi-Core
YALI1_D21424g	Multi-Core
YALI1_E02183g	Multi-Core
YALI1_D09034g	Multi-Core
YALI1_A00447g	Multi-Core
YALI1_E23068g	Multi-Core
YALI1_A10672g	Multi-Core
YALI1_A21372g	Multi-Core
YALI1_A15227g	Multi-Core
YALI1_D00973g	Multi-Core
YALI1_B27110g	Multi-Core
YALI1_A20528g	Multi-Core
YALI1_C24200g	Multi-Core
YALI1_B09211g	Multi-Core
YALI1_D12282g	Multi-Core
YALI1_C19943g	Multi-Core
YALI1_D36255g	Multi-Core
YALI1_A05031g	Multi-Core
YALI1_C15707g	Multi-Core
YALI1_D27912g	Multi-Core
YALI1_C28846g	Multi-Core
YALI1_E23736g	Multi-Core
YALI1_F33973g	Multi-Core
YALI1_E12482g	Multi-Core
YALI1_B24502g	Multi-Core
YALI1_D25472g	Multi-Core
YALI1_C07199g	Multi-Core
YALI1_E36365g	Multi-Core
YALI1_E08104g	Multi-Core
YALI1_F12176g	Multi-Core
YALI1_F06858g	Multi-Core
YALI1_F29540g	Multi-Core
YALI1_B22375g	Multi-Core
YALI1_E24318g	Multi-Core
YALI1_B02194g	Multi-Core
YALI1_B11402g	Multi-Core
YALI1_B03761g	Multi-Core
YALI1_E22004g	Multi-Core
YALI1_A04071g	Multi-Core
YALI1_E22041g	Multi-Core
YALI1_E32603g	Multi-Core
YALI1_E16974g	Multi-Core
YALI1_C30524g	Multi-Core
YALI1_B13556g	Multi-Core
YALI1_F31832g	Multi-Core
YALI1_E38912g	Multi-Core
YALI1_F38820g	Multi-Core
YALI1_F14650g	Multi-Core
YALI1_D02000g	Multi-Core
YALI1_C20270g	Multi-Core
YALI1_D35356g	Multi-Core
YALI1_F13953g	Multi-Core
YALI1_A20229g	Multi-Core
YALI1_E38034g	Multi-Core
YALI1_C13261g	Multi-Core
YALI1_C01789g	Multi-Core
YALI1_A21000g	Multi-Core
YALI1_D27074g	Multi-Core
YALI1_E39295g	Multi-Core
YALI1_E37198g	Multi-Core
YALI1_C04093g	Multi-Core
YALI1_E17355g	Multi-Core
YALI1_D10768g	Multi-Core
YALI1_E02948g	Multi-Core
YALI1_D14453g	Multi-Core
YALI1_A21617g	Multi-Core
YALI1_F12666g	Multi-Core
YALI1_E07899g	Multi-Core
YALI1_D10197g	Multi-Core
YALI1_D07525g	Multi-Core
YALI1_D18037g	Multi-Core
YALI1_F25984g	Multi-Core
YALI1_A16075g	Multi-Core
YALI1_D24718g	Multi-Core
YALI1_E39128g	Multi-Core
YALI1_C31199g	Multi-Core
YALI1_D05111g	Multi-Core
YALI1_E05645g	Multi-Core
YALI1_C16932g	Multi-Core
YALI1_D20381g	Multi-Core
YALI1_D30230g	Multi-Core
YALI1_F21908g	Multi-Core
YALI1_B14844g	Multi-Core
YALI1_C21946g	Multi-Core
YALI1_A15784g	Multi-Core
YALI1_D08684g	Multi-Core
YALI1_F29765g	Multi-Core
YALI1_B25734g	Multi-Core
YALI1_F23270g	Multi-Core
YALI1_F39051g	Multi-Core
YALI1_D12790g	Multi-Core
YALI1_D09103g	Multi-Core
YALI1_D15398g	Multi-Core
YALI1_F37194g	Multi-Core
YALI1_B10751g	Multi-Core
YALI1_E35546g	Multi-Core
YALI1_D34933g	Non-Core
YALI1_E27625g	Non-Core
YALI1_A22454g	Non-Core
YALI1_A22496g	Non-Core
YALI1_E00239g	Non-Core
YALI1_E09329g	Non-Core
YALI1_E14350g	Non-Core
YALI1_E12561g	Non-Core
YALI1_B17292g	Non-Core
YALI1_C31408g	Non-Core
YALI1_A15105g	Non-Core
YALI1_B10231g	Non-Core
YALI1_F15357g	Non-Core
YALI1_C30454g	Non-Core
YALI1_E02744g	Non-Core
YALI1_E04719g	Non-Core
YALI1_C25391g	Non-Core
YALI1_C01161g	Non-Core
YALI1_E30677g	Non-Core
YALI1_B27968g	Non-Core
YALI1_E01530g	Non-Core
YALI1_D35025g	Non-Core
YALI1_A12356g	Non-Core
YALI1_F29798g	Non-Core
YALI1_C04720g	Non-Core
YALI1_C20793g	Non-Core
YALI1_B13328g	Non-Core
YALI1_B21155g	Non-Core
YALI1_E10295g	Non-Core
YALI1_D26671g	Non-Core
YALI1_A16681g	Non-Core
YALI1_E34842g	Non-Core
YALI1_F08784g	Non-Core
YALI1_A06594g	Non-Core
YALI1_C21789g	Non-Core
YALI1_E02850g	Non-Core
YALI1_F02132g	Non-Core
YALI1_C14931g	Non-Core
YALI1_D00094g	Non-Core
YALI1_E20463g	Non-Core
YALI1_F37171g	Non-Core
YALI1_D00376g	Non-Core
YALI1_B05313g	Non-Core
YALI1_A06530g	Non-Core
YALI1_E09568g	Non-Core
YALI1_B02047g	Non-Core
YALI1_E02162g	Non-Core
YALI1_C24891g	Non-Core
YALI1_A19398g	Non-Core
YALI1_F12578g	Non-Core
YALI1_F07699g	Non-Core
YALI1_F18835g	Non-Core
YALI1_A12540g	Non-Core
YALI1_D14915g	Non-Core
YALI1_A19025g	Non-Core
YALI1_D24249g	Non-Core
YALI1_A09064g	Non-Core
YALI1_E09817g	Non-Core
YALI1_F02265g	Non-Core
YALI1_E07409g	Non-Core
YALI1_A05168g	Non-Core
YALI1_F12649g	Non-Core
YALI1_E40251g	Non-Core
YALI1_C32461g	Non-Core
YALI1_D11937g	Non-Core
YALI1_C01043g	Non-Core
YALI1_A06416g	Non-Core
YALI1_F15291g	Non-Core
YALI1_C06770g	Non-Core
YALI1_F02508g	Non-Core
YALI1_D10565g	Non-Core
YALI1_B12375g	Non-Core
YALI1_F18664g	Non-Core
YALI1_C02332g	Non-Core
YALI1_F09720g	Non-Core
YALI1_B16645g	Non-Core
YALI1_B26033g	Non-Core
YALI1_E41315g	Non-Core
YALI1_F03215g	Non-Core
YALI1_C31549g	Non-Core
YALI1_A21477g	Non-Core
YALI1_F24564g	Non-Core
YALI1_C02117g	Non-Core
YALI1_E14201g	Non-Core
YALI1_D16144g	Non-Core
YALI1_B02430g	Non-Core
YALI1_D21256g	Non-Core
YALI1_E21779g	Non-Core
YALI1_C05022g	Non-Core
YALI1_D12567g	Non-Core
YALI1_E33888g	Non-Core
YALI1_A21594g	Non-Core
YALI1_F33861g	Non-Core
YALI1_B25136g	Non-Core
YALI1_E24735g	Non-Core
YALI1_E24532g	Non-Core
YALI1_B07696g	Non-Core
YALI1_C28551g	Non-Core
YALI1_A06229g	Non-Core
YALI1_C00503g	Non-Core
YALI1_D07888g	Non-Core
YALI1_E24245g	Non-Core
YALI1_E40603g	Non-Core
YALI1_C05972g	Non-Core
YALI1_E32247g	Non-Core
YALI1_F22376g	Non-Core
YALI1_B13259g	Non-Core
YALI1_F39494g	Non-Core
YALI1_B19323g	Non-Core
YALI1_C10990g	Non-Core
YALI1_A12037g	Non-Core
YALI1_B18572g	Non-Core
YALI1_D11402g	Non-Core
YALI1_C05323g	Non-Core
YALI1_F36584g	Non-Core
YALI1_B24836g	Non-Core
YALI1_D05594g	Non-Core
YALI1_B29364g	Non-Core
YALI1_F12330g	Non-Core
YALI1_A21236g	Non-Core
YALI1_B25868g	Non-Core
YALI1_B02833g	Non-Core
YALI1_D26438g	Non-Core
YALI1_E38218g	Non-Core
YALI1_C24526g	Non-Core
YALI1_C09750g	Non-Core
YALI1_A02190g	Non-Core
YALI1_A14292g	Non-Core
YALI1_E33459g	Non-Core
YALI1_D27946g	Non-Core
YALI1_F12810g	Non-Core
YALI1_D00062g	Non-Core
YALI1_D32111g	Non-Core
YALI1_A03029g	Non-Core
YALI1_C14106g	Non-Core
YALI1_F07042g	Non-Core
YALI1_D02804g	Non-Core
YALI1_E29939g	Non-Core
YALI1_E23988g	Non-Core
YALI1_C10203g	Non-Core
YALI1_F11093g	Non-Core
YALI1_C18478g	Non-Core
YALI1_D23237g	Non-Core
YALI1_C18948t	Non-Core
YALI1_F25701g	Non-Core
YALI1_E20099g	Non-Core
YALI1_D32369g	Non-Core
YALI1_B06928g	Non-Core
YALI1_C30392g	Non-Core
YALI1_E20995g	Non-Core
YALI1_F23551g	Non-Core
YALI1_C07360g	Non-Core
YALI1_D02444g	Non-Core
YALI1_C00368g	Non-Core
YALI1_D05286g	Non-Core
YALI1_A12617g	Non-Core
YALI1_F12562g	Non-Core
YALI1_E28490g	Non-Core
YALI1_E21053g	Non-Core
YALI1_E33799g	Non-Core
YALI1_B21935g	Non-Core
YALI1_D32695g	Non-Core
YALI1_F34281g	Non-Core
YALI1_C32223g	Non-Core
YALI1_A01537g	Non-Core
YALI1_B25258g	Non-Core
YALI1_A20822g	Non-Core
YALI1_D24054g	Non-Core
YALI1_D02781g	Non-Core
YALI1_D12403g	Non-Core
YALI1_E24479g	Non-Core
YALI1_F27017g	Non-Core
YALI1_A21871g	Non-Core
YALI1_F28393g	Non-Core
YALI1_D17829g	Non-Core
YALI1_C16347g	Non-Core
YALI1_D16891g	Non-Core
YALI1_B24351g	Non-Core
YALI1_D32268g	Non-Core
YALI1_F15641g	Non-Core
YALI1_F16796g	Non-Core
YALI1_F15568g	Non-Core
YALI1_F30593g	Non-Core
YALI1_A08126g	Non-Core
YALI1_B09871g	Non-Core
YALI1_E29557g	Non-Core
YALI1_D02625g	Non-Core
YALI1_E27997g	Non-Core
YALI1_D18251g	Non-Core
YALI1_E31446g	Non-Core
YALI1_A03116g	Non-Core
YALI1_E35249g	Non-Core
YALI1_F14933g	Non-Core
YALI1_A06823g	Non-Core
YALI1_C20364g	Non-Core
YALI1_B15192g	Non-Core
YALI1_E39570g	Non-Core
YALI1_D10264g	Non-Core
YALI1_D05901g	Non-Core
YALI1_D33820g	Non-Core
YALI1_C18932t	Non-Core
YALI1_F39426g	Non-Core
YALI1_E40282g	Non-Core
YALI1_C04201g	Non-Core
YALI1_B11131g	Non-Core
YALI1_C29902g	Non-Core
YALI1_F08514g	Non-Core
YALI1_C10385g	Non-Core
YALI1_C08923g	Non-Core
YALI1_E20845g	Non-Core
YALI1_F26793g	Non-Core
YALI1_C29261g	Non-Core
YALI1_D24508g	Non-Core
YALI1_C14369g	Non-Core
YALI1_D22804g	Non-Core
YALI1_D26454g	Non-Core
YALI1_F22935g	Non-Core
YALI1_B17569g	Non-Core
YALI1_E07019g	Non-Core
YALI1_A07768g	Non-Core
YALI1_E02767g	Non-Core
YALI1_D30285g	Non-Core
YALI1_F28333g	Non-Core
YALI1_A02682g	Non-Core
YALI1_F06410g	Non-Core
YALI1_C24434g	Non-Core
YALI1_C10121g	Non-Core
YALI1_D13124g	Non-Core
YALI1_D07344g	Non-Core
YALI1_C23021g	Non-Core
YALI1_B27929g	Non-Core
YALI1_F27692g	Non-Core
YALI1_F21467g	Non-Core
YALI1_C26377g	Non-Core
YALI1_D12050g	Non-Core
YALI1_B12101g	Non-Core
YALI1_D22961g	Non-Core
YALI1_F02545g	Non-Core
YALI1_F00261g	Non-Core
YALI1_D13019g	Non-Core
YALI1_F02074g	Non-Core
YALI1_E30462g	Non-Core
YALI1_D09766g	Non-Core
YALI1_B04831g	Non-Core
YALI1_D08317g	Non-Core
YALI1_F09161g	Non-Core
YALI1_F39789g	Non-Core
YALI1_E08530g	Non-Core
YALI1_F13384g	Non-Core
YALI1_E35305g	Non-Core
YALI1_E00019g	Non-Core
YALI1_E17508g	Non-Core
YALI1_D16166g	Non-Core
YALI1_C28228g	Non-Core
YALI1_B29419g	Non-Core
YALI1_A03450g	Non-Core
YALI1_D00848g	Non-Core
YALI1_B20634g	Non-Core
YALI1_F24798g	Non-Core
YALI1_D07945g	Non-Core
YALI1_E01741g	Non-Core
YALI1_E09924g	Non-Core
YALI1_C21516g	Non-Core
YALI1_F34324g	Non-Core
YALI1_B04068g	Non-Core
YALI1_C19072g	Non-Core
YALI1_E25518g	Non-Core
YALI1_E09051g	Non-Core
YALI1_A04976g	Non-Core
YALI1_D14805g	Non-Core
YALI1_F01132g	Non-Core
YALI1_D33168g	Non-Core
YALI1_A19898g	Non-Core
YALI1_D01036g	Non-Core
YALI1_E08709g	Non-Core
YALI1_C12317g	Non-Core
YALI1_B11715g	Non-Core
YALI1_A06989g	Non-Core
YALI1_E26525g	Non-Core
YALI1_F25212g	Non-Core
YALI1_B27179g	Non-Core
YALI1_B04690g	Non-Core
YALI1_D22864g	Non-Core
YALI1_F38263g	Non-Core
YALI1_E22840g	Non-Core
YALI1_C09200g	Non-Core
YALI1_F07604g	Non-Core
YALI1_D21145g	Non-Core
YALI1_C10762g	Non-Core
YALI1_F36267g	Non-Core
YALI1_C19058g	Non-Core
YALI1_E17201g	Non-Core
YALI1_D08971g	Non-Core
YALI1_D01632g	Non-Core
YALI1_F14107g	Non-Core
YALI1_B01030g	Non-Core
YALI1_E34686g	Non-Core
YALI1_C17078g	Non-Core
YALI1_E36887g	Non-Core
YALI1_E02481g	Non-Core
YALI1_D06859g	Non-Core
YALI1_B25833g	Non-Core
YALI1_A06815g	Non-Core
YALI1_E10148g	Non-Core
YALI1_D12028g	Non-Core
YALI1_D27057g	Non-Core
YALI1_B26377g	Non-Core
YALI1_E03300g	Non-Core
YALI1_C09260g	Non-Core
YALI1_E36789g	Non-Core
YALI1_C05931g	Non-Core
YALI1_F29139g	Non-Core
YALI1_F35274g	Non-Core
YALI1_D11514g	Non-Core
YALI1_B18887g	Non-Core
YALI1_C19316g	Non-Core
YALI1_D27637g	Non-Core
YALI1_C30310g	Non-Core
YALI1_B09002g	Non-Core
YALI1_E37234g	Non-Core
YALI1_F26519g	Non-Core
YALI1_F17358g	Non-Core
YALI1_D17832g	Non-Core
YALI1_D00673g	Non-Core
YALI1_E37157g	Non-Core
YALI1_D12315g	Non-Core
YALI1_A20283g	Non-Core
YALI1_E15835g	Non-Core
YALI1_B10463g	Non-Core
YALI1_D21610g	Non-Core
YALI1_B01060g	Non-Core
YALI1_E28863g	Non-Core
YALI1_A07357g	Non-Core
YALI1_B05282g	Non-Core
YALI1_E10339g	Non-Core
YALI1_F01614g	Non-Core
YALI1_E14762g	Non-Core
YALI1_C17440g	Non-Core
YALI1_C07152g	Non-Core
YALI1_A00538g	Non-Core
YALI1_F16551g	Non-Core
YALI1_E03789g	Non-Core
YALI1_E21799g	Non-Core
YALI1_F25708g	Non-Core
YALI1_F15286g	Non-Core
YALI1_E21256g	Non-Core
YALI1_C02550g	Non-Core
YALI1_E30109g	Non-Core
YALI1_D27385g	Non-Core
YALI1_B16022g	Non-Core
YALI1_A07014g	Non-Core
YALI1_D06805g	Non-Core
YALI1_F17094g	Non-Core
YALI1_D06736g	Non-Core
YALI1_F11449g	Non-Core
YALI1_F00399g	Non-Core
YALI1_D13510g	Non-Core
YALI1_A08107g	Non-Core
YALI1_A08759g	Non-Core
YALI1_D30781g	Non-Core
YALI1_D31258g	Non-Core
YALI1_C30235g	Non-Core
YALI1_A16808g	Non-Core
YALI1_E30849g	Non-Core
YALI1_D17842g	Non-Core
YALI1_A10510g	Non-Core
YALI1_E10140g	Non-Core
YALI1_E02143g	Non-Core
YALI1_B22158g	Non-Core
YALI1_A20484g	Non-Core
YALI1_A17239g	Non-Core
YALI1_B13536g	Non-Core
YALI1_F09056g	Non-Core
YALI1_E28439g	Non-Core
YALI1_F06426g	Non-Core
YALI1_D31155g	Non-Core
YALI1_E22697g	Non-Core
YALI1_C31649g	Non-Core
YALI1_B14959g	Non-Core
YALI1_B21104g	Non-Core
YALI1_E01033g	Non-Core
YALI1_D24918g	Non-Core
YALI1_F09932g	Non-Core
YALI1_E09602g	Non-Core
YALI1_B29227g	Non-Core
YALI1_C20023g	Non-Core
YALI1_F26367g	Non-Core
YALI1_E28919g	Non-Core
YALI1_B16158g	Non-Core
YALI1_E26257g	Non-Core
YALI1_C07562g	Non-Core
YALI1_E33372g	Non-Core
YALI1_A19010g	Non-Core
YALI1_E36494g	Non-Core
YALI1_B07331g	Non-Core
YALI1_C18771g	Non-Core
YALI1_C14884g	Non-Core
YALI1_F00534g	Non-Core
YALI1_E19314g	Non-Core
YALI1_E21443g	Non-Core
YALI1_B25395g	Non-Core
YALI1_C13928g	Non-Core
YALI1_E33599g	Non-Core
YALI1_A19195g	Non-Core
YALI1_E34156g	Non-Core
YALI1_C00852g	Non-Core
YALI1_D10721g	Non-Core
YALI1_A21919g	Non-Core
YALI1_F18459g	Non-Core
YALI1_D02316g	Non-Core
YALI1_F05871g	Non-Core
YALI1_D23753g	Non-Core
YALI1_B29243g	Non-Core
YALI1_D02014g	Non-Core
YALI1_C18396g	Non-Core
YALI1_B03288g	Non-Core
YALI1_E12919g	Non-Core
YALI1_C32034g	Non-Core
YALI1_F30789g	Non-Core
YALI1_B13641g	Non-Core
YALI1_D26218g	Non-Core
YALI1_F11907g	Non-Core
YALI1_F32716g	Non-Core
YALI1_B13699g	Non-Core
YALI1_F25546g	Non-Core
YALI1_C23150g	Non-Core
YALI1_C00116g	Non-Core
YALI1_A13591g	Non-Core
YALI1_F25649g	Non-Core
YALI1_D23622g	Non-Core
YALI1_F00976g	Non-Core
YALI1_A20902g	Non-Core
YALI1_E21364g	Non-Core
YALI1_C09451g	Non-Core
YALI1_F13185g	Non-Core
YALI1_E11969g	Non-Core
YALI1_F24773g	Non-Core
YALI1_E05309g	Non-Core
YALI1_C16431g	Non-Core
YALI1_E22414g	Non-Core
YALI1_F17472g	Non-Core
YALI1_F13452g	Non-Core
YALI1_D11343g	Non-Core
YALI1_E14068g	Non-Core
YALI1_C23175g	Non-Core
YALI1_E36937g	Non-Core
YALI1_C08952g	Non-Core
YALI1_C09718g	Non-Core
YALI1_E08228g	Non-Core
YALI1_B12691g	Non-Core
YALI1_B21675g	Non-Core
YALI1_B12295g	Non-Core
YALI1_F15265g	Non-Core
YALI1_A04341g	Non-Core
YALI1_A02443g	Non-Core
YALI1_B09497g	Non-Core
YALI1_F39199g	Non-Core
YALI1_A04006g	Non-Core
YALI1_F31798g	Non-Core
YALI1_E05489g	Non-Core
YALI1_E02626g	Non-Core
YALI1_E02046g	Non-Core
YALI1_D24892g	Non-Core
YALI1_E17389g	Non-Core
YALI1_B03290g	Non-Core
YALI1_D11666g	Non-Core
