genes,logFC,logCPM,PValue,FDR,,,,,,
YALI1_F39001g,-0.772628175,6.499172799,1.27E-39,1.54E-37,,,,,,
YALI1_D16144g,-0.645094681,6.704215035,7.23E-39,8.61E-37,,,,,,
YALI1_F07042g,-1.371774194,3.70957318,8.97E-39,1.05E-36,,,,,,
YALI1_D18770g,-0.754568384,7.178142516,8.03E-38,9.26E-36,,,,,,
YALI1_A21594g,1.39778336,4.63425466,1.35E-37,1.53E-35,,,,,,
YALI1_C32461g,-0.761037942,7.65359039,2.98E-37,3.33E-35,,,,,,
YALI1_F03215g,0.925438393,8.495133762,3.34E-37,3.68E-35,,,,,,
YALI1_D14915g,-0.595158037,7.132508221,5.92E-37,6.35E-35,,,,,,
YALI1_A19025g,0.823869376,6.075919657,5.93E-37,6.35E-35,,,,,,
YALI1_E09817g,-0.976867482,5.439028365,1.35E-36,1.42E-34,,,,,,
YALI1_F08885g,-0.897897332,6.579893975,1.40E-36,1.46E-34,,,,,,
YALI1_E07409g,-0.651572563,6.26771492,1.87E-36,1.92E-34,,,,,,
YALI1_C04553g,1.791312991,4.118601881,2.33E-36,2.35E-34,,,,,,
YALI1_D00703g,0.640776417,6.152669789,2.57E-36,2.56E-34,,,,,,
YALI1_C20793g,-1.251606826,5.774624507,2.84E-36,2.80E-34,,,,,,
YALI1_D01234g,1.067493931,6.839459403,9.48E-36,9.21E-34,,,,,,
YALI1_F18835g,1.453286967,4.630622451,1.10E-35,1.06E-33,,,,,,
YALI1_A19398g,1.19769426,4.022910402,1.19E-35,1.13E-33,,,,,,
YALI1_D21256g,-3.041794839,7.159118628,1.48E-35,1.39E-33,,,,,,
YALI1_C02332g,0.682447973,6.656177038,1.76E-35,1.62E-33,,,,,,
YALI1_A04164g,1.605390691,3.0889067,1.79E-35,1.63E-33,,,,,,
YALI1_F32287g,1.272563946,2.867235609,2.97E-35,2.67E-33,,,,,,
YALI1_C01043g,0.920828225,4.823240862,3.38E-35,3.00E-33,,,,,,
YALI1_B25427g,-0.652852974,9.539110373,5.29E-35,4.65E-33,,,,,,
YALI1_D11256g,1.014349786,6.366730561,1.01E-34,8.81E-33,,,,,,
YALI1_C05323g,-1.188249133,4.737822977,1.16E-34,9.95E-33,,,,,,
YALI1_C07638g,-0.655500538,10.92755629,1.32E-34,1.12E-32,,,,,,
YALI1_D11151g,-0.880121002,5.408593706,2.09E-34,1.75E-32,,,,,,
YALI1_A22454g,1.465057308,11.06147924,2.65E-34,2.20E-32,,,,,,
YALI1_F35753g,-0.663238252,6.658802578,7.97E-34,6.54E-32,,,,,,
YALI1_C07137g,-0.823604613,6.890265158,1.05E-33,8.56E-32,,,,,,
YALI1_F19106g,-0.764416509,6.457680158,1.25E-33,9.98E-32,,,,,,
YALI1_D14893g,-0.966792372,6.664262047,1.26E-33,9.98E-32,,,,,,
YALI1_F23922g,-0.771212784,10.4303158,2.89E-33,2.27E-31,,,,,,
YALI1_D11722g,-0.803864672,7.076763096,4.95E-33,3.84E-31,,,,,,
YALI1_C02117g,0.84769727,4.557271251,4.99E-33,3.84E-31,,,,,,
YALI1_E24245g,1.360834176,9.642006152,5.31E-33,4.04E-31,,,,,,
YALI1_F07699g,-0.835617994,5.755308335,5.59E-33,4.22E-31,,,,,,
YALI1_F36094g,-1.517339754,4.974009634,1.27E-32,9.45E-31,,,,,,
YALI1_C16621g,0.600852354,8.237383922,1.31E-32,9.68E-31,,,,,,
YALI1_B30382g,1.161431123,6.884753508,2.88E-32,2.10E-30,,,,,,
YALI1_E01133g,-1.156056424,4.966108291,3.09E-32,2.24E-30,,,,,,
YALI1_E24735g,-1.275707287,7.493570325,3.80E-32,2.72E-30,,,,,,
YALI1_C14332g,1.634732151,2.7361772,4.84E-32,3.43E-30,,,,,,
YALI1_E09568g,-1.051023594,7.217552194,5.19E-32,3.65E-30,,,,,,
YALI1_F39108g,-0.626385323,6.193163552,5.69E-32,3.97E-30,,,,,,
YALI1_E20463g,1.272233925,4.732038596,7.73E-32,5.34E-30,,,,,,
YALI1_D16206g,-1.161440191,4.768826147,8.11E-32,5.55E-30,,,,,,
YALI1_F18740g,3.231263777,0.723884488,1.21E-31,8.17E-30,,,,,,
YALI1_C14931g,0.815447261,5.571905251,1.26E-31,8.45E-30,,,,,,
YALI1_C05636g,-0.667591026,6.578719236,1.79E-31,1.19E-29,,,,,,
YALI1_E06441g,0.612359857,5.865283822,1.92E-31,1.27E-29,,,,,,
YALI1_C08040g,0.532969292,6.093529258,2.12E-31,1.39E-29,,,,,,
YALI1_E32776g,1.148481218,3.27365686,2.55E-31,1.65E-29,,,,,,
YALI1_D24249g,0.820299941,5.214562189,3.22E-31,2.07E-29,,,,,,
YALI1_F10713g,0.54064383,6.962474773,4.78E-31,3.05E-29,,,,,,
YALI1_B13586g,-0.66628819,6.351624623,8.76E-31,5.53E-29,,,,,,
YALI1_F11605g,-0.753457858,5.699151221,1.34E-30,8.36E-29,,,,,,
YALI1_C08922g,1.094522787,4.40483381,1.41E-30,8.77E-29,,,,,,
YALI1_C12333g,0.569423422,8.216677091,2.27E-30,1.40E-28,,,,,,
YALI1_B13137g,-0.698962463,5.972040948,2.33E-30,1.42E-28,,,,,,
YALI1_B13355g,0.58597711,6.614213521,2.68E-30,1.62E-28,,,,,,
YALI1_D28963g,-2.110986727,2.455709857,3.22E-30,1.93E-28,,,,,,
YALI1_A02190g,1.522379426,1.78959995,4.55E-30,2.71E-28,,,,,,
YALI1_A05168g,0.74247076,5.879164624,4.61E-30,2.72E-28,,,,,,
YALI1_D11402g,0.547947374,5.975219169,6.09E-30,3.57E-28,,,,,,
YALI1_F23109g,-0.728778189,7.182314569,6.42E-30,3.73E-28,,,,,,
YALI1_E41569g,0.679617704,6.493493216,7.75E-30,4.47E-28,,,,,,
YALI1_B25868g,0.861561969,5.66727281,8.94E-30,5.12E-28,,,,,,
YALI1_B16239g,-0.563843174,9.418582323,9.64E-30,5.47E-28,,,,,,
YALI1_C10318g,1.335170649,2.780020871,1.15E-29,6.46E-28,,,,,,
YALI1_E33024g,-0.718311539,5.981360503,1.22E-29,6.85E-28,,,,,,
YALI1_E12703g,-0.654194022,6.425463035,1.28E-29,7.10E-28,,,,,,
YALI1_D16864g,0.512154382,6.822509428,1.45E-29,8.01E-28,,,,,,
YALI1_B12409g,-0.776245931,7.890076946,1.65E-29,9.02E-28,,,,,,
YALI1_B28150g,-0.646423346,8.98147059,1.67E-29,9.04E-28,,,,,,
YALI1_D12056g,-0.730294619,5.912566543,2.27E-29,1.22E-27,,,,,,
YALI1_E33799g,-1.007886638,4.533593791,2.37E-29,1.27E-27,,,,,,
YALI1_B01698g,-0.784926232,7.989333939,3.75E-29,1.99E-27,,,,,,
YALI1_A18489g,-3.188818512,0.247570242,4.48E-29,2.36E-27,,,,,,
YALI1_F36584g,1.202631485,3.584906196,5.91E-29,3.09E-27,,,,,,
YALI1_B02430g,0.941576914,4.415563189,7.15E-29,3.72E-27,,,,,,
YALI1_F39128g,-0.737679111,6.484260195,7.36E-29,3.80E-27,,,,,,
YALI1_B30214g,-0.779696807,7.007631667,7.84E-29,4.02E-27,,,,,,
YALI1_F18276g,-0.60248109,7.821989143,8.23E-29,4.19E-27,,,,,,
YALI1_D05270g,0.499441139,7.896415979,8.36E-29,4.23E-27,,,,,,
YALI1_F11493g,-0.745585447,6.515919001,8.69E-29,4.36E-27,,,,,,
YALI1_F09720g,-1.275661989,6.790686057,1.27E-28,6.32E-27,,,,,,
YALI1_B25136g,-0.575234619,7.778647269,1.47E-28,7.30E-27,,,,,,
YALI1_D06094g,1.248996651,7.836651311,1.69E-28,8.34E-27,,,,,,
YALI1_D26438g,-0.826073857,5.611124405,1.81E-28,8.85E-27,,,,,,
YALI1_B28053g,-0.862054317,5.275126994,2.61E-28,1.27E-26,,,,,,
YALI1_D32424g,-0.794005627,6.064483054,4.14E-28,2.00E-26,,,,,,
YALI1_F25701g,-0.563091758,5.861151757,4.95E-28,2.36E-26,,,,,,
YALI1_B14292g,3.674085149,-0.415063505,4.96E-28,2.36E-26,,,,,,
YALI1_E38178g,-0.485644675,9.317773558,5.63E-28,2.66E-26,,,,,,
YALI1_F12330g,-0.906902071,7.812442592,8.97E-28,4.22E-26,,,,,,
YALI1_B21935g,1.662144029,3.048663861,9.95E-28,4.65E-26,,,,,,
YALI1_C06201g,1.639303987,0.900677255,1.02E-27,4.75E-26,,,,,,
YALI1_B07696g,1.115917899,3.650440653,1.04E-27,4.79E-26,,,,,,
YALI1_F15568g,-0.73405252,5.765805514,2.07E-27,9.50E-26,,,,,,
YALI1_C06222g,1.993921409,6.72717957,2.67E-27,1.22E-25,,,,,,
YALI1_F27141g,-0.549133969,7.455659756,4.22E-27,1.91E-25,,,,,,
YALI1_A12037g,1.6384579,2.685744248,8.29E-27,3.73E-25,,,,,,
YALI1_B19323g,-0.750399116,8.661816801,9.83E-27,4.40E-25,,,,,,
YALI1_D00376g,1.13700961,7.921311284,1.01E-26,4.51E-25,,,,,,
YALI1_E06882g,-0.607949876,7.602971299,1.12E-26,4.94E-25,,,,,,
YALI1_F19192g,-0.689213178,5.909941662,1.25E-26,5.49E-25,,,,,,
YALI1_B18572g,-0.56980527,9.637444314,1.26E-26,5.49E-25,,,,,,
YALI1_B14236g,-0.771149492,7.079007939,1.26E-26,5.49E-25,,,,,,
YALI1_F03992g,0.702628407,5.105992446,1.74E-26,7.50E-25,,,,,,
YALI1_F22241g,-0.586570092,7.863069964,1.96E-26,8.43E-25,,,,,,
YALI1_C29538g,0.62577733,5.016312257,2.21E-26,9.43E-25,,,,,,
YALI1_A12411g,-0.534315292,6.500969625,2.57E-26,1.09E-24,,,,,,
YALI1_E36437g,0.913035081,8.000326644,3.01E-26,1.27E-24,,,,,,
YALI1_F01755g,2.19799384,1.209221434,4.76E-26,2.00E-24,,,,,,
YALI1_C00503g,-0.709293791,7.392651502,5.76E-26,2.40E-24,,,,,,
YALI1_D21076g,-0.595789647,8.965931324,5.82E-26,2.41E-24,,,,,,
YALI1_A12403g,-0.486892148,6.095931075,6.13E-26,2.53E-24,,,,,,
YALI1_D30922g,-0.577578514,5.725481811,8.02E-26,3.29E-24,,,,,,
YALI1_D02804g,1.285876044,4.381790764,8.13E-26,3.32E-24,,,,,,
YALI1_E21786g,1.960874563,2.001058979,1.13E-25,4.60E-24,,,,,,
YALI1_E41315g,-0.520249328,10.20230279,1.21E-25,4.90E-24,,,,,,
YALI1_B06928g,-0.699745357,7.711664818,2.06E-25,8.28E-24,,,,,,
YALI1_F15291g,-0.742996466,5.019332235,2.09E-25,8.36E-24,,,,,,
YALI1_D00515g,-1.080762216,6.18849756,2.58E-25,1.02E-23,,,,,,
YALI1_B25676g,-1.05272528,4.678702484,3.99E-25,1.57E-23,,,,,,
YALI1_B16645g,-0.698296305,5.0678861,4.17E-25,1.64E-23,,,,,,
YALI1_E30707g,-0.676450728,5.699003669,4.42E-25,1.73E-23,,,,,,
YALI1_C18932t,-0.43301376,6.134896769,5.05E-25,1.96E-23,,,,,,
YALI1_B20802g,0.527108825,7.679674106,5.73E-25,2.21E-23,,,,,,
YALI1_E18961g,-0.516182637,6.61851676,5.79E-25,2.23E-23,,,,,,
YALI1_D34288g,-0.675683758,7.793061417,8.69E-25,3.33E-23,,,,,,
YALI1_A21236g,0.623786721,5.416346216,8.83E-25,3.36E-23,,,,,,
YALI1_E35249g,1.435384697,2.077734751,1.02E-24,3.86E-23,,,,,,
YALI1_A04261g,1.551858224,2.556945808,1.09E-24,4.11E-23,,,,,,
YALI1_E02744g,0.958522872,5.740557916,1.16E-24,4.36E-23,,,,,,
YALI1_E32664g,-1.174977069,8.826396017,1.30E-24,4.86E-23,,,,,,
YALI1_F12578g,0.707030476,6.287300934,2.15E-24,8.00E-23,,,,,,
YALI1_F14712g,-0.460407178,9.413275837,2.35E-24,8.67E-23,,,,,,
YALI1_F39494g,0.776544824,4.56411393,3.23E-24,1.19E-22,,,,,,
YALI1_A12225g,-0.67692907,7.478746901,3.29E-24,1.20E-22,,,,,,
YALI1_B04779g,-0.675469726,5.371328959,4.07E-24,1.48E-22,,,,,,
YALI1_F26793g,-1.254576181,7.632869146,5.96E-24,2.16E-22,,,,,,
YALI1_E13280g,-0.511798239,5.6664812,6.08E-24,2.19E-22,,,,,,
YALI1_E29939g,-0.758354673,4.943373954,8.19E-24,2.94E-22,,,,,,
YALI1_F21467g,1.627846764,2.177830621,8.26E-24,2.95E-22,,,,,,
YALI1_C14106g,-0.693121537,6.780581396,8.49E-24,3.02E-22,,,,,,
YALI1_F31215g,0.558383133,8.376666372,1.18E-23,4.18E-22,,,,,,
YALI1_C05972g,1.069214844,6.24069757,1.46E-23,5.13E-22,,,,,,
YALI1_E24532g,1.073193712,6.587164131,1.53E-23,5.34E-22,,,,,,
YALI1_E33459g,-0.568658605,9.547039933,1.56E-23,5.45E-22,,,,,,
YALI1_A22369g,1.357384427,7.68699987,1.82E-23,6.30E-22,,,,,,
YALI1_F26012g,0.583165617,5.031569265,1.84E-23,6.36E-22,,,,,,
YALI1_E04719g,-0.861987591,8.05956316,2.20E-23,7.56E-22,,,,,,
YALI1_A09593g,-0.63673482,7.017037871,2.34E-23,8.00E-22,,,,,,
YALI1_B15192g,-0.475270833,5.922091989,2.57E-23,8.74E-22,,,,,,
YALI1_F18696g,1.73994805,5.180397123,4.51E-23,1.53E-21,,,,,,
YALI1_F11093g,-0.650053307,5.374294315,4.53E-23,1.53E-21,,,,,,
YALI1_F18664g,1.01590215,4.224483763,5.03E-23,1.69E-21,,,,,,
YALI1_B04433g,-0.562908012,8.742926214,5.38E-23,1.80E-21,,,,,,
YALI1_C02402g,-0.629818495,6.58488005,5.44E-23,1.81E-21,,,,,,
YALI1_C07028g,-0.650219266,7.738485506,5.79E-23,1.92E-21,,,,,,
YALI1_A12617g,-0.745324798,4.173030818,6.11E-23,2.01E-21,,,,,,
YALI1_D32695g,0.541119501,5.195337044,6.73E-23,2.21E-21,,,,,,
YALI1_A06229g,-0.784640789,6.651302566,7.20E-23,2.35E-21,,,,,,
YALI1_E31805g,-0.573653679,6.558800067,7.99E-23,2.60E-21,,,,,,
YALI1_B27588g,0.457160881,7.123459798,8.70E-23,2.82E-21,,,,,,
YALI1_E40603g,1.290127783,2.965591204,1.01E-22,3.27E-21,,,,,,
YALI1_E23988g,0.726469581,6.533951848,1.07E-22,3.43E-21,,,,,,
YALI1_F26399g,0.819128035,4.778848993,1.22E-22,3.91E-21,,,,,,
YALI1_B23237g,0.804655004,9.332226353,1.23E-22,3.92E-21,,,,,,
YALI1_D32111g,-1.133015525,4.588745989,1.24E-22,3.93E-21,,,,,,
YALI1_D35575g,-0.611735346,7.389350815,1.38E-22,4.36E-21,,,,,,
YALI1_C23926g,0.462231965,7.758401524,1.41E-22,4.43E-21,,,,,,
YALI1_F08784g,0.81999568,7.188421177,1.83E-22,5.72E-21,,,,,,
YALI1_E23961g,0.521529788,6.718324508,1.90E-22,5.91E-21,,,,,,
YALI1_B13259g,0.931172727,3.25766914,1.95E-22,6.04E-21,,,,,,
YALI1_D05901g,-0.636002791,4.268455416,1.95E-22,6.04E-21,,,,,,
YALI1_A06823g,0.751351384,4.378608901,2.13E-22,6.56E-21,,,,,,
YALI1_D16166g,-0.592462295,5.138879424,2.26E-22,6.92E-21,,,,,,
YALI1_D07232g,-0.629683842,5.233876642,2.39E-22,7.30E-21,,,,,,
YALI1_C30392g,-0.566130054,5.508419245,2.80E-22,8.50E-21,,,,,,
YALI1_D19187g,-0.769465918,7.685034837,2.89E-22,8.72E-21,,,,,,
YALI1_E41514g,2.086088893,1.330587981,2.89E-22,8.72E-21,,,,,,
YALI1_F19169g,-0.470113952,6.581281119,3.14E-22,9.43E-21,,,,,,
YALI1_A14287g,0.606920063,7.381628685,3.26E-22,9.75E-21,,,,,,
YALI1_D17814g,1.517606236,1.943138931,3.40E-22,1.01E-20,,,,,,
YALI1_E21779g,1.803707658,2.922235232,3.78E-22,1.12E-20,,,,,,
YALI1_F23551g,-0.578847481,7.25610216,3.96E-22,1.17E-20,,,,,,
YALI1_E02162g,0.838181783,6.798320989,4.62E-22,1.36E-20,,,,,,
YALI1_D23237g,0.845984386,3.633850886,5.40E-22,1.58E-20,,,,,,
YALI1_D19721g,-0.960079089,6.041117716,6.22E-22,1.82E-20,,,,,,
YALI1_D22413g,0.507407169,5.008628795,8.16E-22,2.37E-20,,,,,,
YALI1_F13953g,0.81669897,3.857071731,9.82E-22,2.84E-20,,,,,,
YALI1_A21477g,1.70074558,5.662775134,1.12E-21,3.22E-20,,,,,,
YALI1_D07888g,0.544409596,6.416032325,1.21E-21,3.49E-20,,,,,,
YALI1_C20550g,0.607019697,4.910612847,1.58E-21,4.52E-20,,,,,,
YALI1_D07162g,-0.47847187,7.619908258,1.62E-21,4.61E-20,,,,,,
YALI1_F29483g,-0.530298028,7.613005932,2.29E-21,6.50E-20,,,,,,
YALI1_D17370g,-0.528722877,6.08377065,2.40E-21,6.79E-20,,,,,,
YALI1_F18152g,0.946495091,7.02222746,2.48E-21,6.98E-20,,,,,,
YALI1_D32342g,-0.65542475,4.967757073,2.66E-21,7.47E-20,,,,,,
YALI1_D04969g,-0.649790876,5.861585662,2.78E-21,7.76E-20,,,,,,
YALI1_E24479g,0.458299385,5.83629129,3.01E-21,8.40E-20,,,,,,
YALI1_D11937g,-0.617934587,6.988857298,3.28E-21,9.10E-20,,,,,,
YALI1_B02283g,0.618006657,5.625213881,5.66E-21,1.57E-19,,,,,,
YALI1_F30593g,-0.450659977,8.295769755,6.33E-21,1.75E-19,,,,,,
YALI1_F38220g,-2.347953091,2.739243027,6.65E-21,1.83E-19,,,,,,
YALI1_A22157g,-0.601805521,6.284671048,7.39E-21,2.02E-19,,,,,,
YALI1_F13446g,-0.69909566,5.846907824,8.67E-21,2.36E-19,,,,,,
YALI1_F13001g,-0.510210601,6.335885033,9.76E-21,2.65E-19,,,,,,
YALI1_B19388g,-0.603803035,6.406562842,9.82E-21,2.66E-19,,,,,,
YALI1_D33820g,-0.659929314,6.390613343,1.08E-20,2.90E-19,,,,,,
YALI1_C29595g,-0.646146383,6.695950874,1.11E-20,2.99E-19,,,,,,
YALI1_D12909g,-0.736965735,4.591115667,1.20E-20,3.20E-19,,,,,,
YALI1_C20054g,3.021086116,1.020836546,1.32E-20,3.51E-19,,,,,,
YALI1_D13124g,-0.851737686,4.907068822,1.42E-20,3.76E-19,,,,,,
YALI1_E13287g,-0.528818936,7.396574698,1.44E-20,3.82E-19,,,,,,
YALI1_F33861g,0.441784231,7.985652333,1.56E-20,4.11E-19,,,,,,
YALI1_F28015g,0.672419584,4.448950273,1.75E-20,4.61E-19,,,,,,
YALI1_D10284r,-1.778309767,1.06446479,1.83E-20,4.80E-19,,,,,,
YALI1_E31351g,-0.51903721,6.800871862,1.89E-20,4.93E-19,,,,,,
YALI1_F12810g,1.216249075,3.951383117,2.82E-20,7.33E-19,,,,,,
YALI1_A06311g,1.010413304,5.691233649,2.85E-20,7.40E-19,,,,,,
YALI1_C05022g,0.850538427,4.350376187,3.07E-20,7.93E-19,,,,,,
YALI1_C33098g,-0.679121203,6.597024617,3.15E-20,8.09E-19,,,,,,
YALI1_B22015g,-0.520133792,6.756986001,3.16E-20,8.09E-19,,,,,,
YALI1_D22804g,-0.553171847,8.223407395,3.26E-20,8.33E-19,,,,,,
YALI1_F13268g,0.89032815,7.904169908,3.33E-20,8.48E-19,,,,,,
YALI1_B08374g,0.809259427,5.477326387,3.39E-20,8.61E-19,,,,,,
YALI1_B02604g,1.234643309,2.479119855,3.79E-20,9.58E-19,,,,,,
YALI1_B21250g,-0.665835232,7.80364678,4.09E-20,1.03E-18,,,,,,
YALI1_A05571g,-0.561589652,5.178146792,4.19E-20,1.05E-18,,,,,,
YALI1_F08075g,-0.717133281,6.98833423,4.25E-20,1.06E-18,,,,,,
YALI1_E23136g,0.97704079,3.606240457,4.26E-20,1.06E-18,,,,,,
YALI1_B11532g,-0.479452182,8.284231043,4.76E-20,1.18E-18,,,,,,
YALI1_C30287g,-0.655100655,6.553243262,4.87E-20,1.21E-18,,,,,,
YALI1_D27808g,-1.341877561,1.39948372,4.88E-20,1.21E-18,,,,,,
YALI1_A04119g,-0.451478895,6.410355388,4.90E-20,1.21E-18,,,,,,
YALI1_D29335g,-0.485451182,8.161200342,5.04E-20,1.24E-18,,,,,,
YALI1_C29618g,-0.652045567,8.319909711,5.20E-20,1.27E-18,,,,,,
YALI1_D01967g,-0.629786861,5.600137072,5.36E-20,1.31E-18,,,,,,
YALI1_A03116g,0.57744605,4.927401175,5.45E-20,1.32E-18,,,,,,
YALI1_C10730g,-0.60183341,5.751219453,6.25E-20,1.51E-18,,,,,,
YALI1_E13453g,-0.9576435,10.12687819,7.22E-20,1.74E-18,,,,,,
YALI1_C09750g,0.999303076,3.554267414,7.39E-20,1.78E-18,,,,,,
YALI1_F22935g,0.562245854,6.578864371,7.91E-20,1.90E-18,,,,,,
YALI1_A03757g,-0.574979256,7.002675736,8.79E-20,2.10E-18,,,,,,
YALI1_F12138g,-0.47656269,9.614899655,9.19E-20,2.19E-18,,,,,,
YALI1_A02499g,0.498261587,5.829982792,1.09E-19,2.59E-18,,,,,,
YALI1_F10731g,0.459346411,6.380672011,1.17E-19,2.77E-18,,,,,,
YALI1_E04023g,-0.920069305,4.597829963,1.35E-19,3.19E-18,,,,,,
YALI1_B14544g,2.091617545,-0.0825,1.39E-19,3.28E-18,,,,,,
YALI1_D20662g,0.484489234,5.488674232,1.60E-19,3.74E-18,,,,,,
YALI1_B01839g,-0.5317219,6.875494149,1.66E-19,3.89E-18,,,,,,
YALI1_E24180g,0.729071499,3.994921761,1.67E-19,3.89E-18,,,,,,
YALI1_E28779g,-1.129194975,4.367205924,1.72E-19,4.00E-18,,,,,,
YALI1_D12403g,-0.5508908,7.773571131,1.86E-19,4.31E-18,,,,,,
YALI1_D24508g,-0.458990604,7.591140086,1.88E-19,4.34E-18,,,,,,
YALI1_F25444g,-0.840179142,6.31305756,2.09E-19,4.81E-18,,,,,,
YALI1_C06770g,0.667219225,7.053784939,2.19E-19,5.03E-18,,,,,,
YALI1_F27989g,0.841356921,4.62761738,2.22E-19,5.08E-18,,,,,,
YALI1_D02781g,-0.527226312,7.231811659,2.48E-19,5.64E-18,,,,,,
YALI1_E38706g,0.5092223,7.60721674,2.61E-19,5.92E-18,,,,,,
YALI1_E28490g,-0.52330821,7.882861529,3.42E-19,7.75E-18,,,,,,
YALI1_F27041g,-0.532379128,6.540266804,3.63E-19,8.21E-18,,,,,,
YALI1_C16347g,-0.580461183,5.373575892,5.14E-19,1.16E-17,,,,,,
