Orthogroup	A_s288c	A.niger	F.veneatum	S.pombe
OG0000469	P25453, P25454	tr|A2QY95|A2QY95_ASPNC	tr|A0A2L2T5K7|A0A2L2T5K7_9HYPO	sp|O42634|DMC1_SCHPO, sp|P36601|RAD51_SCHPO
OG0000470	P38819, P53198, Q05359	tr|A5AAN2|A5AAN2_ASPNC	tr|A0A2L2TG18|A0A2L2TG18_9HYPO	sp|O14324|YB79_SCHPO
OG0000471		tr|A2Q966|A2Q966_ASPNC, tr|A2QLV1|A2QLV1_ASPNC, tr|A2R7A3|A2R7A3_ASPNC	tr|A0A2L2SRH4|A0A2L2SRH4_9HYPO, tr|A0A2L2SS72|A0A2L2SS72_9HYPO, tr|A0A2L2TW26|A0A2L2TW26_9HYPO	
OG0000472		tr|A2Q8J5|A2Q8J5_ASPNC, tr|A2QAL7|A2QAL7_ASPNC, tr|A5AAF6|A5AAF6_ASPNC	tr|A0A2L2SZD3|A0A2L2SZD3_9HYPO, tr|A0A2L2THR6|A0A2L2THR6_9HYPO	sp|Q9USW3|YHZ7_SCHPO
OG0000473	P39932	tr|A2QTQ5|A2QTQ5_ASPNC, tr|A2R320|A2R320_ASPNC, tr|A2R3E3|A2R3E3_ASPNC	tr|A0A2L2T158|A0A2L2T158_9HYPO, tr|A0A2L2TUH3|A0A2L2TUH3_9HYPO	
OG0000474	P36032	tr|A2Q9D9|A2Q9D9_ASPNC, tr|A2QAJ7|A2QAJ7_ASPNC, tr|A2R2Q1|A2R2Q1_ASPNC, tr|A2RAW8|A2RAW8_ASPNC	tr|A0A2L2TGK8|A0A2L2TGK8_9HYPO	
OG0000475	P47164, Q04533	tr|A2QA31|A2QA31_ASPNC, tr|A2QY34|A2QY34_ASPNC	tr|A0A2L2T4E1|A0A2L2T4E1_9HYPO	sp|O74314|MET7_SCHPO
OG0000476	P39955, P40328	tr|A2QLM2|A2QLM2_ASPNC	tr|A0A2L2T248|A0A2L2T248_9HYPO	sp|O43078|ALF1_SCHPO, sp|Q9P3U2|YKX4_SCHPO
OG0000477		tr|A2R8V1|A2R8V1_ASPNC	tr|A0A2L2TC24|A0A2L2TC24_9HYPO, tr|A0A2L2TGN7|A0A2L2TGN7_9HYPO, tr|A0A2L2TGS2|A0A2L2TGS2_9HYPO, tr|A0A2L2TRI1|A0A2L2TRI1_9HYPO, tr|A0A2L2U1N7|A0A2L2U1N7_9HYPO	
OG0000478	P39522	tr|A2QGU4|A2QGU4_ASPNC, tr|A2R373|A2R373_ASPNC, tr|A2RAB2|A2RAB2_ASPNC	tr|A0A2L2T552|A0A2L2T552_9HYPO	sp|Q10318|ILV3_SCHPO
OG0000479	P07834, P40042	tr|A2QSE6|A2QSE6_ASPNC	tr|A0A2L2T8K0|A0A2L2T8K0_9HYPO	sp|O14170|POP2_SCHPO, sp|P87060|POP1_SCHPO
OG0000480	P38151	tr|A2QNV5|A2QNV5_ASPNC, tr|A2QWC3|A2QWC3_ASPNC	tr|A0A2L2SNF5|A0A2L2SNF5_9HYPO, tr|A0A2L2T2D5|A0A2L2T2D5_9HYPO	sp|O74919|RNC1_SCHPO
OG0000481	O14455, P05745	tr|A2QI04|A2QI04_ASPNC	tr|A0A2L2THX7|A0A2L2THX7_9HYPO	sp|O94658|RL36B_SCHPO, sp|Q92365|RL36A_SCHPO
OG0000482	P0CX31, P0CX32	tr|A2QYA0|A2QYA0_ASPNC	tr|A0A2L2TQP2|A0A2L2TQP2_9HYPO	sp|O13784|RS24A_SCHPO, sp|O59865|RS24B_SCHPO
OG0000483	O13516, P05755	tr|A2QFA4|A2QFA4_ASPNC	tr|A0A2L2T7J5|A0A2L2T7J5_9HYPO	sp|O59675|RS9B_SCHPO, sp|Q09757|RS9A_SCHPO
OG0000484	P05030, P19657	tr|A2Q8V1|A2Q8V1_ASPNC	tr|A0A2L2TL21|A0A2L2TL21_9HYPO	sp|P09627|PMA1_SCHPO, sp|P28876|PMA2_SCHPO
OG0000485	P40485, P53955, Q06108	tr|A2QLI9|A2QLI9_ASPNC	tr|A0A2L2TIW9|A0A2L2TIW9_9HYPO	sp|O94447|SLM1_SCHPO
OG0000486	P40504, P53966	tr|A2RA74|A2RA74_ASPNC	tr|A0A2L2T9W0|A0A2L2T9W0_9HYPO	sp|O94565|OMH4_SCHPO, sp|Q96WW1|OMH5_SCHPO
OG0000487	P53099	tr|A2QF66|A2QF66_ASPNC, tr|A2QNX8|A2QNX8_ASPNC, tr|A2QQN6|A2QQN6_ASPNC	tr|A0A2L2SPW8|A0A2L2SPW8_9HYPO, tr|A0A2L2TQY9|A0A2L2TQY9_9HYPO	
OG0000488	P49687, Q02629, Q02630	tr|A2QJ31|A2QJ31_ASPNC	tr|A0A2L2SVR7|A0A2L2SVR7_9HYPO	sp|Q9UTK4|NU189_SCHPO
OG0000489	P24868, P24869	tr|A2Q9C7|A2Q9C7_ASPNC	tr|A0A2L2TUH4|A0A2L2TUH4_9HYPO	sp|P10815|CG23_SCHPO, sp|P36630|CG22_SCHPO
OG0000490	P38778, P38925, Q12078	tr|A2QJ36|A2QJ36_ASPNC	tr|A0A2L2T4A9|A0A2L2T4A9_9HYPO	sp|Q10177|PDT1_SCHPO
OG0000491	P0CX33, P0CX34	tr|A2QVJ9|A2QVJ9_ASPNC	tr|A0A2L2TJM2|A0A2L2TJM2_9HYPO	sp|P0CT62|RS30A_SCHPO, sp|P0CT63|RS30_SCHPO
OG0000492	P32330, Q03177	tr|A2R481|A2R481_ASPNC	tr|A0A2L2TZH0|A0A2L2TZH0_9HYPO	sp|O60136|YNS5_SCHPO, sp|Q6LA54|YF48_SCHPO
OG0000493	P0CX39, P0CX40	tr|A2Q859|A2Q859_ASPNC	tr|A0A2L2T3H6|A0A2L2T3H6_9HYPO	sp|O14049|RS8A_SCHPO, sp|Q9P7B2|RS8B_SCHPO
OG0000494		tr|A2QHN6|A2QHN6_ASPNC, tr|A2QTB9|A2QTB9_ASPNC, tr|A2R6S6|A2R6S6_ASPNC	tr|A0A2L2STD4|A0A2L2STD4_9HYPO, tr|A0A2L2T8Q3|A0A2L2T8Q3_9HYPO, tr|A0A2L2TA86|A0A2L2TA86_9HYPO	
OG0000495	P37020	tr|A2QCN3|A2QCN3_ASPNC, tr|A2R3F0|A2R3F0_ASPNC	tr|A0A2L2TF29|A0A2L2TF29_9HYPO, tr|A0A2L2TFL2|A0A2L2TFL2_9HYPO	sp|O60159|YHYB_SCHPO
OG0000496	P32335	tr|A2QY63|A2QY63_ASPNC, tr|A2RAU2|A2RAU2_ASPNC	tr|A0A2L2T2G6|A0A2L2T2G6_9HYPO	sp|O14200|PXA1_SCHPO, sp|Q9UTB4|MSS51_SCHPO
OG0000497	P38790	tr|A2QPF0|A2QPF0_ASPNC, tr|A2R9P9|A2R9P9_ASPNC	tr|A0A2L2TH06|A0A2L2TH06_9HYPO, tr|A0A2L2U0K7|A0A2L2U0K7_9HYPO	sp|Q9Y814|HTD2_SCHPO
OG0000498	P32479, P32480	tr|A2QQ83|A2QQ83_ASPNC	tr|A0A2L2TFG8|A0A2L2TFG8_9HYPO	sp|O74309|SLM9_SCHPO, sp|P87314|HIR1_SCHPO
OG0000499	P38069, P46982	tr|A2QJE1|A2QJE1_ASPNC, tr|A2R3Z9|A2R3Z9_ASPNC, tr|A2R4M4|A2R4M4_ASPNC	tr|A0A2L2TC22|A0A2L2TC22_9HYPO	
OG0000500	P40525, P87262	tr|A5AAU3|A5AAU3_ASPNC	tr|A0A2L2SXV3|A0A2L2SXV3_9HYPO	sp|O42846|RL34A_SCHPO, sp|Q9URT8|RL34B_SCHPO
OG0000501	P40857	tr|A2QJD3|A2QJD3_ASPNC, tr|A2R7H5|A2R7H5_ASPNC	tr|A0A2L2SNZ7|A0A2L2SNZ7_9HYPO, tr|A0A2L2TB67|A0A2L2TB67_9HYPO	sp|O14346|HACD_SCHPO
OG0000502	P19211, P23301	tr|A2Q833|A2Q833_ASPNC	tr|A0A2L2TCQ7|A0A2L2TCQ7_9HYPO	sp|P56289|IF5A1_SCHPO, sp|Q9UST4|IF5A2_SCHPO
OG0000503	P0CH63, P0CH64	tr|A2QXJ8|A2QXJ8_ASPNC, tr|A2R1K9|A2R1K9_ASPNC	tr|A0A2L2TTC4|A0A2L2TTC4_9HYPO, tr|A0A2L2TUD1|A0A2L2TUD1_9HYPO	
OG0000504	Q12398	tr|A2QH09|A2QH09_ASPNC	tr|A0A2L2STC7|A0A2L2STC7_9HYPO, tr|A0A2L2SX80|A0A2L2SX80_9HYPO, tr|A0A2L2TC81|A0A2L2TC81_9HYPO	sp|Q9UUD1|SREBP_SCHPO
OG0000505	P05744, P41056	tr|A2QES9|A2QES9_ASPNC	tr|A0A2L2TWU1|A0A2L2TWU1_9HYPO	sp|Q9USG6|RL33B_SCHPO, sp|Q9USX4|RL33A_SCHPO
OG0000506	P47818	tr|A2Q9I7|A2Q9I7_ASPNC, tr|A2R7I9|A2R7I9_ASPNC	tr|A0A2L2T3W7|A0A2L2T3W7_9HYPO, tr|A0A2L2T7B4|A0A2L2T7B4_9HYPO	sp|Q9P6J2|PCL1_SCHPO
OG0000507	Q05584, Q12320	tr|A2R427|A2R427_ASPNC	tr|A0A2L2SQX7|A0A2L2SQX7_9HYPO	sp|O94250|GLO22_SCHPO, sp|Q9UT36|GLO21_SCHPO
OG0000508		tr|A2QXC0|A2QXC0_ASPNC	tr|A0A2L2SXK2|A0A2L2SXK2_9HYPO, tr|A0A2L2TAY5|A0A2L2TAY5_9HYPO, tr|A0A2L2TBE8|A0A2L2TBE8_9HYPO, tr|A0A2L2TKF3|A0A2L2TKF3_9HYPO, tr|A0A2L2TZ78|A0A2L2TZ78_9HYPO	
OG0000509	P0C0T4, Q3E792	tr|A2QAA0|A2QAA0_ASPNC	tr|A0A2L2TXQ5|A0A2L2TXQ5_9HYPO	sp|O74172|RS25B_SCHPO, sp|P79009|RS25A_SCHPO
OG0000510	Q02753, Q12672	tr|A2QFA5|A2QFA5_ASPNC	tr|A0A2L2TL87|A0A2L2TL87_9HYPO	sp|O42706|RL21B_SCHPO, sp|Q9UUC1|RL21A_SCHPO
OG0000511		tr|A2QK73|A2QK73_ASPNC	tr|A0A2L2SX05|A0A2L2SX05_9HYPO, tr|A0A2L2SXE6|A0A2L2SXE6_9HYPO, tr|A0A2L2SXH7|A0A2L2SXH7_9HYPO, tr|A0A2L2T7S0|A0A2L2T7S0_9HYPO, tr|A0A2L2TE45|A0A2L2TE45_9HYPO	
OG0000512	P0CX47, P0CX48	tr|A2QPB3|A2QPB3_ASPNC	tr|A0A2L2TM71|A0A2L2TM71_9HYPO	sp|P0CT73|RS11A_SCHPO, sp|P0CT74|RS11B_SCHPO
OG0000513	P10127	tr|A2QPG5|A2QPG5_ASPNC, tr|A2QVY9|A2QVY9_ASPNC	tr|A0A2L2SRG2|A0A2L2SRG2_9HYPO, tr|A0A2L2T0X8|A0A2L2T0X8_9HYPO	sp|Q09669|ADH4_SCHPO
OG0000514	P35843, P35844	tr|A2QDL9|A2QDL9_ASPNC	tr|A0A2L2TZM1|A0A2L2TZM1_9HYPO	sp|O43021|YGV7_SCHPO, sp|O74178|KES1_SCHPO
OG0000515	P05740, P46990	tr|A2QAR0|A2QAR0_ASPNC	tr|A0A2L2TM68|A0A2L2TM68_9HYPO	sp|O14339|RL17A_SCHPO, sp|O59794|RL17B_SCHPO
OG0000516	P41734	tr|A2QZE4|A2QZE4_ASPNC	tr|A0A2L2SNX2|A0A2L2SNX2_9HYPO, tr|A0A2L2TB16|A0A2L2TB16_9HYPO, tr|A0A2L2U1P2|A0A2L2U1P2_9HYPO	sp|O74648|IAH1_SCHPO
OG0000517	P17709, Q04409	tr|A2R0H3|A2R0H3_ASPNC	tr|A0A2L2SPV9|A0A2L2SPV9_9HYPO, tr|A0A2L2TNQ8|A0A2L2TNQ8_9HYPO	sp|P50521|HXK2_SCHPO
OG0000518	P38063, P38620, P38689	tr|A2QJ56|A2QJ56_ASPNC	tr|A0A2L2T3J6|A0A2L2T3J6_9HYPO	sp|O94413|KPR2_SCHPO
OG0000519	P43545, P53824, Q03148	tr|A2QGS0|A2QGS0_ASPNC	tr|A0A2L2TQX6|A0A2L2TQX6_9HYPO	sp|O14027|PDX1_SCHPO
OG0000520	P33421, Q04487	tr|A2QMS7|A2QMS7_ASPNC	tr|A0A2L2SS13|A0A2L2SS13_9HYPO, tr|A0A2L2TK81|A0A2L2TK81_9HYPO	sp|O74882|SDH3_SCHPO
OG0000521	P0C0W1, Q3E7Y3	tr|A2QB69|A2QB69_ASPNC	tr|A0A2L2SQX1|A0A2L2SQX1_9HYPO	sp|P0CT58|RS22A_SCHPO, sp|P0CT59|RS22B_SCHPO
OG0000522		tr|A2QTZ2|A2QTZ2_ASPNC	tr|A0A2L2SVZ2|A0A2L2SVZ2_9HYPO, tr|A0A2L2T9B5|A0A2L2T9B5_9HYPO, tr|A0A2L2TIH7|A0A2L2TIH7_9HYPO, tr|A0A2L2U0U9|A0A2L2U0U9_9HYPO, tr|A0A2L2U1P7|A0A2L2U1P7_9HYPO	
OG0000523	P05738, P51401	tr|A2QPY3|A2QPY3_ASPNC	tr|A0A2L2TNI9|A0A2L2TNI9_9HYPO	sp|O74905|RL9B_SCHPO, sp|Q10232|RL9A_SCHPO
OG0000524	P17121, Q12128	tr|A2QV01|A2QV01_ASPNC	tr|A0A2L2TC74|A0A2L2TC74_9HYPO, tr|A0A2L2TZD8|A0A2L2TZD8_9HYPO	sp|O74335|RGA5_SCHPO
OG0000525	P25042	tr|A2QJ51|A2QJ51_ASPNC	tr|A0A2L2TP08|A0A2L2TP08_9HYPO, tr|A0A2L2U1F6|A0A2L2U1F6_9HYPO	sp|P0CY16|MTMC3_SCHPO, sp|P0CY17|MATMC_SCHPO
OG0000526	P53753, Q12168	tr|A2Q852|A2Q852_ASPNC	tr|A0A2L2T9L1|A0A2L2T9L1_9HYPO	sp|Q09850|ENG2_SCHPO, sp|Q9UT45|ENG1_SCHPO
OG0000527	P07280, P07281	tr|A2RAS4|A2RAS4_ASPNC	tr|A0A2L2TS04|A0A2L2TS04_9HYPO	sp|P58234|RS19A_SCHPO, sp|P79016|RS19B_SCHPO
OG0000528	P22216, P39009	tr|A2R163|A2R163_ASPNC	tr|A0A2L2SQJ7|A0A2L2SQJ7_9HYPO, tr|A0A2L2T1S5|A0A2L2T1S5_9HYPO	sp|Q09170|CDS1_SCHPO
OG0000529	P40075, Q6Q595	tr|A2QHW8|A2QHW8_ASPNC	tr|A0A2L2TTH9|A0A2L2TTH9_9HYPO	sp|O60119|YH75_SCHPO, sp|Q10484|YDFC_SCHPO
OG0000530	P05748, P54780	tr|A2Q887|A2Q887_ASPNC	tr|A0A2L2TJE0|A0A2L2TJE0_9HYPO	sp|O74895|RL15A_SCHPO, sp|Q9US22|RL15B_SCHPO
OG0000531	P25341, P53739	tr|A2RAI3|A2RAI3_ASPNC	tr|A0A2L2TJ29|A0A2L2TJ29_9HYPO	sp|Q09831|PPK14_SCHPO, sp|Q9USX7|PPK22_SCHPO
OG0000532	P32867, P39926	tr|A2QYG9|A2QYG9_ASPNC	tr|A0A2L2TAA5|A0A2L2TAA5_9HYPO, tr|A0A2L2TJR3|A0A2L2TJR3_9HYPO	sp|Q9USH7|PSY1_SCHPO
OG0000533	P28003, Q99326	tr|A2QPS3|A2QPS3_ASPNC	tr|A0A2L2TE05|A0A2L2TE05_9HYPO	sp|O13719|LAF1_SCHPO, sp|O74443|LAF2_SCHPO
OG0000534	P25656, P53740	tr|A2QPS2|A2QPS2_ASPNC	tr|A0A2L2T7T3|A0A2L2T7T3_9HYPO	sp|Q1MTQ5|MUG89_SCHPO, sp|Q96WW4|IVN1_SCHPO
OG0000535	P0CX53, P0CX54	tr|A2Q8L2|A2Q8L2_ASPNC	tr|A0A2L2T782|A0A2L2T782_9HYPO	sp|P0CT83|RL12A_SCHPO, sp|P0CT84|RL12B_SCHPO
OG0000536	Q04080	tr|A2QPF5|A2QPF5_ASPNC	tr|A0A2L2T2E8|A0A2L2T2E8_9HYPO, tr|A0A2L2TH73|A0A2L2TH73_9HYPO	sp|Q10351|PIGS_SCHPO, sp|Q9USR5|THOC5_SCHPO
OG0000537		tr|A2QP94|A2QP94_ASPNC, tr|A2R196|A2R196_ASPNC	tr|A0A2L2TAH7|A0A2L2TAH7_9HYPO, tr|A0A2L2TIB2|A0A2L2TIB2_9HYPO, tr|A0A2L2TQE2|A0A2L2TQE2_9HYPO, tr|A0A2L2TYQ5|A0A2L2TYQ5_9HYPO	
OG0000538	P53687, P53688	tr|A2QQH0|A2QQH0_ASPNC	tr|A0A2L2T6B7|A0A2L2T6B7_9HYPO, tr|A0A2L2TI79|A0A2L2TI79_9HYPO	sp|Q9UR39|HST4_SCHPO
OG0000539	P40038, P40186	tr|A2QKH0|A2QKH0_ASPNC	tr|A0A2L2SMR2|A0A2L2SMR2_9HYPO, tr|A0A2L2TVX3|A0A2L2TVX3_9HYPO	sp|O42979|PSL1_SCHPO
OG0000540	P15424	tr|A2Q7H9|A2Q7H9_ASPNC, tr|A2R3A8|A2R3A8_ASPNC	tr|A0A2L2TG88|A0A2L2TG88_9HYPO, tr|A0A2L2TGB0|A0A2L2TGB0_9HYPO	sp|O13622|MS116_SCHPO
OG0000541	P39083, Q06407	tr|A2QRB5|A2QRB5_ASPNC	tr|A0A2L2TVB5|A0A2L2TVB5_9HYPO	sp|O14014|RGA3_SCHPO, sp|O74360|RGA4_SCHPO
OG0000542	P40494, P53974	tr|A2RAM3|A2RAM3_ASPNC	tr|A0A2L2TBX7|A0A2L2TBX7_9HYPO	sp|O43066|PPK30_SCHPO, sp|Q9UU85|PPK38_SCHPO
OG0000543	P46784, Q08745	tr|A2QLN5|A2QLN5_ASPNC	tr|A0A2L2U487|A0A2L2U487_9HYPO	sp|O13614|RS10B_SCHPO, sp|O14112|RS10A_SCHPO
OG0000544	P48231, Q03640, Q12466	tr|A2QYD0|A2QYD0_ASPNC	tr|A0A2L2SQ13|A0A2L2SQ13_9HYPO	sp|Q9UT00|YKH3_SCHPO
OG0000545	P05986, P06244, P06245	tr|A2QCP3|A2QCP3_ASPNC	tr|A0A2L2SNW9|A0A2L2SNW9_9HYPO	sp|P40376|KAPB_SCHPO
OG0000546	Q04734, Q08157	tr|A2QF35|A2QF35_ASPNC	tr|A0A2L2T0M8|A0A2L2T0M8_9HYPO, tr|A0A2L2TAK4|A0A2L2TAK4_9HYPO	sp|O74472|MUG33_SCHPO
OG0000547	P34221, P39966	tr|A2QQ05|A2QQ05_ASPNC	tr|A0A2L2TQB5|A0A2L2TQB5_9HYPO	sp|Q09172|PP2C2_SCHPO, sp|Q09173|PP2C3_SCHPO
OG0000548		tr|A2R4L7|A2R4L7_ASPNC	tr|A0A2L2TAK7|A0A2L2TAK7_9HYPO, tr|A0A2L2TE19|A0A2L2TE19_9HYPO, tr|A0A2L2THC0|A0A2L2THC0_9HYPO, tr|A0A2L2TP21|A0A2L2TP21_9HYPO, tr|A0A2L2TZG1|A0A2L2TZG1_9HYPO	
OG0000549	P41695, P47074	tr|A2QVN0|A2QVN0_ASPNC	tr|A0A2L2T644|A0A2L2T644_9HYPO	sp|O59767|MAD3_SCHPO, sp|O94751|BUB1_SCHPO
OG0000550	P13712, P39984	tr|A2QUD8|A2QUD8_ASPNC	tr|A0A2L2T4R7|A0A2L2T4R7_9HYPO	sp|O94244|HAT2_SCHPO, sp|Q9Y825|YEC6_SCHPO
OG0000551	P51862, P53046	tr|A2QNB9|A2QNB9_ASPNC	tr|A0A2L2STT2|A0A2L2STT2_9HYPO	sp|Q9UTR5|RGF2_SCHPO, sp|Q9Y7U6|RGF1_SCHPO
OG0000552	P10664, P49626	tr|A2QUC7|A2QUC7_ASPNC	tr|A0A2L2SQP6|A0A2L2SQP6_9HYPO	sp|P35679|RL4A_SCHPO, sp|Q9P784|RL4B_SCHPO
OG0000553	Q12204	tr|A2R5V7|A2R5V7_ASPNC	tr|A0A2L2T0R4|A0A2L2T0R4_9HYPO, tr|A0A2L2TMB2|A0A2L2TMB2_9HYPO	sp|P87109|YDK2_SCHPO, sp|Q7LKZ6|YJMD_SCHPO
OG0000554	P32478, P46999, P47001, Q03178, Q03180		tr|A0A2L2T7Y7|A0A2L2T7Y7_9HYPO	
OG0000555	P00950, Q12040		tr|A0A2L2TVD5|A0A2L2TVD5_9HYPO	sp|O94420|YQGD_SCHPO, sp|O94461|YFFL_SCHPO, sp|P36623|PMGY_SCHPO
OG0000556			tr|A0A2L2SYX5|A0A2L2SYX5_9HYPO, tr|A0A2L2T8Z7|A0A2L2T8Z7_9HYPO, tr|A0A2L2TS66|A0A2L2TS66_9HYPO	sp|Q09676|YA03_SCHPO, sp|Q9UT63|YKJ2_SCHPO, sp|U3H041|YP32_SCHPO
OG0000557		sp|A2QWT2|RHGD_ASPNC, sp|A2QXE8|RHGE_ASPNC, sp|A2QYE5|RHGA_ASPNC, sp|A2R3G4|RHGB_ASPNC	tr|A0A2L2TKI2|A0A2L2TKI2_9HYPO	
OG0000558	P25568	sp|A2QFJ9|AT221_ASPNC, sp|A2QTX8|AT222_ASPNC	tr|A0A2L2TWQ0|A0A2L2TWQ0_9HYPO	sp|Q09812|ATG22_SCHPO
OG0000559	P00729, P38109	sp|A5AB21|CBPYA_ASPNC	tr|A0A2L2SQF0|A0A2L2SQF0_9HYPO	sp|O13849|CBPY_SCHPO
OG0000560		sp|A2QEJ9|AGALB_ASPNC, tr|A2Q7N1|A2Q7N1_ASPNC, tr|A2QWT3|A2QWT3_ASPNC	tr|A0A2L2T7N7|A0A2L2T7N7_9HYPO	sp|Q9URZ0|AGAL_SCHPO
OG0000561	P43590	sp|A2QAW7|AMPP2_ASPNC, sp|A2QKF6|AMPP3_ASPNC	tr|A0A2L2T3T7|A0A2L2T3T7_9HYPO, tr|A0A2L2TRV3|A0A2L2TRV3_9HYPO	
OG0000562	P27705, P53035	sp|A2QCJ9|CREA_ASPNC	tr|A0A2L2SQG0|A0A2L2SQG0_9HYPO	sp|O14335|SCR1_SCHPO
OG0000563	P38187, P39967	sp|A2Q9N1|CREB_ASPNC	tr|A0A2L2TAL4|A0A2L2TAL4_9HYPO	sp|Q9P7V9|UBP9_SCHPO
OG0000564	P18962	sp|A2QEK7|DAPB_ASPNC	tr|A0A2L2TC18|A0A2L2TC18_9HYPO, tr|A0A2L2U4V4|A0A2L2U4V4_9HYPO	sp|O14073|YEA8_SCHPO
OG0000565		sp|A2R2S8|PHIA_ASPNC	tr|A0A2L2SWQ2|A0A2L2SWQ2_9HYPO, tr|A0A2L2SZA2|A0A2L2SZA2_9HYPO, tr|A0A2L2TJ09|A0A2L2TJ09_9HYPO, tr|A0A2L2TS70|A0A2L2TS70_9HYPO	
OG0000566		sp|A2R6H0|OTA2_ASPNC, tr|A2QAJ8|A2QAJ8_ASPNC, tr|A2QFT0|A2QFT0_ASPNC, tr|A2QH90|A2QH90_ASPNC	tr|A0A2L2TQ82|A0A2L2TQ82_9HYPO	
OG0000567	P38169	sp|A2Q9N7|KMO1_ASPNC, sp|A2QMH1|KMO2_ASPNC, sp|A2QPD9|KMO3_ASPNC	tr|A0A2L2TIE6|A0A2L2TIE6_9HYPO	
OG0000568	P36114, P47031	sp|A2QQE8|IML2_ASPNC	tr|A0A2L2THR3|A0A2L2THR3_9HYPO	sp|O13693|YDYE_SCHPO
OG0000569	P32485	sp|A2QN07|MPKC_ASPNC, sp|A2QRF6|HOG1_ASPNC	tr|A0A2L2TJA0|A0A2L2TJA0_9HYPO	sp|Q09892|HOG1_SCHPO
OG0000570	P53920	sp|A5AB13|NM111_ASPNC	tr|A0A2L2SWD8|A0A2L2SWD8_9HYPO, tr|A0A2L2TLP3|A0A2L2TLP3_9HYPO	sp|Q9P7S1|YIFC_SCHPO
OG0000571		sp|A2Q7I0|XYNB_ASPNC, tr|A2QBA9|A2QBA9_ASPNC	tr|A0A2L2T3I5|A0A2L2T3I5_9HYPO, tr|A0A2L2TCV1|A0A2L2TCV1_9HYPO, tr|A0A2L2U4V8|A0A2L2U4V8_9HYPO	
OG0000572	P40482, P53953	sp|A2QSG6|SEC24_ASPNC	tr|A0A2L2U2Q2|A0A2L2U2Q2_9HYPO	sp|Q9UUI5|SEC24_SCHPO
OG0000573	P38314, P53172	sp|A2RB71|SDS23_ASPNC	tr|A0A2L2T7U1|A0A2L2T7U1_9HYPO	sp|Q09826|SDS23_SCHPO
OG0000574	P15303	sp|A2Q8L1|SEC23_ASPNC	tr|A0A2L2T7N3|A0A2L2T7N3_9HYPO	sp|O74873|SC231_SCHPO, sp|O94672|SC232_SCHPO
OG0000575	P36130, P47025	sp|A2R3Z3|MDV1_ASPNC	tr|A0A2L2SSQ3|A0A2L2SSQ3_9HYPO	sp|Q9P7I3|MDV1_SCHPO
OG0000576	P40562	sp|A2Q8R2|MPH1_ASPNC	tr|A0A2L2T3R8|A0A2L2T3R8_9HYPO	sp|Q9HE09|MFH2_SCHPO, sp|Q9UT23|MPH1_SCHPO
OG0000577	P36115, P47030	sp|A2RA84|IRS4_ASPNC	tr|A0A2L2T909|A0A2L2T909_9HYPO	sp|O14066|IRS4_SCHPO
OG0000578	Q05979	sp|A2QJI5|KYNU2_ASPNC, sp|A2R7T0|KYNU1_ASPNC	tr|A0A2L2TAS4|A0A2L2TAS4_9HYPO, tr|A0A2L2TBM4|A0A2L2TBM4_9HYPO	
OG0000579	Q04033	sp|A2R2G1|LAP1_ASPNC	tr|A0A2L2SUQ8|A0A2L2SUQ8_9HYPO, tr|A0A2L2TQ71|A0A2L2TQ71_9HYPO, tr|A0A2L2U195|A0A2L2U195_9HYPO	
OG0000580	P40107	sp|A2R9P4|GMT_ASPNC	tr|A0A2L2T727|A0A2L2T727_9HYPO, tr|A0A2L2T949|A0A2L2T949_9HYPO	sp|Q9UTK8|GMT_SCHPO
OG0000581	P04912	sp|P0C953|H2A_ASPNC	tr|A0A2L2TF09|A0A2L2TF09_9HYPO	sp|P04909|H2A1_SCHPO, sp|P04910|H2A2_SCHPO
OG0000582	P02293, P02294	sp|A2QY49|H2B_ASPNC	tr|A0A2L2SQ67|A0A2L2SQ67_9HYPO	sp|P04913|H2B1_SCHPO
OG0000583	P06634, P24784	sp|A2QI25|DED1_ASPNC	tr|A0A2L2SN60|A0A2L2SN60_9HYPO	sp|O13370|DED1_SCHPO
OG0000584	P40314, Q02642	sp|A2R091|NACB_ASPNC	tr|A0A2L2T6X9|A0A2L2T6X9_9HYPO	sp|Q92371|NACB_SCHPO
OG0000585	P36006, Q04439	sp|A2R5J1|MYO1_ASPNC	tr|A0A2L2TL05|A0A2L2TL05_9HYPO	sp|Q9Y7Z8|MYO1_SCHPO
OG0000586	Q05016	tr|A2Q7Y1|A2Q7Y1_ASPNC	tr|A0A2L2SY36|A0A2L2SY36_9HYPO, tr|A0A2L2TCV2|A0A2L2TCV2_9HYPO	sp|Q9P7B4|YI13_SCHPO
OG0000587	P14681, P16892	tr|A2QSG8|A2QSG8_ASPNC	tr|A0A2L2TTY7|A0A2L2TTY7_9HYPO	sp|P27638|SPK1_SCHPO
OG0000588		tr|A2Q7K5|A2Q7K5_ASPNC, tr|A2Q9P9|A2Q9P9_ASPNC, tr|A2QSX0|A2QSX0_ASPNC, tr|A2QWG9|A2QWG9_ASPNC	tr|A0A2L2TRX7|A0A2L2TRX7_9HYPO	
OG0000589		tr|A2QJA2|A2QJA2_ASPNC, tr|A2QQV4|A2QQV4_ASPNC, tr|A2QXD5|A2QXD5_ASPNC, tr|A2QYI7|A2QYI7_ASPNC	tr|A0A2L2T184|A0A2L2T184_9HYPO	
