Orthogroup	A_s288c	A.niger	F.veneatum	S.pombe	Total
OG0000132	1	2	2	4	9
OG0000133	0	8	1	0	9
OG0000134	0	8	1	0	9
OG0000135	2	2	3	2	9
OG0000136	2	3	3	1	9
OG0000137	1	6	1	1	9
OG0000138	0	1	8	0	9
OG0000139	0	4	5	0	9
OG0000140	1	2	2	4	9
OG0000141	2	2	3	2	9
OG0000142	2	3	4	0	9
OG0000143	2	2	2	3	9
OG0000144	1	4	3	1	9
OG0000145	0	3	5	1	9
OG0000146	0	4	4	1	9
OG0000147	2	3	3	1	9
OG0000148	0	5	4	0	9
OG0000149	1	3	2	3	9
OG0000150	2	4	1	2	9
OG0000151	4	4	1	0	9
OG0000152	0	3	6	0	9
OG0000153	0	3	6	0	9
OG0000154	0	5	4	0	9
OG0000155	1	1	5	2	9
OG0000156	1	4	2	2	9
OG0000157	1	1	1	6	9
OG0000158	1	4	4	0	9
OG0000159	3	2	2	2	9
OG0000160	4	2	2	1	9
OG0000161	2	2	3	2	9
OG0000162	0	1	6	2	9
OG0000163	0	1	8	0	9
OG0000164	1	4	2	2	9
OG0000165	2	2	2	3	9
OG0000166	0	1	8	0	9
OG0000167	0	4	4	0	8
OG0000168	2	2	2	2	8
OG0000169	0	6	2	0	8
OG0000170	0	3	5	0	8
OG0000171	0	6	2	0	8
OG0000172	0	6	2	0	8
OG0000173	1	4	3	0	8
OG0000174	2	4	1	1	8
OG0000175	0	5	3	0	8
OG0000176	2	3	3	0	8
OG0000177	0	3	5	0	8
OG0000178	0	4	4	0	8
OG0000179	0	7	1	0	8
OG0000180	1	4	3	0	8
OG0000181	2	2	2	2	8
OG0000182	2	3	3	0	8
OG0000183	2	2	2	2	8
OG0000184	4	1	2	1	8
OG0000185	2	2	3	1	8
OG0000186	1	3	3	1	8
OG0000187	1	4	3	0	8
OG0000188	2	4	1	1	8
OG0000189	1	2	2	3	8
OG0000190	0	8	0	0	8
OG0000191	0	1	7	0	8
OG0000192	2	2	2	2	8
OG0000193	2	2	2	2	8
OG0000194	1	4	3	0	8
OG0000195	5	1	2	0	8
OG0000196	0	6	2	0	8
OG0000197	2	2	2	2	8
OG0000198	0	1	7	0	8
OG0000199	0	3	5	0	8
OG0000200	0	1	7	0	8
OG0000201	2	2	4	0	8
OG0000202	1	2	3	2	8
OG0000203	1	3	2	2	8
OG0000204	2	2	2	2	8
OG0000205	1	5	2	0	8
OG0000206	0	5	1	2	8
OG0000207	0	3	5	0	8
OG0000208	2	3	1	2	8
OG0000209	4	1	3	0	8
OG0000210	1	4	2	1	8
OG0000211	1	4	2	1	8
OG0000212	1	3	4	0	8
OG0000213	1	4	2	1	8
OG0000214	1	2	2	3	8
OG0000215	1	3	4	0	8
OG0000216	2	2	2	2	8
OG0000217	1	3	4	0	8
OG0000218	2	2	2	2	8
OG0000219	3	2	2	1	8
OG0000220	0	3	5	0	8
OG0000221	2	2	2	2	8
OG0000222	0	1	7	0	8
OG0000223	2	2	1	3	8
OG0000224	1	2	4	1	8
OG0000225	1	2	5	0	8
OG0000226	4	1	3	0	8
OG0000227	2	1	3	2	8
OG0000228	4	1	1	2	8
OG0000229	4	0	4	0	8
OG0000230	0	0	0	8	8
OG0000231	0	2	4	1	7
OG0000232	1	4	2	0	7
OG0000233	1	3	1	2	7
OG0000234	4	1	1	1	7
OG0000235	1	2	4	0	7
OG0000236	1	2	3	1	7
OG0000237	2	2	1	2	7
OG0000238	2	2	1	2	7
OG0000239	1	4	1	1	7
OG0000240	0	4	3	0	7
OG0000241	0	5	2	0	7
OG0000242	0	3	4	0	7
OG0000243	3	3	1	0	7
OG0000244	0	5	2	0	7
OG0000245	3	1	3	0	7
OG0000246	2	3	1	1	7
OG0000247	2	2	1	2	7
OG0000248	0	4	3	0	7
OG0000249	1	3	2	1	7
OG0000250	1	1	3	2	7
OG0000251	1	3	2	1	7
OG0000252	3	1	2	1	7
OG0000253	1	3	2	1	7
OG0000254	2	2	2	1	7
OG0000255	2	1	1	3	7
OG0000256	0	5	1	1	7
OG0000257	0	5	0	2	7
OG0000258	0	6	1	0	7
OG0000259	2	3	2	0	7
OG0000260	0	2	5	0	7
OG0000261	2	1	1	3	7
OG0000262	1	2	2	2	7
OG0000263	1	2	1	3	7
OG0000264	2	2	1	2	7
OG0000265	1	4	2	0	7
OG0000266	2	2	1	2	7
OG0000267	1	3	3	0	7
OG0000268	1	1	5	0	7
OG0000269	0	4	2	1	7
OG0000270	0	3	4	0	7
OG0000271	0	2	5	0	7
OG0000272	1	3	2	1	7
OG0000273	0	2	5	0	7
OG0000274	0	4	3	0	7
OG0000275	2	2	2	1	7
OG0000276	1	4	2	0	7
OG0000277	2	2	2	1	7
OG0000278	1	3	2	1	7
OG0000279	0	3	4	0	7
OG0000280	0	4	2	1	7
OG0000281	1	2	3	1	7
OG0000282	1	3	2	1	7
OG0000283	1	2	4	0	7
OG0000284	2	2	2	1	7
OG0000285	2	2	2	1	7
OG0000286	1	4	1	1	7
OG0000287	0	1	6	0	7
OG0000288	2	2	2	1	7
OG0000289	0	4	3	0	7
OG0000290	3	1	2	1	7
OG0000291	1	3	2	1	7
OG0000292	1	3	3	0	7
OG0000293	3	1	1	2	7
OG0000294	0	3	3	1	7
OG0000295	1	2	1	3	7
OG0000296	1	3	2	1	7
OG0000297	0	3	4	0	7
OG0000298	2	2	1	2	7
OG0000299	2	2	2	1	7
OG0000300	1	2	3	1	7
OG0000301	2	2	2	1	7
OG0000302	4	1	1	1	7
OG0000303	2	2	2	1	7
OG0000304	4	1	1	1	7
OG0000305	2	2	2	1	7
OG0000306	2	2	2	1	7
OG0000307	2	1	2	2	7
OG0000308	2	1	1	3	7
OG0000309	0	4	3	0	7
OG0000310	2	1	1	3	7
OG0000311	2	2	2	1	7
OG0000312	1	2	4	0	7
OG0000313	2	2	2	1	7
OG0000314	2	1	2	2	7
OG0000315	3	1	1	2	7
OG0000316	1	2	2	2	7
OG0000317	1	2	2	2	7
OG0000318	0	2	4	1	7
OG0000319	2	1	2	2	7
OG0000320	0	2	5	0	7
OG0000321	2	1	1	3	7
OG0000322	1	2	3	1	7
OG0000323	2	1	1	3	7
OG0000324	0	1	3	3	7
OG0000325	1	1	3	2	7
OG0000326	2	1	2	2	7
OG0000327	2	1	2	2	7
OG0000328	2	2	2	1	7
OG0000329	1	2	2	2	7
OG0000330	2	1	2	2	7
OG0000331	1	2	2	2	7
OG0000332	2	1	1	3	7
OG0000333	0	0	7	0	7
OG0000334	0	0	2	5	7
OG0000335	2	1	1	2	6
OG0000336	2	1	1	2	6
OG0000337	0	4	2	0	6
OG0000338	1	2	2	1	6
OG0000339	1	2	2	1	6
OG0000340	2	1	1	2	6
OG0000341	0	3	3	0	6
OG0000342	0	2	2	2	6
OG0000343	1	3	2	0	6
OG0000344	1	2	2	1	6
OG0000345	1	3	2	0	6
OG0000346	1	2	1	2	6
OG0000347	0	4	2	0	6
OG0000348	0	3	2	1	6
OG0000349	1	5	0	0	6
OG0000350	2	2	1	1	6
OG0000351	0	2	4	0	6
OG0000352	0	3	3	0	6
OG0000353	3	1	1	1	6
OG0000354	1	2	2	1	6
OG0000355	2	1	1	2	6
OG0000356	2	1	1	2	6
OG0000357	0	6	0	0	6
OG0000358	0	5	1	0	6
OG0000359	0	3	3	0	6
OG0000360	2	1	1	2	6
OG0000361	0	1	5	0	6
OG0000362	1	3	2	0	6
OG0000363	2	1	1	2	6
OG0000364	2	1	1	2	6
OG0000365	2	1	1	2	6
OG0000366	0	5	1	0	6
OG0000367	2	1	1	2	6
OG0000368	1	2	2	1	6
OG0000369	0	1	5	0	6
OG0000370	0	4	2	0	6
OG0000371	0	3	3	0	6
OG0000372	0	3	3	0	6
OG0000373	1	3	1	1	6
OG0000374	1	2	2	1	6
OG0000375	1	2	2	1	6
OG0000376	2	1	1	2	6
OG0000377	0	2	1	3	6
OG0000378	1	3	1	1	6
OG0000379	2	2	2	0	6
OG0000380	1	2	1	2	6
OG0000381	0	2	4	0	6
OG0000382	0	4	1	1	6
OG0000383	1	1	4	0	6
OG0000384	2	1	1	2	6
OG0000385	1	3	1	1	6
OG0000386	0	4	2	0	6
OG0000387	0	3	3	0	6
OG0000388	0	3	2	1	6
OG0000389	1	2	2	1	6
OG0000390	1	2	1	2	6
OG0000391	0	3	3	0	6
OG0000392	1	2	2	1	6
OG0000393	0	3	3	0	6
OG0000394	2	2	2	0	6
OG0000395	2	1	1	2	6
OG0000396	1	4	1	0	6
OG0000397	1	2	2	1	6
OG0000398	2	2	2	0	6
OG0000399	1	2	1	2	6
OG0000400	1	1	4	0	6
OG0000401	1	2	2	1	6
OG0000402	2	1	1	2	6
OG0000403	0	3	3	0	6
OG0000404	2	1	1	2	6
OG0000405	1	2	2	1	6
OG0000406	1	1	1	3	6
OG0000407	1	3	1	1	6
OG0000408	1	1	1	3	6
OG0000409	1	2	2	1	6
OG0000410	1	3	1	1	6
OG0000411	0	3	3	0	6
OG0000412	2	2	1	1	6
OG0000413	2	1	1	2	6
OG0000414	2	1	1	2	6
OG0000415	2	1	1	2	6
OG0000416	2	2	1	1	6
OG0000417	1	2	1	2	6
OG0000418	1	2	1	2	6
OG0000419	1	2	2	1	6
OG0000420	1	2	2	1	6
OG0000421	1	2	2	1	6
OG0000422	1	2	2	1	6
OG0000423	2	1	1	2	6
OG0000424	2	2	2	0	6
OG0000425	2	1	1	2	6
OG0000426	1	3	1	1	6
OG0000427	1	1	1	3	6
OG0000428	2	1	1	2	6
OG0000429	3	2	1	0	6
OG0000430	1	1	2	2	6
OG0000431	2	1	1	2	6
OG0000432	2	2	2	0	6
OG0000433	3	1	1	1	6
OG0000434	1	2	2	1	6
OG0000435	1	2	2	1	6
OG0000436	0	3	3	0	6
OG0000437	3	1	1	1	6
OG0000438	0	2	4	0	6
OG0000439	0	3	1	2	6
OG0000440	2	2	1	1	6
OG0000441	0	2	4	0	6
OG0000442	1	2	2	1	6
OG0000443	0	3	3	0	6
OG0000444	3	1	1	1	6
OG0000445	1	2	2	1	6
OG0000446	2	2	2	0	6
OG0000447	1	2	2	1	6
OG0000448	1	1	1	3	6
OG0000449	1	2	3	0	6
OG0000450	0	3	3	0	6
OG0000451	3	1	1	1	6
OG0000452	1	2	1	2	6
OG0000453	2	1	1	2	6
OG0000454	2	1	1	2	6
OG0000455	1	3	1	1	6
OG0000456	3	1	1	1	6
OG0000457	0	4	2	0	6
OG0000458	1	2	2	1	6
OG0000459	1	2	2	1	6
OG0000460	2	3	1	0	6
OG0000461	2	1	1	2	6
OG0000462	2	1	1	2	6
OG0000463	1	1	3	1	6
OG0000464	2	2	1	1	6
OG0000465	0	3	3	0	6
OG0000466	0	1	4	1	6
OG0000467	1	1	1	3	6
OG0000468	2	1	1	2	6
OG0000469	2	1	1	2	6
OG0000470	3	1	1	1	6
OG0000471	0	3	3	0	6
OG0000472	0	3	2	1	6
OG0000473	1	3	2	0	6
OG0000474	1	4	1	0	6
OG0000475	2	2	1	1	6
OG0000476	2	1	1	2	6
OG0000477	0	1	5	0	6
OG0000478	1	3	1	1	6
OG0000479	2	1	1	2	6
OG0000480	1	2	2	1	6
OG0000481	2	1	1	2	6
OG0000482	2	1	1	2	6
OG0000483	2	1	1	2	6
OG0000484	2	1	1	2	6
OG0000485	3	1	1	1	6
OG0000486	2	1	1	2	6
OG0000487	1	3	2	0	6
OG0000488	3	1	1	1	6
OG0000489	2	1	1	2	6
OG0000490	3	1	1	1	6
OG0000491	2	1	1	2	6
OG0000492	2	1	1	2	6
OG0000493	2	1	1	2	6
OG0000494	0	3	3	0	6
OG0000495	1	2	2	1	6
OG0000496	1	2	1	2	6
OG0000497	1	2	2	1	6
OG0000498	2	1	1	2	6
OG0000499	2	3	1	0	6
OG0000500	2	1	1	2	6
OG0000501	1	2	2	1	6
OG0000502	2	1	1	2	6
OG0000503	2	2	2	0	6
OG0000504	1	1	3	1	6
OG0000505	2	1	1	2	6
OG0000506	1	2	2	1	6
OG0000507	2	1	1	2	6
OG0000508	0	1	5	0	6
OG0000509	2	1	1	2	6
OG0000510	2	1	1	2	6
OG0000511	0	1	5	0	6
OG0000512	2	1	1	2	6
OG0000513	1	2	2	1	6
OG0000514	2	1	1	2	6
OG0000515	2	1	1	2	6
OG0000516	1	1	3	1	6
OG0000517	2	1	2	1	6
OG0000518	3	1	1	1	6
OG0000519	3	1	1	1	6
OG0000520	2	1	2	1	6
OG0000521	2	1	1	2	6
OG0000522	0	1	5	0	6
OG0000523	2	1	1	2	6
OG0000524	2	1	2	1	6
OG0000525	1	1	2	2	6
OG0000526	2	1	1	2	6
OG0000527	2	1	1	2	6
OG0000528	2	1	2	1	6
OG0000529	2	1	1	2	6
OG0000530	2	1	1	2	6
OG0000531	2	1	1	2	6
OG0000532	2	1	2	1	6
OG0000533	2	1	1	2	6
OG0000534	2	1	1	2	6
OG0000535	2	1	1	2	6
OG0000536	1	1	2	2	6
OG0000537	0	2	4	0	6
OG0000538	2	1	2	1	6
OG0000539	2	1	2	1	6
OG0000540	1	2	2	1	6
OG0000541	2	1	1	2	6
OG0000542	2	1	1	2	6
OG0000543	2	1	1	2	6
OG0000544	3	1	1	1	6
OG0000545	3	1	1	1	6
OG0000546	2	1	2	1	6
OG0000547	2	1	1	2	6
OG0000548	0	1	5	0	6
OG0000549	2	1	1	2	6
OG0000550	2	1	1	2	6
OG0000551	2	1	1	2	6
OG0000552	2	1	1	2	6
OG0000553	1	1	2	2	6
OG0000554	5	0	1	0	6
OG0000555	2	0	1	3	6
OG0000556	0	0	3	3	6
OG0000557	0	4	1	0	5
OG0000558	1	2	1	1	5
OG0000559	2	1	1	1	5
OG0000560	0	3	1	1	5
OG0000561	1	2	2	0	5
OG0000562	2	1	1	1	5
OG0000563	2	1	1	1	5
OG0000564	1	1	2	1	5
OG0000565	0	1	4	0	5
OG0000566	0	4	1	0	5
OG0000567	1	3	1	0	5
OG0000568	2	1	1	1	5
OG0000569	1	2	1	1	5
OG0000570	1	1	2	1	5
OG0000571	0	2	3	0	5
OG0000572	2	1	1	1	5
OG0000573	2	1	1	1	5
OG0000574	1	1	1	2	5
OG0000575	2	1	1	1	5
OG0000576	1	1	1	2	5
OG0000577	2	1	1	1	5
OG0000578	1	2	2	0	5
OG0000579	1	1	3	0	5
OG0000580	1	1	2	1	5
OG0000581	1	1	1	2	5
OG0000582	2	1	1	1	5
OG0000583	2	1	1	1	5
OG0000584	2	1	1	1	5
OG0000585	2	1	1	1	5
OG0000586	1	1	2	1	5
OG0000587	2	1	1	1	5
OG0000588	0	4	1	0	5
OG0000589	0	4	1	0	5
OG0000590	1	1	2	1	5
OG0000591	0	4	1	0	5
OG0000592	2	1	1	1	5
OG0000593	0	3	2	0	5
OG0000594	1	1	1	2	5
OG0000595	1	1	1	2	5
OG0000596	1	1	3	0	5
OG0000597	1	2	1	1	5
OG0000598	0	1	2	2	5
OG0000599	2	1	2	0	5
OG0000600	2	2	1	0	5
OG0000601	1	1	2	1	5
OG0000602	2	1	1	1	5
OG0000603	1	2	1	1	5
OG0000604	2	1	1	1	5
OG0000605	0	2	2	1	5
OG0000606	1	2	2	0	5
OG0000607	1	2	1	1	5
OG0000608	1	3	0	1	5
OG0000609	2	1	1	1	5
OG0000610	2	1	1	1	5
OG0000611	0	3	2	0	5
OG0000612	0	1	3	1	5
OG0000613	1	3	1	0	5
OG0000614	0	1	3	1	5
OG0000615	2	1	1	1	5
OG0000616	0	4	1	0	5
OG0000617	2	1	1	1	5
OG0000618	1	1	1	2	5
OG0000619	1	2	1	1	5
OG0000620	0	2	3	0	5
OG0000621	1	1	1	2	5
OG0000622	1	2	1	1	5
OG0000623	1	1	1	2	5
OG0000624	1	2	2	0	5
OG0000625	1	2	1	1	5
OG0000626	2	1	1	1	5
OG0000627	2	1	1	1	5
OG0000628	1	1	1	2	5
OG0000629	2	1	1	1	5
OG0000630	1	1	1	2	5
OG0000631	0	3	2	0	5
OG0000632	1	1	2	1	5
OG0000633	2	1	1	1	5
OG0000634	0	4	1	0	5
OG0000635	0	1	4	0	5
OG0000636	1	3	1	0	5
OG0000637	0	3	2	0	5
OG0000638	1	2	1	1	5
OG0000639	1	1	2	1	5
OG0000640	2	1	1	1	5
OG0000641	0	3	2	0	5
OG0000642	1	1	2	1	5
OG0000643	2	1	1	1	5
OG0000644	1	2	1	1	5
OG0000645	2	1	1	1	5
OG0000646	0	1	4	0	5
OG0000647	2	1	1	1	5
OG0000648	2	1	1	1	5
OG0000649	0	4	1	0	5
OG0000650	0	1	4	0	5
OG0000651	2	1	1	1	5
OG0000652	1	2	1	1	5
OG0000653	2	1	0	2	5
OG0000654	1	2	2	0	5
OG0000655	1	2	1	1	5
OG0000656	2	1	1	1	5
OG0000657	1	1	1	2	5
OG0000658	0	3	2	0	5
OG0000659	2	1	1	1	5
OG0000660	2	1	1	1	5
OG0000661	2	1	1	1	5
OG0000662	1	2	1	1	5
OG0000663	1	2	1	1	5
OG0000664	2	1	1	1	5
OG0000665	1	2	1	1	5
OG0000666	1	2	1	1	5
OG0000667	2	1	1	1	5
OG0000668	1	2	0	2	5
OG0000669	0	3	2	0	5
OG0000670	2	1	1	1	5
OG0000671	2	1	1	1	5
OG0000672	1	1	3	0	5
OG0000673	1	1	2	1	5
OG0000674	1	2	1	1	5
OG0000675	2	1	1	1	5
OG0000676	1	1	2	1	5
OG0000677	2	2	1	0	5
OG0000678	2	1	1	1	5
OG0000679	2	1	0	2	5
OG0000680	0	2	2	1	5
OG0000681	2	1	1	1	5
OG0000682	1	1	1	2	5
OG0000683	2	1	1	1	5
OG0000684	1	2	1	1	5
OG0000685	1	2	1	1	5
OG0000686	2	1	1	1	5
OG0000687	2	1	1	1	5
OG0000688	0	3	2	0	5
OG0000689	1	2	1	1	5
OG0000690	2	1	1	1	5
OG0000691	0	2	1	2	5
OG0000692	1	1	1	2	5
OG0000693	1	1	1	2	5
OG0000694	1	2	2	0	5
OG0000695	1	1	1	2	5
OG0000696	2	1	1	1	5
OG0000697	2	1	1	1	5
OG0000698	2	1	1	1	5
OG0000699	1	1	1	2	5
OG0000700	1	2	2	0	5
OG0000701	2	2	1	0	5
OG0000702	1	2	1	1	5
OG0000703	1	1	1	2	5
OG0000704	2	1	1	1	5
OG0000705	0	2	1	2	5
OG0000706	2	1	1	1	5
OG0000707	2	1	1	1	5
OG0000708	0	3	2	0	5
OG0000709	2	1	1	1	5
OG0000710	1	2	1	1	5
OG0000711	0	1	4	0	5
OG0000712	2	1	1	1	5
OG0000713	2	1	1	1	5
OG0000714	0	2	3	0	5
OG0000715	0	2	3	0	5
OG0000716	1	1	2	1	5
OG0000717	2	1	1	1	5
OG0000718	0	1	3	1	5
OG0000719	1	2	1	1	5
OG0000720	2	1	1	1	5
OG0000721	2	1	1	1	5
OG0000722	2	1	1	1	5
OG0000723	0	4	1	0	5
OG0000724	1	3	1	0	5
OG0000725	2	1	1	1	5
OG0000726	1	2	2	0	5
OG0000727	1	1	2	1	5
OG0000728	0	1	3	1	5
OG0000729	0	2	2	1	5
OG0000730	2	1	1	1	5
OG0000731	2	1	1	1	5
OG0000732	1	2	1	1	5
OG0000733	1	2	1	1	5
OG0000734	0	3	2	0	5
OG0000735	2	1	1	1	5
OG0000736	1	2	1	1	5
OG0000737	0	4	1	0	5
OG0000738	0	1	4	0	5
OG0000739	0	3	2	0	5
OG0000740	0	1	4	0	5
OG0000741	0	2	3	0	5
OG0000742	2	1	2	0	5
OG0000743	0	2	3	0	5
OG0000744	0	4	1	0	5
OG0000745	1	2	1	1	5
OG0000746	0	4	1	0	5
OG0000747	2	1	1	1	5
OG0000748	2	1	1	1	5
OG0000749	1	2	1	1	5
OG0000750	1	2	1	1	5
OG0000751	1	2	1	1	5
OG0000752	1	2	1	1	5
OG0000753	2	1	1	1	5
OG0000754	0	2	3	0	5
OG0000755	0	2	3	0	5
OG0000756	1	2	1	1	5
OG0000757	0	4	1	0	5
OG0000758	2	1	1	1	5
OG0000759	1	1	1	2	5
OG0000760	2	1	1	1	5
OG0000761	1	1	2	1	5
OG0000762	0	5	0	0	5
OG0000763	1	1	1	2	5
OG0000764	2	1	1	1	5
OG0000765	0	2	3	0	5
OG0000766	0	3	2	0	5
OG0000767	0	3	2	0	5
OG0000768	2	1	1	1	5
OG0000769	1	2	2	0	5
OG0000770	1	1	1	2	5
OG0000771	1	1	2	1	5
OG0000772	2	1	1	1	5
OG0000773	1	2	1	1	5
OG0000774	2	1	1	1	5
OG0000775	1	1	1	2	5
OG0000776	2	1	1	1	5
OG0000777	1	1	1	2	5
OG0000778	2	1	1	1	5
OG0000779	0	3	2	0	5
OG0000780	1	1	1	2	5
OG0000781	1	1	1	2	5
OG0000782	1	1	1	2	5
OG0000783	1	1	2	1	5
OG0000784	1	1	1	2	5
OG0000785	1	1	2	1	5
OG0000786	2	1	1	1	5
OG0000787	2	1	1	1	5
OG0000788	2	1	2	0	5
OG0000789	1	2	1	1	5
OG0000790	0	4	1	0	5
OG0000791	2	1	1	1	5
OG0000792	2	1	1	1	5
OG0000793	2	1	1	1	5
OG0000794	1	2	1	1	5
OG0000795	0	3	2	0	5
OG0000796	2	1	1	1	5
OG0000797	1	2	1	1	5
OG0000798	0	2	3	0	5
OG0000799	2	1	1	1	5
OG0000800	1	1	2	1	5
OG0000801	1	1	2	1	5
OG0000802	2	1	1	1	5
OG0000803	1	2	1	1	5
OG0000804	3	1	1	0	5
OG0000805	1	1	1	2	5
OG0000806	0	3	2	0	5
OG0000807	2	1	1	1	5
OG0000808	1	1	1	2	5
OG0000809	1	2	1	1	5
OG0000810	0	1	2	2	5
OG0000811	0	2	3	0	5
OG0000812	2	1	1	1	5
OG0000813	1	1	1	2	5
OG0000814	1	1	2	1	5
OG0000815	1	1	2	1	5
OG0000816	0	2	3	0	5
OG0000817	1	1	1	2	5
OG0000818	2	1	1	1	5
OG0000819	1	1	1	2	5
OG0000820	2	1	1	1	5
OG0000821	0	2	3	0	5
OG0000822	0	1	4	0	5
OG0000823	2	1	1	1	5
OG0000824	0	1	4	0	5
OG0000825	0	3	2	0	5
OG0000826	2	1	1	1	5
OG0000827	1	2	1	1	5
OG0000828	2	1	1	1	5
OG0000829	1	1	1	2	5
OG0000830	1	1	1	2	5
OG0000831	0	3	2	0	5
OG0000832	1	1	1	2	5
OG0000833	1	1	2	1	5
OG0000834	0	2	2	1	5
OG0000835	2	1	1	1	5
OG0000836	1	2	2	0	5
OG0000837	2	1	1	1	5
OG0000838	1	1	1	2	5
OG0000839	1	2	1	1	5
OG0000840	2	1	1	1	5
OG0000841	2	2	1	0	5
OG0000842	2	1	1	1	5
OG0000843	2	1	1	1	5
OG0000844	1	1	1	2	5
OG0000845	1	2	1	1	5
OG0000846	1	1	1	2	5
OG0000847	1	1	2	1	5
OG0000848	0	2	3	0	5
OG0000849	2	1	1	1	5
OG0000850	0	2	3	0	5
OG0000851	0	1	4	0	5
OG0000852	2	1	1	1	5
OG0000853	1	1	1	2	5
OG0000854	0	1	4	0	5
OG0000855	1	2	2	0	5
OG0000856	2	1	1	1	5
OG0000857	1	1	1	2	5
OG0000858	2	1	1	1	5
OG0000859	0	1	4	0	5
OG0000860	1	2	1	1	5
OG0000861	0	4	0	1	5
OG0000862	1	1	1	2	5
OG0000863	0	1	4	0	5
OG0000864	1	1	1	2	5
OG0000865	2	1	1	1	5
OG0000866	1	2	1	1	5
OG0000867	2	1	1	1	5
OG0000868	1	1	1	2	5
OG0000869	1	3	1	0	5
