Orthogroup	DMKU3-1042	W29	s288c
OG0000010	tr|W0T6Z1|W0T6Z1_KLUMD	tr|A0A1D8N3X0|A0A1D8N3X0_YARLL, tr|A0A1D8N4N6|A0A1D8N4N6_YARLL, tr|A0A1D8N4V3|A0A1D8N4V3_YARLL, tr|A0A1D8N502|A0A1D8N502_YARLL, tr|A0A1D8N506|A0A1D8N506_YARLL, tr|A0A1D8NHZ9|A0A1D8NHZ9_YARLL, tr|A0A1D8NQ06|A0A1D8NQ06_YARLL, tr|A0A1D8NQ36|A0A1D8NQ36_YARLL, tr|A0A1H6PVX4|A0A1H6PVX4_YARLL, tr|A0A1H6Q9T4|A0A1H6Q9T4_YARLL	sp|Q04740|RNH1_YEAST
OG0000011		tr|A0A1D8N5K7|A0A1D8N5K7_YARLL, tr|A0A1D8N6P1|A0A1D8N6P1_YARLL, tr|A0A1D8NAH1|A0A1D8NAH1_YARLL, tr|A0A1D8NAS9|A0A1D8NAS9_YARLL, tr|A0A1H6PHB2|A0A1H6PHB2_YARLL, tr|A0A1H6PUX5|A0A1H6PUX5_YARLL, tr|O74128|O74128_YARLL, tr|O74129|O74129_YARLL, tr|O74130|O74130_YARLL, tr|O74131|O74131_YARLL, tr|O74132|O74132_YARLL, tr|O74133|O74133_YARLL	
OG0000012	tr|W0TBY6|W0TBY6_KLUMD, tr|W0TCA0|W0TCA0_KLUMD, tr|W0TCK6|W0TCK6_KLUMD, tr|W0TIS9|W0TIS9_KLUMD	tr|A0A1D8NAE9|A0A1D8NAE9_YARLL, tr|A0A1D8NAG8|A0A1D8NAG8_YARLL, tr|A0A1D8NJL5|A0A1D8NJL5_YARLL	sp|P14832|CYPH_YEAST, sp|P25334|CYPR_YEAST, sp|P25719|CYPC_YEAST, sp|P35176|CYPD_YEAST
OG0000013	tr|W0T723|W0T723_KLUMD, tr|W0TBC6|W0TBC6_KLUMD, tr|W0TDP8|W0TDP8_KLUMD, tr|W0TG45|W0TG45_KLUMD	tr|A0A1D8N4W6|A0A1D8N4W6_YARLL, tr|A0A1D8N519|A0A1D8N519_YARLL, tr|A0A1D8NG81|A0A1D8NG81_YARLL, tr|Q9UW07|Q9UW07_YARLL	sp|P00330|ADH1_YEAST, sp|P00331|ADH2_YEAST, sp|P07246|ADH3_YEAST
OG0000014	tr|W0TF18|W0TF18_KLUMD, tr|W0TFC5|W0TFC5_KLUMD, tr|W0TGZ3|W0TGZ3_KLUMD	tr|A0A1D8N5H8|A0A1D8N5H8_YARLL, tr|A0A1D8NCM3|A0A1D8NCM3_YARLL, tr|A0A1D8NLF9|A0A1D8NLF9_YARLL, tr|A0A1H6PW93|A0A1H6PW93_YARLL, tr|A0A1H6Q2R0|A0A1H6Q2R0_YARLL, tr|A0A1H6Q3L8|A0A1H6Q3L8_YARLL, tr|A0A1H6Q865|A0A1H6Q865_YARLL	sp|P32837|UGA4_YEAST
OG0000015	tr|W0T6R6|W0T6R6_KLUMD, tr|W0T790|W0T790_KLUMD, tr|W0TBH0|W0TBH0_KLUMD, tr|W0TKD3|W0TKD3_KLUMD	tr|A0A1D8NCP1|A0A1D8NCP1_YARLL, tr|A0A1D8NFP5|A0A1D8NFP5_YARLL, tr|A0A1D8NI23|A0A1D8NI23_YARLL, tr|A0A1D8NL97|A0A1D8NL97_YARLL, tr|A0A1D8NMD3|A0A1D8NMD3_YARLL, tr|A0A1D8NNQ1|A0A1D8NNQ1_YARLL	sp|P22580|AMDY_YEAST
OG0000016		tr|A0A1D8N4K2|A0A1D8N4K2_YARLL, tr|A0A1D8N8I7|A0A1D8N8I7_YARLL, tr|A0A1D8NA40|A0A1D8NA40_YARLL, tr|A0A1D8NB52|A0A1D8NB52_YARLL, tr|A0A1D8NIM7|A0A1D8NIM7_YARLL, tr|A0A1D8NNE6|A0A1D8NNE6_YARLL, tr|A0A1D8NNP0|A0A1D8NNP0_YARLL, tr|A0A1H6PM33|A0A1H6PM33_YARLL, tr|A0A1H6Q1K0|A0A1H6Q1K0_YARLL, tr|A0A1H6Q644|A0A1H6Q644_YARLL	sp|Q08911|FDH1_YEAST
OG0000017			sp|P0C2J3|YL21B_YEAST, sp|P0CX63|YF21B_YEAST, sp|P0CX64|YG22B_YEAST, sp|P25384|YC21B_YEAST, sp|Q03494|YD22B_YEAST, sp|Q07791|YD23B_YEAST, sp|Q12113|YO21B_YEAST, sp|Q12472|YD21B_YEAST, sp|Q12491|YB21B_YEAST, sp|Q12501|YO22B_YEAST, sp|Q99231|YD12B_YEAST
OG0000018	tr|W0T8E8|W0T8E8_KLUMD, tr|W0TA41|W0TA41_KLUMD, tr|W0TAS5|W0TAS5_KLUMD, tr|W0TGL1|W0TGL1_KLUMD, tr|W0TI53|W0TI53_KLUMD	tr|A0A1H6PRH6|A0A1H6PRH6_YARLL	sp|P25611|RDS1_YEAST, sp|P39720|OAF1_YEAST, sp|P52960|PIP2_YEAST, sp|Q12244|YL054_YEAST
OG0000019	tr|W0T4D4|W0T4D4_KLUMD, tr|W0T4Y3|W0T4Y3_KLUMD, tr|W0T6X2|W0T6X2_KLUMD, tr|W0TB41|W0TB41_KLUMD, tr|W0TE01|W0TE01_KLUMD, tr|W0TE23|W0TE23_KLUMD, tr|W0TGE4|W0TGE4_KLUMD, tr|W0TGG6|W0TGG6_KLUMD, tr|W0TJK5|W0TJK5_KLUMD, tr|W0TKN6|W0TKN6_KLUMD		
OG0000020	tr|W0TBE3|W0TBE3_KLUMD, tr|W0TCV3|W0TCV3_KLUMD, tr|W0TDQ4|W0TDQ4_KLUMD	tr|A0A1D8NAU6|A0A1D8NAU6_YARLL, tr|A0A1D8NDB0|A0A1D8NDB0_YARLL, tr|A0A1D8NKP9|A0A1D8NKP9_YARLL, tr|A0A1H6PRE8|A0A1H6PRE8_YARLL	sp|P38082|NRG2_YEAST, sp|P53243|YG2A_YEAST, sp|Q03125|NRG1_YEAST
OG0000021	tr|W0TF87|W0TF87_KLUMD	tr|A0A1D8N861|A0A1D8N861_YARLL, tr|A0A1D8N9N5|A0A1D8N9N5_YARLL, tr|A0A1D8N9N6|A0A1D8N9N6_YARLL, tr|A0A1D8N9N7|A0A1D8N9N7_YARLL, tr|A0A1D8NBG6|A0A1D8NBG6_YARLL, tr|A0A1D8NCQ2|A0A1D8NCQ2_YARLL, tr|A0A1H6PNF9|A0A1H6PNF9_YARLL, tr|Q6H9P4|Q6H9P4_YARLL	sp|P39932|STL1_YEAST
OG0000022	tr|W0T3V3|W0T3V3_KLUMD, tr|W0T7Z3|W0T7Z3_KLUMD	tr|A0A1D8N6S3|A0A1D8N6S3_YARLL, tr|A0A1D8N734|A0A1D8N734_YARLL, tr|A0A1D8NCR7|A0A1D8NCR7_YARLL, tr|A0A1D8NES1|A0A1D8NES1_YARLL, tr|A0A1D8NK90|A0A1D8NK90_YARLL, tr|A0A1D8NPP9|A0A1D8NPP9_YARLL	sp|P41816|OYE3_YEAST, sp|Q03558|OYE2_YEAST
OG0000023			sp|D6VPM8|YAJ3_YEAST, sp|P25354|YCP7_YEAST, sp|P38727|YHE4_YEAST, sp|P39547|UIP3_YEAST, sp|P39548|YAJ8_YEAST, sp|P39549|YAJ9_YEAST, sp|P39551|PRM9_YEAST, sp|P39552|MST28_YEAST, sp|P53174|PRM8_YEAST, sp|P53176|MST27_YEAST
OG0000024	tr|W0T3I1|W0T3I1_KLUMD, tr|W0T533|W0T533_KLUMD, tr|W0T7U4|W0T7U4_KLUMD, tr|W0TCZ7|W0TCZ7_KLUMD, tr|W0TFS5|W0TFS5_KLUMD	tr|A0A1D8N605|A0A1D8N605_YARLL, tr|A0A1D8N6P5|A0A1D8N6P5_YARLL, tr|A0A1D8NJM4|A0A1D8NJM4_YARLL	sp|P43562|YFE0_YEAST
OG0000025	tr|W0T5X9|W0T5X9_KLUMD, tr|W0TET6|W0TET6_KLUMD, tr|W0TG47|W0TG47_KLUMD, tr|W0TI41|W0TI41_KLUMD, tr|W0TIR7|W0TIR7_KLUMD	tr|A0A1D8NQK7|A0A1D8NQK7_YARLL	sp|P17064|FCY2_YEAST, sp|P40039|FCY21_YEAST, sp|Q12119|FCY22_YEAST
OG0000026	tr|W0TDU6|W0TDU6_KLUMD	tr|A0A1D8N4I1|A0A1D8N4I1_YARLL, tr|A0A1D8N577|A0A1D8N577_YARLL, tr|A0A1D8N701|A0A1D8N701_YARLL, tr|A0A1D8N895|A0A1D8N895_YARLL, tr|A0A1D8NF19|A0A1D8NF19_YARLL, tr|A0A1D8NFI9|A0A1D8NFI9_YARLL, tr|A0A1D8NK65|A0A1D8NK65_YARLL, tr|A0A1D8NND0|A0A1D8NND0_YARLL	
OG0000027	tr|W0T4Y6|W0T4Y6_KLUMD, tr|W0TG42|W0TG42_KLUMD, tr|W0TGS3|W0TGS3_KLUMD	tr|A0A1D8N796|A0A1D8N796_YARLL, tr|A0A1D8NA22|A0A1D8NA22_YARLL, tr|A0A1D8NJ67|A0A1D8NJ67_YARLL, tr|A0A1D8NJN5|A0A1D8NJN5_YARLL, tr|A0A1H6PJP5|A0A1H6PJP5_YARLL, tr|A0A1H6PWL2|A0A1H6PWL2_YARLL	
OG0000028	tr|W0TB39|W0TB39_KLUMD, tr|W0TDS2|W0TDS2_KLUMD	tr|A0A1D8N7L3|A0A1D8N7L3_YARLL, tr|A0A1D8NBZ0|A0A1D8NBZ0_YARLL, tr|A0A1D8NIG5|A0A1D8NIG5_YARLL, tr|A0A1H6PRY4|A0A1H6PRY4_YARLL	sp|P33302|PDR5_YEAST, sp|P51533|PDR10_YEAST, sp|Q04182|PDR15_YEAST
OG0000029	tr|W0T7C2|W0T7C2_KLUMD, tr|W0TGY6|W0TGY6_KLUMD	tr|A0A1D8NBA8|A0A1D8NBA8_YARLL, tr|A0A1D8NC43|A0A1D8NC43_YARLL, tr|A0A1D8NFE4|A0A1D8NFE4_YARLL, tr|A0A1D8NG56|A0A1D8NG56_YARLL, tr|A0A1D8NL04|A0A1D8NL04_YARLL, tr|A0A1H6Q874|A0A1H6Q874_YARLL	sp|P36035|JEN1_YEAST
OG0000030	tr|W0T748|W0T748_KLUMD, tr|W0T988|W0T988_KLUMD, tr|W0TB15|W0TB15_KLUMD	tr|A0A1H6PUB3|A0A1H6PUB3_YARLL, tr|A0A1H6Q8E2|A0A1H6Q8E2_YARLL	sp|P26570|PPZ1_YEAST, sp|P32598|PP12_YEAST, sp|P32945|PPQ1_YEAST
OG0000031	tr|W0T6N5|W0T6N5_KLUMD, tr|W0T6Q2|W0T6Q2_KLUMD	tr|A0A1D8N9Z8|A0A1D8N9Z8_YARLL	sp|P00635|PPA5_YEAST, sp|P24031|PPA3_YEAST, sp|P35842|PPAB_YEAST, sp|P38693|PPAC_YEAST, sp|P52290|PPAD_YEAST
OG0000032	tr|W0T5I2|W0T5I2_KLUMD, tr|W0T969|W0T969_KLUMD, tr|W0T9X3|W0T9X3_KLUMD, tr|W0TA82|W0TA82_KLUMD, tr|W0TB18|W0TB18_KLUMD	tr|A0A1D8N5X0|A0A1D8N5X0_YARLL	sp|Q12145|YP013_YEAST, sp|Q12531|YP015_YEAST
OG0000033	tr|W0T952|W0T952_KLUMD	tr|A0A1D8NA92|A0A1D8NA92_YARLL, tr|A0A1D8NL95|A0A1D8NL95_YARLL, tr|A0A1H6PJ98|A0A1H6PJ98_YARLL	sp|P38157|MAL33_YEAST, sp|P43551|YFF2_YEAST, sp|P53338|MAL13_YEAST, sp|Q06595|YP196_YEAST
OG0000034	tr|W0T633|W0T633_KLUMD, tr|W0T947|W0T947_KLUMD	tr|A0A1D8N8S4|A0A1D8N8S4_YARLL, tr|A0A1D8NIZ1|A0A1D8NIZ1_YARLL, tr|A0A1H6PRD7|A0A1H6PRD7_YARLL, tr|A0A1H6PV93|A0A1H6PV93_YARLL	sp|P14065|GCY1_YEAST, sp|Q12458|YPR1_YEAST
OG0000035	tr|W0TH78|W0TH78_KLUMD, tr|W0THT7|W0THT7_KLUMD	tr|A0A1H6PI38|A0A1H6PI38_YARLL, tr|A0A1H6PQJ8|A0A1H6PQJ8_YARLL, tr|A0A1H6Q9W6|A0A1H6Q9W6_YARLL	sp|P29547|EF1G1_YEAST, sp|P36008|EF1G2_YEAST, sp|P42936|YG4D_YEAST
OG0000036	tr|W0T5C5|W0T5C5_KLUMD	tr|A0A1D8N836|A0A1D8N836_YARLL, tr|A0A1D8N8H8|A0A1D8N8H8_YARLL, tr|A0A1D8NBK6|A0A1D8NBK6_YARLL, tr|A0A1D8NHX2|A0A1D8NHX2_YARLL, tr|A0A1H6PHA9|A0A1H6PHA9_YARLL, tr|A0A1H6PP09|A0A1H6PP09_YARLL	sp|P19145|GAP1_YEAST
OG0000037	tr|W0TAW4|W0TAW4_KLUMD	tr|A0A1D8N3Y2|A0A1D8N3Y2_YARLL, tr|A0A1D8NF01|A0A1D8NF01_YARLL, tr|A0A1D8NHK9|A0A1D8NHK9_YARLL, tr|A0A1D8NI10|A0A1D8NI10_YARLL, tr|A0A1D8NJC9|A0A1D8NJC9_YARLL, tr|A0A1D8NQ57|A0A1D8NQ57_YARLL, tr|A0A1H6PTD9|A0A1H6PTD9_YARLL	
OG0000038	tr|W0T8W9|W0T8W9_KLUMD, tr|W0T9F6|W0T9F6_KLUMD	tr|A0A1D8NKT9|A0A1D8NKT9_YARLL	sp|P40209|GAT2_YEAST, sp|P40569|GAT4_YEAST, sp|Q02710|ECM23_YEAST, sp|Q07928|GAT3_YEAST
OG0000039	tr|W0TBA3|W0TBA3_KLUMD, tr|W0TD05|W0TD05_KLUMD, tr|W0TFN7|W0TFN7_KLUMD	tr|A0A1D8N8L1|A0A1D8N8L1_YARLL	sp|P46999|PIR5_YEAST, sp|P47001|CIS3_YEAST, sp|Q03178|PIR1_YEAST
OG0000040	tr|W0T9E0|W0T9E0_KLUMD, tr|W0T9I5|W0T9I5_KLUMD, tr|W0TG93|W0TG93_KLUMD	tr|A0A1D8N9W4|A0A1D8N9W4_YARLL	sp|P00358|G3P2_YEAST, sp|P00359|G3P3_YEAST, sp|P00360|G3P1_YEAST
OG0000041	tr|W0T7C7|W0T7C7_KLUMD	tr|A0A1D8NHD1|A0A1D8NHD1_YARLL, tr|A0A1H6PLL8|A0A1H6PLL8_YARLL, tr|A0A1H6PV70|A0A1H6PV70_YARLL, tr|O74937|O74937_YARLL, tr|O74938|O74938_YARLL	sp|P13711|ACOX_YEAST
OG0000042	tr|W0T8Z6|W0T8Z6_KLUMD, tr|W0TES3|W0TES3_KLUMD	tr|A0A1D8NBT7|A0A1D8NBT7_YARLL, tr|A0A1D8NIT0|A0A1D8NIT0_YARLL, tr|A0A1H6PIN8|A0A1H6PIN8_YARLL, tr|A0A1H6PIQ2|A0A1H6PIQ2_YARLL	sp|Q12335|PST2_YEAST
OG0000043	tr|W0TGU0|W0TGU0_KLUMD, tr|W0TI90|W0TI90_KLUMD	tr|A0A1D8NL40|A0A1D8NL40_YARLL	sp|P36135|UTH1_YEAST, sp|P40472|SIM1_YEAST, sp|P46955|NCA3_YEAST, sp|P53616|SUN4_YEAST
OG0000044	tr|W0T4U4|W0T4U4_KLUMD, tr|W0TEC8|W0TEC8_KLUMD	tr|A0A1D8N3Z3|A0A1D8N3Z3_YARLL, tr|A0A1D8NAS8|A0A1D8NAS8_YARLL, tr|A0A1H6PHM4|A0A1H6PHM4_YARLL	sp|P53753|ENG1_YEAST, sp|Q12168|ENG2_YEAST
OG0000045	tr|W0T9A5|W0T9A5_KLUMD, tr|W0TCE2|W0TCE2_KLUMD, tr|W0THQ0|W0THQ0_KLUMD	tr|A0A1D8NFC1|A0A1D8NFC1_YARLL	sp|Q05998|THI7_YEAST, sp|Q08485|NRT1_YEAST, sp|Q08579|THI72_YEAST
OG0000046	tr|W0T6Q4|W0T6Q4_KLUMD, tr|W0TGY2|W0TGY2_KLUMD	tr|A0A1H6Q3B9|A0A1H6Q3B9_YARLL	sp|P35995|YKW2_YEAST, sp|Q06149|PDR8_YEAST, sp|Q12172|YRR1_YEAST, sp|Q12340|YRM1_YEAST
OG0000047	tr|W0TG62|W0TG62_KLUMD	tr|A0A1H6Q489|A0A1H6Q489_YARLL, tr|A0A1H6QBN8|A0A1H6QBN8_YARLL	sp|Q04432|HSP31_YEAST, sp|Q04902|SNO4_YEAST, sp|Q08914|HSP33_YEAST, sp|Q08992|HSP32_YEAST
OG0000048	tr|W0T4B4|W0T4B4_KLUMD, tr|W0TCN1|W0TCN1_KLUMD	tr|A0A1D8NDM3|A0A1D8NDM3_YARLL	sp|P08459|SPS2_YEAST, sp|P25380|SPS22_YEAST, sp|P38248|ECM33_YEAST, sp|Q12355|PST1_YEAST
OG0000049	tr|W0TBN1|W0TBN1_KLUMD, tr|W0TCX8|W0TCX8_KLUMD	tr|A0A1D8N9F3|A0A1D8N9F3_YARLL, tr|A0A1H6PS65|A0A1H6PS65_YARLL, tr|A0A1H6PZL7|A0A1H6PZL7_YARLL	sp|P40047|ALDH5_YEAST, sp|P46367|ALDH4_YEAST
OG0000050	tr|W0T3S9|W0T3S9_KLUMD	tr|A0A1D8NB03|A0A1D8NB03_YARLL, tr|A0A1D8NDE8|A0A1D8NDE8_YARLL, tr|A0A1D8NEI4|A0A1D8NEI4_YARLL, tr|A0A1D8NNQ9|A0A1D8NNQ9_YARLL, tr|A0A1H6PR52|A0A1H6PR52_YARLL	sp|P15365|DAL5_YEAST
OG0000051	tr|W0TA67|W0TA67_KLUMD	tr|A0A1D8N4K5|A0A1D8N4K5_YARLL, tr|A0A1D8NIT9|A0A1D8NIT9_YARLL, tr|A0A1D8NJ73|A0A1D8NJ73_YARLL, tr|A0A1D8NMV1|A0A1D8NMV1_YARLL, tr|A0A1D8NNL0|A0A1D8NNL0_YARLL	sp|P32338|RME1_YEAST
OG0000052	tr|W0THG5|W0THG5_KLUMD	tr|A0A1D8N710|A0A1D8N710_YARLL, tr|A0A1D8NQG0|A0A1D8NQG0_YARLL, tr|A0A1H6PVH8|A0A1H6PVH8_YARLL	sp|P25608|YCZ2_YEAST, sp|P53912|YNN4_YEAST, sp|P54007|YL460_YEAST
OG0000053	tr|W0T685|W0T685_KLUMD, tr|W0T7F8|W0T7F8_KLUMD	tr|A0A1D8N9N2|A0A1D8N9N2_YARLL, tr|A0A1D8NBN7|A0A1D8NBN7_YARLL, tr|A0A1D8NIV2|A0A1D8NIV2_YARLL	sp|P32458|CDC11_YEAST, sp|Q04921|SPR28_YEAST
OG0000054	tr|W0T5V9|W0T5V9_KLUMD	tr|A0A1D8NAC4|A0A1D8NAC4_YARLL, tr|A0A1H6Q3T4|A0A1H6Q3T4_YARLL	sp|P04397|GAL10_YEAST, sp|P38893|YH10_YEAST, sp|P53757|YN9A_YEAST
OG0000055	tr|W0T6S6|W0T6S6_KLUMD, tr|W0TF11|W0TF11_KLUMD	tr|A0A1D8NFS0|A0A1D8NFS0_YARLL, tr|A0A1D8NIN3|A0A1D8NIN3_YARLL	sp|P37291|GLYC_YEAST, sp|P37292|GLYM_YEAST
OG0000056	tr|W0T547|W0T547_KLUMD, tr|W0T6U0|W0T6U0_KLUMD, tr|W0T8V8|W0T8V8_KLUMD, tr|W0TCF3|W0TCF3_KLUMD, tr|W0TDZ8|W0TDZ8_KLUMD, tr|W0TGR6|W0TGR6_KLUMD		
OG0000057	tr|W0T3F3|W0T3F3_KLUMD, tr|W0T550|W0T550_KLUMD	tr|A0A1H6PRZ9|A0A1H6PRZ9_YARLL, tr|A0A1H6PY68|A0A1H6PY68_YARLL	sp|Q08742|RDL2_YEAST, sp|Q12305|RDL1_YEAST
