uniprotID_CENPK	GeneName_CENPK	uniprotID_S288c	GeneName_S288C	standard_A	standard_B	standard_C	high_temp_A	high_temp_B	high_temp_C	low_pH_A	low_pH_B	low_pH_C	osmotic_stress_A	osmotic_stress_B	osmotic_stress_C
N1NX34	CENPK1137D_2390	P07262	YOR375C	8.079624148	8.082755583	8.121054073	7.902324315	7.838156642	7.836091315	8.393299345	8.379177812	8.416793916	8.439862847	8.441325039	8.407323625
N1P5A5	CENPK1137D_20	P25087	YML008C	6.83190172	6.849358678	6.821816374	6.608573867	6.567017426	6.555787274	6.761276391	6.721252647	6.721746483	6.478289979	6.464564205	6.413461603
N1P3V6	CENPK1137D_3141	P32476	YGR175C	8.119679442	8.091715185	8.072059715	7.753645166	7.709223041	7.752212133	8.095648975	8.086487842	8.001914029	7.206558343	7.126645016	7.201509901
N1P3Y8	CENPK1137D_3054	P06115	YGR088W	6.437807054	6.483778114	6.500742348	6.327498943	6.249684336	6.286663713	6.981026307	6.989580247	6.974205111	7.349359903	7.34988105	7.266378882
N1P004	CENPK1137D_1304	P00358	YJR009C	6.294420663	6.271668376	6.38988944	6.456579774	6.428760084	6.510787883	6.540659882	6.592073173	6.588251915	7.106415207	7.129845449	7.104511955
N1P117	CENPK1137D_1111	P10963	YKR097W	6.62767494	6.623317479	6.721503856	7.013329482	7.015747124	6.973006211	6.513271767	6.489091356	6.450288177	7.28903344	7.360301047	7.368129224
N1NYI5	CENPK1137D_203			7.155873582	7.199570018	7.241112359	6.798014277	6.881240397	6.80610314	7.429312356	7.523750048	7.571552535	8.327905147	8.358099451	8.23297895
N1NYD9	CENPK1137D_2119	Q12289	YOR100C	6.626849487	6.668262487	6.656218401	7.166827599	7.201515417	7.221843823	6.464322544	6.507302366	6.444901804	7.010275137	7.069752239	7.105286913
N1P185	CENPK1137D_1403	P03965	YJR109C	6.768713781	6.782715205	6.742815843	6.501825798	6.49674229	6.460538678	6.676817115	6.661517906	6.640686462	6.323109914	6.330652393	6.321543382
N1NZX6	CENPK1137D_808	P07991	YLR438W	7.752837412	7.751569918	7.770769499	7.981331165	7.911270299	7.93024352	7.745921399	7.73313036	7.68152482	7.404540633	7.391092206	7.359130608
N1P622	CENPK1137D_3841	P48015	YDR019C	7.497540508	7.531649771	7.542657986	7.389271398	7.391903263	7.378800311	7.397990495	7.414231385	7.415094147	7.136053549	7.15754569	7.113909951
N1NY83	CENPK1137D_2049	P15705	YOR027W	7.925135716	7.932988174	7.935198902	8.193731369	8.182682195	8.186538664	7.965691328	7.970203138	7.964202493	7.950804778	7.973977036	7.917725836
N1P694	CENPK1137D_4507	P25613	YCR010C	7.687690377	7.771991917	7.898342157	8.368468985	8.409002347	8.453601283	7.535960961	7.607497796	7.540180322	6.945113351	7.196129805	7.157031349
N1PAP3	CENPK1137D_4473	Q96VH4	YCL026C-B	7.066835459	7.02542299	7.079608486	7.095147801	7.080123368	7.069922466	7.37308978	7.364409519	7.362626679	8.157151351	8.116862413	8.072681623
N1NVR4	CENPK1137D_2071	P50861	YOL143C	6.806112481	6.836520488	6.84087211	6.879717694	6.831367767	6.800578827	6.820878093	6.741006426	6.810462001	7.434308217	7.433782987	7.411616806
N1P5A9	CENPK1137D_25	P50107	YML004C	6.844198056	6.868187236	6.88127244	6.545777823	6.538555964	6.530837043	6.860473039	6.939707584	6.913147877	7.401879854	7.373469585	7.314193477
N1NX50	CENPK1137D_1594	P32589	YPL106C	7.19758454	7.179827619	7.231074683	7.249255991	7.248528703	7.243609626	7.192648855	7.188730017	7.219088887	7.476632725	7.501883144	7.513844373
N1NYD3	CENPK1137D_138	Q04438	YMR107W	7.011612061	7.026302525	6.978195276	7.28777575	7.23200658	7.251877876	7.202322066	7.207677103	7.140116587	6.320701937	6.293753311	6.223760267
N1P7N3	CENPK1137D_4319	Q12680	YDL171C	6.667201965	6.688787062	6.692731925	6.535234971	6.54395257	6.563548075	6.961606215	6.972289266	6.967877857	6.76849282	6.796569685	6.797113637
N1P4J9	CENPK1137D_2642	P28834	YNL037C	7.583297931	7.615411453	7.646659288	7.606740798	7.662696991	7.629472045	7.559940731	7.582824332	7.646959979	8.022491435	8.063659223	8.069782072
N1NVM0	CENPK1137D_1851	P06738	YPR160W	7.322512491	7.398858277	7.37432782	7.435531003	7.433822785	7.448729729	7.488588369	7.48624484	7.453692233	6.85176923	6.858017288	6.834835952
N1PAT1	CENPK1137D_4663	P33315	YBR117C	6.989721592	7.020796333	7.000309648	7.110541745	7.125707702	7.103908328	7.225374546	7.2470073	7.214729675	7.613000802	7.622853249	7.578361403
N1P916	CENPK1137D_4929	P39721	YAL049C	7.368695961	7.40386181	7.438590111	7.609169463	7.643801917	7.648421928	7.407652965	7.461445407	7.485642785	6.919927129	7.006212268	7.014441073
N1P0V1	CENPK1137D_5134	P40471	YIL124W	7.239431419	7.315902419	7.366181663	7.364930027	7.349193859	7.370534758	7.295248784	7.335053726	7.342465228	6.822307519	6.838179708	6.824601041
N1P4W5	CENPK1137D_3481	P40047	YER073W	7.204377048	7.223523804	7.273336998	7.109693255	7.098654121	7.129559809	7.166137911	7.182833956	7.178522297	6.921850839	6.923631103	6.90753141
N1P1W7	CENPK1137D_1697	Q12230	YPL004C	7.860980169	7.853588504	7.876991853	7.948563828	7.961321205	7.97518539	8.019428598	8.038120943	8.017912633	7.573826095	7.60331411	7.564690045
N1NXW8	CENPK1137D_384	P54839	YML126C	7.916731062	7.970382901	7.997320335	7.671238688	7.71774782	7.708197089	7.891795023	7.899312496	7.902551053	7.707041866	7.72114859	7.729945392
N1P4B2	CENPK1137D_5102	P40580	YIR036C	7.404082532	7.446804828	7.461555916	7.504059766	7.487575011	7.472210434	7.393078859	7.38739466	7.372563842	7.044406606	7.010109751	7.025965313
N1P997	CENPK1137D_4500	P08679	YCR005C	6.172366156	6.315890282	6.354592349	6.636830141	6.706983037	6.716951292	6.370991852	6.443353652	6.388578316	6.841236744	6.98054824	6.979934175
N1P0A8	CENPK1137D_127	Q03148	YMR096W	7.399898028	7.438546983	7.460002726	7.108336735	7.127787992	7.139781835	7.314894183	7.343274137	7.379320917	7.403713033	7.435902491	7.467438609
N1P5D9	CENPK1137D_3646	P32775	YEL011W	7.092418005	7.144832398	7.15403387	7.218205536	7.242885104	7.239934837	7.139616036	7.179848019	7.170801386	6.520453669	6.543277117	6.528632612
N1NVM5	CENPK1137D_1876	Q06625	YPR184W	6.439777756	6.489774749	6.513801892	6.66277816	6.646126647	6.682158779	6.610578449	6.637265057	6.580478407	6.224818018	6.234223762	6.244479578
N1PAJ1	CENPK1137D_4213	Q12359	YDR384C	7.738320012	7.724525074	7.829380908	7.877387487	7.919115096	7.941427397	7.846309462	7.857690182	7.908421458	7.537499066	7.544281485	7.562492408
N1NWR7	CENPK1137D_2676	P00890	YNR001C	8.569970588	8.570842798	8.572568831	8.756500945	8.747504845	8.733075658	8.690394142	8.696851133	8.673119667	9.022787638	9.038461735	9.023591148
N1P7B4	CENPK1137D_3610	P39976	YEL071W	7.375509649	7.361687737	7.313858566	7.447917204	7.402605729	7.388763876	7.391050447	7.354904497	7.382208463	7.724140819	7.755068641	7.770273952
N1PAL9	CENPK1137D_4353	P32771	YDL168W	6.216072332	6.222723977	6.193342767	6.394163383	6.368023777	6.415524215	6.371538625	6.357371804	6.271781317	6.769805213	6.790614144	6.756719348
N1NWX8	CENPK1137D_2766	P53839	YNL274C	7.254671553	7.276217614	7.288507604	7.322097289	7.330162277	7.320147605	7.588223677	7.580563854	7.600453115	7.694273959	7.689475003	7.676419741
N1NYX0	CENPK1137D_363	Q04894	YMR318C	7.92057599	7.908469836	7.910234368	7.733327386	7.694326654	7.663222497	7.923004779	7.890860524	7.907752875	8.222923065	8.199312794	8.188777606
N1NYC6	CENPK1137D_2104	P18544	YOL140W	7.880880889	7.899726198	7.831345956	7.598387905	7.626905647	7.537848154	7.726928939	7.688498587	7.70961519	7.506718085	7.489230255	7.45668242
N1NYG5	CENPK1137D_624	P16521	YLR249W	7.414999485	7.401764943	7.416526976	7.216057116	7.200480684	7.186985194	7.377730686	7.355530961	7.3809216	7.498751859	7.482852204	7.505569853
N1P6J1	CENPK1137D_4617	P15992	YBR072W	8.863707202	8.818894697	8.761429819	8.955696797	8.912337666	8.853326532	9.023406055	8.993590087	8.91159791	8.317742604	8.288055196	8.196063956
N1NYW8	CENPK1137D_206			6.700716183	6.726326567	6.807650335	6.96414761	6.914133981	7.026361267	7.27419758	7.261492728	7.35624465	7.320370263	7.314687578	7.381325996
N1P4S8	CENPK1137D_2712	P50278	YNR034W	6.062552022	6.029669631	6.172505911	6.349494034	6.294632721	6.344790223	6.281585224	6.294291069	6.336740188	6.816078842	6.839544705	6.837612241
N1PA31	CENPK1137D_3413	P39692	YFR030W	7.189918926	7.225322781	7.242368857	6.97713074	7.008267085	6.998225496	7.225221069	7.222450846	7.214790976	7.266310144	7.265864168	7.259747468
N1P7N2	CENPK1137D_4997	Q01574	YAL054C	8.643115574	8.640926076	8.615832806	8.791271299	8.743194738	8.74813046	8.545081244	8.519104828	8.485366042	8.405708594	8.354534035	8.367674764
N1NVZ2	CENPK1137D_1665	P19657	YPL036W	6.901663629	6.876585661	6.963988436	6.956185276	6.998329351	7.005138643	7.035929738	7.075436582	7.093595601	6.33444759	6.335005962	6.26260658
N1P0C2	CENPK1137D_1444	P47176	YJR148W	7.519300658	7.53916366	7.53899462	7.564274445	7.536287709	7.523724308	7.602573734	7.60039495	7.582272861	7.15492591	7.219327209	7.180022823
N1P7K8	CENPK1137D_4361	Q04432	YDR533C	6.817236568	6.795879455	6.837455428	6.940997515	6.929958718	7.036389157	7.195494625	7.225969322	7.182650853	6.420905447	6.363750951	6.239014717
N1NXK4	CENPK1137D_1759	P32331	YPR058W	7.093103008	7.141096609	7.131248815	6.909954517	6.976908294	6.95517127	7.08846669	7.110832228	7.120402015	6.955444985	6.943400673	6.969282767
N1NWG6	CENPK1137D_2511	P53889	YNL168C	6.89460347	6.934402929	6.983460401	7.091105135	7.132322662	7.126979365	7.051727375	7.054239169	6.993066528	6.65918386	6.685911978	6.667263076
N1P1Y7	CENPK1137D_5153	P40433	YIL107C	6.508072629	6.499023832	6.598701417	6.851245604	6.857638995	6.924964844	6.483933447	6.554362554	6.612692223	6.410429004	6.501632435	6.493875969
N1P4D4	CENPK1137D_3199	P39676	YGR234W	8.241368443	8.212177355	8.228087952	7.776619273	7.76316115	7.736324161	8.302782872	8.283512099	8.280910977	8.35050116	8.33128297	8.292513479
N1PA49	CENPK1137D_3503	P05694	YER091C	7.933994014	7.888458341	7.889632737	7.720860857	7.69433451	7.674058036	7.928965521	7.889499698	7.869578839	7.749405846	7.725538035	7.693452555
N1NYE5	CENPK1137D_594	P53691	YLR216C	6.866312511	6.841257459	6.837671501	7.16752698	7.131573358	7.172071854	6.834969293	6.843845645	6.765651	6.8967278	6.912193209	6.873663889
N1P2F7	CENPK1137D_1837	P49089	YPR145W	7.828772866	7.859795266	7.86843142	7.732099421	7.727994011	7.711030797	7.896575508	7.90319595	7.944455767	7.623570554	7.664323504	7.669339262
N1P1Y9	CENPK1137D_1707	Q12031	YPR006C	7.05188865	7.135740027	7.137395646	7.194892624	7.221030888	7.247060175	7.330189291	7.361158577	7.354282579	7.023502671	7.094771496	7.089579765
N1P3W2	CENPK1137D_3146	P49723	YGR180C	8.036011925	7.991955604	8.013416135	8.05959706	8.021430771	8.056833214	7.968247875	7.961455803	7.919456595	7.635257264	7.646828559	7.645259654
N1P141	CENPK1137D_5249	P38715	YHR104W	7.799464717	7.82551049	7.840208099	8.051508174	8.048999973	8.060729046	8.002772376	8.027233459	7.981469296	8.338766516	8.360740463	8.319562391
N1P0H6	CENPK1137D_232	Q04336	YMR196W	6.432477877	6.517495529	6.521774945	6.569582991	6.613155694	6.604784885	6.516039934	6.569795198	6.554345152	6.125753816	6.157576541	6.128010368
N1P2M1	CENPK1137D_3207	P16861	YGR240C	7.21451293	7.210031314	7.237419657	7.341400871	7.330680958	7.351222911	7.29347477	7.291569512	7.29115144	7.503427079	7.514680024	7.531508198
N1P4L6	CENPK1137D_3279	P53101	YGL184C	7.237594203	7.276582716	7.234754754	7.059923796	7.099256534	7.087998413	7.123682667	7.153588209	7.207678057	6.760475978	6.823517976	6.859168493
N1P4M0	CENPK1137D_2662	P53978	YNL014W	7.334008864	7.351635847	7.318835487	7.619837022	7.610385857	7.630114136	7.255593772	7.298593708	7.2773932	6.57584488	6.528681171	6.796930452
N1NZ14	CENPK1137D_874	P23542	YLR027C	8.069665641	8.067876324	8.069151082	7.907145849	7.914016493	7.888604081	8.018534206	8.015299336	8.059140626	8.178252646	8.172937753	8.186664397
N1P4R7	CENPK1137D_3319	P43616	YFR044C	7.88368882	7.854711462	7.908872727	7.904200659	7.890439953	7.900625795	7.918556005	7.910608166	7.891496071	8.106339882	8.136414791	8.12332432
N1P9L5	CENPK1137D_5420	P17423	YHR025W	7.66185847	7.705478793	7.68400531	7.69720217	7.681170213	7.700035761	7.643683025	7.654798788	7.603472721	7.397002952	7.374550015	7.392674125
N1P3E6	CENPK1137D_2217	P38934	YOR198C	7.852666911	7.878392521	7.912176683	7.848079593	7.884490805	7.893432813	7.90813906	7.934955774	7.926477331	8.004325933	8.046480905	8.04075997
N1NZR0	CENPK1137D_541	P52910	YLR153C	7.142042829	7.157612745	7.156177064	7.040298635	7.018095877	7.004749193	7.14128903	7.123724405	7.09093717	7.256694621	7.278488642	7.275850022
N1NWR8	CENPK1137D_1993	Q12068	YOL151W	7.02453584	7.019170804	6.982161053	7.069221799	7.048919978	7.020552828	7.202984212	7.189182841	7.150187266	7.814944781	7.777854341	7.720056601
N1P5P6	CENPK1137D_3741	Q07500	YDL085W	7.388200041	7.493138021	7.542748892	7.57753468	7.631975336	7.669964249	7.382175826	7.486386063	7.520779013	6.878351909	6.850351649	6.957548042
N1P073	CENPK1137D_1389	P47137	YJR096W	7.412570144	7.459070585	7.43549514	7.682810446	7.706497375	7.686014417	7.547679445	7.587811611	7.552316041	7.010843428	7.038157151	6.99238796
N1NX92	CENPK1137D_2258	Q08647	YOR243C	6.571471094	6.678306433	6.754813932	6.264623837	6.231657286	6.368324407	6.614196221	6.625049306	6.749025367	6.549145824	6.569663573	6.671666163
N1P1D3	CENPK1137D_1527	P41816	YPL171C	6.951917852	6.989173864	6.990354261	6.763810754	6.71762225	6.75594612	7.317127568	7.311455382	7.259257129	6.822325816	6.786430625	6.832443975
N1P2S3	CENPK1137D_1087			6.699937863	6.829606895	6.850955019	6.709914593	6.761773819	6.757616632	6.776863969	6.843283766	6.839606915	6.493687333	6.535632325	6.515328395
N1PAV4	CENPK1137D_4778	P38137	YBR222C	6.304246627	6.337800136	6.278298829	6.195375477	6.167893379	6.194619318	6.451106326	6.425035535	6.400989253	6.816875279	6.777204609	6.803410081
N1NYM1	CENPK1137D_699	Q06177	YLR327C	6.684400157	6.730105704	6.647699671	6.640535015	6.64984694	6.600501683	6.579216804	6.701165918	6.615956234	6.131619515	6.14085411	6.165066307
N1P9V9	CENPK1137D_3053	P26263	YGR087C	7.081061596	7.143869995	7.14321028	7.39670454	7.373010928	7.444214564	7.337624608	7.411761378	7.390759364	6.87501226	6.965065111	6.82969555
N1P5V4	CENPK1137D_265	Q05016	YMR226C	7.194392738	7.205458412	7.260634664	7.263231849	7.263351494	7.268367103	7.354883734	7.360967986	7.367462972	7.525586703	7.553270326	7.533388503
N1P4P1	CENPK1137D_3299	P04807	YGL253W	6.999835875	6.981617961	6.996477711	6.867059417	6.886417789	6.851567368	6.92955778	6.927374472	6.961444894	7.339964303	7.339387091	7.34863886
N1P535	CENPK1137D_4082	P33416	YDR258C	7.269527051	7.322197175	7.267284613	7.345599388	7.366125744	7.33255045	7.0984874	7.114920614	7.09231522	7.097590915	7.11921376	7.082934946
N1PAT8	CENPK1137D_4698	P38115	YBR149W	7.93293771	7.949613266	7.936551372	8.033161366	8.010746795	8.007688468	7.993054125	7.996995005	7.946633013	7.724377586	7.724525842	7.666578208
N1P1A0	CENPK1137D_557	P14306	YLR178C	7.661544949	7.698423939	7.707695267	7.823891429	7.856668185	7.8426506	7.743902359	7.789408029	7.799380649	7.375098702	7.404125222	7.37027704
N1P814	CENPK1137D_4499	P25349	YCR004C	7.395337904	7.446996214	7.436618615	7.48029442	7.479082487	7.487014857	7.419141088	7.473080673	7.430948287	7.16827015	7.193120913	7.243704354
N1NYH2	CENPK1137D_634	P19882	YLR259C	8.526601692	8.531716531	8.506549908	8.790028285	8.770467534	8.756735961	8.575201146	8.568112167	8.527859214	8.616901985	8.620594986	8.580775651
N1P5B7	CENPK1137D_40	P23585	YMR011W	7.53493221	7.450248699	7.570597989	7.107107436	7.28937397	7.273789036	7.254162094	7.276638291	7.275598466	7.884486791	7.954318753	7.98676067
N1P6F2	CENPK1137D_3854	Q12117	YDR033W	6.937856151	6.936081106	7.070552076	7.424177986	7.356066485	7.305085751	7.187326189	7.193316089	7.235825593	7.795506065	7.731666122	7.722686115
N1P8H5	CENPK1137D_4075	P38988	YDL198C	7.570430672	7.591000808	7.628185047	7.529944487	7.514472093	7.545459738	7.635541276	7.646122409	7.619543442	7.355788394	7.334555113	7.385649186
N1PA19	CENPK1137D_3353	P43567	YFL030W	6.609664405	6.575024912	6.622464309	6.538269114	6.497467773	6.527480997	6.72354935	6.70211351	6.665186678	7.021083254	7.033017185	7.031321129
N1P7Z3	CENPK1137D_4571			7.910718565	7.985004791	8.008840759	8.129806309	8.139116933	8.168703528	8.130122307	8.124638278	8.052625103	7.68066799	7.630961753	7.630319078
N1NVN8	CENPK1137D_1941	Q08926	YPL186C	7.020443187	7.168962516	7.263381297	7.406988054	7.415361899	7.427685126	7.244223768	7.328275282	7.325668317	6.578066956	6.519316344	6.416106526
N1P147	CENPK1137D_1151	P32454	YKL157W	6.770896135	6.760427924	6.717389708	6.756156519	6.751755443	6.705352377	6.676547078	6.70636749	6.679172807	6.455747797	6.468173296	6.477763
N1P5N1	CENPK1137D_2980	P16965	YGR008C	7.016696449	7.129039091	7.153176026	7.256939418	7.274084357	7.31225506	7.168648038	7.238526478	7.262504253	6.572460353	6.62490524	6.557495594
N1P8W3	CENPK1137D_1415	P00830	YJR121W	6.880532528	6.883402413	6.932797923	6.919195579	6.929124846	6.951203574	6.994287694	7.012178684	7.026210639	7.205006642	7.226406566	7.236892641
N1P0C5	CENPK1137D_152	P38009	YMR120C	6.828760874	6.830737168	6.854693894	6.779144974	6.771528	6.792561149	6.933725083	6.937260974	6.92475108	7.06868186	7.079262179	7.088264905
N1P8G1	CENPK1137D_1220	P47031	YJL082W	6.658556257	6.637567601	6.706332288	6.956537391	6.956426764	6.983538491	6.694339301	6.656062644	6.703162712	6.538336881	6.556125432	6.642058802
N1NVS9	CENPK1137D_2146	P21264	YOR128C	7.658892113	7.653099802	7.706135501	7.646569463	7.634249198	7.660952653	7.70147031	7.700185433	7.715102084	7.877677044	7.888228176	7.913418307
N1NZK0	CENPK1137D_1094	P36161	YKR082W	6.099872145	6.10920897	5.993064132	6.032176984	6.037645449	5.907460016	5.914895753	5.875261242	5.840328551	6.009891558	5.989049821	5.904746606
N1P3D7	CENPK1137D_2971	P53199	YGL001C	7.481215701	7.449782013	7.446764417	7.163330839	7.125285293	7.188409675	7.409062842	7.413405866	7.401925655	7.320656734	7.34296598	7.345840806
N1NWR1	CENPK1137D_2666	P53982	YNL009W	6.567569942	6.641638257	6.669268753	6.769708113	6.750068725	6.764583305	6.627877842	6.650791481	6.636297284	6.350470929	6.359515713	6.357305391
N1P2Q7	CENPK1137D_1962	P22768	YOL058W	8.013275742	8.050989719	8.04688681	7.853817428	7.888882693	7.878623697	7.902216983	7.936685744	7.958328921	7.453269745	7.486144589	7.500411672
N1P3G0	CENPK1137D_2232	Q12032	YOR215C	7.13845329	7.038849716	7.037571826	6.741056798	6.773624383	6.705219491	7.062662511	7.065742643	7.073170321	6.788479531	6.860987068	6.786155157
N1PAJ0	CENPK1137D_4208	P48570	YDL182W	7.426605123	7.398552714	7.401622411	7.214668886	7.24525431	7.236091734	7.203395114	7.222129035	7.264943229	7.503824153	7.510611937	7.542892987
N1P9T2	CENPK1137D_2963	P07264	YGL009C	7.851187905	7.893648805	7.923943922	7.820635086	7.838273006	7.804053091	7.89015476	7.876791681	7.895480693	8.031208098	8.026532213	8.044542788
N1NX84	CENPK1137D_2248	P22133	YOL126C	7.560863785	7.618597114	7.644759827	7.769110052	7.800665279	7.749259757	7.450076665	7.462026664	7.485222307	7.438157116	7.390640775	7.417582314
N1P7F3	CENPK1137D_4912	P32316	YBL015W	8.022871838	8.016007352	8.04228391	8.277505171	8.274593247	8.268998935	8.144334251	8.133260117	8.101284682	8.281532542	8.290859595	8.278859212
N1P4S7	CENPK1137D_3436	P40024	YER036C	7.069669501	7.108273425	7.136604988	7.25012913	7.261835051	7.28086277	7.18952481	7.213244542	7.214995295	7.375044307	7.400337772	7.410051558
N1NZH7	CENPK1137D_633	P27472	YLR258W	6.934979411	6.98639489	7.022615245	7.076542085	7.138088018	7.11994101	7.007467228	6.990348867	7.002938675	6.67780194	6.709420113	6.682409974
N1NXS2	CENPK1137D_2508	P53885	YNL173C	6.661654324	6.786821697	6.679014662	6.773080647	6.844694874	6.802195833	6.823749297	6.773950443	6.716284523	6.388818638	6.445018417	6.409576871
N1P0Q3	CENPK1137D_1163	P36035	YKL217W	7.017451666	7.017968883	7.022459143	7.04488447	7.054180338	7.009063034	7.195035439	7.21381111	7.167766855	6.747129618	6.744855866	6.706641256
N1P043	CENPK1137D_746	P09201	YLR377C	6.733007277	6.799868315	6.848770063	6.991482633	7.014095886	7.062641323	6.732737968	6.73404525	6.733848408	6.414451918	6.450770865	6.511137813
N1P9C5	CENPK1137D_4570	P38219	YBR025C	8.167366667	8.201831547	8.170256519	8.369121632	8.319702774	8.32562308	8.261059826	8.206960789	8.208052181	8.376534727	8.367191637	8.365396433
N1P0B3	CENPK1137D_1434	P47169	YJR137C	7.420768879	7.443291984	7.468739191	7.246211296	7.271405676	7.275540288	7.454604459	7.479462712	7.484063816	7.424459359	7.454112223	7.462451044
N1NYC1	CENPK1137D_559	P10659	YLR180W	7.728760079	7.745414202	7.821342148	7.643842348	7.641757853	7.665153442	7.841884019	7.851706752	7.857892223	7.872176811	7.865682664	7.863193009
N1P256	CENPK1137D_5006	P41277	YIL053W	6.926508199	6.89653092	6.829598912	6.954123326	6.930610187	6.864862216	6.817501395	6.782872603	6.744581563	7.711822164	7.608144723	7.522952009
N1NW16	CENPK1137D_1558	P08417	YPL262W	7.440895908	7.451537626	7.537185757	7.358112077	7.370217361	7.317684561	7.399113315	7.412601127	7.425391387	7.635809922	7.650715335	7.665952974
N1P3R3	CENPK1137D_2317	O14467	YOR298C-A	7.851816325	7.841949037	7.901373677	8.112558212	8.073797021	8.103970307	7.961790633	8.002558251	8.036877865	8.116036977	8.118734501	8.181737129
N1P7Q3	CENPK1137D_4431	P25372	YCR083W	7.803393571	7.774419673	7.781140304	8.003877699	7.968526967	7.983957364	7.847121077	7.840161963	7.802629368	7.48458939	7.413677901	7.308168394
N1P8G0	CENPK1137D_4664	P02994	YPR080W; YBR118W	7.919327873	7.84584523	7.83583207	7.990368727	7.919632226	7.953652476	7.94303529	7.851203885	7.844981397	7.625406882	7.631848712	7.501319857
N1NZP2	CENPK1137D_1159	Q00711	YKL148C	7.246533054	7.199294935	7.222265191	7.362256235	7.296268247	7.29349998	7.238718628	7.141616743	7.135247301	7.406260323	7.408394176	7.404739742
N1P939	CENPK1137D_1510	P47018	YJL123C	7.298325003	7.312128994	7.356145845	7.534928172	7.539983866	7.56212161	7.398676545	7.390142884	7.373173899	7.340308887	7.367020661	7.321412286
N1P4C6	CENPK1137D_3802	Q12100	YDL025C	6.799899704	6.840358542	6.876862902	6.841850817	6.808520347	6.835271913	6.86068669	6.862824467	6.855287862	7.152883411	7.15562331	7.173276817
N1P6C3	CENPK1137D_3941	Q2V2P9	YDR119W-A	7.632922292	7.671229515	7.704156848	7.802431312	7.780635598	7.805616967	7.700810765	7.720832696	7.734175391	7.44160134	7.459750773	7.445633706
N1P3S8	CENPK1137D_3622	P23301	YEL034W	7.496237106	7.570705048	7.633942394	7.710011706	7.792756948	7.857302611	7.609750899	7.688181387	7.761949823	6.751348429	6.828371367	6.871716903
N1NXF7	CENPK1137D_2565	P53925	YNL115C	6.984572204	7.064279571	7.108454269	7.048194798	7.087527997	7.123682415	7.071117208	7.129521357	7.147076956	6.808287699	6.825659278	6.857552319
N1P424	CENPK1137D_3094	P53275	YGR127W	6.607671036	6.703378806	6.740198872	6.861512124	6.909322405	6.952662838	6.709909223	6.788188718	6.69571082	6.270483777	6.348728556	6.156894551
N1P4H0	CENPK1137D_3234	P51601	YGR267C	7.012016249	6.946682984	6.952054637	6.823344393	6.798592661	6.79997773	6.85272831	6.907596626	6.900679653	6.663370011	6.607723974	6.651595726
N1NXW6	CENPK1137D_1884	P07257	YPR191W	7.987702156	7.99613139	8.022255111	8.086230061	8.09725287	8.105758394	8.075269826	8.08852258	8.086598717	8.298635807	8.317910317	8.321464202
