W29_NCBI	CLIB122_UNIPROT	CLIB122_NCBI	standard_A	standard_B	standard_C	standard_D	high_temp_A	high_temp_B	high_temp_C	low_pH_A	low_pH_B	low_pH_C	low_pH_D
YALI1_E38706g	Q99158	YALI0E32703g1_1	3	4	1	5	7	9	12	16	13	6	8
YALI1_A06416g	Q6CHP3	YALI0A06743g1_1	0	0	0	5	2	2	14	0	3	1	0
YALI1_B13828g	Q6CF51	YALI0B10241g1_1	1	2	2	0	0	1	0	8	4	3	4
YALI1_E00628g	Q6C7J4	YALI0E00308g1_1	0	0	0	0	0	0	0	3	2	2	2
YALI1_E13428g	Q6C6C7	YALI0E10549g1_1	11	10	12	11	9	5	9	2	5	4	2
YALI1_B17927g	Q6CES1	YALI0B13464g1_1	5	7	10	7	6	7	9	3	1	2	1
YALI1_F17082g	Q6C1X0	YALI0F12749g1_1	0	0	0	1	0	0	0	2	3	6	0
YALI1_F02592g	Q6C391	YALI0F01672g1_1	5	4	0	2	3	1	4	0	0	0	0
YALI1_B03644g	Q6CFZ0	YALI0B02332g1_1	36	36	39	41	37	27	34	15	33	22	19
YALI1_B02194g	Q6CG32	YALI0B01298g1_1	4	1	4	3	3	1	1	0	0	0	0
YALI1_F16656g	Q6C1Y2	YALI0F12463g1_1	14	16	18	23	23	34	37	23	20	13	17
YALI1_E02162g	Q6C7E0	YALI0E01584g1_1	4	5	7	2	3	11	11	1	1	4	1
YALI1_E24532g	Q6C564	YALI0E20691g1_1	0	0	1	0	1	3	4	0	0	0	0
YALI1_F10115g	B5RSL1	YALI0F06826g1_1	4	4	6	4	5	6	5	0	1	2	0
YALI1_F34397g	Q6C081	YALI0F27049g1_1	0	0	0	0	0	0	0	0	3	0	5
YALI1_E36619g	Q6C3Z2	YALI0E31108g1_1	0	0	0	0	0	0	0	0	4	1	3
YALI1_B19747g	Q6CEK2	YALI0B15015g1_1	0	0	0	0	4	2	0	0	0	0	0
YALI1_E38034g	Q6C3U4	YALI0E32065g1_1	1	0	0	0	0	0	0	1	4	2	3
YALI1_F34324g	Q6C084	YALI0F26983g1_1	2	1	1	1	2	1	1	4	8	8	2
YALI1_F38756g	Q6BZT4	YALI0F31053g1_1	5	6	4	4	7	4	3	1	2	0	0
YALI1_C30706g	Q6CB30	YALI0C22341g1_1	3	2	6	5	6	6	4	0	2	0	1
YALI1_B19323g	Q6CEL7	YALI0B14685g1_1	4	3	2	4	0	0	0	1	0	1	3
YALI1_B13536g	Q6CF61	YALI0B10021g1_1	0	0	1	1	1	4	3	0	0	0	0
YALI1_E36866g	Q6C3Y2	YALI0E31317g1_1	4	2	3	4	0	0	0	2	2	2	0
YALI1_D15848g	Q6C9A7	YALI0D12661g1_1	3	3	3	2	0	0	0	3	4	3	2
YALI1_A12437g	Q6CH56	YALI0A12177g1_1	6	9	10	7	10	12	15	4	2	8	3
YALI1_E38113g	Q6C3U0	YALI0E32153g1_1	7	7	4	7	2	4	2	8	10	12	9
YALI1_C24567g	Q6CBM6	YALI0C17237g1_1	0	0	0	0	0	0	1	0	3	5	1
YALI1_D05195g	Q6CAC1	YALI0D04136g1_1	0	1	0	0	0	1	1	2	3	5	3
YALI1_F33103g	Q6C0D2	YALI0F25729g1_1	11	11	11	6	12	13	10	0	7	6	4
YALI1_E22543g	F2Z693	YALI0E18788g1_1	0	0	0	1	1	3	3	0	0	0	0
YALI1_E04143g	Q6C762	YALI0E03476g1_1	0	0	0	0	0	0	0	0	2	3	2
YALI1_E32754g	Q6C4D1	YALI0E27764g1_1	0	0	0	0	2	1	2	6	0	1	3
YALI1_E08937g	Q6C6P6	YALI0E07535g1_1	0	1	1	0	0	0	0	3	2	2	3
YALI1_A01628g	Q6CI66	YALI0A01155g1_1	5	4	6	4	6	3	6	0	2	2	0
YALI1_E17699g	Q6C5V9	YALI0E14729g1_1	6	5	5	4	1	0	1	3	6	6	2
YALI1_B14804g	Q6CF15	YALI0B11132g1_1	3	0	0	2	6	5	4	1	1	2	0
YALI1_E25018g	Q6C549	YALI0E21021g1_1	22	21	14	17	14	5	9	3	16	19	6
YALI1_B11983g	Q6CFA1	YALI0B08921g1_1	14	14	13	24	21	29	37	30	20	16	23
YALI1_A18847g			7	11	9	10	9	9	8	3	3	3	5
YALI1_A00789g	Q6CI88	YALI0A00616g1_1	1	8	18	7	3	7	7	3	2	3	3
YALI1_D36215g			1	2	5	3	0	0	0	2	0	0	4
YALI1_D27500g		YALI0D21736g1_1	20	25	32	35	35	37	45	19	25	28	26
YALI1_D08564g	Q6CA15	YALI0D06688g1_1	2	1	0	3	0	0	0	0	0	0	0
YALI1_C05204g	Q6CD43	YALI0C03916g1_1	0	0	0	0	0	0	0	0	0	1	5
YALI1_C20078g	Q6CBY7	YALI0C14388g1_1	0	0	0	0	0	0	0	2	2	0	2
YALI1_B26596g	Q6CDY2	YALI0B20306g1_1	0	0	0	0	0	0	0	0	0	2	4
YALI1_E13541g	Q99156	YALI0E10659g1_1	0	0	0	0	0	0	0	1	2	1	2
YALI1_D16173g	Q6C989	YALI0D13046g1_1	0	0	0	0	3	2	2	2	0	1	0
YALI1_A06128g	Q6CHQ3	YALI0A06479g1_1	4	1	0	0	4	0	3	0	0	0	0
YALI1_B24335g	Q6CE42	YALI0B18722g1_1	2	4	8	5	5	4	4	3	0	0	1
YALI1_F30479g	Q6C0N2	YALI0F23243g1_1	2	1	4	2	6	4	6	1	1	1	1
YALI1_E12703g	Q6C6E8	YALI0E10109g1_1	0	0	0	0	2	1	3	0	2	2	3
YALI1_E33150g	Q6C4B9	YALI0E28153g1_1	30	32	35	32	18	20	19	21	28	30	25
YALI1_C24850g	Q6CBL6	YALI0C17545g1_1	23	32	32	39	17	27	29	43	44	34	35
YALI1_F11199g	Q6C2H6	YALI0F07821g1_1	2	3	3	2	3	1	5	0	1	0	0
YALI1_C26890g		YALI0C19580g1_1	5	4	3	8	2	1	3	6	9	8	7
YALI1_C12333g	Q6CCI8	YALI0C08987g1_1	18	19	25	31	25	25	58	26	31	17	24
YALI1_E14350g	Q6C689	YALI0E11517g1_1	2	2	1	2	3	5	4	0	1	0	1
YALI1_D07831g	Q6CA40	YALI0D06149g1_1	0	1	3	2	0	3	3	0	0	0	0
YALI1_C26017g	Q6CBH3	YALI0C18755g1_1	2	0	0	1	3	3	3	3	5	3	6
YALI1_E08211g	Q6C6R7	YALI0E06853g1_1	10	16	16	20	24	24	33	26	19	15	20
YALI1_F19899g	Q6C1M7	YALI0F14927g1_1	4	2	7	3	7	9	8	9	9	12	10
YALI1_D15333g	Q6C9C4	YALI0D12320g1_1	0	2	1	4	2	1	0	7	3	3	6
YALI1_E20635g	Q6C5K2	YALI0E17369g1_1	1	1	1	1	2	2	1	4	2	6	6
YALI1_E33400g	Q6C4B2	YALI0E28292g1_1	4	2	5	2	4	4	5	10	10	5	9
YALI1_E04968g	Q6C733	YALI0E04136g1_1	1	0	0	3	1	0	0	4	3	4	2
YALI1_D01796g	Q6CAM2	YALI0D01529g1_1	0	0	0	0	0	0	1	2	0	1	4
YALI1_F25924g	Q6C140	YALI0F19470g1_1	11	13	13	12	7	11	11	8	7	5	2
YALI1_B14441g	Q6CF28	YALI0B10780g1_1	4	10	3	16	2	3	8	12	16	8	9
YALI1_C20646g	Q6CBW7	YALI0C14828g1_1	2	3	6	4	2	0	1	3	5	6	7
YALI1_F14933g	Q6C232	YALI0F11275g1_1	4	3	2	2	3	2	2	0	1	0	0
YALI1_C10345g	Q6CCP1	YALI0C07777g1_1	2	0	4	0	2	8	4	1	0	1	2
YALI1_D01234g	Q6CAP1	YALI0D01111g1_1	1	2	1	1	2	1	3	0	0	0	0
YALI1_E17326g	Q6C5X6	YALI0E14256g1_1	0	0	2	0	0	0	1	3	5	0	3
YALI1_A16095g	Q6CGU5	YALI0A16170g1_1	4	3	5	4	3	4	3	0	2	0	1
YALI1_E20361g	Q6C5L2	YALI0E17105g1_1	1	1	0	1	0	1	0	3	2	5	2
YALI1_D12483g	Q6C9M9	YALI0D09845g1_1	0	2	1	6	0	0	0	0	2	3	2
YALI1_C16204g	Q6CC84	YALI0C11561g1_1	16	17	23	16	18	21	20	9	11	11	13
YALI1_E26229g	Q6C501	YALI0E22264g1_1	6	5	6	8	5	5	7	2	2	3	1
YALI1_D13201g	Q6C9K2	YALI0D10549g1_1	0	1	1	0	0	0	0	2	2	2	2
YALI1_A10105g	Q6CHC6	YALI0A10230g1_1	2	1	1	0	2	2	2	0	0	0	0
YALI1_E40671g	Q6C3J7	YALI0E34265g1_1	6	6	6	9	4	4	2	0	4	3	2
YALI1_B13150g	Q6CF68	YALI0B09812g1_1	0	0	1	0	0	0	0	2	3	1	1
YALI1_A07575g	Q6CHK1	YALI0A08041g1_1	0	2	2	3	4	3	2	0	0	0	1
YALI1_B15092g	Q6CF05	YALI0B11374g1_1	4	5	2	6	6	9	3	12	7	9	12
YALI1_F17988g	Q6C1T7	YALI0F13475g1_1	2	2	3	3	3	3	4	6	7	9	6
YALI1_A02461g	Q6CI37	YALI0A02068g1_1	4	3	6	5	3	5	2	0	0	3	1
YALI1_D05705g	Q6CAA3	YALI0D04554g1_1	16	14	14	14	23	24	25	18	14	15	14
YALI1_D12723g	Q6C9M0	YALI0D10043g1_1	2	2	1	2	2	0	0	0	0	0	0
YALI1_F09051g	Q6C2Q0	YALI0F06072g1_1	3	1	0	3	2	0	0	0	0	0	0
YALI1_C25093g	Q6CBK6	YALI0C17941g1_1	3	2	2	2	2	1	5	1	0	0	0
YALI1_B14194g	Q6CF37	YALI0B10538g1_1	3	4	6	3	1	3	3	1	0	0	2
YALI1_F26186g	Q6C128	YALI0F19734g1_1	2	2	4	3	4	3	3	0	1	0	1
YALI1_D06311g	Q6CA87	YALI0D04961g1_1	0	0	0	0	2	1	2	1	0	0	0
YALI1_D34893g	Q6C7P8	YALI0D26389g1_1	0	0	0	0	0	2	3	0	0	0	1
YALI1_D20706g	Q6C8V1	YALI0D16797g1_1	1	0	0	0	0	3	2	0	0	0	0
YALI1_E38640g	Q6C3S0	YALI0E32593g1_1	0	1	0	0	0	1	4	0	0	0	0
YALI1_A22093g	Q6CG95	YALI0A21098g1_1	0	0	1	0	1	1	3	0	0	0	0
YALI1_E27279g	B5FVF1	YALI0E23185g1_1	3	3	2	4	4	4	4	2	0	0	1
YALI1_E12067g	Q6C6G7	YALI0E09691g1_1	1	2	1	2	0	0	1	5	3	2	3
YALI1_E25692g	Q6C523	YALI0E21670g1_1	2	2	1	3	0	0	0	1	1	1	0
YALI1_B29133g	F2Z672	YALI0B22308g1_1	27	26	30	28	33	31	32	22	23	19	18
YALI1_E18269g	Q6C5T9	YALI0E15224g1_1	0	0	1	2	3	2	7	3	1	2	0
YALI1_B01698g	Q6CG44	YALI0B00990g1_1	3	1	4	1	5	3	6	0	1	2	1
YALI1_C25576g	Q6CBI8	YALI0C18381g1_1	2	3	1	2	0	0	0	1	2	2	1
YALI1_D31155g	Q6C800	YALI0D23947g1_1	31	37	37	63	50	50	81	10	16	6	5
YALI1_E02481g	Q6C7C1	YALI0E02024g1_1	32	27	33	36	41	34	38	0	6	9	1
YALI1_F23664g	Q6C1A9	YALI0F17820g1_1	65	64	61	64	69	57	52	127	122	128	134
YALI1_C31408g	Q6CB11	YALI0C22748g1_1	25	19	28	22	41	49	43	5	6	3	8
YALI1_D00474g	Q6CAS0	YALI0D00451g1_1	28	31	37	42	25	23	23	0	6	7	1
YALI1_E41251g	Q6C3H7	YALI0E34749g1_1	42	49	58	60	16	17	8	15	16	18	15
YALI1_E07234g	Q6C6V2	YALI0E05995g1_1	3	4	3	4	0	2	2	23	19	21	31
YALI1_E32603g	F2Z627	YALI0E27654g1_1	20	21	17	17	3	3	4	28	35	35	32
YALI1_B18572g	Q6CEP8	YALI0B14014g1_1	44	47	55	56	34	34	23	89	77	77	90
YALI1_C08262g	Q6CCU7	YALI0C06369g1_1	163	182	171	189	154	174	149	268	213	241	264
YALI1_E36437g	Q6C3Z9	YALI0E30965g1_1	32	30	35	28	49	45	54	15	14	13	12
YALI1_F01078g	Q6C3D2	YALI0F00682g1_1	14	10	14	9	16	16	15	0	0	0	2
YALI1_E07899g	Q6C6T0	YALI0E06567g1_1	31	27	32	29	11	8	10	37	42	44	41
YALI1_C29506g	Q6CB74	YALI0C21362g1_1	6	6	8	7	6	8	8	35	25	20	28
YALI1_F37463g	Q6BZY5	YALI0F29909g1_1	55	59	59	90	54	52	77	36	37	22	22
YALI1_C32886g	F2Z630	YALI0C23859g1_1	37	35	36	36	47	43	42	19	13	12	14
YALI1_B29419g	Q6CDN8	YALI0B22506g1_1	13	15	10	24	27	21	30	46	47	44	39
YALI1_F37320g	Q6BZY9	YALI0F29821g1_1	3	1	3	2	2	3	1	13	13	18	14
YALI1_F23922g	Q6C1A3	YALI0F17996g2_1	22	26	22	21	12	9	9	26	46	42	33
YALI1_F29395g	Q6C0S2	YALI0F22187g1_1	27	34	27	32	32	26	12	4	8	12	9
YALI1_C10203g	Q6CCP7	YALI0C07656g1_1	4	7	8	12	7	10	14	1	0	0	0
YALI1_B29310g	Q6CDN9	YALI0B22484g1_1	5	7	5	3	4	2	1	11	18	19	16
YALI1_C28310g	Q6CBB8	YALI0C20265g1_1	4	7	6	5	1	0	1	11	14	15	10
YALI1_F06351g	Q6C2Y0	YALI0F04169g1_1	42	35	41	31	26	32	35	14	14	19	14
YALI1_A06099g	Q6CHQ5	YALI0A06435g1_1	5	5	6	6	6	9	6	0	0	0	0
YALI1_B26112g	Q6CDZ4	YALI0B19998g1_1	64	60	68	69	50	66	67	98	90	96	106
YALI1_B11853g	Q6CFA8	YALI0B08778g1_1	20	23	28	27	33	36	37	56	42	50	54
YALI1_E41276g	Q6C3H6	YALI0E34771g1_1	8	4	8	6	3	5	3	0	0	0	0
YALI1_D26051g	Q6C8D6	YALI0D20526g1_1	23	25	27	32	26	34	31	13	10	12	12
YALI1_E33056g	Q6C4C2	YALI0E27962g1_1	51	59	59	51	71	68	62	32	45	29	38
YALI1_D11256g	Q6C9S3	YALI0D08778g1_1	6	7	7	6	11	16	16	3	3	1	4
YALI1_E27441g	Q6C4W0	YALI0E23287g1_1	24	23	13	27	24	14	12	34	42	40	32
YALI1_F12138g	Q6C2D9	YALI0F08701g1_1	16	20	21	26	21	15	17	39	34	39	36
YALI1_C27543g		YALI0C19624g1_1	12	15	16	14	22	18	24	4	5	8	9
YALI1_E09241g	Q6C6P1	YALI0E07744g1_1	24	20	21	21	24	27	28	7	14	12	7
YALI1_D24626g	Q6C8I3	YALI0D19382g1_1	11	12	14	19	17	17	23	4	6	6	6
YALI1_A20995g	Q6CGF0	YALI0A19888g1_1	21	22	23	27	24	20	18	7	13	10	6
YALI1_C29676g	Q6CB67	YALI0C21516g1_1	5	4	3	7	4	4	3	17	13	10	14
YALI1_F13875g	Q6C273	YALI0F10197g1_1	3	4	5	5	3	7	4	11	15	11	16
YALI1_D02041g	Q6CAL4	YALI0D01738g1_1	13	10	15	13	20	24	22	8	9	8	7
YALI1_D18408g	Q6C916	YALI0D15114g1_1	20	21	21	28	26	28	29	10	14	11	13
YALI1_E02906g			28	36	28	31	20	18	16	38	38	36	37
YALI1_E09329g	Q6C6P0	YALI0E07766g1_1	20	20	19	20	7	11	12	27	25	24	25
YALI1_E15398g	Q6C650	YALI0E12419g1_1	31	34	32	34	45	39	33	19	22	17	23
YALI1_A16292g	Q6CGT5	YALI0A16379g1_1	27	36	34	34	48	42	36	22	21	21	25
YALI1_E31005g	Q6C4K0	YALI0E26125g1_1	6	5	3	7	6	7	7	1	0	1	1
YALI1_D12832g	Q6C9L5	YALI0D10131g1_1	16	8	10	12	20	11	10	3	4	7	3
YALI1_E14505g	Q6C682	YALI0E11671g1_1	28	18	19	22	23	20	26	13	10	6	14
YALI1_A15105g	Q6CGX7	YALI0A15103g1_1	1	1	2	1	5	6	10	9	7	5	5
YALI1_D02444g	Q6CAJ7	YALI0D02167g1_1	11	10	16	10	18	13	15	4	7	7	3
YALI1_B25553g	Q6CE13	YALI0B19492g1_1	20	20	12	22	16	11	9	6	7	9	9
YALI1_E20995g	Q6C5I9	YALI0E17699g1_1	14	21	14	17	25	18	17	8	11	9	7
YALI1_A05459g	Q6CHS7	YALI0A05379g1_1	7	7	6	7	12	12	9	2	4	3	3
YALI1_B20802g	Q6CEG4	YALI0B15840g1_1	16	17	18	15	29	32	31	17	18	17	22
YALI1_F16743g	Q6C1X9	YALI0F12551g1_1	2	2	4	3	8	7	10	2	3	4	0
YALI1_F10990g	Q6C2I3	YALI0F07667g1_1	4	4	3	3	4	3	3	12	13	7	6
YALI1_A10857g	Q6CHA5	YALI0A10747g1_1	15	17	14	18	19	18	14	10	8	9	5
YALI1_B24638g	Q6CE35	YALI0B18898g1_1	0	0	0	0	0	1	0	4	1	0	4
YALI1_F28064g	Q6C0W4	YALI0F21197g1_1	0	0	1	0	2	2	3	0	0	0	0
YALI1_C32223g	B5FVD6	YALI0C23379g1_1	7	11	14	7	14	19	13	7	6	7	5
YALI1_D31186g	Q6C7Z9	YALI0D23969g1_1	3	0	2	0	0	0	0	3	3	4	2
YALI1_C26377g	Q6CBG3	YALI0C19107g1_1	2	1	3	1	1	3	1	8	5	5	6
YALI1_F03136g	Q6C376	YALI0F02013g1_1	13	18	11	17	16	7	8	21	22	22	20
YALI1_D23067g	Q6C8M8	YALI0D18403g1_1	12	12	8	8	11	6	6	2	5	5	2
YALI1_F14136g	Q6C266	YALI0F10461g1_1	11	17	9	18	5	6	7	13	12	20	11
YALI1_D13510g	Q6C9J1	YALI0D10813g1_1	19	19	22	19	17	21	17	13	12	13	4
YALI1_D13545g	Q6C9J0	YALI0D10835g1_1	12	7	8	8	8	9	8	14	17	16	18
YALI1_C12788g	Q6CCI0	YALI0C09218g1_1	14	17	11	17	18	10	13	22	25	25	23
YALI1_E03762g	Q6C776	YALI0E03146g1_1	22	17	23	24	30	23	23	12	11	19	14
YALI1_E03789g	Q6C775	YALI0E03168g1_1	0	3	2	0	0	2	0	4	3	4	6
YALI1_B21493g	Q6CED6	YALI0B16500g1_1	17	14	14	17	15	11	14	22	28	22	23
YALI1_E20159g	Q6C5L9	YALI0E16907g1_1	2	0	3	1	4	5	6	0	1	3	0
YALI1_D09566g	Q6C9X9	YALI0D07480g1_1	13	15	13	14	12	17	18	29	19	22	25
YALI1_E11402g	Q6C6I5	YALI0E09262g1_1	0	0	1	0	0	0	0	3	0	2	3
YALI1_C14450g	Q6CCD9	YALI0C10230g1_1	36	32	42	32	41	47	48	32	31	26	29
YALI1_D27637g	Q6C883	YALI0D21890g1_1	8	9	18	13	15	18	22	7	11	10	8
YALI1_E25267g	Q6C542	YALI0E21175g1_1	4	3	4	1	1	2	4	0	0	0	1
YALI1_E40502g	Q6C3K1	YALI0E34155g1_1	16	13	17	12	18	16	21	9	11	8	9
YALI1_B05798g	Q6CFS3	YALI0B04312g1_1	11	15	14	16	20	21	19	21	24	23	27
YALI1_E17389g	Q6C5X3	YALI0E14366g1_1	1	0	0	0	1	0	1	2	2	3	3
YALI1_D34487g	Q6C7R2	YALI0D26103g1_1	9	9	11	7	10	11	13	5	3	7	5
YALI1_A01766g	Q6CI63	YALI0A01353g1_1	6	7	6	2	3	3	2	0	1	2	3
YALI1_F08705g	Q6C2Q9	YALI0F05874g1_1	19	21	20	28	29	35	29	20	18	22	20
YALI1_F32764g	Q6C0E2	YALI0F25509g1_1	0	2	0	2	3	4	6	1	4	0	1
YALI1_B14680g	Q6CF20	YALI0B11000g1_1	0	0	0	4	2	0	4	2	6	5	4
YALI1_D16864g	Q6C966	YALI0D13640g1_1	2	1	0	1	0	0	0	0	4	2	2
YALI1_B00578g	Q6CG63	YALI0B00572g1_1	7	5	10	9	9	9	8	18	11	13	15
YALI1_B12409g	Q6CF88	YALI0B09273g1_1	5	6	6	4	3	5	3	2	1	1	2
YALI1_F01291g	Q6C3C5	YALI0F00836g1_1	16	21	19	25	26	31	29	17	20	20	16
YALI1_E07347g	Q6C6U9	YALI0E06061g1_1	8	8	4	2	7	5	5	8	14	12	9
YALI1_F06956g	Q6C2W6	YALI0F04554g1_1	8	6	5	7	5	6	8	2	3	3	2
YALI1_E00510g	Q6C7K0	YALI0E00176g1_1	11	13	14	19	9	8	8	12	17	21	14
YALI1_D24182g	Q6C8J6	YALI0D19096g1_1	2	1	2	0	3	4	3	0	1	1	0
YALI1_C23175g	Q6CBR8	YALI0C16181g1_1	2	0	1	1	2	1	2	0	0	0	0
YALI1_E03220g	Q6C796	YALI0E02618g1_1	0	0	2	2	2	0	3	0	0	0	0
YALI1_E03039g	Q6C7A4	YALI0E02398g1_1	3	4	5	4	2	4	5	0	2	0	2
YALI1_E25290g	Q6C541	YALI0E21197g1_1	1	1	0	0	0	0	0	1	1	3	2
YALI1_A09010g	F2Z6D0	YALI0A09284g1_1	1	1	0	0	0	0	0	1	1	2	3
YALI1_E27649g	F2Z6D5	YALI0E23474g1_1	4	5	8	3	4	4	5	1	2	2	1
YALI1_C00550g	Q6CDH6	YALI0C00451g1_1	9	7	3	5	5	1	4	2	2	4	0
YALI1_F36742g	Q6C004	YALI0F29161g1_1	8	10	11	10	11	7	8	2	6	7	3
YALI1_E40282g	Q6C3L1	YALI0E33935g1_1	11	10	14	15	4	7	8	8	17	15	10
YALI1_F34051g	Q6C097	YALI0F26609g1_1	0	0	0	1	0	0	4	6	2	0	2
YALI1_F07181g	Q6C2W1	YALI0F04664g1_1	0	0	2	4	1	0	2	0	0	0	0
YALI1_F31798g	Q6C0I4	YALI0F24409g1_1	2	1	1	2	1	1	1	0	0	0	0
YALI1_E10134g	Q6C6M1	YALI0E08316g1_1	0	0	0	3	2	2	1	0	0	0	0
YALI1_E19852g	Q6C5N1	YALI0E16643g1_1	25	15	23	21	25	33	28	19	18	16	20
YALI1_B28268g	Q6CDS2	YALI0B21626g1_1	0	0	0	1	0	0	0	0	0	3	3
YALI1_D20202g	Q6C8W6	YALI0D16335g1_1	14	12	12	11	20	17	20	10	8	12	14
YALI1_C20396g	Q6CBX5	YALI0C14652g1_1	10	6	12	9	10	13	9	8	4	3	5
YALI1_B17155g	Q6CET9	YALI0B12980g1_1	3	4	3	4	1	0	1	3	4	5	2
YALI1_E23961g	Q6C588	YALI0E20119g1_1	3	2	3	5	9	3	4	8	8	7	9
YALI1_E20596g	Q6C5K4	YALI0E17325g1_1	17	15	23	15	15	24	21	10	12	11	14
YALI1_F31744g	Q6C0I6	YALI0F24365g1_1	0	2	2	2	0	1	0	3	2	3	4
YALI1_B02091g	W0TYP5	YALI0B01224g1_1	13	9	18	12	17	21	18	8	8	13	13
YALI1_E20923g	Q6C5J1	YALI0E17655g1_1	5	6	9	8	3	11	7	12	14	10	14
YALI1_E22126g	Q6C5F7	YALI0E18480g1_1	0	0	0	2	0	0	7	1	0	0	0
YALI1_F35938g	Q6C029	YALI0F28281g1_1	9	5	12	6	5	10	10	4	2	4	5
YALI1_C17566g	Q6CC54	YALI0C12386g1_1	10	13	10	18	12	13	20	23	22	19	19
YALI1_E26525g	Q6C4Z2	YALI0E22484g1_1	4	2	6	5	5	5	5	1	2	2	1
