GeneName_CENPK	GeneName_S288C	uniprotID_S288c	Standard_A	Standard_B	Standard_C	HighTemp_A	HighTemp_B	HighTemp_C	LowpH_A	LowpH_B	LowpH_C	OsmoticStress_A	OsmoticStress_B	OsmoticStress_C	ec_number	Protein_name
CENPK1137D_1799	YPL240C	P02829	16818.24325	12495.09141	3045.989571	5518.954321	12495.09141	1950.293423	1344.960324	1448.74067	1680.924325	14496.4067	4100.127071	4100.127071		ATP-dependent molecular chaperone HSP82 - HSP82
CENPK1137D_3515	YER103W	P22202	2014.337686	999	1220.677349	1491.495545	1104.295141	134.0314038	903.7357242	405.1585988	2226.542952	605.1898993	903.7357242	447.9251258		Heat shock protein SSA4 - SSA4
CENPK1137D_4754	YBL075C	P09435	1994.262315	1583.893192	1411.537545	1411.537545	1411.537545	315.227766	1257.925412	890.2509381	3980.071706	38.81071706	49.11872336	34.48133892		Heat shock protein SSA3 - SSA3
CENPK1137D_1268	YJL034W	P16474	58.94842503	76.42636827	34.93813664	76.42636827	99	26.82559402	49.54796821	32.00034791	34.93813664	38.13745602	54.04789808	26.82559402		78 kDa glucose-regulated protein homolog - KAR2
CENPK1137D_739	YLR369W	Q05931	0.687612476	0.232846739	0.36887451	0.873817423	0.687612476	0.36887451	0.232846739	0.110336318	0.687612476	1.080567538	0.873817423	0.519911083		"Heat shock protein SSQ1, mitochondrial - SSQ1"
CENPK1137D_1888	YPL231W	P19097	192.8011375	110.1672882	101.6819843	33.69204372	43.0228506	20.5443469	66.23357536	43.0228506	62.7672519	77.80462816	45.41588834	46.66075519	2.3.1.86; 1.1.1.100; 2.3.1.41	Fatty acid synthase subunit alpha - FAS2
CENPK1137D_1128	YKL182W	P07149	77.80462816	64.47747961	61.10169419	33.69204372	29.39195382	15.53449003	38.60054377	37.56620421	69.88832467	47.93900918	38.60054377	34.6224789	2.3.1.86; 4.2.1.59; 1.3.1.9; 2.3.1.38; 2.3.1.39; 3.1.2.14	Fatty acid synthase subunit beta - FAS1
CENPK1137D_2368	YOR353C	Q08817	0	0	0	0	0.066050499	0	0	0	0	0.066050499	0.136463666	0.136463666		Leucine-rich repeat-containing protein SOG2 - SOG2
CENPK1137D_3329	YFR053C	P04806	1114.883993	643.9466771	1244.197085	516.9474679	895.1505019	214.443469	239.4099184	239.4099184	643.9466771	1549.51578	576.9692884	895.1505019	2.7.1.1	Hexokinase-1 - HXK1
CENPK1137D_3299	YGL253W	P04807	222.8721139	99	99	49.11872336	49.11872336	30.6227766	62.09573445	30.6227766	49.11872336	315.227766	500.1872336	445.6835922	2.7.1.1	Hexokinase-2 - HXK2
CENPK1137D_1503	YJL130C	P07259	7.376776401	8.152473109	5.863386585	8.357370946	5.566103019	3.923882632	7.013941242	5.863386585	5.144146161	6.174129813	5.144146161	6.334738171	6.3.5.5; 2.1.3.2	Protein URA2 - URA2
CENPK1137D_1403	YJR109C	P03965	36.82489906	25.43761186	21.67543126	9.525002853	8.027251779	6.356422545	20.5443469	14.84893192	15.68100537	3.410059454	3.885273572	3.641588834	6.3.5.5	Carbamoyl-phosphate synthase arginine-specific large chain - CPA2
CENPK1137D_3503	YER091C	P05694	9395.648315	2244.697996	1204.260937	645.8607662	828.6958521	174.0827032	1451.653926	606.8323128	606.8323128	828.6958521	392.1828756	269.665207	2.1.1.14	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase - MET6
CENPK1137D_2692	YNR016C	Q00955	14.78022559	22.33052589	15.12676175	17.77521443	12.85190275	7.589388851	21.82919333	17.77521443	12.55424938	19.0394959	16.59069582	15.48090789	6.4.1.2; 6.3.4.14	Acetyl-CoA carboxylase - ACC1
CENPK1137D_244	YMR207C	P32874	0.073030941	0.098541142	0.073030941	0.073030941	0.073030941	0.073030941	0.073030941	0.098541142	0.098541142	0.073030941	0.073030941	0.073030941	6.4.1.2; 6.3.4.14	"Acetyl-CoA carboxylase, mitochondrial - HFA1"
CENPK1137D_1415	YJR121W	P00830	7404.684692	1349.314038	1104.295141	605.1898993	999	299.7882518	817.5467307	739.5684692	817.5467307	5483.416576	4060.585988	4488.251258	3.6.3.14	"ATP synthase subunit beta, mitochondrial - ATP2"
CENPK1137D_4214	YOR133W; YDR385W	P32324	3052.855509	1416.474163	1071.267222	571.2367659	704.4802311	173.75284	532.6699231	496.7023564	612.5907273	1416.474163	810.1308308	326.4549163		Elongation factor 2 - EFT1
CENPK1137D_4997	YAL054C	Q01574	6627.703162	7812.707377	4769.582696	4392.970561	8482.428982	847.3428982	609.5402297	609.5402297	1507.590709	1177.768635	342.3320018	371.759372	6.2.1.1	Acetyl-coenzyme A synthetase 1 - ACS1
CENPK1137D_541	YLR153C	P52910	30.6227766	23.70911228	19.96179992	14.08590709	12.89495494	9	16.7827941	16.7827941	18.30697729	25.82695795	19.96179992	25.82695795	6.2.1.1	Acetyl-coenzyme A synthetase 2 - ACS2
CENPK1137D_1639	YPL061W	P54115	12114.27659	3161.27766	1332.521432	1099.694171	1210.527659	382.118685	748.8942093	617.9658189	1614.598098	5622.413252	3830.18685	4640.588834	1.2.1.4	"Magnesium-activated aldehyde dehydrogenase, cytosolic - ALD6"
CENPK1137D_724	YLR355C	P06168	99999	46414.88834	21543.3469	3161.27766	9999	999	5273.997064	4083.238653	8798.225436	8798.225436	5273.997064	2781.559402	1.1.1.86	"Ketol-acid reductoisomerase, mitochondrial - ILV5"
CENPK1137D_1828	YPR135W	Q01454	0.05776756	0.05776756	0.18350673	0.05776756	0	0.05776756	0	0.118872212	0.05776756	0	0	0		DNA polymerase alpha-binding protein - CTF4
CENPK1137D_4941	YAL038W	P00549	3454.107295	999	411.4626383	1303.321387	836.6776401	220.8982341	449.6570338	288.4266125	315.227766	491.3882632	411.4626383	449.6570338	2.7.1.40	Pyruvate kinase 1 - CDC19
CENPK1137D_2362	YOR347C	P52489	0.304321387	0.42510267	0.557068405	0.557068405	0.304321387	0.858791891	0.70125428	0.42510267	0.42510267	0.42510267	0.304321387	0.304321387	2.7.1.40	Pyruvate kinase 2 - PYK2
CENPK1137D_2676	YNR001C	P00890	999	1231.846739	729.5271543	899.6280202	1872.817423	186.3817423	186.3817423	255.5020906	729.5271543	8110.308308	8110.308308	8110.308308	2.3.3.1	"Citrate synthase, mitochondrial - CIT1"
CENPK1137D_4500	YCR005C	P08679	1.682695795	2.72759372	2.72759372	6.19685673	6.19685673	2.340484984	2.340484984	2.72759372	1.993577295	16.30195739	14.5051578	23.04099184	2.3.3.16	"Citrate synthase, peroxisomal - CIT2"
CENPK1137D_1702	YPR001W	P43635	0.77827941	1.511886432	1.238721139	1.818382931	2.548133892	1.238721139	0.995262315	1.238721139	0.584893192	0.584893192	1.511886432	0.584893192	2.3.3.1	"Citrate synthase 3, mitochondrial - CIT3"
CENPK1137D_945	YKL060C	P14540	1211526.659	17781.7941	26100.57216	21543.3469	99999	3830.18685	9999	12114.27659	68128.20691	146778.9268	46414.88834	21543.3469	4.1.2.13	Fructose-bisphosphate aldolase - FBA1
CENPK1137D_677	YLR304C	P19414	315.227766	190.0952975	164.48171	338.8208329	152.9926526	92.05720409	204.3525026	142.301257	114.4781985	338.8208329	190.0952975	204.3525026	4.2.1.3	"Aconitate hydratase, mitochondrial - ACO1"
CENPK1137D_1295	YJL200C	P39533	8.236708572	11.68961003	7.531678524	8.236708572	7.531678524	4.298316906	12.73823796	12.73823796	5.723357536	10.72102298	9	5.723357536	4.2.1.-	"Homocitrate dehydratase, mitochondrial - ACO2"
CENPK1137D_1594	YPL106C	P32589	999	463.1588834	315.227766	340.4548874	500.1872336	72.56422545	115.5914401	91.61187281	340.4548874	2325.305067	856.6958986	1164.914401		Heat shock protein homolog SSE1 - SSE1
CENPK1137D_4723	YBR169C	P32590	7.799225436	9	4.623413252	11.11527659	13.67799268	5.812920691	8.380418666	5.390804842	6.262917502	7.799225436	4.274997064	3.948168092		Heat shock protein homolog SSE2 - SSE2
CENPK1137D_3207	YGR240C	P16861	14.69105606	18.16940777	13.19625896	18.16940777	14.69105606	8.511759691	11.84386264	8.511759691	13.19625896	41.70067916	24.8847204	22.41883126	2.7.1.11	ATP-dependent 6-phosphofructokinase subunit alpha - PFK1
CENPK1137D_242	YMR205C	P16862	12.01025217	9	9.680004325	17.07768677	13.83981789	7.767123873	10.40624924	15.92666615	9.680004325	33.90254879	19.6198601	15.92666615	2.7.1.11	ATP-dependent 6-phosphofructokinase subunit beta - PFK2
CENPK1137D_624	YLR249W	P16521	622.5507341	306.029063	344.5107295	87.86238163	57.78016072	42.75479375	125.6380173	133.3399333	133.3399333	324.7020656	227.5463864	159.3718744		Elongation factor 3A - YEF3
CENPK1137D_2662	YNL014W	P53978	8.426684551	6.896522868	7.376776401	5.235507341	6.896522868	5.614740641	4.54102033	4.223345074	3.923882632	1.894266125	1.571913809	1.728333376		Elongation factor 3B - HEF3
CENPK1137D_673	YLL026W	P31539	1117.872212	712.9347752	508.7028632	754.1770453	1182.50673	289.6796537	480.866605	206.5263132	944.3872831	59.32367686	44.55505605	33.40213263		Heat shock protein 104 - HSP104
CENPK1137D_1155	YKL152C	P00950	5878015.072	70169.38287	49237.82632	4922.882632	242445.2017	4123.626383	4123.626383	4123.626383	41245.26383	41245.26383	49237.82632	41245.26383	5.4.2.11	Phosphoglycerate mutase 1 - GPM1
CENPK1137D_1336	YJR045C	P0CS90	1556.068405	700.7038287	586.8016072	836.6776401	1424.10267	184.8791891	491.3882632	263.8969288	999	1192.776642	1700.25428	765.6822075		"Heat shock protein SSC1, mitochondrial - SSC1"
CENPK1137D_634	YLR259C	P19882	1405.527242	917.2542836	390.3745602	2781.559402	1667.100537	390.3745602	425.2158829	254.509709	358.3813664	1815.599788	651.8521141	549.4789808		"Heat shock protein 60, mitochondrial - HSP60"
CENPK1137D_676	YLR303W	P06106	99999	28941.66125	20308.17621	20308.17621	34550.07295	2423.462017	9999	4123.626383	28941.66125	20308.17621	9999	7016.038287	2.5.1.47; 2.5.1.49	Homocysteine/cysteine synthase - MET17
CENPK1137D_1774	YPR074C	P23254	617.9658189	463.1588834	99	60.89658189	55.23413252	20.5443469	109.0694171	81.54041853	194.7341781	260.0157216	160.5598098	81.54041853	2.2.1.1	Transketolase 1 - TKL1
CENPK1137D_4663	YBR117C	P33315	8.120108394	13.45439771	18.05460718	18.05460718	26.54228703	12.18256739	19.89296131	16.37800829	29.1995172	330.1311215	250.1886432	130.8256739	2.2.1.1	Transketolase 2 - TKL2
CENPK1137D_4905	YBL099W	P07251	4960.947603	1491.495545	817.5467307	739.5684692	817.5467307	134.0314038	148.2495545	148.2495545	739.5684692	1349.314038	739.5684692	817.5467307		"ATP synthase subunit alpha, mitochondrial - ATP1"
CENPK1137D_4331	YDR502C	P19358	5410.695265	15847.93192	2927.644565	1164.914401	3980.071706	397.1071706	1358.356391	1358.356391	3413.548874	7355.422545	2153.43469	1583.893192	2.5.1.6	S-adenosylmethionine synthase 2 - SAM2
CENPK1137D_559	YLR180W	P10659	315.227766	420.6965034	236.1373706	85.59643234	176.827941	63.93816316	204.3525026	236.1373706	176.827941	648.3816316	236.1373706	272.8419634	2.5.1.6	S-adenosylmethionine synthase 1 - SAM1
CENPK1137D_2911	YGL062W	P11154	38.81071706	38.81071706	32.49654392	21.38721139	22.71373706	13.96235656	32.49654392	24.11886432	17.83649089	49.11872336	41.16965034	62.09573445	6.4.1.1	Pyruvate carboxylase 1 - PYC1
CENPK1137D_4774			6.742636827	26.82559402	9	6.742636827	1.15443469	4.994842503	4.994842503	6.742636827	6.742636827	1.782559402	4.994842503	6.742636827		specific  Pyc2p
CENPK1137D_723	YLR354C	P15019	1127.837892	999	614.8482111	182.2980711	378.2690191	87.58667904	482.2930239	694.1927962	427.1332399	1127.837892	544.5594781	232.5721469	2.2.1.2	Transaldolase - TAL1
CENPK1137D_3011	YGR043C	P53228	30.6227766	116.8768635	36.2759372	116.8768635	192.0697729	137.9495494	42.93970561	50.79474679	30.6227766	226.5845926	70.9685673	50.79474679	2.2.1.2	Transaldolase NQM1 - NQM1
CENPK1137D_1434	YJR137C	P47169	31.95013079	37.84058069	29.34889319	17.52922022	11.28247006	5.906940492	20.84166362	19.11738042	20.84166362	19.96179992	20.84166362	17.52922022	1.8.1.2	Sulfite reductase [NADPH] subunit beta - MET5
CENPK1137D_4457	YCL040W	P17709	255.5020906	315.227766	122.2846739	207.0567538	135.887451	80.11308308	150.9911083	99	122.2846739	207.0567538	186.3817423	72.05271543	2.7.1.2	Glucokinase-1 - GLK1
CENPK1137D_4343	YDR516C	Q04409	1.648969288	2.455107295	2.455107295	3.124626383	3.124626383	2.16227766	1.424462017	1.894266125	1.218982341	3.506570338	3.923882632	4.379838403	2.7.1.2	Putative glucokinase-2 - EMI2
CENPK1137D_152	YMR120C	P38009	115.0155302	73.29639508	31.81927873	40.01127071	21.6380341	20.01748011	50.24805877	27.28869435	50.24805877	91.84145445	50.24805877	50.24805877	2.1.2.3; 3.5.4.10	Bifunctional purine biosynthesis protein ADE17 - ADE17
CENPK1137D_876	YLR028C	P54113	7.619535665	9	3.417344703	8.284145445	5.897785379	4.519954321	9.77105056	5.404004271	4.124805877	4.945570709	3.417344703	3.417344703	2.1.2.3; 3.5.4.10	Bifunctional purine biosynthesis protein ADE16 - ADE16
CENPK1137D_2114	YOR096W	P26786	37275936.2	517946.4679	372758.372	268268.5795	268268.5795	99999	719684.673	51793.74679	1389494.494	1389494.494	193068.7729	517946.4679		40S ribosomal protein S7-A - RPS7A
CENPK1137D_2582	YNL096C	P48164	4640.588834	5993.842503	999	2153.43469	3592.813664	1290.549665	1667.100537	598.4842503	1290.549665	7741.636827	2153.43469	3592.813664		40S ribosomal protein S7-B - RPS7B
CENPK1137D_444	YLR058C	P37291	382.118685	236.1373706	89.85175757	73.98942093	73.98942093	37.3118685	176.827941	50.08969775	145.7799268	160.5598098	45.41588834	55.23413252	2.1.2.1	"Serine hydroxymethyltransferase, cytosolic - SHM2"
CENPK1137D_4822	YBR263W	P37292	5.579332247	17.73817423	9	5.579332247	4.925530976	2.16227766	8.006280202	4.925530976	6.305271543	6.305271543	1.565020906	2.898603703	2.1.2.1	"Serine hydroxymethyltransferase, mitochondrial - SHM1"
CENPK1137D_4748	YBR196C	P12709	495.1947603	331.4597932	181.3348001	221.7542952	366.4661941	66.00187504	99	73.05684692	200.5337686	547.4416576	331.4597932	221.7542952	5.3.1.9	Glucose-6-phosphate isomerase - PGI1
CENPK1137D_3052	YGR086C	P53252	999	315.227766	192.0697729	315.227766	516.9474679	99	226.5845926	267.2695795	718.685673	116.8768635	99	162.7893707		Sphingolipid long chain base-responsive protein PIL1 - PIL1
CENPK1137D_1697	YPL004C	Q12230	214.443469	157.4893192	84.76958986	53.11695265	157.4893192	84.76958986	115.5914401	72.56422545	157.4893192	33.14548874	20.5443469	20.5443469		Sphingolipid long chain base-responsive protein LSP1 - LSP1
CENPK1137D_553	YLR174W	P41939	99	82.17637711	42.65158322	119.2264435	56.54399373	35.30780548	51.48074602	68.18309709	46.86300923	32.11311215	32.11311215	16.37800829	1.1.1.42	Isocitrate dehydrogenase [NADP] cytoplasmic - IDP2
CENPK1137D_3760	YDL066W	P21954	16.30195739	32.40484984	23.04099184	28.93577295	20.5443469	9	20.5443469	14.5051578	14.5051578	23.04099184	25.82695795	12.89495494	1.1.1.42	"Isocitrate dehydrogenase [NADP], mitochondrial - IDP1"
CENPK1137D_2666	YNL009W	P53982	1.872984833	3.641588834	2.16227766	5.189658189	1.15443469	2.16227766	2.480700588	1.872984833	2.16227766	1.371373706	1.610157216	0.957341781	1.1.1.42	Isocitrate dehydrogenase [NADP] - IDP3
CENPK1137D_2390	YOR375C	P07262	82.17637711	56.54399373	56.54399373	35.30780548	29.1995172	29.1995172	108.6478196	119.2264435	172.7800829	90.20108394	130.8256739	99	1.4.1.4	NADP-specific glutamate dehydrogenase 1 - GDH1
CENPK1137D_4927	YAL062W	P39708	2.674661941	2.674661941	2.674661941	2.324597932	3.061585988	3.961947603	6.405684692	10.05295141	9	4.484416576	3.061585988	3.961947603	1.4.1.4	NADP-specific glutamate dehydrogenase 2 - GDH3
CENPK1137D_3592	YER177W	P29311	1388.495494	718.685673	516.9474679	516.9474679	718.685673	226.5845926	315.227766	99	847.3428982	609.5402297	371.759372	267.2695795		Protein BMH1 - BMH1
CENPK1137D_3922	YDR099W	P34730	1388.495494	847.3428982	371.759372	609.5402297	999	438.3970561	315.227766	162.7893707	609.5402297	718.685673	371.759372	162.7893707		Protein BMH2 - BMH2
CENPK1137D_4186	YDL185W	P17255	18.87218465	23.32007513	21.43247503	13.97747476	12.2680475	4.680492162	9	6.847599704	12.2680475	16.60410844	11.74274986	10.28837892	3.6.3.14; 3.1.-.-	V-type proton ATPase catalytic subunit A - VMA1
CENPK1137D_5334	YHR183W	P38720	194.7341781	176.827941	286.2984833	120.1527659	120.1527659	55.23413252	236.1373706	145.7799268	160.5598098	463.1588834	286.2984833	194.7341781	1.1.1.44	"6-phosphogluconate dehydrogenase, decarboxylating 1 - GND1"
CENPK1137D_3224	YGR256W	P53319	14.19911083	17.73817423	22.101297	15.87612476	12.6887451	10.10336318	11.32846739	11.32846739	27.48035868	8.006280202	8.006280202	10.10336318	1.1.1.44	"6-phosphogluconate dehydrogenase, decarboxylating 2 - GND2"
CENPK1137D_3170	YGR204W	P07245	23.04099184	19.39500469	10.78768635	11.45197085	15.37893707	11.45197085	12.89495494	7.961505019	10.15883993	16.30195739	10.15883993	15.37893707	1.5.1.5; 3.5.4.9; 6.3.4.3	"C-1-tetrahydrofolate synthase, cytoplasmic - ADE3"
CENPK1137D_4629	YBR084W	P09440	0.916940777	1.341883126	1.015337686	0.649648074	0.823348001	0.649648074	1.118785326	1.015337686	1.118785326	1.015337686	1.341883126	1.462092401	1.5.1.5; 3.5.4.9; 6.3.4.3	"C-1-tetrahydrofolate synthase, mitochondrial - MIS1"
CENPK1137D_2083	YOR063W	P14126	35937.13664	2153.43469	1290.549665	1667.100537	1290.549665	315.227766	773.2636827	463.1588834	680.2920691	1290.549665	407.4238653	598.4842503		60S ribosomal protein L3 - RPL3
CENPK1137D_2049	YOR027W	P15705	390.3745602	254.509709	196.8318883	999	773.2636827	254.509709	139.6527242	139.6527242	165.8100537	90.82542836	117.5971012	90.82542836		Heat shock protein STI1 - STI1
CENPK1137D_390	YML063W	P23248	11786.68635	11786.68635	1177.768635	4392.970561	1636.893707	438.3970561	1388.495494	1636.893707	4392.970561	5178.474679	1388.495494	1388.495494		40S ribosomal protein S1-B - RPS1B
CENPK1137D_812	YLR441C	P33442	13893.95494	9999	1929.697729	5178.474679	2274.845926	371.759372	718.685673	609.5402297	3161.27766	3726.59372	999	1636.893707		40S ribosomal protein S1-A - RPS1A
CENPK1137D_148	YMR116C	P38011	121151.7659	9999	1210.527659	4640.588834	6811.920691	382.118685	2153.43469	561.3413252	3161.27766	2609.157216	1210.527659	2153.43469		Guanine nucleotide-binding protein subunit beta-like protein - ASC1
CENPK1137D_4617	YBR072W	P15992	316227765	9999999	5623412.252	13335213.32	3162276.66	562340.3252	7498941.093	2371372.706	7498941.093	31621.7766	23712.73706	4215.965034		Heat shock protein 26 - HSP26
CENPK1137D_3698	YDL126C	P25694	87.58667904	68.51927962	39.2961132	25.36650899	41.81332399	17.32980711	27.01356761	19.69138081	28.76351442	47.32930239	32.59818286	28.76351442		Cell division control protein 48 - CDC48
CENPK1137D_2964	YGL008C	P05030	110.0336318	110.0336318	80.11308308	122.2846739	122.2846739	42.28761281	89.06280202	64.79332247	99	532.6699231	207.0567538	230.01297	3.6.3.6	Plasma membrane ATPase 1 - PMA1
CENPK1137D_1665	YPL036W	P19657	41.16965034	33.80700588	30.6227766	41.16965034	50.08969775	22.71373706	55.23413252	33.80700588	41.16965034	67.12920691	37.3118685	45.41588834	3.6.3.6	Plasma membrane ATPase 2 - PMA2
CENPK1137D_3869	YDR050C	P00942	28479.35868	9999	5335.699231	4327.761281	8110.308308	656.9332247	1231.846739	431.8761281	4327.761281	28479.35868	12327.46739	3510.191734	5.3.1.1	Triosephosphate isomerase - TPI1
CENPK1137D_4082	YDR258C	P33416	42.75479375	33.55107295	13.2510267	51.23345074	33.55107295	11.66380173	10.25335583	10.25335583	11.66380173	13.2510267	6.896522868	13.2510267		"Heat shock protein 78, mitochondrial - HSP78"
CENPK1137D_3268	YGL195W	P33892	0.207722655	0.230733252	0.278078052	0.18514228	0.230733252	0.207722655	0.458594012	0.230733252	0.32724415	0.431323181	0.404562223	0.572973157		eIF-2-alpha kinase activator GCN1 - GCN1
CENPK1137D_2783	YNL256W	P53848	0	0	0.113042193	0	0	0	0	0	0	0	0	0	4.1.2.25; 2.7.6.3; 2.5.1.15	Folic acid synthesis protein FOL1
CENPK1137D_5133	YIL125W	P20967	48.48168092	48.48168092	45.41588834	86.99225436	39.84238653	20.5443469	55.23413252	21.96736176	26.82559402	295.6348839	67.12920691	76.42636827	1.2.4.2	"2-oxoglutarate dehydrogenase, mitochondrial - KGD1"
CENPK1137D_495	YLL045C	P29453	8575.958986	1164.914401	734.6422545	540.1695265	856.6958986	340.4548874	540.1695265	856.6958986	734.6422545	629.9573445	463.1588834	540.1695265		60S ribosomal protein L8-B - RPL8B
CENPK1137D_5197	YHL033C	P17076	2927.644565	856.6958986	397.1071706	397.1071706	540.1695265	214.443469	463.1588834	540.1695265	397.1071706	397.1071706	250.1886432	183.7849797		60S ribosomal protein L8-A - RPL8A
CENPK1137D_1884	YPR191W	P07257	1667.100537	1466.799268	315.227766	999	1135.463666	277.2559402	407.4238653	315.227766	463.1588834	3592.813664	2153.43469	2153.43469		"Cytochrome b-c1 complex subunit 2, mitochondrial - QCR2"
CENPK1137D_3579	YER165W	P04147	85.19535665	79.02502278	63.04004271	67.97785379	73.29639508	25.26363528	40.01127071	37.07546021	46.57944314	43.17344703	34.34981105	43.17344703		"Polyadenylate-binding protein, cytoplasmic and nuclear - PAB1"
CENPK1137D_3977	YDR155C	P14832	9999	2681.695795	2681.695795	26825.95795	13893.95494	3726.59372	1929.697729	1388.495494	3726.59372	999	516.9474679	371.759372	5.2.1.8	Peptidyl-prolyl cis-trans isomerase - CPR1
CENPK1137D_594	YLR216C	P53691	4.411695265	9	7.576958986	14.84893192	14.84893192	7.576958986	3.641588834	2.981071706	9	7.576958986	10.65914401	3.641588834	5.2.1.8	Peptidyl-prolyl cis-trans isomerase CPR6 - CPR6
CENPK1137D_4556	YBR011C	P00817	2927.644565	1846.849797	856.6958986	540.1695265	999	291.8644565	340.4548874	157.4893192	629.9573445	999	856.6958986	340.4548874	3.6.1.1	Inorganic pyrophosphatase - IPP1
CENPK1137D_2623	YNL055C	P04840	1583.893192	540.1695265	291.8644565	1358.356391	1164.914401	340.4548874	397.1071706	250.1886432	397.1071706	463.1588834	183.7849797	99		Mitochondrial outer membrane protein porin 1 - POR1
CENPK1137D_1436	YJR139C	P31116	999	761.6985859	386.467512	507.0218047	761.6985859	86.33261624	257.086154	149.1310729	337.3855153	872.3261624	294.5209235	224.3933905	1.1.1.3	Homoserine dehydrogenase - HOM6
CENPK1137D_3343	YFL039C	P60010	3726.59372	2681.695795	609.5402297	2274.845926	999	315.227766	718.685673	718.685673	847.3428982	1388.495494	516.9474679	1177.768635		Actin - ACT1
CENPK1137D_5357	YJR145C YHR203C	P0CX35 P0CX36	501186.2336	251187.6432	25117.86432	19951.62315	9999	1994.262315	9999	1994.262315	25117.86432	25117.86432	12588.25412	7942.282347		40S ribosomal protein S4
CENPK1137D_1019	YKR009C	Q02207	23.15342501	26.97747463	16.14125253	28.38225384	33.03414883	17.00193333	14.54137221	13.79833198	13.79833198	19.85205857	18.85511196	25.63985857	4.2.1.119; 1.1.1.n12	Peroxisomal hydratase-dehydrogenase-epimerase - FOX2
CENPK1137D_1068	YKR059W; YJL138C	P10081	500.1872336	176.827941	222.8721139	140.2537545	198.5262315	62.09573445	315.227766	111.2018454	124.8925412	250.1886432	176.827941	140.2537545	3.6.4.13	ATP-dependent RNA helicase eIF4A - TIF1
