OG,sce,kma,yli
OG0002675,,KMXK0E04150,YALI1_D06131g
OG0002677,YMR010W,,
OG0002678,,,YALI1_B17592g
OG0002683,,,YALI1_E37387g
OG0002689,,,YALI1_F26915g
OG0002700,YPR118W,,
OG0002716,,,YALI1_F07819g
OG0002723,,,YALI1_C04389g
OG0002724,,,YALI1_C01297g
OG0002735,,,YALI1_C00999g
OG0002745,,,YALI1_E05709g
OG0002756,,,YALI1_B14978g
OG0002759,,,YALI1_A14390g
OG0002768,YLR168C,,
OG0002770,,,YALI1_D21023g
OG0002771,YLR244C,,
OG0002775,,,YALI1_C28412g
OG0002776,YLR242C,,
OG0002801,,,YALI1_E34290g
OG0002807,,,YALI1_B20188g
OG0002833,,KMXK0F00480,
OG0002835,,,YALI1_F31283g
OG0002838,YLR216C,,
OG0002841,YDL193W,,
OG0002844,YDL185W,,
OG0002866,YMR203W,,
OG0002867,,KMXK0F01080,
OG0002871,YDL051W,,
OG0002897,,,YALI1_C29402g
OG0002908,YPL042C,,
OG0002915,,KMXK0F01900,
OG0002924,,,YALI1_F00286g
OG0002925,,,YALI1_F31102g
OG0002933,,KMXK0F02210,YALI1_E02966g
OG0002942,YBR288C,,
OG0002946,YHR002W,,
OG0002952,,KMXK0F02440,
OG0002965,YKL040C,,
OG0002967,,,YALI1_C20559g
OG0002980,,,YALI1_C16080g
OG0002988,,,YALI1_C21891g
OG0002994,YHR122W,,
OG0003001,,,YALI1_B13737g
OG0003013,,,YALI1_E32622g
OG0003016,,KMXK0F03410,
OG0003024,,,YALI1_A00325g
OG0003026,YOR341W,,
OG0003027,,,YALI1_F23414g
OG0003028,YDR084C,,
OG0003037,YKL077W,,
OG0003039,YMR060C,,
OG0003042,YKL078W,,
OG0003043,,,YALI1_D16086g
OG0003045,YKL080W,,
OG0003049,,,YALI1_E02959g
OG0003056,,,YALI1_D03604g
OG0003059,,,YALI1_B08975g
OG0003060,,KMXK0F04160,
OG0003064,,,YALI1_B15346g
OG0003074,YDR007W,,
OG0003075,,,YALI1_D19515g
OG0003079,,,YALI1_D28518g
OG0003080,YDL002C,,
OG0003086,YBR004C,,
OG0003099,,,YALI1_C01416g
OG0003102,,,YALI1_D22834g
OG0003104,,,YALI1_F19697g
OG0003105,,,YALI1_A03210g
OG0003109,YGR208W,,
OG0003111,,KMXK0F05010,YALI1_C00550g
OG0003113,,,YALI1_F30004g
OG0003138,,,YALI1_E12541g
OG0003139,YJL126W,,
OG0003145,,,YALI1_D11686g
OG0003146,,,YALI1_A01777g
OG0003154,,KMXK0G00240,
OG0003162,,,YALI1_F34083g
OG0003170,,,YALI1_E05390g
OG0003172,,KMXK0G00550,
OG0003173,YMR278W,,
OG0003181,,KMXK0G00810,YALI1_D32619g
OG0003183,,,YALI1_A20129g
OG0003190,YOR021C,,
OG0003191,YOR020C,,
OG0003201,,,YALI1_E11587g
OG0003210,,,YALI1_D01739g
OG0003211,,,YALI1_F32989g
OG0003215,,,YALI1_D04978g
OG0003220,YNL023C,,
OG0003222,,,YALI1_D12271g
OG0003229,YNL037C,,
OG0003231,,,YALI1_E06056g
OG0003232,,,YALI1_F28274g
OG0003233,,,YALI1_F22073g
OG0003236,,,YALI1_F29196g
OG0003247,,,YALI1_F01234g
OG0003254,,,YALI1_B14238g
OG0003256,,,YALI1_E41148g
OG0003262,,KMXK0G01990,
OG0003263,YMR308C,,
OG0003264,,,YALI1_F20462g
OG0003281,YOR094W,,
OG0003282,YOR095C,,
OG0003283,,,YALI1_C03415g
OG0003289,,,YALI1_F36882g
OG0003294,,,YALI1_C20597g
OG0003297,,,YALI1_C19500g
OG0003300,,,YALI1_A09626g
OG0003301,YKL058W,,
OG0003325,YBR111W-A,,
OG0003329,YPR073C,,
OG0003335,,,YALI1_E17583g
OG0003339,YMR256C,,
OG0003344,YPR061C,KMXK0G03410,
OG0003359,,,YALI1_F03028g
OG0003360,,,YALI1_D06408g
OG0003366,YER107C,,
OG0003373,YNL320W,,
OG0003377,YDR367W,,
OG0003379,,,YALI1_C30706g
OG0003380,,,YALI1_C24460g
OG0003388,,,YALI1_F09996g
OG0003392,YLL048C,,YALI1_E17258g
OG0003402,,,YALI1_B06489g
OG0003403,,KMXK0H00230,
OG0003415,,,YALI1_E29005g
OG0003422,,,YALI1_E38193g
OG0003427,YDL063C,,YALI1_F24130g
OG0003430,,,YALI1_B11794g
OG0003438,,,YALI1_A20855g
OG0003439,YDL055C,,
OG0003441,,,YALI1_E14988g
OG0003449,YJR110W,,
OG0003454,YJR088C,,
OG0003457,YJR086W,,
OG0003460,YPR036W,,
OG0003472,,,YALI1_E09241g
OG0003490,,,YALI1_D00311g
OG0003491,YER071C,,
OG0003508,YIL048W,,
OG0003509,,,YALI1_A05459g
OG0003512,,,YALI1_A06128g
OG0003518,,,YALI1_C10675g
OG0003526,,KMXK0H02150,YALI1_C10232g
OG0003535,YPL226W,,
OG0003540,YDL146W,,
OG0003543,,,YALI1_F11781g
OG0003548,YDL157C,,
OG0003555,,KMXK0H02570,
OG0003560,,KMXK0H02650,
OG0003564,YPR168W,,
OG0003566,YPR170W-B,,
OG0003567,,,YALI1_C03735g
OG0003570,YGR123C,,
OG0003571,,,YALI1_C17995g
OG0003575,,,YALI1_A21630g
OG0003576,,,YALI1_A21654g
OG0003581,,,YALI1_E03623g
OG0003582,YGR116W,,
OG0003593,,,YALI1_B18854g
OG0003601,YBR088C,,
OG0003602,YPR051W,,
OG0003607,YBR087W,,YALI1_C29983g
OG0003615,,,YALI1_B00977g
OG0003618,,KMXK0H03570,
OG0003619,,KMXK0H03580,
OG0003628,,,YALI1_E25132g
OG0003632,,,YALI1_E33642g
OG0003638,,,YALI1_E07099g
OG0003642,,KMXK0H03920,
OG0003651,,KMXK0H04040,YALI1_D34529g
OG0003659,,,YALI1_D14125g
OG0003661,,,YALI1_E10290g
OG0003662,,,YALI1_D14276g
OG0003664,,,YALI1_E18441g
OG0003665,YHR001W-A,,
OG0003666,,,YALI1_F39620g
OG0003674,,,YALI1_C30399g
OG0003675,,KMXK0H04420,YALI1_F03803g
OG0003677,,,YALI1_D24941g
OG0003678,,,YALI1_C15687g
