OG,sce,kma,yli
OG0002996,YNL128W,,YALI1_C15465g
OG0003002,YHR119W,,
OG0003023,,KMXK0F03560,
OG0003043,,KMXK0F03920,
OG0003090,YHR082C,,
OG0003092,,KMXK0F04670,
OG0003094,,KMXK0F04730,
OG0003096,,KMXK0F04780,
OG0003111,YPL265W,,
OG0003117,,KMXK0F05100,
OG0003123,,KMXK0F05180,
OG0003124,YGR225W,,
OG0003128,YGR230W,,
OG0003136,YKR050W,,
OG0003143,,,YALI1_C16621g
OG0003150,,,YALI1_D05270g
OG0003151,,KMXK0F05730,
OG0003155,YPL268W,,
OG0003156,,KMXK0G00310,
OG0003176,,KMXK0G00670,
OG0003184,,KMXK0G00860,
OG0003191,,KMXK0G00960,
OG0003195,,KMXK0G01020,
OG0003231,YIL099W,KMXK0G01500,
OG0003234,,KMXK0G01530,
OG0003260,,KMXK0G01960,
OG0003268,,KMXK0G02120,
OG0003281,,KMXK0G02280,
OG0003285,,KMXK0G02370,
OG0003311,,KMXK0G02800,
OG0003341,,KMXK0G03350,
OG0003343,,KMXK0G03400,
OG0003347,,KMXK0G03440,
OG0003350,,KMXK0G03500,
OG0003353,,KMXK0G03540,
OG0003359,YBL061C,,
OG0003371,,KMXK0G03920,
OG0003375,YNL321W,,
OG0003386,,KMXK0G04090,
OG0003394,YPR201W,,
OG0003395,YNR063W,,
OG0003405,,KMXK0H00280,
OG0003465,,KMXK0H01270,
OG0003475,,KMXK0H01400,
OG0003476,YBL097W,,
OG0003502,,KMXK0H01780,
OG0003510,,KMXK0H01950,
OG0003518,,KMXK0H02050,
OG0003523,YBR135W,,
OG0003549,,KMXK0H02470,
OG0003563,,,YALI1_B10635g
OG0003597,,KMXK0H03260,
OG0003603,,KMXK0H03360,
OG0003615,,KMXK0H03510,
OG0003616,,KMXK0H03520,
OG0003630,,KMXK0H03730,
OG0003635,YIL144W,,
OG0003636,,KMXK0H03840,
