genes DMKU	genes CBS6556
KLMA_10553	KMXK_0A02850
KLMA_10730	KMXK_0A01100
KLMA_10735	KMXK_0A01050
KLMA_10558	KMXK_0A02820
KLMA_10171	KMXK_0A06840
KLMA_10740	KMXK_0A00990
KLMA_10563	KMXK_0A02760
KLMA_10745	KMXK_0A00940
KLMA_10176	KMXK_0A06790
KLMA_10568	KMXK_0A02710
KLMA_10750	KMXK_0A00880
KLMA_10181	KMXK_0A06740
KLMA_10573	KMXK_0A02660
KLMA_10755	KMXK_0A00830
KLMA_10186	KMXK_0A06690
KLMA_10578	KMXK_0A02610
KLMA_10760 KLMA_20185	
KLMA_10191	KMXK_0A06640
KLMA_10583	KMXK_0A02560
KLMA_10765	KMXK_0A00740
KLMA_10004	KMXK_0E06330
KLMA_10196	KMXK_0A06600
KLMA_10588	KMXK_0A02510
KLMA_10201	KMXK_0A06570
KLMA_10770	
KLMA_10009	KMXK_0A08380
KLMA_10593	KMXK_0A02460
KLMA_10206	KMXK_0A06520
KLMA_10775	KMXK_0A00650
KLMA_10014	KMXK_0A08330
KLMA_10598	KMXK_0A02410
KLMA_10780	KMXK_0A00600
KLMA_10211	KMXK_0A06470
KLMA_10019	
KLMA_10603	KMXK_0A02360
KLMA_10216	KMXK_0A06420
KLMA_10024	KMXK_0A08250
KLMA_10221	KMXK_0A06370
KLMA_10608	KMXK_0A02310
KLMA_10029	KMXK_0A08200
KLMA_10795	KMXK_0A00480
KLMA_10226	KMXK_0A06320
KLMA_10613	KMXK_0A02260
KLMA_10800	KMXK_0A00420
KLMA_10034	KMXK_0A08150
KLMA_10231	KMXK_0A06280
KLMA_10618	KMXK_0A02210
KLMA_10805	KMXK_0A00380
KLMA_10236	KMXK_0A06230
KLMA_10039	KMXK_0A08100
KLMA_10623	KMXK_0A02160
KLMA_10810	KMXK_0A00330
KLMA_10241	KMXK_0A06180
KLMA_10044	KMXK_0A08080
KLMA_10628	KMXK_0A02110
KLMA_10815	KMXK_0A00280
KLMA_10246	KMXK_0A06120
KLMA_10049	KMXK_0A08030
KLMA_10820	KMXK_0A00230
KLMA_10251	KMXK_0A06070
KLMA_10633	KMXK_0A02060
KLMA_10054	KMXK_0A07980
KLMA_10256	KMXK_0A06030
KLMA_10638	KMXK_0A02010
KLMA_10830	KMXK_0A00150
KLMA_10261	KMXK_0A05980
KLMA_10059	KMXK_0A07930
KLMA_10643	KMXK_0A01960
KLMA_10835	
KLMA_10266	KMXK_0A05940
KLMA_10064	KMXK_0A07880
KLMA_10648	KMXK_0A01920
KLMA_20004	KMXK_0B00130
KLMA_10271	KMXK_0A05890
KLMA_10069	KMXK_0A07830
KLMA_20009	KMXK_0B00180
KLMA_10653	KMXK_0A01870
KLMA_20014	KMXK_0B00240
KLMA_10276	KMXK_0A05840
KLMA_10074	KMXK_0A07780
KLMA_10658	KMXK_0A01820
KLMA_10281	KMXK_0A05790
KLMA_20019	KMXK_0B00290
KLMA_10079	KMXK_0A07730
KLMA_10286	KMXK_0A05740
KLMA_20024	KMXK_0B00360
KLMA_10663	KMXK_0A01770
KLMA_10084	KMXK_0A07680
KLMA_20029	KMXK_0B00410
KLMA_10296	KMXK_0A05670
KLMA_10089	KMXK_0A07640
KLMA_10301	
KLMA_20039	KMXK_0B00500
KLMA_10094	KMXK_0A07590
KLMA_10306	KMXK_0A05570
KLMA_20044	KMXK_0B00550
KLMA_10099	KMXK_0A07540
KLMA_10311	KMXK_0A05520
KLMA_10668	KMXK_0A01720
KLMA_20049	KMXK_0B00600
KLMA_10104	KMXK_0A07490
KLMA_10316	KMXK_0A05470
KLMA_20054	KMXK_0B00660
KLMA_10321	KMXK_0A05410
KLMA_10109	KMXK_0A07450
KLMA_10326	KMXK_0A05360
KLMA_20059	KMXK_0B00720
KLMA_10114	KMXK_0A07400
KLMA_10331	KMXK_0A05310
KLMA_20064	KMXK_0B00780
KLMA_10119	KMXK_0A07350
KLMA_10336	KMXK_0A05270
KLMA_10673	KMXK_0A01670
KLMA_20069	KMXK_0B00820
KLMA_10341	KMXK_0A05230
KLMA_10124	KMXK_0A07300
KLMA_20074	KMXK_0B00860
KLMA_10678	KMXK_0A01620
KLMA_10346	KMXK_0A05170
KLMA_10129	KMXK_0A07250
KLMA_10683	KMXK_0A01570
KLMA_20079	KMXK_0B00910
KLMA_10351	KMXK_0A05110
KLMA_10688	KMXK_0A01520
KLMA_20084	KMXK_0B00960
KLMA_10134	KMXK_0A07200
KLMA_10356	KMXK_0A05070
KLMA_10693	KMXK_0A01470
KLMA_20089	KMXK_0B01010
KLMA_10139	KMXK_0A07150
KLMA_10698	KMXK_0A01420
KLMA_10361	KMXK_0A05020
KLMA_20094	KMXK_0B01070
KLMA_10366	KMXK_0A04970
KLMA_10703	KMXK_0A01370
KLMA_10144	
KLMA_10371	KMXK_0A04920
KLMA_20099	KMXK_0B01120
KLMA_10708	KMXK_0A01320
KLMA_10149	KMXK_0A07060
KLMA_10376	
KLMA_20104	
KLMA_10713	KMXK_0A01270
KLMA_10381	KMXK_0A04830
KLMA_10718	KMXK_0A01220
KLMA_20109	KMXK_0B01210
KLMA_10386	KMXK_0A04760
KLMA_10723	KMXK_0A01170
KLMA_10159	KMXK_0A06960
KLMA_20114	KMXK_0B01260
KLMA_10391	KMXK_0A04710
KLMA_10728	KMXK_0A01120
KLMA_20119	
KLMA_20124	KMXK_0B01360
KLMA_10733	KMXK_0A01070
KLMA_10396	KMXK_0A04640
KLMA_10738	KMXK_0A01010
KLMA_20129	KMXK_0B01400
KLMA_10401	KMXK_0A04380
KLMA_10743	KMXK_0A00960
KLMA_10164	KMXK_0A06910
KLMA_10406	KMXK_0A04320
KLMA_10748	KMXK_0A00910
KLMA_10411	KMXK_0A04270
KLMA_20139	KMXK_0B01530
KLMA_10753	KMXK_0A00850
KLMA_10416	KMXK_0A04220
KLMA_20144	KMXK_0B01570
KLMA_10758	KMXK_0A00800
KLMA_10421	KMXK_0A04160
KLMA_20149	KMXK_0B01620
KLMA_10763	KMXK_0A00760
KLMA_10426	KMXK_0A04110
KLMA_20154	
KLMA_10169	KMXK_0A06860
KLMA_10768	KMXK_0A00710
KLMA_10431	KMXK_0A04040
KLMA_20159	KMXK_0B01720
KLMA_10773	
KLMA_10436	KMXK_0A03990
KLMA_20164	KMXK_0B01770
KLMA_10778	KMXK_0A00620
KLMA_10174	KMXK_0A06810
KLMA_10441	KMXK_0A03940
KLMA_20169	KMXK_0B01820
KLMA_10783	KMXK_0A00570
KLMA_10446	
KLMA_10179	KMXK_0A06760
KLMA_20174	KMXK_0B01870
KLMA_10788	KMXK_0A00530
KLMA_10451	KMXK_0A03850
KLMA_20179	KMXK_0B01920
KLMA_10184	KMXK_0A06710
KLMA_10793	KMXK_0A00500
KLMA_10456	
KLMA_20184	KMXK_0B01970
KLMA_10189	KMXK_0A06660
KLMA_10798	KMXK_0A00440
KLMA_10461	KMXK_0A03760
KLMA_20189	KMXK_0B02030
KLMA_10194	KMXK_0A06620
KLMA_10803	KMXK_0A00400
KLMA_20194	KMXK_0B02080
KLMA_10466	
KLMA_10199	
KLMA_10808	KMXK_0A00350
KLMA_20199	KMXK_0B02120
KLMA_10471	KMXK_0A03670
KLMA_10204	KMXK_0A06530
KLMA_10813	KMXK_0A00300
KLMA_20204	KMXK_0B02170
KLMA_10476	KMXK_0A03630
KLMA_10209	KMXK_0A06490
KLMA_10818	KMXK_0A00250
KLMA_20209	KMXK_0B02220
KLMA_10481	KMXK_0A03580
KLMA_10214	KMXK_0A06440
KLMA_20214	KMXK_0B02280
KLMA_10828	KMXK_0A00170
KLMA_10486	KMXK_0A03540
KLMA_20219	KMXK_0B02330
KLMA_10224	KMXK_0A06340
KLMA_10833	KMXK_0A00120
KLMA_10491	KMXK_0A03490
KLMA_20224	KMXK_0B02390
KLMA_20002	
KLMA_10496	KMXK_0A03450
KLMA_20007	
KLMA_20229	KMXK_0B02440
KLMA_10234	KMXK_0A06250
KLMA_10501	KMXK_0A03400
KLMA_20012	KMXK_0B00210
KLMA_10239	KMXK_0A06200
KLMA_20234	KMXK_0B02490
KLMA_10506	KMXK_0A03350
KLMA_20017	KMXK_0B00270
KLMA_10244	KMXK_0A06140
KLMA_20239	KMXK_0B02540
KLMA_10511	KMXK_0A03300
KLMA_20022	KMXK_0B00320
KLMA_10249	
KLMA_20244	KMXK_0B02610
KLMA_10516	KMXK_0A03250
KLMA_20027	KMXK_0B00390
KLMA_20249	KMXK_0B02650
KLMA_10521	KMXK_0A03190
KLMA_20032	KMXK_0B00440
KLMA_10259	KMXK_0A06000
KLMA_20254	KMXK_0B02700
KLMA_10526	KMXK_0A03140
KLMA_20037	KMXK_0B00480
KLMA_20259	KMXK_0B02740
KLMA_20042	KMXK_0B00530
KLMA_10531	KMXK_0A03100
KLMA_10269	KMXK_0A05910
KLMA_10274	KMXK_0A05860
KLMA_20264	KMXK_0B02790
KLMA_10536	KMXK_0A03050
KLMA_20047	KMXK_0B00580
KLMA_10279	KMXK_0A05810
KLMA_10541	KMXK_0A03000
KLMA_20269	KMXK_0B02840
KLMA_20052	KMXK_0B00640
KLMA_10284	KMXK_0A05760
KLMA_10546	KMXK_0A02930
KLMA_20057	KMXK_0B00690
KLMA_20274	KMXK_0B02890
KLMA_10289	KMXK_0A05730
KLMA_20062	KMXK_0B00750
KLMA_10551	KMXK_0A02870
KLMA_20279	KMXK_0B02940
KLMA_10294	KMXK_0A05690
KLMA_20067	KMXK_0B00800
KLMA_20284	KMXK_0B02990
KLMA_10556	KMXK_0A02840
KLMA_10299	KMXK_0A05640
KLMA_20072	
KLMA_20289	KMXK_0B03040
KLMA_10561	KMXK_0A02780
KLMA_10304	KMXK_0A05590
KLMA_20077	KMXK_0B00890
KLMA_20294	KMXK_0B03090
KLMA_10566	KMXK_0A02730
KLMA_10309	KMXK_0A05540
KLMA_20082	KMXK_0B00940
KLMA_20299	KMXK_0B03140
KLMA_10314	KMXK_0A05490
KLMA_10571	KMXK_0A02680
KLMA_20087	KMXK_0B00990
KLMA_20304	KMXK_0B03190
KLMA_20092	KMXK_0B01040
KLMA_10319	KMXK_0A05430
KLMA_10576	KMXK_0A02630
KLMA_20309	KMXK_0B03250
KLMA_20097	KMXK_0B01100
KLMA_10581	KMXK_0A02580
KLMA_10324	KMXK_0A05380
KLMA_20102	KMXK_0B01150
	KMXK_0B01160
KLMA_20314	KMXK_0B03300
KLMA_10329	KMXK_0A05330
KLMA_10586	KMXK_0A02530
KLMA_20319	KMXK_0B03350
KLMA_20107	KMXK_0B01190
KLMA_10334	KMXK_0A05280
KLMA_10591	KMXK_0A02480
KLMA_20324	KMXK_0B03390
KLMA_20112	
KLMA_10339	
KLMA_10596	KMXK_0A02430
KLMA_10344	KMXK_0A05190
KLMA_20117	KMXK_0B01290
KLMA_10601	KMXK_0A02380
KLMA_10349	KMXK_0A05130
KLMA_20122	KMXK_0B01340
KLMA_10606	KMXK_0A02330
KLMA_10359	KMXK_0A05040
KLMA_10611	KMXK_0A02280
KLMA_20132	KMXK_0B01430
KLMA_20329	KMXK_0B03440
KLMA_10364	KMXK_0A04990
KLMA_10616	KMXK_0A02230
KLMA_20137	KMXK_0B01510
KLMA_10369	KMXK_0A04940
KLMA_10621	KMXK_0A02180
KLMA_10374	KMXK_0A04890
KLMA_20147	KMXK_0B01600
KLMA_10626	KMXK_0A02130
KLMA_10379	KMXK_0A04850
KLMA_20152	KMXK_0B01650
KLMA_10631	
KLMA_20334	KMXK_0B03490
KLMA_10384	KMXK_0A04780
KLMA_20157	KMXK_0B01700
KLMA_10636	KMXK_0A02030
KLMA_10389	KMXK_0A04730
KLMA_20339	KMXK_0B03540
KLMA_20162	KMXK_0B01750
KLMA_10641	KMXK_0A01980
KLMA_10394	KMXK_0A04670
KLMA_10646	KMXK_0A01940
KLMA_20344	KMXK_0B03590
KLMA_10399	KMXK_0A04400
KLMA_20172	KMXK_0B01850
KLMA_10404	KMXK_0A04350
KLMA_10651	KMXK_0A01890
KLMA_20349	KMXK_0B03640
KLMA_20177	KMXK_0B01900
KLMA_10409	KMXK_0A04290
KLMA_10656	KMXK_0A01840
KLMA_20354	KMXK_0B03690
KLMA_20182	KMXK_0B01950
KLMA_10414	KMXK_0A04240
KLMA_10661	KMXK_0A01790
KLMA_20359	KMXK_0B03740
KLMA_20187	KMXK_0B02010
KLMA_10419	KMXK_0A04190
KLMA_20364	KMXK_0B03790
KLMA_20192	KMXK_0B02060
KLMA_10424	KMXK_0A04130
KLMA_20369	KMXK_0B03840
KLMA_20374	KMXK_0B03890
KLMA_10429	KMXK_0A04060
KLMA_20202	KMXK_0B02150
KLMA_20379	KMXK_0B03930
KLMA_10666	KMXK_0A01740
KLMA_10434	KMXK_0A04010
KLMA_20207	KMXK_0B02200
KLMA_20384	KMXK_0B03980
KLMA_10439	KMXK_0A03960
KLMA_20212	KMXK_0B02260
KLMA_20389	KMXK_0B04030
KLMA_10444	KMXK_0A03910
KLMA_20217	KMXK_0B02310
KLMA_20394	KMXK_0B04080
KLMA_10449	KMXK_0A03870
KLMA_20222	KMXK_0B02370
KLMA_20399	KMXK_0B04130
KLMA_10454	KMXK_0A03820
KLMA_20404	KMXK_0B04180
KLMA_10671	KMXK_0A01690
KLMA_20227	KMXK_0B02420
KLMA_10459	KMXK_0A03780
KLMA_20409	KMXK_0B04240
KLMA_10676	KMXK_0A01640
KLMA_20232	KMXK_0B02470
KLMA_10464	KMXK_0A03730
KLMA_20414	KMXK_0B04290
KLMA_10681	KMXK_0A01590
KLMA_20237	KMXK_0B02520
KLMA_20419	KMXK_0B04340
KLMA_10469	KMXK_0A03680
KLMA_20424	KMXK_0B04370
KLMA_10686	KMXK_0A01540
KLMA_20242	KMXK_0B02570
KLMA_20429	KMXK_0B04420
KLMA_10691	KMXK_0A01490
KLMA_10479	KMXK_0A03600
KLMA_20247	KMXK_0B02630
KLMA_10696	KMXK_0A01440
KLMA_20434	KMXK_0B04470
KLMA_10484	KMXK_0A03550
KLMA_20252	KMXK_0B02680
KLMA_10701	KMXK_0A01390
KLMA_20439	KMXK_0B04510
KLMA_10489	KMXK_0A03510
KLMA_20444	KMXK_0B04560
KLMA_10706	KMXK_0A01340
KLMA_20449	KMXK_0B04610
KLMA_10494	KMXK_0A03470
KLMA_10711	KMXK_0A01290
KLMA_20262	KMXK_0B02770
KLMA_20454	KMXK_0B04660
KLMA_10499	KMXK_0A03420
KLMA_10716	KMXK_0A01240
KLMA_20267	KMXK_0B02820
KLMA_20459	KMXK_0B04700
KLMA_10504	KMXK_0A03370
KLMA_10721	KMXK_0A01190
KLMA_20272	KMXK_0B02870
KLMA_10509	KMXK_0A03320
KLMA_20464	KMXK_0B04750
KLMA_10726	KMXK_0A01140
KLMA_20277	KMXK_0B02920
KLMA_10514	KMXK_0A03270
KLMA_10731	KMXK_0A01090
KLMA_20469	KMXK_0B04800
KLMA_10736	KMXK_0A01040
KLMA_20282	KMXK_0B02970
KLMA_20474	KMXK_0B04850
KLMA_10519	KMXK_0A03220
KLMA_20479	KMXK_0B04910
KLMA_10741	KMXK_0A00980
KLMA_20287	KMXK_0B03020
KLMA_10524	KMXK_0A03160
KLMA_20484	KMXK_0B04970
KLMA_10746	KMXK_0A00930
KLMA_20292	KMXK_0B03070
KLMA_10529	
KLMA_10751	KMXK_0A00870
KLMA_20489	KMXK_0B05020
KLMA_20297	KMXK_0B03120
KLMA_10756	KMXK_0A00820
KLMA_10534	KMXK_0A03070
KLMA_20494	KMXK_0B05070
KLMA_20302	KMXK_0B03170
KLMA_10761	KMXK_0A00790
KLMA_20499	KMXK_0B05120
KLMA_10539	KMXK_0A03020
KLMA_20504	KMXK_0B05170
KLMA_20307	KMXK_0B03230
KLMA_10766	KMXK_0A00730
KLMA_10544	KMXK_0A02970
KLMA_10771	KMXK_0A00680
KLMA_20312	KMXK_0B03280
KLMA_10776	KMXK_0A00640
KLMA_10549	KMXK_0A02900
KLMA_20509	KMXK_0B05220
KLMA_20317	KMXK_0B03330
KLMA_10781	KMXK_0A00590
KLMA_20514	KMXK_0B05270
KLMA_20322	KMXK_0B03370
KLMA_10786	KMXK_0A00550
KLMA_10559	KMXK_0A02810
KLMA_20519	KMXK_0B05330
KLMA_20327	KMXK_0B03420
KLMA_10791	KMXK_0A00510
KLMA_20524	KMXK_0B05380
KLMA_10564	KMXK_0A02750
KLMA_10796	KMXK_0A00470
KLMA_20529	KMXK_0B05440
KLMA_10569	KMXK_0A02700
KLMA_20534	KMXK_0B05490
KLMA_10806	KMXK_0A00370
KLMA_10574	KMXK_0A02650
KLMA_20539	KMXK_0B05540
KLMA_20332	KMXK_0B03470
KLMA_10811	KMXK_0A00320
KLMA_10579	KMXK_0A02600
KLMA_20544	KMXK_0B05590
KLMA_10816	KMXK_0A00270
KLMA_10584	KMXK_0A02550
KLMA_20549	KMXK_0B05640
KLMA_10821	KMXK_0A00220
KLMA_10826	KMXK_0A00190
KLMA_20554	KMXK_0B05690
KLMA_10589	KMXK_0A02500
KLMA_10831	KMXK_0A00140
KLMA_20559	KMXK_0B05760
KLMA_20337	KMXK_0B03520
KLMA_10594	KMXK_0A02450
KLMA_10836	
KLMA_20564	KMXK_0B05810
KLMA_20005	KMXK_0B00140
KLMA_10599	KMXK_0A02400
KLMA_20010	KMXK_0B00190
KLMA_20342	KMXK_0B03570
KLMA_20574	KMXK_0B05890
KLMA_10604	KMXK_0A02350
KLMA_20347	KMXK_0B03620
KLMA_20015	KMXK_0B00250
KLMA_20579	KMXK_0B05930
KLMA_10609	KMXK_0A02300
KLMA_20584	KMXK_0B05970
KLMA_20352	KMXK_0B03670
KLMA_20020	KMXK_0B00300
KLMA_20357	
KLMA_20025	KMXK_0B00370
KLMA_10614	KMXK_0A02250
KLMA_20030	KMXK_0B00420
KLMA_20362	KMXK_0B03770
KLMA_20594	
KLMA_10619	KMXK_0A02200
KLMA_20035	KMXK_0B00460
KLMA_20599	KMXK_0B06110
KLMA_20367	KMXK_0B03820
KLMA_10624	KMXK_0A02150
KLMA_20040	KMXK_0B00510
KLMA_20372	KMXK_0B03870
KLMA_20604	KMXK_0B06180
KLMA_20045	KMXK_0B00560
