Orthogroup	CLIB122 Uniprot	Combined W29 annotations
OG0000317	Q6CB23	YALI1_C30901g
OG0000318	Q6CG37	YALI1_B01962g
OG0000319	Q6C8R5	YALI1_D21565g
OG0000320	Q6C0E6	YALI1_F32675g
OG0000321	Q6C007	YALI1_F36706g
OG0000322	Q9B6D0	YALI1_M00390g
OG0000323	Q6C9Q0	YALI1_D11769g
OG0000324	Q6CDG5	YALI1_C00962g
OG0000325	Q6CGK4	YALI1_A19428g
OG0000326	Q6C0U8	YALI1_F28537g
OG0000327	Q6CF50	YALI1_B13886g
OG0000328	Q6C8C5	YALI1_D26394g
OG0000329	Q6CAX1	YALI1_C32706g
OG0000330	Q6C2T8	YALI1_F07860g
OG0000331	Q6C740	YALI1_E04790g
OG0000332	Q6C5D0	YALI1_E22865g
OG0000333	Q6C186	YALI1_F24401g
OG0000334	Q6CE38	YALI1_B24502g
OG0000335	Q6C8U1	YALI1_D20954g
OG0000336	Q6C1V5	YALI1_F17547g
OG0000337	Q6CBI8	YALI1_C25576g
OG0000338	Q6C6U9	YALI1_E07347g
OG0000339	Q6CGE6	YALI1_A21043g
OG0000340	Q6CHP9	YALI1_A06287g
OG0000341	Q6CFS5	YALI1_B05711g
OG0000342	Q6C8F5	YALI1_D25370g
OG0000343	Q6C7C9	YALI1_E02372g
OG0000344	Q6CER9	YALI1_B17968g
OG0000345	Q6C2H4	YALI1_F11243g
OG0000346	Q6CFV3	YALI1_B04873g
OG0000347	Q6C982	YALI1_D16431g
OG0000348	Q6C1X5	YALI1_F16984g
OG0000349	P41555	YALI1_C24124g
OG0000350	Q8J0I8	YALI1_E01213g
OG0000351	Q6CGL4	YALI1_A18847g
OG0000352	Q6CB37	YALI1_C30524g
OG0000353	Q6C2Z2	YALI1_F05871g
OG0000354	Q6BZW3	YALI1_F37986g
OG0000355	Q6C0K9	YALI1_F31255g
OG0000356	Q6CBA2	YALI1_C28706g
OG0000357	Q6C9G2	YALI1_D14329g
OG0000358	Q6BZQ6	YALI1_F39272g
OG0000359	Q6CF78	YALI1_B12847g
OG0000360	Q6CGJ5	YALI1_A19725g
OG0000361	Q6C5S0	YALI1_E18903g
OG0000362	Q6C842	YALI1_D29549g
OG0000363	Q6C2A3	YALI1_F13046g
OG0000364	Q6C8Y7	YALI1_D19321g
OG0000365	Q6C9Y4	YALI1_D09420g
OG0000366	Q6C6Y4	YALI1_E06137g
OG0000367	Q6CFQ0	YALI1_B06839g
OG0000368	Q6CGB2	YALI1_A21746g
OG0000369	Q6C1T4	YALI1_F18105g
OG0000370	Q6CG57	YALI1_B01136g
OG0000371	Q6C673	YALI1_E14709g
OG0000372	Q6C994	YALI1_D16086g
OG0000373	Q6CFP3	YALI1_B07162g
OG0000374	Q6CCK2	YALI1_C11925g
OG0000375	Q6C7B9	YALI1_E02574g
OG0000376	Q6C9M8	YALI1_D12493g
OG0000377	Q6C5K2	YALI1_E20635g
OG0000378	Q6CDM0	YALI1_B29867g
OG0000379	Q6C6V8	YALI1_E07040g
OG0000380	P30614	YALI1_F12842g
OG0000381	Q6C997	YALI1_D16009g
OG0000382	Q6C0U0	YALI1_F28833g
OG0000383	Q6CDR5	YALI1_B28454g
OG0000384	Q6C255	YALI1_F14374g
OG0000385	Q99145	YALI1_C06626g
OG0000386	Q6CAW6	YALI1_C32810g
OG0000387	Q6C4I7	YALI1_E31389g
OG0000388	Q6CCW0	YALI1_C07816g
OG0000389	Q6C265	YALI1_F14168g
OG0000390	Q6CDL9	YALI1_B29883g
OG0000391	Q6C2X0	YALI1_F06830g
OG0000392	Q6C2J1	YALI1_F10786g
OG0000393	Q6CCT1	YALI1_C09072g
OG0000394	Q6C423	YALI1_E35759g
OG0000395	Q6C2S3	YALI1_F08324g
OG0000396	Q6CCZ5	YALI1_C06695g
OG0000397	P09379	YALI1_F39527g
OG0000398	Q6C449	YALI1_E35118g
OG0000399	Q6C9I7	YALI1_D13679g
OG0000400	Q6BZZ6	YALI1_F37068g
OG0000401	Q6CE48	YALI1_B24214g
OG0000402	Q6C7Q6	YALI1_D34684g
OG0000403	Q6CAB8	YALI1_D05270g
OG0000404	Q6CBB5	YALI1_C28412g
OG0000405	Q6C5P9	YALI1_E19458g
OG0000406	Q6C555	YALI1_E24797g
OG0000407	Q6C216	YALI1_F15403g
OG0000408	Q6C341	YALI1_F04070g
OG0000409	Q6C4M9	YALI1_E30073g
OG0000410	Q8TFK3	YALI1_F07344g
OG0000411	Q6CEF3	YALI1_B21070g
OG0000412	Q6C4I6	YALI1_E31396g
OG0000413	Q6C741	YALI1_E04744g
OG0000414	Q6C553	YALI1_E24886g
OG0000415	Q6C2U0	YALI1_F07827g
OG0000416	Q9UVF4	YALI1_B04433g
OG0000417	Q6C5H4	YALI1_E21406g
OG0000418	Q6C953	YALI1_D17268g
OG0000419	Q6C5U8	YALI1_E18081g
OG0000420	Q6C6Q7	YALI1_E08530g
OG0000421	Q6C3J2	YALI1_E40782g
OG0000422	Q12726	YALI1_F38776g
OG0000423	Q6C9G0	YALI1_D14391g
OG0000424	Q6C7D2	YALI1_E02317g
OG0000425	Q6C2N2	YALI1_F09563g
OG0000426	Q6CEI9	YALI1_B20130g
OG0000427	Q6C4X5	YALI1_E27113g
OG0000428	Q99160	YALI1_A19214g
OG0000429	Q6C804	YALI1_D30922g
OG0000430	Q6CAP3	YALI1_D01123g
OG0000431	Q6CFJ2	YALI1_B08540g
OG0000432	Q6C4F8	YALI1_E32096g
OG0000433	Q6C7U7	YALI1_D33428g
OG0000434	Q6C093	YALI1_F34105g
OG0000435	Q6C9W0	YALI1_D10135g
OG0000436	Q6C3P4	YALI1_E39335g
OG0000437	Q6CBK1	YALI1_C25257g
OG0000438	Q6C7V5	YALI1_D33207g
OG0000439	Q6C5F1	YALI1_E22265g
OG0000440	Q6C107	YALI1_F26924g
OG0000441	Q6C2T9	YALI1_F07847g
OG0000442	Q6CE12	YALI1_B25593g
OG0000443	Q6CC06	YALI1_C19348g
OG0000444	Q6C7L4	YALI1_D35735g
OG0000445	B5FVI0	YALI1_E23313g
OG0000446	Q6C457	YALI1_E34933g
OG0000447	Q6CAC9	YALI1_D04969g
OG0000448	Q6C5Y8	YALI1_E17037g
OG0000449	Q6C0P9	YALI1_F29937g
OG0000450	Q6CF35	YALI1_B14238g
OG0000451	Q6CHK0	YALI1_A07624g
OG0000452	Q6C715	YALI1_E05576g
OG0000453	Q6C537	YALI1_E25424g
OG0000454	Q6C961	YALI1_D17051g
OG0000455	P42781	YALI1_F17637g
OG0000456	Q6CFT4	YALI1_B05454g
OG0000457	Q6CDK3	YALI1_B30163g
OG0000458	Q6CE86	YALI1_B22883g
OG0000459	Q6C4G1	YALI1_E32033g
OG0000460	Q6BZY4	YALI1_F37481g
OG0000461	Q3V7I4	YALI1_A09553g
OG0000462	Q6CEU0	YALI1_B17132g
OG0000463	Q6C6U1	YALI1_E07522g
OG0000464	Q6CDV7	YALI1_B27254g
OG0000465	Q6C6Z2	YALI1_E05994g
OG0000466	Q6CAQ9	YALI1_D00754g
OG0000467	Q6C503	YALI1_E26205g
OG0000468	Q6C531	YALI1_E25541g
OG0000469	Q6CA87	YALI1_D06311g
OG0000470	Q6C0M4	YALI1_F30703g
OG0000471	Q6C097	YALI1_F34051g
OG0000472	Q6C6I6	YALI1_E11370g
OG0000473	Q6C3M9	YALI1_E39676g
OG0000474	Q6C3E0	YALI1_F00821g
OG0000475	Q6CHE9	YALI1_A09408g
OG0000476	Q6CEV5	YALI1_B16584g
OG0000477	Q6C8V1	YALI1_D20706g
OG0000478	Q6C1F3	YALI1_F22436g
OG0000479	Q6C890	YALI1_D27339g
OG0000480	P41943	YALI1_C32609g
OG0000481	Q6CFT1	YALI1_B05520g
OG0000482	Q6C872	YALI1_D27995g
OG0000483	Q6C4I9	YALI1_E31351g
OG0000484	Q6C2D9	YALI1_F12138g
OG0000485	Q6CC70	YALI1_C16653g
OG0000486	Q6C8F7	YALI1_D25330g
OG0000487	Q6C764	YALI1_E04060g
OG0000488	Q6C161	YALI1_F25254g
OG0000489	Q6C710	YALI1_E05645g
OG0000490	Q12725	YALI1_F08075g
OG0000491	Q6C238	YALI1_F14793g
OG0000492	P0C0R1	YALI1_E03476g
OG0000493	Q6CB69	YALI1_C29618g
OG0000494	Q6CA08	YALI1_D08783g
OG0000495	Q6C1H8	YALI1_F21583g
OG0000496	Q6CE88	YALI1_B22820g
OG0000497	Q6C5G3	YALI1_E22004g
OG0000498	Q6C747	YALI1_E04613g
OG0000499	Q6C830	YALI1_D29994g
OG0000500	Q6CB51	YALI1_C30205g
OG0000501	Q6C1N1	YALI1_F19805g
OG0000502	Q6BZW8	YALI1_F37890g
OG0000503	Q6C6D9	YALI1_E12962g
OG0000504	Q6CF41	YALI1_B14121g
OG0000505	Q6C784	YALI1_E03527g
OG0000506	Q6CFJ0	YALI1_B08616g
OG0000507	Q9Y753	YALI1_A09939g
OG0000508	Q6C0C4	YALI1_F33345g
OG0000509	P34229	YALI1_B19844g
OG0000510	Q6C116	YALI1_F26692g
OG0000511	Q6CBE4	YALI1_C26939g
OG0000512	Q6C239	YALI1_F14766g
OG0000513	Q6C9N0	YALI1_D12447g
OG0000514	Q6C4A3	YALI1_E33642g
OG0000515	O59949	YALI1_C12642g
OG0000516	Q6C0X2	YALI1_F27929g
OG0000517	Q6C0S8	YALI1_F29192g
OG0000518	Q6CHS6	YALI1_A05473g
OG0000519	Q6C7H6	YALI1_E01159g
OG0000520	Q6CGE7	YALI1_A21040g
OG0000521	Q6CG56	YALI1_B01084g
OG0000522	Q6C4J0	YALI1_E31248g
OG0000523	Q6C0G3	YALI1_F32312g
OG0000524	Q6C4Y5	YALI1_E26872g
OG0000525	Q6C6M5	YALI1_E09972g
OG0000526	Q6C141	YALI1_F25908g
OG0000527	Q6CF40	YALI1_B14147g
OG0000528	Q6C9M9	YALI1_D12483g
OG0000529	Q6CHJ7	YALI1_A07712g
OG0000530	Q6C626	YALI1_E16023g
OG0000531	Q6C030	YALI1_F35907g
OG0000532	Q6C8A3	YALI1_D27044g
OG0000533	Q6C1E0	YALI1_F22908g
OG0000534	Q6C0Q2	YALI1_F29876g
OG0000535	Q6CFG6	YALI1_B09258g
OG0000536	Q6C6T1	YALI1_E07874g
OG0000537	Q6CEB8	YALI1_B22015g
OG0000538	Q6C1I3	YALI1_F21482g
OG0000539	Q6CI08	YALI1_A03183g
OG0000540	Q6C855	YALI1_D28825g
OG0000541	Q6C4H1	YALI1_E31772g
OG0000542	Q6CAE9	YALI1_D04331g
OG0000543	Q6C7K8	YALI1_D35907g
OG0000544	Q6C668	YALI1_E14824g
OG0000545	Q6C370	YALI1_F03389g
OG0000546	Q6CAB5	YALI1_D05343g
OG0000547	Q6C0Z6	YALI1_F27211g
OG0000548	Q6CEJ6	YALI1_B19962g
OG0000549	Q6C6N0	YALI1_E09750g
OG0000550	Q6CAD2	YALI1_D04814g
OG0000551	Q6C253	YALI1_F14409g
OG0000552	Q36257	YALI1_M00260g
OG0000553	Q6CC99	YALI1_C15687g
OG0000554	Q6C7Q4	YALI1_D34739g
OG0000555	Q6C4C9	YALI1_E32816g
OG0000556	Q6CFG3	YALI1_B09310g
OG0000557	Q6C6C6	YALI1_E13472g
OG0000558	Q99156	YALI1_E13541g
OG0000559	Q6C8H2	YALI1_D24941g
OG0000560	P18120	YALI1_C00464g
OG0000561	Q6C3E5	YALI1_F00472g
OG0000562	Q6CG48	YALI1_B01552g
OG0000563	Q6CHP1	YALI1_A06453g
OG0000564	Q6C427	YALI1_E35677g
OG0000565	Q6C0L7	YALI1_F31001g
OG0000566	Q6C060	YALI1_F34933g
OG0000567	Q6CA06	YALI1_D08843g
OG0000568	Q6C791	YALI1_E03387g
OG0000569	Q6C0Z3	YALI1_F27343g
OG0000570	Q6C2Y6	YALI1_F06076g
OG0000571	Q6C6D6	YALI1_E13034g
OG0000572	Q6CG02	YALI1_B03043g
OG0000573	Q6CAP9	YALI1_D00995g
OG0000574	Q6C452	YALI1_E35027g
OG0000575	Q6C0B5	YALI1_F33618g
OG0000576	Q6CA79	YALI1_D06700g
OG0000577	Q6CFD2	YALI1_B10813g
OG0000578	F2Z699	YALI1_F32476g
OG0000579	Q6C7A6	YALI1_E02966g
OG0000580	Q6CEE1	YALI1_B21356g
OG0000581	Q6CA86	YALI1_D06380g
OG0000582	Q6CES3	YALI1_B17871g
OG0000583	Q6C7L6	YALI1_D35711g
OG0000584	Q6CG53	YALI1_B00908g
OG0000585	Q6CI13	YALI1_A03091g
OG0000586	Q6CAU9	YALI1_C33217g
OG0000587	Q6CDK1	YALI1_B30182g
OG0000588	Q6C3T0	YALI1_E38329g
OG0000589	Q6CAY6	YALI1_C32137g
OG0000590	Q6CE96	YALI1_B22638g
OG0000591	Q6C8D1	YALI1_D26186g
OG0000592	Q8TG23	YALI1_B15996g
OG0000593	Q6CC11	YALI1_C18901g
OG0000594	Q6C7W0	YALI1_D33042g
OG0000595	Q6C022	YALI1_F36152g
OG0000596	Q8WZL6	YALI1_F01849g
OG0000597	Q6CGU8	YALI1_A16004g
OG0000598	Q6C783	YALI1_E03535g
OG0000599	Q6C5P0	YALI1_E19669g
OG0000600	Q6C9Z2	YALI1_D09168g
OG0000601	Q6C1B1	YALI1_F23595g
OG0000602	Q6CAG4	YALI1_D03766g
OG0000603	Q6CB13	YALI1_C31281g
OG0000604	Q6C9G8	YALI1_D14199g
OG0000605	P38997	YALI1_B20289g
OG0000606	P41929	YALI1_E06441g
OG0000607	Q6C8H7	YALI1_D24751g
OG0000608	Q6CGS4	YALI1_A16642g
OG0000609	Q6CHK8	YALI1_A07326g
OG0000610	Q6CHY6	YALI1_A03721g
OG0000611	Q6CH03	YALI1_A14287g
OG0000612	Q6CBB0	YALI1_C28497g
OG0000613	Q6CEW9	YALI1_B16110g
OG0000614	Q6CHE5	YALI1_A09522g
OG0000615	Q6C3J3	YALI1_E40754g
OG0000616	Q6C2P2	YALI1_F09314g
OG0000617	Q6CEA4	YALI1_B22414g
OG0000618	Q6CCU3	YALI1_C08702g
OG0000619	Q6CCU8	YALI1_C08242g
OG0000620	Q6C2F3	YALI1_F11787g
OG0000621	Q6CH90	YALI1_A11270g
OG0000622	Q6C3X6	YALI1_E37040g
OG0000623	Q6CB52	YALI1_C30187g
OG0000624	Q6CB30	YALI1_C30706g
OG0000625	Q6CG20	YALI1_B02533g
OG0000626	Q6C4U6	YALI1_E27880g
OG0000627	Q6CBI0	YALI1_C25789g
OG0000628	Q6C603	YALI1_E16649g
OG0000629	Q6CBX2	YALI1_C20452g
OG0000630	Q6C8L8	YALI1_D23274g
OG0000631	Q6C4U7	YALI1_E27871g
OG0000632	Q6CFS7	YALI1_B05646g
OG0000633	Q6CAV7	YALI1_C33055g
OG0000634	Q6CGM0	YALI1_A18557g
OG0000635	Q6C2R9	YALI1_F08431g
OG0000636	Q6C818	YALI1_D30459g
OG0000637	Q6CAH5	YALI1_D03380g
OG0000638	O59950	YALI1_D16029g
OG0000639	Q6C169	YALI1_F25001g
OG0000640	Q6CBS7	YALI1_C22922g
OG0000641	Q6CFU5	YALI1_B05106g
OG0000642	Q6CHI1	YALI1_A08468g
OG0000643	Q6C2R8	YALI1_F08454g
OG0000644	Q6CCZ1	YALI1_C06917g
OG0000645	Q6CHE4	YALI1_A09524g
OG0000646	Q6C354	YALI1_F03803g
OG0000647	Q6C024	YALI1_F36127g
OG0000648	Q6CA26	YALI1_D08285g
OG0000649	Q6CFH4	YALI1_B09025g
OG0000650	Q6C2E2	YALI1_F12033g
OG0000651	Q6CF69	YALI1_B13137g
OG0000652	Q6CDS6	YALI1_B28053g
OG0000653	Q6CH58	YALI1_A12403g
OG0000654	Q6CFU2	YALI1_B05242g
OG0000655	Q6C414	YALI1_E35988g
OG0000656	Q6C0K1	YALI1_F31432g
OG0000657	Q6C2Z7	YALI1_F05624g
OG0000658	Q6C5V7	YALI1_E17760g
OG0000659	P0C8L8	YALI1_A18414g
OG0000660	Q6C922	YALI1_D18190g
OG0000661	Q6C7M4	YALI1_D35435g
OG0000662	Q6CE07	YALI1_B25762g
OG0000663	Q6CEW7	YALI1_B16194g
OG0000664	Q6C6X6	YALI1_E06355g
OG0000665	O74932	YALI1_E17616g
OG0000666	Q6C1W9	YALI1_F17103g
OG0000667	Q6CA67	YALI1_D07118g
OG0000668	Q6C705	YALI1_E05709g
OG0000669	Q6CHU5	YALI1_A05003g
OG0000670	Q6CEC9	YALI1_B21714g
OG0000671	Q6CBW0	YALI1_C21241g
OG0000672	Q6CF18	YALI1_B14733g
OG0000673	P29407	YALI1_D15424g
OG0000674	Q9B6C8	YALI1_M00458g
OG0000675	Q9B6C7	YALI1_M00472r
OG0000676	Q6C2Q7	YALI1_F08757g
OG0000677	Q6CE60	YALI1_B23798g
OG0000678	Q6CC82	YALI1_C16275g
OG0000679	Q9B6E8	YALI1_M00064g
OG0000680	Q6CCH0	YALI1_C13106g
OG0000681	Q6C7G2	YALI1_E01614g
OG0000682	Q6C036	YALI1_F35753g
OG0000683	Q6C2F4	YALI1_F11781g
OG0000684	Q6CG46	YALI1_B01628g
OG0000685	Q6C619	YALI1_E16174g
OG0000686	Q6CDL0	YALI1_B30039g
OG0000687	Q9B6D6	YALI1_M00296g
OG0000688	Q9B6E9	YALI1_M00056g
OG0000689	P87200	YALI1_D00951g
OG0000690	Q99155	YALI1_F01659g
OG0000691	Q6BZQ9	YALI1_F39236g
OG0000692	Q6CGP9	YALI1_A17515g
OG0000693	Q6CC79	YALI1_C16333g
OG0000694	Q6C3R3	YALI1_E38766g
OG0000695	Q6C4R3	YALI1_E29005g
OG0000696	Q6CHP5	YALI1_A06396g
OG0000697	Q6CCU7	YALI1_C08262g
OG0000698	Q8WZM0	YALI1_E03416g
OG0000699	Q6C435	YALI1_E35478g
OG0000700	Q6CGG3	YALI1_A20602g
OG0000701	Q6C9Y6	YALI1_D09356g
OG0000702	Q6CFI3	YALI1_B08801g
OG0000703	O43108	YALI1_E11674g
OG0000704	Q6C4Y4	YALI1_E26892g
OG0000705	Q9B6D8	YALI1_M00277g
OG0000706	Q6CGD3	YALI1_A21311g
OG0000707	Q6C7S6	YALI1_D34043g
OG0000708	Q6C656	YALI1_E15211g
OG0000709	Q6C0Y0	YALI1_F27731g
OG0000710	Q6CBH3	YALI1_C26017g
OG0000711	P45815	YALI1_B10891g
OG0000712	Q6C0L2	YALI1_F31135g
OG0000713	Q9B6D5	YALI1_M00325g
OG0000714	Q6C4R1	YALI1_E29074g
OG0000715	Q6C0U2	YALI1_F28765g
OG0000716	Q6CCF6	YALI1_C13652g
OG0000717	Q6CCV4	YALI1_C08065g
OG0000718	Q6C7C0	YALI1_E02529g
OG0000719	Q6CFR3	YALI1_B06245g
OG0000720	Q6C7Q0	YALI1_D34860g
OG0000721	Q6C7D1	YALI1_E02348g
OG0000722	Q6C7U8	YALI1_D33418g
OG0000723	Q6C4W5	YALI1_E27273g
OG0000724	Q6CEY7	YALI1_B15624g
OG0000725	P36966	YALI1_C25979g
OG0000726	Q6C6D1	YALI1_E13287g
OG0000727	Q6CBZ0	YALI1_C19981g
OG0000728	Q6C462	YALI1_E34784g
OG0000729	Q6C5K1	YALI1_E20666g
OG0000730	Q9HFC8	YALI1_D17970g
OG0000731	Q6C908	YALI1_D18646g
OG0000732	Q9UVF5	YALI1_D24308g
OG0000733	Q8WZL4	YALI1_D25419g
OG0000734	P78978	YALI1_B18134g
OG0000735	Q6C1E4	YALI1_F22841g
OG0000736	Q6C3U1	YALI1_E38107g
OG0000737	Q6C443	YALI1_E35280g
OG0000738	Q6CFW6	YALI1_B04470g
OG0000739	Q6C4X9	YALI1_E27059g
OG0000740	Q6CDH3	YALI1_C00739g
OG0000741	Q9UVF6	YALI1_F16614g
OG0000742	Q7Z8R5	YALI1_E39886g
OG0000743	Q6C8W4	YALI1_D20257g
OG0000744	Q6CAX5	YALI1_C32496g
OG0000745	Q6C7V4	YALI1_D33229g
OG0000746	Q6CEE7	YALI1_B21194g
OG0000747	Q6C938	YALI1_D17666g
OG0000748	Q6CHN5	YALI1_A06594g
OG0000749	Q6CBP4	YALI1_C23926g
OG0000750	Q6C7G0	YALI1_E01649g
OG0000751	Q6CDK0	YALI1_B30214g
OG0000752	Q9B6D4	YALI1_M00335g
OG0000753	Q6C3V4	YALI1_E37830g
OG0000754	Q6C4W6	YALI1_E27249g
OG0000755	Q6C4Q0	YALI1_E29433g
OG0000756	Q6CHD6	YALI1_A09856g
OG0000757	Q6C6L1	YALI1_E10443g
OG0000758	Q6CC77	YALI1_C16395g
OG0000759	Q6CGE1	YALI1_A21120g
OG0000760	Q6C793	YALI1_E03300g
OG0000761	Q6C846	YALI1_D29419g
OG0000762	Q6CA53	YALI1_D07451g
OG0000763	Q6C3Z9	YALI1_E36437g
OG0000764	Q9UVF3	YALI1_D10600g
OG0000765	Q6C749	YALI1_E04575g
OG0000766	P09230	YALI1_F39494g
OG0000767	Q6C520	YALI1_E25761g
OG0000768	Q6CG88	YALI1_A22228g
OG0000769	Q6C3K2	YALI1_E40471g
OG0000770	Q6C0R5	YALI1_F29640g
OG0000771	Q6C3P1	YALI1_E39395g
OG0000772	Q6CFD4	YALI1_B10607g
OG0000773	Q6CF24	YALI1_B14600g
OG0000774	Q6CEA5	YALI1_B22410g
OG0000775	Q6C9T3	YALI1_D11015g
OG0000776	Q6CF02	YALI1_B15180g
OG0000777	Q6C188	YALI1_F24332g
OG0000778	Q6C8T3	YALI1_D21120g
OG0000779	Q6C725	YALI1_E05285g
OG0000780	Q6C3V7	YALI1_E37764g
OG0000781	Q6BZP5	YALI1_F39620g
OG0000782	Q6CFX1	YALI1_B04309g
OG0000783	Q6CCY2	YALI1_C07137g
