genes	orthology
YALI1_E38266g	GroupIV
YALI1_B21946g	GroupIV
YALI1_C32721g	GroupIV
YALI1_F23963g	GroupIV
YALI1_E03973g	GroupIV
YALI1_F22115g	GroupIV
YALI1_F10552g	GroupIV
YALI1_C19898g	GroupIV
YALI1_D33289g	GroupIV
YALI1_A04006g	GroupIV
YALI1_D11272g	GroupIV
YALI1_B29711g	GroupIV
YALI1_B24185g	GroupIV
YALI1_F04345g	GroupIV
YALI1_E02481g	GroupIV
YALI1_E33421g	GroupIV
YALI1_E39820g	GroupIV
YALI1_A06488g	GroupIV
YALI1_E24052g	GroupIV
YALI1_A09100g	GroupIV
YALI1_F33123g	GroupIV
YALI1_A17348g	GroupIV
YALI1_A04715g	GroupIV
YALI1_F36204g	GroupIV
YALI1_C03887g	GroupIV
YALI1_C28093g	GroupIV
YALI1_C25452g	GroupIV
YALI1_E01057g	GroupIV
YALI1_A22105g	GroupIV
YALI1_D34840g	GroupIV
YALI1_E14451g	GroupIV
YALI1_C07562g	GroupIV
YALI1_D13403g	GroupIV
YALI1_B26205g	GroupIV
YALI1_D23668g	GroupIV
YALI1_A21021g	GroupIV
YALI1_B30162g	GroupIV
YALI1_C04031g	GroupIV
YALI1_E38164g	GroupIV
YALI1_E29959g	GroupIV
YALI1_B30036g	GroupIV
YALI1_F27395g	GroupIV
YALI1_A11182g	GroupIV
YALI1_E26377g	GroupIV
YALI1_E19916g	GroupIV
YALI1_A04620g	GroupIV
YALI1_A19214g	GroupIV
YALI1_D00724g	GroupIV
YALI1_A04495g	GroupIV
YALI1_C02215g	GroupIV
YALI1_F38538g	GroupIV
YALI1_B15706g	GroupIV
YALI1_A03669g	GroupIV
YALI1_B26550g	GroupIV
YALI1_F38280g	GroupIV
YALI1_F11417g	GroupIV
YALI1_A00252g	GroupIV
YALI1_E07259g	GroupIV
YALI1_A21696g	GroupIV
YALI1_E06843g	GroupIV
YALI1_D34980g	GroupIV
YALI1_F30061g	GroupIV
YALI1_D18442g	GroupIV
YALI1_F14201g	GroupIV
YALI1_D35870g	GroupIV
YALI1_F29596g	GroupIV
YALI1_F33103g	GroupIV
YALI1_B02011g	GroupIV
YALI1_B20887g	GroupIV
YALI1_A12465g	GroupIV
YALI1_B27857g	GroupIV
YALI1_E01741g	GroupIV
YALI1_F07093g	GroupIV
YALI1_E35689g	GroupIV
YALI1_F10866g	GroupIV
YALI1_D36035g	GroupIV
YALI1_D05244g	GroupIV
YALI1_C32667g	GroupIV
YALI1_E03243g	GroupIV
YALI1_D20413g	GroupIV
YALI1_F02508g	GroupIV
YALI1_C13410g	GroupIV
YALI1_B27150g	GroupIV
YALI1_D08749g	GroupIV
YALI1_B24018g	GroupIV
YALI1_F10296g	GroupIV
YALI1_B06776g	GroupIV
YALI1_D28630g	GroupIV
YALI1_B27984g	GroupIV
YALI1_D04653g	GroupIV
YALI1_C12121g	GroupIV
YALI1_D30826g	GroupIV
YALI1_E36692g	GroupIV
YALI1_A00468g	GroupIV
YALI1_E15256g	GroupIV
YALI1_B17261g	GroupIV
YALI1_C01129g	GroupIV
YALI1_E22117g	GroupIV
YALI1_F34304g	GroupIV
YALI1_E40970g	GroupIV
YALI1_F14239g	GroupIV
YALI1_D27251g	GroupIV
YALI1_F15827g	GroupIV
YALI1_F38140g	GroupIV
YALI1_E39193g	GroupIV
YALI1_C02441g	GroupIV
YALI1_D30161g	GroupIV
YALI1_E25549g	GroupIV
YALI1_E24128g	GroupIV
YALI1_A14099g	GroupIV
YALI1_B14308g	GroupIV
YALI1_D10160g	GroupIV
YALI1_A17824g	GroupIV
YALI1_C28664g	GroupIV
YALI1_F23214g	GroupIV
YALI1_C01596g	GroupIV
YALI1_F35647g	GroupIV
YALI1_E17988g	GroupIV
YALI1_E14028g	GroupIV
YALI1_E13223g	GroupIV
YALI1_C21497g	GroupIV
YALI1_B25952g	GroupIV
YALI1_E10934g	GroupIV
YALI1_F29704g	GroupIV
YALI1_A14079g	GroupIV
YALI1_A04533g	GroupIV
YALI1_E05630g	GroupIV
YALI1_D32812g	GroupIV
YALI1_A15053g	GroupIV
YALI1_E31461g	GroupIV
YALI1_D14585g	GroupIV
YALI1_B18971g	GroupIV
YALI1_A12167g	GroupIV
YALI1_B28584g	GroupIV
YALI1_C23254g	GroupIV
YALI1_A17085g	GroupIV
YALI1_E04795g	GroupIV
YALI1_A07405g	GroupIV
YALI1_E10233g	GroupIV
YALI1_E26320g	GroupIV
YALI1_E00613g	GroupIV
YALI1_D27163g	GroupIV
YALI1_B11398g	GroupIV
YALI1_D21543g	GroupIV
YALI1_F21210g	GroupIV
YALI1_F04980g	GroupIV
YALI1_E34185g	GroupIV
YALI1_E14555g	GroupIV
YALI1_E34745g	GroupIV
YALI1_B28374g	GroupIV
YALI1_E15229g	GroupIV
YALI1_C00335g	GroupIV
YALI1_F34141g	GroupIV
YALI1_D20784g	GroupIV
YALI1_C33254g	GroupIV
YALI1_D07576g	GroupIV
YALI1_C01675g	GroupIV
YALI1_C32352g	GroupIV
YALI1_A15414g	GroupIV
YALI1_E07920g	GroupIV
YALI1_B23385g	GroupIV
YALI1_C32483g	GroupIV
YALI1_F31482g	GroupIV
YALI1_C19775g	GroupIV
YALI1_F33061g	GroupIV
YALI1_C02521g	GroupIV
YALI1_E04576g	GroupIV
YALI1_F35836g	GroupIV
YALI1_E26257g	GroupIV
YALI1_C17580g	GroupIV
YALI1_D13707g	GroupIV
YALI1_E41110g	GroupIV
YALI1_D10304g	GroupIV
YALI1_B12633g	GroupIV
YALI1_A17583g	GroupIV
YALI1_E27791g	GroupIV
YALI1_C20853g	GroupIV
YALI1_C15803g	GroupIV
YALI1_F37694g	GroupIV
YALI1_A12638g	GroupIV
YALI1_C17719g	GroupIV
YALI1_A16787g	GroupIV
YALI1_E14561g	GroupIV
YALI1_B22645g	GroupIV
YALI1_F10184g	GroupIV
YALI1_D11653g	GroupIV
YALI1_A11079g	GroupIV
YALI1_E04706g	GroupIV
YALI1_D27912g	GroupIV
YALI1_D21327g	GroupIV
YALI1_A17118g	GroupIV
YALI1_C13162g	GroupIV
YALI1_C05649g	GroupIV
YALI1_E23736g	GroupIV
YALI1_A18752g	GroupIV
YALI1_F33524g	GroupIV
YALI1_E07479g	GroupIV
YALI1_E33760g	GroupIV
YALI1_B09072g	GroupIV
YALI1_B12267g	GroupIV
YALI1_F36332g	GroupIV
YALI1_F31639g	GroupIV
YALI1_D09034g	GroupIV
YALI1_E34319g	GroupIV
YALI1_E01935g	GroupIV
YALI1_E34288g	GroupIV
YALI1_F25941g	GroupIV
YALI1_B23879g	GroupIV
YALI1_D18475g	GroupIV
YALI1_A02813g	GroupIV
YALI1_C07592g	GroupIV
YALI1_E27367g	GroupIV
YALI1_D33653g	GroupIV
YALI1_E31005g	GroupIV
YALI1_D17524g	GroupIV
YALI1_C08298g	GroupIV
YALI1_E20312g	GroupIV
YALI1_A08856g	GroupIV
YALI1_C17763g	GroupIV
YALI1_E14089g	GroupIV
YALI1_F12951g	GroupIV
YALI1_B13122g	GroupIV
YALI1_C03939g	GroupIV
YALI1_D14180g	GroupIV
YALI1_E36682g	GroupIV
YALI1_F15961g	GroupIV
YALI1_F32498g	GroupIV
YALI1_E39466g	GroupIV
YALI1_E19736g	GroupIV
YALI1_C15674g	GroupIV
YALI1_E00306g	GroupIV
YALI1_C14228g	GroupIV
YALI1_E36641g	GroupIV
YALI1_A07318g	GroupIV
YALI1_B07578g	GroupIV
YALI1_D06233g	GroupIV
YALI1_A20558g	GroupIV
YALI1_E23014g	GroupIV
YALI1_E40324g	GroupIV
YALI1_C25190g	GroupIV
YALI1_D00824g	GroupIV
YALI1_D17336g	GroupIV
YALI1_A06381g	GroupIV
YALI1_E13360g	GroupIV
YALI1_C05857g	GroupIV
YALI1_C26027g	GroupIV
YALI1_E04544g	GroupIV
YALI1_D29215g	GroupIV
YALI1_F13211g	GroupIV
YALI1_C29576g	GroupIV
YALI1_F12666g	GroupIV
YALI1_B25313g	GroupIV
YALI1_A22236g	GroupIV
YALI1_F01248g	GroupIV
YALI1_A06052g	GroupIV
YALI1_C24927g	GroupIV
YALI1_F01275g	GroupIV
YALI1_D33941g	GroupIV
YALI1_F25984g	GroupIV
YALI1_D25606g	GroupIV
YALI1_D22663g	GroupIV
YALI1_F13088g	GroupIV
YALI1_A20353g	GroupIV
YALI1_D06152g	GroupIV
YALI1_D28999g	GroupIV
YALI1_D18274g	GroupIV
YALI1_C29365g	GroupIV
YALI1_B08721g	GroupIV
YALI1_B14793g	GroupIV
YALI1_D36182g	GroupIV
YALI1_F18947g	GroupIV
YALI1_A05813g	GroupIV
YALI1_E22543g	GroupIV
YALI1_A02895g	GroupIV
YALI1_E11309g	GroupIV
YALI1_A07137g	GroupIV
YALI1_B21432g	GroupIV
YALI1_F13079g	GroupIV
YALI1_B11681g	GroupIV
YALI1_E08997g	GroupIV
YALI1_F37435g	GroupIV
YALI1_B30337g	GroupIV
YALI1_B26175g	GroupIV
YALI1_C30454g	GroupIV
YALI1_D24249g	GroupIV
YALI1_E07409g	GroupIV
YALI1_A06229g	GroupIV
YALI1_F22935g	GroupIV
YALI1_E01530g	GroupIV
YALI1_C19151g	GroupIV
YALI1_E23854g	GroupIV
YALI1_E20510g	GroupIV
YALI1_F07604g	GroupIV
YALI1_F24228g	GroupIV
YALI1_E09924g	GroupIV
YALI1_B18887g	GroupIV
YALI1_F23095g	GroupIV
YALI1_D20844g	GroupIV
YALI1_F11907g	GroupIV
YALI1_D13071g	GroupIV
YALI1_D22053g	GroupIV
YALI1_F05871g	GroupIV
YALI1_B23300g	GroupIV
YALI1_D12567g	GroupIV
YALI1_D02041g	GroupIV
YALI1_C09718g	GroupIV
YALI1_F39314g	GroupIV
YALI1_E41276g	GroupIV
YALI1_C16712g	GroupIV
YALI1_D04556g	GroupIV
YALI1_E28919g	GroupIV
YALI1_D32369g	GroupIV
YALI1_B29637g	GroupIV
YALI1_B28357g	GroupIV
YALI1_C13726g	GroupIV
YALI1_E00358g	GroupIV
YALI1_B23933g	GroupIV
YALI1_E29840g	GroupIV
YALI1_F38806g	GroupIV
YALI1_C21353g	GroupIV
YALI1_E28428g	GroupIV
YALI1_E14164g	GroupIV
YALI1_E39983g	GroupIV
YALI1_F38954g	GroupIV
YALI1_F08683g	GroupIV
YALI1_B10032g	GroupIV
YALI1_A17419g	GroupIV
YALI1_D13865g	GroupIV
YALI1_F33445g	GroupIV
YALI1_B25988g	GroupIV
YALI1_B11495g	GroupIV
YALI1_B23467g	GroupIV
YALI1_F38629g	GroupIV
YALI1_C30474g	GroupIV
YALI1_C21171g	GroupIV
YALI1_F15352g	GroupIV
YALI1_A15482g	GroupIV
YALI1_F22674g	GroupIV
YALI1_F20616g	GroupIV
YALI1_C07534g	GroupIV
YALI1_C02686g	GroupIV
YALI1_E00340g	GroupIV
YALI1_E02799g	GroupIV
YALI1_E14856g	GroupIV
YALI1_A03883g	GroupIV
YALI1_C11552g	GroupIV
YALI1_C13856g	GroupIV
YALI1_A18414g	GroupIV
YALI1_E30373g	GroupIV
YALI1_E39171g	GroupIV
YALI1_A15624g	GroupIV
YALI1_E37264g	GroupIV
YALI1_E15093g	GroupIV
YALI1_E40744g	GroupIV
YALI1_C26332g	GroupIV
YALI1_E05854g	GroupIV
YALI1_C25621g	GroupIV
YALI1_E28999g	GroupIV
YALI1_D15304g	GroupIV
YALI1_F00504g	GroupIV
YALI1_A21265g	GroupIV
YALI1_F06544g	GroupIV
YALI1_F11689g	GroupIV
YALI1_B03853g	GroupIV
YALI1_C12883g	GroupIV
YALI1_E34650g	GroupIV
YALI1_F17034g	GroupIV
YALI1_E40097g	GroupIV
YALI1_F30496g	GroupIV
YALI1_D08843g	GroupIV
YALI1_C11382g	GroupIV
YALI1_B20577g	GroupIV
YALI1_D20457g	GroupIV
YALI1_E39228g	GroupIV
YALI1_B03797g	GroupIV
YALI1_C12619g	GroupIV
YALI1_F29395g	GroupIV
YALI1_B29008g	GroupIV
YALI1_E03185g	GroupIV
YALI1_A00867g	GroupIV
YALI1_D24398g	GroupIV
YALI1_B03979g	GroupIV
YALI1_E06212g	GroupIV
YALI1_D25288g	GroupIV
YALI1_A21372g	GroupIV
YALI1_F14650g	GroupIV
YALI1_C08173g	GroupIV
YALI1_D28351g	GroupIV
YALI1_F23784g	GroupIV
YALI1_F11905g	GroupIV
YALI1_E40089g	GroupIV
YALI1_A10784g	GroupIV
YALI1_D18037g	GroupIV
YALI1_C32079g	GroupIV
YALI1_A11355g	GroupIV
YALI1_F35938g	GroupIV
YALI1_F25066g	GroupIV
YALI1_E39439g	GroupIV
YALI1_F15108g	GroupIV
YALI1_E22439g	GroupIV
YALI1_C12513g	GroupIV
YALI1_C16485g	GroupIV
YALI1_C21603g	GroupIV
YALI1_D10197g	GroupIV
YALI1_D15865g	GroupIV
YALI1_F06708g	GroupIV
YALI1_C04117g	GroupIV
YALI1_B21155g	GroupIV
YALI1_F29798g	GroupIV
YALI1_C00503g	GroupIV
YALI1_E23961g	GroupIV
YALI1_D22083g	GroupIV
YALI1_E39570g	GroupIV
YALI1_F22376g	GroupIV
YALI1_D18383g	GroupIV
YALI1_D13251g	GroupIV
YALI1_C32034g	GroupIV
YALI1_B00049g	GroupIV
YALI1_B21594g	GroupIV
YALI1_D00798g	GroupIV
YALI1_F23867g	GroupIV
YALI1_E32077g	GroupIV
YALI1_E41436g	GroupIV
YALI1_F00155g	GroupIV
YALI1_E41421g	GroupIV
YALI1_C05880g	GroupIV
YALI1_A06958g	GroupIV
YALI1_C00258g	GroupIV
YALI1_D32594g	GroupIV
YALI1_E15625g	GroupIV
YALI1_E37830g	GroupIV
YALI1_F37234g	GroupIV
YALI1_C02639g	GroupIV
YALI1_C00116g	GroupIV
YALI1_F34779g	GroupIV
YALI1_E13541g	GroupIV
YALI1_F09833g	GroupIV
YALI1_E08782g	GroupIV
YALI1_F24963g	GroupIV
YALI1_F32948g	GroupIV
YALI1_B27144g	GroupIV
YALI1_E37792g	GroupIV
YALI1_E00337g	GroupIV
YALI1_B04781g	GroupIV
YALI1_B16318g	GroupIV
YALI1_B25223g	GroupIV
YALI1_B14517g	GroupIV
YALI1_D15458g	GroupIV
YALI1_B05295g	GroupIV
YALI1_E23790g	GroupIV
YALI1_E07234g	GroupIV
YALI1_B14645g	GroupIV
YALI1_E32152g	GroupIV
YALI1_C27933g	GroupIV
YALI1_A15978g	GroupIV
YALI1_C13890g	GroupIV
YALI1_E05538g	GroupIV
YALI1_C07199g	GroupIV
YALI1_F33973g	GroupIV
YALI1_F35690g	GroupIV
YALI1_B24502g	GroupIV
YALI1_E16950g	GroupIV
YALI1_E17643g	GroupIV
YALI1_D02000g	GroupIV
YALI1_D22157g	GroupIV
YALI1_A05259g	GroupIV
YALI1_E31229g	GroupIV
YALI1_C29676g	GroupIV
YALI1_F22299g	GroupIV
YALI1_A04927g	GroupIV
YALI1_F06858g	GroupIV
YALI1_B02194g	GroupIV
YALI1_A01842g	GroupIV
YALI1_C23738g	GroupIV
YALI1_D35356g	GroupIV
YALI1_F19090g	GroupIV
YALI1_D29523g	GroupIV
YALI1_D12790g	GroupIV
YALI1_E35546g	GroupIV
YALI1_B13723g	GroupIV
YALI1_C25998g	GroupIV
YALI1_D35258g	GroupIV
YALI1_E12561g	GroupIV
YALI1_C24850g	GroupIV
YALI1_C04925g	GroupIV
YALI1_C04553g	GroupIV
YALI1_B16239g	GroupIV
YALI1_B04228g	GroupIV
YALI1_F03992g	GroupIV
YALI1_D32695g	GroupIV
YALI1_E32776g	GroupIV
YALI1_B25676g	GroupIV
YALI1_F19169g	GroupIV
YALI1_B02604g	GroupIV
YALI1_C24891g	GroupIV
YALI1_F25212g	GroupIV
YALI1_D01378g	GroupIV
YALI1_E29481g	GroupIV
YALI1_C33444g	GroupIV
YALI1_E03904g	GroupIV
YALI1_F23529g	GroupIV
YALI1_A02365g	GroupIV
YALI1_C353g	GroupIV
YALI1_D26006g	GroupIV
YALI1_F25885g	GroupIV
YALI1_B01464g	GroupIV
YALI1_C06259g	GroupIV
YALI1_E01352g	GroupIV
YALI1_B28349g	GroupIV
YALI1_A12729g	GroupIV
YALI1_A18062g	GroupIV
YALI1_C09009g	GroupIV
YALI1_E21097g	GroupIV
YALI1_C07423g	GroupIV
YALI1_B02177g	GroupIV
YALI1_C30320g	GroupIV
YALI1_D31914g	GroupIV
YALI1_F07510g	GroupIV
YALI1_E05416g	GroupIV
YALI1_D33504g	GroupIV
YALI1_E36773g	GroupIV
YALI1_B22351g	GroupIV
YALI1_E05701g	GroupIV
YALI1_D03091g	GroupIV
YALI1_D00326g	GroupIV
YALI1_D16756g	GroupIV
YALI1_E33400g	GroupIV
YALI1_E03999g	GroupIV
YALI1_B25107g	GroupIV
YALI1_C23472g	GroupIV
YALI1_C14450g	GroupIV
YALI1_E33675g	GroupIV
YALI1_E11402g	GroupIV
YALI1_B17132g	GroupIV
YALI1_F31798g	GroupIV
YALI1_C13453g	GroupIV
YALI1_A05795g	GroupIV
YALI1_A17450g	GroupIV
YALI1_E05158g	GroupIV
YALI1_E00824g	GroupIV
YALI1_F01078g	GroupIV
YALI1_F03948g	GroupIV
YALI1_D09308g	GroupIV
YALI1_C25032g	GroupIV
YALI1_C16515g	GroupIV
YALI1_A05605g	GroupIV
YALI1_E04060g	GroupIV
YALI1_C18396g	GroupIV
YALI1_F28934g	GroupIV
YALI1_D36161g	GroupIV
YALI1_C04570g	GroupIV
YALI1_B26962g	GroupIV
YALI1_F31463g	GroupIV
YALI1_F35417g	GroupIV
YALI1_A00447g	GroupIV
YALI1_F19556g	GroupIV
YALI1_D20719g	GroupIV
YALI1_F29540g	GroupIV
YALI1_A05031g	GroupIV
YALI1_E04499g	GroupIV
YALI1_D25037g	GroupIV
YALI1_F31832g	GroupIV
YALI1_B11402g	GroupIV
YALI1_E35639g	GroupIV
YALI1_E22004g	GroupIV
YALI1_D10083g	GroupIV
YALI1_B15151g	GroupIV
YALI1_D07525g	GroupIV
YALI1_A21000g	GroupIV
YALI1_E19714g	GroupIV
YALI1_A21617g	GroupIV
YALI1_F37194g	GroupIV
YALI1_D17854g	GroupIV
YALI1_C31408g	GroupIII
YALI1_A22454g	GroupIII
YALI1_B27968g	GroupIII
YALI1_D00888g	GroupIII
YALI1_A21203g	GroupIII
YALI1_F37775g	GroupIII
YALI1_A01628g	GroupIII
YALI1_A01173g	GroupIII
YALI1_E08351g	GroupIII
YALI1_D07348g	GroupIII
YALI1_D24054g	GroupIII
