"","protein","orthogroup","Gene"
"184","P07246","S+LYT","YMR083W"
"185","P07249","S+LYT","YMR042W"
"186","P07250","S+LYT","YDR173C"
"187","P07251","S+LYT","YBL099W"
"188","P07255","S+LYT","YDL067C"
"189","P07257","S+LYT","YPR191W"
"190","P07258","S+LYT","YOR303W"
"191","P07259","S+LYT","YJL130C"
"192","P07260","S+LYT","YOL139C"
"193","P07262","S+LYT","YOR375C"
"194","P07263","S+LYT","YPR033C"
"195","P07264","S+LYT","YGL009C"
"196","P07267","S+LYT","YPL154C"
"197","P07269","S+LYT","YDL106C"
"198","P07270","S+LYT","YFR034C"
"199","P07271","S+LYT","YML061C"
"200","P07272","S+LYT","YLR014C"
"201","P07273","S+LYT","YGL043W"
"202","P07274","S+LYT","YOR122C"
"203","P07275","S+LYT","YHR037W"
"204","P07276","S+LYT","YGR258C"
"205","P07277","S+LYT","YMR208W"
"206","P07278","S+LYT","YIL033C"
"207","P07280","S+LYT","YOL121C"
"208","P07281","S+LYT","YNL302C"
"209","P07283","S+LYT","YFL045C"
"210","P07284","S+LYT","YDR023W"
"211","P07285","S+LYT","YDR354W"
"212","P07286","S+LYT","YBR243C"
"213","P07342","S+LYT","YMR108W"
"214","P07347","S+LYT","YHR013C"
"215","P07560","S+LYT","YFL005W"
"216","P07702","S+LYT","YBR115C"
"217","P07703","S+LYT","YPR110C"
"218","P07806","S+LYT","YGR094W"
"219","P07807","S+LYT","YOR236W"
"220","P07834","S+LYT","YFL009W"
"221","P07866","S+LYT","YAL024C"
"222","P07884","S+LYT","YOR274W"
"223","P07991","S+LYT","YLR438W"
"224","P08004","S+LYT","YNL192W"
"225","P08018","S+LYT","YJL128C"
"226","P08019","S+LYT","YIL099W"
"227","P08067","S+LYT","YEL024W"
"228","P08153","S+LYT","YDR146C"
"229","P08417","S+LYT","YPL262W"
"230","P08425","S+LYT","YPR047W"
"231","P08431","S+LYT","YBR018C"
"232","P08432","S+LYT","YKL184W"
"233","P08456","S+LYT","YER026C"
"234","P08458","S+LYT","YDR523C"
"235","P08459","S+LYT","YDR522C"
"236","P08465","S+LYT","YNL277W"
"237","P08466","S+LYT","YJL208C"
"238","P08518","S+LYT","YOR151C"
"239","P08524","S+LYT","YJL167W"
"240","P08525","S+LYT","YJL166W"
"241","P08536","S+LYT","YJR010W"
"242","P08539","S+LYT","YHR005C"
"243","P08566","S+LYT","YDR127W"
"244","P08638","S+LYT","YLR451W"
"245","P08678","S+LYT","YJL005W"
"246","P08964","S+LYT","YHR023W"
"247","P09032","S+LYT","YOR260W"
"248","P09064","S+LYT","YPL237W"
"249","P09119","S+LYT","YJL194W"
"250","P09201","S+LYT","YLR377C"
"251","P09232","S+LYT","YEL060C"
"252","P09368","S+LYT","YLR142W"
"253","P09435","S+LYT","YBL075C"
"254","P09436","S+LYT","YBL076C"
"255","P09440","S+LYT","YBR084W"
"256","P09457","S+LYT","YDR298C"
"257","P09547","S+LYT","YPL016W"
"258","P09620","S+LYT","YGL203C"
"259","P09624","S+LYT","YFL018C"
"260","P09733","S+LYT","YML085C"
"261","P09798","S+LYT","YKL022C"
"262","P09880","S+LYT","YJL087C"
"263","P09937","S+LYT","YOR313C"
"264","P09938","S+LYT","YJL026W"
"265","P09950","S+LYT","YDR232W"
"266","P09959","S+LYT","YLR182W"
"267","P0C074","S+LYT","YNL138W-A"
"268","P0C0T4","S+LYT","YLR333C"
"269","P0C0V8","S+LYT","YKR057W"
"270","P0C0W1","S+LYT","YJL190C"
"271","P0C0W9","S+LYT","YPR102C"
"272","P0C0X0","S+LYT","YLR264W"
"273","P0C2H6","S+LYT","YHR010W"
"274","P0C2H7","S+LYT","YDR471W"
"275","P0C2H8","S+LYT","YDL075W"
"276","P0C2H9","S+LYT","YLR406C"
"277","P0C5R9","S+LYT","YPR170W-B"
"278","P0CD91","S+LYT","YPR192W"
"279","P0CD98","S+LYT","YLL053C"
"280","P0CD99","S+LYT","YDL247W"
"281","P0CE00","S+LYT","YJR160C"
"282","P0CE41","S+LYT","YLR256W"
"283","P0CF17","S+LYT","YML002W"
"284","P0CG63","S+LYT","YLL039C"
"285","P0CH08","S+LYT","YIL148W"
"286","P0CH09","S+LYT","YKR094C"
"287","P0CH63","S+LYT","YFL061W"
"288","P0CH64","S+LYT","YNL335W"
"289","P0CS90","S+LYT","YJR045C"
"290","P0CT04","S+LYT","YNL015W"
"291","P0CW40","S+LYT","YIL172C"
"292","P0CW41","S+LYT","YJL221C"
"293","P0CX23","S+LYT","YMR242C"
"294","P0CX24","S+LYT","YOR312C"
"295","P0CX25","S+LYT","YPR043W"
"296","P0CX26","S+LYT","YJR094W-A"
"297","P0CX27","S+LYT","YNL162W"
"298","P0CX28","S+LYT","YHR141C"
"299","P0CX29","S+LYT","YGR118W"
"300","P0CX30","S+LYT","YPR132W"
"301","P0CX31","S+LYT","YER074W"
"302","P0CX32","S+LYT","YIL069C"
"303","P0CX33","S+LYT","YLR287C-A"
"304","P0CX34","S+LYT","YOR182C"
"305","P0CX35","S+LYT","YJR145C"
"306","P0CX36","S+LYT","YHR203C"
"307","P0CX37","S+LYT","YPL090C"
"308","P0CX38","S+LYT","YBR181C"
"309","P0CX39","S+LYT","YBL072C"
"310","P0CX40","S+LYT","YER102W"
"311","P0CX41","S+LYT","YBL087C"
"312","P0CX42","S+LYT","YER117W"
"313","P0CX43","S+LYT","YPL220W"
"314","P0CX44","S+LYT","YGL135W"
"315","P0CX45","S+LYT","YFR031C-A"
"316","P0CX46","S+LYT","YIL018W"
"317","P0CX47","S+LYT","YDR025W"
"318","P0CX48","S+LYT","YBR048W"
"319","P0CX49","S+LYT","YOL120C"
"320","P0CX50","S+LYT","YNL301C"
"321","P0CX51","S+LYT","YMR143W"
"322","P0CX52","S+LYT","YDL083C"
"323","P0CX53","S+LYT","YEL054C"
"324","P0CX54","S+LYT","YDR418W"
"325","P0CX55","S+LYT","YDR450W"
"326","P0CX56","S+LYT","YML026C"
"327","P0CX82","S+LYT","YBR084C-A"
"328","P0CX83","S+LYT","YBL027W"
"329","P0CX84","S+LYT","YDL191W"
"330","P0CX85","S+LYT","YDL136W"
"331","P0CY08","S+LYT","YCR039C"
"332","P0CY09","S+LYT","YCL067C"
"333","P0CY13","S+LYT","YCR096C"
"334","P10080","S+LYT","YHL034C"
"335","P10081","S+LYT","YKR059W, YJL138C"
"336","P10127","S+LYT","YGL256W"
"337","P10174","S+LYT","YMR256C"
"338","P10356","S+LYT","YER152C"
"339","P10363","S+LYT","YIR008C"
"340","P10507","S+LYT","YLR163C"
"341","P10566","S+LYT","YJL133W"
"342","P10591","S+LYT","YAL005C"
"343","P10592","S+LYT","YLL024C"
"344","P10614","S+LYT","YHR007C"
"345","P10622","S+LYT","YDL130W"
"346","P10662","S+LYT","YDR347W"
"347","P10663","S+LYT","YPR166C"
"348","P10664","S+LYT","YBR031W"
"349","P10823","S+LYT","YER020W"
"350","P10849","S+LYT","YDL044C"
"351","P10862","S+LYT","YCR066W"
"352","P10869","S+LYT","YER052C"
"353","P10870","S+LYT","YDL194W"
"354","P10961","S+LYT","YGL073W"
"355","P10962","S+LYT","YAL025C"
"356","P10963","S+LYT","YKR097W"
"357","P10964","S+LYT","YOR341W"
"358","P11075","S+LYT","YDR170C"
"359","P11076","S+LYT","YDL192W"
"360","P11154","S+LYT","YGL062W"
"361","P11325","S+LYT","YLR382C"
"362","P11353","S+LYT","YDR044W"
"363","P11412","S+LYT","YNL241C"
"364","P11433","S+LYT","YAL041W"
"365","P11484","S+LYT","YDL229W"
"366","P11491","S+LYT","YDR481C"
"367","P11632","S+LYT","YPR052C"
"368","P11633","S+LYT","YBR089C-A"
"369","P11655","S+LYT","YNR026C"
"370","P11709","S+LYT","YCL029C"
"371","P11710","S+LYT","YCL027W"
"372","P11745","S+LYT","YMR235C"
"373","P11746","S+LYT","YMR043W"
"374","P11747","S+LYT","YML098W"
"375","P11792","S+LYT","YHR205W"
"376","P11914","S+LYT","YHR024C"
"377","P11972","S+LYT","YLR452C"
"378","P11986","S+LYT","YJL153C"
"379","P12385","S+LYT","YBR143C"
"380","P12611","S+LYT","YOR043W"
"381","P12612","S+LYT","YDR212W"
"382","P12683","S+LYT","YML075C"
"383","P12684","S+LYT","YLR450W"
"384","P12687","S+LYT","YNL005C"
"385","P12688","S+LYT","YKL126W"
"386","P12689","S+LYT","YOR346W"
"387","P12695","S+LYT","YNL071W"
"388","P12709","S+LYT","YBR196C"
"389","P12753","S+LYT","YNL250W"
"390","P12754","S+LYT","YGR083C"
"391","P12866","S+LYT","YKL209C"
"392","P12868","S+LYT","YMR231W"
"393","P12887","S+LYT","YML021C"
"394","P12904","S+LYT","YGL115W"
"395","P12945","S+LYT","YDL040C"
"396","P12954","S+LYT","YJL092W"
"397","P13045","S+LYT","YDR009W"
"398","P13090","S+LYT","YML116W"
"399","P13099","S+LYT","YLR234W"
"400","P13134","S+LYT","YNL238W"
"401","P13181","S+LYT","YLR081W"
"402","P13185","S+LYT","YDR122W"
"403","P13186","S+LYT","YLR096W"
"404","P13188","S+LYT","YOR168W"
"405","P13259","S+LYT","YGR202C"
"406","P13298","S+LYT","YML106W"
"407","P13382","S+LYT","YNL102W"
"408","P13393","S+LYT","YER148W"
"409","P13433","S+LYT","YFL036W"
"410","P13434","S+LYT","YBL021C"
"411","P13517","S+LYT","YIL034C"
"412","P13574","S+LYT","YHR084W"
"413","P13586","S+LYT","YGL167C"
"414","P13587","S+LYT","YDR040C"
"415","P13663","S+LYT","YDR158W"
"416","P13711","S+LYT","YGL205W"
"417","P13856","S+LYT","YGR152C"
"418","P13902","S+LYT","YOL108C"
"419","P14020","S+LYT","YPR183W"
"420","P14063","S+LYT","YKL138C"
"421","P14065","S+LYT","YOR120W"
"422","P14120","S+LYT","YGL030W"
"423","P14126","S+LYT","YOR063W"
"424","P14127","S+LYT","YDR447C"
"425","P14180","S+LYT","YBR038W"
"426","P14242","S+LYT","YNL082W"
"427","P14284","S+LYT","YPL167C"
"428","P14306","S+LYT","YLR178C"
"429","P14540","S+LYT","YKL060C"
"430","P14680","S+LYT","YJL141C"
"431","P14682","S+LYT","YDR054C"
"432","P14736","S+LYT","YER162C"
"433","P14737","S+LYT","YDR217C"
"434","P14741","S+LYT","YKR026C"
"435","P14742","S+LYT","YKL104C"
"436","P14743","S+LYT","YLR195C"
"437","P14747","S+LYT","YML057W"
"438","P14832","S+LYT","YDR155C"
"439","P14843","S+LYT","YDR035W"
"440","P14904","S+LYT","YKL103C"
"441","P14906","S+LYT","YOR254C"
"442","P14907","S+LYT","YJL041W"
"443","P14908","S+LYT","YMR228W"
"444","P14922","S+LYT","YBR112C"
"445","P15019","S+LYT","YLR354C"
"446","P15108","S+LYT","YMR186W"
"447","P15179","S+LYT","YPL104W"
"448","P15180","S+LYT","YDR037W"
"449","P15202","S+LYT","YDR256C"
"450","P15274","S+LYT","YML035C"
"451","P15303","S+LYT","YPR181C"
"452","P15315","S+LYT","YGL166W"
"453","P15365","S+LYT","YJR152W"
"454","P15367","S+LYT","YIR022W"
"455","P15380","S+LYT","YOR348C"
"456","P15436","S+LYT","YDL102W"
"457","P15442","S+LYT","YDR283C"
"458","P15454","S+LYT","YDR454C"
"459","P15496","S+LYT","YPL117C"
"460","P15565","S+LYT","YDR120C"
"461","P15624","S+LYT","YLR060W"
"462","P15625","S+LYT","YFL022C"
"463","P15646","S+LYT","YDL014W"
"464","P15700","S+LYT","YKL024C"
"465","P15703","S+LYT","YGR282C"
"466","P15705","S+LYT","YOR027W"
"467","P15731","S+LYT","YBR082C"
"468","P15732","S+LYT","YDR059C"
"469","P15790","S+LYT","YIL035C"
"470","P15801","S+LYT","YOR330C"
"471","P15807","S+LYT","YBR213W"
"472","P15873","S+LYT","YBR088C"
"473","P15891","S+LYT","YCR088W"
"474","P15938","S+LYT","YKR086W"
"475","P15992","S+LYT","YBR072W"
"476","P16120","S+LYT","YCR053W"
"477","P16140","S+LYT","YBR127C"
"478","P16151","S+LYT","YDR414C"
"479","P16370","S+LYT","YIL021W"
"480","P16387","S+LYT","YER178W"
"481","P16451","S+LYT","YGR193C"
"482","P16467","S+LYT","YLR134W"
"483","P16474","S+LYT","YJL034W"
"484","P16522","S+LYT","YHR166C"
"485","P16550","S+LYT","YCL050C"
"486","P16603","S+LYT","YHR042W"
"487","P16622","S+LYT","YOR176W"
"488","P16639","S+LYT","YGL017W"
"489","P16649","S+LYT","YCR084C"
"490","P16658","S+LYT","YLR105C"
"491","P16661","S+LYT","YBR110W"
"492","P16664","S+LYT","YDR137W"
"493","P16861","S+LYT","YGR240C"
"494","P16862","S+LYT","YMR205C"
"495","P16892","S+LYT","YBL016W"
"496","P16965","S+LYT","YGR008C"
"497","P17064","S+LYT","YER056C"
"498","P17065","S+LYT","YNL272C"
"499","P17076","S+LYT","YHL033C"
"500","P17106","S+LYT","YJR060W"
"501","P17119","S+LYT","YPR141C"
"502","P17121","S+LYT","YDR389W"
"503","P17157","S+LYT","YPL031C"
"504","P17255","S+LYT","YDL185W"
"505","P17260","S+LYT","YNL322C"
"506","P17261","S+LYT","YCR075C"
"507","P17423","S+LYT","YHR025W"
"508","P17442","S+LYT","YGR233C"
"509","P17505","S+LYT","YKL085W"
"510","P17555","S+LYT","YNL138W"
"511","P17558","S+LYT","YOR158W"
"512","P17649","S+LYT","YGR019W"
"513","P17695","S+LYT","YDR513W"
"514","P17709","S+LYT","YCL040W"
"515","P17883","S+LYT","YPR189W"
"516","P17890","S+LYT","YNL151C"
"517","P17891","S+LYT","YGR167W"
"518","P17898","S+LYT","YNL130C"
"519","P17967","S+LYT","YCL043C"
"520","P18238","S+LYT","YBR085W"
"521","P18408","S+LYT","YPR167C"
"522","P18409","S+LYT","YAL010C"
"523","P18410","S+LYT","YAL009W"
"524","P18412","S+LYT","YBR083W"
"525","P18414","S+LYT","YBL040C"
"526","P18480","S+LYT","YBR289W"
"527","P18496","S+LYT","YLR393W"
"528","P18544","S+LYT","YOL140W"
"529","P18562","S+LYT","YHR128W"
"530","P18759","S+LYT","YBR080C"
"531","P18851","S+LYT","YOR212W"
"532","P18852","S+LYT","YJR086W"
"533","P18898","S+LYT","YGL155W"
"534","P18900","S+LYT","YBR003W"
"535","P18961","S+LYT","YMR104C"
"536","P18962","S+LYT","YHR028C"
"537","P18963","S+LYT","YBR140C"
"538","P19073","S+LYT","YLR229C"
"539","P19097","S+LYT","YPL231W"
"540","P19145","S+LYT","YKR039W"
"541","P19146","S+LYT","YDL137W"
"542","P19158","S+LYT","YOL081W"
"543","P19211","S+LYT","YJR047C"
"544","P19262","S+LYT","YDR148C"
"545","P19263","S+LYT","YLR071C"
"546","P19358","S+LYT","YDR502C"
"547","P19414","S+LYT","YLR304C"
"548","P19454","S+LYT","YOR061W"
"549","P19516","S+LYT","YPL132W"
"550","P19524","S+LYT","YOR326W"
"551","P19541","S+LYT","YPL133C"
"552","P19658","S+LYT","YJL085W"
"553","P19659","S+LYT","YOL051W"
"554","P19735","S+LYT","YBR055C"
"555","P19736","S+LYT","YDL030W"
"556","P19807","S+LYT","YGL077C"
"557","P19812","S+LYT","YGR184C"
"558","P19880","S+LYT","YML007W"
"559","P19881","S+LYT","YDL236W"
"560","P19882","S+LYT","YLR259C"
"561","P19955","S+LYT","YFR049W"
"562","P19956","S+LYT","YMR225C"
"563","P20048","S+LYT","YMR013C"
"564","P20049","S+LYT","YBR166C"
"565","P20050","S+LYT","YIL072W"
"566","P20051","S+LYT","YLR420W"
"567","P20052","S+LYT","YOL001W"
"568","P20053","S+LYT","YPR178W"
"569","P20081","S+LYT","YNL135C"
"570","P20084","S+LYT","YMR286W"
"571","P20095","S+LYT","YNR011C"
"572","P20107","S+LYT","YMR243C"
"573","P20133","S+LYT","YPR176C"
"574","P20134","S+LYT","YOR140W"
"575","P20424","S+LYT","YPR088C"
"576","P20433","S+LYT","YJL140W"
"577","P20434","S+LYT","YBR154C"
"578","P20435","S+LYT","YPR187W"
"579","P20436","S+LYT","YOR224C"
"580","P20447","S+LYT","YGL078C"
"581","P20448","S+LYT","YJL033W"
"582","P20449","S+LYT","YOR046C"
"583","P20457","S+LYT","YKL045W"
"584","P20459","S+LYT","YJR007W"
"585","P20484","S+LYT","YKL021C"
"586","P20485","S+LYT","YLR133W"
"587","P20486","S+LYT","YBR135W"
"588","P20604","S+LYT","YDL047W"
"589","P20606","S+LYT","YPL218W"
"590","P20795","S+LYT","YLR396C"
"591","P20967","S+LYT","YIL125W"
"592","P21147","S+LYT","YGL055W"
"593","P21182","S+LYT","YOL052C"
"594","P21192","S+LYT","YLR131C"
"595","P21242","S+LYT","YOR362C"
"596","P21243","S+LYT","YGL011C"
"597","P21264","S+LYT","YOR128C"
"598","P21268","S+LYT","YJL157C"
"599","P21269","S+LYT","YER168C"
"600","P21304","S+LYT","YLR196W"
"601","P21339","S+LYT","YOR188W"
"602","P21372","S+LYT","YBR237W"
"603","P21373","S+LYT","YJR049C"
"604","P21374","S+LYT","YJR050W"
"605","P21375","S+LYT","YJR051W"
"606","P21524","S+LYT","YER070W"
"607","P21560","S+LYT","YPL215W"
"608","P21576","S+LYT","YKR001C"
"609","P21592","S+LYT","YPL172C"
"610","P21595","S+LYT","YDR402C"
"611","P21657","S+LYT","YIR023W"
"612","P21734","S+LYT","YDR177W"
"613","P21771","S+LYT","YDR337W"
"614","P21801","S+LYT","YLL041C"
"615","P21825","S+LYT","YPL094C"
"616","P21826","S+LYT","YIR031C"
"617","P21827","S+LYT","YGL097W"
"618","P21951","S+LYT","YNL262W"
"619","P21954","S+LYT","YDL066W"
"620","P21957","S+LYT","YHL020C"
"621","P22007","S+LYT","YDL090C"
"622","P22023","S+LYT","YOR336W"
"623","P22035","S+LYT","YKR099W"
"624","P22108","S+LYT","YDR530C"
"625","P22134","S+LYT","YER142C"
"626","P22135","S+LYT","YJL180C"
"627","P22137","S+LYT","YGL206C"
"628","P22138","S+LYT","YPR010C"
"629","P22139","S+LYT","YOR210W"
"630","P22140","S+LYT","YHR123W"
"631","P22141","S+LYT","YER012W"
"632","P22146","S+LYT","YMR307W"
"633","P22147","S+LYT","YGL173C"
"634","P22148","S+LYT","YOL116W"
"635","P22202","S+LYT","YER103W"
"636","P22203","S+LYT","YOR332W"
"637","P22204","S+LYT","YGR092W"
"638","P22209","S+LYT","YAR018C"
"639","P22211","S+LYT","YNL183C"
"640","P22213","S+LYT","YDR189W"
"641","P22214","S+LYT","YLR268W"
"642","P22215","S+LYT","YOR307C"
"643","P22216","S+LYT","YPL153C"
"644","P22217","S+LYT","YLR043C"
"645","P22219","S+LYT","YBR097W"
"646","P22224","S+LYT","YGL233W"
"647","P22276","S+LYT","YOR207C"
"648","P22289","S+LYT","YGR183C"
"649","P22336","S+LYT","YAR007C"
"650","P22353","S+LYT","YJL063C"
"651","P22354","S+LYT","YKR085C"
"652","P22434","S+LYT","YGL248W"
"653","P22438","S+LYT","YGR171C"
"654","P22470","S+LYT","YDR143C"
"655","P22515","S+LYT","YKL210W"
"656","P22516","S+LYT","YPL008W"
"657","P22517","S+LYT","YOL016C"
"658","P22543","S+LYT","YLR240W"
"659","P22579","S+LYT","YOL004W"
"660","P22580","S+LYT","YDR242W"
"661","P22696","S+LYT","YJR017C"
"662","P22768","S+LYT","YOL058W"
"663","P22803","S+LYT","YGR209C"
"664","P22804","S+LYT","YIL004C"
"665","P22855","S+LYT","YGL156W"
"666","P22936","S+LYT","YKL114C"
"667","P22943","S+LYT","YFL014W"
"668","P23060","S+LYT","YCR019W"
"669","P23179","S+LYT","YHL022C"
"670","P23180","S+LYT","YHL021C"
"671","P23201","S+LYT","YLL021W"
"672","P23202","S+LYT","YNL229C"
"673","P23248","S+LYT","YML063W"
"674","P23254","S+LYT","YPR074C"
"675","P23255","S+LYT","YCR042C"
"676","P23287","S+LYT","YLR433C"
"677","P23291","S+LYT","YHR135C"
"678","P23292","S+LYT","YNL154C"
"679","P23293","S+LYT","YPR161C"
"680","P23301","S+LYT","YEL034W"
"681","P23337","S+LYT","YFR015C"
"682","P23369","S+LYT","YGR076C"
"683","P23394","S+LYT","YDR243C"
"684","P23500","S+LYT","YKR052C"
"685","P23501","S+LYT","YKR053C"
"686","P23503","S+LYT","YNL240C"
"687","P23542","S+LYT","YLR027C"
"688","P23561","S+LYT","YLR362W"
"689","P23585","S+LYT","YMR011W"
"690","P23594","S+LYT","YDL134C"
