Orthogroup	S.cerevisiae	L.starkeyi	T.caseinolytica	Y.lipo-CLIB122
OG0000010	P21595	tr|A0A1E3PW44|A0A1E3PW44_LIPST, tr|A0A1E3PX96|A0A1E3PX96_LIPST, tr|A0A1E3PXB1|A0A1E3PXB1_LIPST, tr|A0A1E3Q2D3|A0A1E3Q2D3_LIPST, tr|A0A1E3Q4T7|A0A1E3Q4T7_LIPST, tr|A0A1E3Q5E5|A0A1E3Q5E5_LIPST, tr|A0A1E3Q905|A0A1E3Q905_LIPST, tr|A0A1E3Q9L8|A0A1E3Q9L8_LIPST	Tortispora_caseinolytica@Seq_1955	tr|F2Z5W7|F2Z5W7_YARLI, tr|F2Z623|F2Z623_YARLI, tr|F2Z6A4|F2Z6A4_YARLI, tr|F2Z6D5|F2Z6D5_YARLI, tr|F2Z6H3|F2Z6H3_YARLI, tr|F2Z6I4|F2Z6I4_YARLI, tr|F2Z6J3|F2Z6J3_YARLI, tr|Q6C4K6|Q6C4K6_YARLI, tr|Q6CCE5|Q6CCE5_YARLI, tr|Q6CDW4|Q6CDW4_YARLI, tr|Q6CFK2|Q6CFK2_YARLI, tr|Q6CGD9|Q6CGD9_YARLI
OG0000011	Q08268, Q08777	tr|A0A1E3PZW4|A0A1E3PZW4_LIPST, tr|A0A1E3Q2R7|A0A1E3Q2R7_LIPST, tr|A0A1E3Q3N7|A0A1E3Q3N7_LIPST, tr|A0A1E3Q5Z7|A0A1E3Q5Z7_LIPST, tr|A0A1E3Q6X5|A0A1E3Q6X5_LIPST, tr|A0A1E3Q8U6|A0A1E3Q8U6_LIPST, tr|A0A1E3Q8V8|A0A1E3Q8V8_LIPST, tr|A0A1E3Q8Y9|A0A1E3Q8Y9_LIPST, tr|A0A1E3Q934|A0A1E3Q934_LIPST, tr|A0A1E3QCL8|A0A1E3QCL8_LIPST	Tortispora_caseinolytica@Seq_1633	tr|Q6C1C6|Q6C1C6_YARLI, tr|Q6C6Y3|Q6C6Y3_YARLI, tr|Q6CC59|Q6CC59_YARLI, tr|Q6CCR5|Q6CCR5_YARLI, tr|Q6CDG0|Q6CDG0_YARLI, tr|Q6CEH9|Q6CEH9_YARLI, tr|Q6CI95|Q6CI95_YARLI, tr|W0TYN6|W0TYN6_YARLI
OG0000012	P40477, P47145	tr|A0A1E3Q767|A0A1E3Q767_LIPST	Tortispora_caseinolytica@Seq_419	tr|F2Z5Z7|F2Z5Z7_YARLI, tr|F2Z685|F2Z685_YARLI, tr|F2Z6D8|F2Z6D8_YARLI, tr|Q6BZP1|Q6BZP1_YARLI, tr|Q6C225|Q6C225_YARLI, tr|Q6C3I6|Q6C3I6_YARLI, tr|Q6C687|Q6C687_YARLI, tr|Q6C6L5|Q6C6L5_YARLI, tr|Q6C7F3|Q6C7F3_YARLI, tr|Q6C7J5|Q6C7J5_YARLI, tr|Q6C8J2|Q6C8J2_YARLI, tr|Q6C8M4|Q6C8M4_YARLI, tr|Q6C8Y2|Q6C8Y2_YARLI, tr|Q6C9R0|Q6C9R0_YARLI, tr|Q6CDY0|Q6CDY0_YARLI, tr|Q6CEY5|Q6CEY5_YARLI, tr|Q6CHB8|Q6CHB8_YARLI
OG0000013	P38358, P47177, Q04301	tr|A0A1E3PYQ2|A0A1E3PYQ2_LIPST, tr|A0A1E3PYZ0|A0A1E3PYZ0_LIPST, tr|A0A1E3PZ84|A0A1E3PZ84_LIPST, tr|A0A1E3PZR7|A0A1E3PZR7_LIPST, tr|A0A1E3Q1M9|A0A1E3Q1M9_LIPST, tr|A0A1E3Q2R5|A0A1E3Q2R5_LIPST, tr|A0A1E3Q987|A0A1E3Q987_LIPST, tr|A0A1E3Q9T7|A0A1E3Q9T7_LIPST, tr|A0A1E3QCP5|A0A1E3QCP5_LIPST, tr|A0A1E3QCY1|A0A1E3QCY1_LIPST	Tortispora_caseinolytica@Seq_2565, Tortispora_caseinolytica@Seq_388, Tortispora_caseinolytica@Seq_4183, Tortispora_caseinolytica@Seq_4327, Tortispora_caseinolytica@Seq_77	tr|Q6C5H1|Q6C5H1_YARLI, tr|Q6CF62|Q6CF62_YARLI
OG0000014	P05316, P38196, Q04895	tr|A0A1E3PVR5|A0A1E3PVR5_LIPST, tr|A0A1E3PVS6|A0A1E3PVS6_LIPST, tr|A0A1E3PVY1|A0A1E3PVY1_LIPST, tr|A0A1E3PX40|A0A1E3PX40_LIPST, tr|A0A1E3PXE5|A0A1E3PXE5_LIPST, tr|A0A1E3Q254|A0A1E3Q254_LIPST, tr|A0A1E3Q3I1|A0A1E3Q3I1_LIPST, tr|A0A1E3Q3K4|A0A1E3Q3K4_LIPST, tr|A0A1E3Q3R1|A0A1E3Q3R1_LIPST, tr|A0A1E3Q8Q0|A0A1E3Q8Q0_LIPST, tr|A0A1E3QAR8|A0A1E3QAR8_LIPST, tr|A0A1E3QDW5|A0A1E3QDW5_LIPST, tr|A0A1E3QGS4|A0A1E3QGS4_LIPST	Tortispora_caseinolytica@Seq_2789, Tortispora_caseinolytica@Seq_3664	tr|Q6CA61|Q6CA61_YARLI
OG0000015	P13181, P23585, P32465, P32466, P32467, P38695, P39003, P39004, P39924, P40885, P40886, P42833, P43581, P47185, P53631, P54854, P54862	tr|A0A1E3QE37|A0A1E3QE37_LIPST		tr|Q6C152|Q6C152_YARLI
OG0000016	P36033, P53746, Q08905, Q08908, Q12473	tr|A0A1E3Q1S0|A0A1E3Q1S0_LIPST, tr|A0A1E3QBR7|A0A1E3QBR7_LIPST	Tortispora_caseinolytica@Seq_1893, Tortispora_caseinolytica@Seq_4317, Tortispora_caseinolytica@Seq_679	tr|Q6C2K8|Q6C2K8_YARLI, tr|Q6C3G3|Q6C3G3_YARLI, tr|Q6C6M7|Q6C6M7_YARLI, tr|Q6C7R3|Q6C7R3_YARLI, tr|Q6CET4|Q6CET4_YARLI, tr|Q6CET5|Q6CET5_YARLI, tr|Q6CET6|Q6CET6_YARLI, tr|Q6CET8|Q6CET8_YARLI, tr|Q6CF26|Q6CF26_YARLI
OG0000017	P22580	tr|A0A1E3PWT7|A0A1E3PWT7_LIPST, tr|A0A1E3Q2Z2|A0A1E3Q2Z2_LIPST, tr|A0A1E3Q4K7|A0A1E3Q4K7_LIPST, tr|A0A1E3Q6W4|A0A1E3Q6W4_LIPST, tr|A0A1E3Q8X2|A0A1E3Q8X2_LIPST, tr|A0A1E3QF34|A0A1E3QF34_LIPST	Tortispora_caseinolytica@Seq_11, Tortispora_caseinolytica@Seq_158, Tortispora_caseinolytica@Seq_2261, Tortispora_caseinolytica@Seq_2814, Tortispora_caseinolytica@Seq_2871, Tortispora_caseinolytica@Seq_295, Tortispora_caseinolytica@Seq_3326	tr|Q6C1G7|Q6C1G7_YARLI, tr|Q6C3H6|Q6C3H6_YARLI, tr|Q6C676|Q6C676_YARLI, tr|Q6C873|Q6C873_YARLI, tr|Q6CAQ2|Q6CAQ2_YARLI
OG0000018	P22147, P40047, P46367, P47771, P54114, P54115	tr|A0A1E3PW08|A0A1E3PW08_LIPST, tr|A0A1E3Q4S8|A0A1E3Q4S8_LIPST, tr|A0A1E3Q6T6|A0A1E3Q6T6_LIPST, tr|A0A1E3QE00|A0A1E3QE00_LIPST, tr|A0A1E3QER8|A0A1E3QER8_LIPST	Tortispora_caseinolytica@Seq_1945, Tortispora_caseinolytica@Seq_3889	tr|Q6C2W9|Q6C2W9_YARLI, tr|Q6C7J6|Q6C7J6_YARLI, tr|Q6C9V7|Q6C9V7_YARLI, tr|Q6CAZ5|Q6CAZ5_YARLI, tr|Q6CD79|Q6CD79_YARLI
OG0000019	P27809, P27810, P38130, P38131	tr|A0A1E3PZS3|A0A1E3PZS3_LIPST, tr|A0A1E3Q2Y1|A0A1E3Q2Y1_LIPST, tr|A0A1E3Q620|A0A1E3Q620_LIPST, tr|A0A1E3QA93|A0A1E3QA93_LIPST, tr|A0A1E3QCK9|A0A1E3QCK9_LIPST, tr|A0A1E3QDY8|A0A1E3QDY8_LIPST, tr|A0A1E3QEM6|A0A1E3QEM6_LIPST	Tortispora_caseinolytica@Seq_1662, Tortispora_caseinolytica@Seq_3688, Tortispora_caseinolytica@Seq_4131	tr|Q6C7C7|Q6C7C7_YARLI, tr|Q6CG17|Q6CG17_YARLI, tr|Q6CHQ0|Q6CHQ0_YARLI
OG0000020	P0CD99, P0CE00, P38156, P53048	tr|A0A1E3PU15|A0A1E3PU15_LIPST, tr|A0A1E3PU80|A0A1E3PU80_LIPST, tr|A0A1E3PVL9|A0A1E3PVL9_LIPST, tr|A0A1E3PW63|A0A1E3PW63_LIPST, tr|A0A1E3Q171|A0A1E3Q171_LIPST, tr|A0A1E3Q1H1|A0A1E3Q1H1_LIPST, tr|A0A1E3Q2P2|A0A1E3Q2P2_LIPST, tr|A0A1E3Q5D7|A0A1E3Q5D7_LIPST, tr|A0A1E3Q6J5|A0A1E3Q6J5_LIPST, tr|A0A1E3QCB6|A0A1E3QCB6_LIPST, tr|A0A1E3QGE6|A0A1E3QGE6_LIPST		tr|Q6CG69|Q6CG69_YARLI, tr|Q6CH11|Q6CH11_YARLI
OG0000021	P38157, P43551, P53338, Q06595, Q08904	tr|A0A1E3PTU5|A0A1E3PTU5_LIPST, tr|A0A1E3PWZ5|A0A1E3PWZ5_LIPST, tr|A0A1E3PX41|A0A1E3PX41_LIPST, tr|A0A1E3PYN8|A0A1E3PYN8_LIPST, tr|A0A1E3PZ21|A0A1E3PZ21_LIPST, tr|A0A1E3Q5Z3|A0A1E3Q5Z3_LIPST, tr|A0A1E3Q9V1|A0A1E3Q9V1_LIPST, tr|A0A1E3QFZ1|A0A1E3QFZ1_LIPST	Tortispora_caseinolytica@Seq_1, Tortispora_caseinolytica@Seq_1030	tr|Q6CCP0|Q6CCP0_YARLI
OG0000022	P25594, P33335, P36172, P50080	tr|A0A1E3PUN5|A0A1E3PUN5_LIPST, tr|A0A1E3PVT1|A0A1E3PVT1_LIPST, tr|A0A1E3Q0C5|A0A1E3Q0C5_LIPST, tr|A0A1E3Q0H5|A0A1E3Q0H5_LIPST, tr|A0A1E3Q5A4|A0A1E3Q5A4_LIPST, tr|A0A1E3Q841|A0A1E3Q841_LIPST, tr|A0A1E3QCA7|A0A1E3QCA7_LIPST, tr|A0A1E3QEB1|A0A1E3QEB1_LIPST	Tortispora_caseinolytica@Seq_2270, Tortispora_caseinolytica@Seq_4071	tr|Q6C039|Q6C039_YARLI, tr|Q6C843|Q6C843_YARLI
OG0000023	P25621	tr|A0A1E3PUP4|A0A1E3PUP4_LIPST, tr|A0A1E3PXK2|A0A1E3PXK2_LIPST, tr|A0A1E3PXZ9|A0A1E3PXZ9_LIPST, tr|A0A1E3PY20|A0A1E3PY20_LIPST, tr|A0A1E3PY41|A0A1E3PY41_LIPST, tr|A0A1E3PYG5|A0A1E3PYG5_LIPST, tr|A0A1E3Q5I4|A0A1E3Q5I4_LIPST, tr|A0A1E3Q5J5|A0A1E3Q5J5_LIPST, tr|A0A1E3Q8G5|A0A1E3Q8G5_LIPST, tr|A0A1E3Q8P7|A0A1E3Q8P7_LIPST, tr|A0A1E3Q8R1|A0A1E3Q8R1_LIPST, tr|A0A1E3Q937|A0A1E3Q937_LIPST, tr|A0A1E3QAB3|A0A1E3QAB3_LIPST, tr|A0A1E3QED3|A0A1E3QED3_LIPST		tr|Q6C2L4|Q6C2L4_YARLI
OG0000024	P38124, P40558	tr|A0A1E3PYW0|A0A1E3PYW0_LIPST, tr|A0A1E3Q011|A0A1E3Q011_LIPST, tr|A0A1E3Q188|A0A1E3Q188_LIPST, tr|A0A1E3Q979|A0A1E3Q979_LIPST, tr|A0A1E3QE46|A0A1E3QE46_LIPST, tr|A0A1E3QEZ1|A0A1E3QEZ1_LIPST	Tortispora_caseinolytica@Seq_1612, Tortispora_caseinolytica@Seq_2354	sp|Q6C5D0|CFD1_YARLI, tr|Q6C0D8|Q6C0D8_YARLI, tr|Q6CCP4|Q6CCP4_YARLI, tr|Q6CD18|Q6CD18_YARLI, tr|Q6CD19|Q6CD19_YARLI
OG0000025	P53111, P53183, Q03049, Q12068	tr|A0A1E3QFX6|A0A1E3QFX6_LIPST	Tortispora_caseinolytica@Seq_3196	tr|Q6C0G5|Q6C0G5_YARLI, tr|Q6C2C1|Q6C2C1_YARLI, tr|Q6C9C1|Q6C9C1_YARLI, tr|Q6C9F5|Q6C9F5_YARLI, tr|Q6C9S0|Q6C9S0_YARLI, tr|Q6C9S3|Q6C9S3_YARLI, tr|Q6C9Z8|Q6C9Z8_YARLI, tr|Q6CBB9|Q6CBB9_YARLI, tr|Q6CFD7|Q6CFD7_YARLI
