Orthogroup	A.gossypii	K.marxianus	L.fermentati	s288c
OG0000010	tr|Q751M2|Q751M2_ASHGO, tr|Q757Z2|Q757Z2_ASHGO	KMXK_0A04820, KMXK_0E00890, KMXK_0F05590, KMXK_0H00900	tr|A0A1G4M769|A0A1G4M769_LACFM, tr|A0A1G4M9J5|A0A1G4M9J5_LACFM, tr|A0A1G4MFA0|A0A1G4MFA0_LACFM, tr|A0A1G4MGX0|A0A1G4MGX0_LACFM, tr|A0A1G4MH51|A0A1G4MH51_LACFM, tr|A0A1G4MH80|A0A1G4MH80_LACFM, tr|A0A1G4MJ05|A0A1G4MJ05_LACFM	sp|P27614|CBPS_YEAST
OG0000011	tr|Q757I1|Q757I1_ASHGO, tr|Q75DQ0|Q75DQ0_ASHGO, tr|Q75EJ5|Q75EJ5_ASHGO	KMXK_0B01710, KMXK_0D01240, KMXK_0D02430, KMXK_0G03150	tr|A0A1G4M9V8|A0A1G4M9V8_LACFM, tr|A0A1G4MBD6|A0A1G4MBD6_LACFM, tr|A0A1G4MBM3|A0A1G4MBM3_LACFM, tr|A0A1G4MF63|A0A1G4MF63_LACFM	sp|P00330|ADH1_YEAST, sp|P00331|ADH2_YEAST, sp|P07246|ADH3_YEAST
OG0000012	tr|Q757W5|Q757W5_ASHGO, tr|Q757X2|Q757X2_ASHGO, tr|Q757X3|Q757X3_ASHGO	KMXK_0E02560, KMXK_0E02570, KMXK_0E02580	tr|A0A1G4MGY7|A0A1G4MGY7_LACFM, tr|A0A1G4MH15|A0A1G4MH15_LACFM, tr|A0A1G4MH70|A0A1G4MH70_LACFM	sp|P46999|PIR5_YEAST, sp|P47001|CIS3_YEAST, sp|Q03178|PIR1_YEAST, sp|Q03180|PIR3_YEAST
OG0000013		KMXK_0A03220, KMXK_0A08370, KMXK_0A08390, KMXK_0C02750, KMXK_0D01050, KMXK_0D06600	tr|A0A1G4M7D7|A0A1G4M7D7_LACFM, tr|A0A1G4MAG9|A0A1G4MAG9_LACFM, tr|A0A1G4MJ15|A0A1G4MJ15_LACFM, tr|A0A1G4ML44|A0A1G4ML44_LACFM	sp|P38724|ARN2_YEAST, sp|P38731|ARN1_YEAST, sp|P39980|SIT1_YEAST
OG0000014			tr|A0A1G4M6H4|A0A1G4M6H4_LACFM, tr|A0A1G4M858|A0A1G4M858_LACFM, tr|A0A1G4M886|A0A1G4M886_LACFM, tr|A0A1G4M893|A0A1G4M893_LACFM, tr|A0A1G4M8U0|A0A1G4M8U0_LACFM, tr|A0A1G4MCB6|A0A1G4MCB6_LACFM, tr|A0A1G4MCC9|A0A1G4MCC9_LACFM, tr|A0A1G4MCN5|A0A1G4MCN5_LACFM, tr|A0A1G4MGC4|A0A1G4MGC4_LACFM, tr|A0A1G4MHK3|A0A1G4MHK3_LACFM, tr|A0A1G4MKE7|A0A1G4MKE7_LACFM, tr|A0A1G4MKL7|A0A1G4MKL7_LACFM, tr|A0A1G4MKR0|A0A1G4MKR0_LACFM	
OG0000015	tr|Q758W1|Q758W1_ASHGO, tr|Q75CG3|Q75CG3_ASHGO	KMXK_0A00970, KMXK_0D04260, KMXK_0E00190	tr|A0A1G4M7Q9|A0A1G4M7Q9_LACFM, tr|A0A1G4MC91|A0A1G4MC91_LACFM, tr|A0A1G4MI74|A0A1G4MI74_LACFM, tr|A0A1G4MIB6|A0A1G4MIB6_LACFM	sp|P40047|ALDH5_YEAST, sp|P46367|ALDH4_YEAST, sp|P54115|ALDH6_YEAST
OG0000016	tr|Q75AL8|Q75AL8_ASHGO, tr|Q75AS5|Q75AS5_ASHGO, tr|Q75AS6|Q75AS6_ASHGO	KMXK_0A04510, KMXK_0B03410, KMXK_0G01900	tr|A0A1G4MBH9|A0A1G4MBH9_LACFM, tr|A0A1G4MIS7|A0A1G4MIS7_LACFM, tr|A0A1G4ML53|A0A1G4ML53_LACFM, tr|A0A1G4ML64|A0A1G4ML64_LACFM	sp|Q08268|MCH4_YEAST, sp|Q08777|MCH5_YEAST
OG0000017	tr|Q754A6|Q754A6_ASHGO, tr|Q754W8|Q754W8_ASHGO, tr|Q756D3|Q756D3_ASHGO	KMXK_0C01430, KMXK_0C03220, KMXK_0D06270	tr|A0A1G4M9G1|A0A1G4M9G1_LACFM, tr|A0A1G4MB75|A0A1G4MB75_LACFM, tr|A0A1G4MG51|A0A1G4MG51_LACFM	sp|P26570|PPZ1_YEAST, sp|P32598|PP12_YEAST, sp|P32945|PPQ1_YEAST
OG0000018	tr|Q757Q4|Q757Q4_ASHGO, tr|Q75CZ9|Q75CZ9_ASHGO	KMXK_0A02920, KMXK_0A02930, KMXK_0A02940, KMXK_0A02950, KMXK_0A02960, KMXK_0E00380, KMXK_0H00480	tr|A0A1G4M7A2|A0A1G4M7A2_LACFM, tr|A0A1G4MFR0|A0A1G4MFR0_LACFM	sp|P43562|YFE0_YEAST
OG0000019	tr|Q753V1|Q753V1_ASHGO, tr|Q75AS9|Q75AS9_ASHGO, tr|Q75C79|Q75C79_ASHGO	KMXK_0B07060, KMXK_0C05830, KMXK_0D00840	tr|A0A1G4M6U3|A0A1G4M6U3_LACFM, tr|A0A1G4MA33|A0A1G4MA33_LACFM, tr|A0A1G4MJ21|A0A1G4MJ21_LACFM	sp|P38778|SMF2_YEAST, sp|P38925|SMF1_YEAST, sp|Q12078|SMF3_YEAST
OG0000020	sp|Q75DG6|DCW1_ASHGO, tr|Q752P3|Q752P3_ASHGO, tr|Q75CW6|Q75CW6_ASHGO, tr|Q75CW7|Q75CW7_ASHGO, tr|Q75CW8|Q75CW8_ASHGO	KMXK_0D04040, KMXK_0F02860	tr|A0A1G4MBJ8|A0A1G4MBJ8_LACFM, tr|A0A1G4ML50|A0A1G4ML50_LACFM	sp|P36091|DCW1_YEAST, sp|Q05031|DFG5_YEAST
OG0000021	tr|Q750H8|Q750H8_ASHGO, tr|Q75BG1|Q75BG1_ASHGO, tr|Q75CX1|Q75CX1_ASHGO, tr|Q75D67|Q75D67_ASHGO	KMXK_0B03320, KMXK_0E04510, KMXK_0G04240	tr|A0A1G4M6E5|A0A1G4M6E5_LACFM, tr|A0A1G4MAG8|A0A1G4MAG8_LACFM, tr|A0A1G4MIN0|A0A1G4MIN0_LACFM	sp|Q06593|OPT2_YEAST
OG0000022	tr|Q751P1|Q751P1_ASHGO, tr|Q751S4|Q751S4_ASHGO, tr|Q75CX3|Q75CX3_ASHGO	KMXK_0E02010, KMXK_0G02050, KMXK_0G02060	tr|A0A1G4M882|A0A1G4M882_LACFM, tr|A0A1G4ME13|A0A1G4ME13_LACFM, tr|A0A1G4MEE1|A0A1G4MEE1_LACFM	sp|P22146|GAS1_YEAST, sp|Q06135|GAS2_YEAST
OG0000023	tr|Q751Q2|Q751Q2_ASHGO	KMXK_0B02360, KMXK_0E00550, KMXK_0G00230	tr|A0A1G4MF18|A0A1G4MF18_LACFM, tr|A0A1G4MK35|A0A1G4MK35_LACFM, tr|A0A1G4MKT3|A0A1G4MKT3_LACFM, tr|A0A1G4MLG2|A0A1G4MLG2_LACFM	sp|Q05998|THI7_YEAST, sp|Q08485|NRT1_YEAST, sp|Q08579|THI72_YEAST
OG0000024	tr|Q752R0|Q752R0_ASHGO, tr|Q754I0|Q754I0_ASHGO, tr|Q754K3|Q754K3_ASHGO	KMXK_0C06870, KMXK_0D02550, KMXK_0F02700	tr|A0A1G4M857|A0A1G4M857_LACFM, tr|A0A1G4M8Q0|A0A1G4M8Q0_LACFM, tr|A0A1G4MGF7|A0A1G4MGF7_LACFM	sp|P18494|GLN3_YEAST, sp|P26343|DAL80_YEAST
OG0000025	tr|Q751X5|Q751X5_ASHGO, tr|Q75FA9|Q75FA9_ASHGO, tr|Q75FB0|Q75FB0_ASHGO	KMXK_0A02270, KMXK_0A02280, KMXK_0A07850	tr|A0A1G4MAA1|A0A1G4MAA1_LACFM, tr|A0A1G4MGJ3|A0A1G4MGJ3_LACFM, tr|A0A1G4MKM6|A0A1G4MKM6_LACFM	sp|P36110|PRY2_YEAST, sp|P47032|PRY1_YEAST
OG0000026	tr|Q755B7|Q755B7_ASHGO, tr|Q755B8|Q755B8_ASHGO	KMXK_0A06590, KMXK_0B00110, KMXK_0C00100, KMXK_0D06590, KMXK_0F05740, KMXK_0G00120, KMXK_0G00130, KMXK_0G04270	tr|A0A1G4MAH7|A0A1G4MAH7_LACFM	
OG0000027	tr|Q751P2|Q751P2_ASHGO, tr|Q75CX2|Q75CX2_ASHGO, tr|Q75EM6|Q75EM6_ASHGO	KMXK_0C04940, KMXK_0E02020, KMXK_0G02070	tr|A0A1G4M869|A0A1G4M869_LACFM, tr|A0A1G4MDZ1|A0A1G4MDZ1_LACFM	sp|P38631|FKS1_YEAST, sp|P40989|FKS2_YEAST, sp|Q04952|FKS3_YEAST
OG0000028	tr|Q752H5|Q752H5_ASHGO, tr|Q75DA0|Q75DA0_ASHGO	KMXK_0A01860, KMXK_0H00810	tr|A0A1G4M759|A0A1G4M759_LACFM, tr|A0A1G4MD42|A0A1G4MD42_LACFM, tr|A0A1G4MG10|A0A1G4MG10_LACFM, tr|A0A1G4MGA5|A0A1G4MGA5_LACFM	sp|P05316|FUR4_YEAST, sp|P38196|FUI1_YEAST, sp|Q04895|DAL4_YEAST
OG0000029	tr|Q758X3|Q758X3_ASHGO, tr|Q758X5|Q758X5_ASHGO	KMXK_0C05960, KMXK_0C05970, KMXK_0D01160, KMXK_0G02000, KMXK_0G02010	tr|A0A1G4MBC7|A0A1G4MBC7_LACFM, tr|A0A1G4MCF8|A0A1G4MCF8_LACFM	sp|P39720|OAF1_YEAST, sp|P52960|PIP2_YEAST
OG0000030		KMXK_0A00110, KMXK_0B08440, KMXK_0E00110	tr|A0A1G4M750|A0A1G4M750_LACFM, tr|A0A1G4MD04|A0A1G4MD04_LACFM, tr|A0A1G4MLA1|A0A1G4MLA1_LACFM	sp|P00635|PPA5_YEAST, sp|P24031|PPA3_YEAST, sp|P35842|PPAB_YEAST, sp|P38693|PPAC_YEAST, sp|P52290|PPAD_YEAST
OG0000031	sp|Q757I2|G3P_ASHGO	KMXK_0B03110, KMXK_0D02420, KMXK_0G00680	tr|A0A1G4M6T2|A0A1G4M6T2_LACFM, tr|A0A1G4MA13|A0A1G4MA13_LACFM, tr|A0A1G4MB07|A0A1G4MB07_LACFM	sp|P00358|G3P2_YEAST, sp|P00359|G3P3_YEAST, sp|P00360|G3P1_YEAST
OG0000032	tr|Q759M7|Q759M7_ASHGO, tr|Q75EA3|Q75EA3_ASHGO	KMXK_0B02860, KMXK_0D00720	tr|A0A1G4MA14|A0A1G4MA14_LACFM, tr|A0A1G4MAF2|A0A1G4MAF2_LACFM	sp|P40209|GAT2_YEAST, sp|P40569|GAT4_YEAST, sp|Q02710|ECM23_YEAST, sp|Q07928|GAT3_YEAST
OG0000033	tr|Q755Z5|Q755Z5_ASHGO, tr|Q759F4|Q759F4_ASHGO	KMXK_0F00240, KMXK_0F05620	tr|A0A1G4MDK3|A0A1G4MDK3_LACFM, tr|A0A1G4MHC6|A0A1G4MHC6_LACFM	sp|P36135|UTH1_YEAST, sp|P40472|SIM1_YEAST, sp|P46955|NCA3_YEAST, sp|P53616|SUN4_YEAST
OG0000034				sp|D6VPM8|YAJ3_YEAST, sp|P25354|YCP7_YEAST, sp|P38727|YHE4_YEAST, sp|P39547|UIP3_YEAST, sp|P39548|YAJ8_YEAST, sp|P39549|YAJ9_YEAST, sp|P39551|PRM9_YEAST, sp|P39552|MST28_YEAST, sp|P53174|PRM8_YEAST, sp|P53176|MST27_YEAST
OG0000035	sp|Q756H2|ENO_ASHGO	KMXK_0A03750	tr|A0A1G4MCE7|A0A1G4MCE7_LACFM, tr|A0A1G4MJD1|A0A1G4MJD1_LACFM	sp|P00924|ENO1_YEAST, sp|P00925|ENO2_YEAST, sp|P0CX10|ERR1_YEAST, sp|P0CX11|ERR2_YEAST, sp|P42222|ERR3_YEAST
OG0000036	tr|Q753H9|Q753H9_ASHGO, tr|Q75E76|Q75E76_ASHGO, tr|Q75E88|Q75E88_ASHGO	KMXK_0B02730, KMXK_0F05020	tr|A0A1G4M767|A0A1G4M767_LACFM, tr|A0A1G4M8M2|A0A1G4M8M2_LACFM, tr|A0A1G4MGC8|A0A1G4MGC8_LACFM	sp|P36035|JEN1_YEAST
OG0000037	tr|Q751M5|Q751M5_ASHGO, tr|Q757J1|Q757J1_ASHGO	KMXK_0A03420, KMXK_0F04300	tr|A0A1G4M9W7|A0A1G4M9W7_LACFM, tr|A0A1G4MDU1|A0A1G4MDU1_LACFM, tr|A0A1G4MKF6|A0A1G4MKF6_LACFM	sp|P00729|CBPY_YEAST, sp|P38109|YBY9_YEAST
OG0000038	tr|Q755B5|Q755B5_ASHGO, tr|Q758E1|Q758E1_ASHGO	KMXK_0A01970, KMXK_0E02510	tr|A0A1G4M9E4|A0A1G4M9E4_LACFM, tr|A0A1G4MHD4|A0A1G4MHD4_LACFM	sp|P05986|KAPC_YEAST, sp|P06244|KAPA_YEAST, sp|P06245|KAPB_YEAST
OG0000039	tr|Q751G3|Q751G3_ASHGO, tr|Q759X6|Q759X6_ASHGO	KMXK_0F01690, KMXK_0F03950	tr|A0A1G4MAU9|A0A1G4MAU9_LACFM, tr|A0A1G4MIH8|A0A1G4MIH8_LACFM	sp|P29547|EF1G1_YEAST, sp|P36008|EF1G2_YEAST, sp|P42936|YG4D_YEAST
OG0000040	tr|Q750C8|Q750C8_ASHGO, tr|Q75AY7|Q75AY7_ASHGO	KMXK_0D01350, KMXK_0G01420	tr|A0A1G4MCZ7|A0A1G4MCZ7_LACFM, tr|A0A1G4MDJ7|A0A1G4MDJ7_LACFM	sp|P38080|AKL1_YEAST, sp|P40494|PRK1_YEAST, sp|P53974|ARK1_YEAST
OG0000041	tr|Q752E8|Q752E8_ASHGO, tr|Q759I8|Q759I8_ASHGO	KMXK_0A07000, KMXK_0F00980	tr|A0A1G4M907|A0A1G4M907_LACFM, tr|A0A1G4MH48|A0A1G4MH48_LACFM	sp|P25360|PHO87_YEAST, sp|P27514|PHO91_YEAST, sp|P39535|PHO90_YEAST
OG0000042	tr|Q752A7|Q752A7_ASHGO, tr|Q752A8|Q752A8_ASHGO	KMXK_0A07470, KMXK_0A07480	tr|A0A1G4MGR2|A0A1G4MGR2_LACFM, tr|A0A1G4MGW2|A0A1G4MGW2_LACFM, tr|A0A1G4MH35|A0A1G4MH35_LACFM	sp|P04817|CAN1_YEAST, sp|P32487|LYP1_YEAST
OG0000043	tr|Q753G3|Q753G3_ASHGO, tr|Q75AD7|Q75AD7_ASHGO	KMXK_0E04120, KMXK_0G02910	tr|A0A1G4MCG0|A0A1G4MCG0_LACFM, tr|A0A1G4MHQ7|A0A1G4MHQ7_LACFM	sp|P53832|WSC2_YEAST, sp|P54867|SLG1_YEAST, sp|Q12215|WSC3_YEAST
OG0000044	tr|Q75DY9|Q75DY9_ASHGO	KMXK_0G00140, KMXK_0G00150, KMXK_0H03800	tr|A0A1G4M792|A0A1G4M792_LACFM, tr|A0A1G4MAF1|A0A1G4MAF1_LACFM, tr|A0A1G4ME60|A0A1G4ME60_LACFM, tr|A0A1G4MHP2|A0A1G4MHP2_LACFM	sp|P32837|UGA4_YEAST
OG0000045	tr|Q74ZY2|Q74ZY2_ASHGO	KMXK_0D01010, KMXK_0E01460	tr|A0A1G4M770|A0A1G4M770_LACFM, tr|A0A1G4M7B9|A0A1G4M7B9_LACFM, tr|A0A1G4M9X8|A0A1G4M9X8_LACFM, tr|A0A1G4MA20|A0A1G4MA20_LACFM, tr|A0A1G4MK42|A0A1G4MK42_LACFM	sp|Q04602|VBA4_YEAST
OG0000046		KMXK_0B08420, KMXK_0D00140, KMXK_0E03320, KMXK_0G03270	tr|A0A1G4M783|A0A1G4M783_LACFM, tr|A0A1G4M931|A0A1G4M931_LACFM, tr|A0A1G4MB53|A0A1G4MB53_LACFM, tr|A0A1G4MDA4|A0A1G4MDA4_LACFM	sp|P22580|AMDY_YEAST
OG0000047		KMXK_0C00200, KMXK_0D06610, KMXK_0G00700	tr|A0A1G4M8Z4|A0A1G4M8Z4_LACFM, tr|A0A1G4MAI8|A0A1G4MAI8_LACFM	sp|P53111|ARI1_YEAST, sp|P53183|YGD9_YEAST, sp|Q03049|YD541_YEAST, sp|Q12068|GRE2_YEAST
OG0000048			tr|A0A1G4M6J2|A0A1G4M6J2_LACFM, tr|A0A1G4MGM0|A0A1G4MGM0_LACFM, tr|A0A1G4MH17|A0A1G4MH17_LACFM	sp|P0CW40|MALX2_YEAST, sp|P0CW41|MALX4_YEAST, sp|P38158|MAL32_YEAST, sp|P53051|MALX3_YEAST, sp|P53341|MAL12_YEAST, sp|Q08295|IMA2_YEAST
OG0000049	sp|Q750T7|ACS2_ASHGO, sp|Q758X0|ACS1_ASHGO	KMXK_0C06020, KMXK_0E05360	tr|A0A1G4MCL2|A0A1G4MCL2_LACFM, tr|A0A1G4MJU6|A0A1G4MJU6_LACFM	sp|P52910|ACS2_YEAST, sp|Q01574|ACS1_YEAST
OG0000050	sp|Q8J1G4|KIP1_ASHGO, sp|Q8J1G7|CIN8_ASHGO, tr|Q759X8|Q759X8_ASHGO	KMXK_0G00410	tr|A0A1G4M7D5|A0A1G4M7D5_LACFM, tr|A0A1G4MCQ0|A0A1G4MCQ0_LACFM	sp|P27895|CIN8_YEAST, sp|P28742|KIP1_YEAST
OG0000051	sp|Q75D66|CARB_ASHGO, tr|Q75BK8|Q75BK8_ASHGO	KMXK_0F05420, KMXK_0G01880	tr|A0A1G4MH55|A0A1G4MH55_LACFM, tr|A0A1G4MIL4|A0A1G4MIL4_LACFM	sp|P03965|CARB_YEAST, sp|P07259|PYR1_YEAST
OG0000052	sp|Q758F0|GLYM_ASHGO, sp|Q75BQ6|GLYC_ASHGO	KMXK_0B03200, KMXK_0E00560	tr|A0A1G4M8D1|A0A1G4M8D1_LACFM, tr|A0A1G4MFD8|A0A1G4MFD8_LACFM	sp|P37291|GLYC_YEAST, sp|P37292|GLYM_YEAST
OG0000053	sp|Q74ZL5|H2B1_ASHGO, sp|Q8J1F8|H2B2_ASHGO	KMXK_0B01820, KMXK_0F04540	tr|A0A1G4M9X9|A0A1G4M9X9_LACFM, tr|A0A1G4MJL9|A0A1G4MJL9_LACFM	sp|P02293|H2B1_YEAST, sp|P02294|H2B2_YEAST
OG0000054	sp|Q753H5|IZH1_ASHGO, tr|Q75CB3|Q75CB3_ASHGO	KMXK_0G00520, KMXK_0G02780	tr|A0A1G4MCK9|A0A1G4MCK9_LACFM, tr|A0A1G4MCM0|A0A1G4MCM0_LACFM	sp|Q03419|IZH1_YEAST, sp|Q12442|IZH2_YEAST
OG0000055	sp|Q74ZL4|H2A1_ASHGO, sp|Q757L4|H2A2_ASHGO	KMXK_0B01810, KMXK_0F04530	tr|A0A1G4M9X6|A0A1G4M9X6_LACFM, tr|A0A1G4MJM8|A0A1G4MJM8_LACFM	sp|P04911|H2A1_YEAST, sp|P04912|H2A2_YEAST
OG0000056	tr|Q75BG0|Q75BG0_ASHGO, tr|Q75BJ8|Q75BJ8_ASHGO, tr|Q75BJ9|Q75BJ9_ASHGO, tr|Q75DJ6|Q75DJ6_ASHGO, tr|Q75DJ7|Q75DJ7_ASHGO	KMXK_0E02190	tr|A0A1G4MFC8|A0A1G4MFC8_LACFM	sp|P28319|CWP1_YEAST
