genes	logFC	logCPM	PValue	FDR	Portein_names
YALI0_D06149g	-3.250476132	2.016768406	0.000107631	0.002597307	similar to uniprot|P47032 Saccharomyces cerevisiaeYJL079c PRY1 protein precursor (Pathogen related in Sc 1)
YALI0_A09768g	-3.230448227	2.435166073	8.77381E-05	0.002257321	highly similar to uniprot|P23618 Fusarium oxysporumThiazole biosynthetic enzyme mitochondrial precursor(Stress- inducible protein sti35)
YALI0_D15026g	-3.217721353	2.373874002	0.000119181	0.002787189	weakly similar to uniprot|P46996 Saccharomycescerevisiae YJL163c
YALI0_A08195g	-3.196737042	1.99303904	7.88723E-06	0.000411836	similar to uniprot|Q6C4M5 Yarrowia lipolyticaYALI0E25443g
YALI0_B22990g	-3.188719235	2.060963117	3.01287E-06	0.000209758	weakly similar to uniprot|P09230 Yarrowialipolytica Alkaline extracellular protease precursor (EC3. 4.21.-) (AEP)
YALI0_E10659g	-3.18026127	2.530263016	0.000233975	0.004442593	uniprot|Q99156 Yarrowia lipolytica Lipase 1precursor (EC 3.1.1.3)
YALI0_D26466g	-3.15526051	4.063550521	1.53513E-05	0.000668942	no similarity possibly noncoding
YALI0_C21252g	-3.120100131	1.476447343	1.74838E-05	0.000699418	highly similar to uniprot|Q6CI06 Yarrowialipolytica YALI0A02783g
YALI0_E18722g	-3.093670847	4.755606913	0.000424468	0.006677927	no similarity
YALI0_A12573g	-3.090062393	3.534899575	0.000160289	0.003406555	weakly similar to uniprot|P08540 Kluyveromyceslactis Potential acid phosphatase
YALI0_E19921g	-3.088464071	3.378105653	1.99691E-06	0.000149325	weakly similar to uniprot|Q7S521 Neurospora crassaNCU05887.1
YALI0_C00451g	-3.079370976	5.364229053	0.000963896	0.011975081	similar to uniprot|P53388 Saccharomyces cerevisiaeYPL265W Dicarboxylic amino acid permease
YALI0_D07502g	-3.04175908	3.374972416	0.000133439	0.002982445	weakly similar to uniprot|P08458 Saccharomycescerevisiae YDR523c SPS1 ser/thr protein kinase
YALI0_C17303g	-3.031204795	0.544992987	1.11448E-07	1.98542E-05	similar to uniprot|P39709 Saccharomyces cerevisiaeYAL067C transporter SEO1 sulfoxyde ethionine resistance
YALI0_E32329g	-3.02731608	2.575575842	0.000335251	0.005736199	some similarities with uniprot|Q95XU8Caenorhabditis elegans
YALI0_D20922g	-3.00128787	2.10698801	7.12165E-06	0.000388611	similar to uniprot|Q874I3 Candida albicansH+/nucleoside cotransporter
YALI0_E33561g	-2.994010719	3.070481535	3.87474E-05	0.001248366	no similarity
YALI0_E19338g	-2.96341758	5.868896246	1.64989E-05	0.000697653	similar to uniprot|Q12691 Saccharomyces cerevisiaeYDR038c ENA5 P-type ATPase involved in Na+ efflux
YALI0_F13607g	-2.792951089	5.871746605	9.6423E-06	0.000470995	similar to uniprot|P39709 Saccharomyces cerevisiaeYAL067c SEO1 suppressor of sulfoxyde ethionine resistance
YALI0_C01782g	-2.774691743	0.808326641	3.23153E-06	0.000219925	no similarity
YALI0_F08085g	-2.750335621	1.67581087	0.000109883	0.002630667	no similarity
YALI0_A01023g	-2.743080474	6.101062136	3.02316E-05	0.001058639	similar to uniprot|Q12691 Saccharomyces cerevisiaeYDR038c ENA5 P-type ATPase involved in Na+ efflux
YALI0_E02728g	-2.726803129	7.073401737	1.58266E-06	0.000130409	highly similar to DEHA0F08019g Debaryomyceshansenii and uniprot|P49367 Saccharomyces cerevisiaeYDR234w LYS4 homoaconitase
YALI0_E22550g	-2.715477183	1.054587811	1.13964E-05	0.000535103	weakly similar to uniprot|P08640 Saccharomycescerevisiae YIR019c STA1 extracellular alpha-1 4-glucanglucosidase
YALI0_F30569g	-2.707688886	2.780584348	0.000138191	0.003054831	similar to uniprot|P17064 Saccharomyces cerevisiaeYER056c FCY2 purine-cytosine permease
YALI0_E31581g	-2.672578853	5.708476962	0.000105288	0.002550913	weakly similar to uniprot|Q871S2 Neurospora crassa7F4.170 Related to acid sphingomyelinase
YALI0_D04873g	-2.671494722	4.191688086	1.06276E-05	0.000510886	similar to uniprot|P38929 Saccharomyces cerevisiaeYGL006w PMC1 Ca2+-transporting P-type ATPase
YALI0_E20999g	-2.656306658	4.304082085	7.99225E-05	0.002123205	weakly similar to uniprot|Q9P4F1 Aspergillusparasiticus Monooxigenase
YALI0_C23474g	-2.626259047	5.779548975	0.000248618	0.004639957	no similarity
YALI0_B00814g	-2.607542403	2.46711479	0.003801707	0.029521716	some similarities with wi|NCU02644.1 Neurosporacrassa NCU02644.1 predicted protein
YALI0_C16522g	-2.606569129	-0.608134608	6.44316E-05	0.001858391	similar to uniprot|P39932 Saccharomyces cerevisiaeYDR536w STL1 member of the sugar permease familyP33.1.f24. 1
YALI0_E11517g	-2.602830961	5.395949336	1.47808E-05	0.000653484	weakly similar to uniprot|Q8TFK5 Yarrowialipolytica CWP1 Cell wall protein
YALI0_E20691g	-2.589837696	5.911220018	7.49749E-05	0.002054854	similar to uniprot|P54838 Saccharomyces cerevisiaeYML070w dihydroxyacetone kinase
YALI0_B10802g	-2.556528345	5.517831433	8.70368E-05	0.002252914	similar to uniprot|Q8X005 Neurospora crassa Glycinerich protein (het-COR)
YALI0_A11649g	-2.545590714	0.838167058	4.32756E-06	0.000275916	similar to uniprot|Q6CH30 Yarrowia lipolyticaYALI0A13233g threonine-rich protein
YALI0_D26488g	-2.542556058	6.008099601	8.95746E-05	0.002283829	similar to uniprot|Q9C0V7 Schizosaccharomyces pombePutative arylsulfatase
YALI0_B23496g	-2.525518008	8.32977134	6.48474E-07	6.89089E-05	no similarity possibly noncoding
YALI0_E25201g	-2.518105666	2.12227399	3.51972E-05	0.001157942	similar to uniprot|P53049 Saccharomyces cerevisiaeYGR281w YOR1 ATP-binding cassette transporter protein
YALI0_E05423g	-2.473212135	4.873156715	0.000179168	0.003703827	some similarities with uniprot|Q8X014 Neurosporacrassa B23D6.090
YALI0_D19558g	-2.467060611	5.399428192	0.000342955	0.005851491	similar to uniprot|P32901 Saccharomyces cerevisiaeYKR093W Peptide transporter PTR2 (Peptide permease PTR2)
YALI0_E14949g	-2.460009465	7.244281382	5.14352E-06	0.000311543	highly similar to uniprot|P39533 Saccharomycescerevisiae YJL200c strong similarity to aconitatehydratase
YALI0_D22396g	-2.450722449	6.99624211	2.27331E-10	1.72118E-07	weakly similar to uniprot|P29029 Saccharomycescerevisiae YLR286c CTS1endochitinase singleton
YALI0_E05819g	-2.384059875	6.47278082	0.000113819	0.002689293	weakly similar to uniprot|P08640 Saccharomycescerevisiae YIR019c STA1 extracellular alpha-1 4-glucanglucosidase
YALI0_C05687g	-2.34932687	7.38923984	1.291E-07	2.17211E-05	similar to uniprot|Q6C2W3 Yarrowia lipolyticaYALI0F04620g
YALI0_F30041g	-2.335041167	4.288965583	8.59269E-05	0.002233731	similar to uniprot|Q06593 Saccharomyces cerevisiaeYPR194c OPT2 oligopeptide transporter
YALI0_E09262g	-2.333968039	5.243926104	9.82689E-05	0.002439405	similar to uniprot|O94021 Candida albicans CA49C10.07C hypothetical 48.1 kDa protein
YALI0_E20713g	-2.322729464	5.381757931	0.00015185	0.003273145	similar to uniprot|P43548 Saccharomyces cerevisiaeYFL055w AGP3 amino acid permease
YALI0_B12606g	-2.318485648	3.826335983	7.6926E-05	0.002090489	no similarity
YALI0_C08960g	-2.317122993	5.60828966	9.49062E-07	9.40428E-05	some similarities with uniprot|Q03018 Saccharomycescerevisiae YGR098c ESP1 required for sister chromatidseparation
YALI0_C15092g	-2.316205671	4.376720543	3.70522E-06	0.00024394	some similarities with uniprot|P41913 Saccharomycescerevisiae YOR355W GDS1 protein
YALI0_E04246g	-2.307021276	5.216356281	0.00018312	0.003756408	similar to uniprot|P53960 Saccharomyces cerevisiaeYNL040w
YALI0_B18084g	-2.302891491	2.661005731	0.000417976	0.006592922	no similarity
YALI0_E20823g	-2.292273287	3.959500887	3.44444E-08	7.19414E-06	weakly similar to uniprot|Q12303 Saccharomycescerevisiae YLR121c YPS3 GPI-anchored aspartyl protease 3(yapsin 3)
YALI0_E22605g	-2.289871843	4.903237906	2.95697E-08	6.63348E-06	weakly similar to uniprot|Q96UP3 Schizosacharomycespombe Telomere length regulator protein rif1
YALI0_F03619g	-2.276225807	3.737837099	0.000455198	0.006980092	some similarities with uniprot|Q7SG20 Neurosporacrassa NCU02600.1 hypothetical protein
YALI0_D25014g	-2.262196199	6.831391995	2.0163E-17	6.10635E-14	weakly similar to uniprot|Q97P71 Streptococcuspneumoniae Cell wall surface anchor family protein
YALI0_D04092g	-2.252621906	4.509074831	2.23033E-05	0.000823724	similar to uniprot|P14065 Saccharomyces cerevisiaeYOR120w GCY1 galactose-induced protein of aldo/ketoreductase family
YALI0_F25553g	-2.243592408	6.601832564	6.63741E-07	6.93152E-05	similar to uniprot|Q9P702 Neurospora crassaprobable sugar transporter
YALI0_A17193g	-2.242630735	0.399615584	1.13274E-06	0.000102403	no similarity
YALI0_B21846g	-2.239078408	2.472498477	0.002401213	0.02241009	similar to uniprot|Q00415 Coccidioides immitis4-hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27)(4HPPD) (HPD) (HPPDase)
YALI0_E25982g	-2.236700944	1.170822432	0.002204471	0.021060695	uniprot|O74127 Yarrowia lipolytica ALK1n-alkane-inducible cytochrome P450
YALI0_B09009g	-2.23588493	7.145514974	3.922E-05	0.001250292	weakly similar to uniprot|Q08967 Saccharomycescerevisiae YPL221w BOP1
YALI0_B14333g	-2.226251128	6.518372181	0.000625608	0.008776016	similar to uniprot|P22507 Saccharomycopsisfibuligera Beta-glucosidase 2 precursor (EC 3.2.1.21)
YALI0_F28325g	-2.210398183	1.760362707	0.000547095	0.008004232	no similarity
YALI0_B14619g	-2.209847323	4.932217319	0.001025289	0.01229963	weakly similar to uniprot|P32528 Saccharomycescerevisiae YBR208c DUR1_2 urea amidolyase
YALI0_C16346g	-2.20487545	4.884835089	1.11945E-10	9.68645E-08	some similarities with uniprot|P25558 Saccharomycescerevisiae YCL014W Bud site selection protein BUD3
YALI0_C21186g	-2.198154184	5.532613712	1.31739E-06	0.000112386	no similarity
YALI0_B06160g	-2.193485273	5.055749195	3.38973E-05	0.00112811	highly similar to uniprot|Q6CH24 Yarrowialipolytica YALI0A13497g
YALI0_E33583g	-2.190395252	2.905262217	9.48436E-05	0.002383683	similar to uniprot|P33413 Saccharomyces cerevisiaeYHL016c DUR3 urea transport protein singleton
YALI0_F25795g	-2.186266175	7.567763783	1.18533E-05	0.000548059	similar to uniprot|P50276 Saccharomyces cerevisiaeYGR055w MUP1 high affinity methionine permease
YALI0_E11407g	-2.181094522	5.23627688	0.000183572	0.003756408	weakly similar to uniprot|Q8J2U0 Aspergillus oryzaeMOXY monooxygenase
YALI0_B15466g	-2.169425227	2.084708424	0.000982967	0.012074067	similar to uniprot|Q6C860 Yarrowia lipolyticaYALI0D22462g
YALI0_F01518g	-2.164904956	5.454424027	0.001323859	0.014574423	some similarities with uniprot|Q6CF33 Yarrowialipolytica YALI0B10626g
YALI0_A21351g	-2.164529253	7.393141825	1.61478E-06	0.000130409	no similarity
YALI0_D16137g	-2.161949151	0.891230942	0.000405678	0.006449316	similar to uniprot|P50276 Saccharomyces cerevisiaeYGR055w MUP1 high affinity methionine permease
YALI0_F20196g	-2.161009257	6.040931225	4.61958E-05	0.001449783	similar to uniprot|P33753 Saccharomyces cerevisiaeYKR056w RNC1 tRNA(m5U54)methyltransferase
YALI0_F31735g	-2.12412077	6.254494005	1.21727E-12	1.84325E-09	highly similar to uniprot|Q9P839 Candida albicansRNR1 ribonucleotide reductase large subunit
YALI0_C08965g	-2.117633613	5.321810253	8.08112E-09	2.57617E-06	no similarity
YALI0_F01628g	-2.116188486	6.81791794	9.7436E-05	0.002428682	similar to DEHA-IPF7297.1 Debaryomyces hansenii
YALI0_C01969g	-2.11504932	5.527264294	4.87917E-05	0.001500159	no similarity
YALI0_A09614g	-2.108691427	1.278912441	0.000140043	0.00307333	no similarity
YALI0_A21120g	-2.102958961	1.766470072	0.003313463	0.027530378	no similarity
YALI0_A20130g	-2.094559698	4.351223444	0.004529163	0.032388595	similar to uniprot|O74129 Yarrowia lipolytica ALK3cytochrome P450
YALI0_B18986g	-2.093972047	6.87913181	0.000262646	0.004824328	similar to uniprot|Q9C101 Schizosaccharomyces pombePutative membrane transporter
YALI0_D13266g	-2.09292742	0.986821622	0.006037291	0.03936262	no similarity
YALI0_C00869g	-2.091357658	4.131984156	0.000485972	0.00734048	no similarity
YALI0_E24673g	-2.089403788	7.076927001	3.93938E-09	1.67809E-06	weakly similar to uniprot|P53301 Saccharomycescerevisiae YGR189c CRH1
YALI0_A18139g	-2.066433864	5.489858365	1.46683E-07	2.40123E-05	no similarity
YALI0_B08338g	-2.054115073	6.748068282	0.004330185	0.031561326	similar to uniprot|Q12019 Saccharomyces cerevisiaeYLR106C Midasin (MIDAS-containing protein)
YALI0_D10989g	-2.050974519	5.65536497	0.000174785	0.003650598	weakly similar to uniprot|Q07527 Saccharomycescerevisiae YDL112w TRM3 tRNA (guanosine-2-O-)-methyltransferase
YALI0_C20779g	-2.03523175	1.447837392	0.000155998	0.003338799	weakly similar to uniprot|Q6CH30 Yarrowialipolytica YALI0A13233g
YALI0_F03630g	-2.035131672	4.33956126	0.014694364	0.06931757	similar to uniprot|P39529 Saccharomyces cerevisiaeYJL206C YJU6 putative 86.7 kDa transcriptional regulatoryprotein
YALI0_F20570g	-2.019968985	5.791143766	2.28369E-11	2.30539E-08	similar to uniprot|P36051 Saccharomyces cerevisiaeYKL165c MCD4 sporulation protein
YALI0_C03762g	-2.018575869	4.035216629	2.67399E-05	0.000952727	similar to uniprot|Q8AWD3 Brachydanio rerio Similarto lipoyltransferase (Fragment)
YALI0_B20284g	-2.011627501	1.047493253	0.002097566	0.020276026	weakly similar to uniprot|Q6C189 Yarrowialipolytica YALI0F18326g
YALI0_A04323g	-2.009918831	3.955688577	2.39288E-05	0.000867886	weakly similar to uniprot|Q7S0H1 Neurospora crassaNCU06945.1 related to 2'-hydroxyisoflavone reductase
YALI0_B17028g	-2.001470169	2.349656471	0.004147575	0.030862236	weakly similar to uniprot|Q8XQP2 Ralstoniasolanacearum Putative hemagglutinin/hemolysin-relatedprotein
YALI0_A06633g	-1.997368323	6.324808466	3.33572E-05	0.001127748	no similarity
YALI0_F26477g	-1.9881526	1.503040213	0.000383291	0.00621921	no similarity
YALI0_E11869g	-1.981811975	5.822575638	2.79062E-08	6.63348E-06	similar to uniprot|P13382 Saccharomyces cerevisiaeYNL102w CDC17 DNA-directed DNA polymerase alpha 180 KDsubunit
YALI0_F05016g	-1.97886317	5.500607916	9.48129E-14	1.91427E-10	no similarity
YALI0_F16665g	-1.962878665	6.62385297	3.3161E-08	7.17343E-06	some similarities with uniprot|P23201 Saccharomycescerevisiae YLL021w SPA2 involved in cell polarity
YALI0_E17611g	-1.954985004	5.800571542	1.75519E-05	0.000699418	weakly similar to uniprot|O43119 Aspergillus nigerPeptide-N4-(N-acetyl-beta-D-glucosaminyl) asparaginaseamidase N
YALI0_D25366g	-1.951086953	1.319253805	0.000241742	0.004547305	similar to uniprot|Q8I1N3 Trypanosoma cruziAscorbate- dependent peroxidase CCP1 homologue
YALI0_A08426g	-1.946861804	4.939446175	1.12131E-11	1.35835E-08	similar to uniprot|P15436 Saccharomyces cerevisiaeYDL102w CDC2 DNA-directed DNA polymerase delta catalytic125 KD subunit
YALI0_B01364g	-1.941652446	6.834099254	0.000126642	0.002894597	uniprot|Q9P3Y5 Yarrowia lipolytica3-isopropylmalate dehydratase
YALI0_A20273g	-1.936056616	4.136965905	0.000240386	0.004535882	weakly similar to uniprot|P38993 Saccharomycescerevisiae YMR058w FET3 cell surface ferroxidase (highaffinity)
YALI0_F21450g	-1.931623528	6.994653447	6.17206E-06	0.000349385	no similarity
YALI0_F01584g	-1.929396238	6.175882442	0.000224482	0.004301185	similar to uniprot|Q9RJR2 Streptomyces coelicolorPutative triosephosphate isomerase
YALI0_E26917g	-1.920977152	5.712083864	0.00044308	0.006881381	no similarity
YALI0_F10945g	-1.918069346	5.165974814	2.19084E-06	0.000159878	no similarity
YALI0_A08734g	-1.914154442	5.223670768	7.71546E-05	0.002090489	similar to uniprot|O94562 Schizosaccharomyces pombeAminotransferase
YALI0_B06369g	-1.902766365	3.788532881	6.85552E-06	0.000380953	similar to uniprot|Q08032 Saccharomyces cerevisiaeYLR103C Cell division control protein 45
YALI0_B13838g	-1.887684125	5.796025931	0.000274747	0.004952805	uniprot|O74131 Yarrowia lipolytica ALK5 CYP52family member
YALI0_A06930g	-1.88603163	1.445768953	0.00055607	0.008077012	weakly similar to uniprot|Q96QF7 Homo sapiens NAAR1Putative nuclear protein
YALI0_F19888g	-1.86513313	5.839565878	0.000767923	0.010185811	weakly similar to DEHA-IPF1503.1 Debaryomyceshansenii DEHA0D08371g
YALI0_B10956g	-1.862560893	3.079448429	0.005639729	0.037579582	similar to DEHA0E11704g Debaryomyces hansenii
YALI0_E33825g	-1.860907513	5.35480148	6.08524E-09	2.04768E-06	weakly similar to wi|NCU04826.1 Neurospora crassaNCU04826.1
YALI0_E00418g	-1.851831289	7.912692066	3.00342E-06	0.000209758	highly similar to uniprot|Q9C2Y6 Saccharomycespastorianus MET14-CA Adenosine-5 -phosphosulfate kinase
YALI0_A12243g	-1.839381143	0.791129283	0.001008548	0.012193162	no similarity
YALI0_F06028g	-1.836535094	4.666429778	6.17997E-07	6.6843E-05	weakly similar to uniprot|Q8WZV3 Neurospora crassaConserved hypothetical protein
YALI0_F13343g	-1.834559269	7.467847221	3.61879E-09	1.67809E-06	weakly similar to uniprot|P08964 Saccharomycescerevisiae YHR023w MYO1 myosin-1 isoform (type II myosin)heavy chain
YALI0_D16929g	-1.830999311	4.95959467	5.76737E-05	0.001704047	weakly similar to uniprot|P36056 Saccharomycescerevisiae YKL155c CAP1 putative cytochrome c oxidase
YALI0_F18282g	-1.826626838	6.561036618	5.79179E-08	1.13164E-05	similar to uniprot|Q8TFK5 Yarrowia lipolytica Cellwall protein CWP1
YALI0_B12738g	-1.824212526	5.951037732	1.86213E-08	4.69956E-06	no similarity
YALI0_E28831g	-1.816647145	2.891652506	0.000583374	0.008353425	weakly similar to CA1345|Candida albicans IPF6003
YALI0_C10450g	-1.809927424	4.051333173	1.80012E-06	0.000141601	weakly similar to uniprot|Q04018 Saccharomycescerevisiae YMR244w Hypothetical 37.4 kDa protein
YALI0_A02266g	-1.788431077	4.315617768	1.69094E-06	0.000134764	weakly similar to uniprot|Q6CFK0 Yarrowialipolytica YALI0E24255g transposon Mutyl MudrA
YALI0_C03377g	-1.786728668	5.889249262	4.15574E-09	1.67809E-06	weakly similar to uniprot|P26309 Saccharomycescerevisiae YGL116w CDC20 cell division control protein
YALI0_E11539g	-1.778951255	7.687427279	8.88469E-06	0.000445766	weakly similar to uniprot|Q03707 Saccharomycescerevisiae YML034W SRC1 protein
YALI0_B21560g	-1.776183405	6.875548818	8.79524E-05	0.002257321	weakly similar to uniprot|P35735 Saccharomycescerevisiae YKL051w
YALI0_D23969g	-1.766320917	6.15658873	1.60967E-06	0.000130409	similar to uniprot|P06786 Saccharomyces cerevisiaeYNL088w TOP2 DNA topoisomerase II (ATP-hydrolysing)
YALI0_B03476g	-1.764423657	4.693543633	3.48609E-07	4.399E-05	similar to uniprot|Q9Y7R3 Schizosaccharomyces pombeCondensin complex subunit 2 (p105)
YALI0_C22660g	-1.762709843	3.534879481	0.000219348	0.004231178	weakly similar to uniprot|Q08902 Saccharomycescerevisiae YOR378W
YALI0_F03157g	-1.761667897	5.454900242	0.000268473	0.004898015	some similarities with uniprot|Q12041 Saccharomycescerevisiae YDR253c MET32 transcriptional regulator ofsulfur amino acid metabolism
YALI0_F21428g	-1.759737303	9.518378941	2.24367E-06	0.000161785	some similarities with uniprot|P10667 Xenopuslaevis Integumentary mucin A.1 precursor (FIM-A.1)(Preprospasmolysin)
YALI0_E06875g	-1.758539849	2.770888061	0.001032689	0.012337277	no similarity possibly noncoding
YALI0_B07645g	-1.755183674	2.588359107	0.012693072	0.062937671	similar to uniprot|Q6C398 Yarrowia lipolyticaYALI0F01518g
YALI0_E08250g	-1.750189099	1.238040879	0.003384105	0.02767662	no similarity
YALI0_D00407g	-1.742094212	3.518980947	0.004917392	0.033980222	similar to uniprot|P40445 Saccharomyces cerevisiaePutative transporter YIL166C
YALI0_B18942g	-1.739925529	2.429991474	0.002288392	0.021522971	weakly similar to uniprot|Q6CGT3 Yarrowialipolytica YALI0A16423g
YALI0_D16313g	-1.736913859	6.684384308	0.000569058	0.008206623	weakly similar to uniprot|Q06132 Saccharomycescerevisiae YLR336c SGD1 involved in HOG pathway
YALI0_E25762g	-1.732895617	4.685031825	4.55177E-06	0.000281327	weakly similar to uniprot|P25588 Saccharomycescerevisiae YCL061c related to Uridine Kinase URK1
YALI0_F30745g	-1.730967852	7.565510846	0.000285435	0.005084945	similar to uniprot|Q9HFV0 Yarrowia lipolyticaC1-THFS protein and uniprot|P09440 Saccharomycescerevisiae YBR084w MIS1 C1-tetrahydrofolate synthase
YALI0_C00759g	-1.729938556	7.457279933	0.002128211	0.02049376	similar to uniprot|Q877C1 Pichia anomala Na+/H+exchanger HaNHA1
YALI0_A00550g	-1.72440977	2.67199687	3.32719E-05	0.001127748	similar to uniprot|Q6C2C4 Yarrowia lipolyticaYALI0F09031g
YALI0_F07128g	-1.723297268	4.366271929	1.67013E-05	0.000697653	no similarity
YALI0_B19206g	-1.722510544	6.346127089	1.75128E-07	2.71987E-05	similar to uniprot|P24871 Saccharomyces cerevisiaeYLR210w CLB4 cyclin G2/M-specific P6.2.f6.1
YALI0_B06512g	-1.719995329	4.432997181	1.02816E-06	9.80613E-05	similar to uniprot|Q9Y8F5 Emericella nidulans Drugresistance protein MdrA
YALI0_D03245g	-1.712869546	5.719216007	0.00384437	0.029665372	highly similar to uniprot|Q6C2W4 Yarrowialipolytica YALI0F04598g
YALI0_A00506g	-1.711101632	6.595167208	5.05084E-09	1.85664E-06	weakly similar to uniprot|P43633 Saccharomycescerevisiae YGL021w ALK1 DNA damage-responsive protein
YALI0_E22825g	-1.700591571	4.448015899	0.000135609	0.003008729	some similarities with uniprot|Q09825Schizosaccharomyces pombe Spindle pole body associatedprotein sad1
YALI0_F10131g	-1.686075245	6.437460504	4.37576E-06	0.000276083	weakly similar to uniprot|Q873A0 Neurospora crassaB24N11.240.gene CAD70410 and KLLA0E16016g Kluyveromyceslactis
