Geneid,Std_1,Std_2,Std_3,Doc_1,Doc_2,Doc_3
YALI0_A01155g,1535,1153,1169,1178,1267,1135
YALI0_A01265g,4,10,0,0,0,2
YALI0_A01331g,1880,1980,1235,874,938,686
YALI0_A01353g,1735,1735,1319,806,919,836
YALI0_A01375g,1228,1302,1023,1326,750,508
YALI0_A01397g,3171,3317,3126,2222,2779,2766
YALI0_A01419g,4134,5618,6115,5216,4537,3351
YALI0_A01441g,88,68,27,24,24,38
YALI0_A01452g,1655,2614,4935,4253,5024,4803
YALI0_A01463g,682,859,939,835,935,794
YALI0_A01485g,840,937,265,174,208,180
YALI0_A01540g,0,0,0,0,0,0
YALI0_A01562g,2,0,0,0,0,0
YALI0_A01602g,0,0,0,0,0,0
YALI0_A01650g,103,79,163,56,57,25
YALI0_A01716g,26,8,4,3,6,10
YALI0_A01738g,1785,2061,2460,2474,2100,1566
YALI0_A01760g,816,686,362,208,275,262
YALI0_A01782g,2166,2421,2603,1080,1733,1707
YALI0_A01826g,941,1078,773,519,431,417
YALI0_A01848g,17,14,5,4,10,9
YALI0_A01870g,10,13,6,2,3,0
YALI0_A01892g,8381,9183,6830,4684,7477,8349
YALI0_A01958g,50,37,0,0,1,0
YALI0_A01980g,23,57,126,89,148,190
YALI0_A02002g,101,115,102,80,57,105
YALI0_A02024g,195,238,177,87,135,146
YALI0_A02046g,204,207,39,42,37,45
YALI0_A02068g,1362,1433,672,620,392,257
YALI0_A02090g,3241,3152,2837,1812,2456,2438
YALI0_A02112g,2137,2304,2653,3712,3812,3272
YALI0_A02134g,3814,3781,3039,1474,2792,2968
YALI0_A02156g,518,556,647,850,569,460
YALI0_A02178g,799,954,1032,964,1140,1090
YALI0_A02200g,2106,2321,2313,1398,2138,2302
YALI0_A02222g,7383,7720,5281,2933,5007,5084
YALI0_A02244g,988,701,533,435,597,629
YALI0_A02266g,1282,1168,556,188,300,226
YALI0_A02288g,2079,2108,2206,1705,1893,1757
YALI0_A02310g,8794,10236,10554,4663,6216,5340
YALI0_A02332g,1741,1796,1115,563,973,982
YALI0_A02354g,5774,6777,8819,4118,10255,13546
YALI0_A02409g,268,258,309,212,256,239
YALI0_A02416g,30,26,21,19,43,50
YALI0_A02423g,54,72,18,48,34,146
YALI0_A02431g,350,366,531,527,572,481
YALI0_A02453g,2167,2369,2030,912,1889,2112
YALI0_A02475g,12,21,17,17,21,18
YALI0_A02497g,1650,1796,2739,1789,2406,2726
YALI0_A02541g,4006,3497,2538,1265,1954,1845
YALI0_A02563g,778,1060,1362,1394,1095,945
YALI0_A02585g,611,877,962,934,1066,960
YALI0_A02607g,814,715,355,294,446,488
YALI0_A02629g,38,34,123,242,230,197
YALI0_A02651g,4393,5740,4324,3314,3044,2871
YALI0_A02673g,3254,3194,3177,6583,6593,5364
YALI0_A02695g,9561,9561,6159,4232,5171,5382
YALI0_A02717g,3402,4411,5493,5068,6028,5340
YALI0_A02783g,3362,5050,353,126,128,158
YALI0_A02849g,2865,3439,2882,2971,2219,1765
YALI0_A02871g,545,675,768,685,700,581
YALI0_A02893g,654,726,661,419,718,791
YALI0_A02915g,20287,26118,25437,18315,20461,19543
YALI0_A02937g,817,845,831,640,697,591
YALI0_A02959g,1373,1522,1584,768,1314,1281
YALI0_A02981g,4942,5603,3536,2035,3188,2957
YALI0_A03003g,3102,4277,3595,3428,2480,1714
YALI0_A03025g,4718,5904,8144,5987,8684,8923
YALI0_A03069g,2,0,0,0,0,1
YALI0_A03091g,4,4,2,0,0,0
YALI0_A03113g,2245,2482,3805,8493,4121,2398
YALI0_A03135g,150,170,140,46,88,122
YALI0_A03179g,2,0,0,0,0,0
YALI0_A03201g,63,38,28,12,16,31
YALI0_A03245g,638,965,974,482,754,810
YALI0_A03399g,2540,2771,2278,1637,1352,1111
YALI0_A03421g,295,351,361,473,392,554
YALI0_A03443g,5934,6440,4945,2900,5019,5349
YALI0_A03509g,8401,7254,3113,1502,3062,2910
YALI0_A03531g,292,305,225,181,112,100
YALI0_A03553g,2859,2866,2532,1886,2779,2813
YALI0_A03575g,937,1115,1672,4840,2402,1709
YALI0_A03597g,9251,10209,9714,5393,6671,6780
YALI0_A03641g,2045,1908,1926,2384,2221,1909
YALI0_A03663g,1365,1703,3853,5189,4348,3864
YALI0_A03685g,287,361,393,318,379,344
YALI0_A03751g,1650,1883,1658,1827,1840,1617
YALI0_A03773g,4862,4441,3300,3272,3219,2524
YALI0_A03817g,1930,1854,3640,2743,5450,5642
YALI0_A03839g,11333,12047,7811,4519,6884,7429
YALI0_A03861g,649,648,628,452,758,786
YALI0_A03883g,5309,5243,4399,3083,3580,3248
YALI0_A03905g,5596,5079,3191,3168,3086,2307
YALI0_A03927g,1116,1284,1206,757,1074,924
YALI0_A03949g,179,182,247,118,422,359
YALI0_A03971g,254,294,593,623,536,354
YALI0_A03993g,70,65,146,135,175,135
YALI0_A04059g,60,131,416,271,692,738
YALI0_A04191g,398,390,819,521,666,579
YALI0_A04279g,46,44,2,0,2,2
YALI0_A04301g,197,225,228,139,236,231
YALI0_A04323g,1217,841,355,112,172,211
YALI0_A04345g,2811,2844,2546,2738,2149,1736
YALI0_A04367g,901,961,1216,2072,1658,1370
YALI0_A04455g,864,1258,1947,3226,2569,2466
YALI0_A04499g,1,1,0,0,0,0
YALI0_A04521g,19,31,6,6,0,0
YALI0_A04587g,2242,3044,4084,5589,3928,3067
YALI0_A04609g,6085,6191,4935,2050,2698,2205
YALI0_A04631g,10,25,16,11,25,19
YALI0_A04653g,1015,944,576,944,639,488
YALI0_A04675g,796,902,821,689,732,746
YALI0_A04697g,3986,4652,4003,2051,4650,5395
YALI0_A04719g,7,6,1,3,3,0
YALI0_A04741g,279,324,294,124,186,125
YALI0_A04785g,481,714,817,572,654,639
YALI0_A04873g,403,631,1756,1596,2277,2423
YALI0_A04895g,1619,2295,4418,5109,5381,5755
YALI0_A04917g,8458,10509,11601,7779,10176,8953
YALI0_A04939g,4757,3810,1550,904,1596,1650
YALI0_A04961g,1703,1903,1434,1540,1190,905
YALI0_A04983g,10094,13335,18573,11365,16658,16938
YALI0_A05005g,7,0,4,7,5,7
YALI0_A05027g,1821,2019,2081,1769,2443,2431
YALI0_A05115g,850,872,1064,1559,984,739
YALI0_A05137g,1659,2895,3835,4637,3134,2817
YALI0_A05159g,474,411,450,418,487,444
YALI0_A05181g,4389,3638,1678,1450,1436,1170
YALI0_A05203g,183,161,90,55,59,68
YALI0_A05225g,9,6,3,0,3,5
YALI0_A05247g,2427,2587,2434,1143,2036,2448
YALI0_A05291g,128,123,92,41,66,74
YALI0_A05357g,2631,2589,2031,1376,1751,1351
YALI0_A05379g,4173,4504,3233,1755,3105,3066
YALI0_A05401g,500,610,458,354,375,269
YALI0_A05423g,997,1046,680,646,530,394
YALI0_A05533g,420,468,346,248,322,334
YALI0_A05555g,3542,2944,1297,1683,1222,1105
YALI0_A05577g,6848,6193,3820,2209,4339,4998
YALI0_A05665g,197,160,84,26,46,111
YALI0_A05775g,410,477,542,564,466,351
YALI0_A05885g,2938,2498,1116,1231,1135,821
YALI0_A05929g,2333,2731,2151,1685,2177,2048
YALI0_A05951g,835,713,599,464,671,756
YALI0_A05973g,32,37,50,40,57,63
YALI0_A05995g,2316,2353,2065,2261,2091,1967
YALI0_A06017g,2,1,0,0,0,0
YALI0_A06039g,0,4,0,0,0,0
YALI0_A06061g,487,607,425,148,135,121
YALI0_A06105g,4,4,0,0,2,0
YALI0_A06171g,21,29,17,17,4,15
YALI0_A06215g,16,8,7,4,6,6
YALI0_A06347g,451,632,1185,1020,1444,1616
YALI0_A06369g,2100,2242,2023,1358,2053,1985
YALI0_A06435g,449,946,3688,2776,4606,5268
YALI0_A06457g,37,46,52,43,52,56
YALI0_A06479g,2792,2463,1660,1236,1543,1599
YALI0_A06501g,2490,2897,2098,2026,1416,940
YALI0_A06523g,2592,2826,2206,2017,1672,1294
YALI0_A06589g,3036,3693,2208,2609,2414,2113
YALI0_A06611g,2359,2465,1778,1090,1458,1308
YALI0_A06633g,6100,4894,1558,717,840,1000
YALI0_A06655g,11175,10950,8581,4584,8928,10622
YALI0_A06677g,302,277,348,236,390,550
YALI0_A06699g,77,78,238,806,406,319
YALI0_A06721g,110,105,147,156,135,117
YALI0_A06743g,2441,2399,2669,2224,2389,2046
YALI0_A06765g,10080,11964,10332,7092,9311,10325
YALI0_A06787g,2764,3089,4763,2013,3853,3976
YALI0_A06809g,1733,2174,3110,2873,2413,2005
YALI0_A06831g,1232,1408,1354,848,1270,1190
YALI0_A06886g,1894,2026,1615,1551,1432,1106
YALI0_A06908g,796,871,1040,1758,874,511
YALI0_A06930g,185,152,69,12,33,47
YALI0_A06952g,32,31,112,300,150,143
YALI0_A06974g,513,621,1359,2302,4368,6468
YALI0_A06996g,901,879,813,626,723,655
YALI0_A07018g,4528,5299,5424,1430,4633,5819
YALI0_A07062g,2026,2227,2081,1882,1887,1759
YALI0_A07084g,3335,4402,4094,3197,3458,3603
YALI0_A07106g,2575,2339,1995,1321,2261,2406
YALI0_A07128g,219,225,186,78,159,210
YALI0_A07142g,14,28,7,4,4,2
YALI0_A07238g,6,7,0,2,3,4
YALI0_A07249g,0,1,0,0,0,0
YALI0_A07403g,5977,6844,8539,12917,9907,7426
YALI0_A07425g,251,187,131,59,115,155
YALI0_A07447g,124,87,28,16,20,39
YALI0_A07557g,50,34,33,20,19,24
YALI0_A07579g,2,4,0,2,0,0
YALI0_A07601g,189,204,241,125,198,196
YALI0_A07623g,267,260,691,588,931,813
YALI0_A07645g,15,12,18,29,16,19
YALI0_A07667g,64,84,182,110,192,149
YALI0_A07689g,3880,3956,2547,1852,2253,1928
YALI0_A07711g,16,17,10,7,1,4
YALI0_A07733g,9553,9577,9576,8889,14111,15953
YALI0_A07755g,132,121,51,79,91,129
YALI0_A07777g,47,41,54,36,54,77
YALI0_A07799g,2582,3399,5198,15086,5154,2677
YALI0_A07821g,1281,1168,598,300,397,354
YALI0_A07843g,963,1006,1088,607,1343,1557
YALI0_A07865g,306,394,452,270,534,757
YALI0_A07887g,477,502,368,451,366,321
YALI0_A07997g,1468,1165,682,405,757,797
YALI0_A08019g,1707,2658,6850,10167,7520,6309
YALI0_A08041g,10290,10465,8751,4830,8889,9868
YALI0_A08063g,1916,2612,2807,1678,2702,3258
YALI0_A08077g,12672,15036,19832,18072,22818,22678
YALI0_A08107g,1058,1181,1437,973,1633,1772
YALI0_A08129g,5407,6706,9059,12013,9249,8103
YALI0_A08151g,1324,1364,893,1181,895,801
YALI0_A08165g,2489,2581,2042,770,1856,2555
YALI0_A08195g,337,306,48,20,18,22
YALI0_A08217g,15,16,6,0,6,6
YALI0_A08239g,3006,3716,2948,1602,2641,3015
YALI0_A08261g,7203,8686,7639,2392,7518,10367
YALI0_A08327g,2,0,0,0,0,0
YALI0_A08338g,2,2,0,0,0,1
YALI0_A08360g,242,352,567,322,547,724
YALI0_A08404g,55,81,295,163,451,687
YALI0_A08426g,1748,1847,1144,304,372,325
YALI0_A08448g,4911,8601,17577,12976,18440,19652
YALI0_A08536g,1624,1971,1834,770,1238,1220
YALI0_A08558g,658,857,646,520,578,520
YALI0_A08580g,605,584,496,465,530,527
YALI0_A08624g,141,133,25,36,28,28
YALI0_A08646g,1965,2745,3135,2818,3076,2579
YALI0_A08668g,1284,1210,910,786,848,837
YALI0_A08734g,2928,2116,721,344,427,477
YALI0_A08800g,7,8,4,0,2,2
YALI0_A08866g,20,43,22,19,19,17
YALI0_A08888g,8,3,0,3,2,2
YALI0_A08932g,0,0,0,1,0,0
YALI0_A08998g,49,26,4,12,4,12
YALI0_A09020g,5188,6566,8199,2203,6877,8716
YALI0_A09042g,4866,6347,5914,4004,5069,5339
YALI0_A09064g,5544,6614,9340,7619,11337,10878
YALI0_A09086g,289,304,403,327,196,157
YALI0_A09108g,510,735,885,615,712,640
YALI0_A09196g,23,15,9,2,17,13
YALI0_A09262g,10,24,11,2,10,2
YALI0_A09284g,4536,2801,938,1143,1153,884
YALI0_A09317g,0,0,0,0,0,0
YALI0_A09383g,113,174,88,102,160,164
YALI0_A09405g,411,247,174,135,189,126
YALI0_A09427g,1306,1732,1132,854,1057,863
YALI0_A09438g,1185,1576,1078,1192,714,599
YALI0_A09449g,53,52,99,98,110,130
YALI0_A09471g,6,5,1,1,0,6
YALI0_A09515g,12,17,9,25,14,11
YALI0_A09537g,1878,1713,765,370,819,999
YALI0_A09559g,2921,3876,4973,3108,5062,5603
YALI0_A09592g,9676,12507,8403,5432,5771,5086
YALI0_A09614g,187,140,45,20,26,24
YALI0_A09636g,2834,2613,1945,2110,1988,1875
YALI0_A09658g,2805,3131,5013,4436,6527,6251
YALI0_A09680g,761,892,1303,2460,1802,1386
YALI0_A09702g,4771,4841,3451,3402,3382,2675
YALI0_A09724g,1300,1186,754,518,617,572
YALI0_A09746g,699,681,608,679,374,261
YALI0_A09768g,488,420,40,20,32,30
YALI0_A09790g,3640,4010,2831,1726,2349,2031
YALI0_A09812g,11942,11087,4663,3036,3078,3195
YALI0_A09834g,3092,2978,2121,1358,2185,2597
YALI0_A09845g,2870,3405,2470,2289,1954,1624
YALI0_A09856g,28206,21136,42552,13200,32423,41775
YALI0_A09878g,1177,1510,1409,1094,1451,1299
YALI0_A09900g,10711,13299,13313,6805,11377,12309
YALI0_A09922g,20253,22842,18620,19332,14759,11749
YALI0_A09933g,20883,23900,29953,78225,35259,24240
YALI0_A09988g,3476,4217,3447,1904,2835,2732
YALI0_A10010g,1929,2462,3962,4949,5092,4506
YALI0_A10032g,2409,2889,2905,2442,2433,1946
YALI0_A10076g,6044,7561,5999,3708,5021,4269
YALI0_A10098g,2274,2507,2373,1875,2326,2068
YALI0_A10120g,679,931,1151,1000,1234,1192
YALI0_A10142g,1356,1358,794,340,737,698
YALI0_A10164g,1086,1117,995,1242,1077,946
YALI0_A10186g,695,927,993,778,1186,1211
YALI0_A10208g,8,9,1,8,0,4
YALI0_A10230g,3942,5520,7107,4715,8308,8906
YALI0_A10252g,1727,1647,1435,2005,1372,1252
YALI0_A10274g,1734,1950,2254,2247,1946,1745
YALI0_A10296g,1964,1988,1237,378,842,965
YALI0_A10310g,3631,3101,1492,995,952,903
YALI0_A10318g,4924,5241,3229,956,2352,2676
YALI0_A10362g,30665,31258,47691,30307,61282,69938
YALI0_A10395g,0,1,0,0,0,0
YALI0_A10439g,5,4,0,0,0,0
YALI0_A10483g,222,442,390,202,365,345
YALI0_A10527g,5,2,9,1,7,8
YALI0_A10549g,2240,2544,3128,2039,2662,2412
YALI0_A10571g,1525,1617,1417,1281,943,575
YALI0_A10593g,116,85,0,2,2,8
YALI0_A10615g,13942,17242,13736,5817,11266,12485
YALI0_A10637g,1198,1143,1554,659,1778,1919
YALI0_A10659g,81873,81416,87637,89717,105282,98190
YALI0_A10681g,1229,1490,1645,1014,1130,1042
YALI0_A10703g,1293,1732,2218,1300,1644,1515
YALI0_A10725g,26871,29570,20721,14500,14607,11415
YALI0_A10747g,4948,7037,12104,8898,11830,13503
YALI0_A10769g,67,47,25,20,15,15
YALI0_A10813g,1129,1218,1000,1120,931,766
YALI0_A10879g,5046,6555,9234,13304,10066,8332
YALI0_A10901g,0,0,0,0,0,0
YALI0_A10945g,26,20,24,34,31,16
YALI0_A10967g,934,1213,2022,2106,1878,2081
YALI0_A10989g,457,419,396,216,342,378
YALI0_A11011g,100,126,138,21,123,136
YALI0_A11077g,224,239,183,328,246,170
YALI0_A11099g,2850,3303,3868,3931,3370,2789
YALI0_A11121g,459,722,983,1332,1079,818
YALI0_A11143g,4466,5497,5598,5067,4628,4244
YALI0_A11157g,3602,4053,3998,2066,3543,3738
YALI0_A11198g,880,1161,775,176,494,658
YALI0_A11220g,347,435,377,306,387,353
YALI0_A11407g,4149,3825,1786,938,1202,1095
YALI0_A11473g,1899,2312,30,6,12,16
YALI0_A11517g,963,923,583,457,292,236
YALI0_A11539g,588,626,366,133,183,154
YALI0_A11561g,160,144,137,39,113,136
YALI0_A11605g,85,124,106,59,114,100
YALI0_A11627g,24,27,22,2,17,21
YALI0_A11649g,109,136,41,8,20,12
YALI0_A11671g,334,528,575,204,460,455
YALI0_A11737g,46,185,418,258,306,282
YALI0_A11759g,34,32,10,10,20,5
YALI0_A11781g,57,34,8,16,17,22
YALI0_A11803g,49,78,14,16,26,26
YALI0_A11847g,13,7,0,0,2,0
YALI0_A11869g,2397,2440,1139,386,802,1026
YALI0_A11891g,5,6,40,74,57,34
YALI0_A11935g,179,263,490,406,488,551
YALI0_A12001g,6376,7138,4360,1052,3042,3749
YALI0_A12023g,2470,2679,2598,2328,2762,2878
YALI0_A12045g,4767,5948,8291,8957,7144,6526
YALI0_A12067g,5671,5193,2820,3898,3082,2461
YALI0_A12111g,2395,2249,1144,614,901,888
YALI0_A12133g,4281,3826,1667,1171,1587,1434
YALI0_A12155g,4171,3591,2389,1829,2780,2656
YALI0_A12177g,35726,43016,77984,59483,94069,112711
YALI0_A12199g,892,961,1661,944,1782,2101
YALI0_A12221g,49,36,19,17,10,7
YALI0_A12243g,112,90,49,21,8,27
YALI0_A12265g,65,73,26,19,18,22
YALI0_A12287g,2824,2792,1910,1359,1769,1584
YALI0_A12353g,459,550,1166,2917,5377,9718
YALI0_A12419g,33,49,10,22,17,13
YALI0_A12441g,133,138,324,632,689,753
YALI0_A12507g,595,933,3427,7487,4006,2668
YALI0_A12573g,883,1058,101,32,58,107
YALI0_A12617g,926,985,875,449,545,625
YALI0_A12683g,37,32,74,50,43,48
YALI0_A12705g,30,74,74,142,99,74
YALI0_A12815g,7,30,2,0,0,0
YALI0_A12837g,0,0,0,0,0,0
YALI0_A12925g,16,14,2,2,0,3
YALI0_A12969g,155,182,143,64,59,48
YALI0_A13013g,689,737,2657,15771,14558,12565
YALI0_A13035g,3277,3642,3217,3679,3082,2613
YALI0_A13057g,5512,5562,3307,1920,2884,2624
YALI0_A13079g,375,281,144,68,123,218
YALI0_A13101g,8078,8266,4796,1762,3682,3963
YALI0_A13233g,674,812,677,364,695,861
YALI0_A13255g,0,2,0,0,1,4
YALI0_A13277g,2113,2548,4341,7482,7327,6900
YALI0_A13299g,2069,2105,1530,644,892,931
YALI0_A13321g,3609,4111,3589,2983,4384,4504
YALI0_A13387g,20060,19702,14543,7604,15187,16641
YALI0_A13497g,1685,2171,889,417,461,645
YALI0_A13519g,4171,4423,3619,1454,3124,4059
YALI0_A13541g,6351,7809,6564,7347,5258,4232
YALI0_A13563g,1005,906,547,228,542,635
YALI0_A13585g,9193,9567,6683,4378,5355,4696
YALI0_A13607g,8,9,5,1,8,12
YALI0_A13673g,800,1036,1475,1115,1937,2023
YALI0_A13695g,329,329,308,96,126,97
YALI0_A13849g,1,0,0,0,0,0
YALI0_A13915g,0,0,0,0,0,0
YALI0_A13937g,8,18,4,0,2,0
YALI0_A14069g,16,5,6,0,0,2
YALI0_A14157g,373,482,469,319,485,382
YALI0_A14212g,706,785,572,552,630,628
YALI0_A14234g,16,2,6,4,4,4
YALI0_A14256g,56,66,48,50,152,136
YALI0_A14322g,129,172,161,46,154,118
YALI0_A14366g,690,679,686,880,681,532
YALI0_A14388g,1625,2123,1782,997,1222,1258
YALI0_A14454g,3314,6054,6283,6092,6094,6273
YALI0_A14476g,1440,1781,927,1104,1134,1000
YALI0_A14498g,5942,5704,5148,5709,6265,5109
YALI0_A14520g,234,212,176,359,286,224
YALI0_A14542g,8336,10057,6927,5336,5332,4783
YALI0_A14564g,161,191,397,498,633,561
YALI0_A14586g,4943,5567,4140,2816,3292,3133
YALI0_A14608g,19722,27083,11347,3036,6557,8004
YALI0_A14630g,1772,1988,2281,1792,2930,2771
YALI0_A14707g,1398,1382,708,188,558,707
YALI0_A14740g,524,636,999,689,994,943
YALI0_A14762g,742,751,737,494,742,642
YALI0_A14784g,4263,5263,3554,2299,2835,2954
YALI0_A14806g,22794,31274,29244,11766,24015,27276
YALI0_A14839g,4804,4499,3840,2113,3812,4012
YALI0_A14861g,737,846,443,254,477,525
YALI0_A14883g,50,42,38,6,21,18
YALI0_A14905g,54,80,209,89,216,270
YALI0_A14927g,34,35,6,3,6,10
YALI0_A14949g,6,0,2,0,0,0
YALI0_A15059g,294,443,757,981,758,500
YALI0_A15081g,619,618,492,421,431,342
YALI0_A15103g,886,956,2017,2491,1260,993
YALI0_A15125g,6041,6046,8560,5417,10158,10899
YALI0_A15147g,387,297,178,191,339,307
YALI0_A15169g,54,38,8,0,6,0
YALI0_A15257g,3406,3692,3335,1317,2777,3448
YALI0_A15345g,675,584,452,179,374,296
YALI0_A15378g,836,1133,4,0,0,0
YALI0_A15400g,528,584,605,1306,570,363
YALI0_A15422g,2674,2459,1954,2660,2183,2053
YALI0_A15433g,491,525,645,517,596,605
YALI0_A15444g,214,238,269,289,252,191
YALI0_A15466g,163,213,315,346,251,211
YALI0_A15488g,251,323,115,54,158,173
YALI0_A15554g,967,1118,1234,1367,1206,1003
YALI0_A15576g,4556,3808,6423,5759,8465,9356
YALI0_A15598g,26,38,22,32,20,18
YALI0_A15642g,15,28,9,24,14,5
YALI0_A15686g,5530,5681,3888,1895,3034,3161
YALI0_A15708g,3166,3088,1804,1398,1552,1583
YALI0_A15752g,79,38,39,9,18,38
YALI0_A15774g,2466,3117,3254,1695,2303,2569
YALI0_A15796g,26,24,14,8,14,18
YALI0_A15884g,551,483,397,390,373,437
YALI0_A15906g,5392,5529,3033,2014,2033,2626
YALI0_A15950g,9738,7850,3606,1246,2686,2912
YALI0_A15972g,8379,10928,14065,12790,14652,14464
YALI0_A16016g,11,5,11,0,6,0
YALI0_A16038g,440,525,274,100,177,169
YALI0_A16060g,1466,1772,3741,3321,5160,5546
YALI0_A16082g,182,153,271,234,329,412
YALI0_A16148g,47,76,132,63,120,125
YALI0_A16170g,2323,2549,2981,3685,4234,4040
YALI0_A16192g,0,0,0,0,0,0
YALI0_A16207g,0,0,0,0,0,0
YALI0_A16214g,3568,4497,4427,2466,3331,3036
YALI0_A16291g,3263,3922,7245,4518,8653,10960
YALI0_A16313g,19,10,15,5,23,35
YALI0_A16379g,618,398,777,2106,2092,2210
YALI0_A16401g,0,4,2,2,3,1
YALI0_A16423g,61,51,14,13,10,19
YALI0_A16445g,10,6,2,0,0,7
YALI0_A16467g,1028,1234,1174,891,729,675
YALI0_A16489g,928,1103,972,1109,1114,787
YALI0_A16511g,37,37,43,78,88,92
YALI0_A16566g,435,601,698,477,748,584
YALI0_A16588g,3646,3843,2661,1562,2097,2062
YALI0_A16610g,4,2,0,0,2,4
YALI0_A16698g,869,950,908,745,955,798
YALI0_A16720g,1019,1292,797,178,721,830
YALI0_A16775g,3772,4623,4809,4352,4892,3937
YALI0_A16797g,4108,4254,4385,3003,4918,5163
YALI0_A16819g,1308,1867,3229,9976,5255,3722
YALI0_A16841g,504,812,401,244,331,402
YALI0_A16863g,643,792,905,843,845,681
YALI0_A16868g,1280,1695,2722,3375,2476,1959
YALI0_A17020g,3041,5012,10802,2727,10754,15971
YALI0_A17039g,158,154,188,163,154,137
YALI0_A17061g,69,56,99,80,60,63
YALI0_A17127g,20159,24025,22591,6010,19834,24860
YALI0_A17149g,125,165,244,103,262,345
YALI0_A17171g,253,318,328,219,422,492
YALI0_A17193g,77,78,44,11,15,8
YALI0_A17215g,71,73,27,13,15,13
YALI0_A17237g,543,771,293,420,282,183
YALI0_A17259g,44,59,133,201,137,142
YALI0_A17281g,611,1238,1776,1334,1565,1603
YALI0_A17292g,1056,988,722,608,650,571
YALI0_A17314g,2275,2244,1156,892,1162,1235
YALI0_A17336g,2296,2648,2090,1278,1434,1368
YALI0_A17358g,906,874,639,404,465,406
YALI0_A17380g,1417,1678,1504,1273,1256,1168
YALI0_A17424g,1539,1522,1293,773,1158,1359
YALI0_A17446g,59,48,22,10,20,10
YALI0_A17468g,10608,14810,12871,7100,9291,8847
YALI0_A17490g,1784,1913,1474,733,1381,1370
YALI0_A17512g,2459,2602,2382,2209,2404,2052
YALI0_A17534g,31,56,19,22,12,4
YALI0_A17556g,41,43,13,5,8,15
YALI0_A17578g,3175,3313,1799,821,1374,1578
YALI0_A17600g,1949,2418,1812,1940,1719,1316
YALI0_A17666g,147,202,145,76,111,92
YALI0_A17776g,1379,1555,1066,360,1197,1359
YALI0_A17809g,3053,3304,2119,1415,1778,1657
YALI0_A17831g,17189,25620,36314,31342,41333,39085
YALI0_A17853g,5517,5911,4120,1239,3218,3672
YALI0_A17875g,133,111,53,25,70,74
YALI0_A17897g,31,25,52,36,18,29
YALI0_A17919g,12321,14532,15276,7544,6004,4743
YALI0_A17941g,11352,11148,4077,1776,3143,2927
YALI0_A17946g,2854,3535,4586,5054,4001,3585
YALI0_A17963g,68,98,31,56,48,55
YALI0_A17985g,11260,11358,6427,2512,4868,5183
YALI0_A18007g,4887,4968,3060,2086,3113,3027
YALI0_A18029g,965,1148,1678,2504,1582,1070
YALI0_A18040g,213,210,196,617,227,183
YALI0_A18062g,22134,35890,40001,23570,34239,34508
YALI0_A18139g,3215,2667,1195,351,513,524
YALI0_A18161g,1267,1609,1942,2609,2680,2417
YALI0_A18183g,5398,4964,2950,1934,3529,3164
YALI0_A18205g,28880,32773,18689,12222,13902,12126
YALI0_A18227g,1960,2275,2125,1903,1337,1025
YALI0_A18249g,1075,1066,1090,625,1090,1127
YALI0_A18271g,4371,3807,1734,743,1450,2015
YALI0_A18293g,1501,1488,1168,990,1235,994
YALI0_A18315g,264,316,372,251,398,391
YALI0_A18337g,2311,2699,2559,2269,2199,1819
YALI0_A18359g,612,650,711,467,684,659
