# Program:featureCounts v1.6.0; Command:"featureCounts" "-T" "8" "-s" "2" "-p" "-t" "gene" "-g" "GENE" "-a" "Users/doughty/Desktop/Omics_Paper/CenPKGFF/Cen.PK113_7D.gff3" "-o" "Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/Cen.PKpairedStranded_STAR.txt" "Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/KCl1_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/KCl2_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/KCl3_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCP1re_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCP2re_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCP3re_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCS1_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCS2_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCS3_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCT1_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCT2_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCT3_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCs1re_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCs2re_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCs3re_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/pH1_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/pH2_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/pH3_STARAligned.out.bam" 
Geneid	Chr	Start	End	Strand	Length	Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/KCl1_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/KCl2_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/KCl3_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCP1re_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCP2re_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCP3re_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCS1_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCS2_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCS3_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCT1_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCT2_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCT3_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCs1re_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCs2re_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCs3re_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/pH1_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/pH2_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/pH3_STARAligned.out.bam
CENPK1137D_4943	ENA|CM001522|CM001522.1	75133	76242	-	1110	675	671	678	1699	1442	1428	746	563	533	792	677	534	1511	1496	1335	564	471	543
CENPK1137D_4944	ENA|CM001522|CM001522.1	76517	79525	+	3009	3563	3361	3506	7686	7022	6828	3120	2817	2444	3056	2939	2446	7123	7647	6962	2465	2251	2164
CENPK1137D_4945	ENA|CM001522|CM001522.1	79808	80677	+	870	236	255	252	645	633	640	485	259	266	483	448	239	547	569	548	225	415	377
CENPK1137D_4946	ENA|CM001522|CM001522.1	80800	82041	-	1242	613	596	583	1347	1833	1533	1074	898	951	1297	1302	1086	1565	1569	1570	805	1070	1055
CENPK1137D_4947	ENA|CM001522|CM001522.1	82796	83317	+	522	264	215	238	493	534	520	493	222	186	498	374	211	506	485	443	213	393	464
CENPK1137D_4948	ENA|CM001522|CM001522.1	83425	84564	-	1140	544	495	542	1154	1098	1136	733	482	484	792	695	484	1146	1137	1091	398	565	558
CENPK1137D_4950	ENA|CM001522|CM001522.1	84839	87121	-	2283	454	477	432	1246	1195	1192	437	496	481	537	541	546	1292	1358	1243	414	322	324
CENPK1137D_4951	ENA|CM001522|CM001522.1	87376	87842	+	467	503	525	503	1452	1824	1610	985	899	882	840	1085	873	1702	1622	1738	627	779	831
CENPK1137D_4952	ENA|CM001522|CM001522.1	87945	92360	-	4416	856	806	817	1614	1489	1536	578	594	542	641	620	592	1396	1641	1434	534	466	467
CENPK1137D_4953	ENA|CM001522|CM001522.1	92990	94576	+	1587	91	71	63	295	305	295	135	134	126	193	193	163	269	287	307	113	123	145
CENPK1137D_4954	ENA|CM001522|CM001522.1	94777	95562	+	786	407	393	430	1100	1259	1248	516	516	485	577	537	457	1056	1163	1036	402	425	406
CENPK1137D_4955	ENA|CM001522|CM001522.1	95720	99787	-	4068	794	700	810	1705	1704	1665	608	697	660	700	737	696	1849	1967	1779	579	497	503
CENPK1137D_4956	ENA|CM001522|CM001522.1	100315	101235	-	921	952	913	959	2273	1649	1727	1744	799	677	1706	1262	587	1849	1741	1626	795	1130	1286
CENPK1137D_4957	ENA|CM001522|CM001522.1	101689	105996	-	4308	236	220	259	668	630	655	253	252	259	373	374	304	626	690	587	219	234	204
CENPK1137D_4958	ENA|CM001522|CM001522.1	106396	108675	-	2280	1774	1484	1440	3898	3828	3641	1550	1677	1585	1663	1776	1622	3738	3665	3545	1600	1286	1342
CENPK1137D_4959	ENA|CM001522|CM001522.1	109001	110554	-	1554	525	437	454	1208	1274	1231	397	442	411	423	485	441	1001	1053	1026	472	381	413
CENPK1137D_4961	ENA|CM001522|CM001522.1	110970	113117	-	2148	1232	1185	1150	2900	2981	2891	1856	1055	1138	2119	1686	1163	2719	2889	2699	1104	1652	1672
CENPK1137D_4962	ENA|CM001522|CM001522.1	113772	114773	-	1002	340	262	245	549	548	494	423	246	252	578	452	296	515	503	559	251	351	380
CENPK1137D_4963	ENA|CM001522|CM001522.1	115077	118472	+	3396	554	560	616	1378	1216	1212	631	518	494	770	750	601	1251	1384	1226	509	509	522
CENPK1137D_4964	ENA|CM001522|CM001522.1	118722	119699	-	978	1	3	2	22	30	19	7	7	9	44	37	36	21	19	21	6	12	10
CENPK1137D_4965	ENA|CM001522|CM001522.1	120383	124453	+	4071	755	769	763	2480	3012	2751	1099	1043	1012	1333	1271	1260	2334	2643	2559	871	960	978
CENPK1137D_4966	ENA|CM001522|CM001522.1	125037	126944	+	1908	2146	1978	2081	6101	6738	6505	1730	2371	2336	1527	1826	2125	6113	6587	6225	1992	1408	1383
CENPK1137D_4967	ENA|CM001522|CM001522.1	127063	128262	-	1200	466	461	489	1260	1291	1214	756	513	568	815	737	572	1211	1271	1290	404	544	554
CENPK1137D_4968	ENA|CM001522|CM001522.1	128412	129179	-	768	406	376	366	841	934	864	366	332	370	440	360	380	833	859	820	338	324	337
CENPK1137D_4969	ENA|CM001522|CM001522.1	129430	130647	+	1218	513	451	464	1012	976	901	1306	503	506	1544	1210	570	971	982	899	541	1134	1080
CENPK1137D_4970	ENA|CM001522|CM001522.1	130959	132143	+	1185	2455	1901	1998	4397	3352	3265	1701	1597	1429	1867	1857	1598	3386	3573	2939	2166	1482	1691
CENPK1137D_4972	ENA|CM001522|CM001522.1	132359	134236	+	1878	428	398	340	768	745	690	427	365	325	425	408	308	793	792	706	291	277	309
CENPK1137D_4973	ENA|CM001522|CM001522.1	134344	135825	-	1482	460	509	468	862	890	884	587	393	350	655	557	406	865	934	843	327	485	489
CENPK1137D_4974	ENA|CM001522|CM001522.1	136014	136793	+	780	320	275	289	771	851	787	332	319	313	400	406	314	750	813	729	301	294	306
CENPK1137D_4975	ENA|CM001522|CM001522.1	137074	137670	+	597	511	487	471	1912	2415	2208	810	899	863	1000	940	935	1896	2022	1989	753	826	803
CENPK1137D_4976	ENA|CM001522|CM001522.1	137858	138505	-	648	629	574	575	1739	1628	1671	941	653	682	727	797	603	1697	1798	1692	580	614	662
CENPK1137D_4977	ENA|CM001522|CM001522.1	142084	143068	+	985	7280	6775	6794	15236	14349	13791	3997	6367	6328	3438	4041	5567	15077	14293	13602	6514	3178	3384
CENPK1137D_4978	ENA|CM001522|CM001522.1	143614	147438	+	3825	636	594	601	1456	1594	1522	696	574	616	977	940	790	1396	1507	1471	535	624	619
CENPK1137D_4979	ENA|CM001522|CM001522.1	147501	151073	-	3573	720	757	734	1837	2133	1943	1058	875	817	1163	1107	900	1825	2059	1991	684	830	827
CENPK1137D_4980	ENA|CM001522|CM001522.1	152163	153782	+	1620	784	740	733	1711	1644	1600	854	677	621	800	769	627	1560	1656	1558	658	686	687
CENPK1137D_4981	ENA|CM001522|CM001522.1	153971	154630	-	660	1952	1740	1838	3972	3946	4206	1910	1661	1594	1772	1661	1620	3784	4074	3820	1385	1464	1650
CENPK1137D_4983	ENA|CM001522|CM001522.1	154911	156191	+	1281	460	443	458	1087	1012	1052	302	398	387	301	330	351	1016	1080	1010	349	247	236
CENPK1137D_4984	ENA|CM001522|CM001522.1	156660	158525	-	1866	1471	1369	1372	3462	3667	3597	1257	1364	1286	1224	1263	1141	3265	3642	3201	1067	998	1006
CENPK1137D_4985	ENA|CM001522|CM001522.1	158797	159699	+	903	422	385	385	882	753	812	498	361	320	545	474	288	755	792	717	314	390	425
CENPK1137D_4986	ENA|CM001522|CM001522.1	160718	162847	-	2130	1273	1218	1261	2504	2373	2467	1397	1092	910	1758	1579	1143	2352	2492	2291	902	1080	1205
CENPK1137D_4987	ENA|CM001522|CM001522.1	163351	164271	+	921	3721	3159	3474	7633	6015	6930	2261	2585	2385	1757	1727	1823	6364	6793	5967	2702	1634	1921
CENPK1137D_4988	ENA|CM001522|CM001522.1	164372	165679	-	1308	368	427	409	764	749	707	418	305	263	484	468	288	679	739	746	284	340	334
CENPK1137D_4989	ENA|CM001522|CM001522.1	166187	169111	-	2925	302	275	299	633	591	566	455	296	299	559	504	341	536	603	519	282	357	341
CENPK1137D_4990	ENA|CM001522|CM001522.1	179194	179733	-	540	67	63	56	229	287	258	40	72	91	49	41	79	219	222	210	72	35	35
CENPK1137D_4991	ENA|CM001522|CM001522.1	182020	182289	+	270	0	0	0	1	1	1	0	0	0	0	0	0	0	2	1	1	0	1
CENPK1137D_4992	ENA|CM001522|CM001522.1	183681	184388	+	708	680	615	575	1685	1927	1878	674	657	634	666	597	615	1510	1686	1633	629	648	639
CENPK1137D_4994	ENA|CM001522|CM001522.1	184803	185507	+	705	98	96	119	171	147	171	51	69	55	101	100	77	136	176	133	54	47	58
CENPK1137D_4995	ENA|CM001522|CM001522.1	186232	186456	+	225	36	21	28	27	29	26	7	9	7	18	29	19	23	21	39	9	1	5
CENPK1137D_4996	ENA|CM001522|CM001522.1	192571	196143	+	3573	763	750	762	1665	1746	1603	1208	881	830	1739	1680	1093	1643	1737	1553	778	1070	1053
CENPK1137D_4543	ENA|CM001523|CM001523.1	3893	4483	-	591	868	880	871	1500	1716	1620	713	614	601	740	631	552	1249	1364	1242	578	669	716
CENPK1137D_4654	ENA|CM001523|CM001523.1	4779	7811	-	3033	533	455	475	1278	1188	1169	665	499	530	610	587	474	1331	1324	1294	505	482	504
CENPK1137D_4765	ENA|CM001523|CM001523.1	8173	11628	-	3456	1131	1130	1115	2533	2705	2745	1422	1052	1126	1565	1503	1111	2389	2562	2561	944	1240	1255
CENPK1137D_4861	ENA|CM001523|CM001523.1	12109	15225	-	3117	470	527	480	1031	1002	1000	396	429	393	408	445	429	960	1093	982	367	261	317
CENPK1137D_4872	ENA|CM001523|CM001523.1	16008	17468	-	1461	719	709	706	1588	1628	1602	1135	755	768	1156	1115	748	1701	1797	1797	607	798	812
CENPK1137D_4883	ENA|CM001523|CM001523.1	18029	18676	+	648	784	764	749	2003	2403	2305	834	942	856	846	805	910	2189	2354	2304	686	597	645
CENPK1137D_4894	ENA|CM001523|CM001523.1	18877	22230	-	3354	838	773	844	2348	2596	2388	1585	1456	1547	1764	1836	1558	3388	3174	3214	1026	1014	960
CENPK1137D_4905	ENA|CM001523|CM001523.1	30673	32310	+	1638	15846	14366	14687	33386	35069	35443	5313	10545	9390	4877	6326	9688	30519	34041	29684	9766	4606	5081
CENPK1137D_4916	ENA|CM001523|CM001523.1	32763	34145	+	1383	859	776	775	2643	2885	2923	641	838	832	553	588	749	2265	2358	2252	855	601	629
CENPK1137D_4544	ENA|CM001523|CM001523.1	34449	36713	+	2265	145	134	142	278	259	277	182	110	118	231	204	146	268	269	274	111	134	153
CENPK1137D_4555	ENA|CM001523|CM001523.1	36932	37744	+	813	298	289	268	1075	1182	1198	500	426	393	536	521	471	1019	1070	1033	383	380	416
CENPK1137D_4566	ENA|CM001523|CM001523.1	37911	38573	-	663	519	509	565	1514	1510	1484	828	729	619	823	798	646	1616	1616	1474	597	533	579
CENPK1137D_4577	ENA|CM001523|CM001523.1	39633	40025	+	393	6796	6516	6623	19956	17662	18851	3096	6706	6228	2254	3186	5258	17067	17503	16552	6543	2215	2403
CENPK1137D_4588	ENA|CM001523|CM001523.1	40220	40835	-	616	163	193	178	370	354	331	120	194	170	143	145	162	408	378	326	120	100	106
CENPK1137D_4599	ENA|CM001523|CM001523.1	41018	42283	-	1266	1139	1025	1031	2817	2774	2705	1506	1232	1250	1379	1375	1067	2638	2821	2543	1170	1288	1253
CENPK1137D_4610	ENA|CM001523|CM001523.1	42480	43013	+	534	1024	909	894	1877	2029	1892	768	886	819	667	695	742	1922	1974	1931	691	585	648
CENPK1137D_4621	ENA|CM001523|CM001523.1	43229	44608	+	1380	317	331	281	761	772	832	228	292	262	241	262	279	714	771	692	261	190	211
CENPK1137D_4632	ENA|CM001523|CM001523.1	44674	53037	-	8364	482	451	449	1267	1288	1334	357	452	399	523	556	665	1144	1207	1169	414	308	301
CENPK1137D_4643	ENA|CM001523|CM001523.1	53477	54394	-	918	1620	1496	1379	5136	4203	4534	728	1407	1300	738	944	1271	4184	4591	4040	1380	553	634
CENPK1137D_4655	ENA|CM001523|CM001523.1	54857	56257	-	1401	293	262	265	776	948	947	769	504	472	894	768	482	987	1061	1086	320	564	566
CENPK1137D_4666	ENA|CM001523|CM001523.1	57612	60473	+	2862	798	788	826	2373	2341	2340	1574	1034	948	1653	1471	969	2333	2552	2177	826	1134	1139
CENPK1137D_4677	ENA|CM001523|CM001523.1	60824	63100	-	2277	552	635	558	1477	1547	1557	678	605	563	850	838	718	1348	1580	1392	491	529	500
CENPK1137D_4688	ENA|CM001523|CM001523.1	63406	64782	-	1377	478	418	386	921	862	867	340	297	341	217	235	216	854	847	834	348	266	326
CENPK1137D_4699	ENA|CM001523|CM001523.1	65520	66626	+	1107	396	326	301	591	413	437	529	219	190	554	420	165	443	429	454	255	445	456
CENPK1137D_4710	ENA|CM001523|CM001523.1	66724	68349	-	1626	524	525	497	1090	1183	1208	489	456	447	530	498	472	1098	1168	1067	359	373	408
CENPK1137D_4721	ENA|CM001523|CM001523.1	68912	73420	+	4509	1165	978	1049	2175	1977	2183	1041	872	788	1150	1046	861	1940	2228	1958	791	752	780
CENPK1137D_4732	ENA|CM001523|CM001523.1	74031	74384	-	354	612	641	645	2062	2517	2281	1554	978	987	1665	1690	1076	2077	2187	2277	693	1140	1224
CENPK1137D_4743	ENA|CM001523|CM001523.1	74696	77914	-	3219	4011	3500	3617	11022	10544	9781	2733	3668	3813	2316	2589	3255	11275	10858	10742	3555	1995	1900
CENPK1137D_4754	ENA|CM001523|CM001523.1	78152	80101	-	1950	1391	1580	1300	31047	47965	35730	18314	15188	14476	14077	13094	10853	30510	34081	32336	12037	22570	18050
CENPK1137D_4766	ENA|CM001523|CM001523.1	80375	81442	-	1068	248	317	311	469	455	498	166	180	177	179	191	207	468	534	470	141	122	127
CENPK1137D_4777	ENA|CM001523|CM001523.1	82273	82875	-	603	12763	11136	11055	36124	32138	32952	4745	10917	9720	3773	5003	8190	30133	31324	29174	10570	3478	4127
CENPK1137D_4788	ENA|CM001523|CM001523.1	83737	83985	+	249	341	322	312	824	645	652	272	284	300	370	353	339	600	636	614	255	197	179
CENPK1137D_4799	ENA|CM001523|CM001523.1	84500	85789	+	1290	323	287	284	716	596	592	318	306	248	332	364	277	627	649	579	316	254	247
CENPK1137D_4810	ENA|CM001523|CM001523.1	86173	87153	+	981	338	319	367	928	831	834	376	320	300	358	376	338	837	875	757	330	270	284
CENPK1137D_4821	ENA|CM001523|CM001523.1	87398	89641	-	2244	912	919	923	3300	3455	3241	1431	1343	1289	1884	1792	1603	3143	3419	3333	1234	1149	1137
CENPK1137D_4832	ENA|CM001523|CM001523.1	90426	93872	-	3447	918	881	919	1245	1206	1215	795	608	517	1011	1039	675	1120	1294	1165	534	602	709
CENPK1137D_4843	ENA|CM001523|CM001523.1	94128	94913	-	786	4033	3809	3515	7694	10298	9081	1426	2820	2706	1292	1601	2586	7382	7694	7520	2608	1513	1535
CENPK1137D_4854	ENA|CM001523|CM001523.1	95645	98980	+	3336	360	304	346	748	842	877	308	318	298	363	385	317	643	776	720	255	324	304
CENPK1137D_4860	ENA|CM001523|CM001523.1	99104	101167	-	2064	661	645	692	1634	1424	1526	885	614	575	1050	1014	743	1539	1495	1383	556	678	662
CENPK1137D_4862	ENA|CM001523|CM001523.1	101693	103756	+	2064	434	419	463	1190	1217	1135	590	446	458	717	589	525	1092	1132	1071	391	450	477
CENPK1137D_4863	ENA|CM001523|CM001523.1	103885	104299	-	415	768	735	759	1500	1557	1620	694	640	561	712	748	585	1347	1543	1429	507	589	616
CENPK1137D_4864	ENA|CM001523|CM001523.1	104354	105004	+	651	436	392	399	677	674	656	545	293	331	625	477	264	658	670	591	281	446	497
CENPK1137D_4865	ENA|CM001523|CM001523.1	105195	106469	+	1275	2549	2456	2434	5750	6462	6094	3084	2524	2545	3223	3037	2487	5866	6176	5913	2162	2685	2660
CENPK1137D_4866	ENA|CM001523|CM001523.1	106562	107179	-	618	623	602	568	1203	1164	1175	426	467	435	438	461	516	1160	1163	1048	430	349	308
CENPK1137D_4867	ENA|CM001523|CM001523.1	107523	108929	+	1407	1816	1875	1799	4707	5141	5096	1050	1713	1770	1044	1267	1543	4301	4736	4526	1549	897	971
CENPK1137D_4868	ENA|CM001523|CM001523.1	109340	110596	-	1257	378	388	332	880	719	803	218	274	267	236	275	315	812	858	717	324	155	174
CENPK1137D_4869	ENA|CM001523|CM001523.1	111354	112931	+	1578	594	578	576	1883	1341	1368	1233	680	551	1179	944	594	1450	1515	1350	665	768	846
CENPK1137D_4870	ENA|CM001523|CM001523.1	113144	115639	-	2496	535	509	519	1498	1481	1436	788	656	568	832	683	588	1376	1466	1383	530	669	682
CENPK1137D_4871	ENA|CM001523|CM001523.1	116515	118521	-	2007	738	736	676	1537	1529	1519	1598	740	690	1920	1453	838	1431	1596	1499	663	1396	1402
CENPK1137D_4873	ENA|CM001523|CM001523.1	118887	119881	+	995	1724	1621	1602	3551	3815	3798	1464	1502	1415	1598	1555	1400	3617	3662	3479	1183	1252	1235
CENPK1137D_4874	ENA|CM001523|CM001523.1	120588	121004	+	417	1024	1038	979	2639	3307	2994	565	1011	930	635	943	1357	2444	2795	2681	861	537	470
CENPK1137D_4875	ENA|CM001523|CM001523.1	121654	125799	-	4146	2332	2132	2127	4808	5317	5267	3155	2432	2525	3881	3600	2719	5041	5345	5059	2069	2804	2709
