# Program:featureCounts v1.6.0; Command:"featureCounts" "-T" "8" "-p" "-t" "gene" "-g" "GENE" "-a" "Users/doughty/Desktop/Omics_Paper/CenPKGFF/Cen.PK113_7D.gff3" "-o" "Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/Cen.PKpaired_STAR.txt" "Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/KCl1_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/KCl2_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/KCl3_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCP1re_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCP2re_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCP3re_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCS1_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCS2_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCS3_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCT1_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCT2_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCT3_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCs1re_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCs2re_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCs3re_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/pH1_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/pH2_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/pH3_STARAligned.out.bam" 
Geneid	Chr	Start	End	Strand	Length	Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/KCl1_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/KCl2_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/KCl3_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCP1re_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCP2re_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCP3re_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCS1_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCS2_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCS3_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCT1_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCT2_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCT3_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCs1re_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCs2re_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/SCs3re_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/pH1_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/pH2_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/ReanalyzeCenPK/pH3_STARAligned.out.bam
CENPK1137D_4943	ENA|CM001522|CM001522.1	75133	76242	-	1110	676	671	678	1701	1442	1431	747	564	533	793	678	536	1511	1497	1337	564	471	544
CENPK1137D_4944	ENA|CM001522|CM001522.1	76517	79525	+	3009	3584	3372	3519	7689	7037	6838	3150	2848	2458	3073	2968	2453	7132	7657	6973	2476	2272	2179
CENPK1137D_4945	ENA|CM001522|CM001522.1	79808	80677	+	870	238	256	252	651	639	643	486	259	268	485	447	242	551	570	551	227	418	379
CENPK1137D_4946	ENA|CM001522|CM001522.1	80800	82041	-	1242	607	597	579	1335	1816	1523	1076	893	940	1297	1295	1075	1554	1554	1555	795	1064	1048
CENPK1137D_4947	ENA|CM001522|CM001522.1	82796	83317	+	522	264	217	238	495	537	523	492	224	188	498	379	213	507	488	444	212	393	465
CENPK1137D_4948	ENA|CM001522|CM001522.1	83425	84564	-	1140	544	496	545	1148	1095	1136	733	487	484	791	696	485	1136	1136	1087	397	566	559
CENPK1137D_4950	ENA|CM001522|CM001522.1	84839	87121	-	2283	468	499	446	1261	1213	1206	438	502	486	540	545	553	1310	1375	1257	418	322	327
CENPK1137D_4951	ENA|CM001522|CM001522.1	87376	87842	+	467	505	522	501	1434	1805	1601	963	899	879	831	1069	870	1685	1606	1726	625	764	821
CENPK1137D_4952	ENA|CM001522|CM001522.1	87945	92360	-	4416	856	806	816	1614	1489	1535	584	593	542	642	622	593	1398	1639	1437	536	468	468
CENPK1137D_4953	ENA|CM001522|CM001522.1	92990	94576	+	1587	92	73	63	299	306	301	138	134	127	195	195	163	271	292	311	115	124	146
CENPK1137D_4954	ENA|CM001522|CM001522.1	94777	95562	+	786	410	396	430	1101	1260	1250	518	517	485	581	537	457	1060	1165	1042	402	428	406
CENPK1137D_4955	ENA|CM001522|CM001522.1	95720	99787	-	4068	797	701	811	1710	1711	1668	610	700	661	701	739	699	1863	1976	1787	579	497	503
CENPK1137D_4956	ENA|CM001522|CM001522.1	100315	101235	-	921	954	914	960	2282	1658	1734	1750	802	677	1709	1263	587	1854	1747	1629	797	1132	1287
CENPK1137D_4957	ENA|CM001522|CM001522.1	101689	105996	-	4308	237	222	259	669	634	656	253	252	259	373	375	306	627	690	587	219	234	204
CENPK1137D_4958	ENA|CM001522|CM001522.1	106396	108675	-	2280	1775	1484	1441	3899	3830	3641	1551	1677	1586	1664	1777	1623	3742	3665	3549	1600	1286	1342
CENPK1137D_4959	ENA|CM001522|CM001522.1	109001	110554	-	1554	525	437	455	1212	1277	1236	400	443	416	423	490	443	1008	1056	1036	473	383	414
CENPK1137D_4961	ENA|CM001522|CM001522.1	110970	113117	-	2148	1232	1185	1151	2904	2989	2893	1858	1059	1140	2132	1699	1178	2727	2894	2700	1106	1654	1675
CENPK1137D_4962	ENA|CM001522|CM001522.1	113772	114773	-	1002	345	262	248	551	549	496	427	246	253	582	454	298	516	505	561	252	353	381
CENPK1137D_4963	ENA|CM001522|CM001522.1	115077	118472	+	3396	555	561	616	1379	1219	1212	631	518	494	771	751	601	1254	1386	1228	509	509	522
CENPK1137D_4964	ENA|CM001522|CM001522.1	118722	119699	-	978	3	4	3	57	59	52	11	13	15	113	98	74	40	36	36	18	29	21
CENPK1137D_4965	ENA|CM001522|CM001522.1	120383	124453	+	4071	755	770	770	2484	3022	2755	1100	1044	1013	1334	1272	1262	2343	2648	2563	871	961	978
CENPK1137D_4966	ENA|CM001522|CM001522.1	125037	126944	+	1908	2150	1979	2081	6107	6745	6510	1733	2375	2339	1528	1829	2128	6119	6590	6228	1995	1409	1383
CENPK1137D_4967	ENA|CM001522|CM001522.1	127063	128262	-	1200	467	460	489	1261	1292	1212	760	514	570	815	736	573	1212	1272	1292	405	543	551
CENPK1137D_4968	ENA|CM001522|CM001522.1	128412	129179	-	768	406	376	366	841	934	864	366	332	370	440	360	380	833	861	821	338	324	337
CENPK1137D_4969	ENA|CM001522|CM001522.1	129430	130647	+	1218	527	456	473	1030	988	913	1357	515	511	1597	1247	582	979	997	911	555	1169	1119
CENPK1137D_4970	ENA|CM001522|CM001522.1	130959	132143	+	1185	2466	1911	2002	4428	3429	3302	1720	1615	1456	1893	1879	1622	3434	3615	3006	2173	1510	1707
CENPK1137D_4972	ENA|CM001522|CM001522.1	132359	134236	+	1878	439	412	355	805	798	737	447	391	346	447	421	322	835	839	756	309	293	320
CENPK1137D_4973	ENA|CM001522|CM001522.1	134344	135825	-	1482	468	518	475	864	893	891	588	399	349	662	566	416	871	934	855	332	488	492
CENPK1137D_4974	ENA|CM001522|CM001522.1	136014	136793	+	780	320	277	290	774	856	788	334	321	316	400	406	315	750	813	734	302	294	307
CENPK1137D_4975	ENA|CM001522|CM001522.1	137074	137670	+	597	512	488	471	1914	2418	2210	815	899	864	1001	940	936	1900	2027	1992	756	827	805
CENPK1137D_4976	ENA|CM001522|CM001522.1	137858	138505	-	648	682	636	616	1775	1677	1735	964	663	692	738	804	609	1744	1841	1731	590	639	674
CENPK1137D_4977	ENA|CM001522|CM001522.1	142084	143068	+	985	7285	6777	6794	15243	14351	13794	3998	6369	6335	3441	4042	5568	15082	14298	13606	6516	3178	3384
CENPK1137D_4978	ENA|CM001522|CM001522.1	143614	147438	+	3825	636	593	597	1452	1587	1518	695	574	614	973	939	795	1393	1502	1469	537	622	618
CENPK1137D_4979	ENA|CM001522|CM001522.1	147501	151073	-	3573	721	759	737	1840	2137	1948	1059	874	818	1166	1107	905	1830	2061	1996	685	831	826
CENPK1137D_4980	ENA|CM001522|CM001522.1	152163	153782	+	1620	787	742	735	1723	1652	1612	863	681	623	803	771	635	1566	1670	1567	660	694	687
CENPK1137D_4981	ENA|CM001522|CM001522.1	153971	154630	-	660	1958	1742	1840	3973	3947	4209	1911	1663	1594	1773	1661	1621	3786	4077	3819	1386	1464	1650
CENPK1137D_4983	ENA|CM001522|CM001522.1	154911	156191	+	1281	460	445	458	1089	1012	1054	302	398	390	302	331	351	1016	1081	1014	349	248	237
CENPK1137D_4984	ENA|CM001522|CM001522.1	156660	158525	-	1866	1474	1374	1376	3470	3683	3609	1261	1373	1291	1232	1267	1142	3271	3652	3212	1071	1005	1009
CENPK1137D_4985	ENA|CM001522|CM001522.1	158797	159699	+	903	424	385	387	885	754	817	498	361	320	545	475	289	756	793	718	315	390	426
CENPK1137D_4986	ENA|CM001522|CM001522.1	160718	162847	-	2130	1276	1219	1261	2507	2374	2470	1398	1093	911	1758	1579	1143	2354	2494	2293	903	1081	1207
CENPK1137D_4987	ENA|CM001522|CM001522.1	163351	164271	+	921	3699	3142	3457	7565	5960	6863	2244	2567	2371	1745	1720	1819	6313	6722	5920	2685	1626	1905
CENPK1137D_4988	ENA|CM001522|CM001522.1	164372	165679	-	1308	393	453	437	787	773	739	431	317	277	492	472	292	704	763	751	299	350	350
CENPK1137D_4989	ENA|CM001522|CM001522.1	166187	169111	-	2925	310	287	310	665	624	593	467	305	313	563	516	352	559	619	543	292	369	350
CENPK1137D_4990	ENA|CM001522|CM001522.1	179194	179733	-	540	71	66	57	260	326	292	61	84	109	62	59	89	254	265	256	81	53	50
CENPK1137D_4991	ENA|CM001522|CM001522.1	182020	182289	+	270	1	0	1	4	9	15	9	0	1	9	8	3	6	8	10	2	7	6
CENPK1137D_4992	ENA|CM001522|CM001522.1	183681	184388	+	708	681	616	576	1689	1935	1882	676	657	636	668	598	616	1513	1699	1640	630	650	644
CENPK1137D_4994	ENA|CM001522|CM001522.1	184803	185507	+	705	102	100	124	181	155	177	51	69	57	103	104	77	141	182	140	57	48	59
CENPK1137D_4995	ENA|CM001522|CM001522.1	186232	186456	+	225	43	25	30	34	33	38	10	10	11	18	32	25	26	27	43	12	4	7
CENPK1137D_4996	ENA|CM001522|CM001522.1	192571	196143	+	3573	763	752	764	1670	1759	1614	1210	882	835	1742	1683	1094	1651	1739	1556	782	1072	1057
CENPK1137D_4543	ENA|CM001523|CM001523.1	3893	4483	-	591	870	880	871	1501	1719	1626	714	614	603	740	632	554	1251	1369	1246	578	669	717
CENPK1137D_4654	ENA|CM001523|CM001523.1	4779	7811	-	3033	557	478	489	1317	1229	1216	676	513	540	642	618	515	1364	1350	1331	517	497	512
CENPK1137D_4765	ENA|CM001523|CM001523.1	8173	11628	-	3456	1132	1130	1115	2536	2708	2748	1424	1052	1128	1566	1503	1113	2394	2564	2563	945	1241	1255
CENPK1137D_4861	ENA|CM001523|CM001523.1	12109	15225	-	3117	470	527	480	1034	1011	1009	396	432	393	409	450	432	966	1098	984	368	262	320
CENPK1137D_4872	ENA|CM001523|CM001523.1	16008	17468	-	1461	719	710	706	1595	1630	1605	1135	756	769	1156	1115	749	1702	1800	1801	607	798	813
CENPK1137D_4883	ENA|CM001523|CM001523.1	18029	18676	+	648	784	765	749	2005	2400	2305	834	942	857	844	805	910	2188	2355	2305	685	598	645
CENPK1137D_4894	ENA|CM001523|CM001523.1	18877	22230	-	3354	839	775	847	2351	2598	2389	1590	1457	1552	1770	1838	1558	3393	3176	3217	1027	1016	961
CENPK1137D_4905	ENA|CM001523|CM001523.1	30673	32310	+	1638	15846	14371	14689	33394	35079	35459	5313	10548	9392	4878	6326	9690	30528	34049	29693	9767	4606	5081
CENPK1137D_4916	ENA|CM001523|CM001523.1	32763	34145	+	1383	861	776	775	2643	2888	2923	641	839	832	555	590	752	2268	2358	2253	855	601	629
CENPK1137D_4544	ENA|CM001523|CM001523.1	34449	36713	+	2265	145	134	145	288	260	281	182	110	121	232	206	148	272	276	281	112	136	155
CENPK1137D_4555	ENA|CM001523|CM001523.1	36932	37744	+	813	304	296	274	1104	1227	1230	524	445	416	565	540	482	1076	1114	1082	397	400	431
CENPK1137D_4566	ENA|CM001523|CM001523.1	37911	38573	-	663	519	510	566	1515	1511	1486	828	730	618	824	799	648	1620	1616	1478	596	533	581
CENPK1137D_4577	ENA|CM001523|CM001523.1	39633	40025	+	393	6799	6516	6625	19960	17665	18854	3096	6707	6228	2255	3189	5258	17067	17508	16558	6546	2216	2404
CENPK1137D_4588	ENA|CM001523|CM001523.1	40220	40835	-	616	199	231	216	445	443	410	157	235	198	172	178	201	472	442	407	149	127	133
CENPK1137D_4599	ENA|CM001523|CM001523.1	41018	42283	-	1266	1141	1030	1034	2822	2779	2709	1510	1237	1252	1381	1377	1070	2644	2826	2545	1173	1288	1255
CENPK1137D_4610	ENA|CM001523|CM001523.1	42480	43013	+	534	1027	911	897	1889	2039	1900	769	890	823	668	697	745	1930	1978	1935	695	585	649
CENPK1137D_4621	ENA|CM001523|CM001523.1	43229	44608	+	1380	319	329	281	764	787	841	235	303	271	246	268	285	715	777	703	263	200	216
CENPK1137D_4632	ENA|CM001523|CM001523.1	44674	53037	-	8364	489	458	453	1276	1300	1340	357	455	403	528	565	669	1152	1217	1177	421	313	301
CENPK1137D_4643	ENA|CM001523|CM001523.1	53477	54394	-	918	1630	1503	1390	5154	4231	4562	737	1421	1309	763	964	1287	4208	4616	4068	1388	561	648
CENPK1137D_4655	ENA|CM001523|CM001523.1	54857	56257	-	1401	293	262	266	778	949	950	771	505	472	894	768	483	988	1064	1089	320	564	566
CENPK1137D_4666	ENA|CM001523|CM001523.1	57612	60473	+	2862	798	788	826	2375	2343	2342	1576	1037	948	1655	1471	969	2334	2552	2177	826	1139	1139
CENPK1137D_4677	ENA|CM001523|CM001523.1	60824	63100	-	2277	552	635	558	1478	1549	1558	679	605	563	850	838	718	1350	1582	1395	491	529	502
CENPK1137D_4688	ENA|CM001523|CM001523.1	63406	64782	-	1377	478	418	386	921	864	868	341	297	343	225	244	221	854	852	835	350	269	327
CENPK1137D_4699	ENA|CM001523|CM001523.1	65520	66626	+	1107	397	326	300	595	414	437	531	220	191	562	421	170	441	431	458	254	447	456
CENPK1137D_4710	ENA|CM001523|CM001523.1	66724	68349	-	1626	524	525	496	1088	1180	1208	488	455	445	528	498	472	1093	1168	1065	360	373	408
CENPK1137D_4721	ENA|CM001523|CM001523.1	68912	73420	+	4509	1166	978	1050	2176	1982	2186	1041	873	789	1152	1049	862	1946	2231	1960	792	753	782
CENPK1137D_4732	ENA|CM001523|CM001523.1	74031	74384	-	354	615	641	645	2063	2520	2284	1554	978	988	1665	1690	1077	2077	2187	2277	693	1140	1224
CENPK1137D_4743	ENA|CM001523|CM001523.1	74696	77914	-	3219	4011	3502	3617	11028	10555	9785	2733	3673	3814	2316	2591	3255	11282	10864	10748	3559	1996	1900
CENPK1137D_4754	ENA|CM001523|CM001523.1	78152	80101	-	1950	1394	1581	1300	31079	47994	35757	18326	15201	14482	14080	13098	10856	30535	34094	32355	12045	22575	18057
CENPK1137D_4766	ENA|CM001523|CM001523.1	80375	81442	-	1068	248	317	311	469	455	498	166	180	177	180	191	207	468	534	470	141	122	127
CENPK1137D_4777	ENA|CM001523|CM001523.1	82273	82875	-	603	12766	11142	11058	36138	32146	32967	4750	10922	9725	3775	5008	8194	30140	31334	29178	10575	3479	4128
CENPK1137D_4788	ENA|CM001523|CM001523.1	83737	83985	+	249	342	323	312	827	649	654	272	284	300	370	355	340	602	639	616	256	197	180
CENPK1137D_4799	ENA|CM001523|CM001523.1	84500	85789	+	1290	335	298	301	739	612	604	343	311	252	354	388	288	646	680	597	325	263	256
CENPK1137D_4810	ENA|CM001523|CM001523.1	86173	87153	+	981	338	320	371	928	832	834	377	321	300	358	376	338	837	876	757	330	270	285
CENPK1137D_4821	ENA|CM001523|CM001523.1	87398	89641	-	2244	913	921	925	3305	3461	3247	1432	1345	1291	1886	1793	1605	3150	3426	3342	1235	1150	1137
CENPK1137D_4832	ENA|CM001523|CM001523.1	90426	93872	-	3447	923	884	923	1270	1267	1257	803	620	527	1029	1054	695	1139	1316	1201	546	620	719
CENPK1137D_4843	ENA|CM001523|CM001523.1	94128	94913	-	786	4036	3812	3518	7708	10308	9089	1433	2825	2707	1293	1604	2587	7398	7704	7534	2609	1517	1538
CENPK1137D_4854	ENA|CM001523|CM001523.1	95645	98980	+	3336	371	307	352	768	868	892	311	324	303	365	388	321	661	803	736	268	327	308
CENPK1137D_4860	ENA|CM001523|CM001523.1	99104	101167	-	2064	662	645	693	1636	1422	1527	883	614	576	1051	1012	743	1540	1496	1383	557	678	663
CENPK1137D_4862	ENA|CM001523|CM001523.1	101693	103756	+	2064	462	450	497	1244	1265	1200	620	462	473	738	615	561	1134	1188	1120	424	478	497
CENPK1137D_4863	ENA|CM001523|CM001523.1	103885	104299	-	415	743	700	731	1393	1472	1514	666	619	530	688	725	551	1250	1449	1337	480	566	590
CENPK1137D_4864	ENA|CM001523|CM001523.1	104354	105004	+	651	458	406	413	708	716	701	554	310	347	637	486	278	706	709	657	297	454	509
CENPK1137D_4865	ENA|CM001523|CM001523.1	105195	106469	+	1275	2532	2446	2425	5716	6418	6055	3072	2516	2529	3214	3030	2474	5822	6127	5873	2150	2661	2638
CENPK1137D_4866	ENA|CM001523|CM001523.1	106562	107179	-	618	627	610	571	1208	1172	1180	431	472	437	448	467	517	1168	1163	1058	434	356	315
CENPK1137D_4867	ENA|CM001523|CM001523.1	107523	108929	+	1407	1833	1889	1811	4725	5167	5117	1063	1725	1778	1050	1275	1551	4330	4755	4553	1564	904	987
CENPK1137D_4868	ENA|CM001523|CM001523.1	109340	110596	-	1257	472	465	414	1100	1015	1047	319	342	362	330	381	373	1017	1084	936	390	248	252
CENPK1137D_4869	ENA|CM001523|CM001523.1	111354	112931	+	1578	595	578	576	1891	1343	1373	1237	683	553	1189	952	607	1453	1522	1354	666	769	847
CENPK1137D_4870	ENA|CM001523|CM001523.1	113144	115639	-	2496	543	515	523	1534	1520	1480	808	670	581	849	692	596	1416	1509	1418	538	680	700
CENPK1137D_4871	ENA|CM001523|CM001523.1	116515	118521	-	2007	738	736	676	1540	1533	1522	1600	740	691	1922	1454	839	1434	1599	1504	664	1397	1403
CENPK1137D_4873	ENA|CM001523|CM001523.1	118887	119881	+	995	1727	1622	1605	3554	3823	3803	1468	1504	1415	1601	1555	1402	3622	3666	3488	1184	1256	1238
CENPK1137D_4874	ENA|CM001523|CM001523.1	120588	121004	+	417	1034	1052	994	2704	3369	3049	584	1036	956	640	960	1365	2498	2855	2750	880	544	486
CENPK1137D_4875	ENA|CM001523|CM001523.1	121654	125799	-	4146	2334	2135	2129	4821	5334	5279	3161	2439	2528	3885	3603	2725	5048	5355	5068	2069	2809	2710
