W29_NCBI	CLIB122_UNIPROT	CLIB122_NCBI	standard_A	standard_B	standard_C	standard_D	high_temp_A	high_temp_B	high_temp_C	low_pH_A	low_pH_B	low_pH_C	low_pH_D
YALI1_B03404g	Q6CFZ3	YALI0B02266g1_1	6.594958193	6.569792926	6.531599563	6.544759291	6.540908674	6.557446364	6.510876947	6.804883377	6.813874017	6.84162754	6.793161407
YALI1_E07899g	Q6C6T0	YALI0E06567g1_1	7.245855043	7.178554449	7.202499385	7.14924822	6.571693715	6.53639801	6.460813341	7.226386847	7.387334367	7.438816336	7.381050343
YALI1_E07234g	Q6C6V2	YALI0E05995g1_1	6.804038263	6.661098624	6.592957152	6.625872855	6.570974179	6.434990479	6.517630965	7.260280196	7.312982685	7.308106864	7.310900334
YALI1_C29676g	Q6CB67	YALI0C21516g1_1	6.767822142	6.694545118	6.662207427	6.678707137	6.428388164	6.513387057	6.479210841	6.967937847	7.022412348	7.065202273	7.043183102
YALI1_C10203g	Q6CCP7	YALI0C07656g1_1	7.255625248	7.213049667	7.256785352	7.312349908	7.242551968	7.283036817	7.418812383	6.60409169	6.698074252	6.549689545	6.59705235
YALI1_A15105g	Q6CGX7	YALI0A15103g1_1	6.539322128	6.543006873	6.427076146	6.408450241	6.847500864	6.832583734	6.788482703	6.867536441	6.909600371	6.849519566	6.884492537
YALI1_D26263g	Q6C8C9	YALI0D20680g1_1	6.83534415	6.754414077	6.712187258	6.679423866	6.746159754	6.615264245	6.715717374	7.244831299	7.133259195	7.211333853	7.240721206
YALI1_A22454g	Q6CG80	YALI0A21439g1_1	7.172637696	7.201137498	7.237022904	7.151149672	7.575073724	7.632813436	7.592617713	7.264527553	7.307201084	7.366039137	7.181738454
YALI1_C14450g	Q6CCD9	YALI0C10230g1_1	8.036603475	7.997789978	7.942528981	7.966958769	8.130106702	8.119023919	7.997607086	7.760972032	7.76556613	7.703614361	7.794203871
YALI1_B26112g	Q6CDZ4	YALI0B19998g1_1	7.057517765	7.044069224	7.070048435	7.010391583	6.903213886	6.978761932	6.992266203	7.220431877	7.281358138	7.287692657	7.287366409
YALI1_F23922g	Q6C1A3	YALI0F17996g2_1	6.959209628	6.945654086	6.895821973	6.929799492	6.62439878	6.660167522	6.652439256	7.08759129	7.207093107	7.255073095	7.159684915
YALI1_B20802g	Q6CEG4	YALI0B15840g1_1	6.772253728	6.763369262	6.739351302	6.761808	6.998664491	7.024166878	6.974671465	6.798726626	6.81348228	6.711615832	6.815375511
YALI1_D27637g	Q6C883	YALI0D21890g1_1	7.045650903	7.027277507	6.968090678	6.973502706	7.082437252	7.007243534	6.96414692	7.280202402	7.192953446	7.197374547	7.230697296
YALI1_D07162g	Q6CA64	YALI0D05547g1_1	6.815778141	6.783879732	6.76438967	6.792736078	6.474560433	6.487402644	6.428930157	6.679836438	6.761487776	6.737022828	6.757027052
YALI1_E32603g	F2Z627	YALI0E27654g1_1	7.051863093	6.898455845	6.88477851	6.83762185	6.245614038	6.209341003	6.371257842	7.0605076	7.206612906	7.187514936	7.12895846
YALI1_E27441g	Q6C4W0	YALI0E23287g1_1	7.019305147	7.111191711	6.997619036	7.151870093	6.988002676	6.966368831	6.97139575	7.520740435	7.550407502	7.66256323	7.52471185
YALI1_B00578g	Q6CG63	YALI0B00572g1_1	6.868312628	6.843941376	6.856171864	6.822177114	6.819804609	6.858220668	6.783862873	7.029584153	7.045953355	7.000628897	7.009436592
YALI1_D10693g	Q6C9U3	YALI0D08338g1_1	7.11058605	7.012439471	7.102259955	7.110887958	7.145795098	7.141875239	7.184270177	6.837557888	6.807058725	6.876887538	6.944783651
YALI1_D32268g	Q6C7Y1	YALI0D24431g1_1	7.641993276	7.629516584	7.618114399	7.603332185	7.486106683	7.520244112	7.425104457	7.7836907	7.8117121	7.844563837	7.86374688
YALI1_E41251g	Q6C3H7	YALI0E34749g1_1	7.610824613	7.561276351	7.620825202	7.566321079	6.882542715	6.899663239	6.728863634	6.920516694	6.920639754	6.988297461	6.736727366
YALI1_E02481g	Q6C7C1	YALI0E02024g1_1	7.563959266	7.488756763	7.602601899	7.566372591	7.571176272	7.583652422	7.58123619	6.51076255	6.738859993	6.861684547	6.532847883
YALI1_E17389g	Q6C5X3	YALI0E14366g1_1	6.491694787	6.479767296	6.593912312	6.436666457	6.793409678	6.85864269	6.804945568	7.076838612	6.973333372	7.017819271	7.09005619
YALI1_B30275g	Q6CDJ6	YALI0B23430g1_1	7.028273217	6.978739121	6.959917143	6.926005229	7.127250829	7.131044904	7.080743678	6.939908804	6.848136185	6.837909619	6.832854027
YALI1_F04045g	Q6C342	YALI0F02805g1_1	7.393987535	7.428345174	7.373930608	7.398785364	7.713769288	7.697455501	7.611601714	7.628239476	7.572862676	7.590420042	7.603802893
YALI1_A10857g	Q6CHA5	YALI0A10747g1_1	7.465043894	7.460738508	7.34515728	7.479810249	7.51067176	7.463073348	7.465736593	6.878873764	7.036180224	6.834256368	6.814202912
YALI1_D23067g	Q6C8M8	YALI0D18403g1_1	6.998564555	6.955842911	7.016032086	6.95104535	6.784976093	6.814774006	6.812006231	6.685353405	6.652745502	6.714117606	6.535219621
YALI1_D14489g	Q6C9F3		6.747960552	6.704006699	6.635474546	6.646835522	6.69760602	6.637808907	6.65414817	6.519176997	6.503643082	6.461116809	6.468701356
YALI1_B07598g	Q6CFM7	YALI0B05566g1_1	6.640735346	6.668604159	6.715805049	6.656179961	6.701945698	6.712100192	6.752040876	6.517393114	6.51113934	6.495952965	6.518307087
YALI1_C32886g	F2Z630	YALI0C23859g1_1	7.270953637	7.158764468	7.202770273	7.146425226	7.428579655	7.304618302	7.198400653	6.541061296	6.681230964	6.608213257	6.46726661
YALI1_F14136g	Q6C266	YALI0F10461g1_1	7.027742317	7.01672873	7.059744956	7.012630257	6.661721066	6.757322959	6.744195596	7.049102452	7.016179892	7.117503922	7.117815457
YALI1_B08321g	Q6CFK2	YALI0B06248g1_1	7.142248671	7.157435457	7.189756961	7.139777117	7.054009133	7.062438994	7.093887669	7.296094795	7.264538256	7.358341862	7.364869228
YALI1_D02444g	Q6CAJ7	YALI0D02167g1_1	7.079932551	7.075086258	7.016114482	7.082542795	7.191901308	7.152771414	7.076712557	6.589959995	6.726056222	6.733787527	6.618613319
YALI1_F10990g	Q6C2I3	YALI0F07667g1_1	6.59959748	6.673974212	6.642248347	6.704024981	6.592781283	6.61044289	6.605428587	6.922132115	6.895654658	6.847442368	6.879294534
YALI1_E32816g	Q6C4C9	YALI0E27808g1_1	7.395841563	7.367635508	7.335907446	7.36039131	7.402739848	7.376714638	7.378847493	7.246014319	7.256363776	7.25706484	7.24882098
YALI1_B17871g	Q6CES3	YALI0B13420g1_1	7.031556924	7.061506933	7.020322523	7.063797951	7.019775484	7.002026504	7.015248154	7.155258652	7.130788255	7.148573695	7.139777285
YALI1_E02906g			7.895524237	7.864806666	7.81903309	7.852756918	7.480808016	7.543790102	7.336804641	7.938912697	7.971176703	8.027586099	7.979434768
YALI1_F22794g	Q6C1E6	YALI0F16984g1_1	6.854174208	6.771710848	6.770972727	6.905804851	6.814388287	6.732285736	6.776156913	7.101559922	7.019144352	6.99450157	7.049970834
YALI1_C04067g	Q6CD80	YALI0C03003g1_1	7.788736137	7.770131594	7.802417453	7.736443908	7.816717844	7.838466671	7.779863038	7.604063886	7.618062372	7.635777612	7.621428201
YALI1_E03762g	Q6C776	YALI0E03146g1_1	7.123594974	7.040610863	7.055345101	7.021944706	7.132813371	7.136736157	7.162924963	6.773719449	6.879656236	6.841588564	6.81796428
YALI1_E01798g	Q6C7F3	YALI0E01276g1_1	6.827795447	6.740531413	6.848583804	6.7749374	6.710221868	6.697289087	6.783929873	6.574532788	6.386012716	6.532092451	6.471807814
YALI1_C30320g	Q6CB46	YALI0C22000g1_1	7.416566727	7.399521709	7.503378055	7.335009579	7.407290722	7.478394094	7.463975161	6.94392518	7.076494259	6.917797775	6.999517611
YALI1_D13510g	Q6C9J1	YALI0D10813g1_1	7.431916849	7.34318806	7.273490667	7.348701429	7.169372365	7.174077389	7.040607909	6.878597291	6.955680969	6.847059169	6.716717011
YALI1_B08193g	Q6CFK6	YALI0B06116g1_1	6.851932157	6.895901854	6.854566078	6.88130298	6.708292255	6.664424337	6.637002887	6.889840009	6.903655562	6.918709834	6.85140023
YALI1_F08260g	Q6C2S6	YALI0F05522g1_1	7.820430597	7.823152124	7.894158732	7.796640446	7.748761852	7.72897229	7.747328289	7.904868655	7.923638385	7.933470128	7.894308245
YALI1_A06594g	Q6CHN5	YALI0A06908g1_1	7.106305908	7.021548748	7.161108094	7.026165275	7.187056097	7.281704221	7.232763374	6.786800009	6.792500211	6.860345988	6.825219099
YALI1_D07576g	Q6CA49	YALI0D05929g1_1	7.112981014	7.100141827	7.003635094	7.040294224	6.908552561	6.765749218	6.782725094	7.235404141	7.319924766	7.359514166	7.336250967
YALI1_D03865g	Q6CAG1	YALI0D03069g1_1	6.674288482	6.618063612	6.672255704	6.693367271	6.640356129	6.659184552	6.58557604	6.398405088	6.46852982	6.422994863	6.406440315
YALI1_C32184g	Q6CAY4	YALI0C23364g1_1	7.041393214	6.972571649	7.007992687	6.940788279	6.943668073	6.985911614	6.965392455	7.308632325	7.192430096	7.243814315	7.236838272
YALI1_D16144g		YALI0D13002g1_1	7.204669047	7.164612055	7.194935505	7.15478161	6.952859191	7.029929417	7.009279173	7.482577837	7.34138725	7.38441084	7.504478695
YALI1_D12832g	Q6C9L5	YALI0D10131g1_1	6.987552758	6.799425792	6.965548038	6.798449559	6.992504855	6.997629991	6.937824544	6.53147416	6.471688119	6.478363688	6.497816119
YALI1_D34487g	Q6C7R2	YALI0D26103g1_1	6.759681244	6.778366061	6.707986332	6.763332005	6.834856325	6.776763034	6.752343996	6.546187575	6.529929461	6.56109784	6.475879842
YALI1_C32223g	B5FVD6	YALI0C23379g1_1	6.738714846	6.750071133	6.677612523	6.770548814	6.773361283	6.782193268	6.783818004	6.511477787	6.567666337	6.571726352	6.501308366
YALI1_E09329g	Q6C6P0	YALI0E07766g1_1	7.194818669	7.189517267	7.245506284	7.098674721	6.625986887	6.809855933	6.697987006	7.229855017	7.195177131	7.213791008	7.347374502
YALI1_E25267g	Q6C542	YALI0E21175g1_1	6.413464988	6.372299024	6.403297845	6.29569793	6.416913818	6.485838556	6.302688187	6.0907097	6.111819189	6.036296356	6.004885403
YALI1_E14505g	Q6C682	YALI0E11671g1_1	7.191096145	7.122194343	7.140224322	7.105461227	7.175172814	7.227141539	7.209537021	6.842568942	6.83983601	6.755533047	6.931942951
YALI1_E34072g	Q6C490	YALI0E28787g1_1	7.071890348	7.035966205	7.137364603	7.015633363	7.113778804	7.234956904	7.208334486	6.863679457	6.87730523	6.881579252	6.833922854
YALI1_B24638g	Q6CE35	YALI0B18898g1_1	6.581248742	6.562954366	6.573966962	6.477422026	6.652457164	6.706067745	6.674930354	7.016314012	6.895342719	6.866028789	6.895057438
YALI1_F16035g	Q6C1Z3	YALI0F12155g1_1	7.204391377	7.239278981	7.151097958	7.199064933	7.308044774	7.329423381	7.246412375	7.379615557	7.339409944	7.314504913	7.386599391
YALI1_D20473g	Q6C8V7	YALI0D16643g1_1	7.423378327	7.424078591	7.490905362	7.454359901	7.494863438	7.519753148	7.581139265	7.272468632	7.34885723	7.381557855	7.405330822
YALI1_E27871g	Q6C4U7	YALI0E23562g1_1	7.682921344	7.690062896	7.755633687	7.7118595	7.643194866	7.624842644	7.684891344	7.823443793	7.843191556	7.826748226	7.800289252
YALI1_F29139g	Q6C0T0	YALI0F22011g1_1	6.946196419	6.902708283	7.002265824	6.861687942	6.832232296	6.788478725	6.782859591	6.623914228	6.693324079	6.669029122	6.563262647
YALI1_E33056g	Q6C4C2	YALI0E27962g1_1	7.102334994	7.102535024	7.186967704	7.061147121	7.254885265	7.312184548	7.278752702	6.948667124	6.932549736	6.806428754	6.869017655
YALI1_D26051g	Q6C8D6	YALI0D20526g1_1	7.336763031	7.232033784	7.417757954	7.394579188	7.276537202	7.454075253	7.574735151	6.817178938	6.854606683	6.758079547	6.714627434
YALI1_F02309g	Q6C399	YALI0F01496g1_1	7.751705962	7.692766815	7.78572313	7.665904346	7.697815773	7.76487299	7.766158562	7.357321067	7.430995163	7.27037656	7.417889534
YALI1_C33299g	Q6CAU5	YALI0C24255g1_1	7.377906114	7.414785567	7.346982653	7.416120053	7.387015821	7.415698545	7.363123153	7.729076652	7.603560572	7.586094536	7.67417001
YALI1_C32609g	P41943	YALI0C23617g1_1	7.432047944	7.396993464	7.413247417	7.385229175	7.582329913	7.60012764	7.641399818	7.045397713	7.213450559	7.270753269	7.104420716
YALI1_D13545g	Q6C9J0	YALI0D10835g1_1	7.041106152	6.976083233	6.942857596	6.89744543	6.842317757	6.90365637	6.72154581	7.401962207	7.246334429	7.343391014	7.426086494
YALI1_E19371g	Q6C5Q1	YALI0E16214g1_1	6.97954486	6.870782239	6.850383481	6.831741526	6.662865051	6.605325519	6.656666723	6.943125642	6.957966126	6.955895575	6.95935121
YALI1_F32330g	Q6C0G2	YALI0F25003g1_1	6.516184067	6.459330637	6.457183366	6.502077717	6.329174891	6.521223704	6.403033209	6.781093831	6.763040938	6.75087424	6.794822752
YALI1_B15928g	Q6CEX7	YALI0B12078g1_1	6.638825408	6.623838095	6.700589583	6.600291414	6.824455673	6.887334655	6.817513884	6.425618064	6.43845829	6.375201984	6.544503332
YALI1_D07981g	Q6CA37	(YALI0D06215g1_1-YALI0D06215g2_1)	7.445829775	7.420418934	7.410142737	7.380283799	7.486886646	7.492253911	7.484741325	7.268843221	7.295078514	7.322008244	7.340284731
YALI1_E31005g	Q6C4K0	YALI0E26125g1_1	7.808822877	7.744780936	7.53902276	7.706776224	7.823656247	7.59372985	7.572252241	6.535006033	6.852150384	6.966877836	6.626892219
YALI1_E17935g	Q6C5V2	YALI0E14949g1_1	7.327025409	7.33383077	7.284361027	7.317743669	7.10313408	7.087798419	7.024834571	7.22726923	7.308218772	7.315619727	7.316850864
YALI1_E01105g	Q6C7H8	YALI0E00726g1_1	7.276389758	7.27655504	7.259350093	7.258435548	7.310339749	7.25508958	7.166887351	7.456865864	7.467167699	7.452601675	7.455629804
YALI1_B29419g	Q6CDN8	YALI0B22506g1_1	7.017390961	6.933096643	6.766342368	7.040560854	7.136249505	7.168380878	7.304410091	7.534115247	7.658618644	7.694171544	7.540944159
YALI1_A03721g	Q6CHY6	YALI0A03443g1_1	6.72202477	6.690909692	6.632297691	6.616200328	6.803733654	6.703996489	6.715401662	6.868408411	6.841241119	6.835846777	6.836388759
YALI1_B20289g	P38997	YALI0B15444g1_1	7.181996556	7.106187898	7.129198018	7.0737823	6.952318141	6.997164064	6.953957472	6.849751178	6.904274634	6.913410262	6.83975487
YALI1_D02041g	Q6CAL4	YALI0D01738g1_1	7.179566282	7.128210291	7.244093827	7.141997501	7.269492859	7.369955796	7.395355784	6.985082567	6.932516908	7.027693809	7.050156383
YALI1_C27543g		YALI0C19624g1_1	7.090790354	6.993602684	7.178691965	7.035000379	7.207518033	7.284341441	7.279461265	6.801295457	6.816372011	6.739273341	6.884438215
YALI1_B29310g	Q6CDN9	YALI0B22484g1_1	6.645898957	6.590682104	6.614766269	6.486038185	6.465196383	6.463029379	6.37031104	6.870951884	6.813759563	6.798900727	6.921720535
YALI1_A06672g	Q6CHN0	YALI0A07018g1_1	7.289684462	7.284704979	7.293304228	7.21175097	7.249636162	7.285760233	7.295726406	7.092813409	7.140775601	7.092797106	7.105338254
YALI1_B16277g	Q6CEW5	YALI0B12364g1_1	6.875436513	6.905064654	6.890402785	6.879115839	7.036243248	7.063874645	6.944979915	6.673422431	6.627519747	6.754244017	6.605880274
YALI1_D31186g	Q6C7Z9	YALI0D23969g1_1	7.188374056	7.199082803	7.265638831	7.113655426	6.904535045	7.026936052	6.879310586	7.413175995	7.343864646	7.330351762	7.341138637
YALI1_F22750g	Q6C1E8	YALI0F16940g1_1	6.8025477	6.780250315	6.85797391	6.782260766	6.701339645	6.763365135	6.675385483	6.554799037	6.562312565	6.600996416	6.603255478
YALI1_E07347g	Q6C6U9	YALI0E06061g1_1	6.824587703	6.848343611	6.893304868	6.753967101	6.78568409	6.905980429	6.826055544	7.138660926	7.095065752	7.120043649	7.189763372
YALI1_B05798g	Q6CFS3	YALI0B04312g1_1	6.755373687	6.793605247	6.740399256	6.771182993	7.004740998	6.929702355	6.849776754	7.014876898	7.090282653	7.122315525	7.098116528
YALI1_B25553g	Q6CE13	YALI0B19492g1_1	7.471015792	7.440959267	7.296748184	7.407568335	7.212030908	7.056724805	7.002730606	6.674407895	6.905363686	6.853537882	6.733034191
YALI1_A05459g	Q6CHS7	YALI0A05379g1_1	6.781173788	6.772250595	6.886511032	6.718215728	6.884737648	6.928384803	6.898865408	6.54719346	6.326205197	6.510163209	6.402982434
YALI1_E24360g	Q6C572	YALI0E20515g1_1	6.672729063	6.645854999	6.663637817	6.531035621	6.724917835	6.709749538	6.755968236	6.31557599	6.462324009	6.379490983	6.343303452
YALI1_E10013g	Q6C6M4	YALI0E08206g1_1	6.824720729	6.877889422	6.94342371	6.844041356	6.808026768	6.80827615	6.847744352	6.938457778	6.966114202	7.048914004	7.006483744
YALI1_C05088g	Q6CD47	YALI0C03828g1_1	6.186445295	6.160917579	6.15927859	6.064277153	6.023340754	6.079585963	6.080679044	6.330118352	6.448243837	6.51980011	6.456713824
YALI1_D00888g	Q6CAQ4	YALI0D00825g1_1	7.091258084	7.088052122	7.007963765	7.040372791	7.096717133	7.114894108	7.02546393	6.50120799	6.692956753	6.759141647	6.644516636
YALI1_F19345g	Q6C1P6	YALI0F14509g1_1	7.355240457	7.334900265	7.314554268	7.319998405	7.292246819	7.256509662	7.244478521	7.013846988	7.150849237	7.117035731	7.088313035
YALI1_E15452g	Q6C648	YALI0E12463g1_1	7.117159253	7.116326594	7.087787265	7.055132673	7.053168951	7.042786518	7.019570649	6.805523925	6.903963884	6.904719915	6.749212038
YALI1_E23610g	Q6C5A4	YALI0E19701g1_1	6.742816024	6.589940417	6.763545172	6.728160759	6.62091993	6.461492299	6.605083819	6.976196635	7.135088881	7.147899239	7.044669984
YALI1_F09747g	Q6C2M6	YALI0F06578g1_1	6.955371595	6.92115446	7.016883488	6.948933973	6.696754129	6.836760894	6.727956795	6.684603936	6.710327601	6.691659932	6.672333162
YALI1_E34784g	Q6C462	YALI0E29403g1_1	7.851732191	7.801460759	7.821141742	7.803341032	7.799252698	7.847139252	7.751063079	8.062872708	7.99813628	8.054799912	7.974235963
YALI1_C15964g		(YALI0C11385g1_1-YALI0F25883g1_1)	7.763114228	7.76835648	7.730698613	7.793856714	7.614444003	7.563924837	7.595391179	7.380655752	7.465346633	7.552712663	7.404053106
YALI1_D31155g	Q6C800	YALI0D23947g1_1	6.966298615	6.91776648	7.063354673	7.100877206	6.976722291	7.120582627	7.335316692	6.478568372	6.544688772	6.327173629	6.376201313
YALI1_F32067g	Q6C0H2	YALI0F24717g1_1	6.811954212	6.824614714	6.819397699	6.864548116	6.773443791	6.814068048	6.881722251	7.121486283	6.995760347	7.077120194	7.120969194
YALI1_F37714g	Q6BZX6	YALI0F30129g1_1	6.721118596	6.708347084	6.809866019	6.603961166	6.841969421	6.880803943	6.84939962	7.106129548	7.005393058	7.068229312	7.110667796
YALI1_C26377g	Q6CBG3	YALI0C19107g1_1	7.276260524	7.152464946	7.274240445	7.09349055	7.000457017	7.22576362	7.112823712	7.996874958	7.697680364	7.782231994	8.094973855
YALI1_D08251g	Q6CA27	YALI0D06435g1_1	6.757052116	6.738043278	6.736626982	7.227068324	6.651952448	6.6309113	6.643899611	6.749509521	6.770355471	6.797332333	7.299199712
YALI1_D02087g	Q6CAL1	YALI0D01804g1_1	6.600176805	6.534835568	6.523409875	6.561924607	6.370842108	6.365319945	6.407692758	6.641445761	6.638712797	6.780892306	6.721815829
YALI1_B20577g	Q6CEH0	YALI0B15686g1_1	6.651156344	6.708823939	6.70248919	6.664357108	6.77441735	6.80245491	6.799795884	6.606473903	6.544265836	6.57580569	6.637682246
YALI1_E12793g	Q6C6E4	YALI0E10175g1_1	6.765559463	6.881482831	6.938660692	7.015477235	6.912711735	6.973097576	6.910534211	7.223707784	7.178468552	7.1887509	7.31730068
YALI1_E40502g	Q6C3K1	YALI0E34155g1_1	6.942896683	6.896058652	6.919349735	6.848057124	6.912827157	6.920443998	6.937760843	6.55541439	6.688906528	6.681717737	6.698409252
YALI1_D12750g	Q6C9L9	YALI0D10065g1_1	6.679103172	6.699602641	6.648870509	6.748842175	6.623354072	6.650163262	6.590676131	6.933535094	6.854058547	6.816979849	6.840389776
YALI1_C28310g	Q6CBB8	YALI0C20265g1_1	6.556828511	6.544315849	6.557068121	6.485573639	6.19497445	6.453622326	6.154074916	6.968847396	6.8013869	6.829293329	6.981123645
YALI1_F36966g	Q6BZZ9	(YALI0F29337g1_1-YALI0F29337g2_1)	7.486941141	7.386206252	7.47185367	7.356520549	7.380078662	7.391910025	7.410384989	7.229123598	7.239252043	7.239622394	7.20480767
YALI1_E20923g	Q6C5J1	YALI0E17655g1_1	6.621901088	6.793286052	6.721868303	6.678463954	6.560533319	6.593092246	6.582655237	6.899687488	6.853598042	6.851323866	6.878430082
YALI1_E23292g	Q6C5B6	YALI0E19448g1_1	6.950097484	6.969390823	6.852498183	7.036037585	6.896275421	6.869359577	6.867686082	7.180902684	7.125085734	7.158685041	7.16377276
YALI1_C07816g	Q6CCW0	YALI0C06083g1_1	7.038596602	6.915792016	6.959242079	6.934090075	6.822147954	6.907669251	6.788858172	6.637490279	6.681362377	6.7074931	6.689875997
YALI1_F31744g	Q6C0I6	YALI0F24365g1_1	6.488820316	6.39741476	6.586740291	6.736532024	6.398036251	6.261685086	6.554515375	6.847345466	6.853408559	6.928844219	6.914845141
YALI1_B24351g	Q6CE41	YALI0B18744g1_1	6.703538599	6.752029077	6.697816687	6.678120843	6.904026053	6.815960593	6.731385486	7.034421206	6.999331617	7.033991192	7.137292399
YALI1_C01720g	Q6CDE2	YALI0C01221g1_1	7.323127684	7.248628874	7.174651871	7.262388167	7.404079686	7.335045953	7.275093173	7.0197354	7.046106432	7.065452514	6.968261713
YALI1_D35787g	Q6C7L2	YALI0D27170g1_1	6.636685354	6.668991806	6.747421048	6.621936633	6.739705591	6.813421433	6.784568199	6.509525153	6.479503943	6.450818677	6.546439904
YALI1_D04128g	Q6CAF5	YALI0D03245g1_1	7.516562385	7.71848193	7.433392423	7.724613026	7.812323963	7.608234753	7.728192671	6.948739323	7.137799869	6.984523537	6.796215793
YALI1_F08705g	Q6C2Q9	YALI0F05874g1_1	7.206108563	7.193967395	7.262622608	7.16199112	7.41333398	7.541311166	7.508795937	7.21842081	7.054801597	7.126307918	7.144933756
YALI1_F36733g	Q6C005	YALI0F29139g1_1	7.86679697	7.629740724	7.509474702	7.506458188	7.67840966	7.417412971	7.516769627	6.69354616	6.577939471	7.011903058	6.708213127
YALI1_C14273g	Q6CCE1	YALI0C10142g1_1	6.535541338	6.327282653	6.580495739	6.380216276	6.594154917	6.47680437	6.58451378	6.092501786	6.127290702	6.092944709	6.130900594
YALI1_E20995g	Q6C5I9	YALI0E17699g1_1	6.904040338	6.889721474	7.000054795	6.863287731	7.037888681	7.109351114	7.067245989	6.833756394	6.750478908	6.731490474	6.75959335
YALI1_F24228g	Q6C192	YALI0F18260g1_1	7.13532692	7.160377931	7.211432307	7.244718429	7.106874355	7.117009328	7.199384552	7.045395538	7.043371386	7.068485158	7.072030652
YALI1_B26984g	Q6CDW7	YALI0B20636g1_1	6.604948565	6.705195866	6.716328084	6.711979364	6.673552827	6.656877753	6.663589558	6.520325866	6.4052147	6.422728779	6.416418831
YALI1_D10197g	Q6C9V7	YALI0D07942g1_1	7.234775411	7.098555594	7.096751894	7.09329012	7.120094591	7.027925515	7.016135861	6.652166606	6.833053866	6.79165927	6.714049017
YALI1_B21493g	Q6CED6	YALI0B16500g1_1	7.360283128	7.345874767	7.308076839	7.408914444	7.277253691	7.367520548	7.331555162	7.617439182	7.507591946	7.559443197	7.559013153
YALI1_D24626g	Q6C8I3	YALI0D19382g1_1	6.645194968	6.861812678	6.796998013	6.941665888	6.879821892	7.027913295	7.007426393	6.693172024	6.863641668	6.776877939	6.850534406
