GeneName_CENPK	uniprotID_S288c	GeneName_S288C	standard_A	standard_B	standard_C	high_temp_A	high_temp_B	high_temp_C	low_pH_A	low_pH_B	low_pH_C	osmotic_stress_A	osmotic_stress_B	osmotic_stress_C
CENPK1137D_1679	O14455	YPL249C-A	33	16	17	14	14	13	13	9	9	16	12	14
CENPK1137D_3852	Q12335	YDR032C	17	19	20	19	26	22	24	18	21	12	10	11
CENPK1137D_167	P40208	YMR135C	0	2	0	8	3	2	2	4	2	0	2	0
CENPK1137D_5005	P40523	YIL055C	0	1	1	4	5	2	1	0	0	1	1	0
CENPK1137D_1049	P19145	YKR039W	0	0	0	0	0	0	2	3	0	0	0	0
CENPK1137D_2070	Q08347	YOL164W	0	0	0	0	0	0	0	0	0	2	2	1
CENPK1137D_5058	P40557	YIL005W	2	2	2	0	0	0	1	0	0	0	0	0
CENPK1137D_2178	Q12412	YOR161C	0	0	0	0	0	0	0	1	0	2	2	2
CENPK1137D_4802	P38144	YBR245C	7	6	8	4	3	0	4	4	6	3	2	0
CENPK1137D_1352	P47116	YJR059W	2	4	2	2	4	0	1	3	2	7	7	7
CENPK1137D_180	P40218	YMR147W	0	0	0	2	3	1	0	1	1	0	0	0
CENPK1137D_1107 CENPK1137D_5109	P0CH09 P0CH08	YKR094C YIL148W	37	31	29	38	34	30	26	29	24	25	20	16
CENPK1137D_465	P38634	YLR079W	0	0	0	2	4	1	1	0	0	0	0	1
CENPK1137D_86	P38993	YMR058W	0	0	1	0	1	0	0	0	0	3	2	2
CENPK1137D_2344	P33328	YOR327C	0	4	0	0	5	0	0	0	0	0	0	0
CENPK1137D_3188	P10834	YGR222W	0	0	0	2	2	0	0	0	0	1	1	3
CENPK1137D_2572	P42844	YNL310C	1	1	2	2	2	1	0	0	0	0	0	0
CENPK1137D_2760	P32462	YNL280C	3	4	2	3	0	1	2	1	1	0	0	0
CENPK1137D_5132	P32597	YIL126W	2	4	5	0	1	0	2	0	2	1	0	1
CENPK1137D_2912	P53064	YGL244W	1	3	3	1	3	0	0	0	0	3	1	4
CENPK1137D_3804	Q00055	YDL022W	11	11	11	15	16	13	8	9	10	61	60	59
CENPK1137D_1639	P54115	YPL061W	125	113	108	101	100	85	106	98	113	185	200	201
CENPK1137D_5141	P00724	YIL162W	8	10	9	16	14	12	11	10	10	50	46	47
CENPK1137D_2390	P07262	YOR375C	62	57	62	45	42	42	99	99	94	87	89	82
CENPK1137D_3141	P32476	YGR175C	33	32	24	13	18	11	29	19	23	4	4	3
CENPK1137D_2676	P00890	YNR001C	78	84	75	92	96	65	69	74	84	135	141	139
CENPK1137D_4617	P15992	YBR072W	97	88	83	87	80	75	94	84	92	43	43	35
CENPK1137D_5411	P04076	YHR018C	28	30	25	16	18	13	19	17	22	3	3	2
CENPK1137D_3054	P06115	YGR088W	3	6	5	3	2	1	15	14	10	21	23	22
CENPK1137D_3368	P22943	YFL014W	65	72	58	72	70	49	51	55	68	33	22	18
CENPK1137D_673	P31539	YLL026W	132	130	122	131	142	109	118	106	132	76	70	64
CENPK1137D_4319	Q12680	YDL171C	36	40	36	21	25	22	68	58	62	46	50	44
CENPK1137D_3199	P39676	YGR234W	50	53	44	22	20	14	48	45	44	54	54	48
CENPK1137D_1111	P10963	YKR097W	3	6	7	13	11	6	2	1	0	16	18	19
CENPK1137D_5446	P38777	YHR049W	0	0	1	0	1	0	2	2	0	8	12	10
CENPK1137D_3646	P32775	YEL011W	11	17	23	23	22	23	21	19	18	3	4	3
CENPK1137D_5006	P41277	YIL053W	9	10	14	10	14	9	8	8	8	35	28	26
CENPK1137D_1962	P22768	YOL058W	65	70	56	50	45	37	41	49	55	28	23	26
CENPK1137D_1403	P03965	YJR109C	72	68	65	49	44	39	62	55	56	30	31	31
CENPK1137D_1415	P00830	YJR121W	132	119	115	113	113	95	123	112	108	168	168	166
CENPK1137D_1851	P06738	YPR160W	22	27	28	25	25	24	26	29	33	7	6	9
CENPK1137D_3503	P05694	YER091C	200	168	161	126	127	97	154	143	135	135	116	106
CENPK1137D_4663	P33315	YBR117C	24	30	32	33	38	29	35	31	38	66	64	56
CENPK1137D_4473	Q96VH4	YCL026C-B	5	9	7	6	8	4	15	11	11	28	25	18
CENPK1137D_1055	P36139	YKR046C	15	21	14	19	19	14	13	15	17	3	3	2
CENPK1137D_208	P50263	YMR175W	11	11	9	7	7	4	3	6	5	0	0	0
CENPK1137D_4500	P08679	YCR005C	11	14	14	21	23	14	14	17	12	35	33	37
CENPK1137D_746	P09201	YLR377C	5	7	6	10	7	11	3	3	4	0	0	0
CENPK1137D_3469	P40106	YER062C	3	5	7	4	7	4	5	6	6	23	18	14
CENPK1137D_3693	P01098	YDL130W-A	14	17	16	14	21	13	12	10	13	0	8	0
CENPK1137D_3477	Q01217	YER069W	59	63	53	40	46	32	51	47	50	32	26	24
CENPK1137D_4927	P39708	YAL062W	16	16	16	14	14	18	37	40	34	25	20	24
CENPK1137D_4778	P38137	YBR222C	18	14	10	6	10	8	21	14	10	33	24	26
CENPK1137D_1274	P09938	YJL026W	60	57	47	37	40	41	41	37	45	25	24	25
CENPK1137D_2642	P28834	YNL037C	25	30	30	26	28	22	25	23	28	53	46	48
CENPK1137D_20	P25087	YML008C	48	57	51	40	30	29	44	40	39	26	26	21
CENPK1137D_2964	P05030	YGL008C	50	56	51	55	53	47	61	50	55	89	79	84
CENPK1137D_3741	Q07500	YDL085W	8	12	12	14	11	7	9	13	11	1	1	2
CENPK1137D_945	P14540	YKL060C	124	114	114	97	107	75	93	94	136	147	144	133
CENPK1137D_25	P50107	YML004C	3	6	6	3	2	3	5	6	6	15	14	14
CENPK1137D_1876	Q06625	YPR184W	11	13	11	19	18	16	14	12	10	5	4	2
CENPK1137D_4361	Q04432	YDR533C	6	8	7	10	9	9	8	8	7	1	1	0
CENPK1137D_3146	P49723	YGR180C	56	52	48	44	40	31	34	35	31	28	26	23
CENPK1137D_4507	P25613	YCR010C	6	7	7	14	16	10	8	5	5	1	2	3
CENPK1137D_5284	P38840	YHR137W	8	14	12	11	10	10	3	8	7	1	2	2
CENPK1137D_1594	P32589	YPL106C	100	97	87	93	94	64	71	68	87	123	106	117
CENPK1137D_624	P16521	YLR249W	118	111	109	81	73	67	94	85	90	108	105	101
CENPK1137D_2320	P07258	YOR303W	0	2	2	0	0	0	0	0	0	3	5	5
CENPK1137D_289	Q04792	YMR250W	4	7	7	10	12	7	8	4	6	0	2	0
CENPK1137D_1993	Q12068	YOL151W	8	7	9	8	9	5	12	11	12	28	20	15
CENPK1137D_2190	Q12123	YOR173W	14	16	18	25	23	25	27	21	18	10	10	6
CENPK1137D_1	Q03102	YML131W	11	17	14	8	10	9	20	18	19	24	26	26
CENPK1137D_2713	Q3E841	YNR034W-A	8	12	11	14	15	13	15	15	14	6	4	1
CENPK1137D_2980	P16965	YGR008C	5	10	5	7	9	4	4	5	6	0	1	0
CENPK1137D_2662	P53978	YNL014W	39	35	36	32	36	32	32	28	28	18	16	17
CENPK1137D_1157	P36060	YKL150W	35	42	35	26	27	20	38	34	34	53	49	44
CENPK1137D_597	Q05812	YLR219W	6	5	5	11	12	9	6	7	6	2	0	2
CENPK1137D_3890	Q12497	YDR070C	3	8	6	9	9	8	4	4	5	1	1	0
CENPK1137D_232	Q04336	YMR196W	8	10	13	20	18	12	14	17	13	3	5	6
CENPK1137D_1398	P00445	YJR104C	24	36	34	43	47	31	30	30	41	25	19	13
CENPK1137D_808	P07991	YLR438W	27	25	26	29	30	19	22	18	19	10	12	11
CENPK1137D_3299	P04807	YGL253W	49	42	40	35	35	33	36	30	35	54	57	59
CENPK1137D_4858	P38158	YBR299W	10	11	16	13	12	10	12	17	16	27	26	26
CENPK1137D_4929	P39721	YAL049C	0	0	2	6	4	4	5	1	0	0	0	0
CENPK1137D_1941	Q08926	YPL186C	3	2	3	5	7	3	4	5	4	0	0	0
CENPK1137D_442	P32353	YLR056W	7	4	5	2	0	1	6	4	3	0	1	0
CENPK1137D_3977	P14832	YDR155C	50	54	53	70	62	58	50	51	47	39	38	32
CENPK1137D_40	P23585	YMR011W	9	9	7	4	4	5	4	7	5	17	14	13
CENPK1137D_3590	P32643	YER175C	10	12	9	9	8	6	9	7	5	4	1	0
CENPK1137D_225	P49095	YMR189W	13	21	21	8	9	6	14	12	14	8	5	8
CENPK1137D_5285	P38741	YHL024W	8	9	6	12	11	6	10	9	7	3	0	2
CENPK1137D_3886	P33327	YDL215C	23	27	22	31	26	26	17	18	14	13	11	14
CENPK1137D_2402	Q08911	YOR388C	30	38	37	53	45	39	38	34	37	29	23	19
CENPK1137D_1902	Q08969	YPL223C	9	11	9	8	5	4	6	8	3	1	2	1
CENPK1137D_382	P54838	YML070W	22	28	23	24	26	18	19	16	24	40	34	40
CENPK1137D_2071	P50861	YOL143C	8	9	8	11	11	6	8	9	7	20	19	19
CENPK1137D_3094	P53275	YGR127W	1	5	4	5	4	5	4	3	4	0	0	0
CENPK1137D_5153	P40433	YIL107C	3	3	2	6	10	7	1	0	4	2	1	1
CENPK1137D_5118	P40414	YIL138C	4	4	3	15	15	12	9	9	3	7	9	6
CENPK1137D_3802	Q12100	YDL025C	4	5	4	3	3	3	2	2	4	8	14	9
CENPK1137D_5424	P38765	YHR029C	5	7	6	3	4	2	5	2	7	0	1	0
CENPK1137D_2246	Q12363	YOR230W	39	31	24	33	27	28	28	27	31	18	15	14
CENPK1137D_138	Q04438	YMR107W	6	6	7	9	8	9	8	5	6	2	2	0
CENPK1137D_2409	Q08245	YOL109W	32	29	31	42	37	34	38	37	32	21	23	17
CENPK1137D_3353	P43567	YFL030W	17	20	19	16	10	13	21	16	15	27	30	27
CENPK1137D_5199	P23285	YHR057C	1	1	2	0	0	0	5	1	2	0	0	0
CENPK1137D_2623	P04840	YNL055C	65	57	62	72	70	53	51	54	60	49	39	37
CENPK1137D_1527	P41816	YPL171C	4	7	5	4	5	2	14	14	7	5	4	4
CENPK1137D_2945	P00931	YGL026C	55	49	41	26	36	23	35	34	35	39	30	33
CENPK1137D_2104	P18544	YOL140W	31	25	26	22	20	16	25	24	22	12	12	15
CENPK1137D_2677	P32907	YNR002C	8	13	9	7	8	5	9	6	11	1	3	3
CENPK1137D_2258	Q08647	YOR243C	1	3	8	0	0	0	3	1	4	2	1	3
CENPK1137D_2575	P06208	YNL104C	64	74	54	43	51	41	44	44	53	43	38	45
CENPK1137D_3006	P31787	YGR037C	19	21	17	22	15	14	17	17	13	10	7	6
CENPK1137D_1774	P23254	YPR074C	70	72	53	46	44	35	55	50	60	65	59	53
CENPK1137D_269	Q05022	YMR229C	18	28	25	12	12	10	25	22	16	17	13	15
CENPK1137D_2780	P38636	YNL259C	0	0	0	3	2	2	1	3	0	0	0	0
CENPK1137D_136	P37012	YMR105C	20	23	18	40	29	25	30	28	24	20	14	17
CENPK1137D_363	Q04894	YMR318C	20	19	17	13	12	7	23	18	14	26	24	21
CENPK1137D_3610	P39976	YEL071W	18	23	18	19	21	14	23	16	19	35	29	31
CENPK1137D_3268	P33892	YGL195W	10	11	13	9	11	10	22	11	15	20	19	24
CENPK1137D_206			16	19	13	18	15	10	19	20	21	34	26	22
CENPK1137D_3481	P40047	YER073W	27	26	20	17	20	17	18	17	15	12	12	10
CENPK1137D_5173	P40502	YIL087C	2	2	3	3	3	4	3	3	1	0	0	0
CENPK1137D_3701	Q07551	YDL124W	29	32	36	38	42	34	33	31	33	26	21	18
CENPK1137D_1580	Q00776	YPL259C	3	4	2	0	0	0	0	0	2	2	2	1
CENPK1137D_1389	P47137	YJR096W	7	8	6	10	10	9	8	10	7	2	6	0
CENPK1137D_2712	P50278	YNR034W	0	3	2	5	0	3	3	3	3	7	9	6
CENPK1137D_161	P39685	YMR129W	0	1	0	3	0	1	1	3	0	5	4	4
CENPK1137D_4769	P38314	YBR214W	8	10	10	11	12	10	4	4	8	5	4	3
CENPK1137D_3854	Q12117	YDR033W	4	3	4	4	5	3	7	6	3	13	10	8
CENPK1137D_4074	P37304	YDR251W	3	6	2	0	1	0	2	0	0	2	1	0
CENPK1137D_1819	Q06494	YPR127W	12	11	12	17	18	12	17	16	10	8	6	6
CENPK1137D_1697	Q12230	YPL004C	43	39	36	30	38	37	37	36	40	27	25	21
CENPK1137D_1444	P47176	YJR148W	15	15	13	16	16	12	17	16	14	7	6	8
CENPK1137D_4730	P38295	YBR177C	9	13	9	3	5	2	7	9	9	5	4	9
CENPK1137D_71	P54000	YMR039C	3	2	3	5	4	2	2	0	1	5	6	7
CENPK1137D_3475	P40043	YER067W	1	3	3	5	5	5	4	1	0	1	1	0
CENPK1137D_4894	P38167	YBL101C	5	10	7	7	9	7	6	3	3	3	2	2
CENPK1137D_2172	Q99312	YOR155C	2	3	3	0	0	0	1	2	4	2	3	0
CENPK1137D_5323	P38862	YHR171W	0	2	3	3	2	2	3	2	3	0	0	0
CENPK1137D_3979	P13663	YDR158W	33	39	30	29	29	20	20	18	28	23	19	20
CENPK1137D_805	Q07807	YLL013C	3	3	2	0	0	0	1	0	3	0	0	2
CENPK1137D_766	P04039	YLR395C	0	6	4	0	0	3	6	3	0	8	4	6
CENPK1137D_2580	P01120	YNL098C	16	20	19	23	24	20	11	12	16	12	10	15
CENPK1137D_651	Q07824	YLL028W	1	1	2	0	1	0	2	3	2	0	0	0
CENPK1137D_5279	Q9P305	YHR132W-A	2	2	6	7	7	4	3	4	3	2	1	0
CENPK1137D_3166	P42936	YGR201C	1	3	3	0	2	1	1	3	3	0	0	0
CENPK1137D_699	Q06177	YLR327C	11	12	10	9	9	6	9	10	6	4	3	4
CENPK1137D_3294	P13586	YGL167C	4	4	4	0	1	0	2	3	4	4	0	2
CENPK1137D_2180	Q99321	YOR163W	1	2	4	0	2	0	1	0	0	0	0	0
CENPK1137D_145	Q04471	YMR114C	0	0	2	1	4	2	0	0	1	0	0	0
CENPK1137D_1468	P38970	YJL165C	2	0	3	0	1	2	0	0	0	0	0	0
CENPK1137D_5067	P40563	YIR003W	0	0	0	3	3	1	1	2	1	3	2	2
CENPK1137D_1616	P48582	YPL084W	2	2	3	2	2	0	4	0	3	0	0	0
CENPK1137D_3122	P05374	YGR157W	2	3	4	1	1	0	1	3	1	4	6	4
CENPK1137D_2368	Q08817	YOR353C	0	0	0	0	1	0	0	0	0	1	2	2
CENPK1137D_1837	P49089	YPR145W	27	35	26	22	21	16	22	26	35	18	18	20
CENPK1137D_235	P38427	YML100W	18	29	26	35	41	34	28	29	27	27	23	20
CENPK1137D_4346	P32472	YDR519W	7	6	6	2	4	6	5	4	6	1	2	1
CENPK1137D_4973	P18409	YAL010C	0	1	0	2	1	2	0	0	0	1	2	3
CENPK1137D_3609	P37303	YEL046C	0	3	2	0	0	0	1	0	0	2	2	2
CENPK1137D_769	P35207	YLR398C	0	0	1	0	0	0	0	0	0	2	2	1
CENPK1137D_5202	P38784	YHR060W	0	0	0	0	0	1	1	2	2	0	0	0
CENPK1137D_2511	P53889	YNL168C	0	1	1	3	2	4	4	3	1	0	0	1
CENPK1137D_4669	P36531	YBR122C	4	5	5	1	4	2	0	2	0	2	4	5
CENPK1137D_4353	P32771	YDL168W	4	2	6	8	4	4	4	4	3	10	10	9
CENPK1137D_384	P54839	YML126C	30	27	28	19	17	16	24	23	25	21	17	16
CENPK1137D_1707	Q12031	YPR006C	15	21	13	26	16	19	28	23	23	12	16	13
CENPK1137D_2919	P21147	YGL055W	6	12	8	2	4	2	11	6	5	5	6	6
CENPK1137D_575	P14743	YLR195C	0	0	1	3	0	0	2	1	2	4	4	3
CENPK1137D_1598	Q02884	YPL101W	0	2	0	0	0	0	0	0	0	3	1	1
CENPK1137D_2118	P27810	YOR099W	2	1	2	0	0	0	0	0	0	0	1	1
CENPK1137D_347	P40416	YMR301C	0	1	1	0	0	0	0	0	0	1	3	1
CENPK1137D_1737	P32288	YPR035W	10	13	11	8	6	5	13	15	13	16	16	10
CENPK1137D_3350			0	1	0	2	1	1	1	0	0	3	3	3
CENPK1137D_3215	P53315	YGR248W	2	3	4	5	2	2	3	5	3	0	1	0
CENPK1137D_1214	P05150	YJL088W	19	22	20	16	12	7	19	18	17	13	12	11
CENPK1137D_3391	P43535	YFR009W	6	11	8	3	6	2	4	5	6	11	8	10
CENPK1137D_203			3	3	3	1	2	0	5	2	3	6	7	4
CENPK1137D_583	Q05785	YLR206W	2	5	7	8	8	7	5	5	6	3	1	2
CENPK1137D_2232	Q12032	YOR215C	9	10	8	4	3	3	10	6	9	6	6	3
CENPK1137D_3841	P48015	YDR019C	17	21	20	16	20	15	18	13	17	9	11	9
CENPK1137D_2074	Q08438	YOR054C	1	0	2	4	7	5	3	2	3	4	5	3
CENPK1137D_3139	P53295	YGR173W	4	4	5	1	1	2	5	3	7	6	5	7
CENPK1137D_4633	O43137	YBR085C-A	2	2	1	6	1	4	3	3	2	1	0	0
CENPK1137D_1151	P32454	YKL157W	27	37	35	41	38	32	33	35	38	30	20	21
CENPK1137D_4831	P38349	YBR273C	0	2	5	0	4	0	0	0	2	0	0	0
CENPK1137D_821	P12684	YLR450W	1	1	2	1	0	1	5	4	3	1	1	1
CENPK1137D_3097	P53278	YGR130C	28	41	33	40	40	27	38	34	34	19	32	19
CENPK1137D_2563	P30952	YNL117W	24	24	24	25	27	19	30	23	27	11	17	18
CENPK1137D_625	P39931	YLR250W	3	4	2	4	6	4	4	3	0	0	2	0
CENPK1137D_4932	P39724	YAL046C	0	0	0	1	0	0	1	1	2	2	2	2
CENPK1137D_5437	P34162	YHR041C	0	2	2	0	0	0	2	2	2	0	0	1
CENPK1137D_1108	Q02455	YKR095W	1	3	0	7	2	2	0	2	3	0	0	1
CENPK1137D_397	Q04964	YML058W	1	0	1	2	3	2	1	1	1	0	0	0
CENPK1137D_4926	P35195	YBL001C	4	4	6	2	6	6	1	2	5	2	1	0
CENPK1137D_2973	P53201	YGR002C	0	1	0	3	2	0	1	1	3	0	0	0
CENPK1137D_1368	P47124	YJR075W	0	0	0	0	1	0	2	1	2	1	2	2
CENPK1137D_2793	P53852	YNL247W	12	15	15	8	8	6	8	10	10	17	9	17
CENPK1137D_4047	P02293	YDR224C	36	28	24	25	30	22	26	27	22	19	15	18
CENPK1137D_5234	P38804	YHR087W	3	7	7	12	9	11	13	10	13	10	8	2
CENPK1137D_44	P54781	YMR015C	7	8	7	4	2	1	8	6	7	5	6	6
CENPK1137D_3678			2	6	2	9	10	5	4	6	8	4	4	1
CENPK1137D_3209	P53311	YGR243W	1	1	2	2	4	1	1	1	2	5	5	5
CENPK1137D_3160	P46948	YGR195W	0	3	0	0	1	0	3	4	3	0	4	2
CENPK1137D_3489	P40052	YER079W	0	0	0	3	3	0	1	1	1	0	1	0
CENPK1137D_2539	P53909	YNL141W	0	1	2	0	0	0	3	1	2	1	0	0
CENPK1137D_1084	P36154	YKR074W	4	0	0	5	0	1	3	2	1	0	0	0
CENPK1137D_4549	P38212	YBR005W	0	1	1	1	2	2	4	2	0	0	0	0
CENPK1137D_1205	P40858	YJL096W	3	2	1	0	2	0	0	0	0	3	0	2
CENPK1137D_2131	P41696	YOR113W	0	0	1	2	2	2	1	0	1	0	0	0
CENPK1137D_4060	Q03778	YDR236C	1	3	2	1	0	1	0	0	1	0	0	0
CENPK1137D_633	P27472	YLR258W	8	10	12	14	13	10	15	11	13	6	8	4
CENPK1137D_899	P14904	YKL103C	16	20	18	13	18	13	14	13	13	10	9	8
CENPK1137D_5151	P40483	YIL108W	1	4	3	4	3	2	3	4	3	6	8	8
CENPK1137D_2487	P40168	YNL195C	0	3	2	4	2	0	2	0	3	0	0	0
CENPK1137D_5399	P10614	YHR007C	10	17	15	10	8	6	15	13	11	7	10	6
CENPK1137D_1563	Q03020	YPL135W	1	1	1	1	0	1	0	1	0	4	2	3
CENPK1137D_2476	P40159	YNL208W	13	16	13	22	18	19	17	16	19	11	10	11
CENPK1137D_619	Q01662	YLR244C	6	4	3	1	2	1	5	4	3	2	1	1
CENPK1137D_3512	P38620	YER099C	1	1	0	3	6	4	2	5	2	2	3	3
CENPK1137D_62	Q05050	YMR031C	32	39	29	40	38	30	41	33	45	32	25	21
CENPK1137D_3336	P07283	YFL045C	25	26	28	18	16	13	15	22	23	20	19	15
CENPK1137D_3	P02407	YML024W	41	35	25	21	31	19	21	21	25	24	22	25
CENPK1137D_4292	Q03305	YDR465C	1	2	2	0	0	0	0	1	2	2	1	3
CENPK1137D_1913	Q12211	YPL212C	4	8	7	5	3	1	5	4	7	2	1	3
CENPK1137D_4080	P15202	YDR256C	33	33	27	24	33	24	27	24	25	22	18	17
CENPK1137D_3279	P53101	YGL184C	7	10	9	6	4	5	6	5	4	3	3	3
CENPK1137D_494	Q12019	YLR106C	0	0	1	3	1	0	4	2	0	0	4	6
CENPK1137D_5026	P15790	YIL035C	0	3	1	0	0	1	0	0	0	1	1	3
CENPK1137D_3305	P22855	YGL156W	26	33	28	30	24	23	27	23	24	25	15	13
CENPK1137D_455	P25039	YLR069C	9	7	5	13	12	10	9	7	6	4	5	6
CENPK1137D_2372	Q08822	YOR356W	15	16	13	7	9	6	12	8	8	13	7	6
CENPK1137D_1466	P08524	YJL167W	26	29	29	19	19	18	20	23	22	18	19	16
CENPK1137D_4055			0	0	0	1	0	1	1	1	0	2	2	2
CENPK1137D_2890	P53063	YGL246C	0	2	0	0	0	0	0	2	0	2	2	2
CENPK1137D_4208	P48570	YDL182W	31	38	28	29	34	22	25	23	26	41	34	37
CENPK1137D_5219	P38737	YHL030W	2	3	3	3	1	2	7	9	3	5	3	5
CENPK1137D_2542	P27929	YNL137C	3	8	3	3	0	1	0	2	2	4	3	2
CENPK1137D_80	Q04660	YMR049C	10	9	14	8	4	4	14	11	10	10	9	8
CENPK1137D_2661	P0CT04	YNL015W	14	18	15	25	21	14	22	14	17	15	10	8
CENPK1137D_1178	P36006	YKL129C	2	3	2	4	4	3	5	3	3	2	0	0
CENPK1137D_674	P23776	YLR300W	10	12	11	13	9	7	7	6	6	10	16	15
CENPK1137D_4405	P25631	YCR051W	11	14	14	11	10	11	9	6	11	8	5	5
CENPK1137D_4516	P25619	YCR021C	1	4	1	1	2	1	1	1	1	0	0	0
CENPK1137D_1399	P47143	YJR105W	33	37	34	38	30	29	28	31	29	26	22	20
CENPK1137D_3443	P40029	YER042W	9	12	12	13	7	10	11	10	10	7	3	5
CENPK1137D_3653	P33767	YEL002C	6	7	9	3	6	3	10	11	5	5	4	3
CENPK1137D_4400	P25375	YCL057W	13	12	11	14	8	6	15	13	8	18	18	17
CENPK1137D_3856	P14843	YDR035W	21	28	26	21	21	14	19	21	20	16	14	14
CENPK1137D_5249	P38715	YHR104W	9	16	12	16	19	13	14	12	14	21	24	18
CENPK1137D_1581	P24784	YPL119C	3	5	8	5	10	6	6	2	3	2	2	3
CENPK1137D_3367	P35191	YFL016C	7	8	11	12	15	8	2	4	9	8	8	10
CENPK1137D_3171	P42938	YGR205W	4	5	7	7	6	5	3	1	5	4	2	0
CENPK1137D_1505	P08018	YJL128C	1	2	1	1	0	1	3	2	3	5	3	3
CENPK1137D_2669	P41318	YNL006W	0	0	1	0	0	0	0	0	1	0	2	3
CENPK1137D_3636	P39994	YEL020C	0	1	0	0	1	0	0	0	0	3	1	1
CENPK1137D_1958			1	0	0	1	0	0	3	2	0	0	0	0
CENPK1137D_4996	P35845	YAR042W	2	4	4	4	6	8	2	2	5	2	2	1
CENPK1137D_134	P18961	YMR104C	2	5	4	7	7	4	3	2	4	1	2	2
CENPK1137D_4940	P06182	YAL039C	1	4	0	1	3	1	1	1	2	0	0	0
CENPK1137D_2549	P26754	YNL312W	2	2	3	2	4	3	2	2	2	8	5	5
CENPK1137D_3125	P27476	YGR159C	20	18	22	17	12	10	19	16	22	28	19	20
CENPK1137D_3565	Q01477	YER151C	2	5	3	2	2	4	5	4	4	6	10	6
CENPK1137D_3403	P43601	YFR021W	1	2	2	1	1	1	0	0	0	1	0	0
CENPK1137D_3940	Q04602	YDR119W	1	2	2	0	1	0	0	1	2	0	0	0
CENPK1137D_5442	P38775	YHR045W	0	1	0	0	0	0	2	1	0	0	2	3
CENPK1137D_4417	P25365	YCR067C	0	0	1	1	2	2	1	2	0	0	0	0
CENPK1137D_4236	P04161	YDR408C	4	3	3	3	3	5	3	3	3	0	2	0
CENPK1137D_1620	Q12672	YPL079W	25	19	17	10	15	10	14	12	15	17	15	17
CENPK1137D_3361			2	3	4	2	1	1	3	3	2	5	6	5
CENPK1137D_2897	P20447	YGL078C	5	4	4	2	2	2	7	6	6	4	4	1
CENPK1137D_1220	P47031	YJL082W	5	2	3	8	8	2	2	2	2	3	2	2
CENPK1137D_2119	Q12289	YOR100C	1	2	2	3	5	5	2	0	2	3	5	4
CENPK1137D_3805	Q12008	YDL021W	0	1	2	4	3	3	0	2	0	1	0	2
CENPK1137D_5444	P37898	YHR047C	10	17	18	13	14	14	14	14	14	7	7	10
CENPK1137D_290	Q04493	YML094W	0	0	0	1	0	0	2	0	0	2	2	1
CENPK1137D_4072	Q03786	YDR248C	0	2	3	0	0	0	2	0	0	1	0	0
