"protein","Gene","orthogroup"
"P06783","YKL178C","S+KLZ-Single"
"P06784","YDL159W","S+KLZ-Single"
"P06785","YOR074C","S+KLZ-Single"
"P06786","YNL088W","S+KLZ-Single"
"P06787","YBR109C","S+KLZ-Single"
"P06838","YML095C","S+KLZ-Single"
"P06839","YER171W","S+KLZ-Single"
"P06843","YER161C","S+KLZ-Single"
"P06844","YDR392W","S+KLZ-Single"
"P07143","YOR065W","S+KLZ-Single"
"P07149","YKL182W","S+KLZ-Single"
"P07170","YDR226W","S+KLZ-Single"
"P07172","YIL116W","S+KLZ-Single"
"P07213","YNL121C","S+KLZ-Single"
"P07236","YKL194C","S+KLZ-Single"
"P07244","YGL234W","S+KLZ-Single"
"P07248","YDR216W","S+KLZ-Single"
"P07250","YDR173C","S+KLZ-Single"
"P07251","YBL099W","S+KLZ-Single"
"P07252","YJL209W","S+KLZ-Single"
"P07253","YBR120C","S+KLZ-Single"
"P07255","YDL067C","S+KLZ-Single"
"P07256","YBL045C","S+KLZ-Single"
"P07257","YPR191W","S+KLZ-Single"
"P07258","YOR303W","S+KLZ-Single"
"P07260","YOL139C","S+KLZ-Single"
"P07261","YPL075W","S+KLZ-Single"
"P07263","YPR033C","S+KLZ-Single"
"P07264","YGL009C","S+KLZ-Single"
"P07267","YPL154C","S+KLZ-Single"
"P07269","YDL106C","S+KLZ-Single"
"P07270","YFR034C","S+KLZ-Single"
"P07272","YLR014C","S+KLZ-Single"
"P07273","YGL043W","S+KLZ-Single"
"P07274","YOR122C","S+KLZ-Single"
"P07275","YHR037W","S+KLZ-Single"
"P07276","YGR258C","S+KLZ-Single"
"P07277","YMR208W","S+KLZ-Single"
"P07278","YIL033C","S+KLZ-Single"
"P07283","YFL045C","S+KLZ-Single"
"P07284","YDR023W","S+KLZ-Single"
"P07285","YDR354W","S+KLZ-Single"
"P07286","YBR243C","S+KLZ-Single"
"P07342","YMR108W","S+KLZ-Single"
"P07347","YHR013C","S+KLZ-Single"
"P07390","YNR045W","S+KLZ-Single"
"P07560","YFL005W","S+KLZ-Single"
"P07702","YBR115C","S+KLZ-Single"
"P07703","YPR110C","S+KLZ-Single"
"P07806","YGR094W","S+KLZ-Single"
"P07807","YOR236W","S+KLZ-Single"
"P07834","YFL009W","S+KLZ-Single"
"P07866","YAL024C","S+KLZ-Single"
"P07884","YOR274W","S+KLZ-Single"
"P07991","YLR438W","S+KLZ-Single"
"P08004","YNL192W","S+KLZ-Single"
"P08018","YJL128C","S+KLZ-Single"
"P08019","YIL099W","S+KLZ-Single"
"P08067","YEL024W","S+KLZ-Single"
"P08417","YPL262W","S+KLZ-Single"
"P08425","YPR047W","S+KLZ-Single"
"P08431","YBR018C","S+KLZ-Single"
"P08432","YKL184W","S+KLZ-Single"
"P08456","YER026C","S+KLZ-Single"
"P08458","YDR523C","S+KLZ-Single"
"P08465","YNL277W","S+KLZ-Single"
"P08466","YJL208C","S+KLZ-Single"
"P08468","YMR257C","S+KLZ-Single"
"P08518","YOR151C","S+KLZ-Single"
"P08521","YOR302W","S+KLZ-Single"
"P08524","YJL167W","S+KLZ-Single"
"P08525","YJL166W","S+KLZ-Single"
"P08536","YJR010W","S+KLZ-Single"
"P08539","YHR005C","S+KLZ-Single"
"P08566","YDR127W","S+KLZ-Single"
"P08593","YPR134W","S+KLZ-Single"
"P08638","YLR451W","S+KLZ-Single"
"P08678","YJL005W","S+KLZ-Single"
"P08964","YHR023W","S+KLZ-Single"
"P09032","YOR260W","S+KLZ-Single"
"P09064","YPL237W","S+KLZ-Single"
"P09119","YJL194W","S+KLZ-Single"
"P09201","YLR377C","S+KLZ-Single"
"P09232","YEL060C","S+KLZ-Single"
"P09368","YLR142W","S+KLZ-Single"
"P09436","YBL076C","S+KLZ-Single"
"P09457","YDR298C","S+KLZ-Single"
"P09547","YPL016W","S+KLZ-Single"
"P09620","YGL203C","S+KLZ-Single"
"P09624","YFL018C","S+KLZ-Single"
"P09798","YKL022C","S+KLZ-Single"
"P09880","YJL087C","S+KLZ-Single"
"P09932","YDL227C","S+KLZ-Single"
"P09937","YOR313C","S+KLZ-Single"
"P09938","YJL026W","S+KLZ-Single"
"P09950","YDR232W","S+KLZ-Single"
"P09959","YLR182W","S+KLZ-Single"
"P0C074","YNL138W-A","S+KLZ-Single"
"P0C268","YBL039W-B","S+KLZ-Single"
"P0C289","YDR034C-A","S+KLZ-Single"
"P0C5N3","YGL041W-A","S+KLZ-Single"
"P0C5R9","YPR170W-B","S+KLZ-Single"
"P0CD91","YPR192W","S+KLZ-Single"
"P0CE41","YLR256W","S+KLZ-Single"
"P0CF17","YML002W","S+KLZ-Single"
"P0CG63","YLL039C","S+KLZ-Single"
"P0CT04","YNL015W","S+KLZ-Single"
"P0CY11","YCR097W","S+KLZ-Single"
"P10080","YHL034C","S+KLZ-Single"
"P10081","YKR059W, YJL138C","S+KLZ-Single"
"P10127","YGL256W","S+KLZ-Single"
"P10174","YMR256C","S+KLZ-Single"
"P10355","YER153C","S+KLZ-Single"
"P10356","YER152C","S+KLZ-Single"
"P10363","YIR008C","S+KLZ-Single"
"P10507","YLR163C","S+KLZ-Single"
"P10614","YHR007C","S+KLZ-Single"
"P10622","YDL130W","S+KLZ-Single"
"P10662","YDR347W","S+KLZ-Single"
"P10663","YPR166C","S+KLZ-Single"
"P10823","YER020W","S+KLZ-Single"
"P10834","YGR222W","S+KLZ-Single"
"P10849","YDL044C","S+KLZ-Single"
"P10862","YCR066W","S+KLZ-Single"
"P10869","YER052C","S+KLZ-Single"
"P10961","YGL073W","S+KLZ-Single"
"P10962","YAL025C","S+KLZ-Single"
"P10963","YKR097W","S+KLZ-Single"
"P10964","YOR341W","S+KLZ-Single"
"P11075","YDR170C","S+KLZ-Single"
"P11325","YLR382C","S+KLZ-Single"
"P11353","YDR044W","S+KLZ-Single"
"P11412","YNL241C","S+KLZ-Single"
"P11433","YAL041W","S+KLZ-Single"
"P11491","YDR481C","S+KLZ-Single"
"P11655","YNR026C","S+KLZ-Single"
"P11709","YCL029C","S+KLZ-Single"
"P11710","YCL027W","S+KLZ-Single"
"P11745","YMR235C","S+KLZ-Single"
"P11747","YML098W","S+KLZ-Single"
"P11792","YHR205W","S+KLZ-Single"
"P11914","YHR024C","S+KLZ-Single"
"P11927","YNL188W","S+KLZ-Single"
"P11938","YNL216W","S+KLZ-Single"
"P11972","YLR452C","S+KLZ-Single"
"P11978","YDR227W","S+KLZ-Single"
"P11986","YJL153C","S+KLZ-Single"
"P12385","YBR143C","S+KLZ-Single"
"P12611","YOR043W","S+KLZ-Single"
"P12612","YDR212W","S+KLZ-Single"
"P12683","YML075C","S+KLZ-Single"
"P12686","YGR084C","S+KLZ-Single"
"P12687","YNL005C","S+KLZ-Single"
"P12689","YOR346W","S+KLZ-Single"
"P12695","YNL071W","S+KLZ-Single"
"P12709","YBR196C","S+KLZ-Single"
"P12753","YNL250W","S+KLZ-Single"
"P12754","YGR083C","S+KLZ-Single"
"P12866","YKL209C","S+KLZ-Single"
"P12868","YMR231W","S+KLZ-Single"
"P12887","YML021C","S+KLZ-Single"
"P12904","YGL115W","S+KLZ-Single"
"P12945","YDL040C","S+KLZ-Single"
"P12954","YJL092W","S+KLZ-Single"
"P12962","YOR276W","S+KLZ-Single"
"P13090","YML116W","S+KLZ-Single"
"P13099","YLR234W","S+KLZ-Single"
"P13134","YNL238W","S+KLZ-Single"
"P13188","YOR168W","S+KLZ-Single"
"P13259","YGR202C","S+KLZ-Single"
"P13298","YML106W","S+KLZ-Single"
"P13365","YAL040C","S+KLZ-Single"
"P13382","YNL102W","S+KLZ-Single"
"P13393","YER148W","S+KLZ-Single"
"P13433","YFL036W","S+KLZ-Single"
"P13434","YBL021C","S+KLZ-Single"
"P13483","YML113W","S+KLZ-Single"
"P13517","YIL034C","S+KLZ-Single"
"P13574","YHR084W","S+KLZ-Single"
"P13586","YGL167C","S+KLZ-Single"
"P13663","YDR158W","S+KLZ-Single"
"P13711","YGL205W","S+KLZ-Single"
"P13712","YBR195C","S+KLZ-Single"
"P13856","YGR152C","S+KLZ-Single"
"P13902","YOL108C","S+KLZ-Single"
"P14020","YPR183W","S+KLZ-Single"
"P14063","YKL138C","S+KLZ-Single"
"P14120","YGL030W","S+KLZ-Single"
"P14126","YOR063W","S+KLZ-Single"
"P14164","YKL112W","S+KLZ-Single"
"P14180","YBR038W","S+KLZ-Single"
"P14242","YNL082W","S+KLZ-Single"
"P14284","YPL167C","S+KLZ-Single"
"P14291","YLR263W","S+KLZ-Single"
"P14306","YLR178C","S+KLZ-Single"
"P14540","YKL060C","S+KLZ-Single"
"P14680","YJL141C","S+KLZ-Single"
"P14681","YGR040W","S+KLZ-Single"
"P14682","YDR054C","S+KLZ-Single"
"P14693","YHR083W","S+KLZ-Single"
"P14724","YFR036W","S+KLZ-Single"
"P14736","YER162C","S+KLZ-Single"
"P14737","YDR217C","S+KLZ-Single"
"P14741","YKR026C","S+KLZ-Single"
"P14742","YKL104C","S+KLZ-Single"
"P14743","YLR195C","S+KLZ-Single"
"P14832","YDR155C","S+KLZ-Single"
"P14843","YDR035W","S+KLZ-Single"
"P14904","YKL103C","S+KLZ-Single"
"P14905","YDR197W","S+KLZ-Single"
"P14906","YOR254C","S+KLZ-Single"
"P14907","YJL041W","S+KLZ-Single"
"P14908","YMR228W","S+KLZ-Single"
"P14922","YBR112C","S+KLZ-Single"
"P15019","YLR354C","S+KLZ-Single"
"P15179","YPL104W","S+KLZ-Single"
"P15180","YDR037W","S+KLZ-Single"
"P15202","YDR256C","S+KLZ-Single"
"P15274","YML035C","S+KLZ-Single"
"P15303","YPR181C","S+KLZ-Single"
"P15365","YJR152W","S+KLZ-Single"
"P15367","YIR022W","S+KLZ-Single"
"P15380","YOR348C","S+KLZ-Single"
"P15424","YDR194C","S+KLZ-Single"
"P15436","YDL102W","S+KLZ-Single"
"P15442","YDR283C","S+KLZ-Single"
"P15454","YDR454C","S+KLZ-Single"
"P15496","YPL117C","S+KLZ-Single"
"P15565","YDR120C","S+KLZ-Single"
"P15624","YLR060W","S+KLZ-Single"
"P15625","YFL022C","S+KLZ-Single"
"P15646","YDL014W","S+KLZ-Single"
"P15700","YKL024C","S+KLZ-Single"
"P15703","YGR282C","S+KLZ-Single"
"P15705","YOR027W","S+KLZ-Single"
"P15790","YIL035C","S+KLZ-Single"
"P15801","YOR330C","S+KLZ-Single"
"P15807","YBR213W","S+KLZ-Single"
"P15873","YBR088C","S+KLZ-Single"
"P15891","YCR088W","S+KLZ-Single"
"P15992","YBR072W","S+KLZ-Single"
"P16120","YCR053W","S+KLZ-Single"
"P16140","YBR127C","S+KLZ-Single"
"P16151","YDR414C","S+KLZ-Single"
"P16370","YIL021W","S+KLZ-Single"
"P16387","YER178W","S+KLZ-Single"
"P16451","YGR193C","S+KLZ-Single"
"P16522","YHR166C","S+KLZ-Single"
"P16523","YNL210W","S+KLZ-Single"
"P16547","YIL136W","S+KLZ-Single"
"P16603","YHR042W","S+KLZ-Single"
"P16622","YOR176W","S+KLZ-Single"
"P16639","YGL017W","S+KLZ-Single"
"P16649","YCR084C","S+KLZ-Single"
"P16658","YLR105C","S+KLZ-Single"
"P16661","YBR110W","S+KLZ-Single"
"P16664","YDR137W","S+KLZ-Single"
"P16892","YBL016W","S+KLZ-Single"
"P17065","YNL272C","S+KLZ-Single"
"P17106","YJR060W","S+KLZ-Single"
"P17119","YPR141C","S+KLZ-Single"
"P17121","YDR389W","S+KLZ-Single"
"P17157","YPL031C","S+KLZ-Single"
"P17255","YDL185W","S+KLZ-Single"
"P17260","YNL322C","S+KLZ-Single"
"P17261","YCR075C","S+KLZ-Single"
"P17423","YHR025W","S+KLZ-Single"
"P17442","YGR233C","S+KLZ-Single"
"P17505","YKL085W","S+KLZ-Single"
"P17536","YNL079C","S+KLZ-Single"
"P17555","YNL138W","S+KLZ-Single"
"P17558","YOR158W","S+KLZ-Single"
"P17629","YDR138W","S+KLZ-Single"
"P17649","YGR019W","S+KLZ-Single"
"P17883","YPR189W","S+KLZ-Single"
"P17890","YNL151C","S+KLZ-Single"
"P17891","YGR167W","S+KLZ-Single"
"P17967","YCL043C","S+KLZ-Single"
"P18408","YPR167C","S+KLZ-Single"
"P18409","YAL010C","S+KLZ-Single"
"P18410","YAL009W","S+KLZ-Single"
"P18411","YAL008W","S+KLZ-Single"
"P18412","YBR083W","S+KLZ-Single"
"P18414","YBL040C","S+KLZ-Single"
"P18480","YBR289W","S+KLZ-Single"
"P18494","YER040W","S+KLZ-Single"
"P18496","YLR393W","S+KLZ-Single"
"P18544","YOL140W","S+KLZ-Single"
"P18562","YHR128W","S+KLZ-Single"
"P18634","YLR392C","S+KLZ-Single"
"P18759","YBR080C","S+KLZ-Single"
"P18851","YOR212W","S+KLZ-Single"
"P18852","YJR086W","S+KLZ-Single"
"P18888","YHL025W","S+KLZ-Single"
"P18898","YGL155W","S+KLZ-Single"
"P18900","YBR003W","S+KLZ-Single"
"P18962","YHR028C","S+KLZ-Single"
"P19073","YLR229C","S+KLZ-Single"
"P19097","YPL231W","S+KLZ-Single"
"P19262","YDR148C","S+KLZ-Single"
"P19263","YLR071C","S+KLZ-Single"
"P19454","YOR061W","S+KLZ-Single"
"P19516","YPL132W","S+KLZ-Single"
"P19524","YOR326W","S+KLZ-Single"
"P19541","YPL133C","S+KLZ-Single"
"P19658","YJL085W","S+KLZ-Single"
"P19659","YOL051W","S+KLZ-Single"
"P19735","YBR055C","S+KLZ-Single"
"P19736","YDL030W","S+KLZ-Single"
"P19807","YGL077C","S+KLZ-Single"
"P19812","YGR184C","S+KLZ-Single"
"P19880","YML007W","S+KLZ-Single"
"P19881","YDL236W","S+KLZ-Single"
"P19882","YLR259C","S+KLZ-Single"
"P19955","YFR049W","S+KLZ-Single"
"P19956","YMR225C","S+KLZ-Single"
"P20048","YMR013C","S+KLZ-Single"
"P20049","YBR166C","S+KLZ-Single"
"P20050","YIL072W","S+KLZ-Single"
"P20051","YLR420W","S+KLZ-Single"
"P20052","YOL001W","S+KLZ-Single"
"P20053","YPR178W","S+KLZ-Single"
"P20081","YNL135C","S+KLZ-Single"
"P20084","YMR286W","S+KLZ-Single"
"P20095","YNR011C","S+KLZ-Single"
"P20107","YMR243C","S+KLZ-Single"
"P20133","YPR176C","S+KLZ-Single"
"P20134","YOR140W","S+KLZ-Single"
"P20424","YPR088C","S+KLZ-Single"
"P20433","YJL140W","S+KLZ-Single"
"P20434","YBR154C","S+KLZ-Single"
"P20435","YPR187W","S+KLZ-Single"
"P20436","YOR224C","S+KLZ-Single"
"P20447","YGL078C","S+KLZ-Single"
"P20448","YJL033W","S+KLZ-Single"
"P20449","YOR046C","S+KLZ-Single"
"P20457","YKL045W","S+KLZ-Single"
"P20459","YJR007W","S+KLZ-Single"
"P20484","YKL021C","S+KLZ-Single"
"P20485","YLR133W","S+KLZ-Single"
"P20486","YBR135W","S+KLZ-Single"
"P20604","YDL047W","S+KLZ-Single"
"P20606","YPL218W","S+KLZ-Single"
"P20676","YOR098C","S+KLZ-Single"
"P20795","YLR396C","S+KLZ-Single"
"P20840","YJR004C","S+KLZ-Single"
"P20967","YIL125W","S+KLZ-Single"
"P21147","YGL055W","S+KLZ-Single"
"P21182","YOL052C","S+KLZ-Single"
"P21190","YJR094C","S+KLZ-Single"
"P21242","YOR362C","S+KLZ-Single"
"P21243","YGL011C","S+KLZ-Single"
"P21264","YOR128C","S+KLZ-Single"
"P21268","YJL157C","S+KLZ-Single"
"P21269","YER168C","S+KLZ-Single"
"P21304","YLR196W","S+KLZ-Single"
"P21306","YPL271W","S+KLZ-Single"
"P21339","YOR188W","S+KLZ-Single"
"P21372","YBR237W","S+KLZ-Single"
"P21374","YJR050W","S+KLZ-Single"
"P21560","YPL215W","S+KLZ-Single"
"P21576","YKR001C","S+KLZ-Single"
"P21592","YPL172C","S+KLZ-Single"
"P21595","YDR402C","S+KLZ-Single"
"P21623","YDR403W","S+KLZ-Single"
"P21651","YJR021C","S+KLZ-Single"
"P21657","YIR023W","S+KLZ-Single"
"P21705","YNL314W","S+KLZ-Single"
"P21734","YDR177W","S+KLZ-Single"
"P21771","YDR337W","S+KLZ-Single"
"P21801","YLL041C","S+KLZ-Single"
"P21825","YPL094C","S+KLZ-Single"
"P21827","YGL097W","S+KLZ-Single"
"P21951","YNL262W","S+KLZ-Single"
"P21957","YHL020C","S+KLZ-Single"
"P21965","YNL307C","S+KLZ-Single"
"P22007","YDL090C","S+KLZ-Single"
"P22023","YOR336W","S+KLZ-Single"
"P22035","YKR099W","S+KLZ-Single"
"P22133","YOL126C","S+KLZ-Single"
"P22134","YER142C","S+KLZ-Single"
"P22135","YJL180C","S+KLZ-Single"
"P22136","YMR282C","S+KLZ-Single"
"P22137","YGL206C","S+KLZ-Single"
"P22138","YPR010C","S+KLZ-Single"
"P22139","YOR210W","S+KLZ-Single"
"P22141","YER012W","S+KLZ-Single"
"P22147","YGL173C","S+KLZ-Single"
"P22148","YOL116W","S+KLZ-Single"
"P22203","YOR332W","S+KLZ-Single"
"P22209","YAR018C","S+KLZ-Single"
"P22211","YNL183C","S+KLZ-Single"
"P22213","YDR189W","S+KLZ-Single"
"P22214","YLR268W","S+KLZ-Single"
"P22215","YOR307C","S+KLZ-Single"
"P22216","YPL153C","S+KLZ-Single"
"P22219","YBR097W","S+KLZ-Single"
"P22224","YGL233W","S+KLZ-Single"
"P22276","YOR207C","S+KLZ-Single"
"P22289","YGR183C","S+KLZ-Single"
"P22336","YAR007C","S+KLZ-Single"
"P22353","YJL063C","S+KLZ-Single"
"P22354","YKR085C","S+KLZ-Single"
"P22434","YGL248W","S+KLZ-Single"
"P22438","YGR171C","S+KLZ-Single"
"P22470","YDR143C","S+KLZ-Single"
"P22515","YKL210W","S+KLZ-Single"
"P22516","YPL008W","S+KLZ-Single"
"P22517","YOL016C","S+KLZ-Single"
"P22543","YLR240W","S+KLZ-Single"
"P22579","YOL004W","S+KLZ-Single"
"P22580","YDR242W","S+KLZ-Single"
"P22696","YJR017C","S+KLZ-Single"
"P22768","YOL058W","S+KLZ-Single"
"P22804","YIL004C","S+KLZ-Single"
"P22855","YGL156W","S+KLZ-Single"
"P22936","YKL114C","S+KLZ-Single"
"P22943","YFL014W","S+KLZ-Single"
"P23059","YCR020C-A","S+KLZ-Single"
"P23060","YCR019W","S+KLZ-Single"
"P23179","YHL022C","S+KLZ-Single"
"P23180","YHL021C","S+KLZ-Single"
"P23201","YLL021W","S+KLZ-Single"
"P23202","YNL229C","S+KLZ-Single"
"P23250","YIL119C","S+KLZ-Single"
"P23255","YCR042C","S+KLZ-Single"
"P23287","YLR433C","S+KLZ-Single"
"P23293","YPR161C","S+KLZ-Single"
"P23369","YGR076C","S+KLZ-Single"
"P23394","YDR243C","S+KLZ-Single"
"P23493","YKL093W","S+KLZ-Single"
"P23503","YNL240C","S+KLZ-Single"
"P23542","YLR027C","S+KLZ-Single"
"P23561","YLR362W","S+KLZ-Single"
"P23615","YGR116W","S+KLZ-Single"
"P23638","YGR135W","S+KLZ-Single"
"P23639","YML092C","S+KLZ-Single"
"P23641","YJR077C","S+KLZ-Single"
"P23642","YML115C","S+KLZ-Single"
"P23643","YDR495C","S+KLZ-Single"
"P23644","YMR203W","S+KLZ-Single"
"P23724","YBL041W","S+KLZ-Single"
"P23748","YMR036C","S+KLZ-Single"
"P23796","YMR283C","S+KLZ-Single"
"P23797","YMR281W","S+KLZ-Single"
"P23833","YBR037C","S+KLZ-Single"
"P23900","YLL043W","S+KLZ-Single"
"P23968","YHR026W","S+KLZ-Single"
"P24004","YKL197C","S+KLZ-Single"
"P24276","YDR293C","S+KLZ-Single"
"P24279","YEL032W","S+KLZ-Single"
"P24280","YMR079W","S+KLZ-Single"
"P24309","YKL149C","S+KLZ-Single"
"P24482","YPR175W","S+KLZ-Single"
"P24521","YMR220W","S+KLZ-Single"
"P24583","YBL105C","S+KLZ-Single"
"P24719","YOR351C","S+KLZ-Single"
"P24720","YOR350C","S+KLZ-Single"
"P24783","YNL112W","S+KLZ-Single"
"P24814","YJR090C","S+KLZ-Single"
"P24867","YNL289W","S+KLZ-Single"
"P24869","YPR119W","S+KLZ-Single"
"P24870","YDL155W","S+KLZ-Single"
"P25037","YDL122W","S+KLZ-Single"
"P25038","YOL023W","S+KLZ-Single"
"P25039","YLR069C","S+KLZ-Single"
"P25040","YOL022C","S+KLZ-Single"
"P25042","YPR065W","S+KLZ-Single"
"P25043","YOR157C","S+KLZ-Single"
"P25044","YDL230W","S+KLZ-Single"
"P25045","YMR296C","S+KLZ-Single"
"P25046","YBL093C","S+KLZ-Single"
"P25087","YML008C","S+KLZ-Single"
"P25270","YOR201C","S+KLZ-Single"
"P25293","YKR048C","S+KLZ-Single"
"P25294","YNL007C","S+KLZ-Single"
"P25296","YKL190W","S+KLZ-Single"
"P25297","YML123C","S+KLZ-Single"
"P25298","YMR061W","S+KLZ-Single"
"P25299","YGL044C","S+KLZ-Single"
"P25301","YDR004W","S+KLZ-Single"
"P25302","YER111C","S+KLZ-Single"
"P25303","YMR214W","S+KLZ-Single"
"P25332","YCR036W","S+KLZ-Single"
"P25333","YCR008W","S+KLZ-Single"
"P25334","YCR069W","S+KLZ-Single"
"P25335","YIR029W","S+KLZ-Single"
"P25336","YCR092C","S+KLZ-Single"
"P25337","YCR063W","S+KLZ-Single"
"P25338","YGL010W","S+KLZ-Single"
"P25339","YGL014W","S+KLZ-Single"
"P25340","YGL012W","S+KLZ-Single"
"P25342","YCR002C","S+KLZ-Single"
"P25343","YCR009C","S+KLZ-Single"
"P25344","YCL032W","S+KLZ-Single"
"P25345","YCR024C","S+KLZ-Single"
"P25346","YCR098C","S+KLZ-Single"
"P25348","YCR003W","S+KLZ-Single"
"P25349","YCR004C","S+KLZ-Single"
"P25351","YCR023C","S+KLZ-Single"
"P25355","YCR054C","S+KLZ-Single"
"P25356","YCR032W","S+KLZ-Single"
"P25357","YCR033W","S+KLZ-Single"
"P25358","YCR034W","S+KLZ-Single"
"P25359","YCR035C","S+KLZ-Single"
"P25361","YCR043C","S+KLZ-Single"
"P25362","YCR020C","S+KLZ-Single"
"P25364","YCR065W","S+KLZ-Single"
"P25366","YCR095C","S+KLZ-Single"
"P25367","YCL028W","S+KLZ-Single"
"P25368","YCL031C","S+KLZ-Single"
"P25369","YCL034W","S+KLZ-Single"
