"protein","Gene","orthogroup"
"P07270","YFR034C","S+YLT-Single"
"P07272","YLR014C","S+YLT-Single"
"P07273","YGL043W","S+YLT-Single"
"P07274","YOR122C","S+YLT-Single"
"P07275","YHR037W","S+YLT-Single"
"P07276","YGR258C","S+YLT-Single"
"P07277","YMR208W","S+YLT-Single"
"P07278","YIL033C","S+YLT-Single"
"P07283","YFL045C","S+YLT-Single"
"P07284","YDR023W","S+YLT-Single"
"P07285","YDR354W","S+YLT-Single"
"P07286","YBR243C","S+YLT-Single"
"P07342","YMR108W","S+YLT-Single"
"P07347","YHR013C","S+YLT-Single"
"P07560","YFL005W","S+YLT-Single"
"P07702","YBR115C","S+YLT-Single"
"P07703","YPR110C","S+YLT-Single"
"P07806","YGR094W","S+YLT-Single"
"P07807","YOR236W","S+YLT-Single"
"P07866","YAL024C","S+YLT-Single"
"P07884","YOR274W","S+YLT-Single"
"P07991","YLR438W","S+YLT-Single"
"P08004","YNL192W","S+YLT-Single"
"P08018","YJL128C","S+YLT-Single"
"P08019","YIL099W","S+YLT-Single"
"P08067","YEL024W","S+YLT-Single"
"P08417","YPL262W","S+YLT-Single"
"P08425","YPR047W","S+YLT-Single"
"P08431","YBR018C","S+YLT-Single"
"P08432","YKL184W","S+YLT-Single"
"P08456","YER026C","S+YLT-Single"
"P08465","YNL277W","S+YLT-Single"
"P08466","YJL208C","S+YLT-Single"
"P08518","YOR151C","S+YLT-Single"
"P08524","YJL167W","S+YLT-Single"
"P08525","YJL166W","S+YLT-Single"
"P08536","YJR010W","S+YLT-Single"
"P08566","YDR127W","S+YLT-Single"
"P08638","YLR451W","S+YLT-Single"
"P08964","YHR023W","S+YLT-Single"
"P09032","YOR260W","S+YLT-Single"
"P09064","YPL237W","S+YLT-Single"
"P09119","YJL194W","S+YLT-Single"
"P09201","YLR377C","S+YLT-Single"
"P09232","YEL060C","S+YLT-Single"
"P09368","YLR142W","S+YLT-Single"
"P09436","YBL076C","S+YLT-Single"
"P09457","YDR298C","S+YLT-Single"
"P09547","YPL016W","S+YLT-Single"
"P09624","YFL018C","S+YLT-Single"
"P09798","YKL022C","S+YLT-Single"
"P09880","YJL087C","S+YLT-Single"
"P09937","YOR313C","S+YLT-Single"
"P09938","YJL026W","S+YLT-Single"
"P09950","YDR232W","S+YLT-Single"
"P0C074","YNL138W-A","S+YLT-Single"
"P0C5R9","YPR170W-B","S+YLT-Single"
"P0CF17","YML002W","S+YLT-Single"
"P0CG63","YLL039C","S+YLT-Single"
"P10081","YKR059W, YJL138C","S+YLT-Single"
"P10127","YGL256W","S+YLT-Single"
"P10174","YMR256C","S+YLT-Single"
"P10356","YER152C","S+YLT-Single"
"P10363","YIR008C","S+YLT-Single"
"P10507","YLR163C","S+YLT-Single"
"P10614","YHR007C","S+YLT-Single"
"P10663","YPR166C","S+YLT-Single"
"P10849","YDL044C","S+YLT-Single"
"P10862","YCR066W","S+YLT-Single"
"P10869","YER052C","S+YLT-Single"
"P10962","YAL025C","S+YLT-Single"
"P10963","YKR097W","S+YLT-Single"
"P10964","YOR341W","S+YLT-Single"
"P11075","YDR170C","S+YLT-Single"
"P11325","YLR382C","S+YLT-Single"
"P11353","YDR044W","S+YLT-Single"
"P11412","YNL241C","S+YLT-Single"
"P11433","YAL041W","S+YLT-Single"
"P11491","YDR481C","S+YLT-Single"
"P11710","YCL027W","S+YLT-Single"
"P11745","YMR235C","S+YLT-Single"
"P11747","YML098W","S+YLT-Single"
"P11792","YHR205W","S+YLT-Single"
"P11914","YHR024C","S+YLT-Single"
"P11972","YLR452C","S+YLT-Single"
"P11986","YJL153C","S+YLT-Single"
"P12385","YBR143C","S+YLT-Single"
"P12611","YOR043W","S+YLT-Single"
"P12612","YDR212W","S+YLT-Single"
"P12687","YNL005C","S+YLT-Single"
"P12689","YOR346W","S+YLT-Single"
"P12695","YNL071W","S+YLT-Single"
"P12709","YBR196C","S+YLT-Single"
"P12753","YNL250W","S+YLT-Single"
"P12754","YGR083C","S+YLT-Single"
"P12866","YKL209C","S+YLT-Single"
"P12868","YMR231W","S+YLT-Single"
"P12887","YML021C","S+YLT-Single"
"P12904","YGL115W","S+YLT-Single"
"P12945","YDL040C","S+YLT-Single"
"P12954","YJL092W","S+YLT-Single"
"P13099","YLR234W","S+YLT-Single"
"P13134","YNL238W","S+YLT-Single"
"P13188","YOR168W","S+YLT-Single"
"P13259","YGR202C","S+YLT-Single"
"P13382","YNL102W","S+YLT-Single"
"P13393","YER148W","S+YLT-Single"
"P13433","YFL036W","S+YLT-Single"
"P13434","YBL021C","S+YLT-Single"
"P13517","YIL034C","S+YLT-Single"
"P13574","YHR084W","S+YLT-Single"
"P13586","YGL167C","S+YLT-Single"
"P13663","YDR158W","S+YLT-Single"
"P13711","YGL205W","S+YLT-Single"
"P13856","YGR152C","S+YLT-Single"
"P13902","YOL108C","S+YLT-Single"
"P14020","YPR183W","S+YLT-Single"
"P14063","YKL138C","S+YLT-Single"
"P14120","YGL030W","S+YLT-Single"
"P14126","YOR063W","S+YLT-Single"
"P14180","YBR038W","S+YLT-Single"
"P14242","YNL082W","S+YLT-Single"
"P14284","YPL167C","S+YLT-Single"
"P14540","YKL060C","S+YLT-Single"
"P14680","YJL141C","S+YLT-Single"
"P14682","YDR054C","S+YLT-Single"
"P14736","YER162C","S+YLT-Single"
"P14737","YDR217C","S+YLT-Single"
"P14741","YKR026C","S+YLT-Single"
"P14742","YKL104C","S+YLT-Single"
"P14743","YLR195C","S+YLT-Single"
"P14904","YKL103C","S+YLT-Single"
"P14906","YOR254C","S+YLT-Single"
"P14907","YJL041W","S+YLT-Single"
"P14908","YMR228W","S+YLT-Single"
"P14922","YBR112C","S+YLT-Single"
"P15019","YLR354C","S+YLT-Single"
"P15179","YPL104W","S+YLT-Single"
"P15180","YDR037W","S+YLT-Single"
"P15202","YDR256C","S+YLT-Single"
"P15274","YML035C","S+YLT-Single"
"P15303","YPR181C","S+YLT-Single"
"P15315","YGL166W","S+YLT-Single"
"P15367","YIR022W","S+YLT-Single"
"P15380","YOR348C","S+YLT-Single"
"P15436","YDL102W","S+YLT-Single"
"P15442","YDR283C","S+YLT-Single"
"P15454","YDR454C","S+YLT-Single"
"P15496","YPL117C","S+YLT-Single"
"P15565","YDR120C","S+YLT-Single"
"P15624","YLR060W","S+YLT-Single"
"P15625","YFL022C","S+YLT-Single"
"P15700","YKL024C","S+YLT-Single"
"P15703","YGR282C","S+YLT-Single"
"P15705","YOR027W","S+YLT-Single"
"P15801","YOR330C","S+YLT-Single"
"P15807","YBR213W","S+YLT-Single"
"P15873","YBR088C","S+YLT-Single"
"P15891","YCR088W","S+YLT-Single"
"P15938","YKR086W","S+YLT-Single"
"P16120","YCR053W","S+YLT-Single"
"P16140","YBR127C","S+YLT-Single"
"P16151","YDR414C","S+YLT-Single"
"P16370","YIL021W","S+YLT-Single"
"P16387","YER178W","S+YLT-Single"
"P16451","YGR193C","S+YLT-Single"
"P16474","YJL034W","S+YLT-Single"
"P16522","YHR166C","S+YLT-Single"
"P16603","YHR042W","S+YLT-Single"
"P16622","YOR176W","S+YLT-Single"
"P16639","YGL017W","S+YLT-Single"
"P16649","YCR084C","S+YLT-Single"
"P16658","YLR105C","S+YLT-Single"
"P16661","YBR110W","S+YLT-Single"
"P16664","YDR137W","S+YLT-Single"
"P16892","YBL016W","S+YLT-Single"
"P17065","YNL272C","S+YLT-Single"
"P17106","YJR060W","S+YLT-Single"
"P17119","YPR141C","S+YLT-Single"
"P17157","YPL031C","S+YLT-Single"
"P17255","YDL185W","S+YLT-Single"
"P17260","YNL322C","S+YLT-Single"
"P17261","YCR075C","S+YLT-Single"
"P17423","YHR025W","S+YLT-Single"
"P17442","YGR233C","S+YLT-Single"
"P17505","YKL085W","S+YLT-Single"
"P17555","YNL138W","S+YLT-Single"
"P17558","YOR158W","S+YLT-Single"
"P17649","YGR019W","S+YLT-Single"
"P17883","YPR189W","S+YLT-Single"
"P17890","YNL151C","S+YLT-Single"
"P17891","YGR167W","S+YLT-Single"
"P17967","YCL043C","S+YLT-Single"
"P18408","YPR167C","S+YLT-Single"
"P18410","YAL009W","S+YLT-Single"
"P18412","YBR083W","S+YLT-Single"
"P18414","YBL040C","S+YLT-Single"
"P18480","YBR289W","S+YLT-Single"
"P18496","YLR393W","S+YLT-Single"
"P18544","YOL140W","S+YLT-Single"
"P18562","YHR128W","S+YLT-Single"
"P18759","YBR080C","S+YLT-Single"
"P18851","YOR212W","S+YLT-Single"
"P18852","YJR086W","S+YLT-Single"
"P18898","YGL155W","S+YLT-Single"
"P18900","YBR003W","S+YLT-Single"
"P18962","YHR028C","S+YLT-Single"
"P19073","YLR229C","S+YLT-Single"
"P19097","YPL231W","S+YLT-Single"
"P19145","YKR039W","S+YLT-Single"
"P19262","YDR148C","S+YLT-Single"
"P19263","YLR071C","S+YLT-Single"
"P19414","YLR304C","S+YLT-Single"
"P19516","YPL132W","S+YLT-Single"
"P19524","YOR326W","S+YLT-Single"
"P19541","YPL133C","S+YLT-Single"
"P19658","YJL085W","S+YLT-Single"
"P19659","YOL051W","S+YLT-Single"
"P19735","YBR055C","S+YLT-Single"
"P19736","YDL030W","S+YLT-Single"
"P19880","YML007W","S+YLT-Single"
"P19881","YDL236W","S+YLT-Single"
"P19882","YLR259C","S+YLT-Single"
"P19955","YFR049W","S+YLT-Single"
"P19956","YMR225C","S+YLT-Single"
"P20048","YMR013C","S+YLT-Single"
"P20049","YBR166C","S+YLT-Single"
"P20050","YIL072W","S+YLT-Single"
"P20051","YLR420W","S+YLT-Single"
"P20052","YOL001W","S+YLT-Single"
"P20053","YPR178W","S+YLT-Single"
"P20081","YNL135C","S+YLT-Single"
"P20084","YMR286W","S+YLT-Single"
"P20095","YNR011C","S+YLT-Single"
"P20133","YPR176C","S+YLT-Single"
"P20424","YPR088C","S+YLT-Single"
"P20433","YJL140W","S+YLT-Single"
"P20434","YBR154C","S+YLT-Single"
"P20435","YPR187W","S+YLT-Single"
"P20436","YOR224C","S+YLT-Single"
"P20447","YGL078C","S+YLT-Single"
"P20448","YJL033W","S+YLT-Single"
"P20457","YKL045W","S+YLT-Single"
"P20459","YJR007W","S+YLT-Single"
"P20484","YKL021C","S+YLT-Single"
"P20486","YBR135W","S+YLT-Single"
"P20606","YPL218W","S+YLT-Single"
"P20795","YLR396C","S+YLT-Single"
"P20967","YIL125W","S+YLT-Single"
"P21147","YGL055W","S+YLT-Single"
"P21182","YOL052C","S+YLT-Single"
"P21242","YOR362C","S+YLT-Single"
"P21243","YGL011C","S+YLT-Single"
"P21264","YOR128C","S+YLT-Single"
"P21268","YJL157C","S+YLT-Single"
"P21269","YER168C","S+YLT-Single"
"P21304","YLR196W","S+YLT-Single"
"P21339","YOR188W","S+YLT-Single"
"P21372","YBR237W","S+YLT-Single"
"P21374","YJR050W","S+YLT-Single"
"P21560","YPL215W","S+YLT-Single"
"P21576","YKR001C","S+YLT-Single"
"P21592","YPL172C","S+YLT-Single"
"P21595","YDR402C","S+YLT-Single"
"P21657","YIR023W","S+YLT-Single"
"P21734","YDR177W","S+YLT-Single"
"P21771","YDR337W","S+YLT-Single"
"P21801","YLL041C","S+YLT-Single"
"P21825","YPL094C","S+YLT-Single"
"P21827","YGL097W","S+YLT-Single"
"P21951","YNL262W","S+YLT-Single"
"P21957","YHL020C","S+YLT-Single"
"P22007","YDL090C","S+YLT-Single"
"P22035","YKR099W","S+YLT-Single"
"P22134","YER142C","S+YLT-Single"
"P22135","YJL180C","S+YLT-Single"
"P22137","YGL206C","S+YLT-Single"
"P22138","YPR010C","S+YLT-Single"
"P22139","YOR210W","S+YLT-Single"
"P22141","YER012W","S+YLT-Single"
"P22146","YMR307W","S+YLT-Single"
"P22148","YOL116W","S+YLT-Single"
"P22203","YOR332W","S+YLT-Single"
"P22209","YAR018C","S+YLT-Single"
"P22213","YDR189W","S+YLT-Single"
"P22214","YLR268W","S+YLT-Single"
"P22215","YOR307C","S+YLT-Single"
"P22216","YPL153C","S+YLT-Single"
"P22219","YBR097W","S+YLT-Single"
"P22224","YGL233W","S+YLT-Single"
"P22276","YOR207C","S+YLT-Single"
"P22289","YGR183C","S+YLT-Single"
"P22336","YAR007C","S+YLT-Single"
"P22353","YJL063C","S+YLT-Single"
"P22354","YKR085C","S+YLT-Single"
"P22434","YGL248W","S+YLT-Single"
"P22438","YGR171C","S+YLT-Single"
"P22470","YDR143C","S+YLT-Single"
"P22515","YKL210W","S+YLT-Single"
"P22516","YPL008W","S+YLT-Single"
"P22543","YLR240W","S+YLT-Single"
"P22579","YOL004W","S+YLT-Single"
"P22580","YDR242W","S+YLT-Single"
"P22696","YJR017C","S+YLT-Single"
"P22768","YOL058W","S+YLT-Single"
"P22804","YIL004C","S+YLT-Single"
"P22855","YGL156W","S+YLT-Single"
"P22936","YKL114C","S+YLT-Single"
"P22943","YFL014W","S+YLT-Single"
"P23060","YCR019W","S+YLT-Single"
"P23179","YHL022C","S+YLT-Single"
"P23180","YHL021C","S+YLT-Single"
"P23202","YNL229C","S+YLT-Single"
"P23254","YPR074C","S+YLT-Single"
"P23255","YCR042C","S+YLT-Single"
"P23369","YGR076C","S+YLT-Single"
"P23394","YDR243C","S+YLT-Single"
"P23503","YNL240C","S+YLT-Single"
"P23542","YLR027C","S+YLT-Single"
"P23561","YLR362W","S+YLT-Single"
"P23615","YGR116W","S+YLT-Single"
"P23638","YGR135W","S+YLT-Single"
"P23639","YML092C","S+YLT-Single"
"P23643","YDR495C","S+YLT-Single"
"P23644","YMR203W","S+YLT-Single"
"P23724","YBL041W","S+YLT-Single"
"P23748","YMR036C","S+YLT-Single"
"P23796","YMR283C","S+YLT-Single"
"P23797","YMR281W","S+YLT-Single"
"P23968","YHR026W","S+YLT-Single"
"P24004","YKL197C","S+YLT-Single"
"P24276","YDR293C","S+YLT-Single"
"P24279","YEL032W","S+YLT-Single"
"P24309","YKL149C","S+YLT-Single"
"P24384","YER013W","S+YLT-Single"
"P24482","YPR175W","S+YLT-Single"
"P24521","YMR220W","S+YLT-Single"
"P24583","YBL105C","S+YLT-Single"
"P24719","YOR351C","S+YLT-Single"
"P24783","YNL112W","S+YLT-Single"
"P24814","YJR090C","S+YLT-Single"
"P24867","YNL289W","S+YLT-Single"
"P25037","YDL122W","S+YLT-Single"
"P25038","YOL023W","S+YLT-Single"
"P25039","YLR069C","S+YLT-Single"
"P25040","YOL022C","S+YLT-Single"
"P25042","YPR065W","S+YLT-Single"
"P25043","YOR157C","S+YLT-Single"
"P25044","YDL230W","S+YLT-Single"
"P25046","YBL093C","S+YLT-Single"
"P25087","YML008C","S+YLT-Single"
"P25270","YOR201C","S+YLT-Single"
"P25293","YKR048C","S+YLT-Single"
"P25294","YNL007C","S+YLT-Single"
"P25296","YKL190W","S+YLT-Single"
"P25297","YML123C","S+YLT-Single"
"P25298","YMR061W","S+YLT-Single"
"P25299","YGL044C","S+YLT-Single"
"P25301","YDR004W","S+YLT-Single"
"P25303","YMR214W","S+YLT-Single"
"P25332","YCR036W","S+YLT-Single"
"P25333","YCR008W","S+YLT-Single"
"P25335","YIR029W","S+YLT-Single"
"P25336","YCR092C","S+YLT-Single"
"P25337","YCR063W","S+YLT-Single"
"P25338","YGL010W","S+YLT-Single"
"P25340","YGL012W","S+YLT-Single"
"P25341","YCR091W","S+YLT-Single"
"P25342","YCR002C","S+YLT-Single"
"P25343","YCR009C","S+YLT-Single"
"P25344","YCL032W","S+YLT-Single"
"P25345","YCR024C","S+YLT-Single"
"P25346","YCR098C","S+YLT-Single"
"P25348","YCR003W","S+YLT-Single"
"P25351","YCR023C","S+YLT-Single"
"P25355","YCR054C","S+YLT-Single"
"P25356","YCR032W","S+YLT-Single"
"P25357","YCR033W","S+YLT-Single"
"P25359","YCR035C","S+YLT-Single"
"P25364","YCR065W","S+YLT-Single"
"P25368","YCL031C","S+YLT-Single"
"P25369","YCL034W","S+YLT-Single"
"P25371","YCR011C","S+YLT-Single"
"P25374","YCL017C","S+YLT-Single"
"P25375","YCL057W","S+YLT-Single"
"P25379","YCL064C","S+YLT-Single"
"P25381","YCR045C","S+YLT-Single"
"P25382","YCR072C","S+YLT-Single"
"P25385","YLR078C","S+YLT-Single"
"P25386","YDL058W","S+YLT-Single"
"P25441","YDL150W","S+YLT-Single"
"P25443","YGL123W","S+YLT-Single"
"P25451","YER094C","S+YLT-Single"
"P25454","YER095W","S+YLT-Single"
"P25491","YNL064C","S+YLT-Single"
"P25502","YKL015W","S+YLT-Single"
"P25515","YEL027W","S+YLT-Single"
"P25554","YCL010C","S+YLT-Single"
"P25558","YCL014W","S+YLT-Single"
"P25559","YCL016C","S+YLT-Single"
"P25560","YCL001W","S+YLT-Single"
"P25565","YCL002C","S+YLT-Single"
"P25566","YCL033C","S+YLT-Single"
"P25568","YCL038C","S+YLT-Single"
"P25569","YCL039W","S+YLT-Single"
"P25574","YCL045C","S+YLT-Single"
"P25576","YCL047C","S+YLT-Single"
"P25578","YCL004W","S+YLT-Single"
"P25582","YCL054W","S+YLT-Single"
"P25583","YCL055W","S+YLT-Single"
"P25586","YCL059C","S+YLT-Single"
"P25588","YCL061C","S+YLT-Single"
"P25604","YCL008C","S+YLT-Single"
"P25605","YCL009C","S+YLT-Single"
"P25615","YCR014C","S+YLT-Single"
"P25616","YCR015C","S+YLT-Single"
"P25617","YCR016W","S+YLT-Single"
"P25618","YCR017C","S+YLT-Single"
"P25621","YCR028C","S+YLT-Single"
"P25623","YCR030C","S+YLT-Single"
"P25625","YCR044C","S+YLT-Single"
"P25626","YCR046C","S+YLT-Single"
"P25627","YCR047C","S+YLT-Single"
"P25631","YCR051W","S+YLT-Single"
"P25635","YCR057C","S+YLT-Single"
"P25637","YCR059C","S+YLT-Single"
"P25638","YCR060W","S+YLT-Single"
"P25639","YCR061W","S+YLT-Single"
"P25641","YCR068W","S+YLT-Single"
"P25642","YCR071C","S+YLT-Single"
"P25644","YCR077C","S+YLT-Single"
"P25646","YCR079W","S+YLT-Single"
"P25648","YCR081W","S+YLT-Single"
"P25654","YCR090C","S+YLT-Single"
"P25655","YCR093W","S+YLT-Single"
"P25694","YDL126C","S+YLT-Single"
"P25808","YFL002C","S+YLT-Single"
"P25846","YHR120W","S+YLT-Single"
"P25847","YOL090W","S+YLT-Single"
"P26188","YDL200C","S+YLT-Single"
"P26309","YGL116W","S+YLT-Single"
"P26321","YPL131W","S+YLT-Single"
"P26364","YER170W","S+YLT-Single"
"P26370","YDL170W","S+YLT-Single"
"P26448","YMR055C","S+YLT-Single"
"P26570","YML016C","S+YLT-Single"
"P26637","YPL160W","S+YLT-Single"
"P26754","YNL312W","S+YLT-Single"
"P26783","YJR123W","S+YLT-Single"
"P26793","YKL113C","S+YLT-Single"
"P27476","YGR159C","S+YLT-Single"
"P27514","YNR013C","S+YLT-Single"
"P27515","YNR012W","S+YLT-Single"
"P27614","YJL172W","S+YLT-Single"
"P27616","YAR015W","S+YLT-Single"
"P27680","YOL096C","S+YLT-Single"
"P27692","YML010W","S+YLT-Single"
"P27697","YGL119W","S+YLT-Single"
"P27796","YIL160C","S+YLT-Single"
"P27801","YLR148W","S+YLT-Single"
"P27825","YAL058W","S+YLT-Single"
"P27882","YGR029W","S+YLT-Single"
"P27929","YNL137C","S+YLT-Single"
"P27999","YGL070C","S+YLT-Single"
"P28000","YNL113W","S+YLT-Single"
"P28004","YAL032C","S+YLT-Single"
"P28005","YAL033W","S+YLT-Single"
"P28007","YHR089C","S+YLT-Single"
"P28240","YER065C","S+YLT-Single"
"P28241","YOR136W","S+YLT-Single"
"P28263","YEL012W","S+YLT-Single"
"P28272","YKL216W","S+YLT-Single"
"P28273","YKL215C","S+YLT-Single"
"P28320","YKL095W","S+YLT-Single"
"P28321","YKL094W","S+YLT-Single"
"P28495","YKL007W","S+YLT-Single"
"P28519","YMR201C","S+YLT-Single"
"P28584","YKR050W","S+YLT-Single"
"P28627","YMR150C","S+YLT-Single"
"P28707","YKL117W","S+YLT-Single"
"P28708","YKL116C","S+YLT-Single"
"P28737","YGR028W","S+YLT-Single"
"P28742","YBL063W","S+YLT-Single"
"P28743","YPL155C","S+YLT-Single"
"P28777","YGL148W","S+YLT-Single"
"P28778","YKL003C","S+YLT-Single"
"P28789","YDL205C","S+YLT-Single"
"P28791","YDR498C","S+YLT-Single"
"P28795","YDR329C","S+YLT-Single"
"P28817","YDR036C","S+YLT-Single"
"P28834","YNL037C","S+YLT-Single"
"P29029","YLR286C","S+YLT-Single"
"P29055","YPR086W","S+YLT-Single"
"P29056","YGR246C","S+YLT-Single"
"P29295","YPL204W","S+YLT-Single"
"P29340","YGR133W","S+YLT-Single"
"P29366","YBR200W","S+YLT-Single"
"P29465","YBR023C","S+YLT-Single"
"P29468","YKR002W","S+YLT-Single"
"P29469","YBL023C","S+YLT-Single"
"P29478","YML105C","S+YLT-Single"
"P29496","YLR274W","S+YLT-Single"
"P29703","YKL019W","S+YLT-Single"
"P29704","YHR190W","S+YLT-Single"
"P29952","YER003C","S+YLT-Single"
"P30619","YDR164C","S+YLT-Single"
"P30620","YMR137C","S+YLT-Single"
"P30656","YPR103W","S+YLT-Single"
"P30657","YFR050C","S+YLT-Single"
"P30771","YMR080C","S+YLT-Single"
"P30775","YGL143C","S+YLT-Single"
"P30777","YGL142C","S+YLT-Single"
"P30822","YGR218W","S+YLT-Single"
"P30902","YKL016C","S+YLT-Single"
"P31115","YFL001W","S+YLT-Single"
"P31116","YJR139C","S+YLT-Single"
"P31244","YBR114W","S+YLT-Single"
"P31334","YGR220C","S+YLT-Single"
"P31373","YAL012W","S+YLT-Single"
"P31376","YAL011W","S+YLT-Single"
"P31377","YAL014C","S+YLT-Single"
"P31380","YAL019W","S+YLT-Single"
"P31381","YAL022C","S+YLT-Single"
"P31382","YAL023C","S+YLT-Single"
