"protein","Gene","Group"
"Q12372","YLL061W","WGD"
"P37898","YHR047C","WGD"
"P00549","YAL038W","WGD"
"P38695","YHR096C","WGD"
"P38084","YBR068C","WGD"
"P38755","YHR001W","WGD"
"P37262","YCR073W-A","WGD"
"P13298","YML106W","WGD"
"Q00055","YDL022W","WGD"
"Q04562","YDR107C","WGD"
"P40037","YER057C","WGD"
"P47176","YJR148W","WGD"
"P31109","YAL030W","WGD"
"P53204","YGR010W","WGD"
"P41939","YLR174W","WGD"
"P04385","YBR020W","WGD"
"P36006","YKL129C","WGD"
"P40260","YGR121C","WGD"
"Q12056","YOR226C","WGD"
"P32590","YBR169C","WGD"
"P22204","YGR092W","WGD"
"P39926","YMR183C","WGD"
"P25613","YCR010C","WGD"
"P38113","YBR145W","WGD"
"P35172","YBR001C","WGD"
"P0CE11","YER039C","WGD"
"P22803","YGR209C","WGD"
"P32478","YJL159W","WGD"
"P30605","YDR497C","WGD"
"P08679","YCR005C","WGD"
"P33401","YKL127W","WGD"
"P28274","YBL039C","WGD"
"P04806","YFR053C","WGD"
"P38555","YER031C","WGD"
"P23337","YFR015C","WGD"
"P39987","YEL030W","WGD"
"P21524","YER070W","WGD"
"P06208","YNL104C","WGD"
"P54113","YLR028C","WGD"
"P16521","YLR249W","WGD"
"P29509","YDR353W","WGD"
"P47052","YJL045W","WGD"
"P00045","YEL039C","WGD"
"P56628","YFL034C-A","WGD"
"P39708","YAL062W","WGD"
"Q04120","YDR453C","WGD"
"P49090","YGR124W","WGD"
"P11633","YBR089C-A","WGD"
"P40989","YGR032W","WGD"
"P38063","YBL068W","WGD"
"P48164","YNL096C","WGD"
"P53283","YGR138C","WGD"
"P18239","YBL030C","WGD"
"P53319","YGR256W","WGD"
"P48570","YDL182W","WGD"
"P40054","YER081W","WGD"
"P23595","YDL188C","WGD"
"P09734","YML124C","WGD"
"P26784","YIL133C","WGD"
"P19358","YDR502C","WGD"
"P32327","YBR218C","WGD"
"P51402","YDR500C","WGD"
"P40106","YER062C","WGD"
"P23301","YEL034W","WGD"
"P15731","YBR082C","WGD"
"P34730","YDR099W","WGD"
"P32903","YCR024C-A","WGD"
"P41058","YDL061C","WGD"
"P32905","YGR214W","WGD"
"Q12153","YDR312W","WGD"
"P05739","YLR448W","WGD"
"P53221","YGR034W","WGD"
"P00924","YGR254W","WGD"
"P0C0X0","YLR264W","WGD"
"P19146","YDL137W","WGD"
"P04449","YGL031C","WGD"
"P33442","YLR441C","WGD"
"P05745","YMR194W","WGD"
"P05755","YBR189W","WGD"
"P46784","YMR230W","WGD"
"P17076","YHL033C","WGD"
"P32835","YLR293C","WGD"
"P0CX23","YMR242C","WGD"
"P0C2H8","YDL075W","WGD"
"P38711","YHR021C","WGD"
"P15108","YMR186W","WGD"
"Q3E754","YJL136C","WGD"
"P0C2H7","YDR471W","WGD"
"Q3E792","YGR027C","WGD"
"P05737","YGL076C","WGD"
"P39939","YER131W","WGD"
"P87262","YER056C-A","WGD"
"Q02753","YBR191W","WGD"
"Q12690","YDL082W","WGD"
"P14127","YDR447C","WGD"
"P06367","YCR031C","WGD"
"P36172","YKR105C","WGD"
"Q3E757","YGR085C","WGD"
"P0CX26","YJR094W-A","WGD"
"P46990","YJL177W","WGD"
"P41056","YOR234C","WGD"
"P43544","YFL060C","WGD"
"P05748","YLR029C","WGD"
"P11484","YDL229W","WGD"
"P38754","YHL001W","WGD"
"P07281","YNL302C","WGD"
"P25596","YCL073C","WGD"
"P43545","YFL059W","WGD"
"P10664","YBR031W","WGD"
NA,"YDR385W","WGD"
"P0CX38","YBR181C","WGD"
"P0CX41","YBL087C","WGD"
NA,"YBR118W","WGD"
"P0CX39","YBL072C","WGD"
"P0CX33","YLR287C-A","WGD"
"P0CX29","YGR118W","WGD"
NA,"YDR134C","WGD"
"P0CX36","YHR203C","WGD"
"P0CX52","YDL083C","WGD"
"P0CX83","YBL027W","WGD"
"P0CX44","YGL135W","WGD"
"P0CX28","YHR141C","WGD"
"P0CH08","YIL148W","WGD"
NA,"YJL138C","WGD"
"P0CX50","YNL301C","WGD"
"P0CX31","YER074W","WGD"
"P0CX48","YBR048W","WGD"
"P0CX55","YDR450W","WGD"
"P0CX84","YDL191W","WGD"
"P0CX54","YDR418W","WGD"
"P0CX86","YDL184C","WGD"
"P0CX45","YFR031C-A","WGD"
"Q08182","YOL028C","WGD"
"Q04964","YML058W","WGD"
"P38280","YBR148W","WGD"
"P32323","YNR044W","WGD"
"Q06208","YLR453C","WGD"
"P47152","YJR115W","WGD"
"Q12416","YOR083W","WGD"
"P39991","YEL025C","WGD"
"Q08580","YOR193W","WGD"
"P38338","YBR259W","WGD"
"P36143","YKR058W","WGD"
"P40095","YER158C","WGD"
"P32047","YNL074C","WGD"
"Q07653","YDL223C","WGD"
"Q08412","YOR042W","WGD"
"Q92331","YOR069W","WGD"
"P38855","YHR160C","WGD"
"P32488","YMR081C","WGD"
"Q03063","YPL049C","WGD"
"Q12282","YOR214C","WGD"
"P53865","YNL225C","WGD"
"Q12340","YOR172W","WGD"
"P53075","YGL228W","WGD"
"P47175","YJR147W","WGD"
"Q08471","YOR066W","WGD"
"P38781","YHR056C","WGD"
"P53080","YGL222C","WGD"
"P40535","YIL036W","WGD"
"P87275","YER093C-A","WGD"
"Q12045","YPL253C","WGD"
"Q12254","YPL163C","WGD"
"Q03702","YKL011C","WGD"
"Q04279","YMR086W","WGD"
"P47101","YJR030C","WGD"
"P53947","YNL058C","WGD"
"Q08491","YOR076C","WGD"
"P38232","YBR050C","WGD"
"Q08234","YOL075C","WGD"
"P40572","YIR016W","WGD"
"Q12182","YOR342C","WGD"
"P53882","YNL176C","WGD"
"Q02208","YKR010C","WGD"
"P35189","YPL129W","WGD"
"O13297","YPL228W","WGD"
"Q06139","YLR346C","WGD"
"P53035","YGL209W","WGD"
"Q99332","YOR324C","WGD"
"Q06616","YPR174C","WGD"
"Q08157","YOL019W","WGD"
"P53885","YNL173C","WGD"
"Q3E830","YCR075W-A","WGD"
"Q06469","YPR158W","WGD"
"P17123","YHR152W","WGD"
"Q12034","YDR515W","WGD"
"P47049","YJL048C","WGD"
"Q12224","YPL089C","WGD"
"Q04329","YMR195W","WGD"
"P40917","YOR028C","WGD"
"P39520","YLR223C","WGD"
"Q08172","YOL024W","WGD"
"Q05050","YMR031C","WGD"
"P41698","YLR353W","WGD"
"P40059","YER088C","WGD"
"P17214","YLR233C","WGD"
"P36115","YKR019C","WGD"
"Q08219","YOL048C","WGD"
"P53983","YNL008C","WGD"
"Q06160","YLR313C","WGD"
"Q08119","YOL017W","WGD"
"Q02455","YKR095W","WGD"
"Q05934","YLR373C","WGD"
"P32385","YLL046C","WGD"
"P28006","YOR178C","WGD"
"Q02831","YPL077C","WGD"
"P39106","YER001W","WGD"
"Q99393","YOL101C","WGD"
"P47074","YJL013C","WGD"
"Q04201","YML101C","WGD"
"Q12180","YOL089C","WGD"
"P54784","YML065W","WGD"
"Q08270","YOL131W","WGD"
"Q08964","YPL216W","WGD"
"P40366","YJL065C","WGD"
"Q06485","YLR356W","WGD"
"P33748","YMR037C","WGD"
"P21192","YLR131C","WGD"
"P32900","YHR149C","WGD"
"P53898","YNL156C","WGD"
"P53628","YNR023W","WGD"
"P32572","YNL204C","WGD"
"Q08001","YLR072W","WGD"
"P41817","YPL177C","WGD"
"P38785","YHR061C","WGD"
"P43633","YGL021W","WGD"
"Q04947","YDR233C","WGD"
"P53719","YNR014W","WGD"
"Q12344","YPL249C","WGD"
"P39083","YOR127W","WGD"
"P36124","YKR029C","WGD"
"Q04472","YMR115W","WGD"
"P38867","YHR177W","WGD"
"P50111","YMR273C","WGD"
"P34761","YNL197C","WGD"
"P39523","YMR124W","WGD"
"Q03790","YMR153W","WGD"
"Q03707","YML034W","WGD"
"P53907","YNL144C","WGD"
"Q04429","YDR528W","WGD"
"Q06266","YLR183C","WGD"
"P24813","YDR423C","WGD"
"Q99395","YPL229W","WGD"
"P53836","YNL278W","WGD"
"Q12253","YLR046C","WGD"
"Q02630","YMR047C","WGD"
"Q04867","YMR310C","WGD"
"Q12734","YPR030W","WGD"
"P53728","YNR028W","WGD"
"Q02486","YMR072W","WGD"
"Q12216","YOR156C","WGD"
"P53169","YGL060W","WGD"
"Q08957","YPL202C","WGD"
"P36130","YKR036C","WGD"
"Q12132","YPL230W","WGD"
"P12383","YGL013C","WGD"
"Q08966","YPL219W","WGD"
"Q12286","YPR009W","WGD"
"Q02875","YPL105C","WGD"
"P34161","YML027W","WGD"
"P40084","YER139C","WGD"
"P36033","YKL220C","WGD"
"Q99248","YOR019W","WGD"
"Q08747","YOR295W","WGD"
"P38717","YNL257C","WGD"
"Q03730","YML018C","WGD"
"P20485","YLR133W","WGD"
"P40075","YER120W","WGD"
"Q12753","YPR008W","WGD"
"Q03088","YPL032C","WGD"
"Q08886","YOR371C","WGD"
"P36027","YLR332W","WGD"
"P38704","YHR006W","WGD"
"P39969","YER114C","WGD"
"P39000","YER096W","WGD"
"Q03010","YPL139C","WGD"
"Q12438","YDL010W","WGD"
"P40187","YIL045W","WGD"
"Q04487","YMR118C","WGD"
"Q08969","YPL223C","WGD"
"Q12013","YOR034C","WGD"
"P04821","YLR310C","WGD"
"P40475","YIL120W","WGD"
"P35817","YLR399C","WGD"
"Q02733","YPL017C","WGD"
"P22211","YNL183C","WGD"
"Q02805","YOR018W","WGD"
"Q08553","YOR179C","WGD"
"P32861","YKL035W","WGD"
"P36025","YOR062C","WGD"
"P53438","YMR016C","WGD"
"Q12236","YOL100W","WGD"
"P36004","YKL168C","WGD"
"P52960","YOR363C","WGD"
"P38800","YHR080C","WGD"
"Q12128","YOR134W","WGD"
"P36169","YKR100C","WGD"
"Q08214","YOL043C","WGD"
"P26343","YKR034W","WGD"
"P40522","YIL056W","WGD"
"P35210","YKL020C","WGD"
"P54070","YPL053C","WGD"
"Q03177","YMR102C","WGD"
"Q12215","YOL105C","WGD"
"P40552","YIL011W","WGD"
"Q12211","YPL212C","WGD"
"Q12222","YOL128C","WGD"
"P36117","YKR021W","WGD"
"P11655","YNR026C","WGD"
"Q04408","YDR514C","WGD"
"Q04545","YML081W","WGD"
"Q12259","YLR108C","WGD"
"P47977","YLR136C","WGD"
"P39956","YER169W","WGD"
"Q99326","YOR338W","WGD"
"Q12676","YMR113W","WGD"
"Q04705","YML047C","WGD"
"P43637","YGL179C","WGD"
"Q06108","YPR115W","WGD"
"Q12185","YDR018C","WGD"
"P38760","YHR015W","WGD"
"P39997","YEL016C","WGD"
"P38814","YHR103W","WGD"
"Q03125","YDR043C","WGD"
"P40064","YER105C","WGD"
"P38853","YHR158C","WGD"
"P32474","YDR518W","WGD"
"P36044","YKL201C","WGD"
"P40361","YJL070C","WGD"
"P39944","YER144C","WGD"
"Q96VH2","YCL001W-B","WGD"
"P36123","YKR028W","WGD"
"P38616","YNL160W","WGD"
"Q03081","YPL038W","WGD"
"P08459","YDR522C","WGD"
"Q06001","YLR238W","WGD"
"Q08930","YPL191C","WGD"
"Q06689","YLR413W","WGD"
"Q12457","YDR026C","WGD"
"P36122","YKR027W","WGD"
"Q12476","YDL175C","WGD"
"P38590","YNL053W","WGD"
"P38623","YLR248W","WGD"
"P53094","YGL197W","WGD"
"P53142","YGL104C","WGD"
"Q03559","YMR295C","WGD"
"Q08558","YOR180C","WGD"
"Q03264","YMR285C","WGD"
"P47041","YJL058C","WGD"
"Q03002","YPL141C","WGD"
"P39967","YER098W","WGD"
"Q08919","YPL176C","WGD"
"Q12385","YLR099C","WGD"
"Q06169","YLR324W","WGD"
"Q06608","YPR172W","WGD"
"Q03016","YPL137C","WGD"
"P47090","YJR015W","WGD"
"P36026","YKR098C","WGD"
"Q08844","YOR365C","WGD"
"Q03446","YDR003W","WGD"
"Q12396","YLR080W","WGD"
"P36168","YKR096W","WGD"
"P19158","YOL081W","WGD"
"P53140","YGL107C","WGD"
"Q04516","YML087C","WGD"
"P38922","YNL004W","WGD"
"P46679","YMR053C","WGD"
"P53118","YGL144C","WGD"
"P32329","YLR120C","WGD"
"P38809","YHR097C","WGD"
"P53078","YGL224C","WGD"
"Q12505","YPL026C","WGD"
"P41813","YNL068C","WGD"
"Q99369","YOR280C","WGD"
"Q12221","YPR042C","WGD"
"Q12043","YOR081C","WGD"
"Q05958","YLR228C","WGD"
"P36002","YKL198C","WGD"
"P53036","YGL229C","WGD"
"P38856","YHR161C","WGD"
"P36101","YKL027W","WGD"
"P53629","YNR019W","WGD"
"Q12263","YDR507C","WGD"
"P21373","YJR049C","WGD"
"P53974","YNL020C","WGD"
"Q12317","YOL112W","WGD"
"P25693","YDL127W","WGD"
"Q05937","YLR375W","WGD"
"P38858","YHR163W","WGD"
"Q08438","YOR054C","WGD"
"P24871","YLR210W","WGD"
"Q02642","YPL037C","WGD"
"Q08970","YPL224C","WGD"
"P19524","YOR326W","WGD"
"Q06236","YLR164W","WGD"
"P30283","YPR120C","WGD"
"P32857","YKL039W","WGD"
"P34164","YGL208W","WGD"
"P40169","YNL194C","WGD"
"P38817","YHR108W","WGD"
"Q06488","YLR357W","WGD"
"P51862","YLR371W","WGD"
"P32386","YLL048C","WGD"
"P23501","YKR053C","WGD"
"P04840","YNL055C","WGD"
"P01098","YDL130W-A","WGD"
"Q04210","YMR040W","WGD"
"P28584","YKR050W","WGD"
"Q07949","YLR019W","WGD"
"P40186","YIL050W","WGD"
"Q06251","YLR177W","WGD"
"P40074","YER119C","WGD"
"P47102","YJR031C","WGD"
"P07213","YNL121C","WGD"
"P39875","YOR033C","WGD"
"Q05948","YLR225C","WGD"
"P48524","YMR275C","WGD"
"P53966","YNL029C","WGD"
"P53955","YNL047C","WGD"
"P36005","YKL161C","WGD"
"P53599","YNR031C","WGD"
"P35845","YAR042W","WGD"
"Q02896","YPL087W","WGD"
"P39935","YGR162W","WGD"
