"protein","Gene","Group"
"Q08914","YOR391C","GroupV"
"Q08989","YPL277C","GroupV"
"Q08991","YPL279C","GroupV"
"Q08992","YPL280W","GroupV"
"Q08994","YPR203W","GroupV"
"Q08995","YPR204W","GroupV"
"Q12153","YDR312W","GroupV"
"Q12218","YOR009W","GroupV"
"Q12370","YLL025W","GroupV"
"Q12672","YPL079W","GroupV"
"Q12691","YDR038C","GroupV"
"Q3E770","YBL108C-A","GroupV"
"Q3E7X8","YEL077C","GroupV"
"Q3E7Y5","YBL111C","GroupV"
"Q6B2U8","YAL064C-A","GroupV"
"Q7M4S9","YBL113C","GroupV"
"Q99208","YLL066C","GroupV"
"P20051","YLR420W","GroupI"
"P14126","YOR063W","GroupI"
"P28519","YMR201C","GroupI"
"P48567","YNL292W","GroupI"
"P31244","YBR114W","GroupI"
"P10862","YCR066W","GroupI"
"P12753","YNL250W","GroupI"
"P32849","YLR032W","GroupI"
"P06778","YML032C","GroupI"
"P25301","YDR004W","GroupI"
"P32864","YOR370C","GroupI"
"P25332","YCR036W","GroupI"
"P53721","YNR018W","GroupI"
"P38086","YBR073W","GroupI"
"P19541","YPL133C","GroupI"
"Q12021","YDR030C","GroupI"
"P14736","YER162C","GroupI"
"P39729","YAL036C","GroupI"
"P21827","YGL097W","GroupI"
"P12689","YOR346W","GroupI"
"P30775","YGL143C","GroupI"
"P06839","YER171W","GroupI"
"Q12495","YPR018W","GroupI"
"Q00816","YDR028C","GroupI"
"Q08237","YOL080C","GroupI"
"P26754","YNL312W","GroupI"
"Q08003","YLR073C","GroupI"
"P36517","YLR439W","GroupI"
"P22353","YJL063C","GroupI"
"P31334","YGR220C","GroupI"
"P53875","YNL185C","GroupI"
"P53881","YNL177C","GroupI"
"P14063","YKL138C","GroupI"
"P32387","YDR405W","GroupI"
"P19956","YMR225C","GroupI"
"P32388","YKL167C","GroupI"
"P28272","YKL216W","GroupI"
"P06779","YJR052W","GroupI"
"Q04418","YDR527W","GroupI"
"Q12270","YPL246C","GroupI"
"Q04779","YMR075W","GroupI"
"Q03713","YML030W","GroupI"
"Q06835","YPR094W","GroupI"
"P25560","YCL001W","GroupI"
"P38630","YOR217W","GroupI"
"P40348","YJR068W","GroupI"
"P38206","YBL020W","GroupI"
"P00128","YDR529C","GroupI"
"Q08904","YOR380W","GroupI"
"P53331","YGR276C","GroupI"
"Q00453","YMR182C","GroupI"
"P36516","YMR024W","GroupI"
"P32904","YHR147C","GroupI"
"P36519","YDR237W","GroupI"
"P38064","YBL038W","GroupI"
"P22354","YKR085C","GroupI"
"Q08760","YOR301W","GroupI"
"P35196","YBR002C","GroupI"
"P38629","YNL290W","GroupI"
"P40339","YOL094C","GroupI"
"P38251","YBR087W","GroupI"
"P48743","YLR176C","GroupI"
"P16664","YDR137W","GroupI"
"Q00245","YIL118W","GroupI"
"P32445","YCR028C-A","GroupI"
"Q05672","YDL189W","GroupI"
"Q03530","YMR274C","GroupI"
"Q99258","YDR487C","GroupI"
"P33312","YBR153W","GroupI"
"P38127","YBR192W","GroupI"
"Q08273","YOL133W","GroupI"
"P53972","YNL022C","GroupI"
"P39531","YJL204C","GroupI"
"Q12090","YLR107W","GroupI"
"P36520","YNL284C","GroupI"
"P36523","YLR312W-A","GroupI"
"P36528","YNL252C","GroupI"
"Q06624","YPR180W","GroupI"
"Q12487","YOR150W","GroupI"
"P25378","YCR027C","GroupI"
"P36525","YMR193W","GroupI"
"P23369","YGR076C","GroupI"
"P36526","YBR282W","GroupI"
"P36527","YDR462W","GroupI"
"Q03778","YDR236C","GroupI"
"Q12196","YOR119C","GroupI"
"P39677","YJL102W","GroupI"
"P14120","YGL030W","GroupI"
"P22336","YAR007C","GroupI"
"P38339","YBR260C","GroupI"
"P43556","YFL047W","GroupI"
"Q04599","YDR116C","GroupI"
"Q12504","YDR257C","GroupI"
"Q12367","YLR137W","GroupI"
"P04650","YJL189W","GroupI"
"Q05468","YDR333C","GroupI"
"P02406","YGL103W","GroupI"
"P51534","YOR035C","GroupI"
"P38705","YHR011W","GroupI"
"P38989","YFR031C","GroupI"
"Q04174","YOR149C","GroupI"
"Q12306","YDR510W","GroupI"
"P39990","YEL026W","GroupI"
"P53127","YGL131C","GroupI"
"Q08826","YOR357C","GroupI"
"Q04477","YMR117C","GroupI"
"P36126","YKR031C","GroupI"
"P32558","YGL207W","GroupI"
"Q06010","YLR389C","GroupI"
"P06783","YKL178C","GroupI"
"P25604","YCL008C","GroupI"
"P54000","YMR039C","GroupI"
"P38198","YBL034C","GroupI"
"P46675","YLR045C","GroupI"
"P23255","YCR042C","GroupI"
"P35177","YBR081C","GroupI"
"P38688","YPL210C","GroupI"
"P40468","YIL129C","GroupI"
"P39015","YLR150W","GroupI"
"P39932","YDR536W","GroupI"
"Q03868","YDR104C","GroupI"
"P40031","YER046W","GroupI"
"P25648","YCR081W","GroupI"
"P53866","YNL224C","GroupI"
"P50875","YOL148C","GroupI"
"Q07084","YLR006C","GroupI"
"P53072","YGL232W","GroupI"
"P47154","YJR117W","GroupI"
"P15705","YOR027W","GroupI"
"P32597","YIL126W","GroupI"
"P38637","YIR011C","GroupI"
"P39007","YGL022W","GroupI"
"P38863","YHR172W","GroupI"
"P23179","YHL022C","GroupI"
"P11747","YML098W","GroupI"
"P20424","YPR088C","GroupI"
"P38788","YHR064C","GroupI"
"P25344","YCL032W","GroupI"
"P32583","YKR092C","GroupI"
"P36077","YKL086W","GroupI"
"P53101","YGL184C","GroupI"
"P32579","YGL169W","GroupI"
"P32580","YPL029W","GroupI"
"P13188","YOR168W","GroupI"
"P47037","YJL074C","GroupI"
"P32908","YFL008W","GroupI"
"Q12368","YDL098C","GroupI"
"Q08817","YOR353C","GroupI"
"P40317","YDR006C","GroupI"
"P00447","YHR008C","GroupI"
"P04801","YIL078W","GroupI"
"P35189","YPL129W","GroupI"
"Q06160","YLR313C","GroupI"
"P27692","YML010W","GroupI"
"P53538","YNL222W","GroupI"
"P41930","YPL092W","GroupI"
"P39706","YAR003W","GroupI"
"P36150","YKR069W","GroupI"
"P37297","YLR305C","GroupI"
"P04802","YLL018C","GroupI"
"Q03497","YHL007C","GroupI"
"P32584","YDR410C","GroupI"
"P38699","YHR178W","GroupI"
"P12866","YKL209C","GroupI"
"Q6WNK7","YBR111W-A","GroupI"
"P53852","YNL247W","GroupI"
"P08525","YJL166W","GroupI"
"P38953","YDR076W","GroupI"
"P06777","YPL022W","GroupI"
"P32628","YEL037C","GroupI"
"P32641","YER173W","GroupI"
"P47104","YJR033C","GroupI"
"Q12465","YLR084C","GroupI"
"P22289","YGR183C","GroupI"
"P40352","YJR035W","GroupI"
"P07276","YGR258C","GroupI"
"P53037","YGR170W","GroupI"
"P04161","YDR408C","GroupI"
"P03962","YEL021W","GroupI"
"P07257","YPR191W","GroupI"
"P00127","YFR033C","GroupI"
"P38227","YBR043C","GroupI"
"P38230","YBR046C","GroupI"
"P43122","YDL104C","GroupI"
"P30620","YMR137C","GroupI"
"P25044","YDL230W","GroupI"
"Q04373","YDR496C","GroupI"
"P40359","YJL072C","GroupI"
"P27616","YAR015W","GroupI"
"Q12488","YDR013W","GroupI"
"P40555","YIL007C","GroupI"
"P22141","YER012W","GroupI"
"Q12161","YOL054W","GroupI"
"Q06132","YLR336C","GroupI"
"P33338","YNL243W","GroupI"
"P34252","YKL108W","GroupI"
"Q06836","YPR095C","GroupI"
"P53148","YGL093W","GroupI"
"O94742","YDR363W-A","GroupI"
"P16658","YLR105C","GroupI"
"P33330","YOR184W","GroupI"
"P25554","YCL010C","GroupI"
"P40210","YMR140W","GroupI"
"P53327","YGR271W","GroupI"
"Q00772","YHR030C","GroupI"
"Q06411","YLR424W","GroupI"
"P25808","YFL002C","GroupI"
"P25582","YCL054W","GroupI"
"Q12074","YPR069C","GroupI"
"P39707","YAR008W","GroupI"
"Q03656","YMR216C","GroupI"
"P07284","YDR023W","GroupI"
"P39929","YLR025W","GroupI"
"Q07534","YDL119C","GroupI"
"P32915","YLR378C","GroupI"
"P35179","YDR086C","GroupI"
"Q03323","YDR469W","GroupI"
"P53078","YGL224C","GroupI"
"P11075","YDR170C","GroupI"
"P32855","YPR055W","GroupI"
"P89102","YDR166C","GroupI"
"P48526","YPL040C","GroupI"
"Q08446","YOR057W","GroupI"
"Q12118","YOR007C","GroupI"
"P53965","YNL032W","GroupI"
"Q03406","YDR489W","GroupI"
"Q08204","YOL034W","GroupI"
"Q06217","YLR275W","GroupI"
"P33328","YOR327C","GroupI"
"Q12483","YPL002C","GroupI"
"Q02774","YDL212W","GroupI"
"Q02775","YDR088C","GroupI"
"Q12267","YLR086W","GroupI"
"Q12749","YLR383W","GroupI"
"P25357","YCR033W","GroupI"
"P22579","YOL004W","GroupI"
"P22213","YDR189W","GroupI"
"P22215","YOR307C","GroupI"
"P43321","YLR147C","GroupI"
"P32566","YGR229C","GroupI"
"Q02608","YPL013C","GroupI"
"P40962","YOR077W","GroupI"
"P53064","YGL244W","GroupI"
"Q12330","YOR159C","GroupI"
"P38352","YBR280C","GroupI"
"P15625","YFL022C","GroupI"
"P24280","YMR079W","GroupI"
"P17065","YNL272C","GroupI"
"P14906","YOR254C","GroupI"
"P29478","YML105C","GroupI"
"P38166","YBL102W","GroupI"
"P53165","YGL066W","GroupI"
"P36136","YKR043C","GroupI"
"P52286","YDR328C","GroupI"
"P35735","YKL051W","GroupI"
"Q05567","YDR294C","GroupI"
"P40073","YER118C","GroupI"
"P35207","YLR398C","GroupI"
"P38283","YBR156C","GroupI"
"P38241","YBR065C","GroupI"
"P38324","YBR228W","GroupI"
"Q02260","YGR074W","GroupI"
"P45978","YPR129W","GroupI"
"P53313","YGR245C","GroupI"
"Q04401","YDR511W","GroupI"
"P15367","YIR022W","GroupI"
"P15303","YPR181C","GroupI"
"P33754","YBR171W","GroupI"
"P40541","YIL026C","GroupI"
"Q12334","YDL139C","GroupI"
"P08425","YPR047W","GroupI"
"Q3E785","YDR379C-A","GroupI"
"P49955","YMR288W","GroupI"
"P35187","YMR190C","GroupI"
"P39954","YER043C","GroupI"
"Q12158","YDL003W","GroupI"
"P25303","YMR214W","GroupI"
"P40528","YIL047C","GroupI"
"P53009","YGL083W","GroupI"
"P30619","YDR164C","GroupI"
"P22214","YLR268W","GroupI"
"P48415","YPL085W","GroupI"
"P32602","YBL050W","GroupI"
"P18759","YBR080C","GroupI"
"P38968","YDL195W","GroupI"
"P40357","YGR009C","GroupI"
"Q02825","YPL083C","GroupI"
"Q00416","YLR430W","GroupI"
"P39709","YAL067C","GroupI"
"P46995","YJL168C","GroupI"
"P38890","YHR207C","GroupI"
"P32432","YLR403W","GroupI"
"Q12314","YOR021C","GroupI"
"P43682","YKL006C-A","GroupI"
"P38345","YBR269C","GroupI"
"Q07953","YLR022C","GroupI"
"Q04491","YLR208W","GroupI"
"P22224","YGL233W","GroupI"
"P53011","YGL100W","GroupI"
"Q12136","YDL153C","GroupI"
"P40963","YMR127C","GroupI"
"P28707","YKL117W","GroupI"
"P11792","YHR205W","GroupI"
"P38164","YBL104C","GroupI"
"P38804","YHR087W","GroupI"
"Q12745","YLR440C","GroupI"
"Q12464","YPL235W","GroupI"
"P40204","YFL017W-A","GroupI"
"P53969","YNL026W","GroupI"
"P06105","YJL080C","GroupI"
"Q03940","YDR190C","GroupI"
"P53324","YGR263C","GroupI"
"P36056","YKL155C","GroupI"
"P32368","YKL212W","GroupI"
"Q08230","YOL071W","GroupI"
"P21801","YLL041C","GroupI"
"Q06245","YLR166C","GroupI"
"P21825","YPL094C","GroupI"
"P07263","YPR033C","GroupI"
"P38810","YHR098C","GroupI"
"Q12529","YPL165C","GroupI"
"P40505","YIL084C","GroupI"
"P33332","YER008C","GroupI"
"P20048","YMR013C","GroupI"
"Q01590","YLR026C","GroupI"
"P33303","YJR095W","GroupI"
"P40363","YJL068C","GroupI"
"Q06168","YLR321C","GroupI"
"Q99287","YOR165W","GroupI"
"P38889","YHR206W","GroupI"
"P47057","YJL036W","GroupI"
"Q12133","YLR066W","GroupI"
"Q02521","YOR148C","GroupI"
"P32573","YNL202W","GroupI"
"P06844","YDR392W","GroupI"
"P23615","YGR116W","GroupI"
"P36057","YKL154W","GroupI"
"P39073","YPL042C","GroupI"
"P11972","YLR452C","GroupI"
"P23561","YLR362W","GroupI"
"Q12427","YDR169C","GroupI"
"P13574","YHR084W","GroupI"
"D6VTK4","YFL026W","GroupI"
"P32790","YBL007C","GroupI"
"P18480","YBR289W","GroupI"
"P06782","YDR477W","GroupI"
"P00445","YJR104C","GroupI"
"P35208","YJL127C","GroupI"
"P46677","YGR274C","GroupI"
"Q12516","YDL133W","GroupI"
"P18410","YAL009W","GroupI"
"Q03012","YPL138C","GroupI"
"P25638","YCR060W","GroupI"
"P32916","YDR292C","GroupI"
"Q04673","YLR005W","GroupI"
"P47821","YNL025C","GroupI"
"P46965","YJR010C-A","GroupI"
"P32914","YGR063C","GroupI"
"P15019","YLR354C","GroupI"
"P12954","YJL092W","GroupI"
"P39931","YLR250W","GroupI"
"P24276","YDR293C","GroupI"
"P39928","YIL147C","GroupI"
"P53540","YNL126W","GroupI"
"P38915","YLR055C","GroupI"
"P10663","YPR166C","GroupI"
"P47150","YJR113C","GroupI"
"P53732","YNR036C","GroupI"
"Q03201","YDR041W","GroupI"
"P53305","YGR215W","GroupI"
"Q01163","YGL129C","GroupI"
"P32608","YGL252C","GroupI"
"P20134","YOR140W","GroupI"
"P47166","YJR134C","GroupI"
"P40561","YIR001C","GroupI"
"Q08199","YOL031C","GroupI"
"P25294","YNL007C","GroupI"
"P17883","YPR189W","GroupI"
"Q12232","YOR154W","GroupI"
"P39940","YER125W","GroupI"
"P40825","YOR335C","GroupI"
"P32902","YHL004W","GroupI"
"P38120","YBR146W","GroupI"
"Q03246","YMR188C","GroupI"
