"protein","Gene","orthogroup"
"P04456","YOL127W","S+Genus-Single"
"P04786","YOL006C","S+Genus-Single"
"P04801","YIL078W","S+Genus-Single"
"P04802","YLL018C","S+Genus-Single"
"P04803","YDR268W","S+Genus-Single"
"P04819","YDL164C","S+Genus-Single"
"P04821","YLR310C","S+Genus-Single"
"P04840","YNL055C","S+Genus-Single"
"P05066","YOR386W","S+Genus-Single"
"P05085","YML099C","S+Genus-Single"
"P05150","YJL088W","S+Genus-Single"
"P05317","YLR340W","S+Genus-Single"
"P05318","YDL081C","S+Genus-Single"
"P05319","YOL039W","S+Genus-Single"
"P05373","YGL040C","S+Genus-Single"
"P05374","YGR157W","S+Genus-Single"
"P05375","YJR073C","S+Genus-Single"
"P05453","YDR172W","S+Genus-Single"
"P05626","YPL078C","S+Genus-Single"
"P05694","YER091C","S+Genus-Single"
"P05747","YFR032C-A","S+Genus-Single"
"P05749","YLR061W","S+Genus-Single"
"P05750","YNL178W","S+Genus-Single"
"P06100","YDL165W","S+Genus-Single"
"P06101","YDR168W","S+Genus-Single"
"P06102","YIL038C","S+Genus-Single"
"P06103","YOR361C","S+Genus-Single"
"P06104","YGL058W","S+Genus-Single"
"P06105","YJL080C","S+Genus-Single"
"P06106","YLR303W","S+Genus-Single"
"P06115","YGR088W","S+Genus-Single"
"P06168","YLR355C","S+Genus-Single"
"P06174","YOR278W","S+Genus-Single"
"P06182","YAL039C","S+Genus-Single"
"P06197","YPR113W","S+Genus-Single"
"P06242","YDL108W","S+Genus-Single"
"P06243","YDL017W","S+Genus-Single"
"P06633","YOR202W","S+Genus-Single"
"P06701","YLR442C","S+Genus-Single"
"P06704","YOR257W","S+Genus-Single"
"P06738","YPR160W","S+Genus-Single"
"P06773","YHR144C","S+Genus-Single"
"P06775","YGR191W","S+Genus-Single"
"P06776","YOR360C","S+Genus-Single"
"P06777","YPL022W","S+Genus-Single"
"P06778","YML032C","S+Genus-Single"
"P06779","YJR052W","S+Genus-Single"
"P06780","YPR165W","S+Genus-Single"
"P06782","YDR477W","S+Genus-Single"
"P06783","YKL178C","S+Genus-Single"
"P06784","YDL159W","S+Genus-Single"
"P06785","YOR074C","S+Genus-Single"
"P06786","YNL088W","S+Genus-Single"
"P06787","YBR109C","S+Genus-Single"
"P06838","YML095C","S+Genus-Single"
"P06843","YER161C","S+Genus-Single"
"P06844","YDR392W","S+Genus-Single"
"P07143","YOR065W","S+Genus-Single"
"P07149","YKL182W","S+Genus-Single"
"P07170","YDR226W","S+Genus-Single"
"P07172","YIL116W","S+Genus-Single"
"P07213","YNL121C","S+Genus-Single"
"P07236","YKL194C","S+Genus-Single"
"P07244","YGL234W","S+Genus-Single"
"P07248","YDR216W","S+Genus-Single"
"P07250","YDR173C","S+Genus-Single"
"P07251","YBL099W","S+Genus-Single"
"P07252","YJL209W","S+Genus-Single"
"P07253","YBR120C","S+Genus-Single"
"P07255","YDL067C","S+Genus-Single"
"P07256","YBL045C","S+Genus-Single"
"P07257","YPR191W","S+Genus-Single"
"P07258","YOR303W","S+Genus-Single"
"P07259","YJL130C","S+Genus-Single"
"P07260","YOL139C","S+Genus-Single"
"P07261","YPL075W","S+Genus-Single"
"P07263","YPR033C","S+Genus-Single"
"P07264","YGL009C","S+Genus-Single"
"P07266","YIR021W","S+Genus-Single"
"P07267","YPL154C","S+Genus-Single"
"P07269","YDL106C","S+Genus-Single"
"P07270","YFR034C","S+Genus-Single"
"P07271","YML061C","S+Genus-Single"
"P07272","YLR014C","S+Genus-Single"
"P07273","YGL043W","S+Genus-Single"
"P07274","YOR122C","S+Genus-Single"
"P07275","YHR037W","S+Genus-Single"
"P07276","YGR258C","S+Genus-Single"
"P07277","YMR208W","S+Genus-Single"
"P07283","YFL045C","S+Genus-Single"
"P07284","YDR023W","S+Genus-Single"
"P07285","YDR354W","S+Genus-Single"
"P07286","YBR243C","S+Genus-Single"
"P07342","YMR108W","S+Genus-Single"
"P07347","YHR013C","S+Genus-Single"
"P07390","YNR045W","S+Genus-Single"
"P07560","YFL005W","S+Genus-Single"
"P07702","YBR115C","S+Genus-Single"
"P07703","YPR110C","S+Genus-Single"
"P07806","YGR094W","S+Genus-Single"
"P07807","YOR236W","S+Genus-Single"
"P07834","YFL009W","S+Genus-Single"
"P07866","YAL024C","S+Genus-Single"
"P07884","YOR274W","S+Genus-Single"
"P07991","YLR438W","S+Genus-Single"
"P08004","YNL192W","S+Genus-Single"
"P08018","YJL128C","S+Genus-Single"
"P08019","YIL099W","S+Genus-Single"
"P08067","YEL024W","S+Genus-Single"
"P08153","YDR146C","S+Genus-Single"
"P08417","YPL262W","S+Genus-Single"
"P08425","YPR047W","S+Genus-Single"
"P08431","YBR018C","S+Genus-Single"
"P08432","YKL184W","S+Genus-Single"
"P08456","YER026C","S+Genus-Single"
"P08458","YDR523C","S+Genus-Single"
"P08465","YNL277W","S+Genus-Single"
"P08466","YJL208C","S+Genus-Single"
"P08468","YMR257C","S+Genus-Single"
"P08518","YOR151C","S+Genus-Single"
"P08524","YJL167W","S+Genus-Single"
"P08536","YJR010W","S+Genus-Single"
"P08539","YHR005C","S+Genus-Single"
"P08566","YDR127W","S+Genus-Single"
"P08593","YPR134W","S+Genus-Single"
"P08638","YLR451W","S+Genus-Single"
"P08678","YJL005W","S+Genus-Single"
"P08964","YHR023W","S+Genus-Single"
"P09007","YCR018C","S+Genus-Single"
"P09032","YOR260W","S+Genus-Single"
"P09064","YPL237W","S+Genus-Single"
"P09119","YJL194W","S+Genus-Single"
"P09201","YLR377C","S+Genus-Single"
"P09232","YEL060C","S+Genus-Single"
"P09368","YLR142W","S+Genus-Single"
"P09457","YDR298C","S+Genus-Single"
"P09547","YPL016W","S+Genus-Single"
"P09620","YGL203C","S+Genus-Single"
"P09624","YFL018C","S+Genus-Single"
"P09880","YJL087C","S+Genus-Single"
"P09932","YDL227C","S+Genus-Single"
"P09937","YOR313C","S+Genus-Single"
"P09938","YJL026W","S+Genus-Single"
"P09950","YDR232W","S+Genus-Single"
"P09959","YLR182W","S+Genus-Single"
"P0C074","YNL138W-A","S+Genus-Single"
"P0C0X0","YLR264W","S+Genus-Single"
"P0C268","YBL039W-B","S+Genus-Single"
"P0C5N3","YGL041W-A","S+Genus-Single"
"P0CD91","YPR192W","S+Genus-Single"
"P0CE11","YER039C","S+Genus-Single"
"P0CE41","YLR256W","S+Genus-Single"
"P0CF17","YML002W","S+Genus-Single"
"P0CF19","YOL162W","S+Genus-Single"
"P0CT04","YNL015W","S+Genus-Single"
"P0CT86","YJR107C-A","S+Genus-Single"
"P0CY11","YCR097W","S+Genus-Single"
"P10080","YHL034C","S+Genus-Single"
"P10127","YGL256W","S+Genus-Single"
"P10174","YMR256C","S+Genus-Single"
"P10363","YIR008C","S+Genus-Single"
"P10507","YLR163C","S+Genus-Single"
"P10614","YHR007C","S+Genus-Single"
"P10622","YDL130W","S+Genus-Single"
"P10662","YDR347W","S+Genus-Single"
"P10823","YER020W","S+Genus-Single"
"P10834","YGR222W","S+Genus-Single"
"P10849","YDL044C","S+Genus-Single"
"P10862","YCR066W","S+Genus-Single"
"P10869","YER052C","S+Genus-Single"
"P10961","YGL073W","S+Genus-Single"
"P10962","YAL025C","S+Genus-Single"
"P10963","YKR097W","S+Genus-Single"
"P10964","YOR341W","S+Genus-Single"
"P11075","YDR170C","S+Genus-Single"
"P11325","YLR382C","S+Genus-Single"
"P11353","YDR044W","S+Genus-Single"
"P11412","YNL241C","S+Genus-Single"
"P11433","YAL041W","S+Genus-Single"
"P11491","YDR481C","S+Genus-Single"
"P11632","YPR052C","S+Genus-Single"
"P11633","YBR089C-A","S+Genus-Single"
"P11655","YNR026C","S+Genus-Single"
"P11709","YCL029C","S+Genus-Single"
"P11710","YCL027W","S+Genus-Single"
"P11745","YMR235C","S+Genus-Single"
"P11746","YMR043W","S+Genus-Single"
"P11747","YML098W","S+Genus-Single"
"P11792","YHR205W","S+Genus-Single"
"P11914","YHR024C","S+Genus-Single"
"P11927","YNL188W","S+Genus-Single"
"P11938","YNL216W","S+Genus-Single"
"P11972","YLR452C","S+Genus-Single"
"P11978","YDR227W","S+Genus-Single"
"P11986","YJL153C","S+Genus-Single"
"P12383","YGL013C","S+Genus-Single"
"P12385","YBR143C","S+Genus-Single"
"P12611","YOR043W","S+Genus-Single"
"P12612","YDR212W","S+Genus-Single"
"P12630","YIL015W","S+Genus-Single"
"P12685","YJL129C","S+Genus-Single"
"P12686","YGR084C","S+Genus-Single"
"P12687","YNL005C","S+Genus-Single"
"P12689","YOR346W","S+Genus-Single"
"P12695","YNL071W","S+Genus-Single"
"P12709","YBR196C","S+Genus-Single"
"P12753","YNL250W","S+Genus-Single"
"P12754","YGR083C","S+Genus-Single"
"P12866","YKL209C","S+Genus-Single"
"P12868","YMR231W","S+Genus-Single"
"P12887","YML021C","S+Genus-Single"
"P12904","YGL115W","S+Genus-Single"
"P12945","YDL040C","S+Genus-Single"
"P12954","YJL092W","S+Genus-Single"
"P12962","YOR276W","S+Genus-Single"
"P13099","YLR234W","S+Genus-Single"
"P13130","YHR139C","S+Genus-Single"
"P13188","YOR168W","S+Genus-Single"
"P13259","YGR202C","S+Genus-Single"
"P13298","YML106W","S+Genus-Single"
"P13365","YAL040C","S+Genus-Single"
"P13382","YNL102W","S+Genus-Single"
"P13393","YER148W","S+Genus-Single"
"P13433","YFL036W","S+Genus-Single"
"P13434","YBL021C","S+Genus-Single"
"P13483","YML113W","S+Genus-Single"
"P13574","YHR084W","S+Genus-Single"
"P13586","YGL167C","S+Genus-Single"
"P13663","YDR158W","S+Genus-Single"
"P13711","YGL205W","S+Genus-Single"
"P13712","YBR195C","S+Genus-Single"
"P13856","YGR152C","S+Genus-Single"
"P13902","YOL108C","S+Genus-Single"
"P14020","YPR183W","S+Genus-Single"
"P14063","YKL138C","S+Genus-Single"
"P14064","YKL109W","S+Genus-Single"
"P14065","YOR120W","S+Genus-Single"
"P14066","YDL069C","S+Genus-Single"
"P14120","YGL030W","S+Genus-Single"
"P14126","YOR063W","S+Genus-Single"
"P14164","YKL112W","S+Genus-Single"
"P14180","YBR038W","S+Genus-Single"
"P14242","YNL082W","S+Genus-Single"
"P14284","YPL167C","S+Genus-Single"
"P14291","YLR263W","S+Genus-Single"
"P14306","YLR178C","S+Genus-Single"
"P14359","YJL151C","S+Genus-Single"
"P14540","YKL060C","S+Genus-Single"
"P14680","YJL141C","S+Genus-Single"
"P14681","YGR040W","S+Genus-Single"
"P14693","YHR083W","S+Genus-Single"
"P14724","YFR036W","S+Genus-Single"
"P14736","YER162C","S+Genus-Single"
"P14737","YDR217C","S+Genus-Single"
"P14741","YKR026C","S+Genus-Single"
"P14743","YLR195C","S+Genus-Single"
"P14772","YLL015W","S+Genus-Single"
"P14843","YDR035W","S+Genus-Single"
"P14904","YKL103C","S+Genus-Single"
"P14905","YDR197W","S+Genus-Single"
"P14906","YOR254C","S+Genus-Single"
"P14908","YMR228W","S+Genus-Single"
"P14922","YBR112C","S+Genus-Single"
"P15019","YLR354C","S+Genus-Single"
"P15179","YPL104W","S+Genus-Single"
"P15180","YDR037W","S+Genus-Single"
"P15274","YML035C","S+Genus-Single"
"P15303","YPR181C","S+Genus-Single"
"P15315","YGL166W","S+Genus-Single"
"P15365","YJR152W","S+Genus-Single"
"P15367","YIR022W","S+Genus-Single"
"P15380","YOR348C","S+Genus-Single"
"P15424","YDR194C","S+Genus-Single"
"P15436","YDL102W","S+Genus-Single"
"P15442","YDR283C","S+Genus-Single"
"P15454","YDR454C","S+Genus-Single"
"P15496","YPL117C","S+Genus-Single"
"P15565","YDR120C","S+Genus-Single"
"P15624","YLR060W","S+Genus-Single"
"P15625","YFL022C","S+Genus-Single"
"P15646","YDL014W","S+Genus-Single"
"P15705","YOR027W","S+Genus-Single"
"P15801","YOR330C","S+Genus-Single"
"P15807","YBR213W","S+Genus-Single"
"P15873","YBR088C","S+Genus-Single"
"P15891","YCR088W","S+Genus-Single"
"P15938","YKR086W","S+Genus-Single"
"P15992","YBR072W","S+Genus-Single"
"P16120","YCR053W","S+Genus-Single"
"P16151","YDR414C","S+Genus-Single"
"P16370","YIL021W","S+Genus-Single"
"P16387","YER178W","S+Genus-Single"
"P16451","YGR193C","S+Genus-Single"
"P16522","YHR166C","S+Genus-Single"
"P16523","YNL210W","S+Genus-Single"
"P16547","YIL136W","S+Genus-Single"
"P16550","YCL050C","S+Genus-Single"
"P16603","YHR042W","S+Genus-Single"
"P16622","YOR176W","S+Genus-Single"
"P16639","YGL017W","S+Genus-Single"
"P16649","YCR084C","S+Genus-Single"
"P16658","YLR105C","S+Genus-Single"
"P16661","YBR110W","S+Genus-Single"
"P16664","YDR137W","S+Genus-Single"
"P16861","YGR240C","S+Genus-Single"
"P16862","YMR205C","S+Genus-Single"
"P16892","YBL016W","S+Genus-Single"
"P16965","YGR008C","S+Genus-Single"
"P17065","YNL272C","S+Genus-Single"
"P17106","YJR060W","S+Genus-Single"
"P17119","YPR141C","S+Genus-Single"
"P17121","YDR389W","S+Genus-Single"
"P17122","YHR153C","S+Genus-Single"
"P17123","YHR152W","S+Genus-Single"
"P17157","YPL031C","S+Genus-Single"
"P17214","YLR233C","S+Genus-Single"
"P17255","YDL185W","S+Genus-Single"
"P17260","YNL322C","S+Genus-Single"
"P17261","YCR075C","S+Genus-Single"
"P17423","YHR025W","S+Genus-Single"
"P17442","YGR233C","S+Genus-Single"
"P17505","YKL085W","S+Genus-Single"
"P17536","YNL079C","S+Genus-Single"
"P17555","YNL138W","S+Genus-Single"
"P17558","YOR158W","S+Genus-Single"
"P17629","YDR138W","S+Genus-Single"
"P17649","YGR019W","S+Genus-Single"
"P17695","YDR513W","S+Genus-Single"
"P17883","YPR189W","S+Genus-Single"
"P17890","YNL151C","S+Genus-Single"
"P17891","YGR167W","S+Genus-Single"
"P17898","YNL130C","S+Genus-Single"
"P17967","YCL043C","S+Genus-Single"
"P18408","YPR167C","S+Genus-Single"
"P18409","YAL010C","S+Genus-Single"
"P18410","YAL009W","S+Genus-Single"
"P18411","YAL008W","S+Genus-Single"
"P18412","YBR083W","S+Genus-Single"
"P18414","YBL040C","S+Genus-Single"
"P18480","YBR289W","S+Genus-Single"
"P18494","YER040W","S+Genus-Single"
"P18496","YLR393W","S+Genus-Single"
"P18544","YOL140W","S+Genus-Single"
"P18562","YHR128W","S+Genus-Single"
"P18634","YLR392C","S+Genus-Single"
"P18851","YOR212W","S+Genus-Single"
"P18852","YJR086W","S+Genus-Single"
"P18888","YHL025W","S+Genus-Single"
"P18898","YGL155W","S+Genus-Single"
"P18899","YMR173W","S+Genus-Single"
"P18900","YBR003W","S+Genus-Single"
"P18962","YHR028C","S+Genus-Single"
"P19073","YLR229C","S+Genus-Single"
"P19097","YPL231W","S+Genus-Single"
"P19145","YKR039W","S+Genus-Single"
"P19262","YDR148C","S+Genus-Single"
"P19263","YLR071C","S+Genus-Single"
"P19414","YLR304C","S+Genus-Single"
"P19454","YOR061W","S+Genus-Single"
"P19516","YPL132W","S+Genus-Single"
"P19541","YPL133C","S+Genus-Single"
"P19658","YJL085W","S+Genus-Single"
"P19659","YOL051W","S+Genus-Single"
"P19735","YBR055C","S+Genus-Single"
"P19807","YGL077C","S+Genus-Single"
"P19812","YGR184C","S+Genus-Single"
"P19880","YML007W","S+Genus-Single"
"P19881","YDL236W","S+Genus-Single"
"P19882","YLR259C","S+Genus-Single"
"P20048","YMR013C","S+Genus-Single"
"P20049","YBR166C","S+Genus-Single"
"P20050","YIL072W","S+Genus-Single"
"P20051","YLR420W","S+Genus-Single"
"P20052","YOL001W","S+Genus-Single"
"P20053","YPR178W","S+Genus-Single"
"P20081","YNL135C","S+Genus-Single"
"P20084","YMR286W","S+Genus-Single"
"P20095","YNR011C","S+Genus-Single"
"P20107","YMR243C","S+Genus-Single"
"P20133","YPR176C","S+Genus-Single"
"P20134","YOR140W","S+Genus-Single"
"P20424","YPR088C","S+Genus-Single"
"P20433","YJL140W","S+Genus-Single"
"P20434","YBR154C","S+Genus-Single"
"P20435","YPR187W","S+Genus-Single"
"P20437","YMR199W","S+Genus-Single"
"P20438","YPL256C","S+Genus-Single"
"P20447","YGL078C","S+Genus-Single"
"P20448","YJL033W","S+Genus-Single"
"P20449","YOR046C","S+Genus-Single"
"P20457","YKL045W","S+Genus-Single"
"P20459","YJR007W","S+Genus-Single"
"P20485","YLR133W","S+Genus-Single"
"P20486","YBR135W","S+Genus-Single"
"P20604","YDL047W","S+Genus-Single"
"P20606","YPL218W","S+Genus-Single"
"P20676","YOR098C","S+Genus-Single"
"P20967","YIL125W","S+Genus-Single"
"P21147","YGL055W","S+Genus-Single"
"P21182","YOL052C","S+Genus-Single"
"P21190","YJR094C","S+Genus-Single"
"P21192","YLR131C","S+Genus-Single"
"P21242","YOR362C","S+Genus-Single"
"P21243","YGL011C","S+Genus-Single"
"P21264","YOR128C","S+Genus-Single"
"P21268","YJL157C","S+Genus-Single"
"P21269","YER168C","S+Genus-Single"
"P21304","YLR196W","S+Genus-Single"
"P21339","YOR188W","S+Genus-Single"
"P21372","YBR237W","S+Genus-Single"
"P21373","YJR049C","S+Genus-Single"
"P21374","YJR050W","S+Genus-Single"
"P21375","YJR051W","S+Genus-Single"
"P21538","YBR049C","S+Genus-Single"
"P21576","YKR001C","S+Genus-Single"
"P21592","YPL172C","S+Genus-Single"
"P21595","YDR402C","S+Genus-Single"
"P21623","YDR403W","S+Genus-Single"
"P21657","YIR023W","S+Genus-Single"
"P21691","YKR101W","S+Genus-Single"
"P21705","YNL314W","S+Genus-Single"
"P21734","YDR177W","S+Genus-Single"
"P21771","YDR337W","S+Genus-Single"
"P21801","YLL041C","S+Genus-Single"
"P21825","YPL094C","S+Genus-Single"
"P21827","YGL097W","S+Genus-Single"
"P21951","YNL262W","S+Genus-Single"
"P21957","YHL020C","S+Genus-Single"
"P21965","YNL307C","S+Genus-Single"
"P22007","YDL090C","S+Genus-Single"
"P22023","YOR336W","S+Genus-Single"
"P22035","YKR099W","S+Genus-Single"
"P22082","YOR290C","S+Genus-Single"
"P22108","YDR530C","S+Genus-Single"
"P22133","YOL126C","S+Genus-Single"
"P22134","YER142C","S+Genus-Single"
"P22135","YJL180C","S+Genus-Single"
"P22137","YGL206C","S+Genus-Single"
"P22138","YPR010C","S+Genus-Single"
"P22139","YOR210W","S+Genus-Single"
"P22140","YHR123W","S+Genus-Single"
"P22141","YER012W","S+Genus-Single"
"P22146","YMR307W","S+Genus-Single"
"P22147","YGL173C","S+Genus-Single"
"P22148","YOL116W","S+Genus-Single"
"P22149","YGL071W","S+Genus-Single"
"P22203","YOR332W","S+Genus-Single"
"P22209","YAR018C","S+Genus-Single"
"P22211","YNL183C","S+Genus-Single"
"P22213","YDR189W","S+Genus-Single"
"P22215","YOR307C","S+Genus-Single"
"P22216","YPL153C","S+Genus-Single"
"P22217","YLR043C","S+Genus-Single"
"P22219","YBR097W","S+Genus-Single"
"P22224","YGL233W","S+Genus-Single"
"P22276","YOR207C","S+Genus-Single"
"P22289","YGR183C","S+Genus-Single"
"P22336","YAR007C","S+Genus-Single"
"P22353","YJL063C","S+Genus-Single"
"P22434","YGL248W","S+Genus-Single"
"P22438","YGR171C","S+Genus-Single"
"P22470","YDR143C","S+Genus-Single"
"P22515","YKL210W","S+Genus-Single"
"P22516","YPL008W","S+Genus-Single"
"P22517","YOL016C","S+Genus-Single"
"P22543","YLR240W","S+Genus-Single"
"P22579","YOL004W","S+Genus-Single"
"P22580","YDR242W","S+Genus-Single"
"P22696","YJR017C","S+Genus-Single"
"P22768","YOL058W","S+Genus-Single"
"P22803","YGR209C","S+Genus-Single"
"P22804","YIL004C","S+Genus-Single"
"P22855","YGL156W","S+Genus-Single"
"P22943","YFL014W","S+Genus-Single"
"P23059","YCR020C-A","S+Genus-Single"
"P23060","YCR019W","S+Genus-Single"
"P23201","YLL021W","S+Genus-Single"
"P23202","YNL229C","S+Genus-Single"
"P23250","YIL119C","S+Genus-Single"
"P23255","YCR042C","S+Genus-Single"
"P23293","YPR161C","S+Genus-Single"
"P23394","YDR243C","S+Genus-Single"
"P23493","YKL093W","S+Genus-Single"
"P23500","YKR052C","S+Genus-Single"
"P23501","YKR053C","S+Genus-Single"
"P23503","YNL240C","S+Genus-Single"
"P23542","YLR027C","S+Genus-Single"
"P23561","YLR362W","S+Genus-Single"
"P23615","YGR116W","S+Genus-Single"
"P23624","YHR014W","S+Genus-Single"
"P23638","YGR135W","S+Genus-Single"
"P23639","YML092C","S+Genus-Single"
"P23641","YJR077C","S+Genus-Single"
"P23642","YML115C","S+Genus-Single"
"P23643","YDR495C","S+Genus-Single"
"P23644","YMR203W","S+Genus-Single"
"P23724","YBL041W","S+Genus-Single"
"P23748","YMR036C","S+Genus-Single"
"P23796","YMR283C","S+Genus-Single"
"P23797","YMR281W","S+Genus-Single"
"P23833","YBR037C","S+Genus-Single"
"P23900","YLL043W","S+Genus-Single"
"P23968","YHR026W","S+Genus-Single"
"P24004","YKL197C","S+Genus-Single"
"P24276","YDR293C","S+Genus-Single"
"P24279","YEL032W","S+Genus-Single"
"P24280","YMR079W","S+Genus-Single"
"P24309","YKL149C","S+Genus-Single"
"P24384","YER013W","S+Genus-Single"
"P24482","YPR175W","S+Genus-Single"
"P24521","YMR220W","S+Genus-Single"
"P24583","YBL105C","S+Genus-Single"
"P24719","YOR351C","S+Genus-Single"
"P24720","YOR350C","S+Genus-Single"
"P24783","YNL112W","S+Genus-Single"
"P24814","YJR090C","S+Genus-Single"
"P24867","YNL289W","S+Genus-Single"
"P24868","YGR108W","S+Genus-Single"
"P24869","YPR119W","S+Genus-Single"
"P24870","YDL155W","S+Genus-Single"
"P24871","YLR210W","S+Genus-Single"
"P25036","YOR003W","S+Genus-Single"
"P25037","YDL122W","S+Genus-Single"
"P25038","YOL023W","S+Genus-Single"
"P25039","YLR069C","S+Genus-Single"
"P25040","YOL022C","S+Genus-Single"
"P25042","YPR065W","S+Genus-Single"
"P25043","YOR157C","S+Genus-Single"
"P25044","YDL230W","S+Genus-Single"
"P25045","YMR296C","S+Genus-Single"
"P25046","YBL093C","S+Genus-Single"
"P25087","YML008C","S+Genus-Single"
"P25270","YOR201C","S+Genus-Single"
"P25293","YKR048C","S+Genus-Single"
"P25294","YNL007C","S+Genus-Single"
"P25296","YKL190W","S+Genus-Single"
"P25298","YMR061W","S+Genus-Single"
"P25299","YGL044C","S+Genus-Single"
"P25301","YDR004W","S+Genus-Single"
"P25302","YER111C","S+Genus-Single"
"P25332","YCR036W","S+Genus-Single"
"P25333","YCR008W","S+Genus-Single"
"P25335","YIR029W","S+Genus-Single"
"P25336","YCR092C","S+Genus-Single"
"P25337","YCR063W","S+Genus-Single"
"P25338","YGL010W","S+Genus-Single"
"P25339","YGL014W","S+Genus-Single"
"P25340","YGL012W","S+Genus-Single"
"P25341","YCR091W","S+Genus-Single"
"P25342","YCR002C","S+Genus-Single"
"P25343","YCR009C","S+Genus-Single"
"P25344","YCL032W","S+Genus-Single"
"P25345","YCR024C","S+Genus-Single"
"P25346","YCR098C","S+Genus-Single"
"P25348","YCR003W","S+Genus-Single"
"P25349","YCR004C","S+Genus-Single"
"P25351","YCR023C","S+Genus-Single"
"P25353","YCR026C","S+Genus-Single"
"P25355","YCR054C","S+Genus-Single"
"P25356","YCR032W","S+Genus-Single"
"P25357","YCR033W","S+Genus-Single"
"P25358","YCR034W","S+Genus-Single"
"P25359","YCR035C","S+Genus-Single"
"P25362","YCR020C","S+Genus-Single"
"P25364","YCR065W","S+Genus-Single"
"P25365","YCR067C","S+Genus-Single"
"P25366","YCR095C","S+Genus-Single"
"P25367","YCL028W","S+Genus-Single"
"P25368","YCL031C","S+Genus-Single"
"P25369","YCL034W","S+Genus-Single"
"P25370","YCL036W","S+Genus-Single"
"P25371","YCR011C","S+Genus-Single"
"P25373","YCL035C","S+Genus-Single"
"P25374","YCL017C","S+Genus-Single"
"P25375","YCL057W","S+Genus-Single"
"P25377","YCR105W","S+Genus-Single"
"P25378","YCR027C","S+Genus-Single"
"P25379","YCL064C","S+Genus-Single"
"P25380","YCL048W","S+Genus-Single"
"P25381","YCR045C","S+Genus-Single"
"P25382","YCR072C","S+Genus-Single"
"P25385","YLR078C","S+Genus-Single"
"P25386","YDL058W","S+Genus-Single"
"P25389","YCL024W","S+Genus-Single"
"P25443","YGL123W","S+Genus-Single"
"P25451","YER094C","S+Genus-Single"
"P25453","YER179W","S+Genus-Single"
"P25454","YER095W","S+Genus-Single"
"P25491","YNL064C","S+Genus-Single"
"P25502","YKL015W","S+Genus-Single"
"P25515","YEL027W","S+Genus-Single"
"P25558","YCL014W","S+Genus-Single"
