protein,Gene
P32943,YGR109C
P38745,YHL017W
Q04739,YER027C
Q07651,YDL222C
Q06336,YDR358W
P53236,YGR056W
P53046,YGR070W
P38735,YHL035C
P47013,YJL134W
P40478,YIL114C
P01097,YDL181W
P35723,YKL065C
P12685,YJL129C
Q07800,YLL010C
P40038,YER059W
P50896,YDR505C
P38176,YBL089W
P39993,YEL022W
P38825,YHR117W
Q12086,YDR263C
Q04925,YDR222W
Q03758,YML111W
P40504,YIL085C
P40485,YIL105C
Q00772,YHR030C
P25390,YCR073C
Q12451,YDL019C
P38298,YBR183W
P39936,YGL049C
P48562,YNL298W
P38248,YBR078W
P09232,YEL060C
P47032,YJL079C
Q07804,YLL012W
P48231,YNL087W
Q01589,YDR077W
P38312,YBR210W
Q06147,YLR260W
P22140,YHR123W
Q04006,YDR185C
P49723,YGR180C
P38427,YML100W
P38234,YBR052C
P25358,YCR034W
P38163,YBL106C
P40581,YIR037W
P46999,YJL160C
P35176,YDR304C
P32874,YMR207C
P25341,YCR091W
P13185,YDR122W
P20107,YMR243C
P25656,YCR094W
Q9P305,YHR132W-A
P48561,YNL299W
P38295,YBR177C
P27466,YFR014C
P31374,YAL017W
P53154,YGL084C
P10870,YDL194W
P47164,YJR130C
P53279,YGR131W
P39953,YEL006W
P36973,YDR441C
Q07500,YDL085W
P13090,YML116W
P36019,YNL093W
P01120,YNL098C
P53285,YGR141W
P38072,YBR024W
Q05029,YMR237W
Q05506,YDR341C
P24868,YGR108W
Q3E772,YGR169C-A
P53929,YNL108C
P38279,YBR147W
Q08905,YOR381W
P33329,YDR436W
Q05584,YDR272W
P20437,YMR199W
Q05359,YAR002C-A
P43585,YFL004W
P35198,YDR277C
P16550,YCL050C
Q12069,YDL036C
P32490,YOR231W
P14742,YKL104C
P50942,YNL106C
P38088,YBR121C
P38823,YHR115C
P12684,YLR450W
P38314,YBR214W
Q06205,YLR449W
P06700,YDL042C
P47912,YMR246W
P53932,YNL095C
P39105,YMR008C
P52892,YDR111C
Q99297,YOR222W
P26725,YJL139C
P34221,YBL056W
Q12489,YDL012C
P53334,YGR279C
P50873,YDL079C
P40482,YIL109C
P33324,YKL091C
P38331,YBR242W
P00424,YNL052W
P32435,YGL089C
P43603,YFR024C-A
P32264,YDR300C
P32614,YEL047C
P25376,YCL025C
Q12518,YDL161W
P23291,YHR135C
P46955,YJL116C
Q08985,YPL273W
P38971,YNL270C
P53281,YGR136W
P53121,YGL139W
P23287,YLR433C
P31382,YAL023C
P23776,YLR300W
Q12008,YDL021W
P25373,YCL035C
P35169,YJR066W
Q03835,YDR098C
P12688,YKL126W
P38287,YBR161W
P35183,YBL069W
P47031,YJL082W
P25360,YCR037C
Q12458,YDR368W
P38087,YBR104W
Q06151,YLR270W
P40043,YER067W
P35843,YOR237W
P38079,YBR054W
P40472,YIL123W
Q12450,YOR016C
P40414,YIL138C
P16965,YGR008C
P38703,YHL003C
P53224,YGR038W
P06634,YOR204W
P53228,YGR043C
Q12675,YDR093W
P33336,YGR143W
P33315,YBR117C
P17709,YCL040W
P06244,YJL164C
P10566,YJL133W
P53311,YGR243W
P39003,YDR343C
Q12372,YLL061W
P37898,YHR047C
P00549,YAL038W
P38695,YHR096C
P38084,YBR068C
P38755,YHR001W
P37262,YCR073W-A
P13298,YML106W
Q00055,YDL022W
Q04562,YDR107C
P40037,YER057C
P47176,YJR148W
P31109,YAL030W
P53204,YGR010W
P41939,YLR174W
P04385,YBR020W
P36006,YKL129C
P40260,YGR121C
P33302,YOR153W
Q12056,YOR226C
P32590,YBR169C
P22204,YGR092W
P39926,YMR183C
P25613,YCR010C
P38113,YBR145W
P35172,YBR001C
P0CE11,YER039C
P22803,YGR209C
P32478,YJL159W
P30605,YDR497C
P08679,YCR005C
P33401,YKL127W
P28274,YBL039C
P04806,YFR053C
P38555,YER031C
P23337,YFR015C
P39987,YEL030W
P21524,YER070W
P06208,YNL104C
P54113,YLR028C
P16521,YLR249W
P39004,YDR342C
P29509,YDR353W
P47052,YJL045W
P00045,YEL039C
P56628,YFL034C-A
P39708,YAL062W
Q04120,YDR453C
P49090,YGR124W
P11633,YBR089C-A
P50094,YML056C
P40989,YGR032W
P09435,YBL075C
P38063,YBL068W
P48164,YNL096C
P53283,YGR138C
P18239,YBL030C
P53319,YGR256W
P48570,YDL182W
P40054,YER081W
P23595,YDL188C
P09734,YML124C
P26784,YIL133C
P19358,YDR502C
P32327,YBR218C
P51402,YDR500C
P40106,YER062C
P23301,YEL034W
P15731,YBR082C
P34730,YDR099W
P32903,YCR024C-A
P41058,YDL061C
P32905,YGR214W
Q12153,YDR312W
P05739,YLR448W
P53221,YGR034W
P00924,YGR254W
P0C0X0,YLR264W
P00359,YGR192C
P19146,YDL137W
P04449,YGL031C
P33442,YLR441C
P05745,YMR194W
P05755,YBR189W
P46784,YMR230W
P17076,YHL033C
P32835,YLR293C
P0CX23,YMR242C
P0C2H8,YDL075W
P38711,YHR021C
P15108,YMR186W
Q3E754,YJL136C
P0C2H7,YDR471W
Q3E792,YGR027C
P05737,YGL076C
P39939,YER131W
P87262,YER056C-A
Q02753,YBR191W
Q12690,YDL082W
P14127,YDR447C
P06367,YCR031C
P36172,YKR105C
Q3E757,YGR085C
P0CX26,YJR094W-A
P46990,YJL177W
P41056,YOR234C
P43544,YFL060C
P05748,YLR029C
P11484,YDL229W
P38754,YHL001W
P07281,YNL302C
P25596,YCL073C
P43545,YFL059W
P10664,YBR031W
#N/A,YDR385W
P0CX38,YBR181C
P0CX41,YBL087C
#N/A,YBR118W
P0CX39,YBL072C
P0CX33,YLR287C-A
P0CX29,YGR118W
#N/A,YDR134C
P0CX36,YHR203C
P0CX52,YDL083C
P0CX83,YBL027W
P0CX44,YGL135W
P0CX28,YHR141C
P0CH08,YIL148W
#N/A,YJL138C
P0CX50,YNL301C
P0CX31,YER074W
P0CX48,YBR048W
P0CX55,YDR450W
P0CX84,YDL191W
P0CX54,YDR418W
P0CX86,YDL184C
P0CX45,YFR031C-A
Q08182,YOL028C
Q04964,YML058W
P38280,YBR148W
P32323,YNR044W
Q06208,YLR453C
P47152,YJR115W
Q12416,YOR083W
P39991,YEL025C
Q08580,YOR193W
P38338,YBR259W
P36143,YKR058W
P40095,YER158C
P32047,YNL074C
Q07653,YDL223C
Q08412,YOR042W
Q92331,YOR069W
P38855,YHR160C
P32488,YMR081C
Q03063,YPL049C
Q12282,YOR214C
P53865,YNL225C
Q12340,YOR172W
P53075,YGL228W
P47175,YJR147W
Q08471,YOR066W
P38781,YHR056C
P53080,YGL222C
P40535,YIL036W
P87275,YER093C-A
Q12045,YPL253C
Q12254,YPL163C
Q03702,YKL011C
Q04279,YMR086W
P47101,YJR030C
P53947,YNL058C
Q08491,YOR076C
P38232,YBR050C
Q08234,YOL075C
P40572,YIR016W
Q12182,YOR342C
P53882,YNL176C
Q02208,YKR010C
P35189,YPL129W
O13297,YPL228W
Q06139,YLR346C
P53035,YGL209W
Q99332,YOR324C
Q06616,YPR174C
Q08157,YOL019W
P53885,YNL173C
Q3E830,YCR075W-A
Q06469,YPR158W
P17123,YHR152W
Q12034,YDR515W
P47049,YJL048C
Q12224,YPL089C
Q04329,YMR195W
P40917,YOR028C
P39520,YLR223C
Q08172,YOL024W
Q05050,YMR031C
P41698,YLR353W
P40059,YER088C
P17214,YLR233C
P36115,YKR019C
Q08219,YOL048C
P53983,YNL008C
Q06160,YLR313C
Q08119,YOL017W
Q02455,YKR095W
Q05934,YLR373C
P32385,YLL046C
P28006,YOR178C
Q02831,YPL077C
P39106,YER001W
Q99393,YOL101C
P47074,YJL013C
Q04201,YML101C
Q12180,YOL089C
P54784,YML065W
Q08270,YOL131W
Q08964,YPL216W
P40366,YJL065C
Q06485,YLR356W
P33748,YMR037C
P21192,YLR131C
P32900,YHR149C
P53898,YNL156C
P53628,YNR023W
P32572,YNL204C
Q08001,YLR072W
P41817,YPL177C
P38785,YHR061C
P43633,YGL021W
Q04947,YDR233C
P53719,YNR014W
Q12344,YPL249C
P39083,YOR127W
P36124,YKR029C
Q04472,YMR115W
P38867,YHR177W
P50111,YMR273C
P34761,YNL197C
P39523,YMR124W
Q03790,YMR153W
Q03707,YML034W
P53907,YNL144C
Q04429,YDR528W
Q06266,YLR183C
P24813,YDR423C
Q99395,YPL229W
P53836,YNL278W
Q12253,YLR046C
Q02630,YMR047C
Q04867,YMR310C
Q12734,YPR030W
P53728,YNR028W
Q02486,YMR072W
Q12216,YOR156C
P53169,YGL060W
Q08957,YPL202C
P36130,YKR036C
Q12132,YPL230W
P12383,YGL013C
Q08966,YPL219W
Q12286,YPR009W
Q02875,YPL105C
P34161,YML027W
P40084,YER139C
P36033,YKL220C
Q99248,YOR019W
Q08747,YOR295W
P38717,YNL257C
Q03730,YML018C
P20485,YLR133W
P40075,YER120W
Q12753,YPR008W
Q03088,YPL032C
Q08886,YOR371C
P36027,YLR332W
P38704,YHR006W
P39969,YER114C
P39000,YER096W
Q03010,YPL139C
Q12438,YDL010W
P40187,YIL045W
Q04487,YMR118C
Q08969,YPL223C
Q12013,YOR034C
P04821,YLR310C
P40475,YIL120W
P35817,YLR399C
Q02733,YPL017C
P22211,YNL183C
Q02805,YOR018W
Q08553,YOR179C
P32861,YKL035W
P36025,YOR062C
P53438,YMR016C
Q12236,YOL100W
P36004,YKL168C
P52960,YOR363C
P38800,YHR080C
Q12128,YOR134W
P36169,YKR100C
Q08214,YOL043C
P26343,YKR034W
P40522,YIL056W
P35210,YKL020C
P54070,YPL053C
Q03177,YMR102C
Q12215,YOL105C
P40552,YIL011W
Q12211,YPL212C
Q12222,YOL128C
P36117,YKR021W
P11655,YNR026C
Q04408,YDR514C
Q04545,YML081W
Q12259,YLR108C
P47977,YLR136C
P39956,YER169W
Q99326,YOR338W
Q12676,YMR113W
Q04705,YML047C
P43637,YGL179C
Q06108,YPR115W
Q12185,YDR018C
P38760,YHR015W
P39997,YEL016C
P38814,YHR103W
Q03125,YDR043C
P40064,YER105C
P38853,YHR158C
P32474,YDR518W
P36044,YKL201C
P40361,YJL070C
P39944,YER144C
Q96VH2,YCL001W-B
P36123,YKR028W
P38616,YNL160W
Q03081,YPL038W
P08459,YDR522C
Q06001,YLR238W
Q08930,YPL191C
Q06689,YLR413W
Q12457,YDR026C
P36122,YKR027W
Q12476,YDL175C
P38590,YNL053W
P38623,YLR248W
P53094,YGL197W
P53142,YGL104C
Q03559,YMR295C
Q08558,YOR180C
Q03264,YMR285C
P47041,YJL058C
Q03002,YPL141C
P39967,YER098W
Q08919,YPL176C
Q12385,YLR099C
Q06169,YLR324W
Q06608,YPR172W
Q03016,YPL137C
P47090,YJR015W
P36026,YKR098C
Q08844,YOR365C
Q03446,YDR003W
Q12396,YLR080W
P36168,YKR096W
P19158,YOL081W
P53140,YGL107C
Q04516,YML087C
P38922,YNL004W
P46679,YMR053C
P53118,YGL144C
P32329,YLR120C
P38809,YHR097C
P53078,YGL224C
Q12505,YPL026C
P41813,YNL068C
Q99369,YOR280C
Q12221,YPR042C
Q12043,YOR081C
Q05958,YLR228C
P36002,YKL198C
P53036,YGL229C
P38856,YHR161C
P36101,YKL027W
P53629,YNR019W
Q12263,YDR507C
P21373,YJR049C
P53974,YNL020C
Q12317,YOL112W
P25693,YDL127W
Q05937,YLR375W
P38858,YHR163W
Q08438,YOR054C
P24871,YLR210W
Q02642,YPL037C
Q08970,YPL224C
P19524,YOR326W
Q06236,YLR164W
P30283,YPR120C
P32857,YKL039W
P34164,YGL208W
P40169,YNL194C
P38817,YHR108W
Q06488,YLR357W
P51862,YLR371W
P32386,YLL048C
P23501,YKR053C
P04840,YNL055C
P01098,YDL130W-A
Q04210,YMR040W
P28584,YKR050W
Q07949,YLR019W
P40186,YIL050W
Q06251,YLR177W
P40074,YER119C
P47102,YJR031C
P07213,YNL121C
P39875,YOR033C
Q05948,YLR225C
P48524,YMR275C
P53966,YNL029C
P53955,YNL047C
P36005,YKL161C
P53599,YNR031C
P35845,YAR042W
Q02896,YPL087W
P39935,YGR162W
Q12469,YOL113W
Q12355,YDR055W
P25036,YOR003W
P36110,YKR013W
Q07950,YLR020C
Q12466,YOR086C
P40092,YER150W
P53173,YGL054C
Q12246,YOR171C
P17898,YNL130C
P35200,YLR168C
P09938,YJL026W
P38426,YMR261C
Q12335,YDR032C
P39540,YJL196C
Q12038,YPR032W
P36014,YKL026C
Q03178,YKL164C
P23285,YHR057C
Q00955,YNR016C
P53739,YNR047W
P13186,YLR096W
P32798,YOR316C
P53740,YNR048W
P53897,YNL157W
P53632,YOL115W
Q02891,YPL095C
P22517,YOL016C
Q08217,YOL045W
Q08929,YPL189W
Q12300,YDL138W
Q04533,YML082W
Q12207,YPR149W
P40556,YIL006W
P49435,YML022W
P40215,YMR145C
Q03263,YMR279C
P36017,YOR089C
P01119,YOR101W
Q06466,YPR157W
P23833,YBR037C
Q08754,YOR299W
P38714,YHR091C
P24869,YPR119W
Q3E827,YJR005C-A
Q12415,YOR110W
Q12010,YOL092W
P53746,YNR060W
P26570,YML016C
Q12320,YOR040W
P20438,YPL256C
P53198,YGL002W
Q02725,YPL019C
Q02794,YOR047C
P22108,YDR530C
Q12362,YOL066C
P32491,YPL140C
A2P2R3,YMR084W
Q12271,YOR109W
Q06817,YPR081C
P53924,YNL116W
P12683,YML075C
P53172,YGL056C
P38911,YML074C
P53685,YOL068C
P30624,YOR317W
Q99252,YOR092W
Q08108,YOL011W
P52893,YLR089C
Q03028,YPL134C
P33550,YKR061W
P39966,YER089C
P38216,YBR016W
Q04951,YMR305C
P38615,YMR139W
P53953,YNL049C
P24280,YMR079W
P53144,YGL101W
P00425,YIL111W
P01149,YPL187W
P32793,YHR016C
P38690,YHR033W
P21375,YJR051W
P48813,YDR508C
Q05785,YLR206W
P23292,YNL154C
P36135,YKR042W
Q12525,YLL062C
P04817,YEL063C
Q06449,YPR154W
Q08967,YPL221W
P14747,YML057W
P47190,YOR321W
P32603,YOR190W
Q12326,YOL056W
P17695,YDR513W
P32600,YKL203C
P32642,YER174C
P18961,YMR104C
P33300,YPL057C
P39945,YER101C
P36114,YKR018C
P39535,YJL198W
P14065,YOR120W
P32331,YPR058W
Q12123,YOR173W
P40188,YIL057C
P35844,YPL145C
Q12117,YDR033W
P53616,YNL066W
P39704,YAL007C
P17536,YNL079C
Q06177,YLR327C
P28496,YKL008C
Q06144,YLR350W
P24784,YPL119C
P15019,YLR354C
P32660,YER166W
P32486,YPR159W
P23254,YPR074C
Q04409,YDR516C
P05986,YKL166C
P23500,YKR052C
P38857,YHR162W
P32465,YHR094C
Q08986,YPL274W
P32454,YKL157W
P52489,YOR347C
P32466,YDR345C
P41815,YDR046C
Q02201,YKR003W
P50278,YNR034W
P30402,YMR271C
P41911,YOL059W
P32802,YLR083C
P40185,YIL051C
P38891,YHR208W
P33328,YOR327C
Q06178,YLR328W
P53982,YNL009W
P13045,YDR009W
Q04439,YMR109W
P53390,YPR138C
Q04182,YDR406W
Q03020,YPL135W
P32589,YPL106C
P32328,YPR111W
P32867,YPL232W
P32907,YNR002C
P00330,YOL086C
P32356,YDR001C
P40107,YGL225W
P22217,YLR043C
Q03180,YKL163W
P30606,YOL103W
P00890,YNR001C
P37012,YMR105C
P38627,YJR103W
P04807,YGL253W
P51996,YGL210W
P27472,YLR258W
P0CS90,YJR045C
P21672,YIL066C
Q12166,YOR108W
P38009,YMR120C
P53978,YNL014W
P32467,YHR092C
P38816,YHR106W
Q00711,YKL148C
P00044,YJR048W
P05749,YLR061W
P07262,YOR375C
P34760,YML028W
P49089,YPR145W
P11632,YPR052C
P50095,YLR432W
P38631,YLR342W
P22202,YER103W
P38620,YER099C
P26786,YOR096W
Q06451,YPR156C
P18238,YBR085W
P38720,YHR183W
Q12122,YDL131W
P40510,YIL074C
P23594,YDL134C
P09733,YML085C
P26785,YNL069C
P10659,YLR180W
P11154,YGL062W
P49166,YLR185W
P41277,YIL053W
P19211,YJR047C
P15732,YDR059C
P29311,YER177W
P40975,YEL017C-A
P41057,YLR388W
P46654,YLR048W
P38789,YHR066W
Q02326,YML073C
P05743,YLR344W
P00925,YHR174W
Q3E7X9,YOR167C
P00358,YJR009C
P11076,YDL192W
P24000,YGR148C
P23248,YML063W
O14455,YPL249C-A
O13516,YPL081W
Q08745,YOR293W
P29453,YLL045C
P32836,YOR185C
P0CX24,YOR312C
P0C2H9,YLR406C
P35997,YKL156W
P02829,YPL240C
P0C0V8,YKR057W
P0C2H6,YHR010W
P0C0T4,YLR333C
Q12213,YPL198W
P39938,YGL189C
P40525,YIL052C
Q12672,YPL079W
P40212,YMR142C
P02407,YML024W
P39516,YJL191W
P25594,YCL069W
P0C0W9,YPR102C
P0CX25,YPR043W
P05740,YKL180W
P05744,YPL143W
P53823,YNL334C
P54780,YMR121C
P40150,YNL209W
P36105,YKL006W
P07280,YOL121C
P36173,YKR106W
P53824,YNL333W
P49626,YDR012W
#N/A,YOR133W
P0CX37,YPL090C
P0CX42,YER117W
#N/A,YPR080W
P0CX40,YER102W
P0CX34,YOR182C
P0CX30,YPR132W
Q12127,YLR110C
P0CX35,YJR145C
P0CX51,YMR143W
P0CX82,YBR084C-A
P0CX43,YPL220W
P0CX27,YNL162W
P0CH09,YKR094C
#N/A,YKR059W
P0CX49,YOL120C
P0CX32,YIL069C
P0CX47,YDR025W
P0CX56,YML026C
P0CX85,YDL136W
P0CX53,YEL054C
P0CX87,YDL133C-A
P0CX46,YIL018W
