"protein","Gene","Group"
"P36126","YKR031C","GroupI"
"P32558","YGL207W","GroupI"
"Q06010","YLR389C","GroupI"
"P06783","YKL178C","GroupI"
"P25604","YCL008C","GroupI"
"P54000","YMR039C","GroupI"
"P38198","YBL034C","GroupI"
"P46675","YLR045C","GroupI"
"P23255","YCR042C","GroupI"
"P35177","YBR081C","GroupI"
"P38688","YPL210C","GroupI"
"P40468","YIL129C","GroupI"
"P39015","YLR150W","GroupI"
"P39932","YDR536W","GroupI"
"Q03868","YDR104C","GroupI"
"P40031","YER046W","GroupI"
"P25648","YCR081W","GroupI"
"P53866","YNL224C","GroupI"
"P50875","YOL148C","GroupI"
"Q07084","YLR006C","GroupI"
"P53072","YGL232W","GroupI"
"P47154","YJR117W","GroupI"
"P15705","YOR027W","GroupI"
"P32597","YIL126W","GroupI"
"P38637","YIR011C","GroupI"
"P39007","YGL022W","GroupI"
"P38863","YHR172W","GroupI"
"P23179","YHL022C","GroupI"
"P11747","YML098W","GroupI"
"P20424","YPR088C","GroupI"
"P38788","YHR064C","GroupI"
"P25344","YCL032W","GroupI"
"P32583","YKR092C","GroupI"
"P36077","YKL086W","GroupI"
"P53101","YGL184C","GroupI"
"P32579","YGL169W","GroupI"
"P32580","YPL029W","GroupI"
"P13188","YOR168W","GroupI"
"P47037","YJL074C","GroupI"
"P32908","YFL008W","GroupI"
"Q12368","YDL098C","GroupI"
"Q08817","YOR353C","GroupI"
"P40317","YDR006C","GroupI"
"P00447","YHR008C","GroupI"
"P04801","YIL078W","GroupI"
"P27692","YML010W","GroupI"
"P53538","YNL222W","GroupI"
"P41930","YPL092W","GroupI"
"P39706","YAR003W","GroupI"
"P36150","YKR069W","GroupI"
"P37297","YLR305C","GroupI"
"P04802","YLL018C","GroupI"
"Q03497","YHL007C","GroupI"
"P32584","YDR410C","GroupI"
"P38699","YHR178W","GroupI"
"P12866","YKL209C","GroupI"
"Q6WNK7","YBR111W-A","GroupI"
"P53852","YNL247W","GroupI"
"P08525","YJL166W","GroupI"
"P38953","YDR076W","GroupI"
"P06777","YPL022W","GroupI"
"P32628","YEL037C","GroupI"
"P32641","YER173W","GroupI"
"P47104","YJR033C","GroupI"
"Q12465","YLR084C","GroupI"
"P22289","YGR183C","GroupI"
"P40352","YJR035W","GroupI"
"P07276","YGR258C","GroupI"
"P53037","YGR170W","GroupI"
"P04161","YDR408C","GroupI"
"P03962","YEL021W","GroupI"
"P07257","YPR191W","GroupI"
"P00127","YFR033C","GroupI"
"P38227","YBR043C","GroupI"
"P38230","YBR046C","GroupI"
"P43122","YDL104C","GroupI"
"P30620","YMR137C","GroupI"
"P25044","YDL230W","GroupI"
"Q04373","YDR496C","GroupI"
"P40359","YJL072C","GroupI"
"P27616","YAR015W","GroupI"
"Q12488","YDR013W","GroupI"
"P40555","YIL007C","GroupI"
"P22141","YER012W","GroupI"
"Q12161","YOL054W","GroupI"
"Q06132","YLR336C","GroupI"
"P33338","YNL243W","GroupI"
"P34252","YKL108W","GroupI"
"Q06836","YPR095C","GroupI"
"P53148","YGL093W","GroupI"
"O94742","YDR363W-A","GroupI"
"P16658","YLR105C","GroupI"
"P33330","YOR184W","GroupI"
"P25554","YCL010C","GroupI"
"P40210","YMR140W","GroupI"
"P53327","YGR271W","GroupI"
"Q06411","YLR424W","GroupI"
"P25808","YFL002C","GroupI"
"P25582","YCL054W","GroupI"
"Q12074","YPR069C","GroupI"
"P39707","YAR008W","GroupI"
"Q03656","YMR216C","GroupI"
"P07284","YDR023W","GroupI"
"P39929","YLR025W","GroupI"
"Q07534","YDL119C","GroupI"
"P32915","YLR378C","GroupI"
"P35179","YDR086C","GroupI"
"Q03323","YDR469W","GroupI"
"P11075","YDR170C","GroupI"
"P32855","YPR055W","GroupI"
"P89102","YDR166C","GroupI"
"P48526","YPL040C","GroupI"
"Q08446","YOR057W","GroupI"
"Q12118","YOR007C","GroupI"
"P53965","YNL032W","GroupI"
"Q03406","YDR489W","GroupI"
"Q08204","YOL034W","GroupI"
"Q06217","YLR275W","GroupI"
"Q12483","YPL002C","GroupI"
"Q02774","YDL212W","GroupI"
"Q02775","YDR088C","GroupI"
"Q12267","YLR086W","GroupI"
"Q12749","YLR383W","GroupI"
"P25357","YCR033W","GroupI"
"P22579","YOL004W","GroupI"
"P22213","YDR189W","GroupI"
"P22215","YOR307C","GroupI"
"P43321","YLR147C","GroupI"
"P32566","YGR229C","GroupI"
"Q02608","YPL013C","GroupI"
"P40962","YOR077W","GroupI"
"P53064","YGL244W","GroupI"
"Q12330","YOR159C","GroupI"
"P38352","YBR280C","GroupI"
"P15625","YFL022C","GroupI"
"P17065","YNL272C","GroupI"
"P14906","YOR254C","GroupI"
"P29478","YML105C","GroupI"
"P38166","YBL102W","GroupI"
"P53165","YGL066W","GroupI"
"P36136","YKR043C","GroupI"
"P52286","YDR328C","GroupI"
"P35735","YKL051W","GroupI"
"Q05567","YDR294C","GroupI"
"P40073","YER118C","GroupI"
"P35207","YLR398C","GroupI"
"P38283","YBR156C","GroupI"
"P38241","YBR065C","GroupI"
"P38324","YBR228W","GroupI"
"Q02260","YGR074W","GroupI"
"P45978","YPR129W","GroupI"
"P53313","YGR245C","GroupI"
"Q04401","YDR511W","GroupI"
"P15367","YIR022W","GroupI"
"P15303","YPR181C","GroupI"
"P33754","YBR171W","GroupI"
"P40541","YIL026C","GroupI"
"Q12334","YDL139C","GroupI"
"P08425","YPR047W","GroupI"
"Q3E785","YDR379C-A","GroupI"
"P49955","YMR288W","GroupI"
"P35187","YMR190C","GroupI"
"P39954","YER043C","GroupI"
"Q12158","YDL003W","GroupI"
"P25303","YMR214W","GroupI"
"P40528","YIL047C","GroupI"
"P53009","YGL083W","GroupI"
"P30619","YDR164C","GroupI"
"P22214","YLR268W","GroupI"
"P48415","YPL085W","GroupI"
"P32602","YBL050W","GroupI"
"P18759","YBR080C","GroupI"
"P38968","YDL195W","GroupI"
"P40357","YGR009C","GroupI"
"Q02825","YPL083C","GroupI"
"Q00416","YLR430W","GroupI"
"P39709","YAL067C","GroupI"
"P46995","YJL168C","GroupI"
"P38890","YHR207C","GroupI"
"P32432","YLR403W","GroupI"
"Q12314","YOR021C","GroupI"
"P43682","YKL006C-A","GroupI"
"P38345","YBR269C","GroupI"
"Q07953","YLR022C","GroupI"
"Q04491","YLR208W","GroupI"
"P22224","YGL233W","GroupI"
"P53011","YGL100W","GroupI"
"Q12136","YDL153C","GroupI"
"P40963","YMR127C","GroupI"
"P28707","YKL117W","GroupI"
"P11792","YHR205W","GroupI"
"P38164","YBL104C","GroupI"
"P38804","YHR087W","GroupI"
"Q12745","YLR440C","GroupI"
"Q12464","YPL235W","GroupI"
"P40204","YFL017W-A","GroupI"
"P53969","YNL026W","GroupI"
"P06105","YJL080C","GroupI"
"Q03940","YDR190C","GroupI"
"P53324","YGR263C","GroupI"
"P36056","YKL155C","GroupI"
"P32368","YKL212W","GroupI"
"Q08230","YOL071W","GroupI"
"P21801","YLL041C","GroupI"
"Q06245","YLR166C","GroupI"
"P21825","YPL094C","GroupI"
"P07263","YPR033C","GroupI"
"P38810","YHR098C","GroupI"
"Q12529","YPL165C","GroupI"
"P40505","YIL084C","GroupI"
"P33332","YER008C","GroupI"
"P20048","YMR013C","GroupI"
"Q01590","YLR026C","GroupI"
"P33303","YJR095W","GroupI"
"P40363","YJL068C","GroupI"
"Q06168","YLR321C","GroupI"
"Q99287","YOR165W","GroupI"
"P47057","YJL036W","GroupI"
"Q12133","YLR066W","GroupI"
"Q02521","YOR148C","GroupI"
"P32573","YNL202W","GroupI"
"P06844","YDR392W","GroupI"
"P23615","YGR116W","GroupI"
"P36057","YKL154W","GroupI"
"P39073","YPL042C","GroupI"
"P11972","YLR452C","GroupI"
"P23561","YLR362W","GroupI"
"Q12427","YDR169C","GroupI"
"P13574","YHR084W","GroupI"
"D6VTK4","YFL026W","GroupI"
"P32790","YBL007C","GroupI"
"P18480","YBR289W","GroupI"
"P06782","YDR477W","GroupI"
"P00445","YJR104C","GroupI"
"P35208","YJL127C","GroupI"
"P46677","YGR274C","GroupI"
"Q12516","YDL133W","GroupI"
"P18410","YAL009W","GroupI"
"Q03012","YPL138C","GroupI"
"P25638","YCR060W","GroupI"
"P32916","YDR292C","GroupI"
"Q04673","YLR005W","GroupI"
"P47821","YNL025C","GroupI"
"P46965","YJR010C-A","GroupI"
"P32914","YGR063C","GroupI"
"P12954","YJL092W","GroupI"
"P39931","YLR250W","GroupI"
"P24276","YDR293C","GroupI"
"P39928","YIL147C","GroupI"
"P53540","YNL126W","GroupI"
"P38915","YLR055C","GroupI"
"P10663","YPR166C","GroupI"
"P47150","YJR113C","GroupI"
"P53732","YNR036C","GroupI"
"Q03201","YDR041W","GroupI"
"P53305","YGR215W","GroupI"
"Q01163","YGL129C","GroupI"
"P32608","YGL252C","GroupI"
"P20134","YOR140W","GroupI"
"P47166","YJR134C","GroupI"
"P40561","YIR001C","GroupI"
"Q08199","YOL031C","GroupI"
"P25294","YNL007C","GroupI"
"P17883","YPR189W","GroupI"
"Q12232","YOR154W","GroupI"
"P39940","YER125W","GroupI"
"P40825","YOR335C","GroupI"
"P32902","YHL004W","GroupI"
"P38120","YBR146W","GroupI"
"Q03246","YMR188C","GroupI"
"P53733","YNR037C","GroupI"
"Q03919","YDR139C","GroupI"
"Q12751","YMR185W","GroupI"
"Q07458","YDL076C","GroupI"
"P42941","YGR208W","GroupI"
"Q04675","YMR059W","GroupI"
"Q04172","YDR393W","GroupI"
"P40486","YIL104C","GroupI"
"P38262","YBR103W","GroupI"
"P00958","YGR264C","GroupI"
"P25623","YCR030C","GroupI"
"P25345","YCR024C","GroupI"
"P53065","YGL243W","GroupI"
"Q03750","YML114C","GroupI"
"P53040","YGL112C","GroupI"
"Q06510","YPR140W","GroupI"
"P35691","YKL056C","GroupI"
"Q12297","YPL011C","GroupI"
"P53230","YGR046W","GroupI"
"P53904","YNL148C","GroupI"
"Q02457","YPL128C","GroupI"
"P38129","YBR198C","GroupI"
"Q03761","YDR145W","GroupI"
"P13393","YER148W","GroupI"
"P47079","YJL008C","GroupI"
"P41895","YGR186W","GroupI"
"P02557","YFL037W","GroupI"
"P47058","YJL035C","GroupI"
"P32774","YKL058W","GroupI"
"Q04226","YML015C","GroupI"
"P40085","YER140W","GroupI"
"Q12104","YOR166C","GroupI"
"P36145","YKR062W","GroupI"
"P41896","YGR005C","GroupI"
"Q05027","YMR236W","GroupI"
"Q12030","YDR167W","GroupI"
"P32048","YNL073W","GroupI"
"P38707","YHR019C","GroupI"
"P07806","YGR094W","GroupI"
"Q12109","YOL097C","GroupI"
"P36421","YGR185C","GroupI"
"P48527","YPL097W","GroupI"
"P36100","YKL028W","GroupI"
"Q06163","YLR318W","GroupI"
"P29056","YGR246C","GroupI"
"Q05021","YMR227C","GroupI"
"Q04372","YMR028W","GroupI"
"P48606","YOR265W","GroupI"
"P42943","YJL111W","GroupI"
"P39079","YDR188W","GroupI"
"Q99190","YDL015C","GroupI"
"P22438","YGR171C","GroupI"
"P39965","YER087W","GroupI"
"P11325","YLR382C","GroupI"
"Q9URQ3","YLR316C","GroupI"
"P36104","YKL018W","GroupI"
"Q05515","YDR346C","GroupI"
"P41544","YJL004C","GroupI"
"P32944","YJL187C","GroupI"
"P53873","YNL187W","GroupI"
"P53277","YGR129W","GroupI"
"P15180","YDR037W","GroupI"
"P38827","YHR119W","GroupI"
"P47008","YJL145W","GroupI"
"P53266","YGR112W","GroupI"
"Q06677","YDR320C","GroupI"
"P38992","YDR297W","GroupI"
"Q05471","YDR334W","GroupI"
"P53937","YNL081C","GroupI"
"P26637","YPL160W","GroupI"
"P04803","YDR268W","GroupI"
"P07236","YKL194C","GroupI"
"Q07395","YDL063C","GroupI"
"P46655","YGL245W","GroupI"
"Q04048","YDR416W","GroupI"
"Q03290","YDR460W","GroupI"
"Q07914","YLR008C","GroupI"
"P42949","YJL104W","GroupI"
"Q01852","YIL022W","GroupI"
"Q3E7C1","YDR079C-A","GroupI"
"Q06339","YDR362C","GroupI"
"Q12052","YPL157W","GroupI"
"P07273","YGL043W","GroupI"
"P53916","YNL128W","GroupI"
"P54857","YDR058C","GroupI"
"P53552","YNL139C","GroupI"
"P12612","YDR212W","GroupI"
"P39076","YIL142W","GroupI"
"P53038","YGR099W","GroupI"
"P40533","YIL039W","GroupI"
"P29055","YPR086W","GroupI"
"Q12004","YPR056W","GroupI"
"P33339","YGR047C","GroupI"
"P00927","YER086W","GroupI"
"P18412","YBR083W","GroupI"
"P32776","YDR311W","GroupI"
"P32318","YGR144W","GroupI"
"Q07904","YLR004C","GroupI"
"P32367","YBR123C","GroupI"
"Q02939","YPL122C","GroupI"
"P39078","YDL143W","GroupI"
"P38758","YHR009C","GroupI"
"P46678","YNL039W","GroupI"
"P42938","YGR205W","GroupI"
"P34163","YKL140W","GroupI"
"P41835","YPL214C","GroupI"
"P53201","YGR002C","GroupI"
"P48525","YOL033W","GroupI"
"P34111","YAL001C","GroupI"
"P47153","YJR116W","GroupI"
"Q02647","YDR424C","GroupI"
"P69850","YBR233W-A","GroupI"
"Q12389","YDL031W","GroupI"
"P24783","YNL112W","GroupI"
"Q04792","YMR250W","GroupI"
"P32460","YIR030C","GroupI"
"P35732","YKL054C","GroupI"
"P38307","YBR201W","GroupI"
"P54838","YML070W","GroupI"
"P18962","YHR028C","GroupI"
"P33750","YLL011W","GroupI"
"P25559","YCL016C","GroupI"
"P40087","YER143W","GroupI"
"P47089","YJR014W","GroupI"
"P36022","YKR054C","GroupI"
"P15365","YJR152W","GroupI"
"Q12091","YPL170W","GroupI"
"P21182","YOL052C","GroupI"
"P32324","YOR133W, YDR385W","GroupI"
"Q12395","YLR128W","GroupI"
"Q05924","YLR361C","GroupI"
"P69851","YDR320C-A","GroupI"
"P25039","YLR069C","GroupI"
"P32347","YDR047W","GroupI"
"Q12248","YDR016C","GroupI"
"P43550","YFL053W","GroupI"
"P20448","YJL033W","GroupI"
"P53550","YNL118C","GroupI"
"Q00873","YKL087C","GroupI"
"P53206","YGR012W","GroupI"
"P53267","YGR113W","GroupI"
"P32325","YDR052C","GroupI"
"Q06218","YLR276C","GroupI"
"P32898","YDR430C","GroupI"
"P36120","YKR024C","GroupI"
"P20449","YOR046C","GroupI"
"P53734","YNR038W","GroupI"
"P20447","YGL078C","GroupI"
"P24309","YKL149C","GroupI"
"P38865","YHR175W","GroupI"
"Q06686","YLR411W","GroupI"
"P14922","YBR112C","GroupI"
"Q01454","YPR135W","GroupI"
"Q06053","YLR401C","GroupI"
"P53088","YGL211W","GroupI"
"P38116","YBR164C","GroupI"
"P38929","YGL006W","GroupI"
"Q12674","YMR162C","GroupI"
"P43601","YFR021W","GroupI"
"Q00684","YFR028C","GroupI"
"P00830","YJR121W","GroupI"
"Q12165","YDL004W","GroupI"
"P38995","YDR270W","GroupI"
"P08566","YDR127W","GroupI"
"Q05791","YLR215C","GroupI"
"Q12233","YPR020W","GroupI"
"Q12186","YLR116W","GroupI"
"Q06338","YDR361C","GroupI"
"P32839","YDR375C","GroupI"
"P47082","YJR001W","GroupI"
"P36062","YKL146W","GroupI"
"Q08236","YOL078W","GroupI"
"Q04749","YMR068W","GroupI"
"Q12226","YLL063C","GroupI"
"P47068","YJL020C","GroupI"
"Q02948","YPL120W","GroupI"
"P25342","YCR002C","GroupI"
"P07251","YBL099W","GroupI"
"P41696","YOR113W","GroupI"
"Q03630","YML077W","GroupI"
"P38934","YOR198C","GroupI"
"P30902","YKL016C","GroupI"
"Q12500","YLR114C","GroupI"
"Q12067","YOR079C","GroupI"
"P39981","YEL064C","GroupI"
"P38772","YHR040W","GroupI"
"Q08347","YOL164W","GroupI"
"P47113","YJR053W","GroupI"
"P22804","YIL004C","GroupI"
"P32873","YPL115C","GroupI"
"Q06631","YDR299W","GroupI"
"Q08965","YPL217C","GroupI"
"P48445","YDL141W","GroupI"
"P25385","YLR078C","GroupI"
"P22035","YKR099W","GroupI"
"Q12291","YLR063W","GroupI"
"P38278","YBR141C","GroupI"
"Q12509","YLR085C","GroupI"
"Q05933","YLR370C","GroupI"
"Q05123","YMR033W","GroupI"
"P06182","YAL039C","GroupI"
"P22137","YGL206C","GroupI"
"P38170","YBL097W","GroupI"
"Q3E846","YMR244C-A","GroupI"
"Q12309","YLR117C","GroupI"
"P38323","YBR227C","GroupI"
"P33313","YBR155W","GroupI"
"Q05583","YDR267C","GroupI"
"P17891","YGR167W","GroupI"
"P53951","YNL051W","GroupI"
"P32378","YNR041C","GroupI"
"Q08058","YOL008W","GroupI"
"P40452","YIL157C","GroupI"
"P53332","YGR277C","GroupI"
"P27680","YOL096C","GroupI"
"O13525","YDR204W","GroupI"
"P41811","YGL137W","GroupI"
"Q05779","YLR201C","GroupI"
"P41810","YDR238C","GroupI"
"P41735","YOR125C","GroupI"
"P53264","YGR110W","GroupI"
"Q08685","YOR250C","GroupI"
"Q06096","YPR105C","GroupI"
"P32074","YNL287W","GroupI"
"Q08225","YOL057W","GroupI"
"Q05892","YLR290C","GroupI"
"P49017","YML110C","GroupI"
"P53318","YGR255C","GroupI"
"P43621","YFR051C","GroupI"
"P13382","YNL102W","GroupI"
"P40094","YER157W","GroupI"
"Q06440","YLR429W","GroupI"
"P21592","YPL172C","GroupI"
"Q01519","YLR038C","GroupI"
"P32799","YGL191W","GroupI"
"Q12287","YLL009C","GroupI"
"Q01389","YJL095W","GroupI"
"P32458","YJR076C","GroupI"
"P32468","YHR107C","GroupI"
"P38111","YBR136W","GroupI"
"P36107","YKL004W","GroupI"
"P38636","YNL259C","GroupI"
"P38360","YBR295W","GroupI"
"P38147","YBR274W","GroupI"
"P09457","YDR298C","GroupI"
"P31386","YAL020C","GroupI"
"P05626","YPL078C","GroupI"
"P38077","YBR039W","GroupI"
"Q06405","YDR377W","GroupI"
"P38928","YIL140W","GroupI"
"P81449","YDR322C-A","GroupI"
"P22516","YPL008W","GroupI"
"P40471","YIL124W","GroupI"
"P53871","YNL191W","GroupI"
"P33413","YHL016C","GroupI"
"P53759","YML080W","GroupI"
"P53137","YGL110C","GroupI"
"P53008","YGL027C","GroupI"
"P40312","YNL111C","GroupI"
"P18900","YBR003W","GroupI"
"P36152","YKR071C","GroupI"
"Q02554","YMR240C","GroupI"
"P53333","YGR278W","GroupI"
"P32623","YEL040W","GroupI"
"P53968","YNL027W","GroupI"
"Q12150","YLR087C","GroupI"
"P32528","YBR208C","GroupI"
"P53923","YNL119W","GroupI"
"P00175","YML054C","GroupI"
"P06106","YLR303W","GroupI"
"Q07533","YDL117W","GroupI"
"Q06705","YLR380W","GroupI"
"Q08923","YPL181W","GroupI"
"P53830","YNL286W","GroupI"
"Q12046","YDL209C","GroupI"
"P00163","Q0105","GroupI"
"P31373","YAL012W","GroupI"
"P89105","YOL145C","GroupI"
"P53899","YNL155W","GroupI"
"Q03375","YDR482C","GroupI"
"P53854","YNL245C","GroupI"
"P28320","YKL095W","GroupI"
"P46947","YGL174W","GroupI"
"P53769","YLR323C","GroupI"
"P25618","YCR017C","GroupI"
"P08678","YJL005W","GroupI"
"P38909","YOR037W","GroupI"
"P21657","YIR023W","GroupI"
"P07143","YOR065W","GroupI"
"D6W196","YNL083W","GroupI"
"Q06680","YDR325W","GroupI"
"Q3E7B2","YJL062W-A","GroupI"
"P34237","YKL179C","GroupI"
"P16522","YHR166C","GroupI"
"Q06697","YLR418C","GroupI"
"P41733","YLR459W","GroupI"
"P25694","YDL126C","GroupI"
"P46681","YDL178W","GroupI"
"Q03690","YMR012W","GroupI"
"P38910","YOR020C","GroupI"
"Q3E7A9","YMR194C-B","GroupI"
"P32656","YER163C","GroupI"
"P32891","YDL174C","GroupI"
"P38221","YBR029C","GroupI"
"P40558","YIL003W","GroupI"
"Q06632","YDR301W","GroupI"
"P32657","YER164W","GroupI"
"P05374","YGR157W","GroupI"
"P35190","YGL215W","GroupI"
"P53615","YNL036W","GroupI"
"P53223","YGR036C","GroupI"
"Q03705","YML036W","GroupI"
"P21623","YDR403W","GroupI"
"P15703","YGR282C","GroupI"
"P11709","YCL029C","GroupI"
"P48582","YPL084W","GroupI"
"P28495","YKL007W","GroupI"
"P07258","YOR303W","GroupI"
"P07267","YPL154C","GroupI"
"Q04199","YML102W","GroupI"
"P32457","YLR314C","GroupI"
"P11433","YAL041W","GroupI"
"P38042","YBL084C","GroupI"
"P06704","YOR257W","GroupI"
"P09119","YJL194W","GroupI"
"P32562","YMR001C","GroupI"
"P35201","YKL089W","GroupI"
"P32796","YML042W","GroupI"
"P06787","YBR109C","GroupI"
"Q3E835","YOL086W-A","GroupI"
"Q06350","YDR371W","GroupI"
"P17106","YJR060W","GroupI"
"Q12453","YOR112W","GroupI"
"Q12114","YLR330W","GroupI"
"P29465","YBR023C","GroupI"
"P38907","YDR254W","GroupI"
"P39525","YER061C","GroupI"
"P29029","YLR286C","GroupI"
"P32178","YPR060C","GroupI"
"P38843","YHR142W","GroupI"
"P48237","YGR150C","GroupI"
"Q12102","YLR115W","GroupI"
"P38328","YBR234C","GroupI"
"Q06541","YLR242C","GroupI"
"Q03862","YDR101C","GroupI"
"Q06822","YPR085C","GroupI"
"P32447","YJL115W","GroupI"
"P28777","YGL148W","GroupI"
"Q04549","YDR106W","GroupI"
"P32381","YDL029W","GroupI"
"P53946","YNL059C","GroupI"
"P53731","YNR035C","GroupI"
"Q12386","YOR141C","GroupI"
"P33204","YKL013C","GroupI"
"Q06597","YPR200C","GroupI"
"Q06598","YPR201W","GroupI"
"P21269","YER168C","GroupI"
"P53933","YNL094W","GroupI"
"P05085","YML099C","GroupI"
"Q00381","YJR058C","GroupI"
"P04076","YHR018C","GroupI"
"P32582","YGR155W","GroupI"
"Q12354","YLR118C","GroupI"
"P38281","YBR151W","GroupI"
"Q08702","YOR258W","GroupI"
"Q04371","YMR027W","GroupI"
"P29366","YBR200W","GroupI"
"P47039","YJL060W","GroupI"
"Q3E793","YAL044W-A","GroupI"
"P25356","YCR032W","GroupI"
"Q07457","YDL074C","GroupI"
"P27637","YAR014C","GroupI"
"P40013","YER016W","GroupI"
"Q01532","YNL239W","GroupI"
"Q08280","YOL137W","GroupI"
"Q08004","YLR074C","GroupI"
"P47134","YJR089W","GroupI"
"P43583","YFL007W","GroupI"
"P26448","YMR055C","GroupI"
"P48558","YNL305C","GroupI"
"P43569","YFL028C","GroupI"
"P32451","YGR286C","GroupI"
"P40493","YIL096C","GroupI"
"P53082","YGL220W","GroupI"
"P38356","YBR290W","GroupI"
"P43571","YFL025C","GroupI"
"P23293","YPR161C","GroupI"
"P53323","YGR262C","GroupI"
"P33314","YKL092C","GroupI"
"P43568","YFL029C","GroupI"
"P25296","YKL190W","GroupI"
"P53741","YNR051C","GroupI"
"P36149","YKR068C","GroupI"
"P16474","YJL034W","GroupI"
"P39724","YAL046C","GroupI"
"P43132","YLR015W","GroupI"
"P53062","YGL247W","GroupI"
"P53838","YNL275W","GroupI"
"P41832","YNL271C","GroupI"
"P53858","YNL233W","GroupI"
"P47040","YJL059W","GroupI"
"P41697","YLR319C","GroupI"
"P38822","YHR114W","GroupI"
"P17555","YNL138W","GroupI"
"P19073","YLR229C","GroupI"
"P06243","YDL017W","GroupI"
"Q03654","YMR213W","GroupI"
"P25337","YCR063W","GroupI"
"Q04347","YMR014W","GroupI"
"P80235","YAR035W","GroupI"
"P53934","YNL092W","GroupI"
"P33322","YLR175W","GroupI"
"P47136","YJR092W","GroupI"
"P25627","YCR047C","GroupI"
"Q03941","YDR196C","GroupI"
"P27825","YAL058W","GroupI"
"P13517","YIL034C","GroupI"
"P37267","YGR174C","GroupI"
"Q08235","YOL077C","GroupI"
"P53894","YNL161W","GroupI"
"P40969","YMR168C","GroupI"
"P27614","YJL172W","GroupI"
"P47818","YLR220W","GroupI"
"P06101","YDR168W","GroupI"
"Q08032","YLR103C","GroupI"
"P53197","YGL003C","GroupI"
"Q06549","YLR245C","GroupI"
"P32639","YER172C","GroupI"
"P53829","YNL288W","GroupI"
"P47158","YJR122W","GroupI"
"P00546","YBR160W","GroupI"
"P39113","YMR280C","GroupI"
"P03965","YJR109C","GroupI"
"P21560","YPL215W","GroupI"
