genes,HiT,LpH
YALI1_C28115g,-1.16560043627731,-3.65654646053887
YALI1_A12601g,-0.946777399307983,-1.314665850781
YALI1_D16354g,-1.08507231210751,-3.73186007721229
YALI1_F24578g,-0.900977235762161,-2.89723169928779
YALI1_F24564g,-0.943390896826327,-2.81621104196667
cob,-1.63862396066006,-2.47735262201014
YALI1_E16230g,-1.09369696362969,-1.45750421888517
YALI1_B02910g,-1.32726351675777,-1.51801359686207
YALI1_B06546g,-2.08438624723234,-1.0399650925112
YALI1_C01393g,-1.2807854106381,-4.24106809853084
YALI1_F37498g,-1.17387701699827,-1.89120928097931
YALI1_B29364g,-1.14661652430298,-0.94634535434093
YALI1_C10086g,-0.77910692406758,-1.19596075430001
YALI1_E03122r,-1.91337699934708,-0.872101342583451
YALI1_A12676r,-0.851485865310759,-3.17726112974575
YALI1_F26474g,-0.797838510659235,-1.03104747558222
YALI1_C29021g,-0.824894768473154,-1.63777549632073
YALI1_C23653g,-1.21206174449153,-2.02612287665665
YALI1_C11843g,-0.840843244439453,-1.79114041221951
YALI1_B16255g,-0.945997644201662,-2.27508411881687
YALI1_B17569g,-0.951491286357597,-2.98358182338375
YALI1_B05830g,-1.1569216863428,-1.39367056581548
YALI1_E15758g,-1.27266889348113,-2.21533423269167
YALI1_F30431g,-0.838103351927657,-5.03979652085673
YALI1_D08113g,-1.14388912708247,-1.04729553780687
YALI1_F06198g,-0.757902705001902,-1.36389298040949
YALI1_B29360g,-1.1743722610473,-3.2544999471042
YALI1_C33471g,-0.772600063599846,-1.73552781691843
YALI1_C09195g,-0.848706802237968,-1.16910100386359
YALI1_E36409g,-0.96914518103231,-1.45358736938762
YALI1_F13476g,-1.5210116387105,-1.32773649932377
YALI1_B24836g,-1.39880114224379,-2.58863393285563
YALI1_A04044g,-1.04582973305447,-1.19434350213152
YALI1_D09162g,-2.06375277100816,-2.02575195180589
YALI1_E21871g,-0.781985758515093,-0.840035107279861
YALI1_A14772g,-1.2637738495715,-1.49652007016319
YALI1_D01988r,-0.991534823603336,-0.962562158776743
YALI1_C21924g,-1.26879960981417,-2.21569627025802
YALI1_B14268g,-0.781454266012926,-1.25177954542384
YALI1_F32948g,-1.19838199793894,-0.771240970900297
