OG,cpk,kma,yli
OG0002426,,,YALI1_E08937g
OG0002427,CENPK1137D_2212,,
OG0002451,CENPK1137D_4826,,
OG0002453,,,YALI1_B22883g
OG0002457,,,YALI1_F03481g
OG0002458,CENPK1137D_4837,,
OG0002470,CENPK1137D_4945,,
OG0002473,CENPK1137D_4947,,
OG0002477,CENPK1137D_2346,,
OG0002481,CENPK1137D_4956,,
OG0002488,,,YALI1_E39886g
OG0002490,CENPK1137D_667,,
OG0002508,CENPK1137D_389,,
OG0002512,CENPK1137D_809,,
OG0002514,,,YALI1_C05908g
OG0002526,CENPK1137D_708,,
OG0002540,,,YALI1_E19201g
OG0002556,,,YALI1_E05329g
OG0002569,,,YALI1_F14958g
OG0002587,CENPK1137D_579,,
OG0002620,,KMXK0E03750,
OG0002632,CENPK1137D_3657,,
OG0002645,,,YALI1_E23292g
OG0002652,CENPK1137D_5330,,
OG0002677,CENPK1137D_5074,,
OG0002679,,KMXK0E04650,
OG0002687,CENPK1137D_3419,,
OG0002699,,,YALI1_F28590g
OG0002704,,,YALI1_D16783g
OG0002709,CENPK1137D_3984,,
OG0002710,CENPK1137D_524,,
OG0002718,CENPK1137D_533,,
OG0002723,CENPK1137D_3991,,
OG0002763,CENPK1137D_2469,,
OG0002765,CENPK1137D_2467,,YALI1_E41569g
OG0002769,,,YALI1_E34238g
OG0002818,,,YALI1_D15568g
OG0002830,CENPK1137D_4403,,
OG0002903,,,YALI1_C21755g
OG0002912,CENPK1137D_1946,,
OG0002930,CENPK1137D_5377,,
OG0002945,,,YALI1_F05814g
OG0002948,CENPK1137D_2317,,
OG0002961,CENPK1137D_2410,,
OG0002965,,,YALI1_B19336g
OG0002971,CENPK1137D_2556,,
OG0002981,CENPK1137D_5260,,
OG0002983,CENPK1137D_2131,,
OG0002989,,,YALI1_F19058g
OG0003001,CENPK1137D_3574,,
OG0003006,,KMXK0F03810,
OG0003014,,,YALI1_F30034g
OG0003016,CENPK1137D_921,,
OG0003039,CENPK1137D_2442,,
OG0003046,,,YALI1_A07349g
OG0003057,CENPK1137D_5229,,
OG0003083,CENPK1137D_3182,,
OG0003113,CENPK1137D_1516,,
OG0003121,,,YALI1_D06638g
OG0003156,CENPK1137D_2045,,
OG0003160,CENPK1137D_4300,,
OG0003200,CENPK1137D_5159,,
OG0003204,CENPK1137D_2636,,
OG0003210,,KMXK0G01630,
OG0003226,CENPK1137D_356,,
OG0003244,CENPK1137D_2107,,
OG0003294,CENPK1137D_4660,,
OG0003305,CENPK1137D_1966,,
OG0003310,CENPK1137D_1762,,YALI1_F29751g
OG0003314,CENPK1137D_4871,,
OG0003349,CENPK1137D_4189,,
OG0003379,CENPK1137D_454,,
OG0003383,,,YALI1_E01105g
OG0003385,,,YALI1_A17470g
OG0003420,,,YALI1_A06396g
OG0003456,,,YALI1_F26399g
OG0003468,CENPK1137D_5010,,
OG0003475,CENPK1137D_4420,,
OG0003479,,,YALI1_B11960g
OG0003513,,,YALI1_F37714g
OG0003545,,,YALI1_C28396g
OG0003549,CENPK1137D_1764,,
OG0003551,CENPK1137D_5073,,
OG0003555,CENPK1137D_5080,,
OG0003578,CENPK1137D_4895,,
OG0003607,,KMXK0H03940,YALI1_F29483g
