# Program:featureCounts v1.6.0; Command:"featureCounts" "-T" "8" "-s" "2" "-p" "-t" "CDS" "-g" "Name" "-a" "Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/CBS6556TD.gff" "-o" "Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/KM_STAR_March2019.txt" "Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/40C1NewGenome_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/40C2NewGenome_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/40C3NewGenome_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/KCl2NewGenome_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/KCl3NewGenome_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/Kcl1NewGenome_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/Std1NewGenome_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/Std2NewGenome_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/Std3NewGenome_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/pH351NewGenome_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/pH352NewGenome_STARAligned.out.bam" "Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/pH353NewGenome_STARAligned.out.bam" 
Geneid	Chr	Start	End	Strand	Length	Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/40C1NewGenome_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/40C2NewGenome_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/40C3NewGenome_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/KCl2NewGenome_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/KCl3NewGenome_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/Kcl1NewGenome_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/Std1NewGenome_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/Std2NewGenome_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/Std3NewGenome_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/pH351NewGenome_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/pH352NewGenome_STARAligned.out.bam	Users/doughty/Desktop/Omics_Paper/DTU_RNA_seq/KMarx/BigRun/pH353NewGenome_STARAligned.out.bam
KMXK0A00620	ChrI	117351	118169	-	819	1530	134	1245	1828	1811	2192	1301	1694	1629	1259	1278	1359
KMXK0A00630	ChrI	118591	121026	+	2436	1601	183	1339	1621	1560	1670	1441	1558	1545	1526	1539	1703
KMXK0A00640	ChrI	121066	122394	-	1329	528	25	443	537	515	632	490	505	453	427	433	478
KMXK0A00650	ChrI	123821	125535	+	1715	17	1	15	53	50	42	23	40	39	31	18	21
KMXK0A00660	ChrI	126012	126851	+	840	789	61	995	1058	951	1134	1009	1232	1131	1115	1154	1234
KMXK0A00670	ChrI	127564	133350	-	5787	1277	444	1392	1112	1083	1278	1579	1889	1410	1238	1227	1437
KMXK0A00680	ChrI	134804	135985	+	1182	434	23	320	963	956	893	587	421	526	200	157	241
KMXK0A00690	ChrI	137048	137545	+	498	6563	2203	7634	9836	9946	11406	8925	11423	8109	7622	8566	11256
KMXK0A00700	ChrI	138958	139428	+	471	4599	1055	5140	6208	6619	8024	6631	8029	5599	5729	6486	8492
KMXK0A00710	ChrI	140016	141122	+	1107	575	103	493	743	754	807	619	1006	735	650	581	1055
KMXK0A00720	ChrI	141231	141875	-	645	558	98	603	648	610	679	504	520	475	475	451	486
KMXK0A00730	ChrI	142213	142554	+	342	721	117	633	707	807	837	598	582	586	559	640	658
KMXK0A00740	ChrI	142870	143577	-	708	7764	614	5697	14124	12464	12968	11758	9989	12102	11285	10458	11592
KMXK0A00750	ChrI	144322	145614	-	1293	327	14	318	657	607	467	552	514	514	473	452	485
KMXK0A00760	ChrI	145986	147653	-	1668	11823	594	9703	10276	9748	11912	9690	11986	9838	10706	9494	11729
KMXK0A00770	ChrI	148607	149020	-	414	321	96	226	331	307	315	288	279	345	360	257	342
KMXK0A00780	ChrI	149323	150141	+	819	689	136	524	901	789	952	695	803	766	756	783	793
KMXK0A00790	ChrI	150262	152697	-	2436	3271	570	3046	4033	3543	3870	3347	3298	3533	3155	2913	3004
KMXK0A00800	ChrI	154670	157114	+	2445	2390	286	2049	4436	4274	4211	2990	3485	3130	2494	2495	2137
KMXK0A00810	ChrI	157518	159488	+	1971	1837	810	3378	2180	1799	2026	3874	3689	6115	3776	2887	3258
KMXK0A00820	ChrI	160004	162403	+	2400	3130	2459	4836	3682	3422	3845	4804	5047	6380	5019	4214	5571
KMXK0A00830	ChrI	162877	164667	+	1791	1279	270	1110	1322	1312	1350	1364	1353	1339	1225	1190	1407
KMXK0A00840	ChrI	164826	165383	-	558	429	1886	389	276	240	269	257	287	297	340	377	376
KMXK0A00850	ChrI	165723	167366	+	1644	923	484	826	882	750	753	770	832	866	901	963	956
KMXK0A00860	ChrI	167411	168346	-	936	618	123	792	437	475	423	384	450	473	493	483	547
KMXK0A00870	ChrI	168836	169405	+	570	742	515	875	682	663	655	556	586	649	733	742	632
KMXK0A00880	ChrI	169520	170395	-	876	378	280	354	211	216	224	268	420	296	299	257	415
KMXK0A00890	ChrI	170770	171381	-	612	1036	682	1125	733	761	708	829	655	609	1017	1057	1097
KMXK0A00900	ChrI	172045	172248	-	204	1975	1164	3219	966	794	794	949	1528	1330	1187	856	909
KMXK0A00910	ChrI	174124	176589	+	2466	2035	258	1770	2305	2106	2228	2453	2424	2408	2109	2074	2544
KMXK0A00920	ChrI	176858	177925	-	1068	302	445	363	19	22	39	128	957	102	351	315	695
KMXK0A00930	ChrI	178653	179960	+	1308	787	106	716	730	638	652	728	737	821	752	588	885
KMXK0A00940	ChrI	180182	180934	+	753	282	17	226	327	301	332	273	231	267	291	293	385
KMXK0A00950	ChrI	181327	182784	+	1458	6035	2061	5030	6089	5879	6831	5011	5325	5132	4332	4528	4502
KMXK0A00960	ChrI	183346	185412	+	2067	2252	1644	2570	2017	1921	1709	2251	2578	2858	2702	2247	4241
KMXK0A00970	ChrI	187870	189393	+	1524	647	4463	1214	218	223	187	249	460	215	224	244	287
KMXK0A00980	ChrI	189663	190655	-	993	199	46	214	141	173	158	185	213	185	193	187	164
KMXK0A00990	ChrI	190973	192043	+	1071	363	47	362	394	329	378	311	345	433	374	417	300
KMXK0A01000	ChrI	192305	193597	+	1293	963	53	921	1578	1267	1426	1546	1406	1596	1584	1422	1552
KMXK0A01010	ChrI	194471	197068	+	2598	1611	1751	1675	1788	1548	1701	1365	1663	1658	1664	1596	1614
KMXK0A01020	ChrI	197302	197598	-	297	119	16	109	147	128	161	124	121	134	131	94	84
KMXK0A01030	ChrI	197954	199789	+	1836	1530	228	1521	1391	1656	1648	1119	1151	1207	1134	1083	1141
KMXK0A01040	ChrI	199935	201125	+	1191	339	25	343	373	363	388	354	331	380	326	282	304
KMXK0A01050	ChrI	201389	202042	-	654	413	78	489	593	535	705	553	753	553	543	497	964
KMXK0A01060	ChrI	202698	203018	-	321	2311	448	2109	2791	2581	2445	1879	1913	2126	1997	2073	1651
KMXK0A01070	ChrI	203388	204140	+	753	904	86	753	1236	1157	1161	749	698	819	789	725	581
KMXK0A01080	ChrI	205098	205361	-	264	1026	241	889	960	1027	1205	783	818	779	727	795	677
KMXK0A01090	ChrI	205778	206581	-	804	1271	247	1332	1106	1022	1272	936	981	1045	959	1001	1064
KMXK0A01100	ChrI	207105	208424	+	1320	1041	201	933	450	480	507	397	490	567	531	515	473
KMXK0A01110	ChrI	208544	212692	-	4149	2759	1112	3006	2833	3008	3139	2937	3367	2905	2851	2828	2746
KMXK0A01120	ChrI	213075	214244	+	1170	1208	463	1056	1176	1068	1099	715	842	1149	996	767	946
KMXK0A01130	ChrI	214271	218401	-	4131	619	64	602	1019	901	997	771	830	928	791	601	796
KMXK0A01140	ChrI	218724	219050	+	327	2597	1448	2078	2272	2416	2156	1593	1824	2294	1803	1502	1590
KMXK0A01150	ChrI	220118	223231	+	3114	673	610	684	493	514	526	609	564	565	471	380	437
KMXK0A01160	ChrI	223538	225556	+	2019	134	228	184	316	227	309	262	301	311	230	239	217
KMXK0A01170	ChrI	226395	227036	-	642	6020	4018	4364	6893	7585	8470	8253	7057	7132	6922	6396	8069
KMXK0A01180	ChrI	227836	230289	-	2454	1289	284	1815	904	927	671	868	832	1039	1632	1659	1977
KMXK0A01190	ChrI	230825	231205	-	381	1234	503	1720	1489	1325	1673	1491	2247	1401	1702	1626	2510
KMXK0A01200	ChrI	231793	234075	+	2283	419	28	462	637	593	748	560	852	572	584	547	652
KMXK0A01210	ChrI	234115	237549	-	3435	1081	649	998	678	677	880	714	979	727	741	721	1047
KMXK0A01220	ChrI	238171	240336	+	2166	1240	76	1184	1704	1666	1831	1477	1502	1568	1412	1417	1353
KMXK0A01230	ChrI	240724	241206	-	483	2031	124	1661	1829	1785	2255	2119	2228	1742	1997	2305	2487
KMXK0A01240	ChrI	242337	243548	-	1212	1127	113	940	1063	1074	756	826	857	850	884	765	834
KMXK0A01250	ChrI	243910	244788	-	879	7447	9264	19557	4480	5250	2484	6715	5379	9294	10105	9065	9730
KMXK0A01260	ChrI	246229	247182	+	954	760	70	892	983	823	893	775	928	910	855	715	786
KMXK0A01270	ChrI	247781	248209	-	429	496	84	499	518	555	608	483	529	432	540	534	647
KMXK0A01280	ChrI	248960	250885	-	1926	20755	29187	15261	15408	16923	18639	14102	15465	15411	12467	12062	12682
KMXK0A01290	ChrI	251705	253432	+	1728	494	249	478	454	362	431	249	352	376	320	297	419
KMXK0A01300	ChrI	253595	257215	-	3621	2875	533	2919	2582	2589	2960	2866	3039	2575	2602	2761	3270
KMXK0A01310	ChrI	257656	260484	-	2829	2714	288	2879	3366	3111	3177	3183	3395	3403	2844	2850	2999
KMXK0A01320	ChrI	261861	262334	-	474	8118	2286	8958	7951	7617	9212	8450	10320	7911	8289	8903	8861
KMXK0A01330	ChrI	264257	265609	+	1353	3945	1358	3691	3417	3378	3182	3274	3442	3555	3796	3452	3850
KMXK0A01340	ChrI	266248	267417	+	1170	2007	880	2337	2496	2465	2620	1961	2414	2605	2191	2069	2169
KMXK0A01350	ChrI	267866	268531	-	666	540	21	431	615	493	664	541	446	409	651	604	790
KMXK0A01360	ChrI	269562	270974	+	1413	256	100	551	203	220	45	157	171	223	157	109	91
KMXK0A01370	ChrI	272396	273844	+	1449	3266	1451	3398	4737	4395	4230	3185	3431	4104	4930	4771	5072
KMXK0A01380	ChrI	274493	274816	+	324	2220	726	2679	4675	4660	5410	5392	6368	4776	4366	4280	6103
KMXK0A01390	ChrI	275343	275885	-	543	8542	1915	8837	12769	12677	14079	10971	13667	10608	10251	10295	15365
KMXK0A01400	ChrI	278087	278494	+	408	6319	725	6472	10397	11631	12091	10723	12360	9002	8719	9077	12865
KMXK0A01410	ChrI	279032	280165	+	1134	734	11	555	1201	972	977	841	842	890	885	803	863
KMXK0A01420	ChrI	280826	282139	-	1314	5368	453	4385	6818	6410	7398	6276	6393	5921	5392	5576	6098
KMXK0A01430	ChrI	282607	284142	-	1536	1092	494	939	688	632	611	1363	1346	1406	1316	871	1443
KMXK0A01440	ChrI	286074	287783	-	1710	3066	141	4147	1816	1635	2659	4681	3355	5607	3220	1886	2310
KMXK0A01450	ChrI	291186	292820	-	1635	14623	9701	6852	11647	11327	12751	8177	9969	8520	8566	8363	10890
KMXK0A01460	ChrI	294507	295295	-	789	1737	408	1614	2062	1854	2335	1658	1884	1905	1663	1674	1906
KMXK0A01470	ChrI	295764	298313	+	2550	2483	293	1721	2187	2163	2246	1940	2163	2119	1956	1983	2065
KMXK0A01480	ChrI	298368	299507	-	1140	1284	112	990	1331	1402	1483	1134	1055	1266	1044	1031	966
KMXK0A01490	ChrI	299749	300828	-	1080	831	110	887	950	992	1035	568	690	829	657	632	641
KMXK0A01500	ChrI	301101	302105	+	1005	915	97	903	1078	1158	1052	779	794	1006	835	785	797
KMXK0A01510	ChrI	302250	303104	-	855	1177	280	983	1062	1051	1000	816	870	951	998	940	824
KMXK0A01520	ChrI	303394	304266	-	873	483	152	605	518	513	513	417	389	484	440	382	414
KMXK0A01530	ChrI	304862	306970	-	2109	627	75	566	704	717	761	492	649	610	516	493	633
KMXK0A01540	ChrI	307581	310814	+	3234	1781	729	1867	2212	2094	1962	2223	1982	2506	2217	1960	2078
KMXK0A01550	ChrI	312084	314720	+	2637	5101	2626	4797	5388	4739	4768	6435	5360	8414	6963	6146	6245
KMXK0A01560	ChrI	315124	316047	+	924	1152	486	849	982	973	909	795	854	1018	929	755	731
KMXK0A01570	ChrI	316927	317916	+	990	41354	3858	16275	44473	38894	53566	22829	21568	27209	23385	22128	25533
KMXK0A01580	ChrI	318406	319398	+	993	1755	142	2301	1508	1487	1800	2010	2058	2096	2047	1760	2259
KMXK0A01590	ChrI	319834	321015	-	1182	5152	462	4729	4646	4212	4126	4798	4629	4885	5419	5279	5495
KMXK0A01600	ChrI	321875	323359	+	1485	7314	837	6723	5616	5497	4926	5708	5392	5714	6678	6877	6366
KMXK0A01610	ChrI	323894	327304	+	3411	638	70	638	750	1016	704	602	642	634	688	649	949
KMXK0A01620	ChrI	327953	332683	+	4731	1541	68	1281	1966	1863	1757	1550	1636	1258	2439	3106	3114
KMXK0A01630	ChrI	333151	334485	-	1335	8621	167	8497	7805	7171	7859	11532	12380	9021	8885	8544	11064
KMXK0A01640	ChrI	342305	343522	+	1218	1067	311	1277	785	727	956	880	958	608	1100	1140	884
KMXK0A01650	ChrI	343781	344077	-	297	727	216	543	650	755	966	588	609	599	477	540	524
KMXK0A01660	ChrI	344568	345245	-	678	677	472	726	749	708	700	686	676	716	862	667	900
KMXK0A01670	ChrI	347643	348140	+	498	2702	344	3801	785	783	681	672	1205	1448	2234	1713	1120
KMXK0A01680	ChrI	348276	349724	-	1449	981	112	852	912	858	980	941	941	1054	845	926	904
KMXK0A01690	ChrI	350147	351727	-	1581	1602	617	1481	1205	1206	1381	1277	1513	1382	1218	1144	1030
KMXK0A01700	ChrI	352142	353809	-	1668	5611	1111	4866	6437	6517	6650	4801	5100	5796	4933	4861	4889
KMXK0A01710	ChrI	354316	354789	+	474	1369	344	969	1680	1581	1573	1000	1151	1311	1042	902	951
KMXK0A01720	ChrI	355067	355804	+	738	229	26	214	188	218	214	179	180	227	203	177	142
KMXK0A01730	ChrI	355872	356297	-	426	464	137	398	583	587	640	404	495	540	452	393	498
KMXK0A01740	ChrI	356973	357530	+	558	223	11	227	653	569	652	395	357	315	483	543	580
KMXK0A01750	ChrI	357469	357855	-	387	9	1	5	8	10	5	10	2	7	4	3	13
KMXK0A01760	ChrI	358154	359383	-	1230	1757	115	1695	2037	1941	2014	1728	1836	2091	1781	1797	1713
KMXK0A01770	ChrI	359813	360271	-	459	3190	163	2756	6067	6314	6809	4039	3697	3244	4383	4801	5220
KMXK0A01780	ChrI	360970	362349	+	1380	395	50	348	553	539	595	372	508	448	432	427	452
KMXK0A01790	ChrI	363083	364012	+	930	1177	560	1053	1302	1382	1345	1243	1217	1253	1155	1178	1146
KMXK0A01800	ChrI	364782	365723	+	942	1668	1241	1530	1538	1854	1995	1248	1444	1308	1161	1213	1139
KMXK0A01810	ChrI	365945	367126	-	1182	4060	940	4284	5992	5510	7436	4805	5842	4325	4710	5352	5419
KMXK0A01820	ChrI	368095	370842	+	2748	1722	53	1207	2701	2870	2677	2282	2082	1797	2702	2818	3018
KMXK0A01830	ChrI	371009	372376	-	1368	1018	87	697	588	554	528	279	338	292	902	1073	579
KMXK0A01840	ChrI	373409	376921	+	3513	2647	805	3303	1754	1722	1680	2631	2604	2304	2995	3219	3485
KMXK0A01850	ChrI	377348	382051	-	4704	11316	34243	16385	6474	6957	7321	24824	18283	20628	23298	19800	30849
KMXK0A01860	ChrI	384766	386640	-	1875	663	50	873	382	326	362	696	506	546	1118	711	1015
KMXK0A01870	ChrI	387496	391881	-	4386	907	459	1171	1043	1024	1309	799	1076	908	722	958	938
KMXK0A01880	ChrI	392916	393521	-	606	7326	501	7457	11666	10901	11518	10009	12243	11101	9350	10315	12765
KMXK0A01890	ChrI	395885	396661	+	777	480	56	347	439	408	414	586	428	610	423	408	417
KMXK0A01900	ChrI	396763	397641	-	879	131	5	112	175	177	155	195	142	138	147	128	190
KMXK0A01910	ChrI	398032	399753	-	1722	2012	90	1129	2230	2019	1871	1397	1229	1311	1739	1758	2012
KMXK0A01920	ChrI	400824	402851	+	2028	8441	11408	7108	9176	8080	8636	6291	6832	6204	6824	6914	5904
KMXK0A01930	ChrI	403595	404770	+	1176	4852	19771	5220	5484	5608	5423	4008	5038	6477	4726	4563	4124
KMXK0A01940	ChrI	405799	408108	+	2310	4463	4529	3590	3478	3421	3498	2841	3104	3311	2770	2597	2885
KMXK0A01950	ChrI	408291	408659	-	369	768	94	716	1087	955	1068	856	979	989	941	841	751
KMXK0A01960	ChrI	409102	409635	+	534	1833	292	1638	2419	2092	2302	1847	2140	2359	1801	1634	1608
KMXK0A01970	ChrI	409911	411017	-	1107	997	184	982	1130	1062	1376	915	1040	839	1202	1265	1923
KMXK0A01980	ChrI	411622	413097	-	1476	5120	8218	4746	4454	3895	3730	3420	4071	4560	4298	3669	4462
KMXK0A01990	ChrI	414282	415460	+	1179	1138	1661	1199	1268	1259	1216	1046	1038	1297	1202	1082	1235
KMXK0A02000	ChrI	416047	420249	-	4203	1080	139	993	1119	1110	1300	1025	1174	1096	953	909	1152
KMXK0A02010	ChrI	420735	421832	+	1098	1142	69	923	1247	1192	1368	1273	1098	1236	1127	1058	1199
KMXK0A02020	ChrI	422222	422791	+	570	90	140	177	48	71	13	24	41	48	19	13	13
KMXK0A02030	ChrI	423294	423821	+	528	1228	1295	1162	1057	974	859	738	682	947	923	879	778
