"","protein","Gene","orthogroup"
"59","P00925","YHR174W","S+KZC"
"60","P00927","YER086W","S+KZC"
"61","P00931","YGL026C","S+KZC"
"62","P00937","YKL211C","S+KZC"
"63","P00942","YDR050C","S+KZC"
"64","P00950","YKL152C","S+KZC"
"65","P00958","YGR264C","S+KZC"
"66","P01097","YDL181W","S+KZC"
"67","P01098","YDL130W-A","S+KZC"
"68","P01119","YOR101W","S+KZC"
"69","P01120","YNL098C","S+KZC"
"70","P01123","YFL038C","S+KZC"
"71","P01149","YPL187W","S+KZC"
"72","P02293","YDR224C","S+KZC"
"73","P02294","YBL002W","S+KZC"
"74","P02309","YBR009C, YNL030W","S+KZC"
"75","P02381","Q0140","S+KZC"
"76","P02400","YDR382W","S+KZC"
"77","P02406","YGL103W","S+KZC"
"78","P02407","YML024W","S+KZC"
"79","P02557","YFL037W","S+KZC"
"80","P02829","YPL240C","S+KZC"
"81","P02992","YOR187W","S+KZC"
"82","P02994","YPR080W, YBR118W","S+KZC"
"83","P03069","YEL009C","S+KZC"
"84","P03871","R0020C","S+KZC"
"85","P03874","YHL038C","S+KZC"
"86","P03962","YEL021W","S+KZC"
"87","P03965","YJR109C","S+KZC"
"88","P04037","YGL187C","S+KZC"
"89","P04039","YLR395C","S+KZC"
"90","P04046","YMR300C","S+KZC"
"91","P04050","YDL140C","S+KZC"
"92","P04051","YOR116C","S+KZC"
"93","P04076","YHR018C","S+KZC"
"94","P04147","YER165W","S+KZC"
"95","P04161","YDR408C","S+KZC"
"96","P04173","YCL018W","S+KZC"
"97","P04385","YBR020W","S+KZC"
"98","P04386","YPL248C","S+KZC"
"99","P04387","YML051W","S+KZC"
"100","P04397","YBR019C","S+KZC"
"101","P04449","YGL031C","S+KZC"
"102","P04456","YOL127W","S+KZC"
"103","P04650","YJL189W","S+KZC"
"104","P04786","YOL006C","S+KZC"
"105","P04801","YIL078W","S+KZC"
"106","P04802","YLL018C","S+KZC"
"107","P04803","YDR268W","S+KZC"
"108","P04806","YFR053C","S+KZC"
"109","P04807","YGL253W","S+KZC"
"110","P04817","YEL063C","S+KZC"
"111","P04819","YDL164C","S+KZC"
"112","P04821","YLR310C","S+KZC"
"113","P04840","YNL055C","S+KZC"
"114","P04911","YDR225W","S+KZC"
"115","P04912","YBL003C","S+KZC"
"116","P05030","YGL008C","S+KZC"
"117","P05066","YOR386W","S+KZC"
"118","P05085","YML099C","S+KZC"
"119","P05150","YJL088W","S+KZC"
"120","P05316","YBR021W","S+KZC"
"121","P05317","YLR340W","S+KZC"
"122","P05318","YDL081C","S+KZC"
"123","P05319","YOL039W","S+KZC"
"124","P05373","YGL040C","S+KZC"
"125","P05374","YGR157W","S+KZC"
"126","P05375","YJR073C","S+KZC"
"127","P05453","YDR172W","S+KZC"
"128","P05626","YPL078C","S+KZC"
"129","P05694","YER091C","S+KZC"
"130","P05737","YGL076C","S+KZC"
"131","P05738","YGL147C","S+KZC"
"132","P05740","YKL180W","S+KZC"
"133","P05743","YLR344W","S+KZC"
"134","P05744","YPL143W","S+KZC"
"135","P05745","YMR194W","S+KZC"
"136","P05747","YFR032C-A","S+KZC"
"137","P05748","YLR029C","S+KZC"
"138","P05749","YLR061W","S+KZC"
"139","P05750","YNL178W","S+KZC"
"140","P05755","YBR189W","S+KZC"
"141","P05756","YDR064W","S+KZC"
"142","P05759","YLR167W","S+KZC"
"143","P05986","YKL166C","S+KZC"
"144","P06100","YDL165W","S+KZC"
"145","P06101","YDR168W","S+KZC"
"146","P06102","YIL038C","S+KZC"
"147","P06103","YOR361C","S+KZC"
"148","P06104","YGL058W","S+KZC"
"149","P06105","YJL080C","S+KZC"
"150","P06106","YLR303W","S+KZC"
"151","P06115","YGR088W","S+KZC"
"152","P06168","YLR355C","S+KZC"
"153","P06169","YLR044C","S+KZC"
"154","P06174","YOR278W","S+KZC"
"155","P06182","YAL039C","S+KZC"
"156","P06197","YPR113W","S+KZC"
"157","P06208","YNL104C","S+KZC"
"158","P06242","YDL108W","S+KZC"
"159","P06243","YDL017W","S+KZC"
"160","P06244","YJL164C","S+KZC"
"161","P06245","YPL203W","S+KZC"
"162","P06367","YCR031C","S+KZC"
"163","P06633","YOR202W","S+KZC"
"164","P06634","YOR204W","S+KZC"
"165","P06700","YDL042C","S+KZC"
"166","P06704","YOR257W","S+KZC"
"167","P06738","YPR160W","S+KZC"
"168","P06773","YHR144C","S+KZC"
"169","P06774","YGL237C","S+KZC"
"170","P06775","YGR191W","S+KZC"
"171","P06776","YOR360C","S+KZC"
"172","P06777","YPL022W","S+KZC"
"173","P06778","YML032C","S+KZC"
"174","P06779","YJR052W","S+KZC"
"175","P06780","YPR165W","S+KZC"
"176","P06781","YNL090W","S+KZC"
"177","P06782","YDR477W","S+KZC"
"178","P06783","YKL178C","S+KZC"
"179","P06784","YDL159W","S+KZC"
"180","P06785","YOR074C","S+KZC"
"181","P06786","YNL088W","S+KZC"
"182","P06787","YBR109C","S+KZC"
"183","P06838","YML095C","S+KZC"
"184","P06839","YER171W","S+KZC"
"185","P06843","YER161C","S+KZC"
"186","P06844","YDR392W","S+KZC"
"187","P07143","YOR065W","S+KZC"
"188","P07149","YKL182W","S+KZC"
"189","P07170","YDR226W","S+KZC"
"190","P07172","YIL116W","S+KZC"
"191","P07213","YNL121C","S+KZC"
"192","P07236","YKL194C","S+KZC"
"193","P07244","YGL234W","S+KZC"
"194","P07245","YGR204W","S+KZC"
"195","P07246","YMR083W","S+KZC"
"196","P07248","YDR216W","S+KZC"
"197","P07249","YMR042W","S+KZC"
"198","P07250","YDR173C","S+KZC"
"199","P07251","YBL099W","S+KZC"
"200","P07252","YJL209W","S+KZC"
"201","P07253","YBR120C","S+KZC"
"202","P07255","YDL067C","S+KZC"
"203","P07256","YBL045C","S+KZC"
"204","P07257","YPR191W","S+KZC"
"205","P07258","YOR303W","S+KZC"
"206","P07259","YJL130C","S+KZC"
"207","P07260","YOL139C","S+KZC"
"208","P07261","YPL075W","S+KZC"
"209","P07262","YOR375C","S+KZC"
"210","P07263","YPR033C","S+KZC"
"211","P07264","YGL009C","S+KZC"
"212","P07267","YPL154C","S+KZC"
"213","P07269","YDL106C","S+KZC"
"214","P07270","YFR034C","S+KZC"
"215","P07271","YML061C","S+KZC"
"216","P07272","YLR014C","S+KZC"
"217","P07273","YGL043W","S+KZC"
"218","P07274","YOR122C","S+KZC"
"219","P07275","YHR037W","S+KZC"
"220","P07276","YGR258C","S+KZC"
"221","P07277","YMR208W","S+KZC"
"222","P07278","YIL033C","S+KZC"
"223","P07280","YOL121C","S+KZC"
"224","P07281","YNL302C","S+KZC"
"225","P07283","YFL045C","S+KZC"
"226","P07284","YDR023W","S+KZC"
"227","P07285","YDR354W","S+KZC"
"228","P07286","YBR243C","S+KZC"
"229","P07342","YMR108W","S+KZC"
"230","P07347","YHR013C","S+KZC"
"231","P07390","YNR045W","S+KZC"
"232","P07560","YFL005W","S+KZC"
"233","P07702","YBR115C","S+KZC"
"234","P07703","YPR110C","S+KZC"
"235","P07806","YGR094W","S+KZC"
"236","P07807","YOR236W","S+KZC"
"237","P07834","YFL009W","S+KZC"
"238","P07866","YAL024C","S+KZC"
"239","P07884","YOR274W","S+KZC"
"240","P07991","YLR438W","S+KZC"
"241","P08004","YNL192W","S+KZC"
"242","P08018","YJL128C","S+KZC"
"243","P08019","YIL099W","S+KZC"
"244","P08067","YEL024W","S+KZC"
"245","P08153","YDR146C","S+KZC"
"246","P08417","YPL262W","S+KZC"
"247","P08425","YPR047W","S+KZC"
"248","P08431","YBR018C","S+KZC"
"249","P08432","YKL184W","S+KZC"
"250","P08456","YER026C","S+KZC"
"251","P08458","YDR523C","S+KZC"
"252","P08459","YDR522C","S+KZC"
"253","P08465","YNL277W","S+KZC"
"254","P08466","YJL208C","S+KZC"
"255","P08468","YMR257C","S+KZC"
"256","P08518","YOR151C","S+KZC"
"257","P08521","YOR302W","S+KZC"
"258","P08524","YJL167W","S+KZC"
"259","P08525","YJL166W","S+KZC"
"260","P08536","YJR010W","S+KZC"
"261","P08539","YHR005C","S+KZC"
"262","P08566","YDR127W","S+KZC"
"263","P08593","YPR134W","S+KZC"
"264","P08638","YLR451W","S+KZC"
"265","P08640","YIR019C","S+KZC"
"266","P08678","YJL005W","S+KZC"
"267","P08964","YHR023W","S+KZC"
"268","P09032","YOR260W","S+KZC"
"269","P09064","YPL237W","S+KZC"
"270","P09119","YJL194W","S+KZC"
"271","P09201","YLR377C","S+KZC"
"272","P09232","YEL060C","S+KZC"
"273","P09368","YLR142W","S+KZC"
"274","P09436","YBL076C","S+KZC"
"275","P09440","YBR084W","S+KZC"
"276","P09457","YDR298C","S+KZC"
"277","P09547","YPL016W","S+KZC"
"278","P09620","YGL203C","S+KZC"
"279","P09624","YFL018C","S+KZC"
"280","P09733","YML085C","S+KZC"
"281","P09734","YML124C","S+KZC"
"282","P09798","YKL022C","S+KZC"
"283","P09880","YJL087C","S+KZC"
"284","P09932","YDL227C","S+KZC"
"285","P09937","YOR313C","S+KZC"
"286","P09938","YJL026W","S+KZC"
"287","P09950","YDR232W","S+KZC"
"288","P09959","YLR182W","S+KZC"
"289","P0C074","YNL138W-A","S+KZC"
"290","P0C0T4","YLR333C","S+KZC"
"291","P0C0V8","YKR057W","S+KZC"
"292","P0C0W1","YJL190C","S+KZC"
"293","P0C0W9","YPR102C","S+KZC"
"294","P0C0X0","YLR264W","S+KZC"
"295","P0C268","YBL039W-B","S+KZC"
"296","P0C2H6","YHR010W","S+KZC"
"297","P0C2H7","YDR471W","S+KZC"
"298","P0C2H8","YDL075W","S+KZC"
"299","P0C2H9","YLR406C","S+KZC"
"300","P0C2I2","YDR316W-B","S+KZC"
"301","P0C2I3","YDR365W-B","S+KZC"
"302","P0C2I5","YLR157C-B","S+KZC"
"303","P0C2I6","YLR227W-B","S+KZC"
"304","P0C2I9","YPR137C-B","S+KZC"
"305","P0C2J0","YPR158W-B","S+KZC"
"306","P0C2J1","YPR158C-D","S+KZC"
"307","P0C2J3","YLR410W-B","S+KZC"
"308","P0C5N3","YGL041W-A","S+KZC"
"309","P0C5R9","YPR170W-B","S+KZC"
"310","P0CD91","YPR192W","S+KZC"
"311","P0CE41","YLR256W","S+KZC"
"312","P0CE85","YMR325W","S+KZC"
"313","P0CE86","YOR394W","S+KZC"
"314","P0CE87","YPL282C","S+KZC"
"315","P0CE88","YJL223C","S+KZC"
"316","P0CE89","YIL176C","S+KZC"
"317","P0CE90","YNR076W","S+KZC"
"318","P0CE91","YLL064C","S+KZC"
"319","P0CE92","YAL068C","S+KZC"
"320","P0CE93","YGL261C","S+KZC"
"321","P0CF17","YML002W","S+KZC"
"322","P0CG63","YLL039C","S+KZC"
"323","P0CH08","YIL148W","S+KZC"
"324","P0CH09","YKR094C","S+KZC"
"325","P0CH63","YFL061W","S+KZC"
"326","P0CH64","YNL335W","S+KZC"
"327","P0CI67","YHR213W","S+KZC"
"328","P0CS90","YJR045C","S+KZC"
"329","P0CT04","YNL015W","S+KZC"
"330","P0CX23","YMR242C","S+KZC"
"331","P0CX24","YOR312C","S+KZC"
"332","P0CX25","YPR043W","S+KZC"
"333","P0CX26","YJR094W-A","S+KZC"
"334","P0CX27","YNL162W","S+KZC"
"335","P0CX28","YHR141C","S+KZC"
"336","P0CX29","YGR118W","S+KZC"
"337","P0CX30","YPR132W","S+KZC"
"338","P0CX31","YER074W","S+KZC"
"339","P0CX32","YIL069C","S+KZC"
"340","P0CX33","YLR287C-A","S+KZC"
"341","P0CX34","YOR182C","S+KZC"
"342","P0CX35","YJR145C","S+KZC"
"343","P0CX36","YHR203C","S+KZC"
"344","P0CX37","YPL090C","S+KZC"
"345","P0CX38","YBR181C","S+KZC"
"346","P0CX39","YBL072C","S+KZC"
"347","P0CX40","YER102W","S+KZC"
"348","P0CX41","YBL087C","S+KZC"
"349","P0CX42","YER117W","S+KZC"
"350","P0CX43","YPL220W","S+KZC"
"351","P0CX44","YGL135W","S+KZC"
"352","P0CX45","YFR031C-A","S+KZC"
"353","P0CX46","YIL018W","S+KZC"
"354","P0CX47","YDR025W","S+KZC"
"355","P0CX48","YBR048W","S+KZC"
"356","P0CX49","YOL120C","S+KZC"
"357","P0CX50","YNL301C","S+KZC"
"358","P0CX51","YMR143W","S+KZC"
"359","P0CX52","YDL083C","S+KZC"
"360","P0CX53","YEL054C","S+KZC"
"361","P0CX54","YDR418W","S+KZC"
"362","P0CX55","YDR450W","S+KZC"
"363","P0CX56","YML026C","S+KZC"
"364","P0CX63","YFL002W-A","S+KZC"
"365","P0CX64","YGR161W-B","S+KZC"
"366","P0CX82","YBR084C-A","S+KZC"
"367","P0CX83","YBL027W","S+KZC"
"368","P0CX84","YDL191W","S+KZC"
"369","P0CX85","YDL136W","S+KZC"
"370","P0CY06","YCR040W","S+KZC"
"371","P0CY07","YCL066W","S+KZC"
"372","P0CY08","YCR039C","S+KZC"
"373","P0CY09","YCL067C","S+KZC"
"374","P0CY11","YCR097W","S+KZC"
"375","P0CY13","YCR096C","S+KZC"
"376","P10080","YHL034C","S+KZC"
"377","P10081","YKR059W, YJL138C","S+KZC"
"378","P10127","YGL256W","S+KZC"
"379","P10174","YMR256C","S+KZC"
"380","P10355","YER153C","S+KZC"
"381","P10356","YER152C","S+KZC"
"382","P10363","YIR008C","S+KZC"
"383","P10507","YLR163C","S+KZC"
"384","P10566","YJL133W","S+KZC"
"385","P10591","YAL005C","S+KZC"
"386","P10592","YLL024C","S+KZC"
"387","P10614","YHR007C","S+KZC"
"388","P10622","YDL130W","S+KZC"
"389","P10659","YLR180W","S+KZC"
"390","P10662","YDR347W","S+KZC"
"391","P10663","YPR166C","S+KZC"
"392","P10664","YBR031W","S+KZC"
"393","P10823","YER020W","S+KZC"
"394","P10834","YGR222W","S+KZC"
"395","P10849","YDL044C","S+KZC"
"396","P10862","YCR066W","S+KZC"
"397","P10863","YER011W","S+KZC"
"398","P10869","YER052C","S+KZC"
"399","P10870","YDL194W","S+KZC"
"400","P10961","YGL073W","S+KZC"
"401","P10962","YAL025C","S+KZC"
"402","P10963","YKR097W","S+KZC"
"403","P10964","YOR341W","S+KZC"
"404","P11075","YDR170C","S+KZC"
"405","P11076","YDL192W","S+KZC"
"406","P11154","YGL062W","S+KZC"
"407","P11325","YLR382C","S+KZC"
"408","P11353","YDR044W","S+KZC"
"409","P11412","YNL241C","S+KZC"
"410","P11433","YAL041W","S+KZC"
"411","P11484","YDL229W","S+KZC"
"412","P11491","YDR481C","S+KZC"
"413","P11632","YPR052C","S+KZC"
"414","P11633","YBR089C-A","S+KZC"
"415","P11655","YNR026C","S+KZC"
"416","P11709","YCL029C","S+KZC"
"417","P11710","YCL027W","S+KZC"
"418","P11745","YMR235C","S+KZC"
"419","P11746","YMR043W","S+KZC"
"420","P11747","YML098W","S+KZC"
"421","P11792","YHR205W","S+KZC"
"422","P11914","YHR024C","S+KZC"
"423","P11927","YNL188W","S+KZC"
"424","P11938","YNL216W","S+KZC"
"425","P11972","YLR452C","S+KZC"
"426","P11978","YDR227W","S+KZC"
"427","P11986","YJL153C","S+KZC"
"428","P12383","YGL013C","S+KZC"
"429","P12385","YBR143C","S+KZC"
"430","P12611","YOR043W","S+KZC"
"431","P12612","YDR212W","S+KZC"
"432","P12630","YIL015W","S+KZC"
"433","P12683","YML075C","S+KZC"
"434","P12685","YJL129C","S+KZC"
"435","P12686","YGR084C","S+KZC"
"436","P12687","YNL005C","S+KZC"
"437","P12688","YKL126W","S+KZC"
"438","P12689","YOR346W","S+KZC"
"439","P12695","YNL071W","S+KZC"
"440","P12709","YBR196C","S+KZC"
"441","P12753","YNL250W","S+KZC"
"442","P12754","YGR083C","S+KZC"
"443","P12866","YKL209C","S+KZC"
"444","P12868","YMR231W","S+KZC"
"445","P12887","YML021C","S+KZC"
"446","P12904","YGL115W","S+KZC"
"447","P12945","YDL040C","S+KZC"
"448","P12954","YJL092W","S+KZC"
"449","P12962","YOR276W","S+KZC"
"450","P13045","YDR009W","S+KZC"
"451","P13090","YML116W","S+KZC"
"452","P13099","YLR234W","S+KZC"
"453","P13130","YHR139C","S+KZC"
"454","P13134","YNL238W","S+KZC"
"455","P13181","YLR081W","S+KZC"
"456","P13185","YDR122W","S+KZC"
"457","P13186","YLR096W","S+KZC"
"458","P13188","YOR168W","S+KZC"
"459","P13259","YGR202C","S+KZC"
"460","P13298","YML106W","S+KZC"
"461","P13365","YAL040C","S+KZC"
"462","P13382","YNL102W","S+KZC"
"463","P13393","YER148W","S+KZC"
"464","P13433","YFL036W","S+KZC"
"465","P13434","YBL021C","S+KZC"
"466","P13483","YML113W","S+KZC"
"467","P13517","YIL034C","S+KZC"
"468","P13574","YHR084W","S+KZC"
"469","P13586","YGL167C","S+KZC"
"470","P13587","YDR040C","S+KZC"
"471","P13663","YDR158W","S+KZC"
"472","P13711","YGL205W","S+KZC"
"473","P13712","YBR195C","S+KZC"
"474","P13856","YGR152C","S+KZC"
"475","P13902","YOL108C","S+KZC"
"476","P14020","YPR183W","S+KZC"
"477","P14063","YKL138C","S+KZC"
"478","P14065","YOR120W","S+KZC"
"479","P14120","YGL030W","S+KZC"
"480","P14126","YOR063W","S+KZC"
"481","P14127","YDR447C","S+KZC"
"482","P14164","YKL112W","S+KZC"
"483","P14180","YBR038W","S+KZC"
"484","P14242","YNL082W","S+KZC"
"485","P14284","YPL167C","S+KZC"
"486","P14291","YLR263W","S+KZC"
"487","P14306","YLR178C","S+KZC"
"488","P14359","YJL151C","S+KZC"
"489","P14540","YKL060C","S+KZC"
"490","P14680","YJL141C","S+KZC"
"491","P14681","YGR040W","S+KZC"
"492","P14682","YDR054C","S+KZC"
"493","P14693","YHR083W","S+KZC"
"494","P14724","YFR036W","S+KZC"
"495","P14736","YER162C","S+KZC"
"496","P14737","YDR217C","S+KZC"
"497","P14741","YKR026C","S+KZC"
"498","P14742","YKL104C","S+KZC"
"499","P14743","YLR195C","S+KZC"
"500","P14747","YML057W","S+KZC"
"501","P14772","YLL015W","S+KZC"
"502","P14832","YDR155C","S+KZC"
"503","P14843","YDR035W","S+KZC"
"504","P14904","YKL103C","S+KZC"
"505","P14905","YDR197W","S+KZC"
"506","P14906","YOR254C","S+KZC"
"507","P14907","YJL041W","S+KZC"
"508","P14908","YMR228W","S+KZC"
"509","P14922","YBR112C","S+KZC"
"510","P15019","YLR354C","S+KZC"
"511","P15108","YMR186W","S+KZC"
"512","P15179","YPL104W","S+KZC"
"513","P15180","YDR037W","S+KZC"
"514","P15202","YDR256C","S+KZC"
"515","P15274","YML035C","S+KZC"
"516","P15303","YPR181C","S+KZC"
"517","P15315","YGL166W","S+KZC"
"518","P15365","YJR152W","S+KZC"
"519","P15367","YIR022W","S+KZC"
"520","P15380","YOR348C","S+KZC"
"521","P15424","YDR194C","S+KZC"
"522","P15436","YDL102W","S+KZC"
"523","P15442","YDR283C","S+KZC"
"524","P15454","YDR454C","S+KZC"
"525","P15496","YPL117C","S+KZC"
"526","P15565","YDR120C","S+KZC"
"527","P15624","YLR060W","S+KZC"
"528","P15625","YFL022C","S+KZC"
"529","P15646","YDL014W","S+KZC"
"530","P15700","YKL024C","S+KZC"
"531","P15703","YGR282C","S+KZC"
"532","P15705","YOR027W","S+KZC"
"533","P15731","YBR082C","S+KZC"
"534","P15732","YDR059C","S+KZC"
"535","P15790","YIL035C","S+KZC"
"536","P15801","YOR330C","S+KZC"
"537","P15807","YBR213W","S+KZC"
"538","P15873","YBR088C","S+KZC"
"539","P15891","YCR088W","S+KZC"
"540","P15938","YKR086W","S+KZC"
"541","P15992","YBR072W","S+KZC"
"542","P16120","YCR053W","S+KZC"
"543","P16140","YBR127C","S+KZC"
"544","P16151","YDR414C","S+KZC"
"545","P16370","YIL021W","S+KZC"
"546","P16387","YER178W","S+KZC"
"547","P16451","YGR193C","S+KZC"
"548","P16467","YLR134W","S+KZC"
"549","P16474","YJL034W","S+KZC"
"550","P16522","YHR166C","S+KZC"
"551","P16523","YNL210W","S+KZC"
"552","P16547","YIL136W","S+KZC"
"553","P16550","YCL050C","S+KZC"
"554","P16603","YHR042W","S+KZC"
"555","P16622","YOR176W","S+KZC"
"556","P16639","YGL017W","S+KZC"
"557","P16649","YCR084C","S+KZC"
"558","P16658","YLR105C","S+KZC"
"559","P16661","YBR110W","S+KZC"
"560","P16664","YDR137W","S+KZC"
"561","P16861","YGR240C","S+KZC"
"562","P16862","YMR205C","S+KZC"
"563","P16892","YBL016W","S+KZC"
"564","P16965","YGR008C","S+KZC"
"565","P17064","YER056C","S+KZC"
"566","P17065","YNL272C","S+KZC"
"567","P17076","YHL033C","S+KZC"
"568","P17106","YJR060W","S+KZC"
"569","P17119","YPR141C","S+KZC"
"570","P17121","YDR389W","S+KZC"
"571","P17157","YPL031C","S+KZC"
"572","P17214","YLR233C","S+KZC"
"573","P17255","YDL185W","S+KZC"
"574","P17260","YNL322C","S+KZC"
"575","P17261","YCR075C","S+KZC"
"576","P17423","YHR025W","S+KZC"
"577","P17442","YGR233C","S+KZC"
"578","P17505","YKL085W","S+KZC"
"579","P17536","YNL079C","S+KZC"
"580","P17555","YNL138W","S+KZC"
"581","P17558","YOR158W","S+KZC"
"582","P17629","YDR138W","S+KZC"
"583","P17649","YGR019W","S+KZC"
"584","P17695","YDR513W","S+KZC"
"585","P17709","YCL040W","S+KZC"
"586","P17883","YPR189W","S+KZC"
"587","P17890","YNL151C","S+KZC"
"588","P17891","YGR167W","S+KZC"
"589","P17898","YNL130C","S+KZC"
"590","P17967","YCL043C","S+KZC"
"591","P18238","YBR085W","S+KZC"
"592","P18408","YPR167C","S+KZC"
"593","P18409","YAL010C","S+KZC"
"594","P18410","YAL009W","S+KZC"
"595","P18411","YAL008W","S+KZC"
"596","P18412","YBR083W","S+KZC"
"597","P18414","YBL040C","S+KZC"
"598","P18480","YBR289W","S+KZC"
"599","P18494","YER040W","S+KZC"
"600","P18496","YLR393W","S+KZC"
"601","P18544","YOL140W","S+KZC"
"602","P18562","YHR128W","S+KZC"
"603","P18634","YLR392C","S+KZC"
"604","P18759","YBR080C","S+KZC"
"605","P18851","YOR212W","S+KZC"
"606","P18852","YJR086W","S+KZC"
"607","P18888","YHL025W","S+KZC"
"608","P18898","YGL155W","S+KZC"
"609","P18900","YBR003W","S+KZC"
"610","P18961","YMR104C","S+KZC"
"611","P18962","YHR028C","S+KZC"
"612","P18963","YBR140C","S+KZC"
"613","P19073","YLR229C","S+KZC"
"614","P19097","YPL231W","S+KZC"
"615","P19145","YKR039W","S+KZC"
"616","P19146","YDL137W","S+KZC"
"617","P19158","YOL081W","S+KZC"
"618","P19211","YJR047C","S+KZC"
"619","P19262","YDR148C","S+KZC"
"620","P19263","YLR071C","S+KZC"
"621","P19358","YDR502C","S+KZC"
"622","P19414","YLR304C","S+KZC"
"623","P19454","YOR061W","S+KZC"
"624","P19516","YPL132W","S+KZC"
"625","P19524","YOR326W","S+KZC"
"626","P19541","YPL133C","S+KZC"
"627","P19657","YPL036W","S+KZC"
"628","P19658","YJL085W","S+KZC"
"629","P19659","YOL051W","S+KZC"
"630","P19735","YBR055C","S+KZC"
"631","P19736","YDL030W","S+KZC"
"632","P19807","YGL077C","S+KZC"
"633","P19812","YGR184C","S+KZC"
"634","P19880","YML007W","S+KZC"
"635","P19881","YDL236W","S+KZC"
"636","P19882","YLR259C","S+KZC"
"637","P19955","YFR049W","S+KZC"
"638","P19956","YMR225C","S+KZC"
"639","P20048","YMR013C","S+KZC"
"640","P20049","YBR166C","S+KZC"
"641","P20050","YIL072W","S+KZC"
"642","P20051","YLR420W","S+KZC"
"643","P20052","YOL001W","S+KZC"
"644","P20053","YPR178W","S+KZC"
"645","P20081","YNL135C","S+KZC"
"646","P20084","YMR286W","S+KZC"
"647","P20095","YNR011C","S+KZC"
"648","P20107","YMR243C","S+KZC"
"649","P20133","YPR176C","S+KZC"
"650","P20134","YOR140W","S+KZC"
"651","P20424","YPR088C","S+KZC"
"652","P20433","YJL140W","S+KZC"
"653","P20434","YBR154C","S+KZC"
"654","P20435","YPR187W","S+KZC"
"655","P20436","YOR224C","S+KZC"
"656","P20437","YMR199W","S+KZC"
"657","P20438","YPL256C","S+KZC"
"658","P20447","YGL078C","S+KZC"
"659","P20448","YJL033W","S+KZC"
"660","P20449","YOR046C","S+KZC"
"661","P20457","YKL045W","S+KZC"
"662","P20459","YJR007W","S+KZC"
"663","P20484","YKL021C","S+KZC"
"664","P20485","YLR133W","S+KZC"
"665","P20486","YBR135W","S+KZC"
"666","P20604","YDL047W","S+KZC"
"667","P20606","YPL218W","S+KZC"
"668","P20676","YOR098C","S+KZC"
"669","P20795","YLR396C","S+KZC"
"670","P20840","YJR004C","S+KZC"
"671","P20967","YIL125W","S+KZC"
"672","P21147","YGL055W","S+KZC"
"673","P21182","YOL052C","S+KZC"
"674","P21190","YJR094C","S+KZC"
"675","P21192","YLR131C","S+KZC"
"676","P21242","YOR362C","S+KZC"
"677","P21243","YGL011C","S+KZC"
"678","P21264","YOR128C","S+KZC"
"679","P21268","YJL157C","S+KZC"
"680","P21269","YER168C","S+KZC"
"681","P21304","YLR196W","S+KZC"
"682","P21306","YPL271W","S+KZC"
"683","P21339","YOR188W","S+KZC"
"684","P21372","YBR237W","S+KZC"
"685","P21373","YJR049C","S+KZC"
"686","P21374","YJR050W","S+KZC"
