Orthogroup	S.cerevisiae	C.glabrata	K.marxianus	Z.rouxii
OG0000029	P22146, Q06135	tr|F2Z613|F2Z613_CANGA, tr|Q6FTN7|Q6FTN7_CANGA, tr|Q6FTR7|Q6FTR7_CANGA	KMXK_0E02010, KMXK_0G02050, KMXK_0G02060	tr|C5DNY1|C5DNY1_ZYGRC, tr|C5DVI3|C5DVI3_ZYGRC
OG0000030	P38124	sp|Q6FRT5|FLR2_CANGA, sp|Q6FRT6|FLR1_CANGA		tr|C5DP26|C5DP26_ZYGRC, tr|C5DSG9|C5DSG9_ZYGRC, tr|C5DXF5|C5DXF5_ZYGRC, tr|C5E4Z2|C5E4Z2_ZYGRC, tr|C5E4Z3|C5E4Z3_ZYGRC, tr|C5E4Z4|C5E4Z4_ZYGRC, tr|C5E4Z5|C5E4Z5_ZYGRC
OG0000031	P17064, P40039, Q12119	tr|Q6FLU1|Q6FLU1_CANGA, tr|Q6FPL2|Q6FPL2_CANGA, tr|Q6FX53|Q6FX53_CANGA	KMXK_0G04280, KMXK_0H01860	tr|C5DTF6|C5DTF6_ZYGRC, tr|C5DWR0|C5DWR0_ZYGRC
OG0000032	P35995, Q06149, Q12172, Q12340	tr|Q6FLC0|Q6FLC0_CANGA, tr|Q6FLC8|Q6FLC8_CANGA	KMXK_0B02950	tr|C5DP25|C5DP25_ZYGRC, tr|C5DWE1|C5DWE1_ZYGRC, tr|C5DWE2|C5DWE2_ZYGRC
OG0000033	P39720, P52960	tr|Q6FIR7|Q6FIR7_CANGA, tr|Q6FP27|Q6FP27_CANGA	KMXK_0C05960, KMXK_0C05970, KMXK_0C05980, KMXK_0G02000, KMXK_0G02010	tr|C5DSJ9|C5DSJ9_ZYGRC
OG0000034	P06169, P16467, Q07471	sp|Q6FJA3|PDC1_CANGA, tr|Q6FL20|Q6FL20_CANGA, tr|Q6FTF3|Q6FTF3_CANGA	KMXK_0F05000	tr|C5DQ40|C5DQ40_ZYGRC, tr|C5DX22|C5DX22_ZYGRC
OG0000035	P05316, P38196, Q04895	tr|Q6FUC7|Q6FUC7_CANGA, tr|Q6FXN2|Q6FXN2_CANGA	KMXK_0A01860, KMXK_0H00810	tr|C5DPK5|C5DPK5_ZYGRC, tr|C5E141|C5E141_ZYGRC
OG0000036	P04817, P32487, P38971	tr|Q6FNY0|Q6FNY0_CANGA, tr|Q6FNY1|Q6FNY1_CANGA	KMXK_0A07470, KMXK_0A07480	tr|C5DYY0|C5DYY0_ZYGRC, tr|C5DYY1|C5DYY1_ZYGRC
OG0000037	P23291, P39962	tr|Q6FN69|Q6FN69_CANGA, tr|Q6FP80|Q6FP80_CANGA, tr|Q6FT15|Q6FT15_CANGA	KMXK_0F01420, KMXK_0H04080	tr|C5DZL5|C5DZL5_ZYGRC, tr|C5E432|C5E432_ZYGRC
OG0000038	P05986, P06244, P06245	tr|Q6FJ83|Q6FJ83_CANGA, tr|Q6FSP1|Q6FSP1_CANGA	KMXK_0A01970, KMXK_0E02510	tr|C5E012|C5E012_ZYGRC, tr|C5E167|C5E167_ZYGRC
OG0000039	P0CS90, Q05931	tr|Q6FQV2|Q6FQV2_CANGA, tr|Q6FR25|Q6FR25_CANGA, tr|Q6FT70|Q6FT70_CANGA	KMXK_0A01280, KMXK_0E02770	tr|C5DRD2|C5DRD2_ZYGRC, tr|C5DXH2|C5DXH2_ZYGRC
OG0000040	P21954, P41939	tr|Q6FS41|Q6FS41_CANGA, tr|Q6FWE7|Q6FWE7_CANGA, tr|Q6FXL1|Q6FXL1_CANGA	KMXK_0C01510, KMXK_0D04930	tr|C5DRZ2|C5DRZ2_ZYGRC, tr|C5E4D4|C5E4D4_ZYGRC
OG0000041	P15380, P53388	tr|Q6FV11|Q6FV11_CANGA, tr|Q6FXZ9|Q6FXZ9_CANGA	KMXK_0C00190, KMXK_0F03530, KMXK_0F05010	tr|C5DUP3|C5DUP3_ZYGRC, tr|C5DWV5|C5DWV5_ZYGRC
OG0000042	P16861, P16862	tr|Q6FKK9|Q6FKK9_CANGA, tr|Q6FQJ7|Q6FQJ7_CANGA, tr|Q6FTX6|Q6FTX6_CANGA	KMXK_0A05230, KMXK_0F01020	tr|C5DRF9|C5DRF9_ZYGRC, tr|C5DVS9|C5DVS9_ZYGRC
OG0000043	P31382, P42934	tr|Q6FNC7|Q6FNC7_CANGA, tr|Q6FNV6|Q6FNV6_CANGA, tr|Q6FUT7|Q6FUT7_CANGA	KMXK_0C02330, KMXK_0D02810	tr|C5DVB0|C5DVB0_ZYGRC, tr|C5E0C9|C5E0C9_ZYGRC
OG0000044	P53832, P54867, Q12215	tr|Q6FUQ7|Q6FUQ7_CANGA	KMXK_0E04120, KMXK_0G02910	tr|C5DRA5|C5DRA5_ZYGRC, tr|C5DT37|C5DT37_ZYGRC
OG0000045	P38778, P38925	tr|Q6FPW5|Q6FPW5_CANGA, tr|Q6FVG9|Q6FVG9_CANGA	KMXK_0B07060, KMXK_0C05830	tr|C5DSS2|C5DSS2_ZYGRC, tr|C5E0W9|C5E0W9_ZYGRC
OG0000046	P22082, P32597	tr|Q6FJN8|Q6FJN8_CANGA, tr|Q6FSQ1|Q6FSQ1_CANGA	KMXK_0E03000, KMXK_0F00280	tr|C5DP88|C5DP88_ZYGRC, tr|C5E0V0|C5E0V0_ZYGRC
OG0000047	P32563, P37296	tr|Q6FU51|Q6FU51_CANGA, tr|Q6FWT8|Q6FWT8_CANGA	KMXK_0D04410, KMXK_0F03780	tr|C5DY08|C5DY08_ZYGRC, tr|C5E3Z6|C5E3Z6_ZYGRC
OG0000048	P32639, P53327	tr|Q6FKF7|Q6FKF7_CANGA, tr|Q6FTQ7|Q6FTQ7_CANGA	KMXK_0A03460, KMXK_0C02860	tr|C5DRW4|C5DRW4_ZYGRC, tr|C5DVK1|C5DVK1_ZYGRC
OG0000049	P39955, P40328	tr|Q6FPM1|Q6FPM1_CANGA, tr|Q6FRW5|Q6FRW5_CANGA	KMXK_0A00810, KMXK_0B05330	tr|C5DV52|C5DV52_ZYGRC, tr|C5DWN9|C5DWN9_ZYGRC
OG0000050	P28319	tr|Q6FPR9|Q6FPR9_CANGA, tr|Q6FTZ6|Q6FTZ6_CANGA, tr|Q6FTZ7|Q6FTZ7_CANGA	KMXK_0E02190	tr|C5E1B6|C5E1B6_ZYGRC, tr|C5E1B8|C5E1B8_ZYGRC, tr|C5E1B9|C5E1B9_ZYGRC
OG0000051	P07245, P09440	tr|Q6FK26|Q6FK26_CANGA, tr|Q6FND0|Q6FND0_CANGA	KMXK_0F04890, KMXK_0H03560	tr|C5E0C3|C5E0C3_ZYGRC, tr|C5E0I2|C5E0I2_ZYGRC
OG0000052	P27614	tr|Q6FX49|Q6FX49_CANGA	KMXK_0A04820, KMXK_0E00890, KMXK_0F05590, KMXK_0H00900	tr|C5DYH0|C5DYH0_ZYGRC, tr|C5E182|C5E182_ZYGRC
OG0000053	P14772, P39109	tr|Q6FL41|Q6FL41_CANGA, tr|Q6FVB0|Q6FVB0_CANGA	KMXK_0A01620, KMXK_0D02040	tr|C5DVF0|C5DVF0_ZYGRC, tr|C5E1M4|C5E1M4_ZYGRC
OG0000054	P03965, P07259	tr|Q6FL72|Q6FL72_CANGA, tr|Q6FWK7|Q6FWK7_CANGA	KMXK_0F05420, KMXK_0G01880	tr|C5DV24|C5DV24_ZYGRC, tr|C5E152|C5E152_ZYGRC
OG0000055	P39005, P50112	sp|O74683|KRE9_CANGA, sp|O74684|KNH1_CANGA	KMXK_0A04840, KMXK_0F01150	tr|C5DRC6|C5DRC6_ZYGRC, tr|C5E185|C5E185_ZYGRC
OG0000056	P38144, Q08773	tr|Q6FQ29|Q6FQ29_CANGA, tr|Q6FWZ6|Q6FWZ6_CANGA	KMXK_0B04220, KMXK_0F02910	tr|C5DYE2|C5DYE2_ZYGRC, tr|C5E1K8|C5E1K8_ZYGRC
OG0000057	P14681, P16892	tr|Q6FMY8|Q6FMY8_CANGA, tr|Q6FPF2|Q6FPF2_CANGA	KMXK_0B00520, KMXK_0C06380	tr|C5DNZ1|C5DNZ1_ZYGRC, tr|C5DU18|C5DU18_ZYGRC
OG0000058	P02293, P02294	sp|Q6FM30|H2B2_CANGA, sp|Q6FWM8|H2B1_CANGA	KMXK_0B01820, KMXK_0F04540	tr|C5DPM0|C5DPM0_ZYGRC, tr|C5DQ95|C5DQ95_ZYGRC
OG0000059	P04911, P04912	sp|Q6FM31|H2A2_CANGA, sp|Q6FWM7|H2A1_CANGA	KMXK_0B01810, KMXK_0F04530	tr|C5DPL9|C5DPL9_ZYGRC, tr|C5DQ96|C5DQ96_ZYGRC
OG0000060	P37291, P37292	sp|Q6FQ44|GLYM_CANGA, sp|Q6FUP6|GLYC_CANGA	KMXK_0B03200, KMXK_0E00560	tr|C5DRK3|C5DRK3_ZYGRC, tr|C5DX90|C5DX90_ZYGRC
OG0000061	P32334, P41809	tr|Q6FTU1|Q6FTU1_CANGA, tr|Q6FUJ4|Q6FUJ4_CANGA	KMXK_0C06660, KMXK_0D00620	tr|C5DW73|C5DW73_ZYGRC, tr|C5E0B1|C5E0B1_ZYGRC
OG0000062	P48570, Q12122	tr|Q6FNT3|Q6FNT3_CANGA, tr|Q6FP59|Q6FP59_CANGA	KMXK_0A00680, KMXK_0F00710	tr|C5DP09|C5DP09_ZYGRC, tr|C5DTL1|C5DTL1_ZYGRC
OG0000063	P34244, Q12263	tr|Q6FMF3|Q6FMF3_CANGA, tr|Q6FMS0|Q6FMS0_CANGA	KMXK_0A07790, KMXK_0B01700	tr|C5DZ13|C5DZ13_ZYGRC, tr|C5DZD1|C5DZD1_ZYGRC
OG0000064	Q03010, Q12206, Q12363	tr|Q6FJY6|Q6FJY6_CANGA, tr|Q6FPG7|Q6FPG7_CANGA, tr|Q6FPH4|Q6FPH4_CANGA	KMXK_0B07990	tr|C5DXP8|C5DXP8_ZYGRC
OG0000065	P00358, P00359, P00360	sp|Q6FPW3|G3P1_CANGA, sp|Q6FSM4|G3P2_CANGA	KMXK_0D02420, KMXK_0G00680	tr|C5E0E4|C5E0E4_ZYGRC
OG0000066	P38993, P43561	sp|Q96WT3|FET3_CANGA, tr|Q6FLX4|Q6FLX4_CANGA	KMXK_0F03820, KMXK_0H00430	tr|C5DX65|C5DX65_ZYGRC, tr|C5E3Z0|C5E3Z0_ZYGRC
OG0000067	P06208, Q12166	tr|Q6FSZ1|Q6FSZ1_CANGA, tr|Q6FT78|Q6FT78_CANGA	KMXK_0E04070, KMXK_0F03480	tr|C5DRM6|C5DRM6_ZYGRC, tr|C5DT42|C5DT42_ZYGRC
OG0000068	P33310, P33311	tr|Q6FVP0|Q6FVP0_CANGA, tr|Q6FXW2|Q6FXW2_CANGA	KMXK_0A07640, KMXK_0G00290	tr|C5DWX5|C5DWX5_ZYGRC, tr|C5DYZ9|C5DYZ9_ZYGRC
OG0000069	P53252, Q12230	tr|Q6FKT0|Q6FKT0_CANGA, tr|Q6FTF4|Q6FTF4_CANGA, tr|Q6FTK8|Q6FTK8_CANGA	KMXK_0B03580	tr|C5DUL5|C5DUL5_ZYGRC, tr|C5DXD8|C5DXD8_ZYGRC
OG0000070	Q03516, Q12252	tr|Q6FQA3|Q6FQA3_CANGA, tr|Q6FSA1|Q6FSA1_CANGA	KMXK_0B00760, KMXK_0C03930	tr|C5DR65|C5DR65_ZYGRC, tr|C5E0L1|C5E0L1_ZYGRC
OG0000071	P15938, P24384	tr|Q6FRD1|Q6FRD1_CANGA, tr|Q6FTI2|Q6FTI2_CANGA	KMXK_0A04290, KMXK_0H03150	tr|C5DNV5|C5DNV5_ZYGRC, tr|C5DWI7|C5DWI7_ZYGRC
OG0000072	P39925, P40341	tr|Q6FPS4|Q6FPS4_CANGA, tr|Q6FRD6|Q6FRD6_CANGA	KMXK_0B01630, KMXK_0H03100	tr|C5DWJ2|C5DWJ2_ZYGRC, tr|C5DZC4|C5DZC4_ZYGRC
OG0000073	P12383, P33200, P39961	sp|Q6FXU7|PDR1_CANGA, tr|Q6FTS5|Q6FTS5_CANGA	KMXK_0A03770	tr|C5E070|C5E070_ZYGRC, tr|C5E1N9|C5E1N9_ZYGRC
OG0000074	P00635, P24031, P35842, P38693, P52290		KMXK_0A00110, KMXK_0B08440, KMXK_0E00110	
OG0000075	P52910, Q01574	sp|Q6FLU2|ACS1_CANGA, sp|Q6FXI2|ACS2_CANGA	KMXK_0C06020, KMXK_0E05360	tr|C5DSJ7|C5DSJ7_ZYGRC, tr|C5DYN3|C5DYN3_ZYGRC
OG0000076	Q02895	tr|Q6FV28|Q6FV28_CANGA, tr|Q6FV29|Q6FV29_CANGA, tr|Q6FV30|Q6FV30_CANGA	KMXK_0D01720	tr|C5DP45|C5DP45_ZYGRC, tr|C5DV02|C5DV02_ZYGRC, tr|C5DXG4|C5DXG4_ZYGRC
OG0000077	P19414, P39533	tr|Q6FUL9|Q6FUL9_CANGA, tr|Q6FVR0|Q6FVR0_CANGA	KMXK_0A07020, KMXK_0C03060	tr|C5DUM4|C5DUM4_ZYGRC, tr|C5E1M3|C5E1M3_ZYGRC
OG0000078	P21524, P21672	tr|Q6FPK3|Q6FPK3_CANGA	KMXK_0E00540, KMXK_0H01680	tr|C5DTH2|C5DTH2_ZYGRC, tr|C5DY80|C5DY80_ZYGRC
OG0000079	P05738, P51401	tr|Q6FSQ2|Q6FSQ2_CANGA, tr|Q6FV39|Q6FV39_CANGA	KMXK_0F00270, KMXK_0G01050	tr|C5DXV2|C5DXV2_ZYGRC
OG0000080	P32486, P33336	tr|Q6FQ11|Q6FQ11_CANGA, tr|Q6FUB1|Q6FUB1_CANGA	KMXK_0B05640	tr|C5DU13|C5DU13_ZYGRC, tr|C5DU14|C5DU14_ZYGRC
OG0000081	P33413	tr|Q6FN32|Q6FN32_CANGA	KMXK_0B00150, KMXK_0C01100, KMXK_0C03000, KMXK_0D00230	tr|C5DWV0|C5DWV0_ZYGRC
OG0000082	P40579, P40580	tr|Q6FU25|Q6FU25_CANGA, tr|Q6FU26|Q6FU26_CANGA	KMXK_0D03880	tr|C5DP49|C5DP49_ZYGRC, tr|C5DUQ4|C5DUQ4_ZYGRC
OG0000083	P00729, P38109	tr|Q6FIK7|Q6FIK7_CANGA	KMXK_0A03420, KMXK_0F04300	tr|C5DR57|C5DR57_ZYGRC, tr|C5DVJ7|C5DVJ7_ZYGRC
OG0000084	P30624, P39002, P47912	tr|Q6FMK5|Q6FMK5_CANGA, tr|Q6FQ17|Q6FQ17_CANGA	KMXK_0C00940	tr|C5DYF9|C5DYF9_ZYGRC
OG0000085	P40106, P41277	tr|Q6FIR1|Q6FIR1_CANGA, tr|Q6FIU6|Q6FIU6_CANGA, tr|Q6FQI9|Q6FQI9_CANGA	KMXK_0H01830	tr|C5DTF8|C5DTF8_ZYGRC
