Ref_1	Ref_2	Ref_3	Ref_4	HiT_1	HiT_2	HiT_3	LpH_1	LpH_2	LpH_3	LpH_4
YALI1_C24891g	0.000275281564604475	0.000322772645604219	0.000270761486565837	0.000296360379877946	9.93470836588111e-05	0.000115545862053772	0.000153486311573478	7.90736708134358e-05	0.00027059989958711	0.00030160420651784	0.000134727368640223
YALI1_F26367g	0	0	0	0	0	0	0	2.75954735306296e-05	1.26681271673051e-05	2.63137869156424e-05	3.40259982492178e-05
YALI1_D03412g	6.12256111429308e-05	5.19609420266086e-05	2.7242515161386e-05	4.56788427461645e-05	1.99915022416348e-05	0	3.43176426286492e-06	4.77357183251617e-05	6.7733615418736e-05	4.55186072048813e-05	3.42455208185675e-05
YALI1_B14492g	7.50937268221901e-06	1.11528431451771e-05	1.00239521662073e-05	6.53630654528037e-06	8.58191095239318e-06	3.32707065150986e-06	4.41954210707233e-06	0	0	0	0
YALI1_D12050g	7.07326936185412e-05	4.66895421108657e-05	5.7699985528153e-05	3.59141625939047e-05	5.92791501251953e-05	6.26770514660212e-05	5.0879635375519e-05	1.75471217558895e-05	1.61105530279858e-05	1.11547574968484e-05	5.76962579008475e-06
YALI1_F24864g	7.0953044689004e-06	1.05378732895085e-05	1.57853826168779e-05	6.17589338063407e-06	1.94608866681185e-05	1.57180767695162e-05	1.11355939445486e-05	0	0	0	0
YALI1_A09064g	2.55008783455201e-05	2.16420814199118e-05	9.7257347793048e-06	3.48801655902414e-05	3.33063799342399e-05	1.6140443515722e-05	2.5728351652112e-05	0	6.63800137557445e-06	6.89411115928058e-06	0
YALI1_E14988g	0.000468336168353068	0.000512523837262457	0.000383871804546803	0.000407649066325619	0.000473253380338336	0.000502366064023109	0.000386853425995682	0.000158987557727605	0.000291942748810167	0.000233235838570466	0.000386040416500216
YALI1_E31865g	2.15681130162597e-05	1.28130959315614e-05	1.53548721818721e-05	3.75466245299912e-06	1.97188908474307e-05	1.91117524356618e-05	1.01549024323866e-05	0	0	0	0
YALI1_C24262g	2.14462592704051e-05	1.06172546325556e-05	1.27234345763159e-05	9.33362417694698e-06	9.80374234222542e-06	1.26691842888003e-05	8.41460841855014e-06	0	0	0	0
YALI1_C00841g	2.45430251564335e-05	1.6200466120365e-05	2.18409819828353e-05	4.98463808415401e-05	2.24387378608694e-05	2.89971416265213e-05	2.56790636221272e-05	0	0	0	0
YALI1_C29762g	2.6179226833529e-05	2.28712462875742e-05	2.80934983936078e-05	2.74783410353364e-05	1.90069308939129e-05	1.91039991892376e-05	1.75221845892162e-05	1.29889039204515e-05	1.26270135700075e-05	2.11284230234422e-05	8.29047243346052e-06
YALI1_C30022g	0	0	0	1.70842965803476e-06	0	0	0	5.8429919393965e-06	5.36463089453095e-06	3.7144073567582e-06	1.15273185382045e-05
YALI1_F29356g	2.00633609453579e-06	0	0	0	0	1.77783743587551e-06	3.14880695577881e-06	5.972698948622e-06	1.27953440891755e-05	7.59372497671286e-06	9.8193419894677e-06
YALI1_E23068g	0	0	0	0	0	0	0	6.44996941255298e-06	3.94794374049576e-06	6.15039711298832e-06	6.36239556303866e-06
YALI1_E17484g	0.000112381220453143	0.00011127162256356	0	0	0.000125578199607322	0.000121711686563951	0.000107784490729718	6.19536535679431e-05	0	0	6.11124836976082e-05
YALI1_F08683g	9.85117964756499e-06	0	1.46110375433039e-05	5.71644110491216e-06	0	0	0	0	0	0	0
YALI1_F34351g	0	0	0	0	0	0	0	7.59431882445755e-06	1.39451561156221e-05	1.08623949011649e-05	3.74560383953083e-06
YALI1_D09308g	0	0	0	0	0	0	0	1.39166827719123e-05	4.25911172004223e-06	1.7693753270863e-05	9.15182021875512e-06
YALI1_C12121g	0	0	0	0	0	0	0	2.59778078409031e-05	1.78882692241774e-05	6.19281364480204e-06	1.28125483062572e-05
YALI1_C12941g	1.6222170473768e-05	9.63720035878125e-06	8.6617227692612e-06	1.12960784910743e-05	2.3730084028361e-05	2.58743725282805e-05	1.78217091121088e-05	3.86336629428815e-05	2.66030670513407e-05	4.91190689091991e-05	4.12848778757175e-05
YALI1_E09924g	2.59999170606967e-05	2.94208073575318e-05	1.65267704501559e-05	2.58638196370977e-05	1.6979084095635e-05	0	0	1.47427872286925e-05	5.41432284410847e-05	4.21741516319199e-05	1.81782730372533e-05
YALI1_A20063g	3.93827391622199e-05	3.01888204010015e-05	3.84385689157977e-05	3.20679336681853e-05	3.48446263970663e-05	4.05261256467045e-05	3.38949889309469e-05	2.14308220641988e-05	2.43060150770281e-05	2.28396272977639e-05	1.74092858512062e-05
YALI1_E02626g	1.06231004408443e-05	7.01214205209829e-06	9.45355936570485e-06	3.08218559574555e-06	9.71228952186884e-06	1.25510015995391e-05	1.11148185827118e-05	0	0	0	0
YALI1_F26793g	0	0	1.27378276018547e-06	0	0	1.26835159452356e-06	1.12321696084719e-06	2.84071051050599e-06	7.82443148568844e-06	8.12631654747779e-06	2.80214103228852e-06
YALI1_D08884g	4.42865253933866e-05	4.69813517490586e-05	5.34861381001879e-05	3.8547867850791e-05	5.49499758281735e-05	6.72733685735294e-05	5.46108086363904e-05	3.76678213693094e-05	1.72919935833714e-05	2.09523528315802e-05	3.4060024247467e-05
YALI1_E30462g	3.8893318553911e-06	3.85093047123431e-06	3.46113922132363e-06	1.01560541761452e-05	1.06675966879543e-05	1.72319079337934e-05	4.57802978509234e-05	1.54376317087334e-05	1.06303239242038e-05	0	7.61401436232496e-06
YALI1_F23157g	4.47640081469541e-06	0	3.98357533020267e-06	1.5585391314336e-05	0	0	0	1.33258802014066e-05	2.446980224062e-05	1.2706952525891e-05	1.7526599098182e-05
YALI1_B14733g	3.99017647953228e-06	1.31692646808854e-06	7.10176288720084e-06	3.47312854797396e-06	0	5.89290194232038e-06	9.39346265644735e-06	0	1.21177250058665e-06	0	0
YALI1_B08461g	6.96511539607653e-06	3.44817260543549e-06	0	0	0	0	0	6.91152685675402e-06	1.26913714373368e-05	1.31810345467346e-05	1.36353725094113e-05
YALI1_E38706g	1.33661545452877e-05	1.76455781217121e-05	3.96487309860548e-06	1.93902755788687e-05	2.85137013192894e-05	3.55317087536247e-05	4.19545264812218e-05	7.07376927123182e-05	5.27689945032462e-05	2.52945909435576e-05	3.48886291907472e-05
YALI1_A06416g	0	0	0	3.62291991078863e-05	1.52215999524026e-05	1.47529317047214e-05	9.14535072858213e-05	0	2.2752623136015e-05	7.87682437277452e-06	0
YALI1_B13828g	1.38843741436054e-06	2.74945730791857e-06	2.47115719093772e-06	0	0	1.23031032504626e-06	0	1.10220399032361e-05	5.05983718606333e-06	3.94129324870356e-06	5.43619459958241e-06
YALI1_E00628g	0	0	0	0	0	0	0	9.57656475490918e-06	5.86169274012591e-06	6.0878507016698e-06	6.29769323527895e-06
YALI1_E13428g	3.20213702449991e-05	2.88229151834715e-05	3.1086551043054e-05	2.78720341603002e-05	2.39530085140569e-05	1.28975016436981e-05	2.05590049244638e-05	5.77727321615175e-06	1.32607312755916e-05	1.1017889306703e-05	5.69883283560518e-06
YALI1_B17927g	9.82398522479739e-06	1.36177831156691e-05	1.74848440994403e-05	1.19713875313016e-05	1.07780272954901e-05	1.21872044517263e-05	1.38762641933234e-05	5.84904058529649e-06	1.79006144755398e-06	3.71825249894946e-06	1.92320859669492e-06
YALI1_F17082g	0	0	0	4.56367811966744e-06	0	0	0	1.04054755163838e-05	1.43303814226835e-05	2.97665628230816e-05	0
YALI1_F02592g	1.10092456231488e-05	8.72043651954683e-06	0	3.83306607730769e-06	6.03919626881868e-06	1.95108377533438e-06	6.91130250618735e-06	0	0	0	0
YALI1_B03644g	6.68569295846485e-05	6.61968165544465e-05	6.4454404755608e-05	6.62760378200628e-05	6.28226111538496e-05	4.44320193611862e-05	4.95490346994469e-05	2.76427260537985e-05	5.58352043298686e-05	3.86596389959266e-05	3.45387187707813e-05
YALI1_B02194g	1.43515610240518e-05	3.55246516060934e-06	1.27715382987216e-05	9.36891198101861e-06	9.84080753066484e-06	3.17927072653731e-06	2.81547389429749e-06	0	0	0	0
YALI1_F16656g	3.39794312481227e-05	3.84502111501247e-05	3.88780651152261e-05	4.85897493917534e-05	5.10371292521735e-05	7.3123226710358e-05	7.0469655413152e-05	5.53938549548668e-05	4.42250475278042e-05	2.98553803592119e-05	4.03873805305932e-05
YALI1_E02162g	2.20696970398937e-05	2.73147393889875e-05	3.43699173838417e-05	9.60495046116055e-06	1.51331022782608e-05	5.37795824352343e-05	4.76257052061544e-05	5.47497403623684e-06	5.02674232074751e-06	2.08827436859604e-05	5.40063809420724e-06
YALI1_E24532g	0	0	3.00006383660024e-06	0	3.08217121593943e-06	8.96181641743287e-06	1.05817811018357e-05	0	0	0	0
YALI1_F10115g	8.43552864635936e-05	8.35224031094374e-05	0.000112602396000396	7.34245101919829e-05	9.64034663652167e-05	0.000112122280955882	8.27436494490764e-05	0	1.9213326203746e-05	3.99092434887242e-05	0
YALI1_F34397g	0	0	0	0	0	0	0	0	3.22211060559716e-05	0	5.76962579008475e-05
YALI1_E36619g	0	0	0	0	0	0	0	0	2.93084637006296e-05	7.60981337708725e-06	2.36163496322961e-05
YALI1_B19747g	0	0	0	0	9.97277238260862e-06	4.83285693775355e-06	0	0	0	0	0
YALI1_E38034g	8.70639424509567e-06	0	0	0	0	0	0	8.63940857094253e-06	3.17284285933421e-05	1.64762931834183e-05	2.55663234551462e-05
YALI1_F34324g	7.63780259730727e-06	3.78119531179546e-06	3.39846265594755e-06	3.32404724209178e-06	6.9829472618668e-06	3.38397226224997e-06	2.99675189151584e-06	1.51580770097825e-05	2.78341949028112e-05	2.89081039354944e-05	7.47613482658869e-06
YALI1_F38756g	5.07756539708629e-06	6.03291836263994e-06	3.61484417336743e-06	3.53569069945343e-06	6.49911009203708e-06	3.5994311703333e-06	2.39066723929916e-06	1.0076998761185e-06	1.85040059747153e-06	0	0
YALI1_C30706g	1.00422960075707e-05	6.62876215154265e-06	1.7873396190539e-05	1.4568355196822e-05	1.8362565021946e-05	1.77971874533147e-05	1.05071300887716e-05	0	6.09946863610986e-06	0	3.27657760918393e-06
YALI1_B19323g	9.82144344336795e-06	7.29335344099227e-06	4.37008005176179e-06	8.54877867694497e-06	0	0	0	2.43646968753619e-06	0	2.3233065420344e-06	7.21016625255093e-06
YALI1_B13536g	0	0	2.99474457447861e-06	2.92916928957378e-06	3.07670637335798e-06	1.19279022293492e-05	7.92226430895412e-06	0	0	0	0
YALI1_E36866g	4.80504796311609e-05	2.3788026202055e-05	3.20703026583405e-05	4.18240880840409e-05	0	0	0	2.38403932717148e-05	2.18885994726221e-05	2.2733113379653e-05	0
YALI1_D15848g	1.49057116133313e-05	1.47585398164582e-05	1.32646801571147e-05	8.64948418491945e-06	0	0	0	1.47910293334985e-05	1.81067995637397e-05	1.41040520182664e-05	9.72680368799628e-06
YALI1_A12437g	2.98114232266627e-05	4.42756194493746e-05	4.42156005237155e-05	3.02731946472181e-05	4.54257171354424e-05	5.28324884085309e-05	5.84837312859964e-05	1.97213724446646e-05	9.05339978186986e-06	3.76108053820438e-05	1.45902055319944e-05
YALI1_E38113g	3.7530953723209e-05	3.71603912139446e-05	1.90851518644738e-05	3.26676846193144e-05	9.80374234222542e-06	1.90037764332004e-05	8.41460841855014e-06	4.25625100218186e-05	4.88474395010493e-05	6.0878507016698e-05	4.72326992645921e-05
YALI1_C24567g	0	0	0	0	0	0	2.37921036754533e-06	0	8.28689788340484e-06	1.43443766532955e-05	2.96776278659311e-06
YALI1_D05195g	0	4.85595366915334e-06	0	0	0	4.34582484325125e-06	3.84854183484076e-06	9.73328717553215e-06	1.340464618866e-05	2.32030485399559e-05	1.44017015845526e-05
YALI1_F33103g	8.21965881879504e-05	8.13850187778967e-05	7.31472257482885e-05	3.90248380941641e-05	8.19809005310504e-05	8.60781290803034e-05	5.86372318930463e-05	0	4.76551004266142e-05	4.24232115825021e-05	2.92570000694061e-05
YALI1_E22543g	0	0	0	7.47534606026975e-06	7.85186603879593e-06	2.2830328701424e-05	2.02179052952494e-05	0	0	0	0
YALI1_E04143g	0	0	0	0	0	0	0	0	5.22416724573155e-06	8.13859195011748e-06	5.61274774745405e-06
YALI1_E32754g	0	0	0	0	1.29015791418134e-05	6.25217180051388e-06	1.10734995545232e-05	4.2008722716702e-05	0	6.67626749811372e-06	2.07191766290776e-05
YALI1_E08937g	0	6.06210990310433e-06	5.44850303227721e-06	0	0	0	0	1.82263651786981e-05	1.11561248924977e-05	1.15865545612425e-05	1.7978898429748e-05
YALI1_A01628g	2.32597297234173e-05	1.84240595094347e-05	2.48387638236167e-05	1.61965831305845e-05	2.55185646260868e-05	1.23664280466047e-05	2.19027307365202e-05	0	8.47646744282914e-06	8.80350959310093e-06	0
YALI1_E17699g	6.86435423302299e-06	5.66381576239404e-06	5.09052423148262e-06	3.98324648419437e-06	1.04596889365515e-06	0	8.97761115179852e-07	3.40577046738783e-06	6.25388556360631e-06	6.49517525132944e-06	2.239685960708e-06
YALI1_B14804g	3.72155675574678e-05	0	0	2.15954441741126e-05	6.80495056695647e-05	5.49619024293541e-05	3.89381879760359e-05	1.2309745545526e-05	1.13019565904389e-05	2.34760255816025e-05	0
YALI1_E25018g	2.15904171662248e-05	2.04055509147928e-05	1.2226733795286e-05	1.45216520932955e-05	1.25613616980531e-05	4.34807190883722e-06	6.93095719273546e-06	2.92149596969825e-06	1.43056823854159e-05	1.76434349446015e-05	5.76365926910224e-06
YALI1_B11983g	0.000116034564349485	0.000114888895106868	9.58841363322146e-05	0.000173140766391575	0.000159128865877956	0.000212983372121436	0.000240643102764563	0.000246732454384123	0.000151021778020711	0.000125478844156688	0.000186593225333483
YALI1_A00789g	1.59629431911762e-06	1.26442662402849e-05	2.55699301262463e-05	9.72612309103221e-06	4.37829031431598e-06	9.90146299442191e-06	8.76846074901903e-06	4.75203801967739e-06	2.90866166246786e-06	4.53132705717222e-06	4.68751767302092e-06
YALI1_D08564g	9.16905287647756e-06	4.53926103855638e-06	0	1.19713875313016e-05	0	0	0	0	0	0	0
YALI1_C05204g	0	0	0	0	0	0	0	0	0	1.57952151010782e-06	8.16983071419213e-06
YALI1_C20078g	0	0	0	0	0	0	0	1.42142722148337e-05	1.30505611949973e-05	0	1.40212792785456e-05
YALI1_B26596g	0	0	0	0	0	0	0	0	0	1.2558852846102e-05	2.59834895721299e-05
YALI1_E13541g	0	0	0	0	0	0	0	3.87529026433225e-06	7.11604674212817e-06	3.69530032303002e-06	7.64534775476251e-06
YALI1_D16173g	0	0	0	0	1.60178067191437e-05	1.03497490113122e-05	9.16545040051308e-06	1.15900988828644e-05	0	5.52589525228489e-06	0
YALI1_A06128g	1.47703808982946e-05	3.65613632288394e-06	0	0	1.35039875064117e-05	0	8.69291258803526e-06	0	0	0	0
YALI1_B24335g	4.82950113341185e-06	9.56363394382872e-06	1.71912054962436e-05	1.05092333290052e-05	1.1038564850979e-05	8.55895274472384e-06	7.57957094190013e-06	7.18851552849417e-06	0	0	2.36363804631971e-06
YALI1_F30479g	8.30631923602125e-06	4.11215332595699e-06	1.47836843764196e-05	7.22998459220838e-06	2.27824384407952e-05	1.47206495784528e-05	1.95542979004382e-05	4.12120583909293e-06	3.78380603574867e-06	3.92979421661398e-06	4.06525055668991e-06
YALI1_E12703g	0	0	0	0	7.67815218838009e-06	3.72087215561556e-06	9.88530325276576e-06	0	7.65132459441214e-06	7.94653078315306e-06	1.2330660427482e-05
YALI1_E33150g	3.066226083087e-05	3.23834842427544e-05	3.18342799678017e-05	2.84683076673278e-05	1.68199909005548e-05	1.81134541124204e-05	1.52387335011223e-05	2.12984450391895e-05	2.60730113265698e-05	2.90131818577155e-05	2.50110326387626e-05
YALI1_C24850g	0.000106472831085146	0.000146673488387305	0.000131827195317536	0.000157146360227963	7.19499041652593e-05	0.000110754936066176	0.000105346792713214	0.000197526380351257	0.00018557261406545	0.000148929615945727	0.000158594347937208
YALI1_F11199g	2.15681130162597e-05	3.20327398289036e-05	2.87903853410102e-05	1.87733122649956e-05	2.9578336271146e-05	9.55587621783088e-06	4.23120934682777e-05	0	9.82499635418832e-06	0	0
YALI1_C12333g	5.94154626395746e-05	6.20970910074513e-05	7.34363452176493e-05	8.90671232328836e-05	7.54461910684304e-05	7.3123226710358e-05	0.000150233686999714	8.5162030921917e-05	9.32264001886112e-05	5.30966456849983e-05	7.75437706187391e-05
YALI1_E14350g	1.69463745127755e-05	1.67790541960923e-05	7.54033901788363e-06	1.47504596367823e-05	2.32401213559004e-05	3.75409422843356e-05	2.65961730372031e-05	0	7.71963999257653e-06	0	8.29383707324683e-06
YALI1_D07831g	0	6.04261758830335e-06	1.62929511897678e-05	1.06241252689364e-05	0	1.62234811672499e-05	1.43670645345663e-05	0	0	0	0
YALI1_C26017g	8.39820329836662e-06	0	0	3.6549811489372e-06	1.15172282825701e-05	1.11626164668467e-05	9.88530325276576e-06	1.25003831977797e-05	1.91283114860304e-05	1.19197961747296e-05	2.4661320854964e-05
YALI1_E08211g	7.35656567996456e-05	0.00011654288805968	0.000104746414884089	0.000128066006148807	0.000161419757634781	0.000156449694357045	0.000190502820824618	0.000189799099922877	0.00012734413879227	0.000104413718429802	0.000144017015845526
YALI1_F19899g	9.61009592623218e-06	4.75760524041099e-06	1.49661412405589e-05	6.27361321260613e-06	1.53757427367308e-05	1.91601366190432e-05	1.50823867350215e-05	2.14563539445433e-05	1.96997395253599e-05	2.72797360555837e-05	2.3516702587434e-05
YALI1_D15333g	0	1.00494870051462e-05	4.51613887702121e-06	1.76689997788194e-05	9.27947804584973e-06	4.49688292603806e-06	0	3.52506349712789e-05	1.38705830882659e-05	1.44057429705288e-05	2.98045909797961e-05
YALI1_E20635g	9.30389188936694e-06	9.21202975471737e-06	8.27958794120556e-06	8.09829156529223e-06	1.70123764173912e-05	1.64885707288062e-05	7.30091024550674e-06	3.69292366365779e-05	1.69529348856583e-05	5.28210575586056e-05	5.46417501296262e-05
YALI1_E33400g	1.66490696967619e-05	8.24234241211554e-06	1.85201309211177e-05	7.24583982157726e-06	1.52215999524026e-05	1.47529317047214e-05	1.63309834438967e-05	4.13024357119621e-05	3.79210385600251e-05	1.96920609319363e-05	3.66674902185649e-05
YALI1_E04968g	1.97913862922926e-06	0	0	5.16804425230328e-06	1.80944983792899e-06	0	0	7.85564574959529e-06	5.40938276852078e-06	7.49078605627775e-06	3.87449323129779e-06
YALI1_D01796g	0	0	0	0	0	0	2.67394199296836e-06	6.76262502142e-06	0	3.22426563194361e-06	1.33416122399087e-05
YALI1_F25924g	5.31245124675303e-05	6.21636206348866e-05	5.58714178627917e-05	5.04443199792249e-05	3.09079815827412e-05	4.70742400959811e-05	4.16876401804507e-05	3.83387494853022e-05	3.07999885708906e-05	2.28488035240788e-05	9.45455218527883e-06
YALI1_B14441g	2.34320240176649e-05	5.80016688259982e-05	1.56392216667216e-05	8.15827891022032e-05	1.07114962628019e-05	1.55725390216503e-05	3.67749553107006e-05	6.97552247579804e-05	8.5392560905538e-05	4.43436038763603e-05	5.16060973446469e-05
YALI1_C20646g	4.93626513766152e-06	7.33129025993112e-06	1.31784338622049e-05	8.59324566616185e-06	4.51303613673316e-06	0	1.93678243183794e-06	7.34742939583409e-06	1.12431687798254e-05	1.40123481689929e-05	1.69112308593641e-05
YALI1_F14933g	9.48996972715428e-05	7.04720276235879e-05	4.22258985001483e-05	4.13012869829904e-05	6.50723397965212e-05	4.20458553584559e-05	3.72346422520844e-05	0	2.16149919792143e-05	0	0
YALI1_C10345g	6.083313927663e-06	0	1.08271534615765e-05	0	5.56173844414712e-06	2.15619771069004e-05	9.54734416720112e-06	3.01825491741261e-06	0	2.87807044389838e-06	5.95454969361311e-06
YALI1_D01234g	3.20607085376834e-06	6.34883131744035e-06	2.85310125001002e-06	2.7906274988507e-06	5.86237295464155e-06	2.84093617286864e-06	7.54756261866575e-06	0	0	0	0
YALI1_E17326g	0	0	9.17954315220616e-06	0	0	0	4.04724372305265e-06	1.53537315364033e-05	2.3494556499146e-05	0	1.51452676989725e-05
YALI1_A16095g	2.46492720185825e-05	1.83044227593735e-05	2.74194146104859e-05	2.14552140171379e-05	1.69019064406549e-05	2.18420027836134e-05	1.45070034748381e-05	0	1.12285672619295e-05	0	6.03188150781588e-06
YALI1_E20361g	1.27639135536709e-06	1.26378888363305e-06	0	1.11099628737029e-06	0	1.13102502645476e-06	0	3.79971298278172e-06	2.32575569379576e-06	6.03872211497172e-06	2.49874849281411e-06
YALI1_D12483g	0	9.71190733830668e-06	4.3644339535037e-06	2.56132012297615e-05	0	0	0	0	8.93643079244002e-06	1.39218291239736e-05	9.60113438970175e-06
YALI1_C16204g	3.09876562519323e-05	3.25993052952651e-05	3.96406394083025e-05	2.69722690501162e-05	3.18721664309492e-05	3.60393045929622e-05	3.03956263282321e-05	1.72964485879482e-05	1.94093805527639e-05	2.01582403335903e-05	2.46445444462191e-05
YALI1_E26229g	5.72259481034429e-05	4.72174389437775e-05	5.09257067338472e-05	6.64141298218941e-05	4.35995576526106e-05	4.22571410637748e-05	5.2390451409968e-05	1.89285534519143e-05	1.73788880234889e-05	2.70741099044109e-05	9.33577640405673e-06
YALI1_D13201g	0	1.90593719063118e-06	1.71301819473218e-06	0	0	0	0	3.82026585895633e-06	3.50750376944654e-06	3.6428315557659e-06	3.76839656066387e-06
YALI1_A10105g	5.80426283006378e-06	2.87347717119624e-06	2.58262376147696e-06	0	5.30661282744312e-06	5.14322389705882e-06	4.55469629994916e-06	0	0	0	0
YALI1_E40671g	2.14059467529796e-05	2.11945947740114e-05	1.90492775188639e-05	2.7948239311798e-05	1.3047085673488e-05	1.26453700326183e-05	5.59919432362171e-06	0	1.30014989348657e-05	1.01273456221387e-05	6.98428385115522e-06
YALI1_B13150g	0	0	4.14996545456003e-06	0	0	0	0	9.25499296543229e-06	1.27459412162443e-05	4.41256991890071e-06	4.5646670869958e-06
YALI1_A07575g	0	6.00400661329822e-06	5.39628095848541e-06	7.91717961335279e-06	1.10879386234754e-05	8.05990837542285e-06	4.75842073509065e-06	0	0	0	2.96776278659311e-06
YALI1_B15092g	3.46665560809289e-05	4.29053440630672e-05	1.54249857534788e-05	4.52616843649209e-05	4.75414354677781e-05	6.91164745618453e-05	2.04025436997723e-05	0.000103199510600848	5.52712123669407e-05	7.38047653558599e-05	0.000101798329008619
YALI1_F17988g	8.99523196886662e-06	8.90641739318646e-06	1.20073645024119e-05	1.1744441796111e-05	1.23359885870182e-05	1.19561674005088e-05	1.41173999060036e-05	2.67780720634901e-05	2.86834016785782e-05	3.83015251491311e-05	2.64144953233264e-05
YALI1_A02461g	2.12066362617973e-05	1.57479391337626e-05	2.83078649163006e-05	2.30733446832348e-05	1.45413049824628e-05	2.34893046695284e-05	8.32059044739316e-06	0	0	1.50495750585971e-05	5.18943995644494e-06
YALI1_D05705g	6.54480670838226e-05	5.67016314212776e-05	5.09622912932825e-05	4.98463808415401e-05	8.60151617999994e-05	8.69914248795639e-05	8.02470738191473e-05	7.30625845525398e-05	5.21741185705173e-05	5.80576279200191e-05	5.60548988398751e-05
YALI1_D12723g	7.531722005678e-06	7.45735742048549e-06	3.35126178572606e-06	6.5557598385699e-06	6.88596188322976e-06	0	0	0	0	0	0
YALI1_F09051g	6.91017213142302e-06	2.28064814315818e-06	0	6.01475053150345e-06	4.21180192857743e-06	0	0	0	0	0	0
YALI1_C25093g	1.05639737222497e-05	6.97311343214227e-06	6.26729476811107e-06	6.13006114775367e-06	6.43882150120186e-06	3.12028611194478e-06	1.38161937855601e-05	3.49423203796933e-06	0	0	0
YALI1_B14194g	7.86461579598421e-06	1.03826191710627e-05	1.39975354144138e-05	6.84551717950117e-06	2.39677126322362e-06	6.9689263025065e-06	6.17148766609133e-06	2.60136887909595e-06	0	0	5.13209807847318e-06
YALI1_F26186g	6.83961782137245e-06	6.77208673860304e-06	1.21732320000428e-05	8.93000799632224e-06	1.25063956365686e-05	9.09099575317965e-06	8.05073345991013e-06	0	3.11567451952639e-06	0	3.34742253046358e-06
YALI1_D06311g	0	0	0	0	1.95853543405632e-06	9.49116373780042e-07	1.6810222235704e-06	1.06286177678638e-06	0	0	0
YALI1_D34893g	0	0	0	0	0	2.89971416265213e-05	3.85185954331907e-05	0	0	0	1.60156853828215e-05
YALI1_D20706g	8.14589676150582e-06	0	0	0	0	2.1654517781179e-05	1.27844265243208e-05	0	0	0	0
YALI1_E38640g	0	3.42929574810646e-06	0	0	0	3.06904053711357e-06	1.08714283947692e-05	0	0	0	0
YALI1_A22093g	0	0	1.02989996341825e-05	0	1.0580868259597e-05	1.02550866727941e-05	2.7244860184452e-05	0	0	0	0
YALI1_E27279g	6.6209091119681e-05	6.55553745335701e-05	3.92799055815333e-05	7.68396036892844e-05	8.07098788173907e-05	7.82248471785226e-05	6.92737530271337e-05	4.37997922898947e-05	0	0	2.16025523768289e-05
YALI1_E12067g	1.79056032587817e-05	3.54576239615536e-05	1.59343013208107e-05	3.1170782628672e-05	0	0	1.4050808397013e-05	8.88392013427109e-05	4.89396044812399e-05	3.38852067357093e-05	5.25797972945459e-05
