Orthogroup	A_s288c	K.marxianus	L.fermentati	Z.rouxii	Total
OG0000159	0	1	2	3	6
OG0000160	0	2	2	2	6
OG0000161	2	1	1	1	5
OG0000162	2	1	1	1	5
OG0000163	2	1	1	1	5
OG0000164	1	1	1	2	5
OG0000165	2	1	1	1	5
OG0000166	2	1	1	1	5
OG0000167	2	1	1	1	5
OG0000168	1	1	2	1	5
OG0000169	2	1	1	1	5
OG0000170	2	1	1	1	5
OG0000171	2	1	1	1	5
OG0000172	2	1	1	1	5
OG0000173	2	1	1	1	5
OG0000174	2	1	1	1	5
OG0000175	2	1	1	1	5
OG0000176	2	1	1	1	5
OG0000177	2	1	1	1	5
OG0000178	2	1	1	1	5
OG0000179	2	1	1	1	5
OG0000180	2	1	1	1	5
OG0000181	2	1	1	1	5
OG0000182	2	1	1	1	5
OG0000183	1	2	1	1	5
OG0000184	2	1	1	1	5
OG0000185	1	1	1	2	5
OG0000186	2	1	1	1	5
OG0000187	2	1	1	1	5
OG0000188	2	1	1	1	5
OG0000189	2	1	1	1	5
OG0000190	2	1	1	1	5
OG0000191	2	1	1	1	5
OG0000192	1	1	2	1	5
OG0000193	2	1	1	1	5
OG0000194	2	1	1	1	5
OG0000195	2	1	1	1	5
OG0000196	1	1	1	2	5
OG0000197	2	1	1	1	5
OG0000198	2	1	1	1	5
OG0000199	2	1	1	1	5
OG0000200	2	1	1	1	5
OG0000201	2	1	1	1	5
OG0000202	2	1	1	1	5
OG0000203	2	1	1	1	5
OG0000204	2	1	1	1	5
OG0000205	2	1	1	1	5
OG0000206	2	1	1	1	5
OG0000207	2	1	1	1	5
OG0000208	2	1	1	1	5
OG0000209	2	1	1	1	5
OG0000210	2	1	1	1	5
OG0000211	2	1	1	1	5
OG0000212	1	2	1	1	5
OG0000213	2	1	1	1	5
OG0000214	2	1	1	1	5
OG0000215	2	1	1	1	5
OG0000216	2	1	1	1	5
OG0000217	2	1	1	1	5
OG0000218	2	1	1	1	5
OG0000219	1	1	1	2	5
OG0000220	1	1	1	2	5
OG0000221	3	0	1	1	5
OG0000222	2	1	1	1	5
OG0000223	2	1	1	1	5
OG0000224	2	1	1	1	5
OG0000225	2	1	1	1	5
OG0000226	2	1	1	1	5
OG0000227	2	1	1	1	5
OG0000228	2	1	1	1	5
OG0000229	1	1	1	2	5
OG0000230	2	2	1	0	5
OG0000231	2	1	1	1	5
OG0000232	2	1	1	1	5
OG0000233	2	1	1	1	5
OG0000234	1	1	2	1	5
OG0000235	2	1	1	1	5
OG0000236	2	1	1	1	5
OG0000237	2	1	1	1	5
OG0000238	1	1	1	2	5
OG0000239	1	1	1	2	5
OG0000240	2	1	1	1	5
OG0000241	1	1	2	1	5
OG0000242	1	1	2	1	5
OG0000243	2	1	1	1	5
OG0000244	2	1	1	1	5
OG0000245	2	1	1	1	5
OG0000246	2	1	1	1	5
OG0000247	2	1	1	1	5
OG0000248	2	1	1	1	5
OG0000249	2	1	1	1	5
OG0000250	2	1	1	1	5
OG0000251	2	1	1	1	5
OG0000252	2	1	1	1	5
OG0000253	2	1	1	1	5
OG0000254	2	1	1	1	5
OG0000255	2	1	1	1	5
OG0000256	2	1	1	1	5
OG0000257	1	2	1	1	5
OG0000258	2	1	1	1	5
OG0000259	1	2	1	1	5
OG0000260	1	1	2	1	5
OG0000261	2	1	1	1	5
OG0000262	2	1	1	1	5
OG0000263	2	1	1	1	5
OG0000264	2	1	1	1	5
OG0000265	2	1	1	1	5
OG0000266	2	1	1	1	5
OG0000267	2	1	1	1	5
OG0000268	2	1	1	1	5
OG0000269	1	2	1	1	5
OG0000270	2	1	1	1	5
OG0000271	3	1	0	1	5
OG0000272	2	1	1	1	5
OG0000273	2	1	1	1	5
OG0000274	1	2	1	1	5
OG0000275	4	0	1	0	5
OG0000276	2	1	1	1	5
OG0000277	2	1	1	1	5
OG0000278	2	1	1	1	5
OG0000279	2	1	1	1	5
OG0000280	1	1	1	2	5
OG0000281	2	1	1	1	5
OG0000282	1	0	3	1	5
OG0000283	2	1	1	1	5
OG0000284	2	1	1	1	5
OG0000285	1	1	1	2	5
OG0000286	2	1	1	1	5
OG0000287	2	1	1	1	5
OG0000288	2	1	1	1	5
OG0000289	2	1	1	1	5
OG0000290	2	1	1	1	5
OG0000291	2	1	1	1	5
OG0000292	2	1	1	1	5
OG0000293	2	1	1	1	5
OG0000294	2	1	1	1	5
OG0000295	1	1	1	2	5
OG0000296	2	1	1	1	5
OG0000297	2	1	1	1	5
OG0000298	2	1	1	1	5
OG0000299	2	1	1	1	5
OG0000300	2	1	1	1	5
OG0000301	2	1	1	1	5
OG0000302	2	1	1	1	5
OG0000303	2	1	1	1	5
OG0000304	2	1	1	1	5
OG0000305	2	1	1	1	5
OG0000306	2	1	1	1	5
OG0000307	2	1	1	1	5
OG0000308	2	1	1	1	5
OG0000309	2	1	1	1	5
OG0000310	2	1	1	1	5
OG0000311	2	1	1	1	5
OG0000312	2	1	1	1	5
OG0000313	1	1	1	2	5
OG0000314	2	1	1	1	5
OG0000315	2	1	1	1	5
OG0000316	2	1	1	1	5
OG0000317	1	1	1	2	5
OG0000318	2	1	1	1	5
OG0000319	2	1	1	1	5
OG0000320	2	1	1	1	5
OG0000321	2	1	1	1	5
OG0000322	2	1	1	1	5
OG0000323	2	1	1	1	5
OG0000324	2	1	1	1	5
OG0000325	2	1	1	1	5
OG0000326	2	1	1	1	5
OG0000327	2	1	1	1	5
OG0000328	2	1	1	1	5
OG0000329	2	1	1	1	5
OG0000330	2	1	1	1	5
OG0000331	1	0	0	4	5
OG0000332	2	1	1	1	5
OG0000333	1	1	2	1	5
OG0000334	1	2	1	1	5
OG0000335	2	1	1	1	5
OG0000336	2	1	1	1	5
OG0000337	2	1	1	1	5
OG0000338	1	2	1	1	5
OG0000339	1	2	1	1	5
OG0000340	2	1	1	1	5
OG0000341	2	2	0	1	5
OG0000342	2	1	1	1	5
OG0000343	2	1	1	1	5
OG0000344	2	1	1	1	5
OG0000345	2	1	1	1	5
OG0000346	2	1	1	1	5
OG0000347	2	1	1	1	5
OG0000348	2	1	1	1	5
OG0000349	1	1	1	2	5
OG0000350	2	1	1	1	5
OG0000351	2	1	1	1	5
OG0000352	2	1	1	1	5
OG0000353	2	1	1	1	5
OG0000354	2	1	1	1	5
OG0000355	2	1	1	1	5
OG0000356	2	1	1	1	5
OG0000357	2	1	1	1	5
OG0000358	1	1	1	2	5
OG0000359	2	1	1	1	5
OG0000360	2	1	1	1	5
OG0000361	2	1	1	1	5
OG0000362	2	1	1	1	5
OG0000363	2	1	1	1	5
OG0000364	2	1	1	1	5
OG0000365	2	1	1	1	5
OG0000366	2	1	1	1	5
OG0000367	2	1	1	1	5
OG0000368	2	1	1	1	5
OG0000369	2	1	1	1	5
OG0000370	2	1	1	1	5
OG0000371	2	1	1	1	5
OG0000372	2	1	1	1	5
OG0000373	2	1	1	1	5
OG0000374	2	1	1	1	5
OG0000375	2	1	1	1	5
OG0000376	2	1	1	1	5
OG0000377	2	1	1	1	5
OG0000378	2	1	1	1	5
OG0000379	2	1	1	1	5
OG0000380	2	1	1	1	5
OG0000381	2	1	1	1	5
OG0000382	2	1	1	1	5
OG0000383	2	1	1	1	5
OG0000384	2	1	1	1	5
OG0000385	2	1	1	1	5
OG0000386	2	1	1	1	5
OG0000387	2	1	1	1	5
OG0000388	2	1	1	1	5
OG0000389	1	1	1	2	5
OG0000390	2	1	1	1	5
OG0000391	2	1	1	1	5
OG0000392	1	1	1	2	5
OG0000393	2	1	1	1	5
OG0000394	2	1	1	1	5
OG0000395	1	2	1	1	5
OG0000396	2	1	1	1	5
OG0000397	2	1	1	1	5
OG0000398	2	1	1	1	5
OG0000399	2	1	1	1	5
OG0000400	2	1	1	1	5
OG0000401	2	1	1	1	5
OG0000402	2	1	1	1	5
OG0000403	2	1	1	1	5
OG0000404	1	2	1	1	5
OG0000405	2	1	1	1	5
OG0000406	2	1	1	1	5
OG0000407	2	1	1	1	5
OG0000408	2	1	1	1	5
OG0000409	2	1	1	1	5
OG0000410	2	1	1	1	5
OG0000411	2	1	1	1	5
OG0000412	2	1	1	1	5
OG0000413	2	1	1	1	5
OG0000414	2	1	1	1	5
OG0000415	1	2	1	1	5
OG0000416	2	1	1	1	5
OG0000417	2	1	1	1	5
OG0000418	1	1	2	1	5
OG0000419	2	1	1	1	5
OG0000420	1	2	1	1	5
OG0000421	2	1	1	1	5
OG0000422	2	1	1	1	5
OG0000423	1	1	2	1	5
OG0000424	1	1	1	2	5
OG0000425	1	1	2	1	5
OG0000426	2	1	1	1	5
OG0000427	2	1	1	1	5
OG0000428	2	1	1	1	5
OG0000429	2	1	1	1	5
OG0000430	2	1	1	1	5
OG0000431	2	1	1	1	5
OG0000432	2	1	1	1	5
OG0000433	1	2	1	1	5
OG0000434	2	1	1	1	5
OG0000435	2	1	1	1	5
OG0000436	2	1	2	0	5
OG0000437	2	1	1	1	5
OG0000438	2	1	1	1	5
OG0000439	2	1	1	1	5
OG0000440	2	1	1	1	5
OG0000441	1	1	1	2	5
OG0000442	2	1	1	1	5
OG0000443	2	1	1	1	5
OG0000444	1	1	2	1	5
OG0000445	2	1	1	1	5
OG0000446	2	1	1	1	5
OG0000447	2	1	1	1	5
OG0000448	2	1	1	1	5
OG0000449	1	1	1	2	5
OG0000450	2	1	1	1	5
OG0000451	2	1	1	1	5
OG0000452	1	1	2	1	5
OG0000453	2	1	1	1	5
OG0000454	2	1	1	1	5
OG0000455	2	1	1	1	5
OG0000456	2	1	1	1	5
OG0000457	2	1	1	1	5
OG0000458	2	1	1	1	5
OG0000459	2	1	1	1	5
OG0000460	2	1	1	1	5
OG0000461	1	1	2	1	5
OG0000462	1	2	1	1	5
OG0000463	1	2	1	1	5
OG0000464	2	1	1	1	5
OG0000465	2	1	1	1	5
OG0000466	2	1	1	1	5
OG0000467	2	1	1	1	5
OG0000468	2	1	1	1	5
OG0000469	0	3	1	1	5
OG0000470	0	2	2	1	5
OG0000471	0	1	2	2	5
OG0000472	1	1	1	1	4
OG0000473	1	1	1	1	4
OG0000474	1	1	1	1	4
OG0000475	1	1	1	1	4
OG0000476	1	1	1	1	4
OG0000477	1	1	1	1	4
OG0000478	1	1	1	1	4
OG0000479	1	1	1	1	4
OG0000480	1	1	1	1	4
OG0000481	1	1	1	1	4
OG0000482	1	1	1	1	4
OG0000483	1	1	1	1	4
OG0000484	1	1	1	1	4
OG0000485	1	1	1	1	4
OG0000486	1	1	1	1	4
OG0000487	1	1	1	1	4
OG0000488	1	1	1	1	4
OG0000489	1	1	1	1	4
OG0000490	1	1	1	1	4
OG0000491	1	1	1	1	4
OG0000492	1	1	1	1	4
OG0000493	1	1	1	1	4
OG0000494	1	1	1	1	4
OG0000495	1	1	1	1	4
OG0000496	1	1	1	1	4
OG0000497	1	1	1	1	4
OG0000498	1	1	1	1	4
OG0000499	1	1	1	1	4
OG0000500	1	1	1	1	4
OG0000501	1	1	1	1	4
OG0000502	1	1	1	1	4
OG0000503	1	1	1	1	4
OG0000504	1	1	1	1	4
OG0000505	1	1	1	1	4
OG0000506	1	1	1	1	4
OG0000507	1	1	1	1	4
OG0000508	1	1	1	1	4
OG0000509	1	1	1	1	4
OG0000510	1	1	1	1	4
OG0000511	1	1	1	1	4
OG0000512	1	1	1	1	4
OG0000513	1	1	1	1	4
OG0000514	1	1	1	1	4
OG0000515	1	1	1	1	4
OG0000516	1	1	1	1	4
OG0000517	1	1	1	1	4
OG0000518	1	1	1	1	4
OG0000519	1	1	1	1	4
OG0000520	1	1	1	1	4
OG0000521	1	1	1	1	4
OG0000522	1	1	1	1	4
OG0000523	1	1	1	1	4
OG0000524	1	1	1	1	4
OG0000525	1	1	1	1	4
OG0000526	1	1	1	1	4
OG0000527	1	1	1	1	4
OG0000528	1	1	1	1	4
OG0000529	1	1	1	1	4
OG0000530	1	1	1	1	4
OG0000531	2	1	1	0	4
OG0000532	1	1	1	1	4
OG0000533	1	1	1	1	4
OG0000534	1	1	1	1	4
OG0000535	1	1	1	1	4
OG0000536	1	1	1	1	4
OG0000537	1	1	1	1	4
OG0000538	1	1	1	1	4
OG0000539	1	1	1	1	4
OG0000540	1	1	1	1	4
OG0000541	1	1	1	1	4
OG0000542	1	1	1	1	4
OG0000543	1	1	1	1	4
OG0000544	1	1	1	1	4
OG0000545	1	1	1	1	4
OG0000546	1	1	1	1	4
OG0000547	1	1	1	1	4
OG0000548	1	1	1	1	4
OG0000549	1	1	1	1	4
OG0000550	1	1	1	1	4
OG0000551	1	1	1	1	4
OG0000552	1	1	1	1	4
OG0000553	1	1	1	1	4
OG0000554	1	1	1	1	4
OG0000555	1	1	1	1	4
OG0000556	1	1	1	1	4
OG0000557	1	1	1	1	4
OG0000558	1	1	1	1	4
OG0000559	1	1	1	1	4
OG0000560	1	1	1	1	4
OG0000561	1	1	1	1	4
OG0000562	1	1	1	1	4
OG0000563	1	1	1	1	4
OG0000564	1	1	1	1	4
OG0000565	1	1	1	1	4
OG0000566	1	1	1	1	4
OG0000567	1	1	1	1	4
OG0000568	1	1	1	1	4
OG0000569	1	1	1	1	4
OG0000570	1	1	1	1	4
OG0000571	1	1	1	1	4
OG0000572	1	1	1	1	4
OG0000573	1	1	1	1	4
OG0000574	1	1	1	1	4
OG0000575	1	1	1	1	4
OG0000576	1	1	1	1	4
OG0000577	1	1	1	1	4
OG0000578	1	1	1	1	4
OG0000579	1	1	1	1	4
OG0000580	1	1	1	1	4
OG0000581	1	1	1	1	4
OG0000582	1	1	1	1	4
OG0000583	1	1	1	1	4
OG0000584	1	1	1	1	4
OG0000585	1	1	1	1	4
OG0000586	1	1	1	1	4
OG0000587	1	1	1	1	4
OG0000588	1	1	1	1	4
OG0000589	1	1	1	1	4
OG0000590	1	1	1	1	4
OG0000591	1	1	1	1	4
OG0000592	1	1	1	1	4
OG0000593	1	1	1	1	4
OG0000594	1	1	1	1	4
OG0000595	1	1	1	1	4
OG0000596	1	1	1	1	4
OG0000597	2	1	1	0	4
OG0000598	1	1	1	1	4
OG0000599	1	1	1	1	4
OG0000600	1	1	1	1	4
OG0000601	1	1	1	1	4
OG0000602	1	1	1	1	4
OG0000603	1	1	1	1	4
OG0000604	1	1	1	1	4
OG0000605	1	1	1	1	4
OG0000606	1	1	1	1	4
OG0000607	1	1	1	1	4
OG0000608	1	1	1	1	4
OG0000609	1	1	1	1	4
OG0000610	1	1	1	1	4
OG0000611	1	1	1	1	4
OG0000612	1	1	1	1	4
OG0000613	1	1	1	1	4
OG0000614	1	1	1	1	4
OG0000615	1	1	1	1	4
OG0000616	1	1	1	1	4
OG0000617	1	1	1	1	4
OG0000618	1	1	1	1	4
OG0000619	1	1	1	1	4
OG0000620	1	1	1	1	4
OG0000621	1	1	1	1	4
OG0000622	1	1	1	1	4
OG0000623	1	1	1	1	4
OG0000624	1	1	1	1	4
OG0000625	1	1	1	1	4
OG0000626	1	1	1	1	4
OG0000627	1	1	1	1	4
OG0000628	1	1	1	1	4
OG0000629	1	1	1	1	4
OG0000630	1	1	1	1	4
OG0000631	1	1	1	1	4
OG0000632	1	1	1	1	4
OG0000633	1	1	1	1	4
OG0000634	1	1	1	1	4
OG0000635	1	1	1	1	4
OG0000636	1	1	1	1	4
OG0000637	1	1	1	1	4
OG0000638	1	1	1	1	4
OG0000639	1	1	1	1	4
OG0000640	1	1	1	1	4
OG0000641	1	1	1	1	4
OG0000642	1	1	1	1	4
OG0000643	1	1	1	1	4
OG0000644	1	1	1	1	4
OG0000645	1	1	1	1	4
OG0000646	1	1	1	1	4
OG0000647	1	1	1	1	4
OG0000648	1	1	1	1	4
OG0000649	1	1	1	1	4
OG0000650	1	1	1	1	4
OG0000651	1	1	1	1	4
OG0000652	1	1	1	1	4
OG0000653	1	1	1	1	4
OG0000654	1	1	1	1	4
OG0000655	1	1	1	1	4
OG0000656	1	1	1	1	4
OG0000657	1	1	1	1	4
OG0000658	1	1	1	1	4
OG0000659	1	1	1	1	4
OG0000660	1	1	1	1	4
OG0000661	1	1	1	1	4
OG0000662	1	1	1	1	4
OG0000663	1	1	1	1	4
OG0000664	1	1	1	1	4
OG0000665	1	1	1	1	4
OG0000666	1	1	1	1	4
OG0000667	1	1	1	1	4
OG0000668	1	1	1	1	4
OG0000669	1	1	1	1	4
OG0000670	1	1	1	1	4
OG0000671	2	1	1	0	4
OG0000672	1	1	1	1	4
OG0000673	1	1	1	1	4
OG0000674	1	1	1	1	4
OG0000675	1	1	1	1	4
OG0000676	1	1	1	1	4
OG0000677	1	1	1	1	4
OG0000678	1	1	1	1	4
OG0000679	1	1	1	1	4
OG0000680	1	1	1	1	4
OG0000681	1	1	1	1	4
OG0000682	1	1	1	1	4
OG0000683	1	1	1	1	4
OG0000684	1	1	1	1	4
OG0000685	1	1	1	1	4
OG0000686	1	1	1	1	4
OG0000687	1	1	1	1	4
OG0000688	1	1	1	1	4
OG0000689	1	1	1	1	4
OG0000690	1	1	1	1	4
OG0000691	1	1	1	1	4
OG0000692	1	1	1	1	4
OG0000693	1	1	1	1	4
OG0000694	1	1	1	1	4
OG0000695	1	1	1	1	4
OG0000696	1	1	1	1	4
OG0000697	1	1	1	1	4
OG0000698	1	1	1	1	4
OG0000699	1	1	1	1	4
OG0000700	1	1	1	1	4
OG0000701	1	1	1	1	4
OG0000702	1	1	1	1	4
OG0000703	1	1	1	1	4
OG0000704	1	1	1	1	4
OG0000705	1	1	1	1	4
OG0000706	1	1	1	1	4
OG0000707	1	1	1	1	4
OG0000708	1	1	1	1	4
OG0000709	1	1	1	1	4
OG0000710	1	1	1	1	4
OG0000711	1	1	1	1	4
OG0000712	1	1	1	1	4
OG0000713	1	1	1	1	4
OG0000714	1	1	1	1	4
OG0000715	1	1	1	1	4
OG0000716	1	1	1	1	4
OG0000717	1	1	1	1	4
OG0000718	1	1	1	1	4
OG0000719	1	1	1	1	4
OG0000720	1	1	1	1	4
OG0000721	1	1	1	1	4
OG0000722	1	1	1	1	4
OG0000723	1	1	1	1	4
OG0000724	1	1	1	1	4
OG0000725	1	1	1	1	4
OG0000726	1	1	1	1	4
OG0000727	1	1	1	1	4
OG0000728	1	1	1	1	4
OG0000729	1	1	1	1	4
OG0000730	1	1	1	1	4
OG0000731	1	1	1	1	4
OG0000732	1	1	1	1	4
OG0000733	1	1	1	1	4
OG0000734	1	1	1	1	4
OG0000735	1	1	1	1	4
OG0000736	1	1	1	1	4
OG0000737	1	1	1	1	4
OG0000738	1	1	1	1	4
OG0000739	1	1	1	1	4
OG0000740	1	1	1	1	4
OG0000741	1	1	1	1	4
OG0000742	1	1	1	1	4
OG0000743	1	1	1	1	4
OG0000744	1	1	1	1	4
OG0000745	1	1	1	1	4
OG0000746	1	1	1	1	4
OG0000747	1	1	1	1	4
OG0000748	1	1	1	1	4
OG0000749	1	1	1	1	4
OG0000750	1	1	1	1	4
OG0000751	1	1	1	1	4
OG0000752	1	1	1	1	4
OG0000753	1	1	1	1	4
OG0000754	1	1	1	1	4
OG0000755	1	1	1	1	4
OG0000756	1	1	1	1	4
OG0000757	1	1	1	1	4
OG0000758	1	1	1	1	4
OG0000759	1	1	1	1	4
OG0000760	1	1	1	1	4
OG0000761	1	1	1	1	4
OG0000762	1	1	1	1	4
OG0000763	1	1	1	1	4
OG0000764	1	1	1	1	4
OG0000765	1	1	1	1	4
OG0000766	1	1	1	1	4
OG0000767	1	1	1	1	4
OG0000768	1	1	1	1	4
OG0000769	1	1	1	1	4
OG0000770	1	1	1	1	4
OG0000771	1	1	1	1	4
OG0000772	1	1	1	1	4
OG0000773	1	1	1	1	4
OG0000774	1	1	1	1	4
OG0000775	1	1	1	1	4
OG0000776	1	1	1	1	4
OG0000777	1	1	1	1	4
OG0000778	1	1	1	1	4
OG0000779	1	1	1	1	4
OG0000780	1	1	1	1	4
OG0000781	1	1	1	1	4
OG0000782	1	1	1	1	4
OG0000783	1	1	1	1	4
OG0000784	1	1	1	1	4
OG0000785	1	1	1	1	4
OG0000786	1	1	1	1	4
OG0000787	1	1	1	1	4
OG0000788	1	1	1	1	4
OG0000789	1	1	1	1	4
OG0000790	1	1	1	1	4
OG0000791	1	1	1	1	4
OG0000792	1	1	1	1	4
OG0000793	1	1	1	1	4
OG0000794	1	1	1	1	4
OG0000795	1	1	1	1	4
OG0000796	1	1	1	1	4
OG0000797	1	1	1	1	4
OG0000798	1	1	1	1	4
OG0000799	1	1	1	1	4
OG0000800	1	1	1	1	4
OG0000801	1	1	1	1	4
OG0000802	1	1	1	1	4
OG0000803	1	1	1	1	4
OG0000804	1	1	1	1	4
OG0000805	1	1	1	1	4
OG0000806	1	1	1	1	4
OG0000807	1	1	1	1	4
OG0000808	1	1	1	1	4
OG0000809	1	1	1	1	4
OG0000810	1	1	1	1	4
OG0000811	1	1	1	1	4
OG0000812	1	1	1	1	4
OG0000813	1	1	1	1	4
OG0000814	1	1	1	1	4
OG0000815	1	1	1	1	4
OG0000816	1	1	1	1	4
OG0000817	1	1	1	1	4
OG0000818	1	1	1	1	4
OG0000819	1	1	1	1	4
OG0000820	1	1	1	1	4
OG0000821	1	1	1	1	4
OG0000822	1	1	1	1	4
OG0000823	1	1	1	1	4
OG0000824	1	1	1	1	4
OG0000825	1	1	1	1	4
OG0000826	1	1	1	1	4
OG0000827	1	1	1	1	4
OG0000828	1	1	1	1	4
OG0000829	1	1	1	1	4
OG0000830	1	1	1	1	4
OG0000831	1	1	1	1	4
OG0000832	1	1	1	1	4
OG0000833	1	1	1	1	4
OG0000834	1	1	1	1	4
OG0000835	1	1	1	1	4
OG0000836	1	1	1	1	4
OG0000837	1	1	1	1	4
OG0000838	1	1	1	1	4
OG0000839	1	1	1	1	4
OG0000840	1	1	1	1	4
OG0000841	1	1	1	1	4
OG0000842	1	1	1	1	4
OG0000843	1	1	1	1	4
OG0000844	1	1	1	1	4
OG0000845	1	1	1	1	4
OG0000846	1	1	1	1	4
OG0000847	1	1	1	1	4
OG0000848	1	1	1	1	4
OG0000849	1	1	1	1	4
OG0000850	1	1	1	1	4
OG0000851	1	1	1	1	4
OG0000852	1	1	1	1	4
OG0000853	1	1	1	1	4
OG0000854	1	1	1	1	4
OG0000855	1	1	1	1	4
OG0000856	1	1	1	1	4
OG0000857	1	1	1	1	4
OG0000858	1	1	1	1	4
OG0000859	1	1	1	1	4
OG0000860	1	1	1	1	4
OG0000861	1	1	1	1	4
OG0000862	1	1	1	1	4
OG0000863	1	1	1	1	4
OG0000864	1	1	1	1	4
OG0000865	1	1	1	1	4
OG0000866	1	1	1	1	4
OG0000867	1	1	1	1	4
OG0000868	1	1	1	1	4
OG0000869	1	1	1	1	4
