Orthogroup	A_s288c	K.marxianus	L.fermentati	Z.rouxii
OG0000010	P0CX12, P0CX13, P36034, P38723, P38728, P38729, P43542, P47187, P52924, P53053, P53344, P53822, Q07788		tr|A0A1G4MFD9|A0A1G4MFD9_LACFM, tr|A0A1G4MFS4|A0A1G4MFS4_LACFM	
OG0000011	P38724, P38731, P39980	KMXK_0A03220, KMXK_0A08370, KMXK_0A08390, KMXK_0C02750, KMXK_0D01050, KMXK_0D06600	tr|A0A1G4M7D7|A0A1G4M7D7_LACFM, tr|A0A1G4MAG9|A0A1G4MAG9_LACFM, tr|A0A1G4MJ15|A0A1G4MJ15_LACFM, tr|A0A1G4ML44|A0A1G4ML44_LACFM	tr|C5DZV0|C5DZV0_ZYGRC
OG0000012	P32478, P46999, P47001, Q03178, Q03180	KMXK_0E02560, KMXK_0E02570, KMXK_0E02580	tr|A0A1G4MGY7|A0A1G4MGY7_LACFM, tr|A0A1G4MH15|A0A1G4MH15_LACFM, tr|A0A1G4MH70|A0A1G4MH70_LACFM	tr|C5E159|C5E159_ZYGRC, tr|C5E160|C5E160_ZYGRC, tr|C5E161|C5E161_ZYGRC
OG0000013	P27614	KMXK_0A04820, KMXK_0E00890, KMXK_0F05590, KMXK_0H00900	tr|A0A1G4M769|A0A1G4M769_LACFM, tr|A0A1G4M9J5|A0A1G4M9J5_LACFM, tr|A0A1G4MFA0|A0A1G4MFA0_LACFM, tr|A0A1G4MGX0|A0A1G4MGX0_LACFM, tr|A0A1G4MH51|A0A1G4MH51_LACFM, tr|A0A1G4MH80|A0A1G4MH80_LACFM, tr|A0A1G4MJ05|A0A1G4MJ05_LACFM	tr|C5DYH0|C5DYH0_ZYGRC, tr|C5E182|C5E182_ZYGRC
OG0000014	P00330, P00331, P07246	KMXK_0B01710, KMXK_0D01240, KMXK_0D02430, KMXK_0G03150	tr|A0A1G4M9V8|A0A1G4M9V8_LACFM, tr|A0A1G4MBD6|A0A1G4MBD6_LACFM, tr|A0A1G4MBM3|A0A1G4MBM3_LACFM, tr|A0A1G4MF63|A0A1G4MF63_LACFM	tr|C5DR66|C5DR66_ZYGRC, tr|C5DTZ6|C5DTZ6_ZYGRC, tr|C5DZD2|C5DZD2_ZYGRC
OG0000015	P27809, P27810, P38130	KMXK_0A01000, KMXK_0C03430, KMXK_0G02330	tr|A0A1G4ME67|A0A1G4ME67_LACFM, tr|A0A1G4MI28|A0A1G4MI28_LACFM, tr|A0A1G4MI61|A0A1G4MI61_LACFM, tr|A0A1G4MI79|A0A1G4MI79_LACFM	tr|C5DXX8|C5DXX8_ZYGRC, tr|C5DXZ6|C5DXZ6_ZYGRC, tr|C5E417|C5E417_ZYGRC
OG0000016			tr|A0A1G4M6H4|A0A1G4M6H4_LACFM, tr|A0A1G4M858|A0A1G4M858_LACFM, tr|A0A1G4M886|A0A1G4M886_LACFM, tr|A0A1G4M893|A0A1G4M893_LACFM, tr|A0A1G4M8U0|A0A1G4M8U0_LACFM, tr|A0A1G4MCB6|A0A1G4MCB6_LACFM, tr|A0A1G4MCC9|A0A1G4MCC9_LACFM, tr|A0A1G4MCN5|A0A1G4MCN5_LACFM, tr|A0A1G4MGC4|A0A1G4MGC4_LACFM, tr|A0A1G4MHK3|A0A1G4MHK3_LACFM, tr|A0A1G4MKE7|A0A1G4MKE7_LACFM, tr|A0A1G4MKL7|A0A1G4MKL7_LACFM, tr|A0A1G4MKR0|A0A1G4MKR0_LACFM	
OG0000017				tr|C5DP31|C5DP31_ZYGRC, tr|C5DP36|C5DP36_ZYGRC, tr|C5DP42|C5DP42_ZYGRC, tr|C5DQH1|C5DQH1_ZYGRC, tr|C5DSH9|C5DSH9_ZYGRC, tr|C5DUP7|C5DUP7_ZYGRC, tr|C5DWV9|C5DWV9_ZYGRC, tr|C5DWW2|C5DWW2_ZYGRC, tr|C5DWW6|C5DWW6_ZYGRC, tr|C5DZ71|C5DZ71_ZYGRC, tr|C5E3U2|C5E3U2_ZYGRC, tr|C5E3U7|C5E3U7_ZYGRC, tr|C5E3V0|C5E3V0_ZYGRC
OG0000018	P38778, P38925, Q12078	KMXK_0B07060, KMXK_0C05830, KMXK_0D00840	tr|A0A1G4M6U3|A0A1G4M6U3_LACFM, tr|A0A1G4MA33|A0A1G4MA33_LACFM, tr|A0A1G4MJ21|A0A1G4MJ21_LACFM	tr|C5DQ58|C5DQ58_ZYGRC, tr|C5DSS2|C5DSS2_ZYGRC, tr|C5E0W9|C5E0W9_ZYGRC
OG0000019	P43562	KMXK_0A02920, KMXK_0A02930, KMXK_0A02940, KMXK_0A02950, KMXK_0A02960, KMXK_0E00380, KMXK_0H00480	tr|A0A1G4M7A2|A0A1G4M7A2_LACFM, tr|A0A1G4MFR0|A0A1G4MFR0_LACFM	tr|C5DX71|C5DX71_ZYGRC, tr|C5E491|C5E491_ZYGRC
OG0000020	P26570, P32598, P32945	KMXK_0C01430, KMXK_0C03220, KMXK_0D06270	tr|A0A1G4M9G1|A0A1G4M9G1_LACFM, tr|A0A1G4MB75|A0A1G4MB75_LACFM, tr|A0A1G4MG51|A0A1G4MG51_LACFM	tr|C5DW97|C5DW97_ZYGRC, tr|C5DZD4|C5DZD4_ZYGRC, tr|C5E1B0|C5E1B0_ZYGRC
OG0000021	P40047, P46367, P54115	KMXK_0A00970, KMXK_0D04260, KMXK_0E00190	tr|A0A1G4M7Q9|A0A1G4M7Q9_LACFM, tr|A0A1G4MC91|A0A1G4MC91_LACFM, tr|A0A1G4MI74|A0A1G4MI74_LACFM, tr|A0A1G4MIB6|A0A1G4MIB6_LACFM	tr|C5DSI8|C5DSI8_ZYGRC, tr|C5DTH7|C5DTH7_ZYGRC
OG0000022	P05316, P38196, Q04895	KMXK_0A01860, KMXK_0H00810	tr|A0A1G4M759|A0A1G4M759_LACFM, tr|A0A1G4MD42|A0A1G4MD42_LACFM, tr|A0A1G4MG10|A0A1G4MG10_LACFM, tr|A0A1G4MGA5|A0A1G4MGA5_LACFM	tr|C5DPK5|C5DPK5_ZYGRC, tr|C5E141|C5E141_ZYGRC
OG0000023	P04817, P32487, P38971	KMXK_0A07470, KMXK_0A07480	tr|A0A1G4MGR2|A0A1G4MGR2_LACFM, tr|A0A1G4MGW2|A0A1G4MGW2_LACFM, tr|A0A1G4MH35|A0A1G4MH35_LACFM	tr|C5DWV5|C5DWV5_ZYGRC, tr|C5DYY0|C5DYY0_ZYGRC, tr|C5DYY1|C5DYY1_ZYGRC
OG0000024	P39720, P52960	KMXK_0C05960, KMXK_0C05970, KMXK_0C05980, KMXK_0D01160, KMXK_0G02000, KMXK_0G02010	tr|A0A1G4MBC7|A0A1G4MBC7_LACFM, tr|A0A1G4MCF8|A0A1G4MCF8_LACFM	tr|C5DSJ9|C5DSJ9_ZYGRC
OG0000025	P00635, P24031, P35842, P38693, P52290	KMXK_0A00110, KMXK_0B08440, KMXK_0E00110	tr|A0A1G4M750|A0A1G4M750_LACFM, tr|A0A1G4MD04|A0A1G4MD04_LACFM, tr|A0A1G4MLA1|A0A1G4MLA1_LACFM	
OG0000026	P36135, P40472, P46955, P53616	KMXK_0F00240, KMXK_0F05620	tr|A0A1G4MDK3|A0A1G4MDK3_LACFM, tr|A0A1G4MHC6|A0A1G4MHC6_LACFM	tr|C5DP92|C5DP92_ZYGRC, tr|C5DV41|C5DV41_ZYGRC
OG0000027	P32837	KMXK_0G00140, KMXK_0G00150, KMXK_0H03800	tr|A0A1G4M792|A0A1G4M792_LACFM, tr|A0A1G4MAF1|A0A1G4MAF1_LACFM, tr|A0A1G4ME60|A0A1G4ME60_LACFM, tr|A0A1G4MHP2|A0A1G4MHP2_LACFM	tr|C5DS99|C5DS99_ZYGRC, tr|C5E1U2|C5E1U2_ZYGRC
OG0000028	D6VPM8, P25354, P38727, P39547, P39548, P39549, P39551, P39552, P53174, P53176			
OG0000029	P00358, P00359, P00360	KMXK_0B03110, KMXK_0D02420, KMXK_0G00680	tr|A0A1G4M6T2|A0A1G4M6T2_LACFM, tr|A0A1G4MA13|A0A1G4MA13_LACFM, tr|A0A1G4MB07|A0A1G4MB07_LACFM	tr|C5E0E4|C5E0E4_ZYGRC
OG0000030	P22146, Q06135	KMXK_0E02010, KMXK_0G02050, KMXK_0G02060	tr|A0A1G4M882|A0A1G4M882_LACFM, tr|A0A1G4ME13|A0A1G4ME13_LACFM, tr|A0A1G4MEE1|A0A1G4MEE1_LACFM	tr|C5DNY1|C5DNY1_ZYGRC, tr|C5DVI3|C5DVI3_ZYGRC
OG0000031	P40209, P40569, Q02710, Q07928	KMXK_0B02860, KMXK_0D00720	tr|A0A1G4MA14|A0A1G4MA14_LACFM, tr|A0A1G4MAF2|A0A1G4MAF2_LACFM	tr|C5DQ45|C5DQ45_ZYGRC, tr|C5E406|C5E406_ZYGRC
OG0000032	P38631, P40989, Q04952	KMXK_0C04940, KMXK_0E02020, KMXK_0G02070	tr|A0A1G4M869|A0A1G4M869_LACFM, tr|A0A1G4MDZ1|A0A1G4MDZ1_LACFM	tr|C5DNY0|C5DNY0_ZYGRC, tr|C5DVI4|C5DVI4_ZYGRC
OG0000033	P38124		tr|A0A1G4M8U4|A0A1G4M8U4_LACFM, tr|A0A1G4MJB7|A0A1G4MJB7_LACFM	tr|C5DP26|C5DP26_ZYGRC, tr|C5DSG9|C5DSG9_ZYGRC, tr|C5DXF5|C5DXF5_ZYGRC, tr|C5E4Z2|C5E4Z2_ZYGRC, tr|C5E4Z3|C5E4Z3_ZYGRC, tr|C5E4Z4|C5E4Z4_ZYGRC, tr|C5E4Z5|C5E4Z5_ZYGRC
OG0000034	P39106, P40549	KMXK_0B00200, KMXK_0E03720, KMXK_0G00720, KMXK_0G00740, KMXK_0G00750	tr|A0A1G4MI12|A0A1G4MI12_LACFM, tr|A0A1G4MKC6|A0A1G4MKC6_LACFM	tr|C5DZF8|C5DZF8_ZYGRC
OG0000035	P35995, Q06149, Q12172, Q12340	KMXK_0B02950	tr|A0A1G4M8Y8|A0A1G4M8Y8_LACFM, tr|A0A1G4MCN8|A0A1G4MCN8_LACFM	tr|C5DP25|C5DP25_ZYGRC, tr|C5DWE1|C5DWE1_ZYGRC, tr|C5DWE2|C5DWE2_ZYGRC
OG0000036	Q12145, Q12531	KMXK_0A01640, KMXK_0B01990, KMXK_0D02260, KMXK_0D02950, KMXK_0E01450	tr|A0A1G4MCT8|A0A1G4MCT8_LACFM, tr|A0A1G4MKW4|A0A1G4MKW4_LACFM	tr|C5E445|C5E445_ZYGRC
OG0000037	P22580	KMXK_0B08420, KMXK_0D00140, KMXK_0E03320, KMXK_0G03270	tr|A0A1G4M783|A0A1G4M783_LACFM, tr|A0A1G4M931|A0A1G4M931_LACFM, tr|A0A1G4MB53|A0A1G4MB53_LACFM, tr|A0A1G4MDA4|A0A1G4MDA4_LACFM	tr|C5E0H2|C5E0H2_ZYGRC
OG0000038	P06169, P16467, Q07471	KMXK_0F05000	tr|A0A1G4M7H7|A0A1G4M7H7_LACFM, tr|A0A1G4MB06|A0A1G4MB06_LACFM, tr|A0A1G4MFR8|A0A1G4MFR8_LACFM	tr|C5DQ40|C5DQ40_ZYGRC, tr|C5DX22|C5DX22_ZYGRC
OG0000039	P15365	KMXK_0A02040, KMXK_0F01550	tr|A0A1G4M6K4|A0A1G4M6K4_LACFM, tr|A0A1G4M7C3|A0A1G4M7C3_LACFM, tr|A0A1G4M815|A0A1G4M815_LACFM, tr|A0A1G4MEJ1|A0A1G4MEJ1_LACFM, tr|A0A1G4MHN6|A0A1G4MHN6_LACFM	tr|C5DS30|C5DS30_ZYGRC
OG0000040	P33413	KMXK_0B00150, KMXK_0C01100, KMXK_0C03000, KMXK_0D00230	tr|A0A1G4MCY4|A0A1G4MCY4_LACFM, tr|A0A1G4MHY2|A0A1G4MHY2_LACFM, tr|A0A1G4MKV2|A0A1G4MKV2_LACFM	tr|C5DWV0|C5DWV0_ZYGRC
OG0000041	P32891	KMXK_0A01910, KMXK_0D06130, KMXK_0E03060	tr|A0A1G4M7F0|A0A1G4M7F0_LACFM, tr|A0A1G4M9B7|A0A1G4M9B7_LACFM, tr|A0A1G4MFZ7|A0A1G4MFZ7_LACFM	tr|C5DQS7|C5DQS7_ZYGRC, tr|C5DWB3|C5DWB3_ZYGRC
OG0000042	P00729, P38109	KMXK_0A03420, KMXK_0F04300	tr|A0A1G4M9W7|A0A1G4M9W7_LACFM, tr|A0A1G4MDU1|A0A1G4MDU1_LACFM, tr|A0A1G4MKF6|A0A1G4MKF6_LACFM	tr|C5DR57|C5DR57_ZYGRC, tr|C5DVJ7|C5DVJ7_ZYGRC
OG0000043	P05986, P06244, P06245	KMXK_0A01970, KMXK_0E02510	tr|A0A1G4M9E4|A0A1G4M9E4_LACFM, tr|A0A1G4MHD4|A0A1G4MHD4_LACFM	tr|C5E012|C5E012_ZYGRC, tr|C5E167|C5E167_ZYGRC
OG0000044	P0CW40, P0CW41, P38158, P53051, P53341, Q08295		tr|A0A1G4M6J2|A0A1G4M6J2_LACFM, tr|A0A1G4MGM0|A0A1G4MGM0_LACFM, tr|A0A1G4MH17|A0A1G4MH17_LACFM	
OG0000045	P00924, P00925, P0CX10, P0CX11, P42222	KMXK_0A03750	tr|A0A1G4MCE7|A0A1G4MCE7_LACFM, tr|A0A1G4MJD1|A0A1G4MJD1_LACFM	tr|C5DTW4|C5DTW4_ZYGRC
OG0000046	P36033, P53746, Q08905, Q08908, Q12473	KMXK_0E00260	tr|A0A1G4MJ24|A0A1G4MJ24_LACFM, tr|A0A1G4ML70|A0A1G4ML70_LACFM	tr|C5DZU9|C5DZU9_ZYGRC
OG0000047	P17064, P40039, Q12119	KMXK_0G04280, KMXK_0H01860	tr|A0A1G4M7E9|A0A1G4M7E9_LACFM, tr|A0A1G4M7T6|A0A1G4M7T6_LACFM	tr|C5DTF6|C5DTF6_ZYGRC, tr|C5DWR0|C5DWR0_ZYGRC
OG0000048	P25360, P27514, P39535	KMXK_0A07000, KMXK_0F00980	tr|A0A1G4M907|A0A1G4M907_LACFM, tr|A0A1G4MH48|A0A1G4MH48_LACFM	tr|C5DUM3|C5DUM3_ZYGRC, tr|C5DVS3|C5DVS3_ZYGRC
OG0000049	P41816, Q03558	KMXK_0A02470, KMXK_0A03790	tr|A0A1G4MAV5|A0A1G4MAV5_LACFM	tr|C5DTW8|C5DTW8_ZYGRC, tr|C5DTW9|C5DTW9_ZYGRC, tr|C5DYD4|C5DYD4_ZYGRC, tr|C5DYJ9|C5DYJ9_ZYGRC
OG0000050	P28273	KMXK_0A08350, KMXK_0D00210, KMXK_0D00320	tr|A0A1G4M8T8|A0A1G4M8T8_LACFM, tr|A0A1G4MGN9|A0A1G4MGN9_LACFM, tr|A0A1G4MIZ4|A0A1G4MIZ4_LACFM	tr|C5DSX3|C5DSX3_ZYGRC, tr|C5E1P8|C5E1P8_ZYGRC
OG0000051	P38080, P40494, P53974	KMXK_0D01350, KMXK_0G01420	tr|A0A1G4MCZ7|A0A1G4MCZ7_LACFM, tr|A0A1G4MDJ7|A0A1G4MDJ7_LACFM	tr|C5DPB0|C5DPB0_ZYGRC, tr|C5E4K5|C5E4K5_ZYGRC
OG0000052	P21524, P21672	KMXK_0E00540, KMXK_0H01680	tr|A0A1G4M7R5|A0A1G4M7R5_LACFM, tr|A0A1G4MHP5|A0A1G4MHP5_LACFM	tr|C5DTH2|C5DTH2_ZYGRC, tr|C5DY80|C5DY80_ZYGRC
OG0000053	P22082, P32597	KMXK_0E03000, KMXK_0F00280	tr|A0A1G4MD11|A0A1G4MD11_LACFM, tr|A0A1G4ME42|A0A1G4ME42_LACFM	tr|C5DP88|C5DP88_ZYGRC, tr|C5E0V0|C5E0V0_ZYGRC
OG0000054	P32563, P37296	KMXK_0D04410, KMXK_0F03780	tr|A0A1G4MCW3|A0A1G4MCW3_LACFM, tr|A0A1G4MJ48|A0A1G4MJ48_LACFM	tr|C5DY08|C5DY08_ZYGRC, tr|C5E3Z6|C5E3Z6_ZYGRC
OG0000055	P32639, P53327	KMXK_0A03460, KMXK_0C02860	tr|A0A1G4MDY3|A0A1G4MDY3_LACFM, tr|A0A1G4MK63|A0A1G4MK63_LACFM	tr|C5DRW4|C5DRW4_ZYGRC, tr|C5DVK1|C5DVK1_ZYGRC
OG0000056	P39955, P40328	KMXK_0A00810, KMXK_0B05330	tr|A0A1G4M7W2|A0A1G4M7W2_LACFM, tr|A0A1G4MI96|A0A1G4MI96_LACFM	tr|C5DV52|C5DV52_ZYGRC, tr|C5DWN9|C5DWN9_ZYGRC
OG0000057	P36091, Q05031	KMXK_0D04040, KMXK_0F02860	tr|A0A1G4MBJ8|A0A1G4MBJ8_LACFM, tr|A0A1G4ML50|A0A1G4ML50_LACFM	tr|C5DYD7|C5DYD7_ZYGRC, tr|C5E4I4|C5E4I4_ZYGRC
OG0000058	P07245, P09440	KMXK_0F04890, KMXK_0H03560	tr|A0A1G4M782|A0A1G4M782_LACFM, tr|A0A1G4MIG5|A0A1G4MIG5_LACFM	tr|C5E0C3|C5E0C3_ZYGRC, tr|C5E0I2|C5E0I2_ZYGRC
OG0000059	P14772, P39109	KMXK_0A01620, KMXK_0D02040	tr|A0A1G4MB14|A0A1G4MB14_LACFM, tr|A0A1G4MK08|A0A1G4MK08_LACFM	tr|C5DVF0|C5DVF0_ZYGRC, tr|C5E1M4|C5E1M4_ZYGRC
OG0000060	P03965, P07259	KMXK_0F05420, KMXK_0G01880	tr|A0A1G4MH55|A0A1G4MH55_LACFM, tr|A0A1G4MIL4|A0A1G4MIL4_LACFM	tr|C5DV24|C5DV24_ZYGRC, tr|C5E152|C5E152_ZYGRC
OG0000061	P23291, P39962	KMXK_0F01420, KMXK_0H04080	tr|A0A1G4MBD4|A0A1G4MBD4_LACFM, tr|A0A1G4MJM6|A0A1G4MJM6_LACFM	tr|C5DZL5|C5DZL5_ZYGRC, tr|C5E432|C5E432_ZYGRC
OG0000062	P39005, P50112	KMXK_0A04840, KMXK_0F01150	tr|A0A1G4MCZ2|A0A1G4MCZ2_LACFM, tr|A0A1G4MHB5|A0A1G4MHB5_LACFM	tr|C5DRC6|C5DRC6_ZYGRC, tr|C5E185|C5E185_ZYGRC
OG0000063	P38144, Q08773	KMXK_0B04220, KMXK_0F02910	tr|A0A1G4M6N3|A0A1G4M6N3_LACFM, tr|A0A1G4M9L9|A0A1G4M9L9_LACFM	tr|C5DYE2|C5DYE2_ZYGRC, tr|C5E1K8|C5E1K8_ZYGRC
OG0000064	Q03419, Q12442	KMXK_0G00520, KMXK_0G02780	tr|A0A1G4MCK9|A0A1G4MCK9_LACFM, tr|A0A1G4MCM0|A0A1G4MCM0_LACFM	tr|C5DR93|C5DR93_ZYGRC, tr|C5DTD4|C5DTD4_ZYGRC
OG0000065	P02293, P02294	KMXK_0B01820, KMXK_0F04540	tr|A0A1G4M9X9|A0A1G4M9X9_LACFM, tr|A0A1G4MJL9|A0A1G4MJL9_LACFM	tr|C5DPM0|C5DPM0_ZYGRC, tr|C5DQ95|C5DQ95_ZYGRC
OG0000066	P04911, P04912	KMXK_0B01810, KMXK_0F04530	tr|A0A1G4M9X6|A0A1G4M9X6_LACFM, tr|A0A1G4MJM8|A0A1G4MJM8_LACFM	tr|C5DPL9|C5DPL9_ZYGRC, tr|C5DQ96|C5DQ96_ZYGRC
OG0000067	P32784, P36148	KMXK_0C02480, KMXK_0C03210	tr|A0A1G4MAX2|A0A1G4MAX2_LACFM, tr|A0A1G4MEG2|A0A1G4MEG2_LACFM	tr|C5DSC3|C5DSC3_ZYGRC, tr|C5E052|C5E052_ZYGRC
OG0000068	P37291, P37292	KMXK_0B03200, KMXK_0E00560	tr|A0A1G4M8D1|A0A1G4M8D1_LACFM, tr|A0A1G4MFD8|A0A1G4MFD8_LACFM	tr|C5DRK3|C5DRK3_ZYGRC, tr|C5DX90|C5DX90_ZYGRC
OG0000069	P32334, P41809	KMXK_0C06660, KMXK_0D00620	tr|A0A1G4MAR6|A0A1G4MAR6_LACFM, tr|A0A1G4MG91|A0A1G4MG91_LACFM	tr|C5DW73|C5DW73_ZYGRC, tr|C5E0B1|C5E0B1_ZYGRC
OG0000070	P48570, Q12122	KMXK_0A00680, KMXK_0F00710	tr|A0A1G4M7M6|A0A1G4M7M6_LACFM, tr|A0A1G4MIE8|A0A1G4MIE8_LACFM	tr|C5DP09|C5DP09_ZYGRC, tr|C5DTL1|C5DTL1_ZYGRC
OG0000071	P34244, Q12263	KMXK_0A07790, KMXK_0B01700	tr|A0A1G4MF45|A0A1G4MF45_LACFM, tr|A0A1G4MGT0|A0A1G4MGT0_LACFM	tr|C5DZ13|C5DZ13_ZYGRC, tr|C5DZD1|C5DZD1_ZYGRC
OG0000072	P0CS90, Q05931	KMXK_0A01280, KMXK_0E02770	tr|A0A1G4M8X6|A0A1G4M8X6_LACFM, tr|A0A1G4MD78|A0A1G4MD78_LACFM	tr|C5DRD2|C5DRD2_ZYGRC, tr|C5DXH2|C5DXH2_ZYGRC
OG0000073	P21954, P41939	KMXK_0C01510, KMXK_0D04930	tr|A0A1G4MDN4|A0A1G4MDN4_LACFM, tr|A0A1G4MFD3|A0A1G4MFD3_LACFM	tr|C5DRZ2|C5DRZ2_ZYGRC, tr|C5E4D4|C5E4D4_ZYGRC
OG0000074	Q04602	KMXK_0D01010, KMXK_0E01460	tr|A0A1G4M770|A0A1G4M770_LACFM, tr|A0A1G4M7B9|A0A1G4M7B9_LACFM, tr|A0A1G4MA20|A0A1G4MA20_LACFM, tr|A0A1G4MK42|A0A1G4MK42_LACFM	tr|C5DSM4|C5DSM4_ZYGRC
OG0000075	P38993, P43561	KMXK_0F03820, KMXK_0H00430	tr|A0A1G4M7P6|A0A1G4M7P6_LACFM, tr|A0A1G4MJ55|A0A1G4MJ55_LACFM	tr|C5DX65|C5DX65_ZYGRC, tr|C5E3Z0|C5E3Z0_ZYGRC
OG0000076	P33310, P33311	KMXK_0A07640, KMXK_0G00290	tr|A0A1G4MCJ4|A0A1G4MCJ4_LACFM, tr|A0A1G4MGX3|A0A1G4MGX3_LACFM	tr|C5DWX5|C5DWX5_ZYGRC, tr|C5DYZ9|C5DYZ9_ZYGRC
