"","protein","Gene","orthogroup"
"85","P04046","YMR300C","S+EMP"
"86","P04050","YDL140C","S+EMP"
"87","P04051","YOR116C","S+EMP"
"88","P04076","YHR018C","S+EMP"
"89","P04147","YER165W","S+EMP"
"90","P04173","YCL018W","S+EMP"
"91","P04385","YBR020W","S+EMP"
"92","P04386","YPL248C","S+EMP"
"93","P04387","YML051W","S+EMP"
"94","P04397","YBR019C","S+EMP"
"95","P04449","YGL031C","S+EMP"
"96","P04456","YOL127W","S+EMP"
"97","P04786","YOL006C","S+EMP"
"98","P04801","YIL078W","S+EMP"
"99","P04802","YLL018C","S+EMP"
"100","P04803","YDR268W","S+EMP"
"101","P04806","YFR053C","S+EMP"
"102","P04807","YGL253W","S+EMP"
"103","P04817","YEL063C","S+EMP"
"104","P04819","YDL164C","S+EMP"
"105","P04821","YLR310C","S+EMP"
"106","P04840","YNL055C","S+EMP"
"107","P04911","YDR225W","S+EMP"
"108","P04912","YBL003C","S+EMP"
"109","P05030","YGL008C","S+EMP"
"110","P05066","YOR386W","S+EMP"
"111","P05085","YML099C","S+EMP"
"112","P05150","YJL088W","S+EMP"
"113","P05316","YBR021W","S+EMP"
"114","P05317","YLR340W","S+EMP"
"115","P05318","YDL081C","S+EMP"
"116","P05319","YOL039W","S+EMP"
"117","P05373","YGL040C","S+EMP"
"118","P05374","YGR157W","S+EMP"
"119","P05375","YJR073C","S+EMP"
"120","P05453","YDR172W","S+EMP"
"121","P05626","YPL078C","S+EMP"
"122","P05694","YER091C","S+EMP"
"123","P05737","YGL076C","S+EMP"
"124","P05738","YGL147C","S+EMP"
"125","P05739","YLR448W","S+EMP"
"126","P05740","YKL180W","S+EMP"
"127","P05743","YLR344W","S+EMP"
"128","P05744","YPL143W","S+EMP"
"129","P05745","YMR194W","S+EMP"
"130","P05747","YFR032C-A","S+EMP"
"131","P05748","YLR029C","S+EMP"
"132","P05749","YLR061W","S+EMP"
"133","P05750","YNL178W","S+EMP"
"134","P05755","YBR189W","S+EMP"
"135","P05756","YDR064W","S+EMP"
"136","P05986","YKL166C","S+EMP"
"137","P06100","YDL165W","S+EMP"
"138","P06101","YDR168W","S+EMP"
"139","P06102","YIL038C","S+EMP"
"140","P06103","YOR361C","S+EMP"
"141","P06104","YGL058W","S+EMP"
"142","P06105","YJL080C","S+EMP"
"143","P06106","YLR303W","S+EMP"
"144","P06115","YGR088W","S+EMP"
"145","P06168","YLR355C","S+EMP"
"146","P06169","YLR044C","S+EMP"
"147","P06174","YOR278W","S+EMP"
"148","P06182","YAL039C","S+EMP"
"149","P06197","YPR113W","S+EMP"
"150","P06208","YNL104C","S+EMP"
"151","P06242","YDL108W","S+EMP"
"152","P06243","YDL017W","S+EMP"
"153","P06244","YJL164C","S+EMP"
"154","P06367","YCR031C","S+EMP"
"155","P06633","YOR202W","S+EMP"
"156","P06634","YOR204W","S+EMP"
"157","P06700","YDL042C","S+EMP"
"158","P06701","YLR442C","S+EMP"
"159","P06704","YOR257W","S+EMP"
"160","P06738","YPR160W","S+EMP"
"161","P06773","YHR144C","S+EMP"
"162","P06775","YGR191W","S+EMP"
"163","P06776","YOR360C","S+EMP"
"164","P06777","YPL022W","S+EMP"
"165","P06778","YML032C","S+EMP"
"166","P06779","YJR052W","S+EMP"
"167","P06780","YPR165W","S+EMP"
"168","P06782","YDR477W","S+EMP"
"169","P06783","YKL178C","S+EMP"
"170","P06784","YDL159W","S+EMP"
"171","P06785","YOR074C","S+EMP"
"172","P06786","YNL088W","S+EMP"
"173","P06787","YBR109C","S+EMP"
"174","P06838","YML095C","S+EMP"
"175","P06839","YER171W","S+EMP"
"176","P06843","YER161C","S+EMP"
"177","P06844","YDR392W","S+EMP"
"178","P07143","YOR065W","S+EMP"
"179","P07149","YKL182W","S+EMP"
"180","P07170","YDR226W","S+EMP"
"181","P07172","YIL116W","S+EMP"
"182","P07213","YNL121C","S+EMP"
"183","P07236","YKL194C","S+EMP"
"184","P07244","YGL234W","S+EMP"
"185","P07245","YGR204W","S+EMP"
"186","P07246","YMR083W","S+EMP"
"187","P07248","YDR216W","S+EMP"
"188","P07250","YDR173C","S+EMP"
"189","P07251","YBL099W","S+EMP"
"190","P07252","YJL209W","S+EMP"
"191","P07253","YBR120C","S+EMP"
"192","P07255","YDL067C","S+EMP"
"193","P07256","YBL045C","S+EMP"
"194","P07257","YPR191W","S+EMP"
"195","P07258","YOR303W","S+EMP"
"196","P07259","YJL130C","S+EMP"
"197","P07260","YOL139C","S+EMP"
"198","P07261","YPL075W","S+EMP"
"199","P07262","YOR375C","S+EMP"
"200","P07263","YPR033C","S+EMP"
"201","P07264","YGL009C","S+EMP"
"202","P07266","YIR021W","S+EMP"
"203","P07267","YPL154C","S+EMP"
"204","P07269","YDL106C","S+EMP"
"205","P07270","YFR034C","S+EMP"
"206","P07271","YML061C","S+EMP"
"207","P07272","YLR014C","S+EMP"
"208","P07273","YGL043W","S+EMP"
"209","P07274","YOR122C","S+EMP"
"210","P07275","YHR037W","S+EMP"
"211","P07276","YGR258C","S+EMP"
"212","P07277","YMR208W","S+EMP"
"213","P07278","YIL033C","S+EMP"
"214","P07283","YFL045C","S+EMP"
"215","P07284","YDR023W","S+EMP"
"216","P07285","YDR354W","S+EMP"
"217","P07286","YBR243C","S+EMP"
"218","P07342","YMR108W","S+EMP"
"219","P07347","YHR013C","S+EMP"
"220","P07390","YNR045W","S+EMP"
"221","P07560","YFL005W","S+EMP"
"222","P07702","YBR115C","S+EMP"
"223","P07703","YPR110C","S+EMP"
"224","P07806","YGR094W","S+EMP"
"225","P07807","YOR236W","S+EMP"
"226","P07834","YFL009W","S+EMP"
"227","P07866","YAL024C","S+EMP"
"228","P07884","YOR274W","S+EMP"
"229","P07991","YLR438W","S+EMP"
"230","P08004","YNL192W","S+EMP"
"231","P08018","YJL128C","S+EMP"
"232","P08019","YIL099W","S+EMP"
"233","P08067","YEL024W","S+EMP"
"234","P08153","YDR146C","S+EMP"
"235","P08417","YPL262W","S+EMP"
"236","P08425","YPR047W","S+EMP"
"237","P08431","YBR018C","S+EMP"
"238","P08432","YKL184W","S+EMP"
"239","P08456","YER026C","S+EMP"
"240","P08458","YDR523C","S+EMP"
"241","P08465","YNL277W","S+EMP"
"242","P08466","YJL208C","S+EMP"
"243","P08468","YMR257C","S+EMP"
"244","P08518","YOR151C","S+EMP"
"245","P08524","YJL167W","S+EMP"
"246","P08536","YJR010W","S+EMP"
"247","P08539","YHR005C","S+EMP"
"248","P08566","YDR127W","S+EMP"
"249","P08593","YPR134W","S+EMP"
"250","P08638","YLR451W","S+EMP"
"251","P08640","YIR019C","S+EMP"
"252","P08678","YJL005W","S+EMP"
"253","P08679","YCR005C","S+EMP"
"254","P08964","YHR023W","S+EMP"
"255","P09007","YCR018C","S+EMP"
"256","P09032","YOR260W","S+EMP"
"257","P09064","YPL237W","S+EMP"
"258","P09119","YJL194W","S+EMP"
"259","P09201","YLR377C","S+EMP"
"260","P09232","YEL060C","S+EMP"
"261","P09368","YLR142W","S+EMP"
"262","P09435","YBL075C","S+EMP"
"263","P09436","YBL076C","S+EMP"
"264","P09440","YBR084W","S+EMP"
"265","P09457","YDR298C","S+EMP"
"266","P09547","YPL016W","S+EMP"
"267","P09620","YGL203C","S+EMP"
"268","P09624","YFL018C","S+EMP"
"269","P09733","YML085C","S+EMP"
"270","P09734","YML124C","S+EMP"
"271","P09798","YKL022C","S+EMP"
"272","P09880","YJL087C","S+EMP"
"273","P09932","YDL227C","S+EMP"
"274","P09937","YOR313C","S+EMP"
"275","P09938","YJL026W","S+EMP"
"276","P09950","YDR232W","S+EMP"
"277","P09959","YLR182W","S+EMP"
"278","P0C074","YNL138W-A","S+EMP"
"279","P0C0T4","YLR333C","S+EMP"
"280","P0C0W1","YJL190C","S+EMP"
"281","P0C0W9","YPR102C","S+EMP"
"282","P0C0X0","YLR264W","S+EMP"
"283","P0C268","YBL039W-B","S+EMP"
"284","P0C2H6","YHR010W","S+EMP"
"285","P0C2H7","YDR471W","S+EMP"
"286","P0C2H8","YDL075W","S+EMP"
"287","P0C2H9","YLR406C","S+EMP"
"288","P0C5N3","YGL041W-A","S+EMP"
"289","P0CD91","YPR192W","S+EMP"
"290","P0CD99","YDL247W","S+EMP"
"291","P0CE00","YJR160C","S+EMP"
"292","P0CE11","YER039C","S+EMP"
"293","P0CE41","YLR256W","S+EMP"
"294","P0CE68","YKR103W","S+EMP"
"295","P0CE85","YMR325W","S+EMP"
"296","P0CE88","YJL223C","S+EMP"
"297","P0CE89","YIL176C","S+EMP"
"298","P0CE90","YNR076W","S+EMP"
"299","P0CE91","YLL064C","S+EMP"
"300","P0CE92","YAL068C","S+EMP"
"301","P0CE93","YGL261C","S+EMP"
"302","P0CF17","YML002W","S+EMP"
"303","P0CF18","YMR085W","S+EMP"
"304","P0CF19","YOL162W","S+EMP"
"305","P0CH63","YFL061W","S+EMP"
"306","P0CH64","YNL335W","S+EMP"
"307","P0CI67","YHR213W","S+EMP"
"308","P0CS90","YJR045C","S+EMP"
"309","P0CT04","YNL015W","S+EMP"
"310","P0CT86","YJR107C-A","S+EMP"
"311","P0CW40","YIL172C","S+EMP"
"312","P0CW41","YJL221C","S+EMP"
"313","P0CX08","YEL070W","S+EMP"
"314","P0CX09","YNR073C","S+EMP"
"315","P0CX12","YBR302C","S+EMP"
"316","P0CX13","YML132W","S+EMP"
"317","P0CX14","YGR296W","S+EMP"
"318","P0CX15","YPL283C","S+EMP"
"319","P0CX16","YEL076C-A","S+EMP"
"320","P0CX17","YLR464W","S+EMP"
"321","P0CX18","YAR066W","S+EMP"
"322","P0CX19","YHR214W","S+EMP"
"323","P0CX20","YDR545W","S+EMP"
"324","P0CX21","YLR467W","S+EMP"
"325","P0CX22","YOR396W","S+EMP"
"326","P0CX23","YMR242C","S+EMP"
"327","P0CX24","YOR312C","S+EMP"
"328","P0CX25","YPR043W","S+EMP"
"329","P0CX26","YJR094W-A","S+EMP"
"330","P0CX27","YNL162W","S+EMP"
"331","P0CX28","YHR141C","S+EMP"
"332","P0CX29","YGR118W","S+EMP"
"333","P0CX30","YPR132W","S+EMP"
"334","P0CX31","YER074W","S+EMP"
"335","P0CX32","YIL069C","S+EMP"
"336","P0CX33","YLR287C-A","S+EMP"
"337","P0CX34","YOR182C","S+EMP"
"338","P0CX35","YJR145C","S+EMP"
"339","P0CX36","YHR203C","S+EMP"
"340","P0CX37","YPL090C","S+EMP"
"341","P0CX38","YBR181C","S+EMP"
"342","P0CX39","YBL072C","S+EMP"
"343","P0CX40","YER102W","S+EMP"
"344","P0CX41","YBL087C","S+EMP"
"345","P0CX42","YER117W","S+EMP"
"346","P0CX43","YPL220W","S+EMP"
"347","P0CX44","YGL135W","S+EMP"
"348","P0CX45","YFR031C-A","S+EMP"
"349","P0CX46","YIL018W","S+EMP"
"350","P0CX47","YDR025W","S+EMP"
"351","P0CX48","YBR048W","S+EMP"
"352","P0CX49","YOL120C","S+EMP"
"353","P0CX50","YNL301C","S+EMP"
"354","P0CX51","YMR143W","S+EMP"
"355","P0CX52","YDL083C","S+EMP"
"356","P0CX53","YEL054C","S+EMP"
"357","P0CX54","YDR418W","S+EMP"
"358","P0CX55","YDR450W","S+EMP"
"359","P0CX56","YML026C","S+EMP"
"360","P0CX80","YHR053C","S+EMP"
"361","P0CX81","YHR055C","S+EMP"
"362","P0CX82","YBR084C-A","S+EMP"
"363","P0CX83","YBL027W","S+EMP"
"364","P0CX84","YDL191W","S+EMP"
"365","P0CX85","YDL136W","S+EMP"
"366","P0CX91","YHR212W-A","S+EMP"
"367","P0CY02","YLR154C-H","S+EMP"
"368","P0CY03","YLR156C-A","S+EMP"
"369","P0CY04","YLR157C-C","S+EMP"
"370","P0CY05","YLR159C-A","S+EMP"
"371","P0CY06","YCR040W","S+EMP"
"372","P0CY07","YCL066W","S+EMP"
"373","P0CY08","YCR039C","S+EMP"
"374","P0CY09","YCL067C","S+EMP"
"375","P0CY11","YCR097W","S+EMP"
"376","P10080","YHL034C","S+EMP"
"377","P10081","YKR059W, YJL138C","S+EMP"
"378","P10127","YGL256W","S+EMP"
"379","P10174","YMR256C","S+EMP"
"380","P10363","YIR008C","S+EMP"
"381","P10507","YLR163C","S+EMP"
"382","P10591","YAL005C","S+EMP"
"383","P10592","YLL024C","S+EMP"
"384","P10614","YHR007C","S+EMP"
"385","P10622","YDL130W","S+EMP"
"386","P10659","YLR180W","S+EMP"
"387","P10662","YDR347W","S+EMP"
"388","P10664","YBR031W","S+EMP"
"389","P10823","YER020W","S+EMP"
"390","P10834","YGR222W","S+EMP"
"391","P10849","YDL044C","S+EMP"
"392","P10862","YCR066W","S+EMP"
"393","P10863","YER011W","S+EMP"
"394","P10869","YER052C","S+EMP"
"395","P10870","YDL194W","S+EMP"
"396","P10961","YGL073W","S+EMP"
"397","P10962","YAL025C","S+EMP"
"398","P10963","YKR097W","S+EMP"
"399","P10964","YOR341W","S+EMP"
"400","P11075","YDR170C","S+EMP"
"401","P11076","YDL192W","S+EMP"
"402","P11154","YGL062W","S+EMP"
"403","P11325","YLR382C","S+EMP"
"404","P11353","YDR044W","S+EMP"
"405","P11412","YNL241C","S+EMP"
"406","P11433","YAL041W","S+EMP"
"407","P11484","YDL229W","S+EMP"
"408","P11491","YDR481C","S+EMP"
"409","P11632","YPR052C","S+EMP"
"410","P11633","YBR089C-A","S+EMP"
"411","P11655","YNR026C","S+EMP"
"412","P11709","YCL029C","S+EMP"
"413","P11710","YCL027W","S+EMP"
"414","P11745","YMR235C","S+EMP"
"415","P11746","YMR043W","S+EMP"
"416","P11747","YML098W","S+EMP"
"417","P11792","YHR205W","S+EMP"
"418","P11914","YHR024C","S+EMP"
"419","P11927","YNL188W","S+EMP"
"420","P11938","YNL216W","S+EMP"
"421","P11972","YLR452C","S+EMP"
"422","P11978","YDR227W","S+EMP"
"423","P11986","YJL153C","S+EMP"
"424","P12383","YGL013C","S+EMP"
"425","P12385","YBR143C","S+EMP"
"426","P12611","YOR043W","S+EMP"
"427","P12612","YDR212W","S+EMP"
"428","P12630","YIL015W","S+EMP"
"429","P12683","YML075C","S+EMP"
"430","P12684","YLR450W","S+EMP"
"431","P12685","YJL129C","S+EMP"
"432","P12686","YGR084C","S+EMP"
"433","P12687","YNL005C","S+EMP"
"434","P12688","YKL126W","S+EMP"
"435","P12689","YOR346W","S+EMP"
"436","P12695","YNL071W","S+EMP"
"437","P12709","YBR196C","S+EMP"
"438","P12753","YNL250W","S+EMP"
"439","P12754","YGR083C","S+EMP"
"440","P12866","YKL209C","S+EMP"
"441","P12868","YMR231W","S+EMP"
"442","P12887","YML021C","S+EMP"
"443","P12904","YGL115W","S+EMP"
"444","P12945","YDL040C","S+EMP"
"445","P12954","YJL092W","S+EMP"
"446","P12962","YOR276W","S+EMP"
"447","P13045","YDR009W","S+EMP"
"448","P13090","YML116W","S+EMP"
"449","P13099","YLR234W","S+EMP"
"450","P13130","YHR139C","S+EMP"
"451","P13134","YNL238W","S+EMP"
"452","P13181","YLR081W","S+EMP"
"453","P13185","YDR122W","S+EMP"
"454","P13186","YLR096W","S+EMP"
"455","P13188","YOR168W","S+EMP"
"456","P13259","YGR202C","S+EMP"
"457","P13298","YML106W","S+EMP"
"458","P13365","YAL040C","S+EMP"
"459","P13382","YNL102W","S+EMP"
"460","P13393","YER148W","S+EMP"
"461","P13433","YFL036W","S+EMP"
"462","P13434","YBL021C","S+EMP"
"463","P13483","YML113W","S+EMP"
"464","P13574","YHR084W","S+EMP"
"465","P13586","YGL167C","S+EMP"
"466","P13587","YDR040C","S+EMP"
"467","P13663","YDR158W","S+EMP"
"468","P13711","YGL205W","S+EMP"
"469","P13712","YBR195C","S+EMP"
"470","P13856","YGR152C","S+EMP"
"471","P13902","YOL108C","S+EMP"
"472","P14020","YPR183W","S+EMP"
"473","P14063","YKL138C","S+EMP"
"474","P14064","YKL109W","S+EMP"
"475","P14065","YOR120W","S+EMP"
"476","P14066","YDL069C","S+EMP"
"477","P14120","YGL030W","S+EMP"
"478","P14126","YOR063W","S+EMP"
"479","P14127","YDR447C","S+EMP"
"480","P14164","YKL112W","S+EMP"
"481","P14180","YBR038W","S+EMP"
"482","P14242","YNL082W","S+EMP"
"483","P14284","YPL167C","S+EMP"
"484","P14291","YLR263W","S+EMP"
"485","P14306","YLR178C","S+EMP"
"486","P14359","YJL151C","S+EMP"
"487","P14540","YKL060C","S+EMP"
"488","P14680","YJL141C","S+EMP"
"489","P14681","YGR040W","S+EMP"
"490","P14682","YDR054C","S+EMP"
"491","P14693","YHR083W","S+EMP"
"492","P14724","YFR036W","S+EMP"
"493","P14736","YER162C","S+EMP"
"494","P14737","YDR217C","S+EMP"
"495","P14741","YKR026C","S+EMP"
"496","P14742","YKL104C","S+EMP"
"497","P14743","YLR195C","S+EMP"
"498","P14747","YML057W","S+EMP"
"499","P14772","YLL015W","S+EMP"
"500","P14832","YDR155C","S+EMP"
"501","P14843","YDR035W","S+EMP"
"502","P14904","YKL103C","S+EMP"
"503","P14905","YDR197W","S+EMP"
"504","P14906","YOR254C","S+EMP"
"505","P14908","YMR228W","S+EMP"
"506","P14922","YBR112C","S+EMP"
"507","P15019","YLR354C","S+EMP"
"508","P15108","YMR186W","S+EMP"
"509","P15179","YPL104W","S+EMP"
"510","P15180","YDR037W","S+EMP"
"511","P15202","YDR256C","S+EMP"
"512","P15274","YML035C","S+EMP"
"513","P15303","YPR181C","S+EMP"
"514","P15315","YGL166W","S+EMP"
"515","P15365","YJR152W","S+EMP"
"516","P15367","YIR022W","S+EMP"
"517","P15380","YOR348C","S+EMP"
"518","P15424","YDR194C","S+EMP"
"519","P15436","YDL102W","S+EMP"
"520","P15442","YDR283C","S+EMP"
"521","P15454","YDR454C","S+EMP"
"522","P15496","YPL117C","S+EMP"
"523","P15565","YDR120C","S+EMP"
"524","P15624","YLR060W","S+EMP"
"525","P15625","YFL022C","S+EMP"
"526","P15646","YDL014W","S+EMP"
"527","P15703","YGR282C","S+EMP"
"528","P15705","YOR027W","S+EMP"
"529","P15731","YBR082C","S+EMP"
"530","P15790","YIL035C","S+EMP"
"531","P15801","YOR330C","S+EMP"
"532","P15807","YBR213W","S+EMP"
"533","P15873","YBR088C","S+EMP"
"534","P15891","YCR088W","S+EMP"
"535","P15938","YKR086W","S+EMP"
"536","P15992","YBR072W","S+EMP"
"537","P16120","YCR053W","S+EMP"
"538","P16140","YBR127C","S+EMP"
"539","P16151","YDR414C","S+EMP"
"540","P16370","YIL021W","S+EMP"
"541","P16387","YER178W","S+EMP"
"542","P16451","YGR193C","S+EMP"
"543","P16467","YLR134W","S+EMP"
"544","P16474","YJL034W","S+EMP"
"545","P16521","YLR249W","S+EMP"
"546","P16522","YHR166C","S+EMP"
"547","P16523","YNL210W","S+EMP"
"548","P16547","YIL136W","S+EMP"
"549","P16550","YCL050C","S+EMP"
"550","P16603","YHR042W","S+EMP"
"551","P16622","YOR176W","S+EMP"
"552","P16639","YGL017W","S+EMP"
"553","P16649","YCR084C","S+EMP"
"554","P16658","YLR105C","S+EMP"
"555","P16661","YBR110W","S+EMP"
"556","P16664","YDR137W","S+EMP"
"557","P16861","YGR240C","S+EMP"
"558","P16862","YMR205C","S+EMP"
"559","P16892","YBL016W","S+EMP"
"560","P16965","YGR008C","S+EMP"
"561","P17064","YER056C","S+EMP"
"562","P17065","YNL272C","S+EMP"
"563","P17076","YHL033C","S+EMP"
"564","P17106","YJR060W","S+EMP"
"565","P17119","YPR141C","S+EMP"
"566","P17121","YDR389W","S+EMP"
"567","P17122","YHR153C","S+EMP"
"568","P17123","YHR152W","S+EMP"
"569","P17157","YPL031C","S+EMP"
"570","P17214","YLR233C","S+EMP"
"571","P17255","YDL185W","S+EMP"
"572","P17260","YNL322C","S+EMP"
"573","P17261","YCR075C","S+EMP"
"574","P17423","YHR025W","S+EMP"
"575","P17442","YGR233C","S+EMP"
"576","P17505","YKL085W","S+EMP"
"577","P17536","YNL079C","S+EMP"
"578","P17555","YNL138W","S+EMP"
"579","P17558","YOR158W","S+EMP"
"580","P17629","YDR138W","S+EMP"
"581","P17649","YGR019W","S+EMP"
"582","P17695","YDR513W","S+EMP"
"583","P17883","YPR189W","S+EMP"
"584","P17890","YNL151C","S+EMP"
"585","P17891","YGR167W","S+EMP"
"586","P17898","YNL130C","S+EMP"
"587","P17967","YCL043C","S+EMP"
"588","P18238","YBR085W","S+EMP"
"589","P18239","YBL030C","S+EMP"
"590","P18408","YPR167C","S+EMP"
"591","P18409","YAL010C","S+EMP"
"592","P18410","YAL009W","S+EMP"
"593","P18411","YAL008W","S+EMP"
"594","P18412","YBR083W","S+EMP"
"595","P18414","YBL040C","S+EMP"
"596","P18480","YBR289W","S+EMP"
"597","P18494","YER040W","S+EMP"
"598","P18496","YLR393W","S+EMP"
"599","P18544","YOL140W","S+EMP"
"600","P18562","YHR128W","S+EMP"
"601","P18634","YLR392C","S+EMP"
"602","P18759","YBR080C","S+EMP"
"603","P18851","YOR212W","S+EMP"
"604","P18852","YJR086W","S+EMP"
"605","P18888","YHL025W","S+EMP"
"606","P18898","YGL155W","S+EMP"
"607","P18899","YMR173W","S+EMP"
"608","P18900","YBR003W","S+EMP"
"609","P18961","YMR104C","S+EMP"
"610","P18962","YHR028C","S+EMP"
"611","P18963","YBR140C","S+EMP"
"612","P19073","YLR229C","S+EMP"
"613","P19097","YPL231W","S+EMP"
"614","P19145","YKR039W","S+EMP"
"615","P19146","YDL137W","S+EMP"
"616","P19158","YOL081W","S+EMP"
"617","P19211","YJR047C","S+EMP"
"618","P19262","YDR148C","S+EMP"
"619","P19263","YLR071C","S+EMP"
"620","P19358","YDR502C","S+EMP"
"621","P19414","YLR304C","S+EMP"
"622","P19454","YOR061W","S+EMP"
"623","P19516","YPL132W","S+EMP"
"624","P19524","YOR326W","S+EMP"
"625","P19541","YPL133C","S+EMP"
"626","P19657","YPL036W","S+EMP"
"627","P19658","YJL085W","S+EMP"
"628","P19659","YOL051W","S+EMP"
"629","P19735","YBR055C","S+EMP"
"630","P19807","YGL077C","S+EMP"
"631","P19812","YGR184C","S+EMP"
"632","P19880","YML007W","S+EMP"
"633","P19881","YDL236W","S+EMP"
"634","P19882","YLR259C","S+EMP"
"635","P20048","YMR013C","S+EMP"
"636","P20049","YBR166C","S+EMP"
"637","P20050","YIL072W","S+EMP"
"638","P20051","YLR420W","S+EMP"
"639","P20052","YOL001W","S+EMP"
"640","P20053","YPR178W","S+EMP"
"641","P20081","YNL135C","S+EMP"
"642","P20084","YMR286W","S+EMP"
"643","P20095","YNR011C","S+EMP"
"644","P20107","YMR243C","S+EMP"
"645","P20133","YPR176C","S+EMP"
"646","P20134","YOR140W","S+EMP"
"647","P20424","YPR088C","S+EMP"
"648","P20433","YJL140W","S+EMP"
"649","P20434","YBR154C","S+EMP"
"650","P20435","YPR187W","S+EMP"
"651","P20436","YOR224C","S+EMP"
"652","P20437","YMR199W","S+EMP"
"653","P20438","YPL256C","S+EMP"
"654","P20447","YGL078C","S+EMP"
"655","P20448","YJL033W","S+EMP"
"656","P20449","YOR046C","S+EMP"
"657","P20457","YKL045W","S+EMP"
"658","P20459","YJR007W","S+EMP"
"659","P20485","YLR133W","S+EMP"
"660","P20486","YBR135W","S+EMP"
"661","P20604","YDL047W","S+EMP"
"662","P20606","YPL218W","S+EMP"
"663","P20676","YOR098C","S+EMP"
"664","P20795","YLR396C","S+EMP"
"665","P20967","YIL125W","S+EMP"
"666","P21147","YGL055W","S+EMP"
"667","P21182","YOL052C","S+EMP"
"668","P21190","YJR094C","S+EMP"
"669","P21192","YLR131C","S+EMP"
"670","P21242","YOR362C","S+EMP"
"671","P21243","YGL011C","S+EMP"
"672","P21264","YOR128C","S+EMP"
"673","P21268","YJL157C","S+EMP"
"674","P21269","YER168C","S+EMP"
"675","P21304","YLR196W","S+EMP"
"676","P21339","YOR188W","S+EMP"
"677","P21372","YBR237W","S+EMP"
"678","P21373","YJR049C","S+EMP"
"679","P21374","YJR050W","S+EMP"
"680","P21375","YJR051W","S+EMP"
"681","P21524","YER070W","S+EMP"
"682","P21538","YBR049C","S+EMP"
"683","P21576","YKR001C","S+EMP"
"684","P21592","YPL172C","S+EMP"
"685","P21595","YDR402C","S+EMP"
